URL from Google Analytics,Snowball Map,Restaurant Name,Business Phone,Menu Type,Address,City,State
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23888,23888,Hunan Wok,(609) 265-2897,Chinese,513 High St,Mt Holly,NJ
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=24920,24920,Lucky Bernie's,(847) 629-5600,Chinese,13 Nippersink Rd,Fox Lake,IL
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25046,25046,Taste of China,(217) 562-5599,Chinese,6 E 2nd St,Pana,IL
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=29547,29547,Tokyo Express,(419) 872-2828,Japanese,10013 Fremont Pike,Perrysburg,OH
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,30541,Banzai Teppan Yaki,(801) 969-5219,Japanese,2856 S 5600 W,West Valley City,UT
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30632,30632,King Food Chen,(212) 787-1888,Chinese,489 Amsterdam Ave,New York,NY
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=31039,31039,Sushi Wen,(718) 816-8279,Japanese,856 Castleton Ave,Staten Island,NY
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33337,33337,Great Wall Buffet,(713) 928-6588,Chinese,3333 Telephone Rd,Houston,TX
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33803,33803,Nan Sing Gardens,(541) 863-7678,Chinese,678 S Main St,Myrtle Creek,OR
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=35180,35180,Canton City Restaurant,(435) 789-3338,Chinese,1175 US-40,Vernal,UT
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=37250,37250,A Sushi,(718) 268-6010,Japanese,71-44 Austin St,Forest Hills,NY
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38185,38185,Golden Moon,(817) 594-1692,Chinese; Thai,1410 S Main St,Weatherford,TX
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43911,43911,Carrie Chinese,(843) 679-3338,Chinese,1313 Pamplico Hwy,Florence,SC
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44380,44380,Teriyaki Japan,(360) 705-1176,Japanese,625 Black Lake Blvd SW,Olympia,WA
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44512,44512,Teriyaki Kitchen,(253) 473-5900,Japanese,101 S 38th St,Tacoma,WA
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44544,44544,Pho Box,(425) 291-7465,Korean; Japanese; Vietnamese,364 Renton Center Way SW,Renton,WA
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44550,44550,tsunami,(703) 449-8404,Japanese,Fair Lakes Blvd,Centreville,VA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55508,55508,Ginza,(516) 882-9688,,6417 E. County Line Rd,Tampa,FL
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55790,55790,Ming's Noodles,(585) 244-0985,,1038 Clinton Avenue South,Rochester,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=57292,57292,Courtneys Rotisserie & Grill,(718) 968-1000,,2175 Ralph Avenue,Brooklyn,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58395,58395,Asian Star,(817) 864-9088,,2770 Brice Rd,Reynoldsburg,OH
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=61821,61821,Chen's,(708) 614-6688,,17855 80th Ave,Tinley Park,IL
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=62257,62257,Hungry Burrito,(718) 885-8080,,811 Seneca Ave,Ridgewood,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=63698,63698,Linden Kitchen,(908) 925-8888,,424 B Roselle St,Linden,NJ
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66027,66027,Fu Soun,(413) 732-4023,,494 Central St. #2,Springfield,MA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68277,68277,Antonio's Pizzeria & Restaurant,(914) 939-5137,,32 Grace Church St,Port Chester,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68790,68790,Pie Guys,(203) 721-8020,,514 Frost Rd,Waterbury,CT
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69637,69637,Rajaji Curry House,(202) 265-7344,,2603 Connecticut Ave NW,Washington,DC
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=71746,71746,George's Restaurant,(718) 282-0152,,753 Coney Island Ave,Brooklyn,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74256,74256,Punjabi Dhaba,(202) 863-9299,,520 Lockwood Dr,Richardson,TX
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74566,74566,Fast Chinese Restaurant,(585) 461-4920,,345 Meigs St,Rochester,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74614,74614,Empire House,(718) 234-3040,,1789 Stillwell Ave,Brooklyn,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=75749,75749,Jamaica Sunset Eatings,(678) 580-0855,,7173 Covington Hwy Suite 1E,Lithonia,GA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77430,77430,Nile Restaurant and Market,(202) 882-1130,,7815 Georgia Ave NW,Washington,DC
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77933,77933,Roasted Peppers,(781) 321-3660,,65 Main St,Maynard,MA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=78848,78848,China Town AK,(907) 272-8390,,836 E Loop Rd,AK,US
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=79670,79670,Yummy Kitchen Yummy Kitchen South Plainfield,(908) 755-8889,,1603 Park Ave #5558,South Plainfield,NJ
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80871,80871,Yu's Asian Diner,(972) 985-5512,,1820 Coit Rd #115,Plano,TX
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83186,83186,Shiquan,(217) 607-2635,,212 E Green St #102,Champaign,IL
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83276,83276,Kabob Zone Afghan Restaurant,(703) 492-0200,,1403 Old Bridge Rd,Woodbridge,VA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=87534,87534,Pupusita Express,(847) 550-5325,,1114 N Cedar Lake Rd,Round Lake Beach,IL
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=20318,20318,Yamato Sushi & Hibachi,(606) 784-1666,Japanese,125 Flemingsburg Rd,Morehead,KY
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21136,21136,Beijing Chinese Restaurant,(765) 359-1885,Chinese,1408 Darlington Ave,Crawfordsville,IN
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23904,23904,Taste of China,(812) 650-1088,Chinese,711 W 17th St,Bloomington,IN
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38483,38483,Mun Yuen Chinese Restaurant,(585) 658-2460,Chinese,43 E State St,Mt Morris,NY
https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45648,45648,Goldie's Shoreline,(206) 440-8754,Chinese,15030 Aurora Ave N,Shoreline,WA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58066,58066,Wei Wei Asian Express,6192878888,,6465 University Ave,San Diego,CA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59553,59553,Kings Seafood,3373768859,,1619 S Hopkins St,New Iberia,LA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=64460,64460,Hidalgo Mexican Food,9178326783,,801 E Broadway Ave,Mesa,AZ
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=65658,65658,China Town,9108633535,,1725 Airport Fwy,Bedford,TX
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66499,66499,Happy Garden,4103815280,,124 N 1st S,Shelton,WA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68790,68790,Pie Guys,2037218020,,514 Frost Rd,Waterbury,CT
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69149,69149,Grill House Cafe,8582715599,,9494 Black Mountain Rd,San Diego,CA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69637,69637,Rajaji Curry House,2022657344,,2603 Connecticut Ave NW,Washington,DC
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=76590,76590,Sabor Nicaragüense Restaurant,3238705505,,1927 S Western Ave suite 1,Los Angeles,CA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=81013,81013,"Oyama Sushi(1521 N Main St, Walnut Creek)",9259393398,,1521 N Main St,Walnut Creek,CA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=82956,82956,East Garden Restaurant,2139358300,,750 N Hill St F,Los Angeles,CA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=84607,84607,Gyro Hut,3192322044,,11020 8th Ave NE,Seattle,WA
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=88964,88964,Hong Kong City Seafood Restaurant,5105234568,,1425 Park St,Alameda,CA
https://getskt.com/airfryer/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=01011,01011,Front Street Grill,(479) 229-4458,Creole; Cajun,115 S Front St,Dardanelle,AR
https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22627,22627,Sappari Japanese Steak House,(252) 756-8241,Japanese,115 Red Banks Rd,Greenville,NC
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59852,59852,Taqueria Los Maizales,6306169131,,1221 W Irving Park Rd,Bensenville,IL
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=64460,64460,Hidalgo Mexican Food,9178326783,,801 E Broadway Ave,Mesa,AZ
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=70984,70984,Sushi & Noodles,7183662825,,274 Troutman St.,Brooklyn,NY
https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80593,80593,Green Garden,7193363264,,6340 N Eldridge Pkwy,Houston,TX
