Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Cuisine Type,Phone Number(s),,,,,,
81118,Creekside Chinese Restaurant - old,91 East Lake Crescent NE Unit2,Airdrie,T4A 2H6,AB,CAN,American Chinese,5877752828,5877752829,4039930982,,,,
81119,Creekside Chinese Restaurant Creekside Chinese,91 East Lake Crescent NE Unit2,Airdrie,T4A 2H6,AB,CAN,American Chinese,5877752828,5877752829,4039930982,,,,
81120,Dragon Palace,1292 101 St,North Battleford,S9A 0Z8,SK,CAN,American Chinese,9182252688,6466390865,6463226690,9293185558,,,
81121,Dumpling & More,442 Dundas St W,Toronto,M5T 1G7,ON,CAN,Traditional Chinese,16473483168,6473483168,,,,,
81122,Dundas Spring Garden,434 Dundas St W,Toronto,M5T 1B7,ON,CAN,Traditional Chinese,16473526888,,,,,,
81123,Dynasty Gourmet Asian Buffet,1700 Broad St,Regina,S4P 1Z4,SK,CAN,Traditional Chinese,3065438866,,,,,,
81124,Everyday Sushi,4572 W 10th Ave,Vancouver,V6R 2J1,BC,CAN,Japanese,6042289266,6047249088,,,,,
81125,First Choice Chinese,7080 Kingsway,Burnaby,V5E 100000,BC,CAN,American Chinese,6045210800,6048893365,6042157638,7789980203,6048891923,7789988796,6045001923
81126,Full Yuan Seafood Restaurant,3833 Midland Ave #38,Scarborough,M1V 5L6,ON,CAN,Traditional Chinese,14163353676,,,,,,
81127,Fung May Chinese Cuisine 楓味粥粉麵飯,4500 Kingsway #2301,Burnaby,V5H 2A9,BC,CAN,Traditional Chinese,16044336520,,,,,,
81128,Futian Dumpling Restaurant,3490 Kingsway #7,Vancouver,V5R 5L7,BC,CAN,Traditional Chinese,16044288638,,,,,,
81129,Genki Sushi,13504 Tecumseh Rd E,Windsor,N8N 3N7,ON,CAN,American Chinese,5199798988,(206) 682-3606,,,,,
81130,Golden Dragon,33550 South Fraser Way #2 Abbotsford BC V2S 5G7 Canada,Abbotsford,V2S 5G7,BC,CAN,American Chinese,5742438800,5743838573,5742100721,,,,
81131,Golden Wok,120 Eringate Dr Toronto ON M9C 2N7,Toronto,M9C 2N7,ON,CAN,American Chinese,2057987288,2054208396,2054517974,2052437578,9172913620,1 416-621-1161,
81132,Good Taste Chinese Szechuan Cuisine,10933 23 Ave NW Edmonton AB T6J 7B9 Canada,Edmonton,T6J 7B9,AB,CAN,American Chinese,17809886633,7809886633,,,,,
81133,Good Times Asian Bistro & Bar,270 Baseline Road Suite 120 Sherwood Park AB T8H 2A3,Sherwood Park,T8H 1R4,AB,CAN,American Chinese,7804495462,,,,,,
81134,Gozen Kitchen,17 Main St N Gilbert Plains MB R0L 0X0 Canada,Gilbert Plains,R0L 0X0,MB,CAN,American Chinese,2045484368,2045484368,,,,,
81135,Grand Crystal Seafood Restaurant,4500 Kingsway #2216 Burnaby BC V5H 4V2 Canada,Burnaby,V5H 4V2,BC,CAN,Traditional Chinese,16044560388,,,,,,
81136,Great Moon Buffet,1801 Dundas E,Whitby,L1N 7C5,ON,CAN,Permanently closed/Temporary closed,9054338828,9059256151,,,,,
81137,Great Red Peppers,60 James St N Hamilton ON L8R 2K1 Canada,Hamilton,L8R 2K1,ON,CAN,Traditional Chinese,19055234888,9055234888,,,,,
81138,Guang Zhou Restaurant,108 Main St N Preeceville SK S0A 3B0 Canada,Preeceville,S0A 3B0,SK,CAN,American Chinese,13065473326,,,,,,
81139,Guilin Noodles 桂林米粉,303 Centre St S Calgary AB T2G 2B9 Canada,Calgary,T2G 2B9,AB,CAN,Traditional Chinese,4037679090,,,,,,
81140,Happy Sushi,5632 Victoria Drive Vancouver BC V5P 3W4 Canada,Vancouver,V5P 3W4,BC,CAN,Japanese,6045683727,7788555108,6047732168,,,,
81141,Harbin Chinese Restaurant 哈尔滨老道外砂锅居,591 March Rd #5 Kanata ON K2K 2M5 Canada,Kanata,K2K 2M5,ON,CAN,Traditional Chinese,6136931525,,,,,,
81142,Harbin Chinese Restaurant 哈尔滨老道外砂锅居 - old,591 March Rd #5 Kanata ON K2K 2M5 Canada,Kanata,K2K 2M5,ON,CAN,Traditional Chinese,16136931525,6136931525,,,,,
81143,Hiro Japanese Restaurant,19537 Fraser Highway,Surrey,V3S 6K7,BC,CAN,Japanese,9043638888,9047086623,9045148613,9045994656,9048818680,4088006662,9046875378
81144,House of Kwan,500 Notre Dame Dr #440,Kamloops,V2C 6T6,BC,CAN,Traditional Chinese,2364252000,,,,,,
81145,Irie Bites Cafe,210 Dundas St,London,N6A 5J3,ON,CAN,Traditional Chinese,5198584743,5198529332,,,,,
81146,Kadoya Japanese Restaurant,1063 Davie St Vancouver BC V6E 1M5 Canada,Vancouver,V6E 1M5,BC,CAN,Japanese,6046081115,7788755224,7789800825,6048368413,6048090312,,
81147,Kashgar Uyghur Cuisine,1163 Pinetree Way #2100 Coquitlam BC V3T 4Z6 Canada,Coquitlam,V3T 4Z6,BC,CAN,Traditional Chinese,16044741455,6044741455,,,,,
81148,Lazy Monkey,11-3616 52 Ave NW Calgary AB T2L 1V9 Canada,Calgary,T2L 1V9,AB,CAN,Traditional Chinese,8254495168,,,,,,
81149,Lucky Dragon Dufferin,3203 S Dufferin Street,North York,M6A 2T2,ON,CAN,American Chinese,6479260630,6478641123,6472829995,,,,
81150,Lucky Horse Chinese Restaurant,13737 72 Ave #125,Surrey,V3W 2P2,BC,CAN,Traditional Chinese,16045912770,,,,,,
81151,Lucky House Restaurant,1500 7 Ave,Valemount,V0E 2Z0,BC,CAN,Traditional Chinese,3148388900,3145286064,3143301787,3146625350,3144843765,,
81152,Makisu Sushi,1517 Mayor Magrath Dr South,Lethbridge,T1K 2R4,AB,CAN,Japanese,4033282525,5872202616,4033933313,6479808068,5672203136,,
81153,Mandarin House - old,201 Fourth St,Nanaimo,V9R 1T2,BC,CAN,American Chinese,12507541470,2507541470,,,,,
81154,Maple Sushi,2563 Major Mackenzie Drive W,Vaughan,L6A 1G5,ON,CAN,Traditional Chinese,9057092238,6472948850,6479936966,6479927779,6478688299,(905) 879-3888,
81155,Mayflower Chinese Food Delivery Service,1200 McPhillips St,Winnipeg,R2X 2L6,MB,CAN,American Chinese,12045868163,,,,,,
81156,Mighty Mango Restaurant Ltd,15425 Bannister Rd SE #18,Calgary,T2X 3000000000,AB,CAN,American Chinese,4032542888,,,,,,
81157,Ming Kitchen,1015 University Avenue W,Windsor,N9A 5S6,ON,CAN,American Chinese,5192540828,2263475848,5195677839,5199035581,5192540389,,
81158,Ming Yan Seafood Restaurant,3238 King George Blvd,Surrey,V4P 1A5,BC,CAN,Traditional Chinese,7782911886,7782911886,7788918882,,,,
81159,Momo Sushi,375 Water Street,Vancouver,V6B 5C6,BC,CAN,Japanese,6046837632,7788755224,6047262864,7786865760,7789800825,,
81160,New Dragon Boat,1775 Ernest Ave,London,N6E 2V5,ON,CAN,American Chinese,5196818808,2267005188,4168013188,6476743393,5196363693,,
81161,New Happy Garden Restaurant,66 Wellington Rd 7,Elora,N0B 1S0,ON,CAN,American Chinese,2157471223,4403812144,5198468451,,,,
81162,New Sky Restaurant,353 Spadina Ave,Toronto,M5T 2G3,ON,CAN,Traditional Chinese,14165968787,,,,,,
81163,New World Restaurant,2840 2 Ave W,Prince Albert,S6V 5Z4,SK,CAN,American Chinese,6188425510,6185998924,6189192778,6189191367,6183151972,,
81164,New York Restaurant,5027 Centre Street,Niagara Falls,L2G 3N6,ON,CAN,American Chinese,9053545213,2892711131,9053577157,,,,
81165,North Garden,552 Clarke Road,Coquitlam,V3J 3X5,BC,CAN,American Chinese,6044218863,,,,,,
81166,Panda Garden,5007 50 Ave Bonnyville AB T9N 2P8 Canada,Bonnyville,T9N 2P8,AB,CAN,American Chinese,2077837755,9172572629,2077132324,2077132324,7808263750,,
81167,Park Street Garden,2407 Park St Regina SK S4N 2H1 Canada,Regina,S4N 2H1,SK,CAN,American Chinese,3063472828,,,,,,
81168,Red Star Chinese Restaurant,3301 Gaetz Ave (50 Av),Red Deer,T4N 3Y2,AB,CAN,American Chinese,4033095566,4033188881,,,,,
81169,Rhythm Chinese Restaurant (中文名逸站),530 Fifth St,Nanaimo,V9R 1P1,BC,CAN,Traditional Chinese,12505912288,2505912288,,,,,
81170,Silver Palace Restaurant Inc,305 9 St E,Meadow Lake,S9X 1H1,SK,CAN,American Chinese,13062365155,3062365155,,,,,
81171,Smilie’s Village Restaurant,981 Fir Street,Sherwood Park,T8A 4N5,AB,CAN,American Chinese,7804641200,7809208586,,,,,
81172,South Silk Road Chinese Restaurant,5552 Calgary Trail NW,Edmonton,T6H 4K1,AB,CAN,Traditional Chinese,17807602222,,,,,,
81173,Star House Restaurant,854 Trans-Canada Hwy,Cache Creek,V0K 1H0,BC,CAN,American Chinese,12504579328,2504579328,,,,,
81174,Sun Star Restaurant,631 BC-7,Coquitlam,V3K 3S5,BC,CAN,Traditional Chinese,6049375944,6049318776,,,,,
81175,Sushi Station,450 Memorial Ave,Thunder Bay,P7B 3Y6,ON,CAN,Japanese,7858563330,9132937482,7858563320,9132937482,8077678220,,
81176,Three Fortunes Chinese,6060 Memorial Dr,Calgary,T2A 3W1,AB,CAN,American Chinese,4032734616,4433331926,4037301548,4037146303,4039666129,,
81177,Wok House,388 Saint Albert Trail,Saint Albert,T8N 5S8,AB,CAN,American Chinese,7804587755,7808607566,7808607569,7808637569,7807297566,6472429283,7808858098
81178,Wok House,388 St Albert Trail,St. Albert,T8N 5N6,AB,CAN,American Chinese,7804587755,7808607566,7808607569,7808637569,7807297566,6472429283,7808858098
81179,Wuhan Noodle 1950,3621 Hwy 7 unit 119,Markham,L3R 0G6,ON,CAN,Traditional Chinese,19055138188,,,,,,
81180,Yami Garden Chinese Restaurant 來一份,8-20 Island Shore Blvd,Winnipeg,R3X 1N6,MB,CAN,American Chinese,12046911189,,,,,,
81181,一品川菜 Szechuan Delicious Restaurant,125-8291 Alexandra Rd,Richmond,V6X 1C3加拿大,BC,CAN,Traditional Chinese,6043701479,,,,,,
81182,秦俑厨坊TerraCotta Boyz,12-4429 Kingsway,Burnaby,V5H 2A1,BC,CAN,American Chinese,6043369999,,,,,,
81183,麻辣居Chili Hut,11-222 16 Ave NE,Calgary,T2E 1J8,AB,CAN,Traditional Chinese,14034559777,4034559777,,,,,
