Snowball Map,Dedupe Key,brizo_id,Name,Street,Business Type,Amenities,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes,Technology Vendors
69831,2150 YongeM4S 2,0fbb01558a84cf2c,Juicy Dumpling,2150 Yonge St,Restaurant,Groups; Alcohol; Online Ordering; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Toronto,ON,M4S 2A8,Canada,,,,,,,,(416) 489-2068,,Chinese,$,Dumplings; Chicken,Skip the Dishes; Uber Eats; DoorDash
69832,84 First CL4G 0,1040ef9d9014d4a1,Ramen Yutaka,84 First Commerce Dr,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Parking; Online Ordering; High Chairs; Debit Cards; Dine-in; Takeout,Aurora,ON,L4G 0H5,Canada,,,,,,,,(905) 841-3868,,Japanese,$$,Ramen,Uber Eats
69833,6102 48 AvT4V 0,111a40cbd846fb12,Skyway Family Restaurant,6102 48 Ave,Restaurant,Restroom; Groups; Wheelchair Accessible; Parking; Alcohol; Online Ordering; Seating; Reservations; Delivery; Credit Cards; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Camrose,AB,T4V 0K5,Canada,,,,,,,,(780) 672-8363,,Chinese; Thai,$$,Seafood; Chicken; French Fries,Skip the Dishes
69834,8952 152 SV3R 4,0156f0dac78e7bad,Prinkle Fried Chicken,8952 152 St,Restaurant,Delivery; Online Ordering; Takeout,Surrey,BC,V3R 4E4,Canada,,,,,,,,(604) 496-1199,,Korean; Chinese,,Chicken Wings; Chicken; French Fries,Skip the Dishes
69835,11925 TecuN8N 1,0833eb67852a752c,Tai Yan Palace,11925 Tecumseh Rd,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Credit Cards; Restroom; Online Ordering; TV; High Chairs; Catering; Debit Cards; Dine-in; Delivery; Takeout,Tecumseh,ON,N8N 1L8,Canada,,,,,keithwindsor@gmail.com,,,(519) 735-8810,keithwindsor@gmail.com,Chinese,$,,Wix Restaurants; Google Maps; Uber Eats
69836,8920 WoodbL3R 9,07b8ff2fae0a3ddf,The 6 Cafe & Restaurant,8920 Woodbine Ave,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Restroom; Parking; Online Ordering; TV; High Chairs; Catering; Debit Cards; Dine-in; Delivery; Takeout,Markham,ON,L3R 9W9,Canada,,,,,the6cafe.restaurant@gmail.com,,,(905) 604-7800,the6cafe.restaurant@gmail.com,Chinese,$,,Google Maps; DoorDash; Squarespace
69837,6102 48 AvT4V 0,03173051ec159edb,Tasty Fusion,6102 48 Ave,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Takeout,Camrose,AB,T4V 0K5,Canada,,,,,,,,(780) 673-3286,,Japanese; Thai,$$$,,
69838,8360 KenneL3R 9,02366ec37496c9a2,KLN Cafe | 免運費套餐 (MK),8360 Kennedy Rd,Cafe; Restaurant,Delivery; Online Ordering; Takeout,Markham,ON,L3R 9W4,Canada,,,,,,,,(905) 948-1389,,American; Chinese,,Pasta; Seafood; Sandwiches; Subs; Chicken; Noodles; French Fries,Google Analytics; Fantuan; Skip the Dishes; Uber Eats
69839,4751 GardeV6X 3,02f7d3ecb4b1e77a,CHUN FUN HOW (Rmd),4751 Garden City Rd,Hotel/Resort; Restaurant,Delivery; Online Ordering; Takeout,Richmond,BC,V6X 3M7,Canada,,,,,,,,(604) 285-6922,,Chinese,,Smoothies,Fantuan; Skip the Dishes; Uber Eats
69840,3833 MidlaM1V 5,070806b53699faa1,Full Yuan Seafood Restaurant,3833 Midland Ave,Restaurant,Groups; Wheelchair Accessible; Alcohol; Seating; Reservations; Bike Parking; Credit Cards; Curbside Pickup; Restroom; TV; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,Toronto,ON,M1V 5L6,Canada,,,,,,,,(416) 335-3676,,Chinese,$$,Seafood,
69841,3459 BathuM6A 2,0a923ea215e5cbe1,Umami Sushi,3459 Bathurst St,Restaurant,Groups; Wheelchair Accessible; Gift Cards; Table Service; Online Ordering; Fresh Ingredients; Seating; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Toronto,ON,M6A 2C5,Canada,Andrew,Novak,Business Owner,Owner,,,2002.0,(416) 782-3375,info@umamisushi.ca,Japanese,$$,Smoked Salmon; Sushi,Givex; Google Maps; UEAT; DoorDash; DataCandy; Uber Eats
69842,145 ElinorM1R 3,0aa1e57f455b9690,Anabolic Eats,145 Elinor Ave,Bakery; Restaurant,Delivery; Online Ordering; Fresh Ingredients; Takeout,Toronto,ON,M1R 3H5,Canada,,,,,,,,(416) 999-2226,,Japanese; Italian; Spanish,$$,Pizza,Uber Eats; DoorDash
69843,2900 WardeM1W 2,1017a62626b199d1,Mr. Congee Chinese Cuisine,2900 Warden Ave,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Eco-friendly Tableware; Parking; Online Ordering; TV; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Toronto,ON,M1W 2S8,Canada,,,,,,,,(416) 551-3223,,Vietnamese; Chinese; Thai,$$,Smoothies; Smoked Salmon; Seafood; Fried Rice; BBQ; Hot Pot; Noodles,Skip the Dishes; WooCommerce; Fantuan; Google Maps; DoorDash; Uber Eats
69844,184 Wyse RB3A 1,0a48406c298c4477,Genji Sushi,184 Wyse Rd,Restaurant,Groups; Wheelchair Accessible; Gift Cards; Table Service; Alcohol; Seating; Reservations; Bike Parking; Credit Cards; Buffet; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,Halifax,NS,B3A 1M9,Canada,,,,,,,,(902) 405-5550,info@genjisushi.ca,Japanese,$$,Sushi,Google Maps
69845,5451 RR-7L4L 0,0ba825dac7261c4d,Akita Sushi,5451 RR-7,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Buffet; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Takeout,Vaughan,ON,L4L 0B2,Canada,,,,,,,,(905) 856-9988,,Japanese; Chinese,$,Soups; Sashimi; Chicken; French Fries; Salads; Seafood; Sushi; Noodles,Skip the Dishes; Google Maps; DoorDash; Uber Eats
69846,2011 InnsbV8E 0,0e27b71bd72f5ab5,Samurai Sushi,2011 Innsbruck Dr,Hotel/Resort; Restaurant,Groups; Wheelchair Accessible; Gift Cards; Table Service; Alcohol; Seating; Bike Parking; Credit Cards; Restroom; Parking; Online Ordering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Whistler,BC,V8E 0N3,Canada,Takuya-Evan,O,Business Owner,Owner,,,2018.0,(604) 935-0055,whistlersamuraibowl@gmail.com,Japanese,$,Soups; Sushi; Ramen; French Fries,Google Analytics; Lightspeed POS; Google Maps
69847,3160 SteelL3R 4,107a0d9c2feb61e1,Tora Sushi,3160 Steeles Ave E,Restaurant,Restroom; Wheelchair Accessible; Credit Cards; Dine-in; Takeout,Markham,ON,L3R 4G9,Canada,,,,,,,,(905) 948-8047,,Japanese,$$,Sushi,
69848,6980 MaritL5W 1,102c5a9bbb72a336,Zen Gardens,6980 Maritz Dr,Restaurant,Groups; Wheelchair Accessible; Table Service; Seating; Reservations; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; Fresh Ingredients; Drive-Thru; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Mississauga,ON,L5W 1Z3,Canada,,,,,zengardens.vegetarian@gmail.com,,,(905) 564-2660,zengardens.vegetarian@gmail.com,Japanese; Chinese; Thai,$$,Dim Sum; Seafood; Sushi; Noodles; French Fries,Google Analytics; Skip the Dishes; Google Maps
69849,315 19 St T2E 6,104b29e5e20b0e1a,LETS Grill Fish Kao Yu Ba,315 19 St SE,Restaurant,Delivery; Online Ordering; Takeout,Calgary,AB,T2E 6J7,Canada,,,,,,,,(780) 709-3415,,Chinese,,,Uber Eats
69850,516 Bryne L4N 9,0ef328f2d22cda2a,Diamond Sushi,516 Bryne Dr,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Buffet; Restroom; Online Ordering; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Barrie,ON,L4N 9P6,Canada,Ben,J,Business Owner,Owner,,,2008.0,(705) 739-0888,diamondsushi8@gmail.com,Japanese,$$,Smoked Salmon; Seafood; BBQ; Sushi; Chicken; Noodles; French Fries,Google Analytics; Skip the Dishes; WooCommerce; DoorDash; Uber Eats
69851,5901 BroadV5B 2,03eb689427ee997f,Sushi U,5901 Broadway,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; Debit Cards; Takeout,Burnaby,BC,V5B 2Y1,Canada,,,,,,,2016.0,(604) 291-0080,,Japanese,$$,Smoked Salmon; Seafood; Sashimi; Sushi,Skip the Dishes; DoorDash; Uber Eats
69852,1350 56 StV4L 2,01c409507b0887ce,Sushi Gurume,1350 56 St,Restaurant,Restroom; Wheelchair Accessible; Take Away; Parking; Alcohol; Online Ordering; Fresh Ingredients; Digital Payments; Delivery; Contactless Delivery; Credit Cards; Curbside Pickup; Debit Cards; Dine-in; Takeout,Delta,BC,V4L 2A4,Canada,,,,,info@sushigurume.com,,,(604) 948-9018,info@sushigurume.com,Japanese,,Smoked Salmon; Seafood; Sushi,Skip the Dishes; WooCommerce; Stripe; Google Maps; Uber Eats; DoorDash
69853,7309 44 StT9V 2,05e9851b8ef849d9,Shangri-La,7309 44 St,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Lloydminster,AB,T9V 2X1,Canada,,,,,,,,(780) 874-6677,,Chinese,$,Chicken; French Fries,Skip the Dishes; DI develop; DoorDash
69854,8391 AlexaV6X 1,0c1d13ebb17329aa,GMen @ Nan Chuu Ramen Izakaya,8391 Alexandra Rd,Hotel/Resort; Restaurant,Wheelchair Accessible; Table Service; Parking; Alcohol; Online Ordering; Bike Parking; Delivery; Debit Cards; Takeout,Richmond,BC,V6X 1C3,Canada,,,,,gmenramen@gmail.com,,,(604) 276-8391,gmenramen@gmail.com,Japanese,$$,Ramen; Noodles,Fantuan
69855,1807 Fort V8R 1,0c607a82e68f6447,Hong Kong West,1807 Fort St,Restaurant,Restroom; Groups; Wheelchair Accessible; Table Service; Parking; Alcohol; TV; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Victoria,BC,V8R 1J6,Canada,,,,,,,,(250) 598-1352,,Chinese,$$,French Fries,Facebook Pixel; Fantuan
69856,4028 50 StT6L 5,0efd5d898891785e,Wok This Way,4028 50 St NW,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Reservations; Credit Cards; Restroom; Online Ordering; TV; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,Edmonton,AB,T6L 5N3,Canada,,,,,wokthiswayrestaurant@gmail.com,,,(780) 577-0039,wokthiswayrestaurant@gmail.com,Chinese,$$,,Wix Restaurants; Google Analytics
69857,4600 130 AT2Z 0,13703327ba609c8c,Chili Island Chinese & Thai,4600 130 Ave SE,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,Calgary,AB,T2Z 0C2,Canada,,,,,,,,(403) 726-0733,,Chinese; Thai,$$,Seafood; Chicken Wings; Chicken; Noodles,Skip the Dishes; Squarespace
69858,128 2 Ave T2G 5,13c102900b3554e4,Chicken Avenue,128 2 Ave SE,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Online Ordering; Seating; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Calgary,AB,T2G 5J5,Canada,,,,,,,,(403) 454-4514,ca.chickenavenue@gmail.com,Chinese,$$,Chicken; French Fries,WooCommerce; Skip the Dishes; Clover POS; Uber Eats; GlobalFood; DoorDash
69859,6461 MissiL5N 1,1371caf47d51381e,Zen Kitchen,6461 Mississauga Rd,Restaurant,Delivery; Online Ordering; Takeout,Mississauga,ON,L5N 1A6,Canada,,,,,,,,(905) 812-1234,,Chinese,$,Soups; Seafood; Chicken; Noodles; French Fries,Skip the Dishes; Uber Eats
69860,2059 111 ST6J 4,249afe1f452154ee,Good Buddy Chinese Restaurant,2059 111 St NW,Restaurant; Quick Service,Groups; Wi-Fi; Wheelchair Accessible; Take Away; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Online Ordering; TV; Fresh Ingredients; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Edmonton,AB,T6J 4V9,Canada,,,,,goodbuddysouthedmonton@gmail.com,,,(780) 432-6050,goodbuddysouthedmonton@gmail.com,Chinese,$$,Seafood; Chicken Wings; Chicken; Noodles,Facebook Pixel; Skip the Dishes; Google Maps; Uber Eats
69861,3772 W 10tV6R 2,2495cba62399af02,Sushi Inn,3772 W 10th Ave,Restaurant; Ice Cream Shop,Groups; Loyalty and Reward Programs; Wi-Fi; Wheelchair Accessible; Take Away; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Online Ordering; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Vancouver,BC,V6R 2G4,Canada,,,,,,,2011.0,(604) 739-3818,,Canadian; Japanese,$$,Smoked Salmon; Seafood; Salads; Sushi; Ice Cream; Chicken,Oracle GloriaFood; Skip the Dishes; Fantuan; Google Maps; Uber Eats; DoorDash; GlobalFood
69862,547 DanforM4K 1,257d8e281ddea6c4,Karaage Mukai,547 Danforth Ave,Restaurant,Delivery; Online Ordering; Takeout,Toronto,ON,M4K 1P7,Canada,,,,,,,,(647) 351-9981,,Japanese,,Fried Chicken; Chicken,Uber Eats
69863,3105 WinstL5L 5,041f3139ab442bd3,Hakka Spice,3105 Winston Churchill Blvd,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Take Away; Table Service; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; Contactless Delivery; Fast Service; Catering; Debit Cards; Dine-in; Takeout,Mississauga,ON,L5L 5S3,Canada,,,,,,,,(905) 606-2086,,Indian; Chinese,$$,Seafood; Chicken; French Fries,Facebook Pixel; Google Analytics; Skip the Dishes; Google Maps; Apple App Store
69864,2000 IslanV9S 5,1e35a6bc926d60dc,Shanghai City Restaurant,2000 Island Hwy N,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Buffet; Restroom; Parking; Online Ordering; TV; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Nanaimo,BC,V9S 5W3,Canada,,,,,contact@shcrestaurant.com,,,(250) 756-9368,,Chinese; Thai,$,Seafood; Chicken Wings; Chicken; Noodles,Wix Restaurants; YellowPages.ca; Google Analytics; Skip the Dishes; Uber Eats
69865,236 Main SS0K 2,1e0f119861c2c955,Langham King Restaurant,236 Main St E,Restaurant,Restroom; Groups; Wheelchair Accessible; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Langham,SK,S0K 2L0,Canada,,,,,,,,(306) 283-2868,,Chinese,,,
69866,505 BurrarV7X 1,1c30b8a378838d2c,Fortune Express,505 Burrard St,Hotel/Resort; Restaurant,Delivery; Wheelchair Accessible; Credit Cards; Online Ordering; Debit Cards; Dine-in; Takeout,Vancouver,BC,V7X 1E5,Canada,,,,,,,,(604) 683-2288,,Cantonese; Chinese,$,Chicken; Noodles,Uber Eats; DoorDash
69867,165 MontreK1L 6,1c1b31d6805ca774,Creole Sensations,165 Montreal Rd,Hotel/Resort; Restaurant,Reservations; Catering; Online Ordering; Delivery; Takeout,Ottawa,ON,K1L 6E4,Canada,,,,,,,,(613) 745-8900,,Creole; Haitian; Caribbean; Cajun,$$,,Google Analytics
69868,1 Stone MaL3P,168d3e555cfa869e,Eastern Restaurant,1 Stone Mason Dr,Restaurant,Delivery; Online Ordering; Takeout,Markham,ON,L3P,Canada,,,,,,,,(905) 294-0892,,Chinese,,Seafood; Chicken Wings; Chicken,Skip the Dishes
69869,55 AdelaidM5C 1,1924c0b512f2b214,Nami,55 Adelaide St E,Hotel/Resort; Restaurant,Groups; Wi-Fi; Table Service; Parking; Alcohol; Online Ordering; Seating; Reservations; Bike Parking; Delivery; Curbside Pickup; Debit Cards; Takeout,Toronto,ON,M5C 1K6,Canada,,,,,,,1984.0,(416) 362-7373,namirestauranttock@gmail.com,Japanese,$$$,Smoked Salmon; Seafood; Sushi,OpenStreetMap; Uber Eats; Tock
69870,3207 PrestS7T 1,18c97889e7469d41,Ko Chicken + Ramen,3207 Preston Ave S,Restaurant,Groups; Loyalty and Reward Programs; Wheelchair Accessible; Gift Cards; Online Ordering; Delivery; Contactless Delivery; Credit Cards; Dine-in; Takeout,Saskatoon,SK,S7T 1C9,Canada,,,,,ko.ramenbar@gmail.com,,,(306) 979-8866,ko.ramenbar@gmail.com,Japanese,$$,Seafood; Sushi; Chicken Wings; Chicken; Ramen; Noodles; French Fries,Wix Restaurants; Skip the Dishes; Uber Eats; Square Gift Cards; Square; DoorDash
69871,2775 W 16tV6K 3,15b0fef3ef5eb494,Yuwa Japanese Cuisine,2775 W 16th Ave,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Sommelier; Non-Smoking; Seating; Reservations; Credit Cards; Corkage Fee; Restroom; Online Ordering; Fresh Ingredients; Debit Cards; Dine-in; Outdoor Seating; Delivery; Takeout,Vancouver,BC,V6K 3C3,Canada,Masahiro,Omori,Executive Chef,Back of the House,,,,(604) 731-9378,yuwajapanese@gmail.com,Japanese,$$$,Seafood; Sushi,Google Analytics; TableUp; Squarespace; OpenTable
69872,2382 DundaL5K 1,208bce64bd7d5a1c,Miga Korean & Japanese BBQ Retaurant,2382 Dundas St W,Restaurant,Loyalty and Reward Programs; Gift Cards; Online Ordering; Fresh Ingredients; Reservations; Buffet; Takeout,Mississauga,ON,L5K 1R7,Canada,,,,,rim8200@gmail.com,,,(905) 822-9200,rim8200@gmail.com,Japanese,$$,,Wix Restaurants; Ambassador; Ecwid; Square Gift Cards; Socialstream
69873,1011 2 St T0M 2,233aac4b3f894961,E & W Restaurant,1011 2 St N,Hotel/Resort; Restaurant,Restroom; Groups; Wheelchair Accessible; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Buffet; Delivery; Takeout,Three Hills,AB,T0M 2A0,Canada,,,,,,,,(403) 443-2388,,Chinese,$,,
69874,18 King StL7E 1,23da39be1e66ec35,Sushi Date,18 King St E,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Credit Cards; Buffet; Restroom; Parking; TV; Catering; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,Caledon,ON,L7E 1E8,Canada,,,,,,,,(905) 857-8989,,Japanese,$$,Sushi,
69875,9840 97 AvT8V 7,1b6d0c488d8b21c6,Don's Dining,9840 97 Ave,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Restroom; Parking; Online Ordering; High Chairs; Catering; Debit Cards; Dine-in; Takeout,Grande Prairie,AB,T8V 7K2,Canada,,,,,donsdining@gmail.com,,,(780) 513-2888,donsdining@gmail.com,Chinese,$,Chicken; Noodles; French Fries,Wix Restaurants; Skip the Dishes
69876,309 SpadinM5T 2,1ce8b1f17e9994b3,Swatow Restaurant,309 Spadina Ave,Restaurant,Restroom; Groups; Table Service; Parking; Eco-friendly Tableware; Alcohol; Online Ordering; Seating; Bike Parking; Delivery; Contactless Delivery; Debit Cards; Dine-in; Takeout,Toronto,ON,M5T 2E6,Canada,,,,,,,,(416) 977-0601,,Chinese,$,,Wix Restaurants; Google Analytics; Uber Eats
69877,37 ShepparM2N 2,1b7d943450d080bd,Ann's Donburi Chang An Xiao Fan Tang,37 Sheppard Ave E,Restaurant,Delivery; Credit Cards; Online Ordering; Dine-in; Takeout,Toronto,ON,M2N 2Z8,Canada,,,,,,,,(647) 326-0113,,Chinese,$,,Uber Eats
69878,457 E ColuV3L 3,1bdbbac42f528b41,Sushi Heaven,457 E Columbia St,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Takeout,New Westminster,BC,V3L 3X6,Canada,,,,,,,,(604) 549-5010,,Japanese,$,Smoked Salmon; Sushi; Noodles; French Fries,Google Analytics; Skip the Dishes; Google Maps
69879,7906 118 AT5B 0,14e419f72d4c1dda,Szechuan Express,7906 118 Ave NW,Restaurant,Delivery; Online Ordering; Takeout,Edmonton,AB,T5B 0R6,Canada,,,,,,,,(780) 474-1919,,Szechuan; Chinese,,Soups; Seafood; Chicken; Noodles; French Fries,Uber Eats
69880,127 CampbeA1E 2,15d5b44e92090855,China Town Eatery,127 Campbell Ave,Restaurant,Restroom; Groups; Credit Cards; Debit Cards; Dine-in; Delivery; Takeout,St John's,NL,A1E 2Z5,Canada,,,,,,,,(709) 738-7388,,Chinese,$$,,
69881,777 Royal V8X 4,1f892622f4a1323e,Fudo Japanese Restaurant,777 Royal Oak Dr,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Restroom; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Saanich,BC,V8X 4V1,Canada,,,,,,,,(778) 265-3328,,Japanese,$$,Smoked Salmon; Seafood; Sushi; Chicken; Noodles,Moduurn; Skip the Dishes; DoorDash
69882,15 GatewayL6T 0,20b83a222195e64a,The Spice Route,15 Gateway Blvd,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Restroom; Parking; Online Ordering; Contactless Delivery; Drive-Thru; Catering; Debit Cards; Dine-in; Outdoor Seating; Takeout,Brampton,ON,L6T 0H4,Canada,,,,,,,,(905) 789-8884,,Indian; Chinese,$,Seafood; Chicken; French Fries,Skip the Dishes; DI develop; DoorDash; Uber Eats
69883,1020 SherwT8A 2,22b118b73ef9e278,China Kitchen,1020 Sherwood Dr,Restaurant,Groups; Bike Parking; Online Ordering; TV; Delivery; Takeout,Strathcona County,AB,T8A 2G4,Canada,,,,,,,,(780) 449-3307,,Chinese,$,,
