Check Map,Check B#,Check M#,Snowball Map,Group,brizo_id,Mapping,Name,First Seen,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact LinkedIn,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Vitality Score,Reputation Score,Technology Vendors
-,-,-,37351,Group C,0053ddad0e2e1fb4,1901 S Sig85209,WooChi Super Buffet,3/1/2020,1901 S Signal Butte Rd,Mesa,AZ,85209,United States,,,,(480)354-3400,0,,Chinese,$$,,,Grubhub; DoorDash; Uber Eats
-,-,-,37352,Group C,005665fcbe0dadb2,11849 N Sa85268,Hao Restaurant,3/1/2020,11849 N Saguaro Blvd,Fountain Hills,AZ,85268,United States,,,,(480)816-8888,0,,Chinese,$,,,Google Analytics; BeyondMenu; Google Maps
-,-,-,37353,Group C,005ed55b9a4e9305,4743 N Oce33308,Chinese Runner,2/7/2023,4743 N Ocean Dr,Sea Ranch Lakes,FL,33308,United States,,,,(954)960-2285,0,,Chinese,,,,Uber Eats
-,-,-,37354,Group C,006c89f5da81f742,340 Clemat33401,Palm Sugar,3/1/2020,340 Clematis St,West Palm Beach,FL,33401,United States,,,,(561)820-9206,0,info@palmsugarwpb.com,Japanese; Thai,$$,,,MenuPages; Culinary Agents
-,-,-,37355,Group C,00845e549fb1f87b,31 NW 9th 33136,Dip It,8/27/2023,31 NW 9th St,Miami,FL,33136,United States,,,,(305)586-6896,0,,Chinese,$$,,,DoorDash
-,-,-,37356,Group C,0086bfabe3e58135,2509 S Fer32536,Bamboo Sushi Bar & Hibachi,3/1/2020,2509 S Ferdon Blvd,Crestview,FL,32536,United States,Danny,L,,(850)689-1391,3,ledfordrun@cox.net,Japanese,$$,,,WooCommerce; Open Dining; Google Maps; Culinary Agents; Caviar; DoorDash
-,-,-,37357,Group C,008f905937b18185,1920 L St 20036,Abunai,3/1/2020,1920 L St NW,Washington,DC,20036,United States,Amaryllis,Boger,,(202)838-9718,1,info@hiabunai.com,Hawaiian; Japanese,$$,,,Google Analytics; WooCommerce; Toast Online Ordering; MenuPages; Grubhub; Culinary Agents; Toast Marketplace; Seamless; DoorDash; Uber Eats; Caviar
-,-,-,37358,Group C,00982fafc3ab274f,625 H St N20001,Luna Hall | Pollo Aria | Dumpling District,10/15/2023,625 H St NW,Washington,DC,20001,United States,,,,(202)450-1802,0,,Peruvian; Chinese,$$,,,DoorDash
-,-,-,37359,Group C,009e5a1009b10eb9,4419 E Mai85205,Taoyuan Chinese cuisine,3/1/2020,4419 E Main St,Mesa,AZ,85205,United States,Judy,Kwong,,(480)830-5964,1,,Chinese,$$,,,Uber Eats
-,-,-,37360,Group C,00b5798c50602d9d,278 Park R6119,Great TSO,3/1/2020,278 Park Rd,West Hartford,CT,6119,United States,,,,(860)232-7668,0,,Chinese; Thai,$$,,,Google Analytics; Grubhub; Chinese Menu Online; Squarespace; Apple Pay; Seamless; BeyondMenu; Google Maps; MailChimp; Opencart; Menufy; DoorDash
-,-,-,37361,Group C,00b95f943dc7761b,1900 NE Mi33132,"Pesqueria Poke, Sushi & Ceviche",10/16/2023,1900 NE Miami Ct,Miami,FL,33132,United States,,,,(754)274-3860,0,,Japanese,$$,,,DoorDash; Uber Eats
-,-,-,37362,Group C,00c304a812c5206d,984 E Whit85935,Lotus Garden,3/1/2020,984 E White Mountain Blvd,Pinetop-Lakeside,AZ,85935,United States,Michael,Ewu,,(928)367-2568,1,,Chinese,$$,,,Google Maps
-,-,-,37363,Group C,00d443161816da37,35898 Hwy 33844,First Wok Chinese Restaurant,3/1/2020,35898 Hwy 27,Haines City,FL,33844,United States,Manxing,Cha,,(863)422-7024,1,,Chinese,$$,,,Google Maps; Uber Eats; DoorDash
-,-,-,37364,Group C,00e0a6ab7e576436,880 Santa 32086,Umai Sushi,3/1/2020,880 Santa Maria Blvd,St Augustine,FL,32086,United States,,,,(904)217-7973,0,,Japanese,$$,,,Grubhub; Yelp Waitlist; Postmates; Yelp Reservation; Seamless; Google Maps; DoorDash; Uber Eats; Caviar
-,-,-,37365,Group C,00e2a954dccb77e3,15451 N Da33618,Aji Ceviche Bar,9/23/2022,15451 N Dale Mabry Hwy,Tampa,FL,33618,United States,,,,(813)442-4648,0,ajiordenes@gmail.com,Japanese; Peruvian,$$,,,Google Analytics; WooCommerce; Grubhub; MailChimp; Google Maps; Sauce; Uber Eats; DoorDash
-,-,-,37366,Group C,00ece38daf63a8eb,9200 NW 3932606,Chan's Chinese Food,3/1/2020,9200 NW 39th Ave,Gainesville,FL,32606,United States,,,,(352)380-9856,0,,Chinese,$,,,
-,-,-,37367,Group C,00f4a7aab8823cc5,2902 Corri32803,Sushi Lola's,3/1/2020,2902 Corrine Dr,Orlando,FL,32803,United States,Phuong,Nguyen,,(407)898-5652,1,,Japanese,$$,,,Google Maps; Culinary Agents; DoorDash; Caviar
-,-,-,37368,Group C,010738a15493a3e1,5400 SW Co34474,New China,3/1/2020,5400 SW College Rd,Ocala,FL,34474,United States,Adam,Weng,,(352)861-5858,1,,Chinese,$,,,Google Analytics; Squarespace; Chinese Menu Online; Apple Pay; BeyondMenu; Google Maps; MailChimp; Opencart; DoorDash
-,-,-,37369,Group C,010892675719f295,11401 NW 133172,Suki Hana,3/1/2020,11401 NW 12th St,Miami,FL,33172,United States,Jessica,Leong,,(305)718-1088,1,,Japanese,$,,,DoorDash
-,-,-,37370,Group C,010ec42de71884a0,1481 South6488,Fortune House,11/6/2021,1481 Southford Rd,Southbury,CT,6488,United States,,,,(203)586-1518,0,,Chinese,,,,
-,-,-,37371,Group C,0113dde85755865d,1 Padanara6811,Grand Century Buffet,3/1/2020,1 Padanaram Rd,Danbury,CT,6811,United States,Ju,Xie,,(203)205-0581,1,jxie721@gmail.com,Chinese,$,,,Oracle GloriaFood; OpenStreetMap; Grubhub; Google Maps; GlobalFood; Uber Eats; Apple App Store
-,-,-,37372,Group C,0116d6589821b869,303 Tunxis6825,LC Chen's,3/1/2020,303 Tunxis Hill Cut Off,Fairfield,CT,6825,United States,Stanley,Chen,,(203)335-3288,1,coldspringchen@yahoo.com,Szechuan; Japanese; Chinese; Thai,$$,,,Facebook Pixel; Google Analytics; Apple Pay; Google Maps; Menufy
-,-,-,37373,Group C,01190d848189d120,817 W That85546,Jumbo Chinese Restaurant,3/1/2020,817 W Thatcher Blvd,Safford,AZ,85546,United States,Chung,Xing,,(928)428-2888,1,,Chinese,$,,,
-,-,-,37374,Group C,011cd0c4af7695b8,1295 Silas6109,Ginza Japanese Cuisine,3/1/2020,1295 Silas Deane Hwy,Wethersfield,CT,6109,United States,Kevin,X,,(860)563-8855,2,ginzawethersfield@gmail.com,Japanese,$$,,,Google Analytics; WooCommerce; Grubhub; MealKeyway; Toast Marketplace; Google Maps; Menusifu; Uber Eats
-,-,-,37375,Group C,0124d99891c0f07f,10036 Univ32817,China Gourmet,3/1/2020,10036 University Blvd,Orlando,FL,32817,United States,,,,(407)672-0099,0,,Chinese,$,,,MenuPages; Grubhub; Seamless; BeyondMenu; Uber Eats; Postmates; DoorDash
-,-,-,37376,Group C,0168efa648b1b35a,4155 N Ste72703,BoBo's Ribbon Ice,3/1/2020,4155 N Steele Blvd,Fayetteville,AR,72703,United States,,,,(479)442-2332,0,,Japanese; Taiwanese,$,,,
-,-,-,37377,Group C,0174543aaf2d4ea5,23116 S Sa85338,Zheng's Chinese Kitchen,3/1/2020,23116 S Sarival Ave,Goodyear,AZ,85338,United States,,,,(623)217-2811,0,,Chinese,$,,,
-,-,-,37378,Group C,0174cbb039baa6b5,1619 Rineh32771,sake house,3/1/2020,1619 Rinehart Rd,Sanford,FL,32771,United States,,,,(407)878-2079,0,,Japanese,$,,,Grubhub; kwickmenu; Postmates; Yelp Reservation; Seamless; Caviar; Uber Eats; DoorDash
-,-,-,37379,Group C,017edf9107b051ac,227 E Main72927,Lin Buffet,3/1/2020,227 E Main St,Booneville,AR,72927,United States,,,,(479)675-8811,0,,Chinese,$$,,,
-,-,-,37380,Group C,0194c401050519a9,2154 Unive33612,Vjk Japan,10/4/2020,2154 University Square Mall,Tampa,FL,33612,United States,,,,(727)657-7271,0,,Japanese,$,,,Grubhub; Seamless; Caviar; Postmates; DoorDash
-,-,-,37381,Group C,01a81666c764e461,1525 W Ten32304,Natural Kitchen,3/1/2020,1525 W Tennessee St,Tallahassee,FL,32304,United States,,,,(850)727-4563,0,naturalkitchenusa@gmail.com,Hawaiian; Japanese,$$,,,WooCommerce; Squarespace; Apple Pay; MailChimp; Opencart; Menufy; DoorDash; Uber Eats
-,-,-,37382,Group C,01ae60593196bc61,849 Jones 6516,Sing's Kitchen,3/1/2020,849 Jones Hill Rd,West Haven,CT,6516,United States,Zhen,Huang,,(203)933-7999,1,,Chinese,,,,Culinary Agents
-,-,-,37383,Group C,01ba14b8c712108e,152 Campbe6516,Bao's Chinese Kitchen,3/1/2020,152 Campbell Ave,West Haven,CT,6516,United States,,,,(203)934-1461,0,,Chinese,$,,,
-,-,-,37384,Group C,01bf9e1b72810cf2,66 Nelson 32433,Plateful Buffet,3/1/2020,66 Nelson Ave E,Defuniak Springs,FL,32433,United States,,,,(850)892-2931,0,,Chinese,$$,,,
-,-,-,37385,Group C,01cbff8c91a8c7ca,3607 N Cam85719,Sky Dragon,3/1/2020,3607 N Campbell Ave,Tucson,AZ,85719,United States,,,,(520)838-0688,0,,Chinese,$$,,,
-,-,-,37386,Group C,01d42cec78147ed7,13025 W Ra85392,Flavors of Louisiana,3/1/2020,13025 W Rancho Santa Fe Blvd,Avondale,AZ,85392,United States,Jennifer,G,https://www.linkedin.com/in/jennifer-goff-b384b637,(623)935-2357,2,flavorsoflouisiana@gmail.com,Cajun,$$,,,Wix Restaurants; Google Maps
-,-,-,37387,Group C,01d586929c846260,1241 Airpo34104,Dragon Palace,3/1/2020,1241 Airport Pulling Rd S,Naples,FL,34104,United States,Xingao,Gao,,(239)263-1884,1,info@dragonpalacefl.com,Chinese,$,,,Google Analytics; Grubhub; Squarespace; Chinese Menu Online; Apple Pay; BeyondMenu; Google Maps; MailChimp; Opencart; Menufy; DoorDash; Uber Eats
-,-,-,37388,Group C,01d700b2b544e7de,1281 Penma32250,New Wok,3/1/2020,1281 Penman Rd,Jacksonville Beach,FL,32250,United States,,,,(904)595-5935,0,,Chinese,$,,,
-,-,-,37389,Group C,01deb3c263048534,2020 W Pen32304,Royal Thai and Sushi,3/1/2020,2020 W Pensacola St,Tallahassee,FL,32304,United States,,,,(850)536-6483,0,tuakbali@yahoo.com,Japanese,$$,,,YourAdChoices; The NAI; Google Maps; Menufy; Uber Eats
-,-,-,37390,Group C,01e62da88fd7a7e2,4901 E Sil34470,Great Wall Chinese,3/1/2020,4901 E Silver Springs Blvd,Ocala,FL,34470,United States,,,,(352)236-2088,0,,Chinese,$,,,
-,-,-,37391,Group C,01ec8ded1395d954,6419 Stirl33314,Serious Dumplings,10/6/2023,6419 Stirling Rd,Davie,FL,33314,United States,,,,(954)530-7982,0,,Chinese,$,,,Grubhub; Seamless; Uber Eats; Postmates; DoorDash
-,-,-,37392,Group C,01f5bf1ad17e4458,6737 US Hi33809,Northside Asian Kitchen,3/1/2020,6737 US Highway 98 N,Lakeland,FL,33809,United States,,,,(863)859-0004,0,,Japanese,$,,,Toast Marketplace; Grubhub; Seamless; Uber Eats; Postmates; Caviar; DoorDash
-,-,-,37393,Group C,01fabd78d8fa6a41,734 E Main72454,Cajun Dave's,11/27/2023,734 E Main St,Piggott,AR,72454,United States,,,,(870)335-8021,0,,Cajun,,,,
-,-,-,37394,Group C,01fb6ff13350e800,910 Staffo6010,Taste of China,3/1/2020,910 Stafford Ave,Bristol,CT,6010,United States,Ching Ki,Cheng,,(860)585-0503,1,,Chinese,$$,,,Culinary Agents; DoorDash; Caviar
-,-,-,37395,Group C,02069bc5b23b319f,3842 Midla72904,Asian Kitchen Express,3/1/2020,3842 Midland Blvd,Fort Smith,AR,72904,United States,Mama,S,,(479)308-9050,1,,Chinese; Thai,$,,,WaitR; Culinary Agents; DoorDash
-,-,-,37396,Group C,0217a8332462f039,986 Poquon6340,Dan's Rice Box Asian Cuisine,3/1/2020,986 Poquonnock Rd,Groton,CT,6340,United States,Jimmy,C,,(860)237-3386,2,,Japanese; Chinese,$,,,Grubhub; Seamless; Menufy; Caviar; DoorDash
-,-,-,37397,Group C,021860f5a2d007db,1101 E Col32803,Chuan Lu Garden,3/1/2020,1101 E Colonial Dr,Orlando,FL,32803,United States,Yan,C,,(407)896-8966,1,chuanlugarden@gmail.com,Chinese,$$,,,Grubhub; Culinary Agents; Postmates; Seamless; BeyondMenu; Google Maps; DoorDash; Uber Eats; Caviar
-,-,-,37398,Group C,0226c43f0dde318b,9810 Bayme32256,Sushi House,3/21/2020,9810 Baymeadows Rd,Jacksonville,FL,32256,United States,,,,(904)997-0966,0,,Japanese,$$,,,DoorDash
-,-,-,37399,Group C,023089122275c6d9,9289 Sheri33024,King's Grill,3/1/2020,9289 Sheridan St,Hollywood,FL,33024,United States,,,,(954)362-4827,0,,Indian; Chinese,$$,,,MenuPages; DoorDash; Caviar; Postmates; Squarespace; Uber Eats
-,-,-,37400,Group C,023e47032d0fadec,125 Venice34285,Bushido Sushi,3/1/2020,125 Venice Ave,Venice,FL,34285,United States,David,MacRae,,(941)485-1757,1,,Japanese,$$,,,Google Maps; Culinary Agents; Squarespace
-,-,-,37401,Group C,0241b8f73f59ed43,1948 W Bro85202,Wen Yu Hot Pot,3/1/2020,1948 W Broadway Rd,Mesa,AZ,85202,United States,,,,(857)272-2014,0,,Szechuan; Chinese,$$,,,Google Analytics; WooCommerce; Fantuan; Grubhub; Google Maps; Menusifu
-,-,-,37402,Group C,02498d1734902724,348 Havend33823,Hibachi Express Auburndale,3/19/2021,348 Havendale Blvd,Auburndale,FL,33823,United States,,,,(863)229-7827,0,,Japanese,$$,,,Facebook Pixel; Google Analytics; Postmates; BeyondMenu; Google Maps; Menufy; DoorDash; Uber Eats
-,-,-,37403,Group C,0252136806c031e6,3635 Aloma32765,Ramen Takagi,3/1/2020,3635 Aloma Ave,Oviedo,FL,32765,United States,,,,(321)972-8602,0,info@ramentakagi.com,Japanese,$$,,,WooCommerce; Grubhub; Postmates; Google Maps; Clover POS; Caviar; Uber Eats; DoorDash
-,-,-,37404,Group C,0263243824dc66bb,13485 Coun34609,E Sushi Japanese Grill & Sushi Bar,3/1/2020,13485 County Line Rd,Spring Hill,FL,34609,United States,,,,(352)848-3788,0,,Japanese,$$,,,
-,-,-,37405,Group C,02a1ee7471e6a7da,9860 Boynt33472,Asian Grill,3/1/2020,9860 Boynton Beach Blvd,Boynton Beach,FL,33472,United States,,,,(561)369-4334,0,,Chinese,$$,,,DoorDash; Caviar; Uber Eats
-,-,-,37406,Group C,02ac14612eab5974,5 Harrison32401,Harrison's Kitchen & Bar,8/14/2022,5 Harrison Ave,Panama City,FL,32401,United States,,,,(850)979-5550,0,shelby.carrico@joe.com,Southern; Creole; Cajun,$$,,,Facebook Pixel; Paylocity; Google Analytics; Squarespace; OpenTable; SinglePlatform; Google Maps; Paycom
-,-,-,37407,Group C,02ad45927e489a5b,943 Wolcot6705,Royal Buffet,3/1/2020,943 Wolcott St,Waterbury,CT,6705,United States,Andy,Liu,,(203)753-5888,1,,Chinese,$,,,Google Maps; Uber Eats
-,-,-,37408,Group C,02aecf3c689a88b2,4185 Bonit34134,Muji Thai Country & Sushi,11/11/2020,4185 Bonita Beach Rd SW,Bonita Springs,FL,34134,United States,,,,(239)221-7305,0,,Japanese; Thai,$$,,,Smile Dining; Grubhub; Google Maps; DoorDash; Uber Eats; Smile pos
-,-,-,37409,Group C,02b4b90aa4c05302,9920 S Rur85284,Poke Wave,3/1/2020,9920 S Rural Rd,Tempe,AZ,85284,United States,,,,(480)577-8238,0,pokewavetempe@gmail.com,Japanese,$$,,,Weebly; Grubhub; Postmates; Square; Seamless; Google Maps; DoorDash; Uber Eats; Caviar
-,-,-,37410,Group C,02b69be03846b32d,7909 NW 2n33126,China Village,3/1/2020,7909 NW 2nd St,Miami,FL,33126,United States,,de Nye,,(305)262-6866,1,,Chinese,$,,,Uber Eats
-,-,-,37411,Group C,02bb0e2171929690,14807 E Co32826,Kyoto Sushi & Grill,3/1/2020,14807 E Colonial Dr,Orlando,FL,32826,United States,,,,(407)802-4142,0,,Japanese,$$,,,Chownow; Google Maps; Uber Eats
-,-,-,37412,Group C,02cf752ff378b14b,7226 Manat34209,Shanghai Chinese Restaurant,3/1/2020,7226 Manatee Ave W,Bradenton,FL,34209,United States,Wen,Liu,,(941)794-8828,1,,Chinese,$,,,Grubhub; Google Maps; BeyondMenu; DoorDash; Caviar; Postmates; Uber Eats
-,-,-,37413,Group C,02d919906a5308b9,901 N US H34950,Swift Grill,7/27/2022,901 N US Highway 1,Fort Pierce,FL,34950,United States,,,,(772)448-8699,0,swiftgrill@hotmail.com,Japanese; Mediterranean,$$,,,Wix Restaurants; Facebook Pixel; Grubhub; Clover POS; Uber Eats; DoorDash
-,-,-,37414,Group C,02e6f2267f3bee3e,955 Ferry 6614,Osaka Hibachi Buffet,3/1/2020,955 Ferry Blvd,Stratford,CT,6614,United States,,,,(203)870-1808,0,,Chinese,$,,,
-,-,-,37415,Group C,02e708763d26ef59,5612 Roger72903,Ninja Japanese Express,3/1/2020,5612 Rogers Ave,Fort Smith,AR,72903,United States,,,,(479)452-3088,0,ninjajapanesexpress@gmail.com,Japanese,$,,,Grubhub; Seamless; ASAP; Menufy; Caviar; DoorDash
-,-,-,37416,Group C,02ea79bc398483d5,737 22nd S32960,Red Wok,3/27/2022,737 22nd St,Vero Beach,FL,32960,United States,,,,(772)226-5618,0,redwokvero@gmail.com,Vietnamese; Chinese,$$,,,Facebook Pixel; Grubhub; Google Maps; DoorDash; Uber Eats
-,-,-,37417,Group C,02f64b4e2bd413be,2439 18th 20009,Hilo Poke & Sushi,3/1/2020,2439 18th St NW,Washington,DC,20009,United States,,,,(202)588-5008,0,hilopokesushi@gmail.com,Japanese,$$,,,Toast Online Ordering; Grubhub; Culinary Agents; Squarespace; Postmates; Seamless; MailChimp; Google Maps; Uber Eats; DoorDash; Caviar
-,-,-,37418,Group C,02fbf01ec6d08730,4802 S 6th85714,Sushi Lounge,3/1/2020,4802 S 6th Ave,Tucson,AZ,85714,United States,Lui,Wing,,(520)294-4408,1,,Japanese,$$,,,Facebook Pixel; Google Analytics; Grubhub; Apple Pay; Seamless; Google Maps; Menufy
-,-,-,37419,Group C,02fc3678dc6dbb7a,6429 San J32210,Mr Dragon Chinese Restaurant,3/1/2020,6429 San Juan Ave,Jacksonville,FL,32210,United States,Siubin,Lin,,(904)378-9913,1,,Chinese,$,,,Grubhub; Postmates; BeyondMenu; Google Maps; Seamless; Caviar; DoorDash; Uber Eats
-,-,-,37420,Group C,0308f71056136ceb,4424 W Ken33609,Poke Fish,3/1/2020,4424 W Kennedy Blvd,Tampa,FL,33609,United States,,,,(813)252-4189,0,brad@eatpokefish.com,Hawaiian; Japanese,$$,,,Chownow; Grubhub; Seamless; Uber Eats; Postmates; Squarespace; DoorDash
-,-,-,37421,Group C,03129eb71ce8a273,397 E Alta32701,Hana Sushi,3/1/2020,397 E Altamonte Dr,Altamonte Springs,FL,32701,United States,Don,K,,(407)830-9233,1,meiwuzheng@gmail.com,Japanese,$$,,,Google Analytics; Grubhub; Seamless; DoorDash; Uber Eats; Postmates; Caviar
-,-,-,37422,Group C,031624bee52d0658,194 Buckla6042,Cajun Cafe & Grill,3/1/2020,194 Buckland Hills Dr,Manchester,CT,6042,United States,John,Ghan,,(860)648-2271,1,,Cajun,$,,,
-,-,-,37423,Group C,031fe864ead390bd,2448 E Sun33304,Tobu Asian Eatery,3/1/2020,2448 E Sunrise Blvd,Fort Lauderdale,FL,33304,United States,,,,(954)563-4040,0,apolloniafoodinc@gmail.com,Japanese; Chinese,$,,,Grubhub; Seamless; Postmates; DoorDash
-,-,-,37424,Group C,03313b10185a8786,4871 Park 33709,Lanna Thai and Sushi Restaurant,3/1/2020,4871 Park St N,St Petersburg,FL,33709,United States,Wora,Park,,(727)545-3057,1,,Japanese; Thai,$$,,,Grubhub; Smile pos; Postmates; Smile Dining; Google Maps; Seamless; DoorDash; Uber Eats
-,-,-,37425,Group C,0335d8c2c4a7b304,550 Lee Bl33936,Princess Sushi by Chef chris,3/1/2020,550 Lee Blvd,Lehigh Acres,FL,33936,United States,,,,(239)297-4565,0,,Japanese,,,,
-,-,-,37426,Group C,033976991c863056,100 E Came85012,Sushi Vibe,3/31/2020,100 E Camelback Rd,Phoenix,AZ,85012,United States,,,,(602)279-5299,0,,Japanese,$$,,,Yelp Waitlist
-,-,-,37427,Group C,034120ea1bde97c9,9945 Trini34655,Dang Good Sushi,3/1/2020,9945 Trinity Blvd,New Port Richey,FL,34655,United States,,,,(727)264-6742,0,hello@danggoodsushi.com,Japanese,$$,,,DoorDash; Caviar; Postmates; Uber Eats
-,-,-,37428,Group C,035a7f4883f9270e,861 N Higl85234,Wild Ginger Asian Bistro,3/1/2020,861 N Higley Rd,Gilbert,AZ,85234,United States,,,,(480)907-7717,0,davidgee8@yahoo.com,Chinese,$$,,,WooCommerce; Grubhub; Seamless; Google Maps; Uber Eats; DoorDash; Caviar
-,-,-,37429,Group C,035b5a90852b4628,711 N 14th34748,China Garden,3/1/2020,711 N 14th St,Leesburg,FL,34748,United States,,,,(352)319-9938,0,,Chinese,$,,,
-,-,-,37430,Group C,0380b8c07d5f51e0,5857 N Uni33321,Tokyo Peking Express,3/1/2020,5857 N University Dr,Tamarac,FL,33321,United States,Jessie,Pan,,(954)722-7770,1,,Chinese; Cajun,$,,,BeyondMenu; Uber Eats
-,-,-,37431,Group C,0382e8c28e92d774,4898 S Kir32811,818 Heat Hot Pot,8/28/2022,4898 S Kirkman Rd,Orlando,FL,32811,United States,,,,(407)440-2615,0,,Chinese,$$,,,Menusifu; MealKeyway
-,-,-,37432,Group C,038e17ea5662e1ac,3558 Clark34231,China Star,3/1/2020,3558 Clark Rd,Sarasota,FL,34231,United States,,,,(941)923-1388,0,info@chinastarsarasotafl.com,Chinese,$,,,Google Analytics; Grubhub; Squarespace; Chinese Menu Online; Apple Pay; BeyondMenu; Google Maps; MailChimp; Opencart; DoorDash
-,-,-,37433,Group C,038eba4c684a1a17,2137 SE Fe34994,Kazu Japanese Restaurant,3/1/2020,2137 SE Federal Hwy,Stuart,FL,34994,United States,Kazuya,Shiomoda,,(772)283-0456,1,info@kazu-sushi.com,Japanese,$$,,,OpenStreetMap; Canva; Uber Eats; Square; Postmates; Square Gift Cards
-,-,-,37434,Group C,039e73c598feaa6c,604 H St N20001,Wok and Roll,3/1/2020,604 H St NW,Washington,DC,20001,United States,Victor,T,,(202)347-4656,2,wokandrolldc@gmail.com,Japanese; Chinese,$$,,,MenuPages; Delivery.com; Google Maps; BeyondMenu; Culinary Agents; DoorDash; Uber Eats
-,-,-,37435,Group C,03b829c7c5cc7412,97 Church 6018,Great Wall Kitchen,3/1/2020,97 Church St,Canaan,CT,6018,United States,Yeung Yau,Kwai,,(860)824-7399,1,,Chinese,$,,,
-,-,-,37436,Group C,03c6121e1632c359,1713 S Cen85004,EZBachi,2/23/2021,1713 S Central Ave,Phoenix,AZ,85004,United States,,,,(602)900-6183,0,mirka@ezbachi.com,Japanese,$$,,,SpotOn; Wix Restaurants; Stripe; Toast Online Ordering; DoorDash
-,-,-,37437,Group C,03e8c5c38b354436,2521 Penns20020,Wahsing Restaurant,3/1/2020,2521 Pennsylvania Ave SE,Washington,DC,20020,United States,,,,(202)581-4500,0,,Chinese,$$,,,
-,-,-,37438,Group C,03f0c09e446abe5a,955 Alton 33139,Lil Dumplin,3/24/2022,955 Alton Rd,Miami Beach,FL,33139,United States,,,,(929)217-5198,0,,Chinese,$,,,Uber Eats
-,-,-,37439,Group C,03f591d0a86d1c71,1794 Barnu6610,Utopia Restaurant and Bar,11/6/2023,1794 Barnum Ave,Bridgeport,CT,6610,United States,,,,(475)257-7803,0,,Dominican; Japanese; Caribbean,$$,,,Grubhub; Seamless; Postmates; Uber Eats
-,-,-,37440,Group C,0403e8c21502c3c0,232 S Tynd32404,No. 1 Asian Buffet,3/24/2020,232 S Tyndall Pkwy,Panama City,FL,32404,United States,,,,(850)769-0002,0,,Japanese; Chinese,$,,,Facebook Pixel; Google Analytics; Grubhub; Apple Pay; Google Maps; Seamless; Menufy; DoorDash
