Restaurant ID,Account Name,Account: Business Phone,Mobile - Primary,Billing Street,Billing Zip/Postal Code,Billing State/Province (text only)
R83916,Wing Sing Kitchen R83916,(845) 896-6888,(646) 945-1666,"1004 Main Street, Route 52",12524,NY
R83918,CHINA GARDEN R83918,(928) 333-3222,(626) 341-3799,299 S Mountain Ave #C,85938,AZ
R83921,Peking Tokyo R83921,(315) 736-5588,(315) 404-2088,3 Henderson St.,13417,NY
R82533,Golden Wok R82533,(952) 431-9998,(612) 840-0633,1062 County Rd 42 E,55337,MN
R82901,^UDON SUSHI NOODLES^ R82901,(828) 378-6882,(828) 226-7268,129 S. Bleachery Blvd,28805,NC
R83925,New Garden R83925,(508) 675-1688,(646) 387-9018,887 North Main St.,2720,MA
R83929,China House R83929,(803) 996-5115,(715) 610-7171,1856 E South Lake Dr,29073,SC
R83926,China Star R83926,(618) 281-8888,(917) 325-1997,1240 Columbia Centre Columbia,62236,IL
R83927,Peony Asian Bistro R83927,(919) 419-8800/8818,(646) 203-5266,3515 Witherspoon Boulevard,27707,NC
R85056,Szechuan Garden R85056,(724) 834-5844,(646) 203-6195,660 E Pittsburgh St,15601,PA
R83931,Sagas - Asian Fusion Gourmet R83931,(516) 536-2888,(347) 933-9388,3109 Lawson Blvd.,11572,NY
R83936,Panda Chinese Restaurant R83936,(770) 717-9295,(904) 240-2044,4024 LAWRENCEVILLE HWY,30047,GA
R83932,China A Gogo (10450 w cheyenne) R83932,(702) 415-9575,(702) 885-8188,10450 W Cheyenne Ave,89129,NV
R83933,China King R83933,(561) 967-8688,(917) 657-6653,9859 Lake Worth Rd,33467,FL
R83935,China A Gogo (11710 w charleston) R83935,(702) 880-8818,(702) 885-8188,11710 W CHARLESTON BLVD,89135,NV
R83938,HUNAN VILLAGE R83938,(804) 333-1688,(443) 527-6636,453 MAIN ST,22572,VA
R88695,Peking City R88695,(914) 232-2368,(914) 282-8887,138 Bedford Rd,10536,NY
R83961,Wing Express R83961,(706) 738-6888,(917) 549-8622,503 Highland Ave,30904,GA
R83966,Grow Green R83966,(704) 876-9950,(704) 877-7470,608 Turnersburg Hwy A,28625,NC
R83952,Tsing Tao R83952,(414) 744-5560,(917) 929-5735,5765 S. Packard Ave,53110,WI
R83959,CJ Wok R83959,(484) 649-3924,(215) 398-8059,741 Burmont Road,19026,PA
R83956,Oriental Express R83956,(574) 291-5588,(646) 696-5577,1229 E Ireland Rd,46614,IN
R83953,Hibachi Express R83953,(540) 343-8168,(917) 257-2589,2035 SW Colonial Ave,24015,VA
R83955,*^CHICKI'S WINGS^* R83955,(803) 661-6808,(646) 592-5664,1927 Broad River Rd,29210,NC
R83957,LAO PEKING CHINESE RESTAURANT R83957,(816) 461-3564,(913) 233-6211,1020 South Sterling Ave.,64054,MO
R83958,Golden Dragon R83958,(732) 609-7305,(973) 678-3339,458 Central Avenue,7018,NJ
R85015,KING'S TASTE R85015,(718) 426-9068,(718) 426-9068,76-84 Astoria Boulevard South,11370,NY
R85099,Best Taste R85099,(401) 725-3333,(401) 743-7213,1001 Mineral Spring Ave.,2904,RI
R83972,Lucky Star R83972,(973) 371-7710,(646) 702-3199,1378 Springfield Ave,7111,NJ
R85092,China King R85092,(215) 722-3800,(215) 667-0849,1301 Cottman Ave.,19111,PA
R83968,Little China R83968,(910) 238-4973,(917) 362-6731,521 Yopp Rd,28540,NC
R83963,China Star R83963,(654) 966-2588,(954) 294-6768,3251 Hollywood Blvd,33021,FL
R83967,China 1 R83967,(703) 221-8884,(202) 907-9188,17076 Jefferson Davis Hwy,22026,VA
R86259,HONG KONG RESTAURANT R86259,(973) 546-6667,(917) 667-8385,259 LAKEVIEW AVE,7011,NJ
R83962,Happy Star R83962,(276) 466-8700,(917) 656-8825,1301 Old Euclid Ctr.,24201,VA
R83969,Big Chop Suey R83969,(314) 428-6266,(314) 600-4766,8949 Natural Bridge,63121,MO
R83965,Lobster King R83965,(662) 584-2981,(901) 848-8883,3903 N GLOSTER ST,38804,MS
R83975,NO.1 Chinese Restaurant R83975,(989) 692-3333,(917) 288-3073,216 N. Main Street,48623,MI
R83982,LUCKY EXPRESS R83982,(561) 998-9366,(917) 340-5252,1906 CLINT MOORE RD,33496,FL
R83973,CHINA EXPRESS II R83973,(239) 573-9988,(239) 223-9255,2522 SANTA BARBARA BLVD #306,33914,FL
R83979,Dynasty Restaurant R83979,(603) 332-1000,(646) 886-0909,24 SIGNAL ST,3867,NH
R83977,China Garden R83977,(317) 781-8677,(317) 509-4379,4200 South East St,46227,IN
R83976,Eastern R83976,(860) 282-2999/289-0488/291-8547(Fax),(347) 909-6666,69 John Fitch Blvd,6074,CT
R83978,China Taste R83978,(207) 878-1388,(207) 838-8713,1223 Washington Ave.,4103,ME
R83989,Long River R83989,(207) 935-1118,(646) 388-3297,117 Bridgton Rd,4037,ME
R83981,Hunan K R83981,(718) 779-8177,(646) 420-7113,60-14 Queens Blvd,11377,NY
R83991,Blaney's Wings & Grill R83991,(803) 834-6882,(803) 904-3322,7358 Parklane Rd,29223,SC
R83983,China Chef R83983,(352) 571-5258,(917) 865-5580,2159 Everglades Lane,32163,FL
R83992,Even Green R83992,(863) 294-4993,(863) 326-0464,1104 SPIRIT LAKE RD,33880,FL
R83985,Golden House R83985,(508) 753-0888,(646) 262-3023,700 Southbridge St,1610,MA
R83986,Bei Jing House R83986,(315) 797-3388,(315) 404-2088,1506 GENESEE ST,13502,NY
R83988,Koroke Asian Cuisine R83988,(219) 922-8822,(331) 701-1634,3901 45th St.,46322,IN
R85012,CHINA KING R85012,(812) 423-1896,(410) 330-6088,590 E Diamond Ave,47711,IN
R83993,China Wok R83993,-,(917) 769-0958,1727 N. Germantown Parkway,38018,TN
R83995,Peng's Asian Cuisine R83995,(407) 823-7799,(407) 334-3391,2508 South Semoran Blvd.,32822,FL
R83998,Sakura Ramen R83998,(918) 537-2098,(929) 666-9009,407 N. York Street Suite C,74403,OK
R85007,KYU Ramen R85007,(952) 600-1032,(952) 600-1032,1278 Town Centre Dr #175,55123,MN
R83997,Vip Express R83997,(336) 272-0700,(336) 681-6368,116 W Meadowview Rd,27406,NC
R85161,SUNNY WOK R85161,(941) 727-9060,(941) 302-5138,8756 E STATE RD 70,34202,FL
R83996,Shang Hai R83996,(860) 927-4809,(203) 482-7265,1 Landmark Ln.,6757,CT
R83999,New Canton Inn R83999,(313) 928-4220,(248) 252-7188,19333 Dix Rd,48122,MI
R85001,China Restaurant R85001,(864) 225-8818,(347) 673-3782,4369 Hwy 24,29625,SC
R85002,Lee's Kitchen R85002,(718) 231-2003,(917) 833-6553,806 Burke Avenue,10467,NY
R85958,CHINA STAR R85958,(302) 990-5085,(302) 727-1149,1256 Norman Eskridge Hwy,19973,DE
R85006,Panda Restaurant R85006,(302) 832-1688,(646) 512-3552,112 Fox Hunt Dr,19701,DE
R85005,Yummi Yummi R85005,(910) 371-0077,(646) 912-3214,112 VILLAGE RD NE,28451,NC
R85011,Tasty Tokoyo R85011,(352) 668-9788,(321) 663-1023,30825 Mirada Blvd,33576,FL
R85009,Good Taste R85009,(978) 356-8881,(917) 250-6839,"42 Central St,",1938,MA
R85023,U LIKE R85023,(517) 882-8588,(347) 259-8972,5025 S. Cedar St.,48910,MI
R85013,New Lucky China R85013,(314) 487-6161,(314) 939-2080,4038 Butler Hill Rd,63129,MO
R85016,China A Gogo (8380 W) R85016,(702) 333-0553,(702) 882-5985,1990 Village Center Circle #10,89134,NV
R85017,China A Gogo (2101 n rainbow) R85017,(702) 631-5988,(702) 882-5985,2101 North Rainbow Boulevard,89108,NV
R85021,Fiery Crab R85021,-,(917) 678-6576,3330 Veterans Memorial Boulevard,70002,LA
R85019,Fiery Crab R85019,-,(917) 678-6576,925 Common Street,70112,LA
R85018,Fiery Crab R85018,(504) 332-3900,(917) 678-6576,3900 Williams Boulevard,70065,LA
R85022,HAPPY WOK R85022,(740) 852-0748,(718) 801-9193,226 LAFAYETTE ST,43140,OH
R85025,Feng Lee R85025,-,(857) 205-4794,1626 Main St,4965,ME
R85026,Chengs Chinese Restaurant R85026,(407) 877-8282,(407) 868-2328,10962 W Colonial Dr,34761,FL
R85035,New Hong Kong R85035,(617) 783-3236,(617) 866-3644,14 TREMONT ST,2135,MA
R85027,China 1 R85027,(904) 355-3777,(904) 581-9996,3000 Moncrief Rd,32209,FL
R85028,Golden Chopsticks R85028,(817) 274-6320,(415) 939-7903,1110A North Collins,76011,TX
R85036,RUBY KITCHEN R85036,(732) 364-6670,(917) 370-6261,209 CLIFTON AVE,8701,NJ
R85029,New Century R85029,(607) 729-0156,(917) 847-7878,254 Main St,13790,NY
R85032,Peking house R85032,(336) 584-9990,(646) 309-6986,1441 G University Dr,27215,NC
R85031,SZCHUAN CHINESE RESTAURANT R85031,(541) 942-9338,(541) 788-0644,1140 N PACIFIC HWY,97424,OR
R85033,King Wok R85033,(919) 577-6852,(919) 577-6852,7405 Sunset Lake Road,27526,NC
R85037,Bei Jing Chef R85037,(845) 635-1168,(917) 576-8385,17 North Ave,12569,NY
R85038,GOOD CITY CHINESE RESTAURANT R85038,(770) 227-6961,(770) 757-0360,1424 N EXPY,30223,GA
R85039,New No. 1 China R85039,(240) 557-9525,(240) 557-9525,6376 Coventry Way,20735,MD
R85052,Crab Lobster R85052,(217) 330-6171,(309) 750-8984,927 S,62535,IL
R85051,Asian Wok R85051,(305) 651-2544,(954) 854-8155,1520 NE 205TH ST,33179,FL
R85053,Asian House R85053,(865) 475-3336,(865) 566-2983,652 East Broadway Blvd,37760,TN
R85055,Tokyo House One R85055,(336) 774-0067,(262) 309-8788,1957 Peace Haven Rd,27106,NC
R85057,Mayflower R85057,(202) 244-8858/9868,(301) 222-7379,4427 Wisconsin Ave. NW,20016,DC
R85061,Asia Kitchen R85061,(310) 516-1260,(310) 367-1008,3523 W. Artesia Blvd,90504,CA
R85068,China King R85068,(252) 257-0747,(917) 613-3192,"319E Macon Street,",27589,NC
R85058,family garden R85058,(614) 868-8522,(614) 377-7338,4256 Eastland Sq. Dr.,43232,OH
R85059,China Maxim R85059,(617) 783-5458,(617) 606-2978,241 MARKET ST,2135,MA
R85063,Golden Dragon R85063,(717) 632-0229,(917) 225-6365,7 S 6th St,17344,PA
R85062,Hong Kong R85062,(307) 778-7171,(347) 791-6263,3806 DELL RANGE BLVD,82009,WY
R85065,China Bistro R85065,(317) 273-0898,(317) 793-1501,10968 E. U.S. Hwy 36,46123,IN
R85071,L&T KITCHEN R85071,(914) 507-2078,(917) 497-0958,600 Tuckahoe Road,10710,NY
R82711,Hunan East R82711,(301) 568-6197,(347) 774-6966,5760 Silver Hill Rd,20747,MD
R85066,China King R85066,(573) 659-2332,(347) 506-5980,1709 Missouri Blvd,65109,MO
R85067,RUBY1 CHINESE RESTAURANT R85067,(215) 482-3800,(267) 467-7955,7140 RIDGE AVE,19128,PA
R85077,Chop Suey King R85077,(618) 274-6818,(314) 616-3878,800 Saint Louis Ave,62201,IL
R85069,China Wok R85069,(804) 559-8888,(804) 638-4166,9502 Chamberlayne Rd Ste 20,23116,VA
R85072 & R83201,Green Leaf R83201 R85072 & R83201,(718) 894-2226,(917) 535-0677,72-60 Metropolitan Avenue,11379,NY
R86032,Pacific Asian Cuisine R86032,(401) 534-0100,(917) 671-6036,63 Cumberland St.,2895,RI
R85073,Golden China R85073,-,(918) 606-4722,12170 SOUTH WACO AVENUE,74033,OK
R85078,China Cafe R85078,-,(917) 862-8629,165 BLACKFORD WAY # A,32086,FL
R85082,King House R85082,(715) 273-5899,(651) 202-7337,300 N MAPLE ST B,54011,WI
R85076,Happy Dragon R85076,(718) 231-3388,(646) 288-8876,3388 Jerome Ave,,NY
R85079,House of Tang R85079,(843) 524-7999,(843) 602-5888,102 Sea Island Parkway,29907,SC
R85075,Welcome 68 R85075,(910) 980-0603,(917) 868-8232,68 E STEWART ST,27521,NC
R85083,China Garden R85083,(904) 999-9853,(813) 576-8688,1650-6 SAN PABLO RD S,32224,FL
R85085,SHANG HAI RIVER R85085,-,(917) 520-8017,945 BOARDMAN-CANFIELD RD,44512,OH
R85087,JF Chen R85087,(905) 319-8180,(647) 675-8887,"2475 Appleby Line, Unit E4",L7L0B6,ON
R85086,Rice Cooker R85086,(317) 733-1137,(929) 588-2699,1211 W Oak St,46077,IN
R85089,Tokyo Sushi & Hibachi R85089,(239) 300-0961,(718) 552-0856,7550 Mission Hills Dr,34119,FL
R85088,Hunan Wok R85088,(904) 745-1212,(803) 991-3196,5566 FORT CAROLINE RD # 22,32277,FL
R85212,Yummy House R85212,(207) 710-2888,(207) 391-5035,20 Alfred Street,4005,ME
R85096,China Taste R85096,(972) 722-5088,(646) 508-7328,2130 Greencrest Blvd,75087,TX
R85097,Kar Restaurant R85097,(929) 337-6600,(347) 242-8953,439 Bushwick Ave.,11206,NY
R85093,China Taste R85093,(812) 284-5580,(917) 330-6659,135 Quartermaster Ct,47130,IN
R85095,China One R85095,(203) 467-8808,(475) 261-3008,381 Main St,6512,CT
R85105,China Garden R85105,12198665005,(219) 315-6777,670 South College Avenue,47978,IN
R85098,Emperor's Palace R85098,13603778822,(425) 697-0255,"5050 Washington 303,suite 125",98311,WA
R85101,Asian Express R85101,(336) 639-7231,(336) 639-8293,1356 N Church St,27217,NC
R85102,China One R85102,(517) 836-2159,(917) 238-3065,1208 S. Main St.,48827,MI
R85103,Panda House R85103,(413) 499-0660,(646) 388-3297,506 PITTSFIELD RD,1240,MA
R85112,Top's China R85112,(919) 682-0609,(214) 682-0556,1000 N Miami Blvd,27703,NC
R85106,Dragon House R85106,(740) 423-1224,(917) 361-9773,1808 Washington Blvd.,45714,WV
R85107,Asian Cafe R85107,(301) 662-0888,(301) 919-5387,1303 N. East,21701,MD
R85108,Fiery Crab R85108,(803) 324-2722,(917) 370-0958,1022 Camden Ave,29732,SC
R85111,Great Wall R85111,(610) 767-7101,(610) 563-6950,200 South Best Ave.,18088,PA
R85109,Red Samurai R85109,(769) 300-0654,(601) 954-0597,1060 HIGHWAY 51,39110,MS
R85116,Hokkaido R85116,(423) 508-8155,(917) 285-5165,4762 Highway 58,37416,TN
R85113,CHINATOWN R85113,(816) 313-7800,(917) 907-3997,9440 E. 350 Hwy,64133,MO
R85115,Yum's Carryout R85115,(202) 291-6618,(301) 283-8223,"628 Kennedy St NW, Washington",20011,MD
R85117,Sushi One R85117,(918) 347-8262,(918) 204-4541,808 E Taft Ave,74066,OK
R85118,Chan San R85118,(856) 342-8030,(856) 366-6160,3208 River Road,8105,NJ
R85122,China Wok R85122,(856) 354-6005,(646) 821-5358,"1400 Berlin Rd. , Rte 561",8003,NJ
R85123,Kitchen No.1 R85123,(301) 627-6276,(301) 332-7366,5739 Crain Hwy,20772,MD
R85125,Main Moon R85125,(330) 726-3886,(330) 942-2140,7050 Market Street,44512,OH
R85126,China City R85126,(978) 563-6338,(646) 322-4951,285 Central St,1453,MA
R85152,China Gate Restaurant R85152,(727) 859-9828,(727) 264-9094,11336 Ridge Rd,34654,FL
R85129,K&Q Restaurant R85129,7187987672/7673,(573) 691-9598,706 Burke Ave,10467,MI
R85131,Golden City R85131,(407) 388-1868,(321) 529-4806,520 FL-436 #1126,32714,FL
R85132,Mandarin Chinese R85132,(478) 477-5728,(678) 613-8640,3086 Riverside Dr #2512,31210,GA
R85133,Pekin Chinese R85133,(305) 858-9801,(347) 801-3737,2293 S.W. 17th Avenue,33145,FL
R85135,Eddie's R85135,(301) 735-4455,(240) 421-6050,4850 Marlboro Pike,20743,MD
R85136,China #1 R85136,(912) 754-1452,(718) 290-0250,1444 HWY 21 S,31329,GA
R85137,Empire 19 R85137,(718) 796-3338,(917) 548-8822,19A Knolls Crescent,10463,NY
R81378,GREAT CHINA R81378,(757) 545-5088,(757) 927-0818,"2044 Atlantic Ave, Shop #A",23324,VA
R81379,GREAT WALL R81379,(309) 788-8288,(309) 788-8288,1622 38th St,61201,IL
R81381,NEW BEST HUNAN R81381,(917) 770-6982,(917) 971-2882,418 Geyser Rd,12020,NY
R85155,Golden City R85155,(860) 582-8828,(917) 913-3608,311 Main St,6786,CT
R88317,^DRAGON STAR^ R88317,(626) 827-3335,(917) 635-9158,662 E Hawley St,60060,IL
R88318,HONG KONG KITCHEN R88318,(443) 786-4332,(917) 915-9503,210 Marlboro Ave Suite 39,21601,MD
R88319,ASIAN TASTE R88319,(410) 409-8259,(443) 622-4855,5441 Belair Rd,21206,MD
R81001,BEST FOOD IN TOWN R81001,-,(917) 353-0880,325 E Jimmie Leeds Rd,8205,NJ
R81002,PANDA HOUSE R81002,(615) 618-0975,(615) 366-8885,853 Briley Pkwy,37217,TN
R81006,XIANG DRAGON R81006,(212) 369-8012,,2331 First Ave,10035,NY
R81007,LITTLE BASIL R81007,(609) 802-1337,(646) 552-3687,906 Conestoga Road,19010,PA
R81008,TASTY R81008,-,(832) 755-0729,1234 Farmington Ave,6107,CT
R81009,CHINA KING R81009,(917) 558-6727,(917) 392-2696,1759 Lexington Ave,10029,NY
R81013,GREAT WALL R81013,-,(914) 320-1193,25 TAYLOR SQUARE,10604,NY
R81016,CHINA KING R81016,(302) 984-0408,(917) 678-6331,2003 N. Market Street,19802,DE
R81018,CHINA GARDEN R81018,(570) 885-1455,(347) 833-9926,15 S Main Street,18705,PA
R81019,CHINA KING R81019,(272) 235-8344,(570) 677-6096,1732 N. Keyser Ave,18508,PA
R81021,FENG'S KITCHEN R81021,(262) 900-1894,(262) 527-3996,1840C Meadow Ln,53072,WI
R81022,NEW DE XING R81022,(718) 978-3496,(917) 388-6223,225-21 Merrick Blvd.,11413,NY
R81023,MANDARIN TASTE R81023,(314) 397-2373,(347) 830-5728,"6805 York Road, Suite B",21212,MD
R81026,NEW GOLDEN GARDEN R81026,(631) 258-4330,(646) 823-7123,1062 Motor Parkway,11722,NY
R81028,CHINA WOK R81028,(203) 981-3493,(917) 892-2669,3431 Boston Rd,10469,NY
R81029,HONG KONG R81029,(302) 388-4010,(929) 285-0915,5350 Summit Bridge Rd,19709,DE
R81031,CHINA KING R81031,(251) 256-9500,(251) 597-7075,25637 Canal Rd,36561,AL
R81033,CHAI HWA R81033,(718) 808-2192,(917) 340-5037,3762 White Plains Rd,10467,NY
R81035,CHINA DRAGON R81035,(917) 818-8506,(216) 317-3221,87B Northfield Rd,44146,OH
R81037,GOLDEN DRAGON R81037,(475) 295-0841,(718) 360-3431,39871 US-27,33837,FL
R81051,*^MING'S KITCHEN^* R81051,(973) 336-1916,(646) 683-5956,500 Broardway,7514,NJ
R81052,HANG LEE R81052,(347) 987-9803,(917) 362-7858,666 W. 204th Street,10034,NY
R81053,GOLDEN STAR R81053,(570) 466-1161,(646) 515-3988,360 North River Street,18702,PA
R81057,KING HUA R81057,(757) 799-7607,(917) 528-1733,752 Independence Boulevard,23455,VA
R81058,UNIQUE R81058,(610) 476-2968,(917) 816-1658,1401 Philadelphia Pike,19809,DE
R81061,ORIENTAL DELIGHT R81061,(248) 404-7447,(864) 315-8308,3093 S Highway 14,29650,SC
R81063,NEW KING WOK R81063,(706) 961-8153,(347) 893-7737,117 Walmart Dr,30643,GA
R81065,NEW CHINA R81065,(862) 304-2747,(570) 677-1019,526 Hazle Street,18702,PA
R81067,^ORIENTAL GARDEN^ R81067,(801) 465-8818,(385) 888-1718,1392 Turf Farm Rd,84651,UT
R81068,NEW EAST R81068,(201) 926-1529,(646) 266-6312,196 Main Street,7601,NJ
R81072,WING HING R81072,(267) 971-0519,(646) 309-4181,15 S. Broadway,8030,NJ
R81073,^HK CHINA ONE^ R81073,(734) 657-0861,(734) 358-1541,517 W Cross St,48197,MI
R81075,ASIAN GRILL R81075,(330) 764-3332/3336,(330) 764-3332,1164 North Court St,44256,OH
R81076,CHINA STAR R81076,(646) 457-5479,(347) 513-0759,4988 Roe Ave,66205,KS
R81081,*CHINA BEST* R81081,(917) 733-8627,(231) 527-8572,632 Holly Springs Rd,27540,NC
R81082,KING TASTE R81082,(973) 674-1642,(267) 905-5395,352 Main St,7050,NJ
R81086,HORSHAM R81086,(215) 444-9959,(267) 615-1596,314 Horsham Rd,19044,PA
R81087,SHENG GARDEN R81087,(201) 321-1455,(551) 242-5532,1418 Teaneck Road,7666,NJ
R81088,^JADE BOWL^ R81088,(772) 873-8822,(518) 682-6888,3067 SW Port St. Lucie Blvd,34953,FL
