EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Matching Address?,Updated Address,Business Phone
R81035,CHINA DRAGON,87B Northfield Rd,OH,4402325911,9178188506,,open,Y,no,87 Northfield Rd,(440)232-5911
R81037,GOLDEN DRAGON,39871 US-27,FL,8634219300,,,open,Y,no,39871 Hwy 27,(863)421-9300
R81051,^MING'S KITCHEN^,500 Broardway,NJ,9737425722,6466835956,,open,N,no
R81052,HANG LEE,666 W. 204th Street,NY,2129420927,9173627858,,open,Y,no,666 W 204th St,(212) 942-0927
R81053,GOLDEN STAR,360 North River Street,PA,5708293888,6465153988,,open,Y,no,360 N River St,(570)829-3888
R81055,KING KEW GARDEN,116-49 Queens Blvd,NY,7182682288,6467278625,(718) 268-2288,open,Y,no,"116-49 Queens Blvd,",(718)268-2288
R81057,KING HUA,752 Independence Boulevard,VA,7575188026,9175281733,,open,Y,no,752 Independence Blvd,(757)518-8026
R81058,UNIQUE,1401 Philadelphia Pike,DE,3027924848,,,open,Y,yes,1401 Philadelphia Pike,(302) 792-4848
R81063,NEW KING WOK,117 Walmart Dr,GA,7063766655,,,open,Y,no,117 Wal Mart Dr,(706)376-6655
R81065,NEW CHINA,526 Hazle Street,PA,5708223888,5706771019,,open,Y,no,526 Hazle St,(570) 822-3888
R81067,^ORIENTAL GARDEN^,1392 Turf Farm Rd,UT,8014658818,,,open,Y,no,1392 Turf Farm Way,(801) 465-0588
R81068,^NEW EAST^,196 Main Street,NJ,2019960881,6462666312,,open,Y,yes,196 Main Street,(973) 646-8070
R81072,WING HING,15 S. Broadway,NJ,8564560501,8564560501,,open,Y,no,15 S Broadway,(856) 456-0501
R81073,^HK CHINA ONE^,517 W Cross St,MI,7344813333,,,open,Y,yes,517 W Cross St,(734) 481-3333
R81075,ASIAN GRILL,1164 North Court St,OH,3307643332,,,open,Y,no,1166 N Court St,(330)764-3332
R81076,CHINA STAR,4988 Roe Ave,KS,9134328882,,,open,N,no
R81081,*CHINA BEST*,632 Holly Springs Rd,NC,9195770888,,,open,Y,yes,632 Holly Springs Rd,(919)577-0888
R81086,HORSHAM,314 Horsham Rd,PA,2154449959,,,open,Y,yes,314 Horsham Rd,(215) 444-9959
R9999998XX4,*CHEF KING*,5628 Old Shell Rd,AL,1111111111,,,new,Y,N,5628 Old Shell Rd,(251) 342-2828
R81087,SHENG GARDEN,1418 Teaneck Road,NJ,2018371836,,,open,Y,no,1418 Teaneck Rd,(201)837-1836
R81088,^JADE BOWL^,3067 SW Port St. Lucie Blvd,FL,7728736888,5186826888,,open,Y,no,3067 SW Port St Lucie Blvd,(772)873-6888
R81091,*SAKURA KITCHEN*,410 Farmington Ave,CT,8605827575,,,open,Y,yes,410 Farmington Ave,(860)582-7575
R81095,KAM HEUNG,226 Hall Avenue,NJ,7328268891,8484598931,,open,Y,no,226 Hall Ave,(732)826-8891
R81096,NEW GARDEN,1535 Westchester Ave,NY,7189913384,,,open,Y,yes,1535 Westchester Ave,(718)991-3384
R81098,PANDA HOUSE,1462 Garner Station Blvd,NC,9197793588,,,open,Y,yes,1462 Garner Station Blvd,(919) 779-3588
R81099,*CHINA KITCHEN*,2035 S. Washington Street,IL,6303698881,,,open,N,no
R81101,NEW CHINA,2921 Linden Ave,OH,9372568800,,,open,Y,no,"2921 Linden Ave,",(937)256-8800
R81103,*CHINA CITY*,544 East St,PA,5707648528,,,open,Y,yes,544 East St,(570) 764-8528
R81107,CHINA WOK,200 S Emerson Ave,IN,3178898889,9292152272,,open,Y,yes,200 S Emerson Ave,(317) 889-8889
R81109,*LUCKY*,10841 Hull St. Rd,VA,8047451188,,,open,Y,no,"10841 Hull St Rd,",(804)745-1188
R81112,CHINA WOK,345 Comet Dr,PA,7178722008,,,open,Y,yes,345 Comet Dr,(717) 872-2008
R81116,*CHINA WOK*,2039 S. Pleasant Valley Rd,VA,5405357256,5717210091,,open,Y,no,2039 S Pleasant Valley Rd,(540)535-7256
R190355,TEST RESTO ROS 35,3030 Northern Blvd,NY,1111111111,1111111111,,reject,N,N
R190354,TEST RESTO ROS 35,Testing,AL,1111111111,,,reject,N,N
R81040,TEST RESTO 40,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R190353,TEST RESTO ROS 34,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R190352,TEST RESTO ROS 33,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R123943,Test Auto,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R190351,TEST RESTO ROS 32,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R081038,TEST RESTO 38,Testing,AL,4103631878,9733456838,,reject,N,N
R19035,TEST RESTO ROS 32,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R81117,^LI CHINA HOUSE^,8040 E 7 Mile Rd,MI,3133663366,7349998323,,open,Y,no,8040 7 Mile Rd E,(313)366-3366
R81119,*GOURMET*,587 Hwy 51 N,MS,6016051061,,,open,Y,no,587 US-51,(601)605-1061
R81121,RICE BUCKET,15364 N. W. 79 Court,FL,3053627454,,,open,Y,no,15364 NW 79th Ct,(305)362-7454
R81122,CHINA HOUSE,7829 W. Hefner Rd,OK,4057730110,4056268377,,open,Y,no,"7829 W Hefner Rd,",(405)773-0110
R81125,*JIN JIN IN LOCUST*,1014 W. Main St,NC,7048885434,,,open,Y,no,1014 Main St W,(704)888-5434
R81127,MR WOK,1250 S Broad St,NJ,6099898881,,,open,Y,yes,1250 S Broad St,(609)989-8889
R81128,*HUNAN KING*,1537 West River Rd,OH,4403244095,6463315151,,open,Y,no,1537 W River Rd N,(440)324-4095
R81132,GOLDEN GARDEN,545 West Broad St,NJ,8564238781,,,open,Y,no,545 W Broad St,(856)423-8781
R81133,CHINA WOK,57 4th Ave,NY,7186381898,,,open,Y,no,"57 4th Ave,",(718)638-1898
R81135,*CHINA PANDA*,806 Spring Lane,NC,9197741188,9193530469,,open,Y,no,806 Spring Ln,(919)774-1188
R81136,*MOON STAR II*,5873 Palmer Park Blvd.,CO,7193809333,7196239070,,suspended,Y,no,5873 Palmer Park Blvd,(719)380-9333
R81139,^NEW CHINA GOLD CAFE^,880 Central St,NH,6039346688,6316408082,,open,N,no
R81151,GOOD TASTE,532 W. Gannon Ave,NC,9194041218,,,open,Y,no,532 W Gannon Ave,(919)404-1218
R81152,*HONG'S GARDEN*,820 Castle Valley Blvd,CO,9709843298,,,open,Y,yes,820 Castle Valley Blvd,(970)984-3298
R81155,WOK N' STUFF II,"3435 N. Avenue, Suite 202",FL,3526299969,9335336110,,open,N,no
R81157,DRAGON EXPRESS,939 Robbins Rd,MI,6168442288,,,open,Y,yes,939 Robbins Rd,(616) 844-2288
R81158,*LITTLE CHINESE KITCHEN*,701 David Dr Suite F,LA,5047332535,,,open,Y,no,701 David Dr,(504)733-2535
R81159,^EXPRESS CHINA^,2025 Harden St.,SC,8037792136,2674959188,,open,Y,no,2025 Harden St,(803) 779-2280
R81161,SING WOK KITCHEN,353 E 204th St,NY,7188828530,,,open,Y,yes,353 E 204th St,(718) 882-8530
R85XXX,MAIN GARDEN 2,123 ABC St.,NJ,8888888888,9734581888,,closed,N,N
R81162,*BAMBOOS*,2675 SW 91st St,FL,3523311522,,,open,Y,yes,2675 SW 91st St,(352)331-1522
R81163,YUMMY,129 University Dr.,WI,9209236668,9209236669,,open,Y,no,129 University Dr,(920) 923-6668
R81166,*CHINA QUEEN*,2233 Avent Ferry Rd,NC,9198328882,,,open,Y,no,"2233 Avent Ferry Rd,",(919)832-8882
R81167,88 CHINESE EXPRESS,31 N Queen St,PA,7173998898,7176836566,,open,Y,yes,31 N Queen St,(717)399-8898
R81168,*ROSE GARDEN*,6090 Shingle Creek Pkwy,MN,7635607000,7635669000,,open,Y,yes,6090 Shingle Creek Pkwy,(763) 560-7000
R81171,CHINA DRAGON,2200 E 2nd St,AL,2519682115,6788993558,,open,Y,yes,2200 E 2nd St,(251) 968-2115
R81172,NEW GARDEN,4629 Cortez Rd W,FL,9417618888,,,open,Y,yes,4629 Cortez Rd W,(941) 761-8888
R81177,*LUCKY CHINA*,3600 Cherokee St NW suite111,GA,7704287773,7704287773,,open,Y,no,3600 Cherokee St NW,(770)428-7773
R12345Testing2,TEST DELIVERY RESTO 2,69-11 Northern Blvd,NY,1111111111,,,reject,Y,N,69-11 Northern Blvd,(718) 651-8080
R81178,*NEW OCEAN*,1128 E Luzerne St,PA,2152887871,,,open,Y,yes,1128 E Luzerne St,(215)288-7871
R81181,*CHEF CHEN*,2743 Elm Rd,OH,3303726199,4406547538,,open,Y,no,2743 Elm Rd NE,(330)372-6199
R81182,CHINA SPRING,126 General Puller Hwy G,VA,8047582266,9177708200,,open,Y,no,126 General Puller Hwy,(804)758-2266
R81183,CHINESE KITCHEN,64 Pleasant Valley Rd S,CT,8604456000,6463714205,,open,Y,yes,64 Pleasant Valley Rd S,(860) 445-6000
R81186,LIU'S GARDEN,11517 Shelbyville Rd,KY,5022449898,6464418577,,open,Y,yes,11517 Shelbyville Rd,(502) 244-9898
R81191,BAMBOO GARDEN,103 N Broadway St,OK,4055982288,,,open,Y,yes,103 N Broadway St,(405)598-2288
R81193,CHINA KING,1400-150 Walter Reed Rd.,NC,9103239888,,,open,Y,no,1400 Walter Reed Rd,(910)323-9888
R81195,^CHINA LILY^,360 Moore Rd,FL,4076566868,3213169346,,new,N,no
R81199,GREAT WALL,1731 National Rd W,IN,7659625255,7652772266,,suspended,Y,yes,1731 National Rd W,(765)962-5255
R81201,JADE GARDEN,3620 Gateway Dr,WI,7158339868,7158289368,,open,Y,yes,3620 Gateway Dr,(715) 833-9868
R81202,*HOT WOK*,1887 Knox McRae Dr,FL,3213833286,,,open,Y,yes,1887 Knox McRae Dr,(321) 383-3286
R81203,*GREAT WALL*,603 N U.S. Hwy 41,FL,8136458887,8135314791,,open,N,no
R81205,HONG KONG,11204 Park Blvd,FL,7273209588,,,open,Y,yes,11204 Park Blvd,(727)320-9588
R81206,CHINA EXPRESS,1801 Cumberland Ave,KY,6062485000,,,open,Y,yes,1801 Cumberland Ave,(606) 248-5000
R81207,CHINA GARDEN,501 N Main St,IN,8124226699,,,open,Y,yes,501 N Main St,(541) 938-3881
R81208,RICE HOUSE,226 Brandilynn Blvd,IA,3192669999,,,open,Y,yes,226 Brandilynn Blvd,(319) 266-9999
R81211,DEAN HOUSE,14393 Pearl Rd,OH,4402689598,,,open,Y,yes,14393 Pearl Rd,(440)268-9598
R1234567890,TEST RESTO ROS 31,3030 Northern Blvd,NY,1111111111,,,new,N,N
R81212,*GOLDEN DRAGON*,1464 Mount Pleasant Rd,VA,7574825602,,,open,Y,no,1464 Mt Pleasant Rd,(757) 482-5602
R81213,CHINA TOWN,141 Collins Rd,WI,9206751666,,,open,Y,yes,141 Collins Rd,(920)675-1666
R81219,JIN JIN,137 Egg Harbor Rd,NJ,8562322288,,,open,Y,yes,137 Egg Harbor Rd,(856) 232-2288
R81223,HONG KONG,4935 Gulfport Blvd,FL,7273220888,,,open,Y,no,4935 Gulfport Blvd S,(727)322-0888
R81225,NO.1 CHINESE KITCHEN,106 Reisterstown Rd,MD,4104862878,,,open,Y,yes,106 Reisterstown Rd,(410) 486-2878
R81226,*NEW PANDA HOUSE*,4451 Winnetka Ave N,MN,7633980808,,,open,Y,yes,4451 Winnetka Ave N,(763) 398-0808
R81227,*WANG CAI*,209 S State Rd 135,IN,3178888595,3478636207,,open,Y,no,209 S State Road 135,(317)888-8595
R81228,*CHINA 1*,12004 Indian Rocks Rd,FL,7275178788,,,open,Y,yes,12004 Indian Rocks Rd,(727)517-8788
R81229,NO. 1,130 NC-102,NC,2527469919,9179516216,,open,N,no
R85893,*^SHOKUDO^*,469 Route 17,NJ,1111111111,6462020495,installing now,new,Y,Y,469 RT-17,(310) 347-7649
R81232,YUMMY KITCHEN,1603 Park Ave,NJ,9087558889,,,open,Y,yes,1603 Park Ave,(908)755-8889
R81233,DRAGON EXPRESS,3523 Roosevelt Blvd,OH,5137278880,6463225505,,open,Y,yes,3523 Roosevelt Blvd,(513) 727-8880
R81235,GREAT WALL,2359 Grand Concourse,NY,7183671277,3472484763,,open,Y,yes,2359 Grand Concourse,(718) 367-1277
R81236,GOLDEN CHOPSTICKS,644 US-1,FL,5617488688,5618095970,,open,Y,yes,644 US-1,(561) 748-8688
R81237,*JADE'S GARDEN*,411 E. South Street,IL,6305529828,,,open,Y,no,411 E South St,(630) 552-9828
R81238,*WOK N ROLL*,1680 Dunn Ave,FL,9047578988,,,open,Y,yes,1680 Dunn Ave,(904) 757-8988
R81239,*CHINA KING*,3720 W Truman Blvd,MO,5736592337,,,open,Y,yes,3720 W Truman Blvd,(573) 659-2338
R81251,ASIAN GRILL,1427 Goodman Rd W,MS,6623422802,,,open,Y,yes,1427 Goodman Rd W,(662) 342-2802
R81252,*CHINA KITCHEN*,3451 Peach Orchard Rd,GA,7067982611,,,open,Y,yes,3451 Peach Orchard Rd,(706)798-2611
R81255,CHINA KITCHEN,5332 N Cumberland Ave,IL,7736933223,,,open,N,no
R81256,^BAMBOO GARDENS^,907 6th St,WA,5097588898,,,open,Y,yes,907 6th St,(509) 758-8898
R81257,CHINA CAFE,4605 16th Street,IL,3095176185,,,open,Y,no,4605 16th St,(309) 517-6185
R81259,YUM YUM EXPRESS,6877 Dorchester Rd,SC,8437671828,,,open,Y,yes,6877 Dorchester Rd,(843)767-1828
R81261,^ASHEBORO CHINA HOUSE^,1200 N Fayetteville St,NC,3363280661,3365428366,,open,Y,yes,1200 N Fayetteville St,(336) 328-0661
R81262,*PANDA*,73-03 Yellowstone Blvd,NY,7182688899,,,open,Y,yes,73-03 Yellowstone Blvd,(718) 268-8899
R81263,*HUNA CHINA*,10 Lincoln Park Plaza,NJ,9736946488,6465089096,,open,Y,no,10 Lincoln Blvd,(973) 694-6488
R81265,KO SHENG,3350 Cleveland Ave,OH,6142621885,3473317265,,open,N,no
R81266,*ASIAN DELIGHT*,2126 Park Road,IN,7658271998,,,open,Y,no,2126 N Park Rd,(765)827-1998
R81267,BEST CHINESE,5501 1/2 Reisterstown Rd,MD,4103586918,,,open,Y,no,5501 Reisterstown Rd,(410) 358-6918
R18458,TEST RESTO ROS 30,3030 Northern Blvd,NY,1111111111,,,test,N,N
R12345Testing,TEST DELIVERY RESTO,69-11 Northern Blvd,NY,1111111111,,,reject,Y,N,69-11 Northern Blvd,(718) 651-8080
R81268,JIN JIN,6209 US-90,FL,8506239009,,,suspended,Y,yes,6209 US-90,(850) 623-9009
R81269,CHENG'S GOURMET,543 W 2nd St,OH,9373722233,,,open,Y,yes,543 W 2nd St,(937)372-2233
R18457,TEST RESTO ROS 29,3030 Northern Blvd,NY,1111111111,,,test,N,N
R81271,EN LAI,2356 Essington Rd,IL,8152549988,,,open,Y,yes,2356 Essington Rd,(815) 254-9988
R81272,NO 1,2949 Traverse Trail,FL,3525614314,9178085329,,open,Y,no,2949 Traverse Trl,(352) 561-4314
R8XXX5,*XXXCHONG QING HOUSEXXX*,402 E Green St.,IL,2173281888,6464208953,,reject,Y,N,402 E Green St,(217) 328-1888
R81273,SUN HING,654 Wolcott Rd,CT,2038798898,9173303768,,open,Y,yes,654 Wolcott Rd,(203) 879-8882
R81275,DRAGON BUFFET,550 Walton Drive,WI,9204495013,,,open,Y,no,550 Walton Dr,(920) 449-5013
R18619,TEST RESTO ROS 27,3030 Northern Blvd,NY,1111111111,,,new,N,N
R81277,LITTLE CHINA,515 Amy Drive,WI,6085269797,,,open,Y,no,515 Amy Dr,(608) 526-9797
R81278,CHEN GARDEN,1212 Mulberry St,PA,5703542152,,,open,Y,yes,1212 Mulberry St,(570) 354-2152
R81279,CHINA 1,3841 US Hwy 301 S,FL,8136265577,6462892258,,open,Y,no,3841 US-301 S,(813) 626-7779
R81282,TING HO KITCHEN,577 Uniondale Ave,NY,5164867630,,,suspended,Y,yes,577 Uniondale Ave,(516) 486-7630
R81283,*GREEN TEA*,5710 Ogeechee Rd,GA,9122369488,6462841115,,open,N,no
R81285,DIAMOND,446 Amboy Ave,NJ,7328261118,,,open,Y,yes,446 Amboy Ave,(732) 826-1118
R81286,GOLDEN PALACE,1711 Mur-Len Rd,KS,9137801511,,,open,Y,no,1711 S Mur-Len Rd,(913)780-1511
R81287,CHINA ONE,87 River Dr,NJ,9737788866,9178626788,,open,Y,yes,87 River Dr,(973) 778-8866
R81288,^NEW WONG'S^,5664 Washington St,FL,9549897828,,,open,Y,yes,5664 Washington St,(954) 989-7828
R81291,*CHINA GARDEN*,1216 N Main St,FL,3523721855,9173657981,,open,Y,yes,1216 N Main St,(419) 353-1688
R81292,LI LI,83-06 Grand Ave,NY,7185336500,9179126162,,open,Y,yes,83-06 Grand Ave,(718) 533-6500
R81293,GOLDEN CHINA,920 W City Hwy 16,WI,6087863788,,,open,Y,no,920 WI-16,(608)786-3788
R81295,NEW GREAT WALL,6871 W 130th St,OH,4408889999,,,open,N,no
R81296,NEW CHINA GOURMET,21960 23 Mile Rd,MI,5869499777,6462550996,,open,Y,yes,21960 23 Mile Rd,(586) 949-9777
R81297,^ORIENTAL KITCHEN^,919 N 18th Street,PA,2152357878,4849359080,,open,Y,no,919 N 18th St,(215) 235-7878
R81302,HOW MAY KITCHEN,743 Montauk Hwy,NY,6312890002,,,open,Y,yes,743 Montauk Hwy,(631)289-0002
R18586,TEST RESTO ROS 28,3030 Northern Blvd,NY,1111111111,1111111111,,reject,N,N
R18585,TEST RESTO ROS 27,3030 Northern Blvd,NY,1111111111,1111111111,,new,N,N
R81303,^FAR SING^,140 Main St,NY,5165932525,,,open,Y,yes,140 Main St,(516)593-2525
R81305,ASIAN CAFE,2316 Bel Air Rd,MD,4108772500,,,open,Y,yes,2316 Bel Air Rd,(410)877-2500
R81306,GOLDEN LILY,6253 Pearl Rd,OH,4408857388,,,open,Y,yes,6253 Pearl Rd,(440)885-7388
R81307,*CHEF CHEN*,11302 Quail Roost Dr,FL,3052348877,,,open,Y,yes,11302 Quail Roost Dr,(305) 234-8877
R81308,TASTE OF CHINA,4579 University Dr,IN,8124221260,,,open,Y,yes,4579 University Dr,(812) 422-1260
R81309,RISING DRAGON,814 Yellow Brick Rd,MN,9523689388,,,open,Y,no,"814 Yellow Brick Rd,",(952)368-9388
R81311,RICE KING,1512 Broadway St,OH,4192553968,,,open,Y,yes,1512 Broadway St,(419)255-3968
R81312,*FIRST WOK*,2570 Wabash Ave,IN,8122323898,6468844802,,open,Y,yes,2570 Wabash Ave,(812) 232-3898
R81313,CHINA CAFE,3018 E. 53rd Street,IA,5634419989,5633552253,,open,Y,no,3018 E 53rd St,(563) 441-9989
R81315,KING FOOD,7426 Frankford Ave,PA,2153329390,,,open,Y,yes,7426 Frankford Ave,(215) 332-9390
R81316,PEKING,129 W Main St,OH,4192810004,,,open,Y,yes,129 W Main St,(419) 281-0004
R81317,CHINA DRAGON,2914 West End Ave,TN,6153279200,,,open,Y,yes,2914 West End Ave,(615) 327-1311
R81318,^CRAZY WINGS^,3036 Ballentine Blvd,VA,7578558880,,,open,Y,yes,3036 Ballentine Blvd,(757) 855-8880
R81321,GRAND CHINA,39 S. Centre St,NJ,8566610212,,,open,Y,no,39 S Centre St,(856) 661-0212
R81323,SUNNY WOK,604 N Maple Ave,NJ,2016128811,,,open,Y,yes,604 N Maple Ave,(201) 612-8728
R81325,NUMBER 1 WOK,10175 Tamiami Trail,FL,9418330299,9412865244,,open,Y,no,10175 Tamiami Trl,(941)833-0299
R81326,HONG KONG,1303 SE 17th St,FL,9547288897,9546048803,,open,Y,no,"1303 SE 17th St,",(954)728-8897
R81327,FAR EAST ONE,5022 E. 10th Ave,FL,8132424868,,,open,Y,no,5022 E 10th Ave,(813)242-4868
R85XXXX,*CHINA SPRING*,2613 8th Ave S,TN,6153863892,3472689758,,reject,Y,Y,2613 Franklin Pike,(615) 386-3892
R81328,^FRIED RICE KITCHEN^,2623 W. Atlantic Blvd,FL,9549736477,,,open,Y,no,2623 W Atlantic Blvd,(954) 973-6477
R81329,*CHINA CITY*,13715 West Nine Mile Rd,MI,2485474663,,,open,Y,no,13715 W 9 Mile Rd,(248)547-4663
R81331,^LIN'S GARDEN^,108 W. Fulton St,WI,6088840388,,,open,Y,no,108 W Fulton St,(608)884-0388
R81333,NEW CHINA,2290 Culver Road,NY,5852669190,,,open,Y,no,2290 Culver Rd,(585)266-9190
R81335,*BEIJING CAFE*,6950 Collins Ave,FL,3058662855,6463092799,,open,Y,yes,6950 Collins Ave,(305)866-2855
R81338,GARDEN CITY,224-01 Merrick Blvd,NY,7185288886,9175510818,,open,Y,yes,224-01 Merrick Blvd,(718)528-8886
R81339,^DRAGON VILLAGE^,1795 Westchester Ave,NY,7185971900,,,open,Y,yes,1795 Westchester Ave,(718)597-1900
R81352,^THAI GARDEN^,508 Diagonal St,WA,5097581388,2085538715,,open,Y,yes,508 Diagonal St,(509) 758-1388
R81353,*JADE BAMBOO*,64-72 Dry Harbor Rd,NY,7183263998,,,open,Y,yes,64-72 Dry Harbor Rd,(718)326-3998
R81355,^CHINA HOUSE^,14361 Livernois Ave,MI,3139358888,3473389916,,open,N,no
R18582,TEST RESTO ROS 26,3030 Northern Blvd,NY,1111111111,,,suspended,N,N
Rxxxx,*^SUSHI Q^*(old),9163 Reisterstown Road,MD,0,0,,reject,Y,Y,9163 Reisterstown Rd,(443)934-5027
R81356,^GOLDEN HOUSE^,569 Warren Ave,RI,4014310588,,,open,Y,yes,569 Warren Ave,(401) 431-0588
R81357,*SUNRISE ASIAN RESTAURANT*,"5806 Seven Mile Dr, Suite #103",FL,3527487999,6467250615,,open,Y,no,5806 Seven Mile Dr,(352) 748-7999
R9295661872,DELIVERY ENABLEMENT,test,AL,9295661872,9295661872,,open,N,no
R81358,DRAGON ONE,2076 8th Ave,NY,2122224246,,,open,Y,no,2076 Frederick Douglass Blvd,(212)222-4246
R81359,^MEI SING^,2827 Pawtucket Ave,RI,4014386699,4016269693,,open,Y,yes,2827 Pawtucket Ave,(401) 438-6699
R81361,SKY DRAGON,2135 2nd Ave,NY,6466494708,9179770205,,open,Y,yes,2135 2nd Ave,(646) 649-4708
R81362,SUPER CHINA,9553 Shore Dr,VA,7573623363,,,open,Y,yes,9553 Shore Dr,(757)362-3363
R81369,GOLDEN CHINA,13900 C.R. 455 Suite #113,FL,4076546877,,,open,Y,no,13900 County Road 455,(407)614-3944
R81371,*CHINA TOWN*,4245 Mariner Blvd,FL,3526866682,6467059988,,open,Y,yes,4245 Mariner Blvd,(352) 686-6682
R81372,CHINA STAR,440 Main Street,CT,8607381266,,,open,Y,no,440 Main St,(860) 738-1266
R81373,DRAGON CUISINE,401 North Market St,DE,3028881388,,,open,Y,no,401 N Market St,(302)888-1388
R81375,*OLD PLACE ASIAN KITCHEN*,239 South St. Suite #E,VA,5406359161,,,open,Y,no,239 South St,(540) 635-9161
R81376,*CHINA WOK III*,170 West Lake Mary Blvd,FL,4073219666,9292911233,,open,Y,no,170 W Lake Mary Blvd,(407) 321-9666
R81378,GREAT CHINA,"2044 Atlantic Ave, Shop #A",VA,7575455088,,,open,N,no
R81379,GREAT WALL,1622 38th St,IL,3097888288,,,open,N,no
R81381,*NEW BEST HUNAN*,418 Geyser Rd,NY,5185818234,9179712882,,open,Y,yes,418 Geyser Rd,(518) 581-8234
R81382,CHINA HOUSE,8275 S. Nc Highway 109,NC,3364758835,,,open,Y,no,8275 NC-109,(336)475-8835
R168150,KL A GoGo - CT USE,3030 Northern Blvd,NY,0,,,new,N,N
R81383,*HAPPY HOUSE*,116-36 Springfield Blvd,NY,7189778260,6463316793,,open,Y,yes,116-36 Springfield Blvd,(718) 977-8260
R81385,SHANG HAI,2699 NE 35th St,FL,3528678908,3528678942,,open,Y,yes,2699 NE 35th St,(352) 867-8908
R81387,NEW CHINA,230 Dekalb Plaza Blvd.,AL,2568459379,6462062963,,open,Y,no,230 Dekalb Plaza Blvd SW,(256) 845-9379
