Snowball Map,Brizo ID,Language Preference,Name,Street,City/Town,Zip/Postal Code,State/Province Code,Country,Cuisines (Regional),Price Range,Opening Hours,Vitality Score,Established,Phone,Most Common Email,Density @5mi,Time Zone Name,Median Price,Full Name,Role,state
20129,7f4f73f208ad20e6,English,Mr. Chens Authentic Chinese Cooking,1917 Hoover Ct,Hoover,35226,AL,United States,Chinese,$$,Daily 11am-9pm,51,3/1/2020,2058248283,,795,Central,32,,,-
20130,9d8a9f135466c11f,English,Shonos Japanese Grill,1843 Montgomery Hwy S,Hoover,35244,AL,United States,Japanese,$,"Mon-Sat 11am-2pm 5pm-8:30pm, Sun Closed",47,3/1/2020,2059883319,,565,Central,26,Edward Cui,Owner,-
20131,b0583d760ff0486f,English,China Garden,111 Railroad Ave,Montevallo,35115,AL,United States,Chinese,$,"Mon 4pm-10pm, Tue Closed, Wed-Sun 4pm-10pm",28,3/1/2020,2056654666,,47,Central,0,Yan Zou,Owner,-
20132,45ca55d3de0df43b,English,Ono Grill,2900 McClellan Blvd,Anniston,36201,AL,United States,Japanese,$$,"Mon Closed, Tue 11am-9:30pm, Wed 11am-9pm, Thu 11am-9:30pm, Fri 11am-10pm, Sat 11am-10:30pm, Sun 11am-8:30pm",43,3/1/2020,2562375859,,185,Central,20,David Chen,Owner,-
20133,930bf311a882710f,English,Mr. Chen's,514 14th St,Tuscaloosa,35401,AL,United States,Chinese,$$,Daily 11am-8:45pm,70,3/1/2020,2053436889,ltan3@crimson.ua.edu,722,Central,26,Thomas Chen,General,-
20134,0f285a710397aae5,English,Zen Asia,965 US Highway 80 W,Demopolis,36732,AL,United States,Japanese,$,"Mon Closed, Tue-Sun 11am-9:30pm",17,3/1/2020,3342871342,,44,Central,0,,,-
20135,fbace2d70225c207,English,A Taste of China,2941 Point Mallard Pkwy SE,Decatur,35603,AL,United States,Chinese,$,"Mon-Thu 10:30am-9:30pm, Fri-Sat 10:30am-10pm, Sun 10:30am-9:30pm",80,3/1/2020,2563403443,,166,Central,0,David Beavers,Owner,-
20136,356a9daca17d47ab,English,Banzai Japanese Restaurant,312 Schillinger Rd S,Mobile,36608,AL,United States,Japanese,$$,"Mon Closed, Tue-Fri 5:30pm-9pm, Sat 5:30pm-8pm, Sun Closed",36,3/1/2020,2516339077,,451,Central,0,Shigeaki Oki,Owner,-
20137,ce1424c3dad0c623,English,Chef Sake's,5821 Old Shell Rd,Mobile,36608,AL,United States,Japanese,$$,"Mon-Sat 4pm-9pm, Sun Closed",44,3/1/2020,2514458490,,718,Central,0,Moith Chan,General,-
20138,eec63968ce575ebf,English,New Orleans Lunchbox Restaurant,4000 Holmes Ave NW,Huntsville,35816,AL,United States,"American, Creole, Cajun",$$,"Mon-Sat 11am-5pm, Sun Closed",51,3/1/2020,2568300081,neworleanslunchbox.catering@gmail.com,913,Central,0,Roland L,Owner,-
20139,0ab920df0439056d,English,SVH Bistro,111 W Washington St,Demopolis,36732,AL,United States,"Creole, Cajun",$$,"Mon-Tue Closed, Wed-Fri 10am-2pm 4:30pm-9pm, Sat-Sun Closed",32,3/1/2020,3346547069,,44,Central,0,,,-
20140,d25331ab76a2a0d3,English,Miso Seafood,160 Cotton Creek Dr,Gulf Shores,36542,AL,United States,Japanese,$$,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 11am-8pm",70,6/5/2022,2512560051,unicrabllc@gmail.com,274,Central,22,,,-
20141,42d096b0c8805164,English,O Sushi,5519 Grove Blvd,Hoover,35244,AL,United States,Japanese,$$,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 11am-9pm",55,3/1/2020,2057333736,osushihoover@gmail.com,549,Central,24,Zeng Ru Lin,Owner,-
20142,c0505b6b98e659de,English,Golden Gate Chinese Restaurant,1725 Ashville Rd,Leeds,35094,AL,United States,Chinese,$,"Mon 3pm-9:30pm, Tue-Sun 11am-9:30pm",49,3/1/2020,2056998802,,105,Central,22,Lian Vou,Owner,-
20143,6572de73dda5eb37,English,Rock N' Roll Sushi & Hibachi,273 McGregor Ave S,Mobile,36608,AL,United States,Japanese,$$,"Mon-Thu 11am-8:45pm, Fri-Sat 11am-9:45pm, Sun Noon-8:45pm",26,6/10/2022,2512870445,,840,Central,20,,,-
20144,0dc091823fe83239,English,Dip Mudbugs,1870 Dauphin Island Pkwy,Mobile,36605,AL,United States,"Creole, Cajun",$$,"Mon Closed, Tue-Sat 10am-7pm, Sun Closed",59,3/1/2020,2514790123,,638,Central,0,,,-
20145,2f1bb9ed4695b973,English,Shu Shop,1820 3rd Ave N,Birmingham,35203,AL,United States,Japanese,$$,"Mon-Tue Closed, Wed-Thu 5pm-11pm, Fri-Sat 5pm-1am, Sun Closed",70,3/1/2020,2052916660,shushopbham@gmail.com,1201,Central,0,,,-
20146,62456680b0272c31,English,China Master,1801 4th Ave S,Birmingham,35233,AL,United States,Chinese,$,"Mon-Fri 10:30am-8:30pm, Sat 11am-8:30pm, Sun Closed",70,3/1/2020,2053219039,,1227,Central,24,,,-
20147,cef0f653ce6f66e6,English,Mandarin House Chinese,3800 Pepperell Pkwy,Opelika,36801,AL,United States,Chinese,$$,"Mon Closed, Tue-Thu 11am-3pm 4pm-9pm, Fri 11am-3pm 4pm-9:30pm, Sat 11am-9:30pm, Sun 11am-9pm",53,3/1/2020,3347457234,,546,Central,0,K Wang,Owner,-
20148,4ce50e535ae1f88f,English,Jade Garden,2630 S McKenzie St,Foley,36535,AL,United States,Chinese,$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",22,3/1/2020,2519432988,,233,Central,30,,,-
20149,ee8e5309e5cda599,English,New China Chinese Restaurant,1121 US-72,Killen,35645,AL,United States,Chinese,$$,"Mon Closed, Tue-Sun 10:30am-9:30pm",46,3/1/2020,2567572025,,111,Central,0,,,-
20150,d9bb8efd623f43a9,English,Shiso Japanese Restaurant,6945 Airport Blvd,Mobile,36608,AL,United States,Japanese,$$,"Mon-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun 11am-8:30pm",43,11/4/2021,2513848080,,641,Central,28,,,-
20151,31c7942f2c5b5329,English,China Wok,4650 W Main St,Dothan,36305,AL,United States,Chinese,$,"Mon Closed, Tue-Thu 10:30am-9pm, Fri 10:30am-10pm, Sat 11am-10pm, Sun 11am-9pm",39,3/1/2020,3347928877,,404,Central,18,,,-
20152,cb787538c02c7e55,English,Cajun Connection,400 Frisco St,Winfield,35594,AL,United States,Cajun,$$,"Mon-Thu Closed, Fri 11am-2pm 4pm-9pm, Sat-Sun Closed",34,3/1/2020,2054870487,,40,Central,0,,,-
20153,506771569b022a90,English,Fulin's Asian Cuisine,2934 Point Mallard Pkwy SE,Decatur,35603,AL,United States,"Chinese, Thai",$$,"Mon-Thu 11am-8:30pm, Fri-Sat 11am-9:30pm, Sun 11am-8:30pm",55,3/1/2020,2563553588,,175,Central,28,,,-
20154,6492c7881d257181,English,Peking Garden,411 W Fort Williams St,Sylacauga,35150,AL,United States,Chinese,$,"Mon-Thu 11am-8:30pm, Fri 11am-9pm, Sat 4pm-8:30pm, Sun Closed",40,3/1/2020,2562498688,,87,Central,14,John Huynh,Owner,-
20155,9619f8b0812479f1,English,Shiki Japanese Thai Sushi Bar,6521 Highway 69 S,Tuscaloosa,35405,AL,United States,"Japanese, Thai",$$,"Mon Closed, Tue-Sun 11am-1:45pm",67,2/20/2024,2053661177,,558,Central,30,,,-
20156,76814fc95d19f44f,English,The Rougaroux,817 39th St S,Birmingham,35222,AL,United States,"Creole, Cajun",$$,"Mon-Sat 11am-9pm, Sun Closed",43,3/1/2020,2055186677,anne.therougaroux@gmail.com,1215,Central,0,,,-
20157,ec4e668e5b647771,English,China House,312 N Valley Ave,Collinsville,35961,AL,United States,Chinese,$,"Mon-Tue Closed, Wed-Sun 11am-7pm",41,3/1/2020,2565242590,,23,Central,14,Jian Zheng,General,-
20158,f3f91f9b57e163b6,English,The Famous Lartigue Seafood Market,100 Plantation Pointe,Fairhope,36532,AL,United States,"Creole, Cajun",$$$,"Mon-Sat 8am-6pm, Sun 10am-3pm",55,3/1/2020,2512983423,info@thefamouslartigueseafood.com,169,Central,0,,,-
20159,7ea034d614c015c2,English,Mizu Japanese Steak House,750 Colonial Promenade Pkwy,Alabaster,35007,AL,United States,Japanese,$$,"Mon-Thu 11am-3pm 4:30pm-9:30pm, Fri 11am-3pm 4:30pm-10:30pm, Sat Noon-10:30pm, Sun Noon-9:30pm",62,3/1/2020,2056218388,,238,Central,26,Jian LI,,-
20160,425c70341f2b53bb,English,Hong Kong Seafood,1101 3rd Ave W,Birmingham,35204,AL,United States,Chinese,$,"Mon-Wed 10am-10pm, Thu 11am-10pm, Fri-Sun 10am-10pm",31,3/1/2020,2057884280,,1141,Central,20,,,-
20161,fc6bd4d136c8c805,English,See-wee-roll,4721 Airport Blvd,Mobile,36608,AL,United States,Japanese,$$,"Mon-Sat 11am-2pm 5pm-9pm, Sun Closed",41,3/1/2020,2515259070,,758,Central,16,,,-
20162,1f3ba9a21e9718a4,English,Sushime Asian Bistro,6290 University Dr NW,Huntsville,35806,AL,United States,"Japanese, Vietnamese, Chinese, Thai",$$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10:30pm, Sun 11am-9pm",53,7/30/2023,2568958484,,756,Central,20,,,-
20163,28d4aa1d3f9ac8a6,English,Tiger VR Cafe,200 W Glenn Ave,Auburn,36830,AL,United States,Chinese,$,"Mon-Thu 10am-9pm, Fri-Sat 10am-10pm, Sun 10am-9pm",44,3/1/2020,3342091886,info@tigervrcafe.com,518,Central,20,,,-
20164,59f900c280ba3986,English,Original Oyster House Boardwalk,701 Gulf Shores Pkwy,Gulf Shores,36542,AL,United States,"Creole, Cajun",$$,Daily 11am-10pm,80,3/1/2020,2519482445,norman@originaloysterhouse.com,229,Central,0,Suzanne Roland,Front of the House,-
20165,b6cd7761dce446bf,English,The Seafood Bistro,1651 Perry Hill Rd,Montgomery,36106,AL,United States,Cajun,$,"Mon-Thu 11am-8pm, Fri-Sat 11am-9pm, Sun Closed",59,3/1/2020,3342797500,theseafoodbistro@gmail.com,824,Central,0,,,-
20166,c982f3801b501657,English,Isshin Asian Cafe,815 Pelham Rd S,Jacksonville,36265,AL,United States,Japanese,$$,"Mon Closed, Tue-Thu 11am-8:30pm, Fri-Sat 11am-9pm, Sun Closed",36,3/1/2020,2564359940,info@isshinjacksonville.com,67,Central,14,,,-
20167,e8939dec8dd60c69,English,TJs Crawfish Shack,303 W Grand Ave,Rainbow City,35906,AL,United States,"Creole, Cajun",,"Mon-Tue Closed, Wed-Sat 11am-8pm, Sun Closed",17,3/19/2021,2565533674,,277,Central,0,,,-
20168,5447bbfa3dc6fa8e,English,Lee Palace,9770 Highway 69 S,Tuscaloosa,35405,AL,United States,Chinese,$,"Mon Closed, Tue-Sun 10:30am-9:30pm",32,3/1/2020,2053919990,,176,Central,0,Youngguang LI,Owner,-
20169,979e14b9cf18efd6,English,Off the Hook Marina and Grill,621 N Craft Hwy,Chickasaw,36611,AL,United States,"Creole, Cajun",$,"Mon Closed, Tue-Sat 11am-3pm, Sun Closed",34,3/1/2020,2514223412,lenacoalabama@gmail.com,226,Central,0,,,-
20170,ddcdb6b0439a8b4e,English,Hibachi Express,5753 Old Shell Rd,Mobile,36608,AL,United States,Japanese,$,"Mon-Sat 10:30am-9:30pm, Sun 10:30am-9pm",38,3/1/2020,2513785378,,731,Central,24,,,-
20171,3464e0d7ae44dc55,English,Wasabi Japanese restaurant,1103 Columbus Pkwy,Opelika,36804,AL,United States,Japanese,$,,2,1/14/2021,3347375558,,249,Central,0,,,-
20172,370638e8bf57c60f,English,Hunan Cuisine,5510 US-280,Birmingham,35242,AL,United States,Chinese,$,"Mon Closed, Tue-Thu 11am-2:30pm 4pm-9pm, Fri 11am-2:30pm 4pm-10pm, Sat 11am-10pm, Sun 11am-9pm",43,3/1/2020,2054371000,,354,Central,30,James Ghao,,-
20173,c0794024a4ac6572,English,China Wok,1374 E Highland Ave,Selma,36703,AL,United States,Chinese,$,"Mon-Fri 11:30am-10pm, Sat Midnight-Noon, Sun 11:30am-10pm",43,3/1/2020,3348728848,,87,Central,0,Chun Zhanz,Owner,-
20174,f50c3696db2e81ea,English,Shanghai Cottage,22530 US-98,Fairhope,36532,AL,United States,Chinese,$$,"Mon Closed, Tue-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun 11am-9pm",36,3/1/2020,2519286668,shanghaicottage@att.net,220,Central,0,Xian Chu Ou,,-
20175,db389662ece44a59,English,HAPPY DRAGON,100 Hampton Dr,Calera,35040,AL,United States,Chinese,$,"Mon-Sat 11am-9pm, Sun Closed",31,11/23/2022,2056908028,,88,Central,26,,,-
20176,a910fdbbd7dd94af,English,Unagi Bento and Sushi,2539 John Hawkins Pkwy,Hoover,35244,AL,United States,Japanese,$$,"Mon Closed, Tue-Thu 11am-2pm 4:30pm-9pm, Fri-Sat 11am-2pm 4:30pm-9:30pm, Sun 11am-2pm 4:30pm-9pm",39,3/20/2021,2054906991,unagibentoandsushi@gmail.com,552,Central,22,,,-
20177,579c26c64f6170e2,English,Cajun's Seafood,4301 N Jackson Hwy,Sheffield,35660,AL,United States,"Creole, Cajun",$$,"Mon-Tue Closed, Wed-Sat 3pm-10pm, Sun Closed",33,3/1/2020,2563811573,,427,Central,0,Randle Perkins,Owner,-
20178,6cc356db0733afb1,English,Cajun Seafood House,2531 Rocky Ridge Rd,Vestavia Hills,35243,AL,United States,"Creole, Cajun",$$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",53,3/1/2020,2058237395,jduran026@yahoo.com,963,Central,0,,,-
20179,c8f7e4aff0d8f0d7,English,S & S Seafood Market,1154 W Beach Blvd,Gulf Shores,36542,AL,United States,"Creole, Cajun",$$,Daily 11am-9pm,41,3/1/2020,2519683474,,183,Central,0,,,-
20180,3ba9d67913e92e50,English,Ichiban Japanese Steak House,2167 S McKenzie St,Foley,36535,AL,United States,Japanese,$$,"Mon-Thu 11am-2:30pm 4pm-9:30pm, Fri 11am-2:30pm 4pm-10pm, Sat-Sun Closed",57,3/1/2020,2519718770,info@ichibanfoleyal.com,230,Central,0,Patrick Dong,General,-
20181,3e54a50b70170bee,English,Zheng's Garden Chinese Restaurant,135 Plaza Ln,Oxford,36203,AL,United States,Chinese,$,"Mon Closed, Tue-Thu 10:30am-9pm, Fri-Sat 10:30am-9:30pm, Sun 11am-8:30pm",46,3/1/2020,2568310678,k6jenifer@gmail.com,230,Central,22,,,-
20182,589d8ffbd9e83157,English,I Love Sushi Jones Valley,2000 Cecil Ashburn Dr SE,Huntsville,35802,AL,United States,Japanese,$$,"Mon-Thu 11am-2pm 5pm-9:30pm, Fri 11am-2pm 5pm-10pm, Sat 11:30am-2:30pm 5pm-10pm, Sun 11:30am-2:30pm 5pm-9pm",72,3/1/2020,2568851818,jxue@ilovesushi.com,480,Central,18,Johnny Xue,Owner,-
20183,68874d415f8afbe7,English,Oriental Express,301 Midland St,Ashford,36312,AL,United States,Chinese,$,"Mon-Thu 11am-9pm, Fri 11am-10pm, Sat-Sun 11am-9pm",26,3/1/2020,3348996800,,21,Central,18,Rudolph Torres,,-
20184,d3c87f3637cd066f,English,Maki Fresh,2800 Cahaba Village Pl,Mountain Brook,35243,AL,United States,Japanese,$$,Daily 11am-8pm,46,3/1/2020,2059703242,cahaba@makifresh.com,1225,Central,22,Amanda Church,Owner,-
20185,b3dd5e2f3641669f,English,Chef Troy's Talk of the Town,4815 County Road 63,Houston,35572,AL,United States,"American, Creole, Cajun",$$,"Mon-Wed 6:30am-2pm, Thu-Sat 6:30am-9pm, Sun 6:30am-2pm",78,3/1/2020,2054891700,,2,Central,0,Angela Woody,General,-
20186,1406ea2bddf5e7b1,English,New China,3750 AL-53,Huntsville,35806,AL,United States,Chinese,$,"Mon-Thu 10:30am-9:30pm, Fri 10:30am-10pm, Sat 10:30am-9:30pm, Sun 11am-9:30pm",38,3/1/2020,2568586628,,462,Central,0,Bill Ming,Owner,-
20187,54ffbb9c534df52e,English,Miyako Japanese Steak & Sushi,8173 Vaughn Rd,Montgomery,36116,AL,United States,Japanese,$$,"Mon-Thu 5pm-10pm, Fri-Sat 5pm-11pm, Sun 5pm-10pm",51,3/1/2020,3342152275,,512,Central,8,Sonny Kim,Owner,-
20188,cec873837ad7eb55,English,POKEMEN,2701 Frederick Rd,Opelika,36801,AL,United States,"Hawaiian, Japanese",$$,"Mon-Sat 11am-8pm, Sun Closed",59,3/1/2020,3347376353,ychoi0227@gmail.com,553,Central,0,,,-
20189,8334ff390b12fc7b,English,Cajun Boys and Our Poboys,3120 Highway 52 W,Pelham,35124,AL,United States,Cajun,$$,"Mon-Thu 11am-8pm, Fri-Sat 11am-9pm, Sun 11am-8pm",46,3/1/2020,2056244612,cajunboysandourpoboys17@gmail.com,325,Central,34,,,-
20190,b46c2a6d56d0b00b,English,Sushi Ro,2584 Cobbs Ford Rd,Prattville,36066,AL,United States,Japanese,$$,"Mon-Thu 11am-2:30pm 4:30pm-9pm, Fri 11am-2:30pm 4:30pm-9:30pm, Sat 11am-2:30pm 4:30pm-9pm, Sun Closed",59,3/1/2020,3342902021,,240,Central,22,,,-
20191,5c2495d4465e0826,English,Rock N' Roll Sushi & Hibachi,1115 Beltline Rd SE,Decatur,35601,AL,United States,Japanese,$$,Daily 10:30am-8:45pm,13,6/7/2022,2566862449,,299,Central,18,,,-
20192,2faef795f9cbcdc5,English,Uncle Mick's Cajun Market & Cafe,136 W Main St,Prattville,36067,AL,United States,"Caribbean, Cajun",$$,"Mon-Sat 11am-2pm, Sun 10am-2pm",44,3/1/2020,3343611020,,195,Central,16,Mickey T,Owner,-
20193,60ae9f815574ee63,English,Hiro Japanese Hibachi Express,2440 Temple Ave N,Fayette,35555,AL,United States,Japanese,$$,"Mon-Sat 11am-8pm, Sun Closed",25,3/1/2020,2054423863,,29,Central,0,Rajab B S,Owner,-
20194,6e48f1e383ebf152,English,219,219 Conti St,Mobile,36602,AL,United States,"Caribbean, Cajun",$$,"Mon-Fri 8am-3pm, Sat-Sun Closed",62,3/1/2020,2514385234,,493,Central,14,,,-
20195,c390465ee345048f,English,Asia Bistro & Seafood,7839 Vaughn Rd,Montgomery,36116,AL,United States,"Chinese, Thai",$,"Mon Closed, Tue-Thu 11am-9:30pm, Fri-Sat 11am-10:30pm, Sun 11am-9:30pm",78,3/1/2020,3342133628,info@asiabistroseafood.com,558,Central,28,Mieng Lao,Owner,-
20196,4953bf69216db473,English,Kobe Sushi Hibachi Express,1591 Hughes Rd,Madison,35758,AL,United States,Japanese,$$,"Mon 11am-9pm, Tue 4pm-9pm, Wed-Sat 11am-9pm, Sun 4pm-9pm",42,3/1/2020,2563258887,info@kobemadison.com,550,Central,26,,,-
20197,56d9eac2087ce6df,English,Bamboo Steak House & Sushi Bar,650 Cody Rd S,Mobile,36695,AL,United States,Japanese,$$,"Mon-Thu 11am-10pm, Fri 11am-10:30pm, Sat Noon-10:31pm, Sun 11am-10pm",42,3/1/2020,2513008383,bamboosteakhouse@gmail.com,572,Central,0,,,-
20198,4a6d47c87d8c75b8,English,Yokohama Japanese Restaurant,2767 Bell Rd,Montgomery,36117,AL,United States,Japanese,$$,"Mon-Thu 11am-3pm 5pm-10pm, Fri 11am-3pm 5pm-11pm, Sat 5pm-11pm, Sun 11am-10pm",34,3/1/2020,3345171891,,630,Central,0,,,-
20199,ab035af5fdbdb08c,English,Yoki Buffet,23730 John T Reid Pkwy,Scottsboro,35768,AL,United States,Chinese,$,"Mon 10:30am-9pm, Tue 11am-9pm, Wed 10am-9pm, Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",74,8/22/2020,2569990778,,100,Central,0,,,-
20200,deba371803d2bae5,English,Shogun Japanese Steakhouse & Sushi Bar,7038 Airport Blvd,Mobile,36608,AL,United States,Japanese,$$,"Mon-Fri 11am-9pm, Sat-Sun Noon-9pm",38,3/1/2020,2513040021,,600,Central,18,Tom Meszaros,,-
20201,43045a889a0a6927,English,IKKO Japanese Ramen and Sushi,1909 11th Ave S,Birmingham,35205,AL,United States,"Japanese, Chinese",$$,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 11am-10pm",49,3/1/2020,2052034833,,1269,Central,22,,,-
20202,d74219da792bb7bd,English,Hibachi Express,3461 Spring Hill Ave,Mobile,36608,AL,United States,Japanese,$,"Mon-Sat 10:30am-9:30pm, Sun 10:30am-9pm",34,3/1/2020,2513439868,,888,Central,0,Gene Choy,General,-
20203,203717cf3c4c02e7,English,Fish River Grill,1545 Gulf Shores Pkwy,Gulf Shores,36542,AL,United States,"Creole, Cajun",$$,"Mon Closed, Tue-Thu 10:30am-8pm, Fri-Sat 10:30am-9pm, Sun Closed",72,3/1/2020,2519481110,,235,Central,0,,,-
20204,452bed221e965384,English,Panda House,7036 Atlanta Hwy,Montgomery,36117,AL,United States,Chinese,$,"Mon Closed, Tue-Fri 10:30am-9:30pm, Sat 11am-9:30pm, Sun 12:30pm-9pm",57,3/1/2020,3346761977,,498,Central,24,,,-
20205,067707760b4ff3ac,English,Osaka Sushi Bar,499 Greystone Way,Prattville,36066,AL,United States,Japanese,$$,"Mon Closed, Tue-Fri 11am-3pm 4:30pm-9pm, Sat Noon-3pm 4:30pm-9pm, Sun 11am-3pm 4:30pm-9pm",36,3/1/2020,3343585818,,241,Central,0,Jun Wu,,-
20206,6a336a5151fb1896,English,Mk's Asian Kitchen,2490 Enterprise Dr,Opelika,36801,AL,United States,Chinese,$$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",29,3/1/2020,3347496989,,526,Central,0,,,-
20207,2aa8ce02433bd2dd,English,Peng Garden Chinese Restaurant,1404 S McKenzie St,Foley,36535,AL,United States,Chinese,$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",32,3/1/2020,2519432600,,224,Central,28,Peng Thia,,-
20208,55a2139c19c38817,English,Tokyo Japan Hibachi and Sushi,109 E Willow St,Scottsboro,35768,AL,United States,Japanese,$,"Mon-Sat 10:30am-9pm, Sun Closed",49,3/1/2020,2562591100,ddmc.brightowl@gmail.com,102,Central,0,,,-
20209,50fbf0e00f10707b,English,Chop Suey Inn,813 Green Springs Hwy,Homewood,35209,AL,United States,Chinese,$,Daily 11am-9pm,37,3/1/2020,2059429782,,1275,Central,0,Wei lo,Owner,-
20210,9ab9d2d284a03ce8,English,Hibachi Express,1720 6th Ave SE,Decatur,35601,AL,United States,Japanese,$,"Mon-Wed Closed, Thu 10:30am-9:30pm, Fri-Sun Closed",41,3/1/2020,2565805558,info@hibachiexpressdecatur.com,299,Central,22,,,-
20211,0fc42ed33a800ea9,English,Benja's Thai & Sushi Restaurant,1281 Hillcrest Rd,Mobile,36695,AL,United States,Japanese,$$,Daily 11am-10pm,70,3/1/2020,2516615100,,700,Central,18,Benjawan T,Owner,-
20212,374adbb1c1a58a9a,English,Lil Touch of Cajun Grill,207 S Kimball Ave,Jackson,36545,AL,United States,"Creole, Cajun",$$,"Mon-Thu 11am-Midnight, Fri-Sat 11am-1am, Sun Closed",23,3/1/2020,2512462993,liltouchofcajungrill@yahoo.com,38,Central,0,Sarah,Owner,-
20213,6ef45332710eb9d7,English,Magic Wok,401 19th St S,Birmingham,35233,AL,United States,Chinese,$,"Mon-Sat 10:30am-9pm, Sun Closed",59,3/1/2020,2053275000,,1230,Central,26,,,-
20214,c0c4bb952d42551f,English,OSO at Bear Point Harbor,5749 Bay la Launch Ave,Orange Beach,36561,AL,United States,"Creole, Cajun",$$,"Mon Closed, Tue-Thu 7am-9pm, Fri-Sat 7am-10pm, Sun Closed",80,3/1/2020,2513456738,osorestaurants@gmail.com,110,Central,20,,,-
20215,d1ff34d1a90044a4,English,Oriental Express,1774 Montgomery Hwy,Dothan,36303,AL,United States,Chinese,$,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun Closed",31,3/1/2020,3347934313,,472,Central,18,Josh Aplin,Owner,-
20216,575b19b79cc5b57b,English,Master Joe's,21 N Section St,Fairhope,36532,AL,United States,Japanese,$$,"Mon-Thu 11am-3pm 5pm-9:30pm, Fri-Sat 11am-3pm 5pm-10:30pm, Sun Closed",83,3/1/2020,2519288668,masterjoesushi@att.net,170,Central,0,,,-
20217,5ca566c8f1aefe93,English,Oishi,3522 Ross Clark Cir,Dothan,36303,AL,United States,Japanese,$$,"Mon-Sat 5pm-10pm, Sun Closed",49,3/1/2020,3344460402,,468,Central,24,,,-
