Snowball Map,Dedupe Key,brizo_id,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes
939,605 Salem 72034,ca74978c85007ef2,Naru,605 Salem Rd,Conway,AR,72034,United States,,,,,,,,(501) 499-6919,,Japanese,$,Smoked Salmon; Sushi; French Fries
942,509 S 8th 72756,c9edfdf81f19257c,Hunan Chinese Restaurant,509 S 8th St,Rogers,AR,72756,United States,Wilson,Chen,Owner,Owner,,,1996.0,(479) 621-5300,,Chinese,$,
1000,4334 Centr71913,de746e0fc24fe754,Hibachi Sushi Buffet,4334 Central Ave,Hot Springs,AR,71913,United States,Zhen,Wang,,,,,2012.0,(501) 463-9977,,Japanese,$$,Sushi
1038,229 E Mark72830,9297b8bee4cf6ebf,China Fun,229 E Market St,Clarksville,AR,72830,United States,,,,,,,,(479) 754-7500,,Chinese,$$,Sushi
1046,768 Crysta71913,92af8c0ecb905c61,Ward's The Crawfish Hole,768 Crystal Hill Rd,Hot Springs National Park,AR,71913,United States,,,,,,,,(501) 762-8456,,Creole; Cajun,$$,Pizza; Seafood
1066,1331 US-6571653,a68017292a3542f7,Kowloon Restaurant,1331 US-65,Lake Village,AR,71653,United States,Arthur,Lee,Owner,Owner,,,1976.0,(870) 265-3511,,Chinese,$,
1183,1135 W Mar72701,b6e56e5308952836,Ohana Poke,1135 W Martin Luther King Blvd,Fayetteville,AR,72701,United States,,,,,,,,(479) 935-3689,,Japanese,$,Soups; Seafood; Sushi; Poke
1186,3482 Elm S72762,b3faa912b60df572,Mama Tang Restaurant,3482 Elm Springs Rd,Springdale,AR,72762,United States,Sam,Chen,,,,,2009.0,(479) 751-8989,,Chinese,$,Pork; Soups; Seafood; Chicken; Noodles; Shrimp
1220,1387 S 48t72762,d4e2de8913c1de9f,Golden Dragon Buffet,1387 S 48th St,Springdale,AR,72762,United States,,,,,goldendragonchen9988@gmail.com,,,(479) 750-9988,goldendragonchen9988@gmail.com,Chinese,$,Smoked Salmon; Salads; Sushi
1259,3954 Centr71913,e5c5558e8e0ef229,Osaka Japanese Steakhouse,3954 Central Ave,Hot Springs,AR,71913,United States,Cong Ling Amy,Huang,,,,,2005.0,(501) 525-9888,,Japanese,$$,Sushi; Steaks
1272,115 S Fron72834,fd657e0139e0bd1e,Front Street Grill,115 S Front St,Dardanelle,AR,72834,United States,Monti,Kist,Owner,Owner,,,2007.0,(479) 229-4458,,Creole; Cajun,$$,Seafood; Grill
1299,3228 S Car72404,17dff77e18626bfb,Hong Kong,3228 S Caraway Rd,Jonesboro,AR,72404,United States,Tom,Z,Business Owner,Owner,,,2004.0,(870) 931-5566,info@hongkong3228.com,Szechuan; Cantonese; Chinese,$,Soups; Seafood; Chicken; Noodles; Steaks
1428,101 Centra71901,2e3f62fc3d930a76,Fat Jacks,101 Central Ave,Hot Springs,AR,71901,United States,Meredith,Mill,,,,,2011.0,(501) 623-5225,fatjacksinhotsprings@gmail.com,American; Cajun,$$,Seafood; Salads; Sandwiches; Grill; French Fries
1437,3401 N Wes71730,3f22fd0d75893c3f,Oriental Gardens,3401 N West Ave,El Dorado,AR,71730,United States,Ling,Huang,Manager,General,,,1977.0,(870) 862-7771,,Chinese,$,
1487,1900 Club 72113,4a2cdcfd5190201d,Kosuke,1900 Club Manor Dr,Maumelle,AR,72113,United States,,,,,,,2019.0,(501) 734-8434,,Japanese,$$,Soups; Smoked Salmon; Seafood; Salads; Sushi; Chicken; Steaks
1544,309 N Fred71753,7c4e735a24fc7646,Chen Chen,309 N Frederick St,Magnolia,AR,71753,United States,Kong Yan,Chen,Owner,Owner,,,2001.0,(870) 234-3100,,Chinese,$,
1638,2501 SE 1472712,75850fa883ef05c4,Sushi House,2501 SE 14th St,Bentonville,AR,72712,United States,John,Wei,Owner,Owner,,,2004.0,(479) 271-0370,,Japanese,$$,Smoked Salmon; Sushi
1645,3612 E Kie72120,79138eac6f218d89,Vina Express,3612 E Kiehl Ave,Sherwood,AR,72120,United States,,,,,,,,(501) 834-6995,,Chinese,$,
1772,3348 Main 72022,a513d5c6213a54e9,Copper Mule Table & Tap,3348 Main St,Bryant,AR,72022,United States,,,,,info@coppermulear.com,,,(501) 213-0379,info@coppermulear.com,Creole; Cajun,$$,Tacos; Seafood; Salads; Grill; Hamburgers; French Fries; Shrimp
2060,4263 Centr71913,a52691f3c30599f1,Bleu Monkey Grill,4263 Central Ave,Hot Springs,AR,71913,United States,,,,,,,2010.0,(501) 520-4800,,Southern; Creole; Cajun,$$,Soups; Sandwiches; Chicken; Hamburgers; French Fries; Steaks; Pasta; Tacos; Seafood; Salads; Chicken Wings; Grill
2091,378 W Ches72360,b517ad798fa9dd05,Lucky Star,378 W Chestnut St,Marianna,AR,72360,United States,Heng,Yang,Owner,Owner,,,2004.0,(870) 295-5601,,Chinese,$,
2121,2308 Fayet72956,b49a03abc6c70a1f,Golden Wok,2308 Fayetteville Rd,Van Buren,AR,72956,United States,,,,,info@goldenwokvanburen.com,,,(479) 471-7888,info@goldenwokvanburen.com,Chinese,$,Sushi; French Fries
2206,11121 N Ro72212,c8bc03f892a688d3,Asia Buffet,11121 N Rodney Parham Rd,Little Rock,AR,72212,United States,,,,,,,,(501) 508-5999,,Japanese; Chinese,$,Soups; Smoked Salmon; Seafood; Salads; Sushi; Chicken Wings; Chicken
2207,1915 US-7172921,ca1081b57414f7f3,Crawpappy's Cajun Cusine,1915 US-71,Alma,AR,72921,United States,,,,,,,,(479) 430-0034,,Creole; Cajun,$$,Seafood
2319,785 AR-20172653,117627c980d76c73,Cooyons,785 AR-201,Mountain Home,AR,72653,United States,Meals,Now,,,,,,(870) 656-1819,,Creole; Caribbean; Cajun,$$,Seafood; Sandwiches; French Fries
2405,2254 Fayet72956,db541a1e2b4021ad,Ninja Japanese Express II,2254 Fayetteville Rd,Van Buren,AR,72956,United States,,,,,ninjaexpress.vb@gmail.com,,,(479) 689-5177,ninjaexpress.vb@gmail.com,Japanese,$$,Chicken; French Fries; Hibachi; Seafood; Sushi; Chicken Wings; Grill; Noodles
2475,2299 Lawso71730,f090b6137b6dacea,Abe's Ole Feed House,2299 Lawson Rd,El Dorado,AR,71730,United States,,,,,whitreed@rocketmail.com,,,(870) 962-3337,whitreed@rocketmail.com,Southern; Creole; Cajun,$$,Seafood
2669,1000 Morni72034,3de9c2ab06bcda1d,Oriental Kitchen,1000 Morningside Dr,Conway,AR,72034,United States,,,,,,,2004.0,(501) 328-3255,,Chinese,$$,Soups; Seafood; Chicken
2687,522 W Dick72701,49a4f80eed8fd4fb,SUSHI 101,522 W Dickson St,Fayetteville,AR,72701,United States,,,,,,,,(479) 444-8122,,Japanese,$$,Sashimi; Ramen; French Fries; Burritos; Salads; Smoked Salmon; Sushi; Noodles
2769,S Service 72301,4ebe6430c0d595b8,Fusion Asian Buffet,S Service Rd,West Memphis,AR,72301,United States,,,,,fusionasianbuffet@yahoo.com,,,(870) 733-1388,fusionasianbuffet@yahoo.com,Japanese; Chinese,$,Sushi
2802,W Park Pl72758,53e13ded01413043,Chicken Lai Lai,W Park Pl,Rogers,AR,72758,United States,,,,,,,,,,Taiwanese,,
2852,8 S Brown 72730,55744a10cc06e52f,Mandalay Fusion,8 S Brown St,Farmington,AR,72730,United States,,,,,,,2012.0,(479) 267-9494,,Japanese; Thai,$$,Soups; Sushi; Curry; Noodles; French Fries
2921,3410 E Joh72405,70c8ad94d32374d7,Mamasang Sushi & Grill,3410 E Johnson Ave,Jonesboro,AR,72405,United States,,,,,,,,(870) 520-6000,,Japanese,$$,Soups; Smoked Salmon; Seafood; Salads; Sushi; Chicken; Steaks
2951,123 Front 72086,64e42ec856ccc1c5,Panda House,123 Front St SW,Lonoke,AR,72086,United States,Ghouying,Ni,Owner,Owner,,,2004.0,(501) 676-0966,,Chinese,$,Chicken Wings; French Fries
2960,1009 W Mai72801,730adfddb812b8cc,Kroger,1009 W Main St,Russellville,AR,72801,United States,Daniel,Melton,Grocery Manager,General,daniel.melton@kroger.com,,,(479) 890-3400,robin.elliott@kroger.com,Japanese; Chinese,$$,Dumplings; Seafood; Sushi; Poke
2989,304 N Elmi72802,809e3e1d5cd38343,Umami,304 N Elmira Ave,Russellville,AR,72802,United States,,,,,,,2010.0,(479) 967-8887,,Japanese,$$,Smoked Salmon; Sushi; Steaks
3001,332 E 9th 72653,5d777d77616f5d41,Bamboo Garden,332 E 9th St,Mountain Home,AR,72653,United States,Pyong,An,Owner,Owner,,,1982.0,(870) 425-7242,bamboo@bamboogarden.com,Chinese,$$,Sushi
3109,4900 Roger72903,9d019f41d26622e4,Saga,4900 Rogers Ave,Fort Smith,AR,72903,United States,,,,,,,,(479) 763-1162,,Japanese,$$,Hibachi; Smoked Salmon; Salads; Sushi; Grill; Ramen; French Fries
3184,117 Countr72120,73b65fb13416c631,Bamboo Sherwood,117 Country Club Rd,Sherwood,AR,72120,United States,,,,,,,,(501) 864-4906,,Japanese,$$,Hibachi; Sushi; Grill; Steaks
3207,521 Main S72114,a290cdf3737da2bf,Kiyen's Kamikaito,521 Main St,North Little Rock,AR,72114,United States,,,,,,,,(501) 891-6172,,Japanese,$$,Sushi
3286,2801 Red W72401,b061782f29cbe0e3,Sumo Japanese Steakhouse,2801 Red Wolf Blvd,Jonesboro,AR,72401,United States,Bailey,R,Business Owner,Owner,,,1981.0,(870) 972-8355,manager@experiencesumo.com,Japanese,$$,Smoked Salmon; Sushi; French Fries; Steaks
3295,1229 W Bee72143,a54a3bf8f4cde60d,Bee aye,1229 W Beebe Capps Expy,Searcy,AR,72143,United States,,,,,,,,(501) 858-8956,,Japanese,$,Hibachi; Grill
3322,1998 N Col72703,14b0c5677bdf2e15,Formosa Chinese Restaurant,1998 N College Ave,Fayetteville,AR,72703,United States,Taylor,C,Business Owner,Owner,,,2008.0,(479) 571-8886,,Chinese,$$,Seafood; Noodles; French Fries
3369,801 SE 8th72712,0c6a7692166e701a,Triple Eight Hashery,801 SE 8th St,Bentonville,AR,72712,United States,,,,,,,,,,Chinese,$,Dim Sum
3378,1615 Rebsa72202,11fc46c1e276d830,Maddie's Place,1615 Rebsamen Park Rd,Little Rock,AR,72202,United States,Brian,Deloney,Owner,Owner,brian@maddiesplacelr.com,,2009.0,(501) 660-4040,brian@maddiesplacelr.com,Cajun,$$,Smoked Salmon; Seafood; French Fries
3382,7438 AR-1571640,1088ca29f9003ea5,Deep South Cajun,7438 AR-159,Eudora,AR,71640,United States,,,,,,,,(870) 355-3577,,Cajun,,
3388,300 S Univ72205,29b9281ca83152ff,Shanghai Express,300 S University Ave,Little Rock,AR,72205,United States,Hong,Deng,,,,,,(501) 661-0788,,Chinese,,
3530,2604 S Sha72205,c8c834d7c7baf49d,Samurai Japanese Steakhouse & Sushi Bar,2604 S Shackleford Rd,Little Rock,AR,72205,United States,Ming,Weng,,,,,2009.0,(501) 224-5533,,Japanese,$$,Smoked Salmon; Sushi; French Fries; Steaks
3544,1400 W Dew72012,bc909d35597408f0,Akira Hibachi Express,1400 W Dewitt Henry Dr,Beebe,AR,72012,United States,,,,,,,,(479) 427-9867,,Japanese,$$,Hibachi; Sushi; Grill; Noodles
3611,906 S Pine72023,bb87b492c1bc5b08,China Buffet,906 S Pine St,Cabot,AR,72023,United States,Jan,Jiang,Owner,Owner,,,1998.0,(501) 843-9980,,Chinese,$$,
3612,643 E Van 72703,bb7f45538c06a251,Kobe Hibachi Grill and Sushi,643 E Van Asche Dr,Fayetteville,AR,72703,United States,,,,,kobesang@gmail.com,,2006.0,(479) 443-5623,kobesang@gmail.com,Japanese,$$,Smoked Salmon; Sushi; French Fries
3694,1046 W Sun72764,e0241f2f1733f8dc,Jade China,1046 W Sunset Ave,Springdale,AR,72764,United States,Cindy,Eung,Owner,Owner,,,1994.0,(479) 751-3112,info@jadechinaspringdalear.com,Chinese,$,French Fries
3714,1110 Homet72653,e5b7a70922c6dc46,Yoshi Japanese Steakhouse,1110 Hometown Commons,Mountain Home,AR,72653,United States,Tony,Guo,,,,,2010.0,(870) 492-6078,,Japanese,$$,Sushi; Steaks
3725,123 S Jeff72076,e7bc8100429bff5a,Pho And More,123 S Jeff Davis Ave,Jacksonville,AR,72076,United States,,,,,phoandmore.ar@gmail.com,,2016.0,(501) 241-1447,phoandmore.ar@gmail.com,Japanese; Vietnamese,$$,Soups; Hibachi; Pho; Grill; Noodles; French Fries
3804,1018 Oak S72032,e7ce603b7eb3b326,Krab Kingz of Conway,1018 Oak St,Conway,AR,72032,United States,,,,,daaiyahdn@krabkingzar.com,,,(501) 358-4455,info@krabkingzar.com,Creole; Cajun,$$,Seafood; French Fries
3919,112 N Harw72112,0d254457a9a4dde6,Hunan Restaurant,112 N Harwood St,Newport,AR,72112,United States,Soncha,Jiang,Owner,Owner,,,1990.0,(870) 523-4600,,Chinese,$,
3936,105 S Dixi72745,1541842dc3295d21,FUKU,105 S Dixieland St,Lowell,AR,72745,United States,,,,,,,,(0689)  96951,,Japanese,$$,Hibachi; Sushi; Grill
3945,706 W Mich72160,183a63377e608753,Ocko's Japanese Steakhouse,706 W Michigan St,Stuttgart,AR,72160,United States,,,,,,,,(870) 672-6915,,Japanese,,Steaks
4119,320 S Main72401,2c1c76fac9803c02,Rice Box,320 S Main St,Jonesboro,AR,72401,United States,,,,,riceboxjonesboroar2@yahoo.com,,,(870) 580-0010,riceboxjonesboroar2@yahoo.com,Japanese,$$,Soups; Teppanyaki; Chicken; French Fries; Steaks; Salads; Seafood; Poke
4148,420 Malver71901,353f7fdbd3a20511,Rock 'N' Roll Hibachi,420 Malvern Ave,Hot Springs,AR,71901,United States,,,,,rockhibachi@gmail.com,,,(501) 766-6441,rockhibachi@gmail.com,Japanese,$$,Hibachi; Seafood; Grill; Chicken
4178,3604 N Sta71854,1cf02df1a7eda7eb,Lee's Chinese,3604 N State Line Ave,Texarkana,AR,71854,United States,Mun,Baik,Owner,Owner,,,1994.0,(870) 774-0868,,Chinese,$,
4198,1121 Hwy 272543,4efc1fb529ca950f,Kotaro,1121 Hwy 25 N,Heber Springs,AR,72543,United States,Meals,Now,,,,,,(501) 887-1642,,Japanese,$,Sushi; Hamburgers; French Fries
4270,2625 Donag72032,41eb0249e4017b09,Panda Wok,2625 Donaghey Ave,Conway,AR,72032,United States,,,,,,,,(501) 329-8889,,Chinese,$,
4486,1201 N 2nd72756,e68e8446a54fc9a2,Son's Cuisine,1201 N 2nd St,Rogers,AR,72756,United States,,,,,infoname@gmail.com,,,(479) 657-5448,infoname@gmail.com,Filipino; Vietnamese; Chinese,,French Fries
4511,637 E Joyc72703,c003da3aa962c9c8,Shogun,637 E Joyce Blvd,Fayetteville,AR,72703,United States,,,,,,,,(479) 442-9999,,Japanese,$$$,Sushi
4744,3901 S Uni72204,738d1c0b533f04ce,Mr. Chen's Authentic Chinese Cooking,3901 S University Ave,Little Rock,AR,72204,United States,,,,,,,,(501) 562-7900,,Chinese,$$,Seafood; Noodles
4757,607 Hickor72176,8093a02ed9c24e1f,Hokkaido Hibachi Express,607 Hickory St,Ward,AR,72176,United States,,,,,,,,(501) 954-0619,,Japanese,,
4761,107 Roya L72022,807f69019959aa69,Chinese On the Go,107 Roya Ln,Bryant,AR,72022,United States,Chieu,Nzuyan,Owner,Owner,,,2003.0,(501) 847-8180,,Chinese,$,
4765,6211 Colon72204,6a3039d971a82a43,China Plus Buffet,6211 Colonel Glenn Rd,Little Rock,AR,72204,United States,Sophie,L,Business Owner,Owner,,,2011.0,(501) 562-1110,,Chinese,$,Soups; Seafood; Sushi; Chicken Wings; Chicken; Noodles; French Fries
4769,101 Main S72201,6bbfc65c24952a84,Wasabi,101 Main St,Little Rock,AR,72201,United States,,,,,,,,(501) 374-0777,,Japanese,$$,Soups; Smoked Salmon; Seafood; Salads; Sushi; Chicken; Steaks
4828,1528 Milit72015,8de6af8c4fc10a79,Buffet City,1528 Military Rd,Benton,AR,72015,United States,,,,,,,,(501) 776-9888,,Chinese,$,
4864,2412 E Rac72143,6fecb9e31d4f24d2,Noodle House,2412 E Race Ave,Searcy,AR,72143,United States,Meals,Now,,,,,,(501) 593-3390,,Japanese,$$,Soups; Ramen; French Fries; Hibachi; Smoked Salmon; Sushi; Grill; Noodles
4963,907 US-6272601,a3ab0e78e63987d3,Grand Fortuna,907 US-62,Harrison,AR,72601,United States,Yongbo,Dong,Owner,Owner,,,1990.0,(870) 741-1061,,Chinese,$,Soups; Seafood; Chicken
5064,4120 E McC72117,bc146e1b39864ea1,Kanpai Japanese Steak & Sushi,4120 E McCain Blvd,North Little Rock,AR,72117,United States,Steve,Im,Owner,Owner,,,2006.0,(501) 945-9494,,Japanese,$$,Soups; Chicken; French Fries; Steaks; Salads; Seafood; Smoked Salmon; Sushi
5155,4201 N Shi72703,e8764469d30e28b0,Nori Japan,4201 N Shiloh Dr,Fayetteville,AR,72703,United States,,,,,,,,(479) 575-0198,,Japanese,$$,Fried Rice; Noodles
5167,1212 Milit72015,edc131b05d15877d,Samurai Japanese Steakhouse,1212 Military Rd,Benton,AR,72015,United States,,,,,,,,(501) 860-6161,,Japanese,$$,Soups; Smoked Salmon; Seafood; Salads; Sushi; Chicken
5168,2212 Olive72104,e4685167b6754ab9,Yummy Hibachi on Wheels,2212 Oliver Lancaster Blvd,Malvern,AR,72104,United States,,,,,,,,(501) 478-9333,,Japanese,$$,
5246,623 W Waln72756,ef4886f3603d964a,Takashimura Hibachi Express,623 W Walnut St,Rogers,AR,72756,United States,Hillman,A,Business Owner,Owner,,,2017.0,(479) 899-4244,takashimurahibachi@yahoo.com,Japanese,$$,Sushi
5306,17018 Inte72019,d7f34ab98943dd4a,Benton's Family Restaurant,17018 Interstate 30 N,Benton,AR,72019,United States,,,,,,,,(501) 315-3796,,Japanese,,Sushi
5370,2600 Lakew72116,f662549f26bc69e5,Orient Express,2600 Lakewood Village Dr,North Little Rock,AR,72116,United States,Lou,Barnett,Owner,Owner,,,1993.0,(501) 758-2627,info@orientexpressar.com,Chinese,$,Soups; Seafood; Fried Rice; Chicken Wings; Chicken; Noodles
5389,3842 Midla72904,02069bc5b23b319f,Asian Kitchen Express,3842 Midland Blvd,Fort Smith,AR,72904,United States,Mama,S,Business Owner,Owner,,,2010.0,(479) 308-9050,,Chinese; Thai,$,Soups; Fried Rice; Curry
5391,4155 N Ste72703,0168efa648b1b35a,BoBo's Ribbon Ice,4155 N Steele Blvd,Fayetteville,AR,72703,United States,,,,,,,,(479) 442-2332,,Japanese; Taiwanese,$,Ice Cream; Frozen Yogurt
5538,4737 Centr71913,097897c9a0ed44fa,Hunan's Palace,4737 Central Ave,Hot Springs,AR,71913,United States,Jose,Soto,,,,,2000.0,(501) 525-3344,espry@riso.com,Vietnamese; Chinese; Thai,$$,Pork; Soups; Seafood; Fried Rice; Chicken
5560,1608 AR-572019,1a4e46292726947a,KingKong Hibachi,1608 AR-5,Benton,AR,72019,United States,,,,,,,,(501) 350-4491,,Japanese,$,
5573,1619 Rebsa72202,1b88f32256eb06ad,Faded Rose Restaurant,1619 Rebsamen Park Rd,Little Rock,AR,72202,United States,Ed,David,Owner,Owner,,,,(501) 661-1052,,Creole; Cajun,$$,Seafood; French Fries
5635,559 Harkri72032,2d88a3eb2ee08b97,Jade China,559 Harkrider St,Conway,AR,72032,United States,Danny,lo,Owner,Owner,,,1994.0,(501) 329-5121,,Chinese,$,
5649,1004 S Mou72761,3d4a13d5d7a856c4,So Chill Eat,1004 S Mount Olive St,Siloam Springs,AR,72761,United States,,,,,hello@sochilleat.com,,2021.0,(479) 427-1293,creative@sochilleat.com,Japanese; Vietnamese,$$,Sushi; Pho
5853,1150 N Col72703,72c10a6b9062f427,Cafe Rue Orleans,1150 N College Ave,Fayetteville,AR,72703,United States,Maudie,S,Owner,Owner,maudie@caferueorleans.com,,2001.0,(479) 443-2777,maudie@caferueorleans.com,Creole; Cajun,$$,Seafood; French Fries
5880,5082 AR-7872392,8a6792259305b587,Cajun Express,5082 AR-78 N,Wheatley,AR,72392,United States,,,,,,,,(870) 457-2572,,Cajun,$$,
6121,4707 E Bro72117,5273774bab65f989,Chung-King Chinese Restaurant,4707 E Broadway St,North Little Rock,AR,72117,United States,Su,Chung,Owner,Owner,,,1988.0,(501) 945-2982,,Chinese,$,Smoked Salmon
6146,10401 Maum72113,643fd237b51bb877,Southern Hibachi Express,10401 Maumelle Blvd,North Little Rock,AR,72113,United States,,,,,,,,(501) 707-4225,,Southern; Japanese; Chinese,$,Seafood; Chicken
6147,5431 Centr71913,63de70903aea528a,Crazy Samurai,5431 Central Ave,Hot Springs National Park,AR,71913,United States,Patrick,Oh,,,,,,(501) 525-0488,crazysamuraihotsprings@gmail.com,Japanese,$$,Soups; Salads; Sushi; Grill; Chicken Wings; Chicken
6211,I-30 W72019,61e694c479152d31,Pho 98,I-30 W,Benton,AR,72019,United States,,,,,,,,(501) 315-9068,,Vietnamese; Chinese,$,Soups; Seafood; Chicken Wings; Chicken
6266,1699 Red W72401,90582e0e6ba661d3,Hibachi Grill Supreme Buffet,1699 Red Wolf Blvd,Jonesboro,AR,72401,United States,David,Wu,Manager,General,,,2010.0,(870) 935-8168,jennylian1214@gmail.com,Japanese,$$,Smoked Salmon; Seafood; BBQ; Sushi
6336,14810 Cant72223,95f84f4c09513297,Forbidden Garden,14810 Cantrell Rd,Little Rock,AR,72223,United States,Mike,Wang,President,General,,,2011.0,(501) 868-8149,,Chinese,$,Soups; Seafood; Chicken
6361,4804 Dolla71602,8ac0dbe50b1c02b8,Pine Bluff Hibachi Express,4804 Dollarway Rd,Pine Bluff,AR,71602,United States,,,,,pbhibachi@gmail.com,,2017.0,(870) 663-0355,pbhibachi@gmail.com,Japanese,$$,Hibachi; Smoked Salmon; Sushi; Grill; Chicken; Steaks
6376,880 E Coll71832,c786ef63b27c22e1,Hachi Hachi,880 E Collin Raye Dr,De Queen,AR,71832,United States,,,,,,,,(870) 784-0888,,Japanese,$$,
6596,5612 Roger72903,02e708763d26ef59,Ninja Japanese Express,5612 Rogers Ave,Fort Smith,AR,72903,United States,,,,,ninjajapanesexpress@gmail.com,,2015.0,(479) 452-3088,ninjajapanesexpress@gmail.com,Japanese,$,Soups; Teppanyaki; Chicken; French Fries; Steaks; Hibachi; Salads; Seafood; Sushi; Grill; Noodles
6817,4501 S Uni72204,5204a38c0dcbee5b,Sandra Rose Kitchen,4501 S University Ave,Little Rock,AR,72204,United States,,,,,,,,(501) 553-8569,,Southern; Cajun,$$,Seafood; French Fries
6889,1229 W Bee72143,7674d53459dfa88b,Bee hibachi,1229 W Beebe Capps Expy,Searcy,AR,72143,United States,,,,,,,,(501) 858-8956,,Japanese,$,
6908,1623 S Mai72160,669a48ced857547e,Lotus Blossom,1623 S Main St,Stuttgart,AR,72160,United States,Sak,Seevoonroung,Owner,Owner,,,1989.0,(870) 673-4060,,Chinese; Thai,$$,French Fries
6925,218 S Main72401,740afed036a940fa,Brickhouse Grill,218 S Main St,Jonesboro,AR,72401,United States,Daniel,Thomas,Owner,Owner,,,2007.0,(870) 336-2441,,American; Creole; Cajun,$$,Grill
6961,1500 W Kei72370,664b906f7e8087bc,Evergreen Chinese Restaurant,1500 W Keiser Ave,Osceola,AR,72370,United States,Tony,Guo,,,,,2006.0,(870) 563-3888,,Chinese,$,
7087,21424 High72113,34a79aca02a15dc8,Hokiku Maumelle Hibachi,21424 Highway 365 N,Maumelle,AR,72113,United States,,,,,,,,(501) 442-9582,,Japanese,$$,
7182,301 S Dods72758,2aafc46377f75585,Ramen Nara,301 S Dodson Rd,Rogers,AR,72758,United States,,,,,ramennara@outlook.com,,,(479) 367-2992,ramennara@outlook.com,Japanese,$$,Pork; Seafood; Curry; Chicken; Ramen
7307,2630 E Cit72703,86a849369be6a41b,China Cafe,2630 E Citizens Dr,Fayetteville,AR,72703,United States,Tom,Lin,Manager,General,,,2010.0,(479) 442-3998,,Chinese,$,Seafood; Chicken; Noodles
