Created Date,Lead Source,Mobile - Primary,Business Phone,Street,Zip/Postal Code,State/Province (text only),Company / Account,Lead Status,Lead Owner,Unqualified Reason,Converted Date,Opportunity Name,Oppt Close Date,Oppt Close Date
10/31/2022,Marketing Inbound,(646) 912-3214,(910) 371-0077,112 VILLAGE RD NE,28451,NC,Yummi Yummi R85005,Converted,Ailin Li,Current Client,12/21/2022,Yummi Yummi-,12/30/2022,12/30/2022
10/31/2022,Marketing Inbound,(917) 250-6839,(978) 356-8881,"42 Central St,",1938,MA,Good Taste R85009,Converted,Ailin Li,Current Client,12/21/2022,Good Taste,1/9/2023,1/9/2023
12/23/2022,Channel Partner,(702) 882-5985,,1990 Village Center Circle #10,89134,NV,China A Gogo (8380 W) R85016,Converted,Wonders Lead queue,Current Client,12/23/2022,China A Gogo - (1990 village center),2/17/2023,2/17/2023
12/23/2022,Channel Partner,(702) 882-5985,702-631-5988,2101 North Rainbow Boulevard,89108,NV,China A Gogo (2101 n rainbow) R85017,Converted,Wonders Lead queue,Current Client,12/23/2022,China A Gogo - (2101 n rainbow),2/17/2023,2/17/2023
12/23/2022,Marketing Inbound,(917) 678-6576,504-766-0900,3330 Veterans Memorial Boulevard,70002,LA,Fiery Crab R85021,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/15/2023,1/15/2023
12/23/2022,Marketing Inbound,(917) 678-6576,504-841-9823,925 Common Street,70112,LA,Fiery Crab R85019,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/15/2023,1/15/2023
12/23/2022,Marketing Inbound,(917) 678-6576,504-332-3900,3900 Williams Boulevard,70065,LA,Fiery Crab R85018,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/19/2023,1/19/2023
10/31/2022,Telemarketer,(407) 868-2328,(407) 877-8282,10962 W Colonial Dr,34761,FL,Chengs Chinese Restaurant R85026,Converted,Jiaxin Chen,Current Client,12/23/2022,Chengs Chinese Restaurant-,1/6/2023,1/6/2023
10/31/2022,Marketing Inbound,(770) 757-0360,(770) 227-6961,1424 N EXPY,30223,GA,GOOD CITY CHINESE RESTAURANT R85038,Converted,Jiaxin Chen,Current Client,12/30/2022,GOOD CITY CHINESE RESTAURANT-,1/10/2023,1/10/2023
10/31/2022,Marketing Inbound,(240) 557-9525,(240) 557-9525,6376 Coventry Way,20735,MD,New No. 1 China R85039,Converted,Jessica Wang,Current Client,12/31/2022,2405579525-Mr.孙,1/25/2023,1/25/2023
10/31/2022,Telemarketer,(954) 854-8155,(305) 651-2544,1520 NE 205TH ST,33179,FL,Asian Wok R85051,Converted,Jiaxin Chen,Current Client,12/31/2022,CHINESE FOOD TO GO-,1/18/2023,1/18/2023
10/31/2022,Marketing Inbound,(865) 566-2983,(865) 475-3336,652 East Broadway Blvd,37760,TN,Asian House R85053,Converted,Jessica Wang,Current Client,1/1/2023,Mr. 张 8655662983,4/11/2023,4/11/2023
10/31/2022,Telemarketer,(917) 225-6365,(717) 632-0229,7 S 6th St,17344,PA,Golden Dragon R85063,Converted,Jiaxin Chen,Current Client,1/4/2023,Golden Dragon-,1/21/2023,1/21/2023
1/4/2023,Marketing Inbound,(347) 791-6263,(307) 778-7171,3806 DELL RANGE BLVD,82009,WY,Hong Kong R85062,Converted,Ailin Li,Current Client,1/4/2023,3477916263 -Ms. Abby-來取-,1/31/2023,1/31/2023
1/4/2023,Marketing Inbound,(347) 774-6966,(301) 568-6197,5760 Silver Hill Rd,20747,MD,Hunan East R82711,Converted,Ailin Li,Current Client,1/6/2023,Hunan East R82711-,1/26/2023,1/26/2023
10/31/2022,Marketing Inbound,(267) 467-7955,(215) 482-3800,7140 RIDGE AVE,19128,PA,RUBY1 CHINESE RESTAURANT R85067,Converted,Pony Shao,Current Client,1/7/2023,Ruby1 Chinese Restaurant,1/13/2023,1/13/2023
10/31/2022,Marketing Inbound,(314) 616-3878,(618) 274-6818,800 Saint Louis Ave,62201,IL,Chop Suey King R85077,Converted,Ailin Li,Current Client,1/7/2023,Chop Suey King,1/23/2023,1/23/2023
10/31/2022,Marketing Inbound,(804) 638-4166,(804) 559-8888,9502 Chamberlayne Rd Ste 20,23116,VA,China Wok R85069,Converted,Jiaxin Chen,Current Client,1/9/2023,Chinawok-,2/1/2023,2/1/2023
10/31/2022,Marketing Inbound,(918) 606-4722,(918) 298-2988,12170 SOUTH WACO AVENUE,74033,OK,Golden China R85073,Converted,Ailin Li,Current Client,1/9/2023,9186064722 -Ms.郑-来取-,1/20/2023,1/20/2023
1/9/2023,Marketing Inbound,(917) 862-8629,(904) 797-7377,165 BLACKFORD WAY # A,32086,FL,China Cafe R85078,Converted,Ailin Li,Current Client,1/9/2023,9178628629 -Annie-2/1 接店-,1/31/2023,1/31/2023
10/31/2022,Marketing Inbound,(917) 868-8232,(910) 980-0603,68 E STEWART ST,27521,NC,Welcome 68 R85075,Converted,Jessica Wang,Current Client,1/10/2023,Ms.游,1/24/2023,1/24/2023
1/10/2023,Marketing Inbound,(845) 518-1549,(610) 265-4180,"104 E. Beidler Rd.,",19406,PA,China King R85081,Converted,Jessica Wang,Current Client,1/10/2023,Ms. 陈,9/26/2023,9/26/2023
10/31/2022,Marketing Inbound,(813) 576-8688,(904) 999-9853,1650-6 SAN PABLO RD S,32224,FL,China Garden R85083,Converted,Jessica Wang,Current Client,1/11/2023,Alex 黄,1/27/2023,1/27/2023
10/31/2022,Marketing Inbound,(917) 520-8017,(330) 758-1698,945 BOARDMAN-CANFIELD RD,44512,OH,SHANG HAI RIVER R85085,Converted,Jessica Wang,Current Client,1/11/2023,Mr.王,1/23/2023,1/23/2023
1/9/2023,Marketing Inbound,(647) 675-8887,(905) 319-8180,"2475 Appleby Line, Unit E4",L7L0B6,ON,JF Chen R85087,Converted,Wonders Lead queue,Current Client,1/11/2023,JF Chen Chinese Food - 加拿大-,1/21/2023,1/21/2023
10/31/2022,Telemarketer,(929) 588-2699,(317) 733-1137,1211 W Oak St,46077,IN,Rice Cooker R85086,Converted,Jessica Wang,Current Client,1/11/2023,Ms.何,1/20/2023,1/20/2023
10/31/2022,Marketing Inbound,(803) 991-3196,(904) 745-1212,5566 FORT CAROLINE RD # 22,32277,FL,Hunan Wok R85088,Converted,Ailin Li,Current Client,1/11/2023,8039913196 - Mr. 陈-来取-,1/25/2023,1/25/2023
1/9/2023,Marketing Inbound,(662) 213-3858,(622) 307-2748,1550 Jameson Dr. Unit D,38901,MS,Brother Restaurant R85091,Converted,Ailin Li,Current Client,1/12/2023,Brother Restaurant,1/12/2023,1/12/2023
10/31/2022,Marketing Inbound,(207) 391-5035,(207) 710-2888,20 Alfred Street,4005,ME,Yummy House R85212,Converted,Yaning Wang,Current Client,1/13/2023,2073913798 - 福州話媽媽,2/28/2023,2/28/2023
1/16/2023,Marketing Inbound,(219) 315-6777,12198665005,670 South College Avenue,47978,IN,China Garden R85105,Converted,Yaning Wang,Current Client,1/16/2023,China Garden-,1/26/2023,1/26/2023
10/31/2022,Marketing Inbound,(425) 697-0255,(360) 479-2732,"5050 Washington 303,suite 125",98311,WA,Emperor's Palace R85098,Converted,Leon Li,Current Client,1/16/2023,Emperor's Palace Restaurant-,1/28/2023,1/28/2023
10/31/2022,AE Sourced,(336) 639-8293,(336) 639-7231,1356 N Church St,27217,NC,Asian Express R85101,Converted,Ailin Li,Current Client,1/16/2023,Asian Express - 來取-,1/29/2023,1/29/2023
10/31/2022,Marketing Inbound,(917) 774-3772,(561) 791-8858,9940 Belvedere Road,33411,FL,China King,Converted,Yaning Wang,Current Client,1/16/2023,China King-,2/15/2023,2/15/2023
11/23/2022,AE Sourced,(917) 238-3065,(517) 836-2159,1208 S. Main St.,48827,MI,China One R85102,Converted,Ailin Li,Current Client,1/16/2023,China One - 新餐館2月份開業-來取-,5/19/2023,5/19/2023
10/31/2022,AE Sourced,(646) 388-3297,(413) 499-0660,506 PITTSFIELD RD,1240,MA,Panda House R85103,Converted,Ailin Li,Current Client,1/16/2023,Panda House-,5/30/2023,5/30/2023
1/18/2023,CSM Referral,(917) 370-0958,(803) 324-2722,1022 Camden Ave,29732,SC,Fiery Crab R85108,Converted,Wonders Lead queue,Current Client,1/18/2023,Fiery Crab-,1/30/2023,1/30/2023
10/31/2022,Marketing Inbound,(601) 954-0597,(769) 300-0654,1060 HIGHWAY 51,39110,MS,Red Samurai R85109,Converted,Ailin Li,Current Client,1/18/2023,Red Samurai-,1/31/2023,1/31/2023
10/31/2022,Marketing Inbound,(301) 283-8223,(202) 291-6618,"628 Kennedy St NW, Washington",20011,MD,Yum's Carryout R85115,Converted,Ailin Li,Current Client,1/20/2023,Yum's Carryout-,1/29/2023,1/29/2023
1/18/2023,CSM Referral,(918) 204-4541,(918) 347-8262,808 E Taft Ave,74066,OK,Sushi One R85117,Converted,Ailin Li,Current Client,1/20/2023,Sushi One-,2/4/2023,2/4/2023
1/22/2023,Marketing Inbound,(856) 366-6160,(856) 342-8030,3208 River Road,8105,NJ,Chan San R85118,Converted,Jessica Wang,Current Client,1/23/2023,Jimmy 郑,1/31/2023,1/31/2023
1/23/2023,Channel Partner,(651) 455-2888,(651) 347-9710,231 13th Avenue South,55075,MN,Hong Kong Restaurant R85119,Converted,Wonders Lead queue,Current Client,1/23/2023,Hong Kong Restaurant-,2/2/2023,2/2/2023
1/23/2023,Channel Partner,(763) 363-8818,(763) 363-8818,3505 Vicksburg Lane North (Suite# 700),55447,MN,Song Tea R85121,Converted,Wonders Lead queue,Current Client,1/23/2023,Song Tea-,9/26/2023,9/26/2023
1/23/2023,Marketing Inbound,(301) 332-7366,(301) 627-6276,5739 Crain Hwy,20772,MD,Kitchen No.1 R85123,Converted,Ailin Li,Current Client,1/23/2023,Kitchen No.1-,2/7/2023,2/7/2023
1/24/2023,AE Sourced,(330) 669-8888,(330) 726-3886,7050 Market Street,44512,OH,Main Moon R85125,Converted,Jessica Wang,Current Client,1/24/2023,Mr.肖,2/2/2023,2/2/2023
1/23/2023,CSM Referral,(917) 636-8200,(718) 891-8838,2827 Coney Island Ave.,11235,NY,New Win Way R85128,Converted,Ailin Li,Current Client,1/24/2023,New Win Way-,9/26/2023,9/26/2023
1/24/2023,CSM Referral,(646) 750-8641,(718) 368-0008,2827 Coney Island Ave.,11235,NY,Asian King R85127,Converted,Ailin Li,Current Client,1/24/2023,Asian King-,9/26/2023,9/26/2023
11/28/2022,Marketing Inbound,(646) 322-4951,(978) 563-6338,285 Central St,1453,MA,China City R85126,Converted,Ailin Li,Current Client,1/24/2023,China City-,2/3/2023,2/3/2023
10/31/2022,CSM Referral,(321) 529-4806,(407) 388-1868,520 FL-436 #1126,32714,FL,Golden City R85131,Converted,Ailin Li,Current Client,1/25/2023,Golden City -3215294806-送餐-,2/3/2023,2/3/2023
1/24/2023,Marketing Inbound,(678) 613-8640,(478) 477-5728,3086 Riverside Dr #2512,31210,GA,Mandarin Chinese R85132,Converted,Ailin Li,Current Client,1/25/2023,Mandarin Chinese,2/9/2023,2/9/2023
1/25/2023,CSM Referral,(240) 421-6050,(301) 735-4455,4850 Marlboro Pike,20743,MD,Eddie's R85135,Converted,Ailin Li,Current Client,1/28/2023,Eddie's Carry Out-,2/12/2023,2/12/2023
1/29/2023,AE Sourced,(718) 290-0250,(912) 754-1452,1444 HWY 21 S,31329,GA,China #1 R85136,Converted,Jessica Wang,Current Client,1/29/2023,Ms.刘,2/8/2023,2/8/2023
1/24/2023,Marketing Inbound,(917) 548-8822,(718) 796-3338,19A Knolls Crescent,10463,NY,Empire 19 R85137,Converted,Ailin Li,Current Client,1/29/2023,Empire 19 --,2/26/2023,2/26/2023
3/22/2023,Telemarketer,(765) 329-0755,(561) 793-9305,13833 Wellington Trace Wellington,33414,FL,PANDA GARDEN R81972,Converted,Jiaxin Chen,Current Client,11/17/2023,Panda Garden-,3/31/2024,3/31/2024
9/21/2023,Marketing Inbound,(717) 944-8224,,2285 West Harrisburg Pike,17057,PA,LIN GARDEN R82813,Converted,Sharon Du,Current Client,3/12/2024,,,3/1/2023
10/31/2022,Marketing Inbound,(443) 915-0200,(410) 465-2800,10030 Baltimore National Pike,21042,MD,China Taste R85159,Converted,Ailin Li,Current Client,1/30/2023,4439150200 - Ms. 張-來取-,3/1/2023,2/9/2023
1/30/2023,Marketing Inbound,(719) 271-8140,(719) 390-8700,6928 Mesa Ridge Parkway,80817,CO,Szechuan Panda R85139,Converted,Yaning Wang,Current Client,1/31/2023,Szechuan Panda-,2/9/2023,2/11/2023
12/20/2022,Marketing Inbound,(917) 559-9305,(321) 868-0188,5675 N Atlantic Ave #116,32931,FL,Cocoa Beach Kim Bo R85138,Converted,Ailin Li,Current Client,1/31/2023,9175599305 -Mr. 鄭-來取-,2/11/2023,2/27/2023
10/31/2022,Telemarketer,(502) 531-5717,(502) 966-8882,9204 BLUE LICK RD,40229,KY,DOUBLE DRAGON II R85158,Converted,Jessica Wang,Current Client,2/1/2023,Mr.阮,2/27/2023,2/11/2023
10/31/2022,Telemarketer,(917) 969-8333,(212) 932-9390,1288 AMSTERDAM AVE #4225,10027,NY,WEST PLACE R85163,Converted,Jessica Wang,Current Client,2/2/2023,Mr.李,2/11/2023,2/13/2023
10/31/2022,Telemarketer,(678) 200-6335,(352) 624-8887,3035 SE MARICAMP RD #109,34471,FL,ZHANG GARDEN RESTAURANT R85168,Converted,Yaning Wang,Current Client,2/2/2023,ZHANG GARDEN RESTAURANT-,2/13/2023,2/18/2023
10/31/2022,AE Sourced,(919) 389-1108,(919) 853-3368,"505 Retail Way, Suite 102",27549,NC,Fuji Express R85166,Converted,Ailin Li,Current Client,2/3/2023,Fuji Express-,2/18/2023,2/13/2023
10/31/2022,Marketing Inbound,(813) 418-1492,(813) 238-7736,2525 EAST Hillsborough Avenue #157,33610-4424,FL,Top China R85169,Converted,Wonders Lead queue,Current Client,2/3/2023,Mr.王,2/13/2023,2/15/2023
10/31/2022,Telemarketer,(816) 830-6725,(816) 468-8868,9322 N OAK TRAFFICWAY,64155,MO,RED WOK R85176,Converted,Pony Shao,Current Client,2/4/2023,RED WOK-,2/15/2023,2/13/2023
10/31/2022,Marketing Inbound,(917) 853-1188,(518) 792-6887,365 Bay Rd #1,12804,NY,Chopsticks R85172,Converted,Ailin Li,Current Client,2/4/2023,9178531188 -Ms. 梁-來取-,2/13/2023,2/14/2023
2/5/2023,Marketing Inbound,(312) 375-6297,608-8462259,404 North Main ST.,53532,WI,Sizzling Hut R85173,Converted,Jessica Wang,Current Client,2/5/2023,Ms.陈,2/14/2023,2/28/2023
10/31/2022,Marketing Inbound,(646) 727-8625,(718) 268-2288,116-49 Queens Blvd,11375,NY,King Kew Garden R81055,Converted,Ailin Li,Current Client,2/6/2023,King Kew Garden R81055,2/28/2023,9/26/2023
10/31/2022,Marketing Inbound,(240) 338-1082,(410) 2969000,416 York Rd.,21204,MD,kung Fu 12 Sushi R85177,Converted,Jessica Wang,Current Client,2/6/2023,David 候,9/26/2023,2/25/2023
2/6/2023,CSM Referral,(660) 888-6868,(302) 933-0988,28544 Dupont Blvd,19966,DE,China One R85182,Converted,Ailin Li,Current Client,2/6/2023,China One-,2/25/2023,2/24/2023
10/31/2022,Telemarketer,(917) 916-0837,(708) 458-0966,8019 W 79 ST,60458,IL,Lucky Dragon R85179,Converted,Jessica Wang,Current Client,2/7/2023,Cindy 朱,2/24/2023,2/28/2023
11/22/2022,Marketing Inbound,(301) 537-2678,(301) 322-5578,"9301 Woodmore Centre Dr , Suite#510",20706,MD,Kenny's Sub Shop R85192,Converted,Ailin Li,Current Client,2/8/2023,Kenny's Sub Shop-,2/28/2023,2/17/2023
2/8/2023,Marketing Inbound,(917) 349-4288,419-562-6200,241 S. Sandusky Ave,44820,OH,Main Moon R85181,Converted,Jessica Wang,Current Client,2/8/2023,Mr.江,2/17/2023,2/26/2023
1/22/2023,Marketing Inbound,(646) 552-8383,615-9418028,6601 Sugar Valley,37211,TN,China King R85183,Converted,Jessica Wang,Current Client,2/9/2023,May,2/26/2023,2/19/2023
10/31/2022,Telemarketer,(408) 398-9102,(575) 546-4146,110 E PINE ST,88030,NM,CHINA RESTAURANT R85187,Converted,Jiaxin Chen,Current Client,2/9/2023,CHINA RESTAURANT-,2/19/2023,2/18/2023
10/31/2022,AE Sourced,(347) 915-8629,(718) 479-6762,222-19 Braddock Ave,11428,NY,China King R85185,Converted,Ailin Li,Current Client,2/9/2023,China King-,2/18/2023,2/20/2023
10/31/2022,AE Sourced,(910) 674-1157,(910) 735-1200,6687 Highway 41 North,28358,NC,Ming Moon II R85188,Converted,Ailin Li,Current Client,2/10/2023,MING MOON II - 9108163336 - 來取-,2/20/2023,2/28/2023
2/11/2023,AE Sourced,(702) 858-1319,,860 South Rancho Drive,89106,NV,China A Gogo (860 s rancho) R85189,Converted,Leon Li,Current Client,2/11/2023,China A Gogo - (860 s rancho),2/28/2023,9/26/2023
2/11/2023,AE Sourced,(725) 666-5557,,505 East Windmill Lane,89123,NV,China A Gogo (505 e windmill ln) R85191,Converted,Leon Li,Current Client,2/11/2023,China A Gogo - (505 e windmill ln),9/26/2023,2/27/2023
2/14/2023,Enterprise AE,(702) 858-1318,(775) 727-1222,150 S highway 160. Ste c12.,89048,NV,China A Gogo (Pahrump) R85198,Converted,Leon Li,Current Client,2/14/2023,China a go go(Pahrump)-,2/27/2023,2/28/2023
2/14/2023,Enterprise AE,(702) 333-0788,(702) 333-0788,2466 East Desert Inn Road,89121,NV,China A Gogo (2466 e desert inn) R85199,Converted,Leon Li,Current Client,2/14/2023,CHINA A Go go (Desert inn)-,2/28/2023,2/25/2023
10/31/2022,Marketing Inbound,(240) 505-9388,(301) 495-8888,8200 Georgia Avenue,20910,MD,GOLDEN HOUSE R85201,Converted,Leon Li,Current Client,2/14/2023,GOLDEN HOUSE-,2/25/2023,2/24/2023
10/31/2022,Marketing Inbound,(347) 495-3333,(631) 286-4630,1733 MONTAUK HWY,11713,NY,FUJI R85203,Converted,Jiaxin Chen,Current Client,2/15/2023,FUJI,2/24/2023,2/25/2023
10/31/2022,Marketing Inbound,(917) 868-9779,,"110 kirk road,",12764,NY,China Town Kitchen R85205,Converted,Leon Li,Current Client,2/15/2023,China Town Kitchen-,2/25/2023,9/10/2023
12/28/2022,AE Sourced,(910) 728-3034,(919) 803-2267,8109 Fayetteville Rd #129,27603,NC,Hibachi Bowl R85206,Converted,Ailin Li,Current Client,2/15/2023,Hibachi Bowl-,9/10/2023,3/5/2023
2/13/2023,Marketing Inbound,(917) 346-3286,410-273-1333,310 S Philadelphia Blvd,21001,MD,Alina‘s R85208,Converted,Jessica Wang,Current Client,2/16/2023,Mr.刘,3/5/2023,2/28/2023
