Created Date,Lead Source,Company / Account,Business Phone,Mobile - Primary,Street,Zip/Postal Code,State/Province (text only),Lead Status,Lead Owner,Unqualified Reason,Converted Date,Opportunity Name,Oppt Close Date
10/31/2022,Telemarketer,Luu's Asian Cuisine R83879,(720) 600-0579,(720) 206-7034,1104 Francis St,80501,CO,Converted,Jessica Wang,Current Client,11/16/2022,Susan-7202067034,11/27/2022
10/31/2022,Marketing Inbound,Great Wall R83885,(616) 355-2728,(917) 657-1689,226 N River Avenue,49424,MI,Converted,Jessica Wang,Current Client,11/16/2022,Mr.吴,11/30/2022
10/31/2022,Marketing Inbound,CHINA CITY R83887,(239) 693-6688,(239) 297-7722,14630 PALM BEACH BLVD # 4,33905,FL,Converted,Jessica Wang,Current Client,11/17/2022,Mr.郑,11/30/2022
11/17/2022,AE Sourced,Thai Basil R83888,217-525-7777,(917) 254-0047,2703 N. Dirksen Pkwy,62702,IL,Converted,Jessica Wang,Current Client,11/17/2022,Sherry,11/29/2022
11/18/2022,Marketing Inbound,Great Wall restaurant R83896,(408) 287-1688,(408) 833-3330,1455 Bird Avenue,95125,CA,Converted,Yaning Wang,Current Client,11/18/2022,Great Wall (LA)-,11/30/2022
11/18/2022,Marketing Inbound,Lucky Palace R83895,(208) 376-2828,(208) 830-4921,8630 W OVERLAND RD,83709,ID,Converted,Wonders Lead queue,Current Client,11/18/2022,Lucky Palace-,11/29/2022
10/31/2022,Telemarketer,Wok N Roll R88995,(904) 425-6999,(917) 856-8798,9542 ARGYLE FOREST BLVD #13,32222,FL,Converted,Ailin Li,Current Client,11/21/2022,WOK N ROLL-,11/29/2022
10/31/2022,Telemarketer,CHINA WOK R83909,(305) 596-6288,(305) 323-9681,9340 SW 56TH ST,33165,FL,Converted,Ailin Li,Current Client,11/21/2022,CHINA WOK-,11/30/2022
10/31/2022,Telemarketer,CHIN CHIN CHINESE RESTAURANT R83971,(706) 216-2017,(678) 979-6788,837 GA-400 #115,30534,GA,Converted,Jiaxin Chen,Current Client,11/21/2022,CHIN CHIN CHINESE RESTAURANT-,12/19/2022
11/22/2022,AE Sourced,China Dragon Star R83906,（803）735-8601,(917) 362-8287,331 #B 4 Killian Rd.,29203,SC,Converted,Jessica Wang,Current Client,11/22/2022,Ms.欧,12/7/2022
10/31/2022,Telemarketer,A HIBACHI R83912,(804) 732-8818,(347) 993-7593,3301 S CRATER RD,23805,VA,Converted,Ailin Li,Current Client,11/25/2022,A HIBACHI-,12/5/2022
10/31/2022,Marketing Inbound,Golden Wok R83919,(952) 431-9998,(612) 840-0633,1062 County Rd. 42E,55337,MN,Converted,Ailin Li,Current Client,11/26/2022,Golden Wok-,9/26/2023
10/31/2022,Marketing Inbound,China Star R83926,(618) 281-8888,(917) 325-1997,1240 Columbia Centre Columbia,62236,IL,Converted,Jessica Wang,Current Client,11/29/2022,Mr.潘,12/17/2022
10/31/2022,Marketing Inbound,Peony Asian Bistro R83927,(919) 419-8800,(646) 203-5266,3515 Witherspoon Boulevard,27707,NC,Converted,Yaning Wang,Current Client,11/30/2022,Peony Asian Bistro-,12/14/2022
10/31/2022,Marketing Inbound,Panda Chinese Restaurant R83936,(770) 717-9295,(904) 240-2044,4024 LAWRENCEVILLE HWY,30047,GA,Converted,Yaning Wang,Current Client,12/1/2022,7707179295-Mr.王-送餐-,12/9/2022
10/31/2022,Channel Partner,China A Gogo (11710 w charleston) R83935,(702) 880-8818,(702) 885-8188,11710 W CHARLESTON BLVD,89135,NV,Converted,Wonders Lead queue,Current Client,12/1/2022,China A Gogo - (11710 w charleston),1/13/2023
10/31/2022,Marketing Inbound,Peking City R88695,(914) 232-2368,(914) 282-8887,138 Bedford Rd,10536,NY,Converted,Jessica Wang,Current Client,12/2/2022,Ms.陈,7/14/2018
10/31/2022,Marketing Inbound,Grow Green R83966,(704) 876-9950,(704) 877-7470,608 Turnersburg Hwy A,28625,NC,Converted,Ailin Li,Current Client,12/3/2022,Grow Green-,12/17/2022
10/31/2022,AE Sourced,LAO PEKING CHINESE RESTAURANT R83957,(816) 461-3564,(913) 233-6211,1020 South Sterling Ave.,64054,MO,Converted,Jessica Wang,Current Client,12/4/2022,Ms.刘,12/15/2022
10/31/2022,Marketing Inbound,Golden Dragon R83958,,(973) 678-3339,458 Central Avenue,7018,NJ,Converted,Yaning Wang,Current Client,12/5/2022,Golden Dragon-,12/21/2022
12/7/2022,AE Sourced,Happy Star R83962,（276）466-8700,(917) 656-8825,1301 Old Euclid Ctr.,24201,VA,Converted,Jessica Wang,Current Client,12/7/2022,Ms.林,12/15/2022
12/6/2022,Marketing Inbound,Lobster King R83965,(662) 584-2981,(901) 848-8883,3903 N GLOSTER ST,38804,MS,Converted,Wonders Lead queue,Current Client,12/7/2022,Johnny Chen,12/21/2022
10/31/2022,Telemarketer,LUCKY EXPRESS R83982,(561) 998-9366,(917) 340-5252,1906 CLINT MOORE RD,33496,FL,Converted,Jiaxin Chen,Current Client,12/8/2022,LUCKY EXPRESS-,12/21/2022
10/31/2022,Telemarketer,CHINA EXPRESS II R83973,(239) 573-9988,(239) 223-9255,2522 SANTA BARBARA BLVD #306,33914,FL,Converted,Jessica Wang,Current Client,12/8/2022,Ms.陈,12/21/2022
10/31/2022,Marketing Inbound,Dynasty Restaurant R83979,(603) 332-1000,(646) 886-0909,24 SIGNAL ST,3867,NH,Converted,Ailin Li,Current Client,12/9/2022,Dynasty Restaurant-,2/1/2023
10/31/2022,Marketing Inbound,Even Green R83992,(863) 294-4993,(863) 326-0464,1104 SPIRIT LAKE RD,33880,FL,Converted,Ailin Li,Current Client,12/12/2022,EVER GREEN-,1/4/2023
12/5/2022,Marketing Inbound,Sakura Ramen R83998,(918) 537-2098,(929) 666-9009,407 N. York Street Suite C,74403,OK,Converted,Ailin Li,Current Client,12/14/2022,9296669009 -Rain-JP 來取-,3/3/2023
10/31/2022,Telemarketer,SUNNY WOK R85161,(941) 727-9060,(941) 302-5138,8756 E STATE RD 70,34202,FL,Converted,Jiaxin Chen,Current Client,12/15/2022,Sunny Wok,2/22/2023
10/31/2022,Marketing Inbound,Shang Hai R83996,(860) 927-4809,(203) 482-7265,1 Landmark Ln.,6757,CT,Converted,Jessica Wang,Current Client,12/15/2022,Ms.张,12/28/2022
10/31/2022,Marketing Inbound,Yummi Yummi R85005,(910) 371-0077,(646) 912-3214,112 VILLAGE RD NE,28451,NC,Converted,Ailin Li,Current Client,12/21/2022,Yummi Yummi-,12/30/2022
10/31/2022,Marketing Inbound,Good Taste R85009,(978) 356-8881,(917) 250-6839,"42 Central St,",1938,MA,Converted,Ailin Li,Current Client,12/21/2022,Good Taste,1/9/2023
12/23/2022,Channel Partner,China A Gogo (8380 W) R85016,,(702) 882-5985,1990 Village Center Circle #10,89134,NV,Converted,Wonders Lead queue,Current Client,12/23/2022,China A Gogo - (1990 village center),2/17/2023
12/23/2022,Channel Partner,China A Gogo (2101 n rainbow) R85017,702-631-5988,(702) 882-5985,2101 North Rainbow Boulevard,89108,NV,Converted,Wonders Lead queue,Current Client,12/23/2022,China A Gogo - (2101 n rainbow),2/17/2023
12/23/2022,Marketing Inbound,Fiery Crab R85021,504-766-0900,(917) 678-6576,3330 Veterans Memorial Boulevard,70002,LA,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/15/2023
12/23/2022,Marketing Inbound,Fiery Crab R85019,504-841-9823,(917) 678-6576,925 Common Street,70112,LA,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/15/2023
12/23/2022,Marketing Inbound,Fiery Crab R85018,504-332-3900,(917) 678-6576,3900 Williams Boulevard,70065,LA,Converted,Wonders Lead queue,Current Client,12/23/2022,Fiery Crab-,1/19/2023
10/31/2022,Telemarketer,Chengs Chinese Restaurant R85026,(407) 877-8282,(407) 868-2328,10962 W Colonial Dr,34761,FL,Converted,Jiaxin Chen,Current Client,12/23/2022,Chengs Chinese Restaurant-,1/6/2023
10/31/2022,Marketing Inbound,GOOD CITY CHINESE RESTAURANT R85038,(770) 227-6961,(770) 757-0360,1424 N EXPY,30223,GA,Converted,Jiaxin Chen,Current Client,12/30/2022,GOOD CITY CHINESE RESTAURANT-,1/10/2023
10/31/2022,Marketing Inbound,New No. 1 China R85039,(240) 557-9525,(240) 557-9525,6376 Coventry Way,20735,MD,Converted,Jessica Wang,Current Client,12/31/2022,2405579525-Mr.孙,1/25/2023
10/31/2022,Telemarketer,Asian Wok R85051,(305) 651-2544,(954) 854-8155,1520 NE 205TH ST,33179,FL,Converted,Jiaxin Chen,Current Client,12/31/2022,CHINESE FOOD TO GO-,1/18/2023
10/31/2022,Marketing Inbound,Asian House R85053,(865) 475-3336,(865) 566-2983,652 East Broadway Blvd,37760,TN,Converted,Jessica Wang,Current Client,1/1/2023,Mr. 张 8655662983,4/11/2023
10/31/2022,Telemarketer,Golden Dragon R85063,(717) 632-0229,(917) 225-6365,7 S 6th St,17344,PA,Converted,Jiaxin Chen,Current Client,1/4/2023,Golden Dragon-,1/21/2023
1/4/2023,Marketing Inbound,Hong Kong R85062,(307) 778-7171,(347) 791-6263,3806 DELL RANGE BLVD,82009,WY,Converted,Ailin Li,Current Client,1/4/2023,3477916263 -Ms. Abby-來取-,1/31/2023
1/4/2023,Marketing Inbound,Hunan East R82711,(301) 568-6197,(347) 774-6966,5760 Silver Hill Rd,20747,MD,Converted,Ailin Li,Current Client,1/6/2023,Hunan East R82711-,1/26/2023
10/31/2022,Marketing Inbound,RUBY1 CHINESE RESTAURANT R85067,(215) 482-3800,(267) 467-7955,7140 RIDGE AVE,19128,PA,Converted,Pony Shao,Current Client,1/7/2023,Ruby1 Chinese Restaurant,1/13/2023
10/31/2022,Marketing Inbound,Chop Suey King R85077,(618) 274-6818,(314) 616-3878,800 Saint Louis Ave,62201,IL,Converted,Ailin Li,Current Client,1/7/2023,Chop Suey King,1/23/2023
10/31/2022,Marketing Inbound,China Wok R85069,(804) 559-8888,(804) 638-4166,9502 Chamberlayne Rd Ste 20,23116,VA,Converted,Jiaxin Chen,Current Client,1/9/2023,Chinawok-,2/1/2023
10/31/2022,Marketing Inbound,Golden China R85073,(918) 298-2988,(918) 606-4722,12170 SOUTH WACO AVENUE,74033,OK,Converted,Ailin Li,Current Client,1/9/2023,9186064722 -Ms.郑-来取-,1/20/2023
1/9/2023,Marketing Inbound,China Cafe R85078,(904) 797-7377,(917) 862-8629,165 BLACKFORD WAY # A,32086,FL,Converted,Ailin Li,Current Client,1/9/2023,9178628629 -Annie-2/1 接店-,1/31/2023
10/31/2022,Marketing Inbound,Welcome 68 R85075,(910) 980-0603,(917) 868-8232,68 E STEWART ST,27521,NC,Converted,Jessica Wang,Current Client,1/10/2023,Ms.游,1/24/2023
1/10/2023,Marketing Inbound,China King R85081,(610) 265-4180,(845) 518-1549,"104 E. Beidler Rd.,",19406,PA,Converted,Jessica Wang,Current Client,1/10/2023,Ms. 陈,9/26/2023
10/31/2022,Marketing Inbound,China Garden R85083,(904) 999-9853,(813) 576-8688,1650-6 SAN PABLO RD S,32224,FL,Converted,Jessica Wang,Current Client,1/11/2023,Alex 黄,1/27/2023
10/31/2022,Marketing Inbound,SHANG HAI RIVER R85085,(330) 758-1698,(917) 520-8017,945 BOARDMAN-CANFIELD RD,44512,OH,Converted,Jessica Wang,Current Client,1/11/2023,Mr.王,1/23/2023
1/9/2023,Marketing Inbound,JF Chen R85087,(905) 319-8180,(647) 675-8887,"2475 Appleby Line, Unit E4",L7L0B6,ON,Converted,Wonders Lead queue,Current Client,1/11/2023,JF Chen Chinese Food - 加拿大-,1/21/2023
10/31/2022,Telemarketer,Rice Cooker R85086,(317) 733-1137,(929) 588-2699,1211 W Oak St,46077,IN,Converted,Jessica Wang,Current Client,1/11/2023,Ms.何,1/20/2023
10/31/2022,Marketing Inbound,Hunan Wok R85088,(904) 745-1212,(803) 991-3196,5566 FORT CAROLINE RD # 22,32277,FL,Converted,Ailin Li,Current Client,1/11/2023,8039913196 - Mr. 陈-来取-,1/25/2023
1/9/2023,Marketing Inbound,Brother Restaurant R85091,(622) 307-2748,(662) 213-3858,1550 Jameson Dr. Unit D,38901,MS,Converted,Ailin Li,Current Client,1/12/2023,Brother Restaurant,1/12/2023
10/31/2022,Marketing Inbound,Yummy House R85212,(207) 710-2888,(207) 391-5035,20 Alfred Street,4005,ME,Converted,Yaning Wang,Current Client,1/13/2023,2073913798 - 福州話媽媽,2/28/2023
1/16/2023,Marketing Inbound,China Garden R85105,12198665005,(219) 315-6777,670 South College Avenue,47978,IN,Converted,Yaning Wang,Current Client,1/16/2023,China Garden-,1/26/2023
10/31/2022,Marketing Inbound,Emperor's Palace R85098,(360) 479-2732,(425) 697-0255,"5050 Washington 303,suite 125",98311,WA,Converted,Leon Li,Current Client,1/16/2023,Emperor's Palace Restaurant-,1/28/2023
10/31/2022,AE Sourced,Asian Express R85101,(336) 639-7231,(336) 639-8293,1356 N Church St,27217,NC,Converted,Ailin Li,Current Client,1/16/2023,Asian Express - 來取-,1/29/2023
10/31/2022,Marketing Inbound,China King,(561) 791-8858,(917) 774-3772,9940 Belvedere Road,33411,FL,Converted,Yaning Wang,Current Client,1/16/2023,China King-,2/15/2023
11/23/2022,AE Sourced,China One R85102,(517) 836-2159,(917) 238-3065,1208 S. Main St.,48827,MI,Converted,Ailin Li,Current Client,1/16/2023,China One - 新餐館2月份開業-來取-,5/19/2023
10/31/2022,AE Sourced,Panda House R85103,(413) 499-0660,(646) 388-3297,506 PITTSFIELD RD,1240,MA,Converted,Ailin Li,Current Client,1/16/2023,Panda House-,5/30/2023
1/18/2023,CSM Referral,Fiery Crab R85108,(803) 324-2722,(917) 370-0958,1022 Camden Ave,29732,SC,Converted,Wonders Lead queue,Current Client,1/18/2023,Fiery Crab-,1/30/2023
10/31/2022,Marketing Inbound,Red Samurai R85109,(769) 300-0654,(601) 954-0597,1060 HIGHWAY 51,39110,MS,Converted,Ailin Li,Current Client,1/18/2023,Red Samurai-,1/31/2023
10/31/2022,Marketing Inbound,Yum's Carryout R85115,(202) 291-6618,(301) 283-8223,"628 Kennedy St NW, Washington",20011,MD,Converted,Ailin Li,Current Client,1/20/2023,Yum's Carryout-,1/29/2023
1/18/2023,CSM Referral,Sushi One R85117,(918) 347-8262,(918) 204-4541,808 E Taft Ave,74066,OK,Converted,Ailin Li,Current Client,1/20/2023,Sushi One-,2/4/2023
1/22/2023,Marketing Inbound,Chan San R85118,(856) 342-8030,(856) 366-6160,3208 River Road,8105,NJ,Converted,Jessica Wang,Current Client,1/23/2023,Jimmy 郑,1/31/2023
1/23/2023,Channel Partner,Hong Kong Restaurant R85119,(651) 347-9710,(651) 455-2888,231 13th Avenue South,55075,MN,Converted,Wonders Lead queue,Current Client,1/23/2023,Hong Kong Restaurant-,2/2/2023
1/23/2023,Channel Partner,Song Tea R85121,(763) 363-8818,(763) 363-8818,3505 Vicksburg Lane North (Suite# 700),55447,MN,Converted,Wonders Lead queue,Current Client,1/23/2023,Song Tea-,9/26/2023
1/23/2023,Marketing Inbound,Kitchen No.1 R85123,(301) 627-6276,(301) 332-7366,5739 Crain Hwy,20772,MD,Converted,Ailin Li,Current Client,1/23/2023,Kitchen No.1-,2/7/2023
1/24/2023,AE Sourced,Main Moon R85125,(330) 726-3886,(330) 669-8888,7050 Market Street,44512,OH,Converted,Jessica Wang,Current Client,1/24/2023,Mr.肖,2/2/2023
1/23/2023,CSM Referral,New Win Way R85128,(718) 891-8838,(917) 636-8200,2827 Coney Island Ave.,11235,NY,Converted,Ailin Li,Current Client,1/24/2023,New Win Way-,9/26/2023
1/24/2023,CSM Referral,Asian King R85127,(718) 368-0008,(646) 750-8641,2827 Coney Island Ave.,11235,NY,Converted,Ailin Li,Current Client,1/24/2023,Asian King-,9/26/2023
11/28/2022,Marketing Inbound,China City R85126,(978) 563-6338,(646) 322-4951,285 Central St,1453,MA,Converted,Ailin Li,Current Client,1/24/2023,China City-,2/3/2023
10/31/2022,CSM Referral,Golden City R85131,(407) 388-1868,(321) 529-4806,520 FL-436 #1126,32714,FL,Converted,Ailin Li,Current Client,1/25/2023,Golden City -3215294806-送餐-,2/3/2023
1/24/2023,Marketing Inbound,Mandarin Chinese R85132,(478) 477-5728,(678) 613-8640,3086 Riverside Dr #2512,31210,GA,Converted,Ailin Li,Current Client,1/25/2023,Mandarin Chinese,2/9/2023
1/25/2023,CSM Referral,Eddie's R85135,(301) 735-4455,(240) 421-6050,4850 Marlboro Pike,20743,MD,Converted,Ailin Li,Current Client,1/28/2023,Eddie's Carry Out-,2/12/2023
1/29/2023,AE Sourced,China #1 R85136,(912) 754-1452,(718) 290-0250,1444 HWY 21 S,31329,GA,Converted,Jessica Wang,Current Client,1/29/2023,Ms.刘,2/8/2023
1/24/2023,Marketing Inbound,Empire 19 R85137,(718) 796-3338,(917) 548-8822,19A Knolls Crescent,10463,NY,Converted,Ailin Li,Current Client,1/29/2023,Empire 19 --,2/26/2023
3/22/2023,Telemarketer,PANDA GARDEN R81972,(561) 793-9305,(765) 329-0755,13833 Wellington Trace Wellington,33414,FL,Converted,Jiaxin Chen,Current Client,11/17/2023,Panda Garden-,12/30/1899
9/21/2023,Marketing Inbound,LIN GARDEN R82813,,(717) 944-8224,2285 West Harrisburg Pike,17057,PA,Converted,Sharon Du,Current Client,3/12/2024
10/31/2022,Marketing Inbound,China Taste R85159,(410) 465-2800,(443) 915-0200,10030 Baltimore National Pike,21042,MD,Converted,Ailin Li,Current Client,1/30/2023,4439150200 - Ms. 張-來取-,3/1/2023
1/30/2023,Marketing Inbound,Szechuan Panda R85139,(719) 390-8700,(719) 271-8140,6928 Mesa Ridge Parkway,80817,CO,Converted,Yaning Wang,Current Client,1/31/2023,Szechuan Panda-,2/9/2023
12/20/2022,Marketing Inbound,Cocoa Beach Kim Bo R85138,(321) 868-0188,(917) 559-9305,5675 N Atlantic Ave #116,32931,FL,Converted,Ailin Li,Current Client,1/31/2023,9175599305 -Mr. 鄭-來取-,2/11/2023
10/31/2022,Telemarketer,DOUBLE DRAGON II R85158,(502) 966-8882,(502) 531-5717,9204 BLUE LICK RD,40229,KY,Converted,Jessica Wang,Current Client,2/1/2023,Mr.阮,2/27/2023
10/31/2022,Telemarketer,WEST PLACE R85163,(212) 932-9390,(917) 969-8333,1288 AMSTERDAM AVE #4225,10027,NY,Converted,Jessica Wang,Current Client,2/2/2023,Mr.李,2/11/2023
10/31/2022,Telemarketer,ZHANG GARDEN RESTAURANT R85168,(352) 624-8887,(678) 200-6335,3035 SE MARICAMP RD #109,34471,FL,Converted,Yaning Wang,Current Client,2/2/2023,ZHANG GARDEN RESTAURANT-,2/13/2023
10/31/2022,AE Sourced,Fuji Express R85166,(919) 853-3368,(919) 389-1108,"505 Retail Way, Suite 102",27549,NC,Converted,Ailin Li,Current Client,2/3/2023,Fuji Express-,2/18/2023
10/31/2022,Marketing Inbound,Top China R85169,(813) 238-7736,(813) 418-1492,2525 EAST Hillsborough Avenue #157,33610-4424,FL,Converted,Wonders Lead queue,Current Client,2/3/2023,Mr.王,2/13/2023
10/31/2022,Telemarketer,RED WOK R85176,(816) 468-8868,(816) 830-6725,9322 N OAK TRAFFICWAY,64155,MO,Converted,Pony Shao,Current Client,2/4/2023,RED WOK-,2/15/2023
10/31/2022,Marketing Inbound,Chopsticks R85172,(518) 792-6887,(917) 853-1188,365 Bay Rd #1,12804,NY,Converted,Ailin Li,Current Client,2/4/2023,9178531188 -Ms. 梁-來取-,2/13/2023
2/5/2023,Marketing Inbound,Sizzling Hut R85173,608-8462259,(312) 375-6297,404 North Main ST.,53532,WI,Converted,Jessica Wang,Current Client,2/5/2023,Ms.陈,2/14/2023
10/31/2022,Marketing Inbound,King Kew Garden R81055,(718) 268-2288,(646) 727-8625,116-49 Queens Blvd,11375,NY,Converted,Ailin Li,Current Client,2/6/2023,King Kew Garden R81055,2/28/2023
10/31/2022,Marketing Inbound,kung Fu 12 Sushi R85177,(410) 2969000,(240) 338-1082,416 York Rd.,21204,MD,Converted,Jessica Wang,Current Client,2/6/2023,David 候,9/26/2023
2/6/2023,CSM Referral,China One R85182,(302) 933-0988,(660) 888-6868,28544 Dupont Blvd,19966,DE,Converted,Ailin Li,Current Client,2/6/2023,China One-,2/25/2023
10/31/2022,Telemarketer,Lucky Dragon R85179,(708) 458-0966,(917) 916-0837,8019 W 79 ST,60458,IL,Converted,Jessica Wang,Current Client,2/7/2023,Cindy 朱,2/24/2023
11/22/2022,Marketing Inbound,Kenny's Sub Shop R85192,(301) 322-5578,(301) 537-2678,"9301 Woodmore Centre Dr , Suite#510",20706,MD,Converted,Ailin Li,Current Client,2/8/2023,Kenny's Sub Shop-,2/28/2023
2/8/2023,Marketing Inbound,Main Moon R85181,419-562-6200,(917) 349-4288,241 S. Sandusky Ave,44820,OH,Converted,Jessica Wang,Current Client,2/8/2023,Mr.江,2/17/2023
1/22/2023,Marketing Inbound,China King R85183,615-9418028,(646) 552-8383,6601 Sugar Valley,37211,TN,Converted,Jessica Wang,Current Client,2/9/2023,May,2/26/2023
10/31/2022,Telemarketer,CHINA RESTAURANT R85187,(575) 546-4146,(408) 398-9102,110 E PINE ST,88030,NM,Converted,Jiaxin Chen,Current Client,2/9/2023,CHINA RESTAURANT-,2/19/2023
10/31/2022,AE Sourced,China King R85185,(718) 479-6762,(347) 915-8629,222-19 Braddock Ave,11428,NY,Converted,Ailin Li,Current Client,2/9/2023,China King-,2/18/2023
10/31/2022,AE Sourced,Ming Moon II R85188,(910) 735-1200,(910) 674-1157,6687 Highway 41 North,28358,NC,Converted,Ailin Li,Current Client,2/10/2023,MING MOON II - 9108163336 - 來取-,2/20/2023
2/11/2023,AE Sourced,China A Gogo (860 s rancho) R85189,,(702) 858-1319,860 South Rancho Drive,89106,NV,Converted,Leon Li,Current Client,2/11/2023,China A Gogo - (860 s rancho),2/28/2023
2/11/2023,AE Sourced,China A Gogo (505 e windmill ln) R85191,,(725) 666-5557,505 East Windmill Lane,89123,NV,Converted,Leon Li,Current Client,2/11/2023,China A Gogo - (505 e windmill ln),9/26/2023
2/14/2023,Enterprise AE,China A Gogo (Pahrump) R85198,(775) 727-1222,(702) 858-1318,150 S highway 160. Ste c12.,89048,NV,Converted,Leon Li,Current Client,2/14/2023,China a go go(Pahrump)-,2/27/2023
2/14/2023,Enterprise AE,China A Gogo (2466 e desert inn) R85199,(702) 333-0788,(702) 333-0788,2466 East Desert Inn Road,89121,NV,Converted,Leon Li,Current Client,2/14/2023,CHINA A Go go (Desert inn)-,2/28/2023
10/31/2022,Marketing Inbound,GOLDEN HOUSE R85201,(301) 495-8888,(240) 505-9388,8200 Georgia Avenue,20910,MD,Converted,Leon Li,Current Client,2/14/2023,GOLDEN HOUSE-,2/25/2023
10/31/2022,Marketing Inbound,FUJI R85203,(631) 286-4630,(347) 495-3333,1733 MONTAUK HWY,11713,NY,Converted,Jiaxin Chen,Current Client,2/15/2023,FUJI,2/24/2023
10/31/2022,Marketing Inbound,China Town Kitchen R85205,,(917) 868-9779,"110 kirk road,",12764,NY,Converted,Leon Li,Current Client,2/15/2023,China Town Kitchen-,2/25/2023
12/28/2022,AE Sourced,Hibachi Bowl R85206,(919) 803-2267,(910) 728-3034,8109 Fayetteville Rd #129,27603,NC,Converted,Ailin Li,Current Client,2/15/2023,Hibachi Bowl-,9/10/2023
2/13/2023,Marketing Inbound,Alina‘s R85208,410-273-1333,(917) 346-3286,310 S Philadelphia Blvd,21001,MD,Converted,Jessica Wang,Current Client,2/16/2023,Mr.刘,3/5/2023
2/13/2023,Marketing Inbound,Grand Opening Szechuan Kitchen R85211,718-479-3710,(718) 696-9333,233-14 Hillside Ave,11427,NY,Converted,Jessica Wang,Current Client,2/16/2023,7186969333 Mr.黄,2/28/2023
10/31/2022,Marketing Inbound,Dragon Chef R85657,(540) 829-6618,(917) 244-4851,315 Southgate Shopping Center,22701,VA,Converted,Ailin Li,Current Client,2/16/2023,Dragon Chef - 9172444851 -Ms. 陳-CJ送餐-,3/18/2023
2/17/2023,AE Sourced,Hong Kong R85215,(814) 833-5709,(320) 237-4608,2887 W 26TH Steet,16506,PA,Converted,Wonders Lead queue,Current Client,2/17/2023,Jane-来取3202374608,9/8/2023
10/31/2022,Marketing Inbound,Sushi House & Grill R85216,(904) 280-0707,(646) 250-8277,3787 Palm Valley Rd,32082,FL,Converted,Jiaxin Chen,Current Client,2/17/2023,Sushi House & Grill Japanese Restaurant-,3/4/2023
11/22/2022,Marketing Inbound,Sweet Basil R85385,(203) 384-8888,(646) 752-8250,284 Black Rock Turnpike,6825,CT,Converted,Ailin Li,Current Client,2/18/2023,"6467528250 , 9173318361 - Tim 葉-CJ-",4/29/2023
2/19/2023,AE Sourced,Sushi Jin Jing R85217,(724) 502-4304,(929) 402-7761,5330 William Flinn Hwy,15044,PA,Converted,Wonders Lead queue,Current Client,2/19/2023,Mr.赵-来取,3/3/2023
2/21/2023,Marketing Inbound,Ming Garden R85219,813-223-5058,(813) 938-0080,2601 N. Tampa Street,33602,FL,Converted,Jessica Wang,Current Client,2/21/2023,Ms.陈-来取,3/2/2023
10/31/2022,Telemarketer,ASIAN CAFE R85222,(518) 828-1123,(917) 376-2108,424 FAIRVIEW AVE,12534,NY,Converted,Jessica Wang,Current Client,2/21/2023,Mr.李-来取,3/2/2023
