,List Version,Snowball Map,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,All Phone (Print Shop),Address Check,Name + City Check,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,ID,drop,submit_form,visit_again,inbound_call,Date
35,List - B,31533,Ling's Cafe,2022 NW Topeka Blvd,Topeka,KS,66608,United States,Ling,Zheng,President,General,,,2011.0,,(785) 233-5888,"7852335888, 7854919016","7852335888, 7854919016",-,1,,Chinese,$$,BringMeThat; Chinese Menu Online; DoorDash; EHungry; EatStreet; Google Analytics; MailChimp; Opencart; Squarespace,31533,drop1,True,False,True,10/12/23
36,List - B,32624,Kai Thai Restaurant,2470 N Columbia St,Milledgeville,GA,31061,United States,,,,,mine_na90@hotmail.com,,,,(478) 454-1237,-,-,-,0,mine_na90@hotmail.com,Japanese; Thai,$$,Smile Dining; Smile pos,32624,drop1-prospect,False,False,False,2023-10-07 00:00:00
37,List - B,33761,China Wok,883 E Grand Ave,Carbondale,IL,62901,United States,Hua,Ghang,Owner,Owner,,,2006.0,,(618) 351-5900,-,-,-,1,info@chinawok-il.com,Chinese,$,Apple App Store; Chinese Menu Online; Google Analytics; Grubhub; MailChimp; Opencart; SinglePlatform; Squarespace; Yelp Reservation; Yelp Waitlist,33761,drop1-prospect,False,True,False,2023-10-04 00:00:00
38,List - B,34605,Yamato Japanese Steakhouse,211 S Lewis Ave,Philadelphia,MS,39350,United States,,,,,,,,,(601) 568-5151,-,-,-,0,,Japanese,$$,DoorDash; Menufy,34605,drop1-prospect,False,False,False,2023-10-04 00:00:00
39,List - B,35522,Bottle Rocket,180 Walker St SW,Atlanta,GA,30313,United States,,,,,,,,,(404) 574-5680,-,-,-,0,,Japanese,$$,Eventbrite; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order; Squarespace; Uber Eats,35522,drop1-prospect,False,False,False,2023-10-12 00:00:00
40,List - B,35544,Natural Poke Runner (Palmetto Bay),17331 S Dixie Hwy,Palmetto Bay,FL,33157,United States,,,,,,,,,(786) 713-5284,-,-,-,0,,Japanese,$,Uber Eats,35544,drop2,False,False,False,2023-10-16 00:00:00
41,List - A,16167,"Sanshimai (4765 Hodges Blvd #3,)",4765 Hodges Blvd,Jacksonville,FL,32224,United States,,,,,,,,,(904) 992-4999,"9049924999, 6463799867","9049924999, 6463799867",-,0,,Japanese,$,Uber Eats,16167,drop1,True,False,False,2023-10-10 00:00:00
42,List - B,35942,Grab Protein Bowl Express (720 W Highland Ave),720 W Highland Ave,Phoenix,AZ,85013,United States,,,,,,,,,(480) 658-7966,"8777021259, 9703013537","8777021259, 9703013537",-,0,,American; Japanese,$$,Uber Eats,35942,drop1-prospect,False,True,True,2023-10-03 00:00:00
43,List - A,16965,Umai Cafe,3277 Rochester Rd,Troy,MI,48083,United States,,,,,,,,,(248) 688-9340,-,-,-,0,,Japanese,,Uber Eats,16965,drop1,False,False,False,2023-10-03 00:00:00
44,List - A,17488,Asian Cuisine Express,3823 W 31st St,Chicago,IL,60623,United States,,,,,,,,,(773) 847-4883,-,-,-,0,,Chinese,$,BringMeThat,17488,drop1,False,False,False,2023-10-07 00:00:00
45,List - B,37391,China House,3600 MacArthur Blvd,New Orleans,LA,70114,United States,Chun,Lin,,,,,2007.0,,(504) 368-5520,-,-,-,1,info@chinahousenola.com,Chinese,$,Chinese Menu Online; DoorDash; Google Analytics; MailChimp; Opencart; Squarespace; Uber Eats,37391,drop2,False,False,False,2023-10-03 00:00:00
46,List - B,37424,Fujiyama Japanese Steak and Seafood House,4851 Rice Mine Rd NE,Tuscaloosa,AL,35406,United States,,,,,,,,,(205) 722-2239,-,-,-,0,,Japanese,$$,BringMeThat; DoorDash; Google Analytics; Grubhub; Rushable; Stripe; Uber Eats; ezCater,37424,drop2,False,False,False,2023-10-22 00:00:00
47,List - A,18238,El Tiesto Cafe,210 SW 2nd St,Fort Lauderdale,FL,33301,United States,,,,,,,,,(954) 900-4583,-,-,-,0,,Dominican; Japanese; Caribbean,,Eventbrite; OpenTable; Toast Marketplace; Toast Online Ordering; Uber Eats; Wix Restaurants; Yelp Reservation; Yelp Waitlist,18238,drop1,True,False,False,10/11/23
48,List - B,38629,Little Pot,1665 Stelton Rd,Piscataway,NJ,8854,United States,Tina Jing,Lin,Principal,Owner,,,,,(732) 317-8986,"7325430560, 9133413434, 9137071318, 7325087472","7325430560, 9133413434, 9137071318, 7325087472",-,1,thehotfishboil@gmail.com,Chinese,$$,BringMeThat; ChowBus; Google Analytics; Grubhub; Menusifu; Uber Eats; WooCommerce,38629,drop2,False,False,False,2023-10-15 00:00:00
49,List - A,19093,China Town,400 Lacey Rd,Manchester,NJ,8759,United States,,,,,,,,,(732) 350-8855,7323508855,7323508855,-,0,,Chinese,$$,BringMeThat; Uber Eats,19093,drop1,False,False,False,2023-10-17 00:00:00
50,List - B,38815,Terakawa Ramen,64 Princeton Hightstown Rd,Princeton Junction,NJ,8550,United States,Joey,W,Business Owner,Owner,,,2018.0,,(609) 799-6688,-,-,-,1,terakawaramen.nj@gmail.com,Japanese,$$,BringMeThat; Culinary Agents; DoorDash; Snackpass; Yelp Reservation; Yelp Waitlist,38815,drop1-prospect,False,False,False,2023-10-03 00:00:00
51,List - B,38919,TS Ma Chinese Cuisine,637 Wyckoff Ave,Wyckoff,NJ,7481,United States,,Thomas,Business Owner,Owner,,,2016.0,,(201) 891-8878,"2018916666, 5512067209","2018916666, 5512067209",-,1,info@tsmacc.com,Chinese,$$,Culinary Agents; Facebook Pixel; Google Analytics; SinglePlatform; WooCommerce; Yelp Reservation; Yelp Waitlist,38919,drop1-prospect,False,False,False,2023-10-03 00:00:00
52,List - B,38923,Poy's Kitchen,240 Spring St,Newton,NJ,7860,United States,,,,,,,,,(973) 821-5028,-,-,-,0,,Chinese; Thai,$$,DoorDash; Wix Restaurants,38923,drop1-prospect,False,False,False,2023-10-06 00:00:00
53,List - B,42454,Golden Chinese Food Restaurant,23 King St W,Ingersoll,ON,N5C 2J2,Canada,,,,,,,,,(519) 485-3801,-,-,-,0,,Chinese,$,,42454,drop1-prospect,False,False,False,2023-10-10 00:00:00
54,List - B,42541,J F Chen Chinese Food,995 Paisley Rd,Guelph,ON,N1K 1X6,Canada,Joe,Lee,Proprietor,Owner,,,,,(519) 822-8868,-,-,-,1,,Chinese,$$,WooCommerce,42541,drop1-prospect,False,False,False,2023-10-16 00:00:00
55,List - B,42624,Di Bao Ming Yan NKS Banquet Hall,8360 Kennedy Rd,Markham,ON,L3R 9W4,Canada,,,,,,,,,(905) 948-8668,-,-,-,0,,Chinese,$$,Facebook Pixel; Google Analytics,42624,drop2,False,False,False,2023-10-04 00:00:00
56,List - B,42700,Vintage Garden,1038 McNicoll Ave,Toronto,ON,M1W 0A4,Canada,,,,,,,,,(416) 756-0304,-,-,-,0,,Chinese,$$,,42700,drop2,False,False,False,2023-10-19 00:00:00
57,List - A,39699,A+ Sushi,631 Corydon Ave,Winnipeg,MB,R3M 0W3,Canada,,,,,,,,,(204) 452-3656,-,-,-,0,,Japanese,$$,DI develop; Skip the Dishes; Uber Eats,39699,drop1,True,True,False,2023-10-05 00:00:00
58,List - B,42967,Hansik,1067 Ontario St,Stratford,ON,N5A 6W6,Canada,,,,,,,,,(867) 336-4477,-,-,-,0,,Korean; Japanese,,Skip the Dishes,42967,drop1-prospect,False,False,False,2023-10-12 00:00:00
59,List - B,43009,Eden Bento Cafe,450 Lansdowne St,Kamloops,BC,V2C 1Y3,Canada,,,,,,,,,(778) 471-7072,-,-,-,0,,Korean; Japanese,$$,Skip the Dishes; Uber Eats,43009,drop1-prospect,False,False,False,2023-10-11 00:00:00
60,List - A,39910,Don's Dining,9840 97 Ave,Grande Prairie,AB,T8V 7K2,Canada,Don,Wong,Proprietor,Owner,,,,,(780) 513-2888,-,-,-,1,donsdining@gmail.com,Chinese,$,Skip the Dishes; Wix Restaurants,39910,drop1,False,False,False,2023-10-15 00:00:00
61,List - B,43256,Kung Pao Wok,501 1 Ave S,Lethbridge,AB,T1J 4L9,Canada,,,,,,,,,(587) 425-0746,-,-,-,0,,Chinese,$,Skip the Dishes; Uber Eats,43256,drop1-prospect,False,False,False,2023-10-11 00:00:00
62,List - B,43355,Hockey Sushi,1465 Merivale Rd,Ottawa,ON,K2E 5N9,Canada,,,,,,,,,(613) 421-2221,-,-,-,0,,Japanese,$,Apple App Store; Google Analytics; Skip the Dishes; Uber Eats; WooCommerce,43355,drop1-prospect,False,False,False,2023-10-10 00:00:00
63,List - B,43611,Pokito,420 Queen St W,Toronto,ON,M5V 2A7,Canada,Bryan,S,Business Owner,Owner,bryan@pokito.ca,,2016.0,,(416) 792-8808,-,-,-,2,bryan@pokito.ca,Japanese,$$,DoorDash; Ritual; Skip the Dishes; Snappy; TapMango; Uber Eats; Wix Restaurants,43611,drop2,False,False,False,2023-10-04 00:00:00
64,List - B,43798,Ko Chicken + Ramen,3207 Preston Ave S,Saskatoon,SK,S7T 1C9,Canada,,,,,ko.ramenbar@gmail.com,,,,(306) 979-8866,-,-,-,0,ko.ramenbar@gmail.com,Japanese,$$,DoorDash; Skip the Dishes; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order; Uber Eats; Wix Restaurants,43798,drop1-prospect,False,False,False,2023-10-18 00:00:00
65,List - B,43975,Hatsuki Sushi,424 Tranquille Rd,Kamloops,BC,V2B 3G8,Canada,,,,,hatsukikamloops@gmail.com,,,,(250) 376-8815,-,-,-,0,hatsukikamloops@gmail.com,Korean; Japanese,$$,Skip the Dishes; Wix Restaurants,43975,drop1-prospect,False,False,False,2023-10-10 00:00:00
66,List - B,44157,SHIAWASE SUSHI,19415 Yonge St,East Gwillimbury,ON,L9N 1L8,Canada,,,,,,,,,(905) 953-1212,-,-,-,0,,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,44157,drop2,False,False,False,2023-10-03 00:00:00
67,List - A,40965,Chuan Yue,8329 Oak St,Vancouver,BC,V6P 4A9,Canada,,,,,,,,,(604) 336-6238,-,-,-,0,,Chinese,,DI develop; Uber Eats,40965,drop1,False,False,False,2023-10-11 00:00:00
68,List - B,44244,Arashi Sushi,15 Royal Vista Pl NW,Calgary,AB,T3R 0P3,Canada,,,,,,,,,(403) 455-2166,-,-,-,0,,Japanese,$$,,44244,drop2,False,False,False,2023-10-04 00:00:00
69,List - B,44566,Hanabi Sushi,2155 Richmond St,London,ON,N6G 3V9,Canada,,,,,,,,,(519) 672-9224,-,-,-,0,,Japanese,,Uber Eats,44566,drop1-prospect,False,False,False,2023-10-14 00:00:00
70,List - A,41564,Shang Palace Hakka Cuisine,18 Rambler Dr,Brampton,ON,L6W 1E2,Canada,,,,,,,,,(905) 453-8889,-,-,-,0,,Chinese,,DoorDash; Skip the Dishes; Uber Eats,41564,drop1,False,False,False,2023-10-11 00:00:00
71,List - B,44854,Momo Magic,117 Dundas St,London,ON,N6A 1E8,Canada,,,,,,,,,(519) 932-0459,-,-,-,0,,American; Japanese; Chinese,,Skip the Dishes,44854,drop1-prospect,False,False,False,2023-10-12 00:00:00
72,List - B,44897,Hojo's Sushi Burrito,6 Prince St,Charlottetown,PE,C1A 4P5,Canada,,,,,info@hojosjapanese.com,,,,(902) 620-8668,-,-,-,0,info@hojosjapanese.com,Japanese,,,44897,drop1-prospect,True,False,False,2023-10-11 00:00:00
73,List - B,44912,Hong Hing Company,685 Ellice Ave,Winnipeg,MB,R3G 0A8,Canada,,,,,,,,,(204) 774-2574,-,-,-,0,,Chinese,$,,44912,drop1-prospect,False,False,False,2023-10-06 00:00:00
74,List - B,44964,Minato Sushi,1001 W Broadway,Vancouver,BC,V6H 4B1,Canada,,,,,,,,,(604) 732-6554,-,-,-,0,info@minatosushi.ca,Japanese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Ritual; Skip the Dishes; Uber Eats; Yelp Reservation; Yelp Waitlist,44964,drop2,False,False,False,2023-10-03 00:00:00
75,List - B,45003,Hakka Chinese Kitchen,25 Base Line Rd W,London,ON,N6J 1V1,Canada,,,,,customerservice@hakkachinesekitchen.com,,,,(226) 663-4440,-,-,-,0,customerservice@hakkachinesekitchen.com,Indian; Chinese,$,GlobalFood; GoDaddy Sites; Oracle GloriaFood; Skip the Dishes; Uber Eats,45003,drop1-prospect,False,False,False,2023-10-10 00:00:00
76,List - B,45145,Yo Sushi,103 King St W,Kitchener,ON,N2G 1A7,Canada,,,,,,,,,(519) 568-7566,-,-,-,0,,Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,45145,drop2,False,False,False,2023-10-22 00:00:00
77,List - A,42331,Usagi Sushi,1984 Bloor St W,Toronto,ON,M6P 3K9,Canada,,,,,,,,,(416) 769-2264,-,-,-,0,,Japanese,,Uber Eats,42331,drop1,False,True,False,2023-10-10 00:00:00
78,List - A,42414,The Clouds Vietnamese Cuisine,6940 Victoria Dr,Vancouver,BC,V5P 3Y8,Canada,,,,,,,,,(604) 321-7777,-,-,-,0,,Korean; Japanese; Vietnamese; Chinese; Thai,$,Skip the Dishes; Squarespace; Uber Eats,42414,drop1,False,False,False,2023-10-10 00:00:00
