Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,Email,Phone,matching_id
3/10/2023,The Boil Shack,59 wolf rd,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(518) 621-1888,,12205,info@theboilshack.com,(518) 621-1888,59wolfrd12205
7/19/2023,Rakkan Ramen,12645 tomball pkwy,TX,,Wonders Lead queue,Telemarketer,Enterprise,(832) 328-8467,,77086,info@rakkanramen.com,(832) 328-8467,12645tomballp77086
7/19/2023,Ani Ramen House,140 nassau st,NJ,,Wonders Lead queue,Telemarketer,Enterprise,(609) 423-2540,,8542,info@aniramen.com,(609) 423-2540,140nassaust8542
7/19/2023,Ani Ramen House,109 walnut ave,NJ,,Wonders Lead queue,Telemarketer,Enterprise,(908) 324-4165,,7016,info@aniramen.com,(908) 324-4165,109walnutave7016
7/19/2023,Hokkaido Ramen House,205 columbia ave,SC,,Wonders Lead queue,Telemarketer,Enterprise,(803) 756-0166,,29072,hokkaidoramengroup@gmail.com,(803) 756-0166,205columbiaav29072
6/23/2023,Song日韩,,,,Wonders Lead queue,Marketing Inbound,DM,(604) 558-4871,(778) 866-4584,,heenamsong75@gmail.com,(604) 558-4871,NANA
10/31/2022,Gu’s Kitchen,4897 buford hwy ne #104,GA,,Wonders Lead queue,Telemarketer,Telemarketer,(470) 299-2388,,30341,guskitchenatl@gmail.com,(470) 299-2388,4897bufordhwy30341
6/19/2023,Twin Dragon Restaurant,5112 52 avenue,AB,,Wonders Lead queue,AE Sourced,Field Trip,(780) 542-3737,,,dvtwindragon@gmail.com,(780) 542-3737,511252avenueNA
7/19/2023,Kizuki Ramen & Izakaya,3000 184th st sw,WA,,Wonders Lead queue,Telemarketer,Enterprise,(425) 361-4037,,98037,contactus@kizuki.com,(425) 361-4037,3000184thsts98037
7/19/2023,Kizuki Ramen & Izakaya,1457 n halsted st,IL,,Wonders Lead queue,Telemarketer,Enterprise,(312) 877-5084,,60642,contactus@kizuki.com,(312) 877-5084,1457nhalsted60642
7/19/2023,Kizuki Ramen & Izakaya,4502 s steele st,WA,,Wonders Lead queue,Telemarketer,Enterprise,(253) 367-2646,,98409,contactus@kizuki.com,(253) 367-2646,4502ssteeles98409
7/19/2023,Kizuki Ramen & Izakaya,7325 166th ave ne,WA,,Wonders Lead queue,Telemarketer,Enterprise,(425) 952-0374,,98052,contactus@kizuki.com,(425) 952-0374,7325166thave98052
7/19/2023,Kizuki Ramen & Izakaya,827 sw 2nd ave,OR,,Wonders Lead queue,Telemarketer,Enterprise,(425) 866-6583,,97204,contactus@kizuki.com,(425) 866-6583,827sw2ndave97204
7/19/2023,Kizuki Ramen & Izakaya,1538 n clybourn ave,IL,,Wonders Lead queue,Telemarketer,Enterprise,(312) 285-2775,,60610,contactus@kizuki.com,(312) 285-2775,1538nclybourn60610
10/31/2022,CHIN CHIN CHINESE CUISINE,1715 howell mill rd nw,GA,,Wonders Lead queue,Telemarketer,Telemarketer,(404) 609-5618,,30318,chinchihm@gmail.com,(404) 609-5618,1715howellmil30318
10/31/2022,CHINA KING,3698 main st,CT,,Wonders Lead queue,Telemarketer,Telemarketer,(203) 377-8868,,6614,chinakingrestaurant@gmail.com,(203) 377-8868,3698mainst6614
3/22/2023,Chengdu Taste Seattle,"504 5th ave s, ste 106 seattle",WA,,Wonders Lead queue,Telemarketer,Telemarketer,(206) 333-0457,,98104,chengdutaste@gmail.com,(206) 333-0457,5045thaves98104
4/4/2023,Bahn Thai,"12206 copper way, ste 122",NC,,Wonders Lead queue,Telemarketer,Telemarketer,(980) 335-2313,,28277,bahnthaiatballantyne@gmail.com,(980) 335-2313,12206copperwa28277
