Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,Email,Phone,matching_id
10/31/2022,LITTLE SZECHUAN,524 w university dr,AZ,,Wonders Lead queue,Telemarketer,Telemarketer,(480) 966-7660,,85281,support@littleszechuanaz.com,(480) 966-7660,524wuniversit85281
4/4/2023,The Sea,16950 jog rd 101,FL,,Wonders Lead queue,Telemarketer,Telemarketer,(561) 270-3569,,33446,seakichen@outlook.com,(561) 270-3569,16950jogrd1033446
10/31/2022,ROYAL CHOPSTIX,1420 jupiter rd #103,TX,,Wonders Lead queue,Telemarketer,Telemarketer,(972) 578-2255,,75074,royalchopstix88@gmail.com,(972) 578-2255,1420jupiterrd75074
10/31/2022,Rollapalooza,3344 n halsted st,IL,,Wonders Lead queue,Telemarketer,Telemarketer,(773) 281-6400,,60657,rollainc1@gmail.com,(773) 281-6400,3344nhalsted60657
4/4/2023,Rios Bistro,"7065 westpointe blvd, ste 100",FL,,Wonders Lead queue,Telemarketer,Telemarketer,(407) 440-4964,,32835,riosbisstro@gmail.com,(407) 440-4964,7065westpointe32835
3/22/2023,Poseidon Asian Cuisine,128 pike,PA,,Wonders Lead queue,Telemarketer,Telemarketer,(610) 812-3333,,19301,poseidonpaoli@gmail.com,(610) 812-3333,128pike19301
10/31/2022,HOT WOK,1303 sw lee blvd,OK,,Wonders Lead queue,Telemarketer,Telemarketer,(580) 355-7888,,73501,owner@hotwoklawton.com,(580) 355-7888,1303swleeblv73501
3/10/2023,Oceanic Boil,84-20 37th ave,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(929) 296-6338,,11372,oceanic_boil@aol.com,(929) 296-6338,842037thave11372
10/31/2022,Nan Xiang Xiao Long Bao (南翔小籠包),3812 prince st,NY,,Wonders Lead queue,Telemarketer,Client Referral,(718) 321-3838,,11354,nanxiangxiaolongbao@gmail.com,(718) 321-3838,3812princest11354
4/4/2023,Musashi Sushiya,"23532 el toro rd, ste 18",CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 699-2580,,92630,musashisushiya@gmail.com,(949) 699-2580,23532eltoror92630
10/31/2022,SAKAN BENTO JAPANESE EXPRESS,606 wellwood ave,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(631) 226-6800,,11757,mkz168@gmail.com,(631) 226-6800,606wellwoodav11757
4/4/2023,Mitsuba Japanese Cuisine,237 main st,NJ,,Wonders Lead queue,Telemarketer,Telemarketer,(973) 635-3888,,7928,mitsubachatham@gmail.com,(973) 635-3888,237mainst7928
4/4/2023,Sushi Kizuna,"22912 pacific park dr, ste g",CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 716-8882,,92656,maj.kizuna@yahoo.com,(949) 716-8882,22912pacificp92656
3/10/2023,Chester's Cajun Grill,301 cleveland dr,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(716) 259-9461,,14215,mail@chesterscajungrill.com,(716) 259-9461,301clevelandd14215
3/10/2023,Le Sia,651 9th ave,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(646) 559-5220,,10036,lesiahellskitchen@gmail.com,(646) 559-5220,6519thave10036
4/4/2023,Joel's Asian Grill,110a marketplace ave,NC,,Wonders Lead queue,Telemarketer,Telemarketer,(704) 660-1617,,28117,ldf220101@gmail.com,(704) 660-1617,110amarketplac28117
4/4/2023,Lazy Fish,10 e patrick st,MD,,Wonders Lead queue,Telemarketer,Telemarketer,(301) 695-9656,,21701,lazyfish2014@gmail.com,(301) 695-9656,10epatrickst21701
4/4/2023,Kakurega,2574 newport blvd,CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 873-5959,,92627,kakuregasushi@gmail.com,(949) 873-5959,2574newportbl92627
4/4/2023,Matsuri Japanese Restaurant,25100 alessandro blvd,CA,,Wonders Lead queue,Telemarketer,Telemarketer,(951) 247-0777,,92553,joykim1117@gmail.com,(951) 247-0777,25100alessandr92553
10/31/2022,YEN CHING RESTAURANT,305 n 9th st,ID,,Wonders Lead queue,Telemarketer,Telemarketer,(208) 384-0384,,83702,info@yenchingboise.com,(208) 384-0384,305n9thst83702
4/4/2023,ShariNori,201 e 4th st,CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 864-6818,,92701,info@sharinori.com,(949) 864-6818,201e4thst92701
7/19/2023,Ani Ramen,149 maplewood ave,NJ,,Wonders Lead queue,Telemarketer,Enterprise,(973) 327-2642,,7040,info@aniramen.com,(973) 327-2642,149maplewooda7040
10/31/2022,CHEN'S HAPPY GARDEN EUGENE,1945 river rd,OR,,Wonders Lead queue,Telemarketer,Telemarketer,(541) 688-9229,,97404,happygarden11@gmail.com,(541) 688-9229,1945riverrd97404
10/31/2022,Sushi Zeng Japanese Restaurant,11108 evergreen way,WA,,Wonders Lead queue,Telemarketer,Telemarketer,(425) 356-9999,,98204,haekro03@gmail.com,(425) 356-9999,11108evergreen98204
10/31/2022,GOLD STAR CHINESE RESTAURANT,3030 whitney ave,CT,,Wonders Lead queue,Telemarketer,Telemarketer,(203) 281-6789,,6518,goldstarhamden@gmail.com,(203) 281-6789,3030whitneyav6518
10/31/2022,Golden Bowl,33 rittenhouse pl,PA,,Wonders Lead queue,Telemarketer,Telemarketer,(610) 649-3382,,19003,goldenbowlardmore@gmail.com,(610) 649-3382,33rittenhouse19003
4/4/2023,Fuji Grill,20702  dr,CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 768-5750,,92630,fujigrill1515@yahoo.com,(949) 768-5750,20702dr92630
10/31/2022,Egg Roll Plus,1611 bellinger st,WI,,Wonders Lead queue,Telemarketer,Telemarketer,(715) 832-6125,,54703,eggrollplus@gmail.com,(715) 832-6125,1611bellinger54703
4/4/2023,Osaka West Japanese Restaurant,"804 u.s. hwy 190, covington",LA,,Wonders Lead queue,Telemarketer,Telemarketer,(985) 871-8199,,70433,ckanetha@att.net,(985) 871-8199,804ushwy1970433
10/31/2022,CHUNG HING CHINESE KITCHEN/ BELLMORE,2774 sunrise hwy,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(516) 781-2522,,11710,chunghing@optimum.net,(516) 781-2522,2774sunrisehw11710
3/10/2023,Big Hot Crab,701 main st,CA,,Wonders Lead queue,Telemarketer,Telemarketer,(530) 879-1822,,95928,bighotcrab@gmail.com,(530) 879-1822,701mainst95928
3/10/2023,Battles Kitchen,4920 rural ave,WA,,Wonders Lead queue,Telemarketer,Telemarketer,(360) 927-5066,,98248,battleskitchen@gmail.com,(360) 927-5066,4920ruralave98248
3/22/2023,Bamboo Bistro West Gate,6818 west gate blvd,TX,,Wonders Lead queue,Telemarketer,Telemarketer,(512) 243-5588,,78745,bamboowestgate@gmail.com,(512) 243-5588,6818westgate78745
3/22/2023,Awesum Dimsum,612 8th ave,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(212) 520-8099,,10018,awesomedimsum612@gmail.com,(212) 520-8099,6128thave10018
4/4/2023,Asian Fusion Sushi & Eatery,4807 florida a1a,FL,,Wonders Lead queue,Telemarketer,Telemarketer,(772) 584-3893,,32963,asianfusionconcept@gmail.com,(772) 584-3893,4807floridaa132963
10/31/2022,LUCKY DRAGON CHINESE RESTAURANT,402 w fillmore st,CO,,Wonders Lead queue,Telemarketer,Telemarketer,(719) 635-0112,,80907,amyyyha@gmail.com,(719) 635-0112,402wfillmore80907
3/22/2023,Alley 41,136-45 41st ave,NY,,Wonders Lead queue,Telemarketer,Telemarketer,(718) 353-3608,,11355,alley41official@gmail.com,(718) 353-3608,1364541stave11355
4/4/2023,Kin Sushi,"25381 alicia pkwy, ste m",CA,,Wonders Lead queue,Telemarketer,Telemarketer,(949) 830-5051,,92653,8kinsushi@gmail.com,(949) 830-5051,25381aliciapk92653
10/31/2022,Yamato,1993 riviera dr,SC,,Wonders Lead queue,Telemarketer,Telemarketer,(843) 881-1190,,29464,1993managers@gmail.com,(843) 881-1190,1993rivieradr29464
