ZIP_CODE,NUMBERS_OF_CLIENTS,NUMBER_OF_CHINESE_CLIENTS,NUMBER_OF_JAPANESE_CLIENTS,NUMBER_OF_CHINESE_JAPANESE_CLIENTS,NUMBER_OF_ADVANCED_CLIENTS,NUMBER_OF_UNKNOWN_CLIENTS,NUMBERS_OF_GMV_LEVEL_3,NUMBERS_OF_GMV_LEVEL_LOW,NUMBERS_OF_GMV_LEVEL_2,NUMBERS_OF_GMV_LEVEL_VIP,NUMBERS_OF_GMV_LEVEL_1,NUMBERS_OF_GMV_LEVEL_UNKNOWN
19335,4,2,0,1,0,1,3,0,1,0,0,0
18702,4,2,0,0,0,2,1,0,0,0,3,0
06511,4,0,0,0,2,2,1,0,0,0,1,2
44130,4,0,0,0,0,4,1,2,0,0,0,1
29732,4,1,2,0,1,0,3,0,1,0,0,0
10302,4,2,1,0,1,0,1,1,2,0,0,0
11218,4,1,0,0,2,1,3,1,0,0,0,0
28303,4,2,0,0,0,2,3,1,0,0,0,0
11706,3,1,0,0,1,1,1,0,1,0,1,0
11206,3,1,1,0,0,1,1,1,1,0,0,0
27886,3,3,0,0,0,0,2,0,0,0,1,0
10705,3,3,0,0,0,0,0,0,2,0,1,0
23451,3,2,0,0,0,1,3,0,0,0,0,0
21237,3,1,0,0,0,2,1,0,1,0,1,0
13210,3,1,0,1,0,1,3,0,0,0,0,0
11372,3,0,0,0,0,3,1,1,0,0,0,1
23669,3,1,0,0,1,1,2,1,0,0,0,0
11001,3,2,0,0,0,1,1,0,1,0,0,1
62629,3,2,1,0,0,0,2,1,0,0,0,0
30281,3,3,0,0,0,0,1,1,1,0,0,0
29229,3,1,0,0,1,1,2,0,1,0,0,0
11385,3,0,2,0,1,0,2,1,0,0,0,0
19132,3,1,0,0,2,0,2,1,0,0,0,0
08109,3,1,0,0,0,2,0,0,3,0,0,0
18104,3,2,0,0,0,1,1,0,2,0,0,0
21227,3,0,0,0,0,3,2,0,1,0,0,0
08753,3,1,0,1,1,0,3,0,0,0,0,0
48197,3,2,0,0,0,1,3,0,0,0,0,0
07834,3,1,1,0,0,1,1,1,1,0,0,0
30144,3,1,1,0,0,1,2,1,0,0,0,0
21215,3,0,0,0,0,3,2,0,1,0,0,0
10977,3,2,0,0,0,1,1,0,0,0,1,1
07036,3,0,0,0,0,3,3,0,0,0,0,0
48237,3,2,0,0,0,1,3,0,0,0,0,0
07081,3,1,0,0,1,1,2,0,1,0,0,0
19141,2,2,0,0,0,0,1,0,1,0,0,0
35501,2,0,1,0,0,1,0,0,2,0,0,0
32086,2,1,0,0,0,1,2,0,0,0,0,0
28792,2,1,0,0,0,1,0,0,2,0,0,0
06320,2,2,0,0,0,0,0,0,2,0,0,0
10305,2,1,1,0,0,0,2,0,0,0,0,0
20019,2,1,0,0,1,0,1,0,1,0,0,0
08872,2,2,0,0,0,0,1,0,0,0,1,0
19139,2,0,0,0,0,2,0,0,0,1,1,0
13045,2,0,0,0,0,2,1,0,0,0,0,1
11530,2,2,0,0,0,0,0,1,1,0,0,0
27703,3,3,0,0,0,0,1,0,2,0,0,0
11580,3,1,1,0,1,0,2,1,0,0,0,0
11566,3,1,1,0,0,1,1,0,0,0,1,1
28358,3,3,0,0,0,0,2,0,1,0,0,0
33433,3,2,0,0,0,1,2,0,1,0,0,0
21221,3,2,0,0,1,0,2,0,1,0,0,0
07513,3,1,0,0,0,2,3,0,0,0,0,0
46219,3,2,0,0,1,0,2,1,0,0,0,0
45424,3,3,0,0,0,0,3,0,0,0,0,0
38637,3,0,1,0,0,2,2,0,1,0,0,0
54016,3,1,1,1,0,0,1,2,0,0,0,0
32210,3,0,1,0,0,2,2,1,0,0,0,0
12401,3,2,0,0,0,1,1,0,2,0,0,0
52722,3,2,1,0,0,0,3,0,0,0,0,0
33458,3,2,0,0,0,1,2,0,1,0,0,0
48910,3,2,0,0,1,0,1,1,1,0,0,0
08609,3,2,0,0,0,1,1,0,2,0,0,0
19454,3,1,2,0,0,0,0,2,0,0,0,1
11434,3,2,0,0,0,1,1,0,2,0,0,0
43085,3,2,0,0,0,1,1,2,0,0,0,0
11225,3,3,0,0,0,0,1,0,2,0,0,0
10025,3,2,1,0,0,0,2,1,0,0,0,0
07747,3,2,1,0,0,0,1,1,0,1,0,0
08742,2,1,0,0,0,1,1,0,0,0,1,0
61571,2,0,0,0,0,2,0,1,0,0,1,0
80524,2,0,0,1,1,0,1,1,0,0,0,0
21218,2,0,1,0,0,1,0,2,0,0,0,0
32137,2,2,0,0,0,0,2,0,0,0,0,0
85345,2,1,0,0,0,1,1,1,0,0,0,0
63017,3,3,0,0,0,0,2,0,1,0,0,0
29203,3,1,0,0,0,2,3,0,0,0,0,0
66441,3,2,0,0,0,1,2,1,0,0,0,0
11226,3,3,0,0,0,0,0,2,0,0,1,0
11427,3,2,0,0,0,1,1,1,0,0,1,0
32259,3,1,1,0,0,1,3,0,0,0,0,0
27513,3,2,0,0,0,1,1,0,1,0,0,1
34119,3,1,1,0,0,1,2,0,1,0,0,0
19023,3,2,0,0,0,1,1,0,1,0,1,0
18505,3,2,0,0,0,1,1,0,0,0,2,0
07112,3,1,0,0,0,2,0,0,0,0,3,0
29410,2,1,0,1,0,0,1,1,0,0,0,0
01453,2,0,0,0,1,1,2,0,0,0,0,0
30047,2,2,0,0,0,0,2,0,0,0,0,0
29501,2,2,0,0,0,0,1,0,1,0,0,0
33054,2,1,0,0,1,0,2,0,0,0,0,0
32327,2,0,1,1,0,0,2,0,0,0,0,0
28472,2,2,0,0,0,0,0,0,0,0,1,1
27834,3,1,1,0,0,1,2,0,0,0,0,1
38804,3,1,1,0,1,0,1,1,0,0,1,0
06905,3,1,0,0,0,2,1,1,1,0,0,0
07501,3,0,0,0,0,3,2,0,1,0,0,0
06705,3,2,0,1,0,0,2,0,0,0,1,0
08731,3,2,0,0,0,1,2,0,1,0,0,0
23324,3,0,0,0,0,3,2,0,0,0,1,0
32221,3,0,1,0,0,2,0,0,3,0,0,0
07442,3,1,0,0,0,2,1,0,0,0,2,0
17036,3,0,0,1,0,2,3,0,0,0,0,0
10960,3,1,0,0,0,2,2,0,1,0,0,0
36606,3,1,0,0,0,2,2,0,0,0,0,1
32905,3,1,1,0,0,1,2,0,0,0,0,1
10031,3,0,1,0,0,2,1,1,1,0,0,0
11379,3,0,0,0,1,2,2,0,1,0,0,0
17057,3,3,0,0,0,0,3,0,0,0,0,0
11040,3,0,1,0,0,2,2,1,0,0,0,0
10034,2,2,0,0,0,0,0,0,2,0,0,0
43110,2,2,0,0,0,0,1,0,1,0,0,0
17512,2,2,0,0,0,0,1,1,0,0,0,0
42420,2,1,1,0,0,0,0,1,1,0,0,0
61265,2,0,0,0,0,2,2,0,0,0,0,0
63141,2,1,0,0,0,1,2,0,0,0,0,0
04401,3,3,0,0,0,0,0,1,1,0,1,0
44107,3,2,0,0,0,1,3,0,0,0,0,0
06401,3,1,0,0,1,1,0,0,3,0,0,0
11223,3,1,0,0,0,2,2,0,1,0,0,0
32277,3,3,0,0,0,0,3,0,0,0,0,0
11553,3,2,0,0,0,1,2,0,0,0,1,0
33165,3,1,0,0,1,1,1,1,1,0,0,0
30907,3,1,0,0,1,1,3,0,0,0,0,0
10026,3,0,0,0,0,3,1,0,1,0,1,0
07002,3,1,0,1,0,1,3,0,0,0,0,0
19111,3,3,0,0,0,0,1,0,0,0,2,0
06010,3,2,0,0,0,1,2,0,1,0,0,0
80122,3,1,1,1,0,0,2,0,0,0,0,1
21208,3,0,0,0,1,2,2,0,0,0,1,0
10566,3,2,0,0,0,1,1,0,1,0,1,0
28227,3,2,0,0,0,1,0,0,3,0,0,0
23453,3,1,1,0,0,1,3,0,0,0,0,0
19115,3,0,2,0,0,1,2,1,0,0,0,0
63401,2,1,0,0,0,1,1,0,1,0,0,0
18508,2,0,1,0,0,1,1,0,0,0,1,0
21136,2,1,0,1,0,0,2,0,0,0,0,0
21009,2,1,1,0,0,0,2,0,0,0,0,0
33617,2,2,0,0,0,0,2,0,0,0,0,0
61820,3,1,0,0,1,1,1,1,0,0,0,1
19104,3,0,0,0,2,1,0,2,0,0,1,0
06516,3,0,1,0,1,1,1,1,0,0,0,1
07514,3,0,0,0,0,3,1,0,2,0,0,0
21076,3,1,0,0,0,2,1,2,0,0,0,0
10710,3,2,0,0,0,1,0,0,3,0,0,0
06610,3,0,0,0,0,3,0,0,3,0,0,0
34761,3,1,0,1,0,1,2,0,0,0,1,0
53590,3,1,0,0,0,2,1,2,0,0,0,0
20746,2,0,0,1,1,0,0,0,0,0,1,1
07305,2,1,0,0,0,1,2,0,0,0,0,0
30127,2,2,0,0,0,0,0,0,1,0,0,1
68504,2,2,0,0,0,0,2,0,0,0,0,0
40213,2,0,0,1,0,1,2,0,0,0,0,0
10002,2,0,0,1,0,1,1,0,0,0,0,1
06074,2,2,0,0,0,0,2,0,0,0,0,0
33903,3,3,0,0,0,0,3,0,0,0,0,0
32757,3,2,0,0,0,1,2,0,1,0,0,0
27529,3,2,0,1,0,0,2,0,1,0,0,0
48911,3,0,0,0,2,1,2,1,0,0,0,0
21701,3,1,0,0,2,0,1,0,2,0,0,0
25414,3,2,0,1,0,0,3,0,0,0,0,0
27893,3,1,0,0,0,2,2,0,1,0,0,0
33511,3,1,0,0,1,1,1,0,1,0,1,0
33572,3,2,0,0,0,1,1,0,1,0,0,1
08030,3,2,0,0,0,1,2,0,0,0,1,0
21236,3,0,0,1,0,2,2,0,0,0,0,1
34606,3,1,0,0,0,2,3,0,0,0,0,0
28304,3,1,0,0,0,2,1,0,2,0,0,0
70809,3,1,1,0,0,1,1,1,0,0,1,0
16601,3,1,1,0,0,1,1,1,0,0,1,0
06053,3,1,0,1,0,1,0,1,2,0,0,0
29150,3,0,0,0,3,0,0,1,0,0,0,2
29485,3,1,0,0,0,2,1,0,2,0,0,0
07060,3,2,0,0,0,1,0,1,1,0,1,0
43614,2,2,0,0,0,0,2,0,0,0,0,0
06901,2,0,0,0,1,1,0,0,1,0,0,1
63376,2,2,0,0,0,0,1,0,1,0,0,0
27284,3,2,0,0,0,1,3,0,0,0,0,0
11236,3,1,0,0,1,1,1,1,1,0,0,0
44137,3,0,0,0,0,3,3,0,0,0,0,0
23235,3,2,0,0,0,1,2,0,1,0,0,0
11212,3,1,0,0,1,1,2,1,0,0,0,0
11221,3,2,0,0,0,1,3,0,0,0,0,0
27804,3,2,0,0,0,1,3,0,0,0,0,0
29577,3,1,0,0,1,1,0,2,1,0,0,0
33467,3,3,0,0,0,0,2,0,1,0,0,0
10458,3,1,0,1,0,1,3,0,0,0,0,0
33426,3,3,0,0,0,0,3,0,0,0,0,0
11757,3,1,0,0,1,1,1,1,1,0,0,0
23601,3,1,0,0,0,2,1,1,1,0,0,0
21703,2,2,0,0,0,0,1,0,1,0,0,0
20016,2,2,0,0,0,0,2,0,0,0,0,0
30297,2,0,0,0,2,0,0,2,0,0,0,0
78745,2,1,0,1,0,0,1,0,0,0,0,1
23111,2,2,0,0,0,0,1,1,0,0,0,0
30291,2,0,0,0,2,0,0,1,1,0,0,0
07407,2,1,1,0,0,0,2,0,0,0,0,0
06825,2,1,0,1,0,0,0,0,0,0,1,1
06512,2,1,0,0,0,1,1,0,1,0,0,0
97086,2,0,1,0,1,0,0,2,0,0,0,0
30721,2,1,1,0,0,0,2,0,0,0,0,0
32738,2,1,0,0,1,0,0,0,2,0,0,0
27519,2,2,0,0,0,0,1,1,0,0,0,0
10128,2,1,0,0,0,1,2,0,0,0,0,0
33351,2,1,0,0,0,1,1,0,1,0,0,0
19904,2,1,0,0,0,1,1,0,0,0,1,0
33702,2,2,0,0,0,0,2,0,0,0,0,0
36561,2,1,0,0,0,1,2,0,0,0,0,0
27360,2,1,0,0,0,1,1,0,0,0,1,0
29115,2,0,0,0,1,1,2,0,0,0,0,0
53110,2,2,0,0,0,0,2,0,0,0,0,0
18052,2,2,0,0,0,0,0,0,1,0,1,0
34239,2,2,0,0,0,0,2,0,0,0,0,0
29073,2,1,0,0,0,1,1,0,0,0,1,0
33063,2,1,0,0,0,1,1,1,0,0,0,0
23702,2,1,0,0,0,1,1,1,0,0,0,0
49424,2,2,0,0,0,0,1,1,0,0,0,0
33756,2,2,0,0,0,0,1,0,0,0,0,1
21207,2,1,0,0,1,0,0,1,1,0,0,0
63033,2,2,0,0,0,0,2,0,0,0,0,0
07928,2,2,0,0,0,0,1,0,0,0,0,1
33406,2,1,0,0,0,1,1,0,0,0,0,1
06851,2,1,1,0,0,0,0,0,1,0,0,1
23116,2,2,0,0,0,0,0,0,2,0,0,0
13904,2,2,0,0,0,0,0,0,1,0,1,0
89052,2,2,0,0,0,0,0,1,0,0,0,1
47274,2,2,0,0,0,0,0,1,0,0,0,1
11727,2,2,0,0,0,0,1,0,1,0,0,0
19061,2,0,1,0,0,1,1,1,0,0,0,0
27330,2,0,0,0,0,2,2,0,0,0,0,0
27540,2,1,0,0,0,1,1,0,1,0,0,0
32218,2,1,0,0,0,1,1,0,1,0,0,0
32127,2,2,0,0,0,0,1,0,1,0,0,0
44484,2,2,0,0,0,0,1,1,0,0,0,0
02062,2,1,1,0,0,0,1,1,0,0,0,0
10028,2,1,1,0,0,0,1,1,0,0,0,0
55123,2,1,1,0,0,0,1,1,0,0,0,0
38018,2,2,0,0,0,0,1,1,0,0,0,0
06902,2,1,0,0,0,1,1,0,0,0,1,0
40216,2,2,0,0,0,0,2,0,0,0,0,0
44512,2,2,0,0,0,0,1,0,1,0,0,0
22603,2,1,0,0,0,1,1,0,1,0,0,0
11741,2,2,0,0,0,0,1,0,1,0,0,0
27614,2,2,0,0,0,0,2,0,0,0,0,0
11418,2,1,0,0,0,1,2,0,0,0,0,0
19144,2,2,0,0,0,0,0,0,0,0,2,0
15061,2,1,1,0,0,0,2,0,0,0,0,0
32304,2,1,0,0,1,0,1,0,1,0,0,0
28443,2,1,0,0,0,1,2,0,0,0,0,0
31404,2,2,0,0,0,0,2,0,0,0,0,0
44833,2,0,0,0,0,2,2,0,0,0,0,0
19152,2,2,0,0,0,0,2,0,0,0,0,0
27127,2,2,0,0,0,0,0,0,2,0,0,0
27203,2,1,0,0,0,1,1,0,1,0,0,0
89147,2,1,0,0,0,1,0,1,1,0,0,0
60014,2,0,0,2,0,0,0,2,0,0,0,0
06484,2,1,0,0,0,1,1,0,1,0,0,0
30620,2,0,0,0,1,1,1,0,0,0,0,1
78229,2,0,0,0,1,1,0,2,0,0,0,0
32073,2,0,0,0,1,1,2,0,0,0,0,0
17601,2,2,0,0,0,0,1,0,1,0,0,0
38654,2,1,0,1,0,0,2,0,0,0,0,0
33166,2,1,0,0,0,1,0,0,1,0,0,1
34711,2,1,0,0,0,1,1,0,0,0,1,0
70458,2,1,0,0,1,0,1,0,0,0,1,0
19973,2,1,0,0,1,0,1,0,1,0,0,0
19809,2,0,0,0,0,2,1,0,0,0,1,0
60560,2,1,0,1,0,0,1,0,1,0,0,0
34654,2,2,0,0,0,0,1,0,1,0,0,0
11414,2,0,0,0,0,2,0,0,1,0,0,1
85283,2,2,0,0,0,0,2,0,0,0,0,0
20879,2,0,0,0,1,1,2,0,0,0,0,0
20772,2,0,0,0,1,1,2,0,0,0,0,0
12303,2,2,0,0,0,0,1,0,0,0,1,0
27608,2,0,1,0,0,1,1,0,1,0,0,0
64014,2,0,0,0,0,2,1,0,0,0,1,0
11231,2,1,1,0,0,0,1,1,0,0,0,0
45385,2,1,0,0,0,1,1,0,0,0,1,0
77449,2,1,0,0,0,1,0,2,0,0,0,0
18634,2,1,0,0,0,1,0,0,2,0,0,0
45211,2,1,0,0,0,1,0,0,1,0,1,0
33317,2,2,0,0,0,0,2,0,0,0,0,0
28269,2,0,0,2,0,0,1,1,0,0,0,0
62702,2,2,0,0,0,0,1,1,0,0,0,0
18641,2,1,0,0,0,1,2,0,0,0,0,0
28211,2,1,0,0,0,1,0,1,0,0,0,1
11369,2,1,0,0,1,0,1,0,0,0,1,0
33611,2,2,0,0,0,0,1,0,1,0,0,0
08080,2,0,0,1,0,1,1,1,0,0,0,0
20872,2,2,0,0,0,0,2,0,0,0,0,0
30087,2,1,0,0,0,1,1,0,0,0,0,1
54935,2,0,0,0,0,2,2,0,0,0,0,0
32301,2,2,0,0,0,0,2,0,0,0,0,0
07508,2,1,0,0,0,1,0,0,2,0,0,0
33410,2,0,0,0,0,2,0,1,0,0,0,1
34714,2,2,0,0,0,0,1,0,0,0,0,1
11552,2,0,0,0,1,1,1,1,0,0,0,0
10470,2,1,0,0,0,1,1,0,0,0,0,1
32025,2,2,0,0,0,0,1,0,1,0,0,0
29690,2,1,1,0,0,0,2,0,0,0,0,0
28451,2,1,0,1,0,0,1,0,0,0,1,0
37128,2,1,0,0,1,0,1,1,0,0,0,0
32209,2,2,0,0,0,0,2,0,0,0,0,0
14609,2,1,0,0,0,1,2,0,0,0,0,0
55428,2,1,0,0,0,1,2,0,0,0,0,0
33625,2,1,0,0,0,1,2,0,0,0,0,0
29403,2,1,0,0,0,1,2,0,0,0,0,0
08060,2,1,0,0,0,1,1,0,1,0,0,0
08527,2,1,0,0,0,1,1,0,0,0,1,0
34613,2,2,0,0,0,0,2,0,0,0,0,0
62703,2,2,0,0,0,0,1,0,1,0,0,0
40504,2,1,0,0,1,0,2,0,0,0,0,0
70508,2,0,0,0,2,0,1,0,0,0,1,0
38701,2,1,1,0,0,0,0,0,0,0,1,1
11232,2,0,0,0,0,2,2,0,0,0,0,0
64155,2,2,0,0,0,0,1,0,0,0,0,1
11779,2,2,0,0,0,0,2,0,0,0,0,0
18109,2,2,0,0,0,0,1,0,0,0,1,0
19468,2,2,0,0,0,0,2,0,0,0,0,0
19810,2,2,0,0,0,0,2,0,0,0,0,0
08809,2,2,0,0,0,0,1,0,1,0,0,0
48075,2,1,1,0,0,0,2,0,0,0,0,0
33313,2,2,0,0,0,0,2,0,0,0,0,0
89134,2,1,0,0,0,1,1,0,1,0,0,0
77041,2,2,0,0,0,0,2,0,0,0,0,0
17522,2,2,0,0,0,0,1,1,0,0,0,0
48430,2,2,0,0,0,0,2,0,0,0,0,0
80112,2,1,0,0,1,0,0,2,0,0,0,0
17201,2,1,0,0,0,1,0,0,2,0,0,0
29526,2,0,0,0,0,2,0,0,1,0,1,0
46227,2,2,0,0,0,0,2,0,0,0,0,0
27103,2,2,0,0,0,0,1,0,1,0,0,0
07306,2,2,0,0,0,0,2,0,0,0,0,0
27577,2,1,1,0,0,0,0,0,0,0,1,1
53532,2,2,0,0,0,0,1,1,0,0,0,0
18020,2,2,0,0,0,0,1,0,1,0,0,0
32837,2,2,0,0,0,0,1,0,1,0,0,0
99403,2,0,0,0,0,2,2,0,0,0,0,0
60565,2,1,0,0,0,1,2,0,0,0,0,0
33020,2,1,1,0,0,0,0,1,1,0,0,0
31322,2,2,0,0,0,0,1,1,0,0,0,0
