zip_code,state_code,region,lastmodifieddate,currently_using_competitor_c,duration_converted_c,duration_sdr_working_c,enterprise_c,street,status,isdeleted,lead_assigned_time_c,lead_created_time_c,report_filter_indicator_c,service_type_c,menu_type_c,converteddate,restaurant_time_zone_c,lead_created_day_c,first_mel_timestamp_c,systemmodstamp,clicksendsms_is_sms_sent_c,converted_time_c,is_menu_uploaded_c,promotions_c,menu_complexity_c,restaurant_time_display_c,client_language_c,automation_timestamp_c,state,createddate,monthly_revenue_c,pulley_reviewed_c,last_activity_date_c,statecode,automation_bypass_c,interest_level_c,unqualified_reason_c,restaurant_local_timezone_c,menu_approval_c,completed_time_c,days_since_last_activity_c,mentioned_competitor_c,country,first_mql_timestamp_c,salutation,actual_lead_source_c,lead_type_c,latest_mql_timestamp_c,ae_assigned_time_c,duration_sdr_complete_c,direct_manager_sdr_c,duration_sdr_assigned_c,working_start_time_c,duration_ae_assigned_c,lead_category_c,owner_type_c,mobile_primary_c,daylight_saving_hour_c,isconverted,days_since_assigned_to_person_c,hasoptedoutofemail,city,sdr_assigned_to_me_c,expected_gmv_2_c,first_touch_date_c,is_user_owner_c,assigned_sdr_c,sales_cycle_length_c,lead_source_c,postalcode,currently_using_competitor_online_c,date_assigned_to_person_c,countrycode,isunreadbyowner,restaurant_type_c,assigned_sdr_role_c,bypass_owner_assignment_c,restaurant_time_c,zip_code_1,city_1,state_code_1,population,population_band,density,density_band,median_household_income,median_income_band,timezone,school_zone
21222,MD,Northeast,2024-09-09 09:48:02.000 Z,False,0.0,,False,1786 Merritt Blvd,Converted,False,,2023-03-23 02:09:16.000 Z,False,Part-Time,Chinese-Unknown;Thai,2023-08-05,EST,Wednesday,,2025-05-15 16:11:24.000 Z,False,2023-08-06 01:53:14.000 Z,False,30 days Free Trial - VO,Advanced Menu,1:01 PM,Mandarin,2023-08-05 23:34:10.000 Z,MD,2023-03-23 02:09:16.000 Z,"$30,001-$40,000",False,2023-08-05,MD,False,Medium,,GMT-04,Approved,,649.0,,United States,,Ms.,CSM Referral,CSM Referral,,2023-08-06 01:53:14.000 Z,,,,,,,AE,(267) 709-0371,0,True,650.0,False,Dundalk,False,0,2023-03-22,True,,0.0,Client Referral - Unknown;Douyin,21222,False,2023-08-04,US,False,Delivery,,False,13:01:08.030Z,21222,Dundalk,MD,55212,"50,001+",1945,"501 - 5,000","$60,483","$60,000 - $100,000",Eastern Standard Time,C
23320,VA,Southeast,2024-11-13 09:40:34.000 Z,False,1.61,0.01,False,801 Volvo Pkwy #140,Converted,False,2024-07-14 18:48:21.000 Z,2024-07-13 16:53:37.000 Z,True,Full Time,Chinese-Unknown,2024-07-14,EST,Saturday,2024-07-13 16:53:17.000 Z,2025-05-15 16:11:25.000 Z,False,2024-07-14 23:01:54.000 Z,False,30 days Free Trial - VO;1 Year SMS - Free;July 2024 CW - Gold Yuanbao,,1:03 PM,Mandarin,2024-07-14 22:56:40.000 Z,VA,2024-07-13 16:53:37.000 Z,"$50,001-$60,000",False,2024-07-14,VA,False,Medium,,GMT-04,Not Submitted,2024-07-14 21:25:22.000 Z,305.0,DoorDash;Grubhub,United States,2024-07-13 16:53:17.000 Z,,,Marketing Inbound,2024-07-14 21:25:00.000 Z,2024-07-14 21:25:22.000 Z,2.62,0058b00000H41wnAAB,25.91,2024-07-14 18:48:54.000 Z,0.0,,AE,(757) 613-2118,0,True,305.0,False,Chesapeake,False,31200,2024-07-13,True,005Uo0000018DIrIAM,1.61,DM,23320,False,2024-07-14,US,False,Delivery,SDR team user,False,13:03:52.585Z,23320,Chesapeake,VA,57619,"50,001+",701,"501 - 5,000","$81,963","$60,000 - $100,000",Eastern Standard Time,B+
44035,OH,Midwest,2024-11-13 09:40:32.000 Z,False,4.22,4.48,False,,Converted,False,2023-09-28 19:22:38.000 Z,2023-09-28 19:22:38.000 Z,True,Full Time,Chinese-Unknown,2023-09-28,EST,Thursday,,2025-05-15 16:11:25.000 Z,False,2023-09-28 23:51:32.000 Z,False,Printer Promotion;30 days Free Trial - VO,,1:03 PM,Mandarin,2023-09-28 19:46:26.000 Z,OH,2023-09-28 19:22:38.000 Z,,False,2023-09-28,OH,False,Medium,,GMT-04,Not Submitted,2023-09-28 23:51:32.000 Z,595.0,,United States,,Mr.,,Marketing Inbound,,2023-09-28 19:38:16.000 Z,4.48,0058b00000HCkC1AAL,0.0,2023-09-28 23:51:32.000 Z,-4.22,,Queue,(917) 863-1333,0,True,595.0,False,,False,0,2023-09-28,False,0058b00000HNKijAAH,4.22,Previous Clients,,False,2023-09-28,US,False,Pick Up,SDR team user,False,13:03:16.252Z,44035,Elyria,OH,63333,"50,001+",512,"501 - 5,000","$51,258","$1 - $60,000",Eastern Standard Time,B
32561,FL,Southeast,2024-11-21 18:56:12.000 Z,False,0.13,3.03,False,1385 Shoreline Dr,Converted,False,2024-11-20 13:50:01.000 Z,2024-04-09 09:52:01.000 Z,False,,Japanese,2024-11-20,EST,Wednesday,2023-11-01 19:54:35.000 Z,2024-11-21 18:56:12.000 Z,False,2024-11-20 16:59:28.000 Z,False,,,08:57 AM,Mandarin,2024-11-20 16:56:28.000 Z,FL,2023-11-01 19:54:10.000 Z,,False,2024-11-20,FL,False,Low,,GMT-04,Not Submitted,2024-11-20 16:51:37.000 Z,149.0,,United States,2024-11-20 16:51:37.000 Z,,,Telemarketer,2024-11-20 16:59:28.000 Z,2024-11-20 16:51:37.000 Z,3.03,0058b00000HCkC1AAL,9233.93,2024-11-20 16:51:37.000 Z,0.0,,AE,(850) 261-5115,0,True,149.0,False,Gulf Breeze,False,0,2024-04-09,True,005Uo0000022dKHIAY,0.13,Email,32561,False,2024-11-20,US,False,,SDR team user,False,08:57:22.073Z,32561,Gulf Breeze,FL,9925,"5,001 - 20,000",319,101 - 500,"$118,074","$100,001 - $150,000",Central Standard Time,B+
29631,SC,Southeast,2024-10-29 08:48:03.000 Z,False,19.01,47.95,False,960 E Franklin St,Converted,False,2023-09-13 15:59:44.000 Z,2022-11-01 02:40:43.000 Z,False,Full Time,Japanese,2023-09-21,EST,Monday,,2024-10-29 08:48:03.000 Z,False,2023-09-21 15:07:33.000 Z,False,,Basic Menu,08:52 AM,Mandarin,2023-09-21 14:52:08.000 Z,GA,2022-11-01 02:40:43.000 Z,,False,2023-09-21,GA,False,Medium,,GMT-04,Not Submitted,2023-09-21 15:07:33.000 Z,575.0,,United States,,,,Telemarketer,,2023-09-20 20:07:08.000 Z,191.13,,7597.32,2023-09-15 15:56:39.000 Z,-19.01,,AE,(803) 546-2764,0,True,577.0,False,Hartwell,False,0,,True,0058b00000FxwazAAB,19.01,Telemarketer,30643,False,2023-09-19,US,False,Pick Up,SDR team user,False,08:52:19.362Z,29631,Clemson,SC,15301,"5,001 - 20,000",678,"501 - 5,000","$50,348","$1 - $60,000",Eastern Standard Time,A
91706,CA,West,2024-09-09 07:54:07.000 Z,False,0.0,0.0,False,4000 LA RICA AVE C,Converted,False,2023-08-31 17:17:59.000 Z,2022-11-01 02:39:58.000 Z,True,Full Time,Chinese-Unknown,2023-08-31,PST,Monday,,2025-05-15 16:11:25.000 Z,False,2023-08-31 17:17:59.000 Z,False,Printer Promotion;30 days Free Trial - VO,Basic Menu,10:01 AM,Mandarin,2023-08-31 17:17:10.000 Z,CA,2022-11-01 02:39:58.000 Z,"$10,001-$20,000",False,2023-08-31,CA,False,High,,GMT-07,Approved,2023-08-31 17:17:59.000 Z,623.0,,United States,,,,Marketing Inbound,,2023-08-31 17:17:59.000 Z,0.0,,7286.63,2023-08-31 17:17:59.000 Z,0.0,,AE,(626) 297-1179,0,True,623.0,False,BALDWIN PARK,False,0,2021-07-19,True,,0.0,Hiring Post,91706,False,2023-08-31,US,False,Pick Up,,False,10:01:52.893Z,91706,Baldwin Park,CA,76930,"50,001+",2211,"501 - 5,000","$76,348","$60,000 - $100,000",Pacific Standard Time,B-
7016,NJ,Northeast,2024-11-13 09:40:34.000 Z,False,1.86,0.0,False,1 Walnut Avenue,Converted,False,2024-06-22 01:05:26.000 Z,2024-06-22 01:01:01.000 Z,True,Part-Time,Chinese-Unknown,2024-06-22,EST,Friday,2024-06-22 01:01:01.000 Z,2025-05-15 16:11:25.000 Z,False,2024-06-22 02:57:21.000 Z,False,,Basic Menu,1:03 PM,Mandarin,2024-06-22 01:22:50.000 Z,NJ,2024-06-22 01:01:01.000 Z,,False,2024-06-21,NJ,False,Medium,,GMT-04,Not Submitted,2024-06-22 01:05:26.000 Z,328.0,,United States,2024-06-22 01:05:58.000 Z,Ms.,Marketing Inbound,Marketing Inbound,2024-06-22 01:05:00.000 Z,2024-06-22 01:05:58.000 Z,0.0,0058b00000HCkC1AAL,0.07,2024-06-22 01:05:26.000 Z,0.01,Inbound,AE,(917) 855-3209,0,True,328.0,False,Cranford,False,0,2024-06-21,True,0058b00000Fyza3AAB,1.86,SMS,07016,False,2024-06-21,US,False,Delivery,SDR team user,False,13:03:52.585Z,7016,Cranford,NJ,24014,"20,201 - 50,000",1922,"501 - 5,000",No Data,No Data,Eastern Standard Time,A
10469,NY,Northeast,2024-09-09 23:56:03.000 Z,False,24.53,2835.6,False,3004 EASTCHESTER RD,Converted,False,2023-11-17 16:05:17.000 Z,2022-11-01 02:40:02.000 Z,False,Part-Time,Chinese-Unknown,2024-03-15,EST,Monday,2024-03-11 16:39:00.000 Z,2025-05-15 16:11:25.000 Z,False,2024-03-15 20:13:09.000 Z,False,,,1:01 PM,Mandarin,2024-03-15 20:03:36.000 Z,NY,2022-11-01 02:40:02.000 Z,,False,2024-03-15,NY,False,Medium,,GMT-04,Not Submitted,2024-03-14 19:41:32.000 Z,426.0,Qmenu / Beyond Menu,United States,2024-03-15 04:00:00.000 Z,,Outbound SDR,Telemarketer,2024-03-15 04:00:00.000 Z,2024-03-14 19:41:32.000 Z,2835.6,,9157.42,2024-03-14 19:41:32.000 Z,0.0,Outbound,AE,(646) 637-2323,0,True,427.0,False,THE BRONX,False,0,,True,0058b00000HCl7fAAD,24.53,Telemarketer,10469,False,2024-03-14,US,False,Delivery,SDR team user,False,13:01:39.887Z,10469,Bronx,NY,72384,"50,001+",11302,"5,001 - 20,000","$76,731","$60,000 - $100,000",Eastern Standard Time,B+
60565,IL,Midwest,2024-11-13 09:40:30.000 Z,False,0.72,29.65,False,511  W 87th Street,Converted,False,2023-11-07 15:44:43.000 Z,2022-11-01 02:40:56.000 Z,True,Part-Time,Chinese-Unknown,2023-12-03,CST,Monday,2023-12-03 17:24:37.000 Z,2025-05-15 16:11:25.000 Z,False,2023-12-03 18:07:41.000 Z,False,30 days Free Trial - VO,Basic Menu,12:01 AM,Mandarin,2023-12-03 18:06:40.000 Z,IL,2022-11-01 02:40:56.000 Z,,False,2023-12-03,IL,False,High,,GMT-05,Approved,2023-11-28 15:58:46.000 Z,529.0,DoorDash;Uber,United States,2023-12-03 17:24:37.000 Z,,Marketing Inbound,Marketing Inbound,2023-12-03 17:24:00.000 Z,2023-12-03 17:24:37.000 Z,504.23,005Uo0000018DIrIAM,8917.06,2023-11-08 21:23:42.000 Z,121.43,Inbound,AE,(312) 678-6076,0,True,529.0,False,Naperville,False,0,,True,0058b00000HliWiAAJ,0.72,DM,60565,False,2023-12-03,US,False,Delivery,SDR team user,False,12:01:45.075Z,60565,Naperville,IL,40560,"20,201 - 50,000",1261,"501 - 5,000","$155,179","$150,001 - $250,000",Central Standard Time,A+
80227,CO,West,2024-10-29 08:48:03.000 Z,False,413.02,0.0,False,3355 S Wadsworth Blvd Unit H103,Converted,False,2024-04-15 16:59:47.000 Z,2024-04-15 16:04:00.000 Z,True,Full Time,Chinese-Unknown;Thai;Other,2024-05-02,MST,Monday,2024-04-15 16:04:00.000 Z,2025-05-15 16:11:25.000 Z,False,2024-05-02 22:01:00.000 Z,False,,Advanced Menu,11:01 AM,Mandarin,2024-05-02 22:00:47.000 Z,CO,2022-11-01 02:40:30.000 Z,"$20,001-$30,000",False,2024-05-02,CO,False,Medium,,GMT-06,Not Submitted,2024-04-15 16:59:47.000 Z,378.0,,United States,2024-04-15 16:59:47.000 Z,Ms.,Marketing Inbound,Marketing Inbound,2024-05-03 01:59:00.000 Z,2024-04-15 16:59:47.000 Z,0.0,,12758.32,2024-04-15 16:59:47.000 Z,0.0,Inbound,AE,(720) 308-4086,0,True,378.0,False,Lakewood,False,0,2024-04-15,True,0058b00000HNKiyAAH,413.02,SEO_Chinese,80227,False,2024-05-02,US,False,Delivery,SDR team user,False,11:01:39.887Z,80227,Denver,CO,34878,"20,201 - 50,000",1813,"501 - 5,000","$84,354","$60,000 - $100,000",Mountain Standard Time,B+
44134,OH,Midwest,2024-09-09 09:52:02.000 Z,False,0.07,0.0,False,5216 Broadview Road,Converted,False,2024-02-26 15:49:28.000 Z,2022-11-01 02:41:26.000 Z,True,Full Time,Chinese-Unknown,2024-02-26,EST,Monday,,2025-05-15 16:11:25.000 Z,False,2024-02-26 15:49:28.000 Z,False,,Basic Menu,1:01 PM,Mandarin,2024-02-26 15:47:37.000 Z,OH,2022-11-01 02:41:26.000 Z,"$30,001-$40,000",False,2024-02-26,OH,False,Medium,,GMT-04,Not Submitted,2023-09-24 20:47:22.000 Z,444.0,DoorDash;Uber,United States,,,,Marketing Inbound,,2024-02-26 15:45:26.000 Z,-3715.04,,11581.13,2024-02-26 15:49:28.000 Z,3714.97,,AE,(216) 835-8883,0,True,444.0,False,Parma,False,0,2022-09-18,True,0058b00000HNKiyAAH,0.07,Telemarketer,44134,False,2024-02-26,US,False,Delivery,SDR team user,False,13:01:57.544Z,44134,Cleveland,OH,36580,"20,201 - 50,000",1472,"501 - 5,000","$65,163","$60,000 - $100,000",Eastern Standard Time,B-
94578,CA,West,2024-09-09 07:57:27.000 Z,False,0.29,100.8,False,16490 E 14th St,Converted,False,2024-06-07 16:02:42.000 Z,2023-03-10 20:32:44.000 Z,False,,Cajun,2024-06-11,PST,Friday,,2024-09-09 07:57:27.000 Z,False,2024-06-11 21:19:03.000 Z,False,,,05:48 AM,English,2024-06-11 21:05:01.000 Z,CA,2023-03-10 20:32:44.000 Z,,False,2024-06-11,CA,False,Low,,GMT-07,Not Submitted,2024-06-11 21:01:22.000 Z,311.0,,United States,,,Outbound SDR,Telemarketer,,2024-06-11 21:01:22.000 Z,100.98,,10915.5,2024-06-11 20:50:33.000 Z,0.0,Outbound,AE,(510) 398-8344,0,True,311.0,False,San Leandro,False,0,,True,005Uo000000pIXZIA2,0.29,Telemarketer,94578,False,2024-06-11,US,False,,SDR team user,False,05:48:51.065Z,94578,San Leandro,CA,41865,"20,201 - 50,000",3601,"501 - 5,000","$87,120","$60,000 - $100,000",Pacific Standard Time,B-
