Area_Code,State_Name,State_Area,Country
409,Texas,TX,United States
410,Maryland,MD,United States
412,Pennsylvania,PA,United States
413,Massachusetts,MA,United States
414,Wisconsin,WI,United States
415,California,CA,United States
417,Missouri,MO,United States
419,Ohio,OH,United States
423,Tennessee,TN,United States
424,California,CA,United States
425,Washington,WA,United States
432,Texas,TX,United States
434,Virginia,VA,United States
435,Utah,UT,United States
440,Ohio,OH,United States
442,California,CA,United States
443,Maryland,MD,United States
458,Oregon,OR,United States
469,Texas,TX,United States
478,Georgia,GA,United States
479,Arkansas,AR,United States
480,Arizona,AZ,United States
484,Pennsylvania,PA,United States
501,Arkansas,AR,United States
502,Kentucky,KY,United States
503,Oregon,OR,United States
504,Louisiana,LA,United States
505,New Mexico,NM,United States
507,Minnesota,MN,United States
508,Massachusetts,MA,United States
509,Washington,WA,United States
510,California,CA,United States
512,Texas,TX,United States
513,Ohio,OH,United States
515,Iowa,IA,United States
516,New York,NY,United States
517,Michigan,MI,United States
518,New York,NY,United States
520,Arizona,AZ,United States
530,California,CA,United States
531,Nebraska,NE,United States
539,Oklahoma,OK,United States
540,Virginia,VA,United States
541,Oregon,OR,United States
551,New Jersey,NJ,United States
559,California,CA,United States
561,Florida,FL,United States
562,California,CA,United States
563,Iowa,IA,United States
567,Ohio,OH,United States
570,Pennsylvania,PA,United States
571,Virginia,VA,United States
573,Missouri,MO,United States
574,Indiana,IN,United States
575,New Mexico,NM,United States
580,Oklahoma,OK,United States
585,New York,NY,United States
586,Michigan,MI,United States
601,Mississippi,MS,United States
602,Arizona,AZ,United States
603,New Hampshire,NH,United States
605,South Dakota,SD,United States
606,Kentucky,KY,United States
607,New York,NY,United States
608,Wisconsin,WI,United States
609,New Jersey,NJ,United States
610,Pennsylvania,PA,United States
612,Minnesota,MN,United States
614,Ohio,OH,United States
615,Tennessee,TN,United States
616,Michigan,MI,United States
617,Massachusetts,MA,United States
618,Illinois,IL,United States
619,California,CA,United States
620,Kansas,KS,United States
623,Arizona,AZ,United States
626,California,CA,United States
628,California,CA,United States
629,Tennessee,TN,United States
630,Illinois,IL,United States
631,New York,NY,United States
636,Missouri,MO,United States
641,Iowa,IA,United States
646,New York,NY,United States
650,California,CA,United States
651,Minnesota,MN,United States
657,California,CA,United States
660,Missouri,MO,United States
661,California,CA,United States
662,Mississippi,MS,United States
667,Maryland,MD,United States
669,California,CA,United States
678,Georgia,GA,United States
681,West Virginia,WV,United States
682,Texas,TX,United States
701,North Dakota,ND,United States
702,Nevada,NV,United States
703,Virginia,VA,United States
704,North Carolina,NC,United States
706,Georgia,GA,United States
707,California,CA,United States
708,Illinois,IL,United States
712,Iowa,IA,United States
713,Texas,TX,United States
714,California,CA,United States
715,Wisconsin,WI,United States
716,New York,NY,United States
717,Pennsylvania,PA,United States
718,New York,NY,United States
719,Colorado,CO,United States
720,Colorado,CO,United States
724,Pennsylvania,PA,United States
725,Nevada,NV,United States
727,Florida,FL,United States
731,Tennessee,TN,United States
732,New Jersey,NJ,United States
734,Michigan,MI,United States
737,Texas,TX,United States
740,Ohio,OH,United States
743,North Carolina,NC,United States
747,California,CA,United States
754,Florida,FL,United States
757,Virginia,VA,United States
760,California,CA,United States
762,Georgia,GA,United States
763,Minnesota,MN,United States
765,Indiana,IN,United States
769,Mississippi,MS,United States
770,Georgia,GA,United States
772,Florida,FL,United States
773,Illinois,IL,United States
774,Massachusetts,MA,United States
775,Nevada,NV,United States
779,Illinois,IL,United States
781,Massachusetts,MA,United States
785,Kansas,KS,United States
786,Florida,FL,United States
801,Utah,UT,United States
802,Vermont,VT,United States
803,South Carolina,SC,United States
804,Virginia,VA,United States
805,California,CA,United States
806,Texas,TX,United States
808,Hawaii,HI,United States
810,Michigan,MI,United States
812,Indiana,IN,United States
813,Florida,FL,United States
814,Pennsylvania,PA,United States
815,Illinois,IL,United States
816,Missouri,MO,United States
817,Texas,TX,United States
818,California,CA,United States
828,North Carolina,NC,United States
830,Texas,TX,United States
831,California,CA,United States
832,Texas,TX,United States
843,South Carolina,SC,United States
845,New York,NY,United States
847,Illinois,IL,United States
848,New Jersey,NJ,United States
850,Florida,FL,United States
856,New Jersey,NJ,United States
857,Massachusetts,MA,United States
858,California,CA,United States
859,Kentucky,KY,United States
860,Connecticut,CT,United States
862,New Jersey,NJ,United States
863,Florida,FL,United States
864,South Carolina,SC,United States
865,Tennessee,TN,United States
870,Arkansas,AR,United States
878,Pennsylvania,PA,United States
901,Tennessee,TN,United States
903,Texas,TX,United States
904,Florida,FL,United States
907,Alaska,AK,United States
908,New Jersey,NJ,United States
909,California,CA,United States
910,North Carolina,NC,United States
912,Georgia,GA,United States
913,Kansas,KS,United States
914,New York,NY,United States
915,Texas,TX,United States
916,California,CA,United States
917,New York,NY,United States
918,Oklahoma,OK,United States
919,North Carolina,NC,United States
920,Wisconsin,WI,United States
925,California,CA,United States
928,Arizona,AZ,United States
929,New York,NY,United States
930,Indiana,IN,United States
931,Tennessee,TN,United States
936,Texas,TX,United States
937,Ohio,OH,United States
940,Texas,TX,United States
941,Florida,FL,United States
947,Michigan,MI,United States
949,California,CA,United States
951,California,CA,United States
952,Minnesota,MN,United States
954,Florida,FL,United States
956,Texas,TX,United States
959,Connecticut,CT,United States
970,Colorado,CO,United States
971,Oregon,OR,United States
972,Texas,TX,United States
973,New Jersey,NJ,United States
978,Massachusetts,MA,United States
979,Texas,TX,United States
980,North Carolina,NC,United States
984,North Carolina,NC,United States
985,Louisiana,LA,United States
989,Michigan,MI,United States
854,South Carolina,SC,United States
332,New York,NY,United States
341,California,CA,United States
430,Texas,TX,United States
470,Georgia,GA,United States
647,Ontario,ON,Canada
680,New York,NY,United States
689,Florida,FL,United States
726,Texas,TX,United States
771,District of Columbia,DC,United States
840,California,CA,United States
872,Illinois,IL,United States
906,Michigan,MI,United States
945,Texas,TX,United States
403,Alberta,AB,Canada
587,Alberta,AB,Canada
780,Alberta,AB,Canada
236,British Columbia,BC,Canada
250,British Columbia,BC,Canada
604,British Columbia,BC,Canada
778,British Columbia,BC,Canada
279,California,CA,United States
475,Connecticut,CT,United States
204,Manitoba,MB,Canada
473,Grenada,Grenada,Grenada
462,Spam Call,Spam Call,Spam Call
464,Illinois,IL,United States
465,Spam Call,Spam Call,Spam Call
498,Spam Call,Spam Call,Spam Call
526,Spam Call,Spam Call,Spam Call
572,Oklahoma,OK,United States
839,South Carolina,SC,United States
500,Personal Communications Svcs,Personal Communications Svcs,Personal Communications Svcs
855,Toll-free,Toll-free,Toll-free
888,Toll-free,Toll-free,Toll-free
506,New Brunswick,NB,Canada
709,Newfoundland and Labrador,NL,Canada
782,Nova Scotia/Prince Edward Island,NS/PE,Canada
902,Nova Scotia/Prince Edward Island,NS/PE,Canada
838,New York,NY,United States
934,New York,NY,United States
226,Ontario,ON,Canada
289,Ontario,ON,Canada
416,Ontario,ON,Canada
437,Ontario,ON,Canada
519,Ontario,ON,Canada
613,Ontario,ON,Canada
705,Ontario,ON,Canada
807,Ontario,ON,Canada
905,Ontario,ON,Canada
223,Pennsylvania,PA,United States
787,Puerto Rico,PR,U.S. Territory
939,Puerto Rico,PR,U.S. Territory
367,Quebec,QC,Canada
438,Quebec,QC,Canada
514,Quebec,QC,Canada
581,Quebec,QC,Canada
306,Saskatchewan,SK,Canada
639,Saskatchewan,SK,Canada
340,U.S. Virgin Islands,VI,U.S. Territory
867,Northern Canada,YT/NT/NU,Canada
445,Pennsylvania,PA,United States
463,Indiana,IN,United States
820,California,CA,United States
