Create Date,Company / Account,Street,State/Province (text only),Rating,Lead Owner,Lead Source,Lead Channel,Business Phone,Mobile - Primary,Zip/Postal Code,City,Phone,matching_id,key2,Exclusion?
10/31/2022,6172304385-女老板-送餐,,MA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(617) 230-4385,,,(617) 230-4385,NANA,,
10/31/2022,6463224500-王-送餐-Client DO NOT CALL,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 322-4500,,,(646) 322-4500,NANA,,
10/31/2022,6466417969-男老板-自助,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 641-7969,,,(646) 641-7969,NANA,,
10/31/2022,6467735338-男老板-,,,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(646) 773-5338,,,(646) 773-5338,NANA,,
10/31/2022,9048686093-女老板-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(904) 868-6093,,,(904) 868-6093,NANA,,
10/31/2022,9172141990-男老板-送餐,,NC,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 214-1990,,,(917) 214-1990,NANA,,
10/31/2022,9102330808-男老板-送餐,,NC,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(910) 233-0808,,,(910) 233-0808,NANA,,
10/31/2022,8142308822-何老板-来取,,PA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(814) 230-8822,,,(814) 230-8822,NANA,,
10/31/2022,9173610822-男老板-来取,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 361-0822,,,(917) 361-0822,NANA,,
10/31/2022,9176898032-吴老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 689-8032,,,(917) 689-8032,NANA,,
10/31/2022,9178618198-女老板-送餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 861-8198,,,(917) 861-8198,NANA,,
10/31/2022,3476544349-女老板-送餐,,MI,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 654-4349,,,(347) 654-4349,NANA,,
10/31/2022,9176670867-女老板-来取 - LIVE DO NOT CALL,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 667-0867,,,(917) 667-0867,NANA,,
10/31/2022,3473206754-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(347) 320-6754,,,(347) 320-6754,NANA,,
10/31/2022,9175138617-女老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 513-8617,,,(917) 513-8617,NANA,,
10/31/2022,7186109335-男老板-送餐,,NY,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(718) 610-9335,,,(718) 610-9335,NANA,,
10/31/2022,6038456816-男老板-来取,,NH,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(603) 845-6816,,,(603) 845-6816,NANA,,
10/31/2022,9173627649-女老板-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 362-7649,,,(917) 362-7649,NANA,,
10/31/2022,8568187099-男老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(856) 818-7099,,,(856) 818-7099,NANA,,
10/31/2022,6037856211-女老板-来取,,NH,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(603) 785-6211,,,(603) 785-6211,NANA,,
10/31/2022,9175268168-女老板-送餐,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 526-8168,,,(917) 526-8168,NANA,,
10/31/2022,6095910651-男老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(609) 591-0651,,,(609) 591-0651,NANA,,
10/31/2022,8042015819-女老板-送餐,,VA,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(804) 201-5819,,,(804) 201-5819,NANA,,
10/31/2022,9179817532-女老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(917) 981-7532,,,(917) 981-7532,NANA,,
10/31/2022,5·1,,FL,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(407) 399-9176,,,(407) 399-9176,NANA,,
10/31/2022,7328951885-男老板-送餐,,NJ,,Wonders Lead queue,Marketing Inbound,Hiring Post,,(732) 895-1885,,,(732) 895-1885,NANA,,
