,Page location,Date,Category,Airfryer_Type,ID,visit_again,form_submission
15,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21136,2023/11/20,DM1_envelope,airfryer2,21136,False,False
16,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21315,2023/11/14,DM1_envelope,airfryer2,21315,False,True
17,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=21512,2023/11/16,DM1_envelope,airfryer2,21512,False,True
18,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22160,2023/11/15,DM1_envelope,airfryer2,22160,False,True
19,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=22627,2023/11/28,DM1_envelope,airfryer2,22627,False,False
20,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23164,2023/11/15,DM1_envelope,airfryer2,23164,False,False
21,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23888,2023/11/13,DM1_envelope,airfryer2,23888,False,False
22,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=23904,2023/11/20,DM1_envelope,airfryer2,23904,False,True
23,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=24920,2023/11/13,DM1_envelope,airfryer2,24920,False,False
24,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25046,2023/11/14,DM1_envelope,airfryer2,25046,False,True
26,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25856,2023/11/12,DM1_envelope,airfryer2,25856,True,True
27,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=28773,2023/11/10,DM1_envelope,airfryer2,28773,False,False
28,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=29547,2023/11/15,DM1_envelope,airfryer2,29547,False,False
30,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,2023/11/14,DM1_envelope,airfryer2,30541,True,True
31,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30632,2023/11/17,DM1_envelope,airfryer2,30632,False,False
32,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30736,2023/11/10,DM1_envelope,airfryer2,30736,False,False
34,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=31039,2023/11/16,DM1_envelope,airfryer2,31039,True,True
35,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33337,2023/11/13,DM1_envelope,airfryer2,33337,False,False
36,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33803,2023/11/16,DM1_envelope,airfryer2,33803,False,False
37,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=35180,2023/11/16,DM1_envelope,airfryer2,35180,False,False
38,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=36794,2023/11/03,DM1_envelope,airfryer2,36794,False,False
39,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=37250,2023/11/17,DM1_envelope,airfryer2,37250,False,False
40,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38185,2023/11/15,DM1_envelope,airfryer2,38185,False,True
41,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38483,2023/11/23,DM1_envelope,airfryer2,38483,False,True
42,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38885,2023/11/09,DM1_envelope,airfryer2,38885,False,False
43,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39798,2023/11/08,DM1_trifold,airfryer3,39798,False,False
44,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39884,2023/11/06,DM1_trifold,airfryer3,39884,False,False
45,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41391,2023/11/09,DM1_trifold,airfryer3,41391,False,False
46,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41685,2023/11/10,DM1_trifold,airfryer3,41685,False,False
47,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41762,2023/11/08,DM1_trifold,airfryer3,41762,False,False
48,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=42414,2023/11/08,DM1_trifold,airfryer3,42414,False,False
50,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43238,2023/11/08,DM1_envelope,airfryer4,43238,False,False
51,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43367,2023/11/10,DM1_envelope,airfryer4,43367,False,False
52,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43897,2023/11/09,DM1_envelope,airfryer4,43897,False,False
54,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43911,2023/11/16,DM1_envelope,airfryer4,43911,True,False
55,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44380,2023/11/18,DM1_envelope,airfryer4,44380,False,False
56,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44508,2023/11/08,DM1_envelope,airfryer4,44508,False,False
57,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44512,2023/11/15,DM1_envelope,airfryer4,44512,False,False
58,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44544,2023/11/14,DM1_envelope,airfryer4,44544,False,False
59,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44550,2023/11/15,DM1_envelope,airfryer4,44550,False,False
60,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44682,2023/11/06,DM1_envelope,airfryer4,44682,False,False
61,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45598,2023/11/09,DM1_envelope,airfryer4,45598,False,False
62,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45648,2023/11/21,DM1_envelope,airfryer4,45648,False,False
65,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55508,2023/11/17,DM1_trifold,airfryer5,55508,False,False
66,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=55790,2023/11/16,DM1_trifold,airfryer5,55790,False,False
67,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=57292,2023/11/16,DM1_trifold,airfryer5,57292,False,False
68,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58066,2023/11/22,DM1_trifold,airfryer5,58066,False,False
69,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=58395,2023/11/16,DM1_trifold,airfryer5,58395,False,False
70,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59553,2023/11/21,DM1_trifold,airfryer5,59553,False,False
71,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=59852,2023/11/29,DM1_trifold,airfryer5,59852,False,False
72,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=61821,2023/11/13,DM1_trifold,airfryer5,61821,False,False
73,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=62257,2023/11/15,DM1_trifold,airfryer5,62257,False,False
74,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=63698,2023/11/17,DM1_trifold,airfryer5,63698,False,False
78,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=64460,2023/11/27,DM1_trifold,airfryer5,64460,True,False
79,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=65658,2023/11/24,DM1_trifold,airfryer5,65658,False,False
80,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66027,2023/11/18,DM1_trifold,airfryer5,66027,False,False
81,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=66499,2023/11/23,DM1_trifold,airfryer5,66499,False,False
82,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68277,2023/11/17,DM1_trifold,airfryer5,68277,False,False
86,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=68790,2023/11/22,DM1_trifold,airfryer5,68790,True,False
87,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69149,2023/11/22,DM1_trifold,airfryer5,69149,False,False
89,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=69637,2023/11/22,DM1_trifold,airfryer5,69637,True,False
90,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=70984,2023/11/28,DM1_trifold,airfryer5,70984,False,False
91,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=71746,2023/11/17,DM1_trifold,airfryer5,71746,False,False
92,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74256,2023/11/15,DM1_trifold,airfryer5,74256,False,False
93,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74566,2023/11/16,DM1_trifold,airfryer5,74566,False,False
94,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=74614,2023/11/16,DM1_trifold,airfryer5,74614,False,False
95,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=75749,2023/11/15,DM1_trifold,airfryer5,75749,False,False
96,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=76590,2023/11/22,DM1_trifold,airfryer5,76590,False,False
97,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77430,2023/11/15,DM1_trifold,airfryer5,77430,False,False
98,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=77933,2023/11/17,DM1_trifold,airfryer5,77933,False,False
99,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=78848,2023/11/16,DM1_trifold,airfryer5,78848,False,False
100,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=79670,2023/11/18,DM1_trifold,airfryer5,79670,False,False
101,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80593,2023/11/27,DM1_trifold,airfryer5,80593,False,False
102,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=80871,2023/11/17,DM1_trifold,airfryer5,80871,False,False
103,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=81013,2023/11/21,DM1_trifold,airfryer5,81013,False,False
104,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=82956,2023/11/26,DM1_trifold,airfryer5,82956,False,False
105,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83186,2023/11/18,DM1_trifold,airfryer5,83186,False,False
106,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=83276&gtm_debug=1700157376718,2023/11/16,DM1_trifold,airfryer5,83276,False,False
107,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=84607,2023/11/25,DM1_trifold,airfryer5,84607,False,False
108,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=87534,2023/11/19,DM1_trifold,airfryer5,87534,False,False
109,https://getskt.com/airfryer5/?utm_source=PrintShop&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=88964,2023/11/24,DM1_trifold,airfryer5,88964,False,False
111,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=00490,2023/11/22,DM2_postcard,airfryer6,00490,False,False
112,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=01304,2023/11/21,DM2_postcard,airfryer6,01304,False,False
113,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=02586,2023/11/24,DM2_postcard,airfryer6,02586,False,False
114,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=02834,2023/11/21,DM2_postcard,airfryer6,02834,False,False
115,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04341,2023/11/16,DM2_postcard,airfryer6,04341,False,False
116,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04559,2023/11/26,DM2_postcard,airfryer6,04559,False,False
117,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04697,2023/11/27,DM2_postcard,airfryer6,04697,False,False
118,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=05130,2023/11/24,DM2_postcard,airfryer6,05130,False,False
119,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=06208,2023/11/30,DM2_postcard,airfryer6,06208,False,False
120,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=06592,2023/11/28,DM2_postcard,airfryer6,06592,False,False
122,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=07365,2023/11/21,DM2_postcard,airfryer6,07365,True,False
123,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=07601,2023/11/22,DM2_postcard,airfryer6,07601,False,False
124,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=09671,2023/11/16,DM2_postcard,airfryer6,09671,False,False
125,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=09752,2023/11/25,DM2_postcard,airfryer6,09752,False,False
126,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=11215,2023/11/27,DM2_postcard,airfryer6,11215,False,False
127,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=14852,2023/11/29,DM2_postcard,airfryer6,14852,False,False
128,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=15683,2023/11/21,DM2_postcard,airfryer6,15683,False,False
130,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air+Fryer&utm_id=19160,2023/11/27,DM2_postcard,airfryer6,19160,True,True
