Snowball Map,List Source,Restaurant Name,Mailing Address,City Name,State,TELEPHONENUMBER,Zip Code,Contact First Name,Contact Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
59405,Yelp Greendot (Q42022),3 PEAS IN A POD CAJUN RESTAURANT & SWEET SHOPPE,7246 GRAND PRAIRIE HWY,RAYNE,LA,(337) 873-7327,70578-7707,,,3,Y,,Cajun Seafood
59406,Yelp Greendot (Q42022),3 SISTERS RESTAURANT,10615 E SPRAGUE AVE,SPOKANE VALLEY,WA,(509) 928-2580,99206-3633,TAMMY,DAM,7,Y,,Chinese
59407,Yelp Greendot (Q42022),300 BOWL COFFEE SHOP,370 E WHITTIER BLVD,LA HABRA,CA,(562) 691-0230,90631-3854,,,,,,Chinese
59408,Yelp Greendot (Q42022),369 BBQ,61ST ST & 8TH AVE,BROOKLYN,NY,(646) 508-1858,11220,,,,,,Chinese
59409,Yelp Greendot (Q42022),37.2 DEGREE TEA & CURRY,3646 S NOGALES ST STE A,WEST COVINA,CA,(626) 667-7169,91792-4797,LINDA,LIU,2,Y,,Japanese
59410,Yelp Greendot (Q42022),399 SUSHI,5121 GREYSTONE DR,RENO,NV,(775) 686-9933,89523-2602,,,,,,Japanese
59411,Yelp Greendot (Q42022),405 HU TIEU,15454 BEACH BLVD,WESTMINSTER,CA,(714) 892-8587,92683-6210,,,,,,Chinese
59412,Yelp Greendot (Q42022),40N PHO & GRILLE,9978 SCRIPPS RANCH BLVD,SAN DIEGO,CA,(858) 695-8088,92131-1825,,,6,Y,,Chinese
59413,Yelp Greendot (Q42022),410 BANK STREET RESTAURANT,410 BANK ST,CAPE MAY,NJ,(609) 884-2127,08204-1404,STEPHEN,MILLER,75,Y,,Cajun Seafood
59414,Yelp Greendot (Q42022),45 DEGREE TEA,2775 SHOWPLACE DR STE 119,NAPERVILLE,IL,(630) 470-9649,60564-5051,,,,,,Japanese
59415,Yelp Greendot (Q42022),476 EATERY RESTAURANT,107 WEST BRIDGE,HOTCHKISS,CO,(970) 872-2354,81419,,,,,,Japanese
59416,Yelp Greendot (Q42022),4CORNERS BISTRO,1501 VETERANS MEMORIAL BLVD,KENNER,LA,(504) 305-6800,70062-5359,ASHOK,PATEL,10,Y,,Cajun Seafood
59417,Yelp Greendot (Q42022),5 FLAVOR CAFE,14740 NW CORNELL RD STE 160,PORTLAND,OR,(971) 228-8430,97229-7413,,,7,Y,,Chinese
59418,Yelp Greendot (Q42022),5 STAR CHINESE BUFFET,11095 EAST FWY,HOUSTON,TX,(713) 673-5555,77029-1930,,,,,,Chinese
59419,Yelp Greendot (Q42022),501 AT N+ŹN+ŹGÇÖS,938 US 501 UNIT A,MYRTLE BEACH,SC,(843) 232-7222,29577,,,,,,Cajun Seafood
59420,Yelp Greendot (Q42022),509 BISTRO & PIZZA,307 DEL PRADO BLVD N UNIT 1 & 2,CAPE CORAL,FL,(239) 574-7492,33909-2225,RAUL,TELLEZ,3,Y,,Cajun Seafood
59421,Yelp Greendot (Q42022),52M TERIYAKI,13942 VALLEY VIEW AVE,LA MIRADA,CA,(562) 325-8609,90638-3503,HAELYEN,CHUNG,6,Y,,Japanese
59422,Yelp Greendot (Q42022),52ND SUSHI,5221 ROOSEVELT AVE,WOODSIDE,NY,(718) 507-9204,11377-4231,LEE,EUNHEUNG,3,Y,,Japanese
59423,Yelp Greendot (Q42022),6321 YUAN BAO,6321 8TH AVE,BROOKLYN,NY,(718) 836-1663,11220-4717,,,,,,Chinese
59424,Yelp Greendot (Q42022),68 CRAWFISH EXPRESS,11420 DAIRY ASHFORD RD STE 100,SUGAR LAND,TX,(281) 302-6989,77478-6215,HANI,KHAN,3,Y,,Cajun Seafood
59425,Yelp Greendot (Q42022),68 INDIAN BISTRO,3928 SEDGEBROOK ST,HIGH POINT,NC,(336) 306-5511,27265-8703,,,,,,Chinese
59426,Yelp Greendot (Q42022),7 SPICE,2701 PEARLAND PKWY STE 160,PEARLAND,TX,(346) 645-7742,77581-5948,,,,,,Cajun Seafood
59427,Yelp Greendot (Q42022),7 STAR BUFFET CHINESE RESTAURANT,4017 COLUMBIA RD,AUGUSTA,GA,(706) 650-2300,30907-2221,,,,,,Chinese
59428,Yelp Greendot (Q42022),70S SAGA RAMEN&CURRY,204 S GLENDORA AVE,WEST COVINA,CA,(626) 430-6968,91790-3039,,,8,Y,,Japanese
59429,Yelp Greendot (Q42022),777 HUNAN CUISINE,23736 HIGHWAY 59 STE 101,PORTER,TX,(281) 354-8288,77365-4666,WEIQING,JIN,8,Y,,Chinese
59430,Yelp Greendot (Q42022),77TH STREET SUSHI SHOP,1102 LEXINGTON AVE,NEW YORK,NY,(332) 456-8446,10075-0372,,,,,,Japanese
59431,Yelp Greendot (Q42022),7SPICE,5950 GULF FWY STE 300,HOUSTON,TX,(832) 770-7742,77023-5428,,,,,,Cajun Seafood
59432,Yelp Greendot (Q42022),7SPICE,10255 NORTH FWY,HOUSTON,TX,(281) 447-7742,77037-1257,,,,,,Cajun Seafood
59433,Yelp Greendot (Q42022),7SPICE,11013 FUQUA ST,HOUSTON,TX,(713) 943-7742,77089-2510,,,8,Y,,Cajun Seafood
59434,Yelp Greendot (Q42022),7SPICE,1701 FM 1960 RD W STE H,HOUSTON,TX,(281) 880-7742,77090-3213,,,,,,Cajun Seafood
59435,Yelp Greendot (Q42022),7SPICE,11011 SHADOW CREEK PKWY STE 113,PEARLAND,TX,(281) 412-7742,77584-7457,,,3,Y,,Cajun Seafood
59436,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,6449 WESTHEIMER RD,HOUSTON,TX,(832) 463-2922,77057-5105,,,,,,Cajun Seafood
59437,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,5502 FRY RD,KATY,TX,(281) 855-7742,77449-5795,,,2,N,,Cajun Seafood
59438,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,2240 TEXAS PKWY,MISSOURI CITY,TX,(281) 499-7742,77489-4208,HUNG,VAN,9,Y,,Cajun Seafood
59439,Yelp Greendot (Q42022),8282 FOOD,7707 S KYRENE RD STE 102,TEMPE,AZ,(480) 687-8211,85284-1496,,,,,,Japanese
59440,Yelp Greendot (Q42022),843 KOREAN BBQ & SUSHI HOUSE,6601 RIVERS AVE,NORTH CHARLESTON,SC,(843) 764-9578,29406-4810,DAVIS,HONG,8,Y,,Japanese
59441,Yelp Greendot (Q42022),85 CHINESE RESTAURANT,85 CHRYSTIE ST,NEW YORK,NY,(212) 680-0118,10002-5036,,,2,Y,,Chinese
59442,Yelp Greendot (Q42022),88 BISTRO,4821 LJ PKWY STE 79,SUGAR LAND,TX,(346) 304-2235,77479-6789,,,,,,Chinese
59443,Yelp Greendot (Q42022),88 SUSHI,3103 LAWRENCEVILLE SUWANEE RD # A,SUWANEE,GA,(678) 288-9880,30024-2408,,,,,,Japanese
59444,Google API (Q42022),888 GREAT WALL,9464 BROWNSBORO RD,LOUISVILLE,KY,(502) 425-2811,40241-1118,KARRIN,LIN,4,Y,,Chinese
59445,Yelp Greendot (Q42022),888 JAPANESE BBQ,3550 S DECATUR BLVD,LAS VEGAS,NV,(702) 476-5033,89103-5802,,,,,,Japanese
59446,Google API (Q42022),9 Dragon Noodle House,5271 HIGHLAND RD,BATON ROUGE,LA,(225) 766-9977,70808-6547,YU TONG,LIU,9,Y,,Chinese
59447,Yelp Greendot (Q42022),9 FACE SUSHI CAFE,3422 E ATLANTIC BLVD,POMPANO BEACH,FL,(954) 532-1119,33062-5701,ATHIT,THITISUPUDOM,6,Y,,Japanese
59448,Yelp Greendot (Q42022),9 SOUTH CHARGRILL,844 SOUTH ST,LINCOLN,NE,(402) 474-9997,68502-2148,CATHERINE,BALTA,11,Y,,Cajun Seafood
59449,Yelp Greendot (Q42022),95 NOODLE POT BAR,8528 WESTMINSTER BLVD,WESTMINSTER,CA,(714) 622-5997,92683-4605,,,,,,Chinese
59450,Yelp Greendot (Q42022),969 NYC COFFEE,3761 80TH ST,JACKSON HEIGHTS,NY,(646) 203-7304,11372-9606,,,10,Y,,Japanese
59451,Google API (Q42022),98 ASIAN BISTRO INC,1800 N MAIN ST STE 106,HIGH POINT,NC,(336) 887-3388,27262-2166,TODD,SEN,9,Y,2014,Japanese
59452,Yelp Greendot (Q42022),A & D EXPRESS CHINESE BUFFET,12844 US HIGHWAY 431,GUNTERSVILLE,AL,(256) 486-9396,35976-9309,,,7,Y,,Chinese
59453,Yelp Greendot (Q42022),A & J,333 FLATBUSH AVE STE 2,BROOKLYN,NY,(347) 291-6088,11217-2813,,,,,,Japanese
59454,Yelp Greendot (Q42022),A & P ORIENTAL MARKET,1345 HEATHER ST,SHAKOPEE,MN,(952) 465-0022,55379-3520,,,,,,Chinese
59455,Yelp Greendot (Q42022),A & W SEAFOOD RESTAURANT,7213 RESEDA BLVD,RESEDA,CA,(818) 342-0990,91335-3046,SIANG,AW,1,Y,,Chinese
59456,Yelp Greendot (Q42022),A GOLDEN DRAGON CHINESE RESTAURANT,1950 E FRONT ST,SELMA,CA,(559) 896-0170,93662-3501,SEAN,THOMAS,1,Y,,Chinese
59457,Yelp Greendot (Q42022),A HAPPY FAMILY,1342 BRUNSWICK AVE,TRENTON,NJ,(609) 392-1122,08638-3316,KOOM,CHEM,3,Y,,Chinese
59458,Yelp Greendot (Q42022),A LA MADRE,1210 8TH AVE W,PALMETTO,FL,(941) 999-8016,34221-3833,,,,,,Japanese
59459,Yelp Greendot (Q42022),A MIGHTY THAI & SUSHI,2490 HIGHWAY 101 N,SEASIDE,OR,(503) 739-7085,97138-4352,,,,,,Japanese
59460,Yelp Greendot (Q42022),A PLUS CRAB - LAKE ORION,4975 S BALDWIN RD,LAKE ORION,MI,(248) 622-4368,48359-2159,,,,,,Cajun Seafood
59461,Yelp Greendot (Q42022),A SUSHI EXPERIENCE BY RAY YAMAMOTO,4990 FREEPORT BLVD,SACRAMENTO,CA,(916) 424-2398,95822-2153,TED,OTO,17,Y,,Japanese
59462,Yelp Greendot (Q42022),A TASTE OF HEAVEN,340 SOUTH DR,NATCHITOCHES,LA,(469) 878-8705,71457-5053,,,,,,Cajun Seafood
59463,Yelp Greendot (Q42022),A TASTE OF LOUISIANA,1029 WESTGROVE DR,SAGINAW,TX,(817) 437-4182,76179-3443,,,,,,Cajun Seafood
59464,Google API (Q42022),A Town Wings,720 E ROBINSON AVE,GROVETOWN,GA,(706) 691-4353,30813-2292,SHENG,CHEN,9,Y,2016,Chinese
59465,Yelp Greendot (Q42022),A-TAN ASIAN BISTRO & SUSHI BAR,1528 E COMMON ST,NEW BRAUNFELS,TX,(830) 620-1888,78130-3337,TAN,ASIAN,7,Y,,Japanese
59466,Yelp Greendot (Q42022),A&A 818 BAKERY,922 42ND ST APT 3D,BROOKLYN,NY,(718) 489-8570,11219-1191,,,,,,Chinese
59467,Yelp Greendot (Q42022),A&C SUPERMARKET,3210 S WILMINGTON ST STE 131,RALEIGH,NC,(919) 661-0573,27603-3655,,,,,,Chinese
59468,Google API (Q42022),A&W Seafood Restaurant,7213 RESEDA BLVD,RESEDA,CA,() -,91335-3046,JANE,AW,19,N,,Chinese
59469,Google API (Q42022),A1 Asian Fusion,2071 ADAM CLAYTON POWELL JR BLVD FRNT 1,NEW YORK,NY,(212) 866-3888,10027-4968,XIN W,HUANG,19,N,2019,Chinese
59470,Yelp Greendot (Q42022),A6 CAJUN SEAFOOD,2546 MS-145 UNIT F,SALTILLO,MS,(662) 269-3039,38866,,,,,,Cajun Seafood
59471,Yelp Greendot (Q42022),AAA CRAWFISH AND SEAFOOD,1019 8TH ST,COLFAX,LA,(318) 392-5050,71417-1317,,,,,,Cajun Seafood
59472,Yelp Greendot (Q42022),AARU'S,1108 S MAGNOLIA DR,TALLAHASSEE,FL,(850) 350-0129,32301-4660,,,9,Y,,Chinese
59473,Yelp Greendot (Q42022),AB HAPPY PANDA CHINESE FAST FOOD,838 N HACIENDA BLVD,LA PUENTE,CA,(626) 330-6878,91744-2804,,,,,,Chinese
59474,Yelp Greendot (Q42022),ABBY'S CRAB SHACK,202 WALTON WAY STE 100,CEDAR PARK,TX,(512) 355-1830,78613-7046,ANH,LE,13,Y,,Cajun Seafood
59475,Yelp Greendot (Q42022),ABBY'S CRAB SHACK,9900 S IH 35 FRONTAGE RD,AUSTIN,TX,(512) 579-0105,78748,AHN,LE,3,N,,Cajun Seafood
59476,Yelp Greendot (Q42022),ABC ASIAN BISTRO & SUSHI BAR,4128 EL CAMINO AVE STE 4,SACRAMENTO,CA,(916) 971-9229,95821-6676,FENG,LI,2,Y,,Chinese
59477,Yelp Greendot (Q42022),ABEARS CATERING SERVICES,7605 PARKER RD,HOUSTON,TX,(832) 542-8034,77016-3929,DENECIA,ABEAR,5,Y,,Cajun Seafood
59478,Yelp Greendot (Q42022),ABI SUSHI,510 COURT ST,BROOKLYN,NY,(718) 357-8666,11231-4014,,,,,,Japanese
59479,Yelp Greendot (Q42022),ABIKO CURRY,108 BROAD AVE,PALISADES PARK,NJ,(201) 945-9114,07650-1439,DAEHEE,KANG,10,Y,,Japanese
59480,Yelp Greendot (Q42022),ABIKO CURRY,2 W 32ND ST FRNT 1,NEW YORK,NY,(212) 695-0888,10001-0197,,,7,Y,,Japanese
59481,Yelp Greendot (Q42022),ABIYAKI HIBACHI GRILL,831 E 760 N,LEHI,UT,(801) 815-8197,84043-1331,,,,,,Japanese
59482,Yelp Greendot (Q42022),ABOUT BANGKOK RESTAURANT,6240 CORAL RIDGE DR STE 106,CORAL SPRINGS,FL,(954) 752-1780,33076-3390,JOHN,DZUNG,11,Y,,Japanese
59483,Yelp Greendot (Q42022),ABSOLUTE THAI-SUSHI,800 KENILWORTH DR STE 816,TOWSON,MD,(410) 881-9100,21204-2201,,,,,,Japanese
59484,Yelp Greendot (Q42022),ABSOLUTELY SUSHI,9929 DISCOVERY BLVD,MANASSAS,VA,(703) 420-2028,20109-4000,,,,,,Japanese
59485,Yelp Greendot (Q42022),ABUNDANCE CULINARY,1455 W 29TH ST,CLEVELAND,OH,(216) 912-8203,44113-2970,JEREMY,UMANSKY,8,Y,,Chinese
59486,Yelp Greendot (Q42022),ABURI SUSHI,3396 30TH ST,SAN DIEGO,CA,(619) 892-7210,92104-4535,ANAHI,RODRIGUEZ,7,Y,,Japanese
59487,Yelp Greendot (Q42022),ACADIAN COAST,PO BOX 1047,RICHMOND,TX,(713) 432-9651,77406-0027,,,,,,Cajun Seafood
59488,Yelp Greendot (Q42022),ACE SUSHI,6000 J ST UNIVERSITY ENTERPRISES,SACRAMENTO,CA,(916) 278-6376,95819,,,2,Y,,Japanese
59489,Yelp Greendot (Q42022),ACME OYSTER HOUSE,90 SEASCAPE DR,MIRAMAR BEACH,FL,(850) 460-7773,32550-3974,LUCIEN,GUNTER,60,Y,,Cajun Seafood
59490,Yelp Greendot (Q42022),ACME OYSTER HOUSE,216 E 24TH AVE,GULF SHORES,AL,(251) 424-1783,36542-3146,KAREN,BURKETT,100,N,,Cajun Seafood
59491,Yelp Greendot (Q42022),ACME OYSTER HOUSE,724 IBERVILLE ST,NEW ORLEANS,LA,(504) 522-5973,70130-2324,KEVIN,ARMANTROUT,9,Y,,Cajun Seafood
59492,Yelp Greendot (Q42022),ACME OYSTER HOUSE,3535 PERKINS RD STE 100,BATON ROUGE,LA,(225) 906-2372,70808-2290,EXCELLE,BUTLER,23,N,,Cajun Seafood
59493,Yelp Greendot (Q42022),AFC,731 W MARKET ST,TROY,OH,(937) 339-7774,45373-3003,,,,,,Japanese
59494,Yelp Greendot (Q42022),AFC SUSHI,9020 W THOMAS RD,PHOENIX,AZ,(623) 872-6200,85037-3234,JOE,FIMBRES,12,N,,Japanese
59495,Yelp Greendot (Q42022),AFC SUSHI,3827 CULVER CTR,CULVER CITY,CA,(866) 467-8744,90232-3365,,,,,,Japanese
59496,Yelp Greendot (Q42022),AFC SUSHI,2900 GEER RD RALEY SUPERMARKET,TURLOCK,CA,(209) 483-4825,95382-1142,,,,,,Japanese
59497,Yelp Greendot (Q42022),AFC SUSHI,16625 362ND AVE,SANDY,OR,(503) 668-2300,97055-9247,CHRIS,STURDY,105,N,,Japanese
59498,Yelp Greendot (Q42022),AFC SUSHI,5502 POINT FOSDICK DR,GIG HARBOR,WA,(503) 797-5750,98335-1725,,,,,,Japanese
59499,Yelp Greendot (Q42022),AFC SUSHI @ FRED MEYER,21045 BOTHELL EVERETT HWY,BOTHELL,WA,(425) 398-7000,98021-8405,OLIVIA,ANDERSON,36,N,,Japanese
59500,Yelp Greendot (Q42022),AFURI IZAKAYA - BEAVERTON,12555 SW 1ST ST,BEAVERTON,OR,(503) 336-0027,97005-0546,TAICHI,ISHIZUKI,30,N,,Japanese
59501,Yelp Greendot (Q42022),AGAVE MEXICAN GRILL & CANTINA,2810 E MILTON AVE STE 101,YOUNGSVILLE,LA,(337) 857-6660,70592-6664,,,9,Y,,Cajun Seafood
59502,Yelp Greendot (Q42022),AGÇÖSHI BOWL,1605 S HOOVER ST STE 109,LOS ANGELES,CA,(213) 748-3188,90006-4957,,,6,Y,,Chinese
59503,Google API (Q42022),Ah-Loy Bamboo,200 W MAIN ST,GAYLORD,MI,(989) 732-4160,49735-1347,KABOO,YANG,19,N,,Chinese
59504,Yelp Greendot (Q42022),AHI SUSHI,650 NEWMAN SPRINGS RD STE D,LINCROFT,NJ,(732) 268-8133,07738-1722,,,,,,Japanese
59505,Yelp Greendot (Q42022),AHI SUSHI,9160 US HIGHWAY STE 9,ARLINGTON,TN,(901) 552-5809,38002,,,,,,Japanese
59506,Yelp Greendot (Q42022),AHI SUSHI AND SAKE BAR,2586 BIRDSEYE CREEK RD,GOLD HILL,OR,(541) 474-5554,97525-6768,INYOMAN,TUNAS,7,Y,,Japanese
59507,Google API (Q42022),Aikou,9 MOUNT BETHEL RD,WARREN,NJ,(908) 834-8278,07059-5603,JONATHAN,WANG,9,N,,Chinese
59508,Yelp Greendot (Q42022),AIRI POKE & RAMEN,21372 US HIGHWAY 59 STE 300,NEW CANEY,TX,(281) 354-8900,77357-1909,,,,,,Japanese
59509,Yelp Greendot (Q42022),AIRPORT ITALIAN DELI&SUSHI,8101 AIRPORT BLVD STE C,HOUSTON,TX,(713) 641-2900,77061-4138,JAY,KHAKHERIA,5,Y,,Japanese
59510,Yelp Greendot (Q42022),AIRPORT PARKING AT DOUBLETREE SAN JOSE,2050 GATEWAY PL,SAN JOSE,CA,(408) 453-4000,95110-1011,DAVID,COSTAIN,315,N,,Japanese
59511,Yelp Greendot (Q42022),AJA ASIAN CUISINE & LOUNGE,1736 ROUTE 206,SKILLMAN,NJ,(908) 262-2512,08558-1913,,,,,,Japanese
59512,Yelp Greendot (Q42022),AJI,3809 N BDWY,CHICAGO,IL,(773) 904-8205,60613,,,,,,Japanese
59513,Yelp Greendot (Q42022),AJI ICHIBAN,5714 GLENWAY AVE,CINCINNATI,OH,(513) 347-3400,45238-2106,VICENTA,DELEON,8,Y,,Japanese
59514,Yelp Greendot (Q42022),AJI SUSHI & GRILL - NEWCASTLE,13176 NEWCASTLE COMMONS DR,NEWCASTLE,WA,(425) 572-6504,98059-3335,,,7,Y,,Japanese
59515,Yelp Greendot (Q42022),AJI SUSHI & HIBACHI GRILL,5624 DAVID DR,KENNER,LA,(225) 647-2266,70065-1532,JIM,BERGER,8,Y,,Japanese
59516,Google API (Q42022),AJI SUSHI INC,519 3RD AVE FRNT 5,NEW YORK,NY,(212) 686-2055,10016-4764,DAVID,LIU,19,N,,Chinese
59517,Yelp Greendot (Q42022),AJIDA MONGOLIAN & RAMEN,2056 S POKEGAMA AVE,GRAND RAPIDS,MN,(218) 999-5760,55744-4223,,,,,,Japanese
59518,Yelp Greendot (Q42022),AJS GRAB N GO,559 HIGHWAY 2227,SOMERSET,KY,(606) 872-4422,42503-1583,,,,,,Cajun Seafood
59519,Yelp Greendot (Q42022),AJS GRAYTON BEACH,63 DEFUNIAK ST,SANTA ROSA BEACH,FL,(850) 231-4102,32459-5842,SAM,MONTALTO,18,Y,,Japanese
59520,Google API (Q42022),Akagi Japanese Restaurant,1754 CENTRAL PARK DR APT F,OKEMOS,MI,(517) 347-7333,48864-1258,YI,JIANG,4,N,2002,Chinese
59521,Yelp Greendot (Q42022),AKAME NIGIRI AND SAKE,1707 MASSACHUSETTS AVE STE 2,LEXINGTON,MA,(781) 538-6581,02420-5318,,,,,,Japanese
59522,Yelp Greendot (Q42022),AKI SUSHI & ASIAN FUSION,410 W GRAND PKWY S STE 505,KATY,TX,(281) 574-7910,77494-8361,,,7,Y,,Chinese
59523,Yelp Greendot (Q42022),AKIRA,359 MILL ST,EUGENE,OR,(458) 205-8288,97401-2411,,,,,,Japanese
59524,Yelp Greendot (Q42022),AKIRA BACK,233 NE 2ND AVE,DELRAY BEACH,FL,(561) 739-1708,33444-3705,,,,,,Japanese
59525,Yelp Greendot (Q42022),AKO BY KENAKI,1401 PENNSYLVANIA AVE SE,WASHINGTON,DC,(240) 224-7189,20003-4939,,,8,Y,,Japanese
59526,Yelp Greendot (Q42022),AKUMA RAMEN & SUSHI BAR,16051 BOLSA CHICA ST,HUNTINGTON BEACH,CA,(714) 846-6951,92649-2406,,,1,Y,,Japanese
59527,Yelp Greendot (Q42022),AL+ŹSIA RESTAURANT,7204 CENTRAL AVE,SAINT PETERSBURG,FL,(727) 345-9701,33707-1118,YENWEN,HSU,12,Y,,Chinese
59528,Yelp Greendot (Q42022),ALICE FOOD MART KRISPY KRUNCHY CHICKEN EXXONMOBIL,620 S HWY 281 BUS,ALICE,TX,(361) 664-5220,78332,FARIDA,SANGLIWALA,7,Y,,Cajun Seafood
59529,Yelp Greendot (Q42022),ALL ABOUT CHA- NORMAN,3750 W MAIN ST STE 6A,NORMAN,OK,(405) 561-7171,73072-4662,,,2,Y,,Japanese
59530,Yelp Greendot (Q42022),ALL SAVORY VEGAN,1743 COLORADO BLVD,LOS ANGELES,CA,(424) 285-3354,90041-1348,,,,,,Chinese
59531,Yelp Greendot (Q42022),ALL THAT SUSHI AND ROLLS,2850 LAWRENCEVILLE SUWANEE RD STE F1,SUWANEE,GA,(770) 862-4994,30024-2952,,,,,,Japanese
59532,Yelp Greendot (Q42022),ALLEN'S CREOLE,2501 AVENUE D,DICKINSON,TX,(281) 967-7360,77539-5024,,,,,,Cajun Seafood
59533,Yelp Greendot (Q42022),ALLIGATOR ALLEY NATIVE FLORIDA TAP ROOM,830 E OAKLAND PARK BLVD STE 101,OAKLAND PARK,FL,(954) 226-2371,33334-2774,GLADYS,TORRES,1,Y,,Cajun Seafood
59534,Yelp Greendot (Q42022),ALLIGATOR SOUL,114 BARNARD ST STE LOWR,SAVANNAH,GA,(912) 232-7899,31401-3281,JANNA,MARTIN,13,Y,,Cajun Seafood
59535,Yelp Greendot (Q42022),ALOHA KRAB,1701 US HIGHWAY 22 W,WATCHUNG,NJ,(908) 490-1600,07069-6512,,,2,Y,,Cajun Seafood
59536,Yelp Greendot (Q42022),ALOHA KRAB CAJUN SEAFOOD BOIL,16626 JAMAICA AVE,JAMAICA,NY,(718) 262-9988,11432-5241,,,9,Y,,Cajun Seafood
59537,Yelp Greendot (Q42022),ALOHA SPECIALTIES,12 E OGDEN AVE,LAS VEGAS,NV,(702) 382-0338,89101-2943,DEBRA,YAMAGATATOMA,11,Y,,Japanese
59538,Yelp Greendot (Q42022),ALOHA TERIYAKI,12819 CRENSHAW BLVD,HAWTHORNE,CA,(310) 973-0755,90250-5510,SAM,SHANE,2,Y,,Japanese
59539,Yelp Greendot (Q42022),ALPINE ORIENTAL EXPRESS,3000 W HIGHWAY 90,ALPINE,TX,(432) 837-1159,79830-4154,,,8,Y,,Chinese
59540,Yelp Greendot (Q42022),ALVIN'S CUISINE,6404 W COLONIAL DR,ORLANDO,FL,(407) 578-7440,32818-6820,KAMROON,BAKSH,7,Y,,Chinese
