Snowball Map,Dupe (Y/N),Match Brizo 1,Match Brizo 2,Match Print 1,Name,CBE Contact Last Name,CBE Contact First Name,Price,Category,Phone Number,Street,City,State,Zip,CBE Location Employment Size Description,CBE Vendor Ethnicity Description
96316,FALSE,-,-,-,Love Eat Asian Restaurant,,,null,Chinese,(902) 867-3531,232 Main St,Antigonish,NS,B2G 2C2,,
,TRUE,-,(902) 872-2888,-,Little Asia,,,$,Chinese,(902) 872-2888,382 Main Street,Antigonish,NS,B2G 2C6,,
,TRUE,29 Westville Rd,-,-,Joe Chows Restaurant,CHOW,JOE,$$,Chinese,(902) 752-4686,29 Westville Rd,New Glasgow,NS,B2H 2J2,5-9,Chinese
96317,FALSE,-,-,-,Mamatsu Fresh Asian Kitchen,,,$$,Chinese,(902) 755-6601,205 Provost St,New Glasgow,NS,B2H 2R2,1-4,Unknown
,TRUE,344 Prince St,-,-,Chow Family Restaurant,LAU,MARY,$$,Chinese,(902) 895-9256,344 Prince St,Truro,NS,B2N 1E2,10-19,German
96318,FALSE,-,-,-,China Rose Cafe,TAM,PETER,$,Chinese,(902) 895-8588,870 Prince St,Truro,NS,B2N 1H4,1-4,"Khmer (Kampuchean, Cambodian)"
96319,FALSE,-,-,-,Yoka Japanese & Thai,,,$$,Japanese,(902) 893-9111,911 Prince St Unit 1,Truro,NS,B2N 1H6,,
,TRUE,138 Arthur St,-,-,Golden Wu Restaurant,ZHOU,THAO,null,Chinese,(902) 895-0888,138 Arthur St,Truro,NS,B2N 1Y1,1-4,Vietnamese
,TRUE,23 Inglis Pl,-,-,Ho Ho Wok Restaurant,HUENG,JACK,null,Chinese,(902) 893-4646,23 Inglis Pl,Truro,NS,B2N 4B5,5-9,Unknown
,TRUE,39 Main St,-,-,King Lam Restaurant,CHEN,NEO,null,Chinese,(902) 893-8785,39 Main St,Bible Hill,NS,B2N 4G5,5-9,Chinese
96320,FALSE,-,-,-,Wung Express,HU,ALISON,null,Chinese,(902) 895-2448,245 Robie St Unit D,Truro,NS,B2N 5N6,1-4,Chinese
96321,FALSE,-,-,-,China Star Chinese Cuisine,,,null,Chinese,(902) 860-1118,1470 Road,Fall River,NS,B2T 1J1,,
,TRUE,1241 Cole Harbour Rd,-,-,Fong's Restaurant,FONG,FRED,$$,Chinese,(902) 435-3225,1241 Cole Harbour Rd,Dartmouth,NS,B2V 1N1,20-49,Chinese
,TRUE,900 Cole Harbour Rd,-,-,Tan's Family Restaurant,TAN,JEAN,$$,Chinese,(902) 462-8267,900 Cole Harbour Rd,Dartmouth,NS,B2V 2J5,5-9,Chinese
96322,FALSE,-,-,-,Sushi101,,,null,Japanese,(902) 469-8888,912 Cole Harbour Rd Unit 13,Dartmouth,NS,B2V 2J5,,
,TRUE,516 Pleasant St,-,-,Taste Garden,,,null,Chinese,(902) 463-3530,516 Pleasant St,Dartmouth,NS,B2W 1A4,,
96323,FALSE,-,-,-,Hk Wong's Palace Restaurant,SEWART,ERYN,$$,Chinese,(902) 464-1717,644 Portland Street,Dartmouth,NS,B2W 2M3,10-19,English
96324,FALSE,-,-,-,Mizu All You Can Eat,LIN,RYAN,$$,Japanese,(902) 462-3333,644 Portland Street,Dartmouth,NS,B2W 6C4,10-19,Chinese
,TRUE,100 Main St,-,-,New Panda Buffet,WONG,VINCENT,$$,Chinese,(902) 405-8700,100 Main St,Dartmouth,NS,B2X 1R5,5-9,Chinese
,TRUE,-,(902) 405-5551,-,Jukai Japanese & Thai,,,null,Japanese,(902) 405-5551,49 Kings Wharf Pl Unit 103-104,Dartmouth,NS,B2Y 0C7,5-9,Unknown
96325,FALSE,-,-,-,Side Hustle,,,null,Cajun Seafood,(902) 469-5899,21 Portland St,Dartmouth,NS,B2Y 1H1,,
,TRUE,136 Portland St,-,-,May Garden,BONANG,ANNA,$$,Chinese,(902) 469-2226,136 Portland St,Dartmouth,NS,B2Y 1J1,5-9,Unknown
96326,FALSE,-,-,-,Biscuit Lips Lunch,HUNG,QUAN,null,Chinese,(902) 466-9633,40 Alderney Drive,Dartmouth,NS,B2Y 2N5,1-4,Chinese
96327,FALSE,-,-,-,Fan's Restaurant,CHOI,TONG,$$,Chinese,(902) 469-9165,451 Windmill Road,Dartmouth,NS,B3A 1J9,20-49,Chinese
,TRUE,184 Wyse Rd,(902) 405-5550,-,Genji Sushi,,,$$,Japanese,(902) 405-5550,184 Wyse Rd,Dartmouth,NS,B3A 1M9,20-49,Unknown
,TRUE,32 Albro Lake Rd,-,-,Yum Yum,,,$,Chinese,(902) 463-1071,32 Albro Lake Rd,Dartmouth,NS,B3A 3X8,,
96328,FALSE,-,-,-,Sukiyaki,,,null,Japanese,(902) 463-3530,21 Micmac Blvd,Dartmouth,NS,B3A 4N3,,
96329,FALSE,-,-,-,Wok Box,BEAUDRY,ARNY,$$,Cajun Seafood,(902) 406-1965,55 Gale Terr,Dartmouth,NS,B3B 0C5,10-19,French
96330,FALSE,-,-,-,Sushi Nami Royale,LIU,CRYSTAL,$$,Japanese,(902) 481-9081,149 Hector Gate,Dartmouth,NS,B3B 0E5,1-4,Chinese
,TRUE,171 Hector Gate,-,-,Modern Orchid,,,$$,Cajun Seafood,(902) 480-8866,171 Hector Gate,Dartmouth,NS,B3B 0E5,,
96331,FALSE,-,-,-,Fancy Chopsticks,,,$$,Chinese,(902) 281-3330,324 Station Road,Porters Lake,NS,B3E 1J9,,
96332,FALSE,-,-,-,Bai Wei Grill Bar,WANG,HONG,$$,Chinese,(902) 405-7088,1075 Queen Street,South End,NS,B3H 1M5,5-9,Vietnamese
96333,FALSE,-,-,-,Jacky's Cafe,TANG,JACKY,$,Chinese,(902) 446-4060,5991 Spring Garden Road,Halifax,NS,B3H 1Y6,1-4,Chinese
,TRUE,5972 Spring Garden Rd,-,-,Jean's Chinese Restaurant,KONG,JEAN,$$,Chinese,(902) 444-7776,5972 Spring Garden Rd,Halifax,NS,B3H 1Y7,10-19,Chinese
96334,FALSE,-,-,-,Noodle Sushi Tofu,,,null,Chinese,(),1209 Marginal Rd,Halifax,NS,B3H 4P8,,
96335,FALSE,-,-,-,Cheelin Express,,,null,Chinese,(902) 489-6815,1209 Marginal Rd,Halifax,NS,B3H 4P8,,
96336,FALSE,-,-,-,Sushi Jet,,,$$,Japanese,(902) 420-7888,1577 South Park St,Halifax,NS,B3J 0J1,,
96337,FALSE,-,-,-,Tsujiri,,,null,Japanese,(902) 429-9922,1605 South Park St,Halifax,NS,B3J 0J1,,
,TRUE,5190 Morris St,-,-,Buta Ramen,,,$$,Japanese,(902) 422-0245,5190 Morris St,Halifax,NS,B3J 1B3,10-19,Unknown
,TRUE,5171 Salter St,-,-,In Spring Fine Asian Fusion Cuisine,,,null,Chinese,(902) 429-5888,5171 Salter St,Halifax,NS,B3J 1E5,5-9,Unknown
96338,FALSE,-,-,-,Hokkai Sushi,,,null,Japanese,(902) 406-0899,5187 Salter St,Halifax,NS,B3J 1E6,,
96339,FALSE,-,-,-,Panda Chinese Food,,,null,Chinese,(902) 423-4768,5657 Spring Garden Rd,Halifax,NS,B3J 1G9,,
96340,FALSE,-,-,-,The Captain's Boil,,,$$$,Cajun Seafood,(902) 407-5999,5680 Spring Garden Rd,Halifax,NS,B3J 1H5,,
96341,FALSE,-,-,-,Fujiyama Restaurant,,,$$,Japanese,(902) 492-1133,5244 Blowers St,Halifax,NS,B3J 1J7,5-9,Unknown
96342,FALSE,-,-,-,Jiang Nan Restaurant,,,null,Chinese,(902) 425-1818,5234 Blowers Street,Halifax,NS,B3J 1J7,,
96343,FALSE,-,-,-,Chinese Food aka Far East Cuisine,,,$,Chinese,(902) 423-7478,"5201 Duke St, Scotia Square",Halifax,NS,B3J 1N9,,
,TRUE,1649 Bedford Row,-,-,The Great Wall Restaurant,WONG,PATRICK,$$,Chinese,(902) 422-6153,1649 Bedford Row,Halifax,NS,B3J 1T1,10-19,Chinese
,TRUE,1588 Granville St,-,-,Broth House,,,null,Cajun Seafood,(902) 423-5854,1588 Granville St,Halifax,NS,B3J 1X1,,
96344,FALSE,-,-,-,Qiu Brothers Dumplings,QIU,LEON,$$,Chinese,(902) 407-3055,1335 Barrington St,Halifax,NS,B3J 1Y9,5-9,Chinese
96345,FALSE,-,-,-,Way2Roll,,,null,Japanese,(902) 407-2405,1715 Barrington St,Halifax,NS,B3J 2A4,,
96346,FALSE,-,-,-,Kyo Kitchen & Bar,PICKETT,EMILY,null,Japanese,(902) 431-0477,1715 Barrington St,Halifax,NS,B3J 2A4,20-49,English
,TRUE,1576 Argyle St,-,-,Dharma Sushi Restaurant,YAMAMOTO,HIDEKI,$$,Japanese,(902) 425-7785,1576 Argyle St,Halifax,NS,B3J 2B3,5-9,Japanese
,TRUE,1598 Argyle St,-,-,Tokyoroll,,,null,Japanese,(902) 405-8886,1598 Argyle St,Halifax,NS,B3J 2B3,,
,TRUE,1995 Brunswick St,(902) 407-0956,-,Roll It Up,,,null,Japanese,(902) 407-0956,1995 Brunswick St,Halifax,NS,B3J 2G8,,
96347,FALSE,-,-,-,Sushi Nami Royale,,,$$,Japanese,(902) 422-1636,1458 Queen St Suite 102,Halifax,NS,B3J 2H7,5-9,Unknown
,TRUE,1520 Queen St,-,-,Minato Sushi Japanese Restaurant,KO,JAMES,$$,Japanese,(902) 420-0331,1520 Queen St,Halifax,NS,B3J 2H8,5-9,Chinese
,TRUE,1304 Birmingham St,-,-,Happy Garden Chinese,ZHANG,XUN,$,Chinese,(902) 423-8882,1304 Birmingham St,Halifax,NS,B3J 2J2,5-9,Chinese
,TRUE,1589 Dresden Row,-,-,A Taste of the East,,,$$,Chinese,(902) 423-5558,1589 Dresden Row,Halifax,NS,B3J 2K4,,
96348,FALSE,-,-,-,Happy Veal Hot Pot,,,$$$,Chinese,(902) 423-2777,1333 S Park Street,Halifax,NS,B3J 2K9,5-9,Unknown
96349,FALSE,-,-,-,Tai Pan,,,$,Chinese,(),1505 Barrington St,Halifax,NS,B3J 3K5,,
96350,FALSE,-,-,-,Ko-Doraku,MAMABE,SHUJI,$,Japanese,(902) 423-8787,5640 Spring Garden Road,Halifax,NS,B3J 3M7,1-4,Japanese
,TRUE,1535 Dresden Row,-,-,Kanpai Izakaya,,,null,Japanese,(902) 435-4489,1535 Dresden Row,Halifax,NS,B3J 3T1,,
96351,FALSE,-,-,-,May Garden Chinese,,,null,Chinese,(902) 455-2222,1983 Upper Water Street,Halifax,NS,B3J 3Y5,,
,TRUE,-,(902) 406-1051,-,Sea Smoke Restaurant,BOOSEY,ZOE,null,Japanese,(902) 406-1051,1477 Lower Water Street,Halifax,NS,B3J 3Z4,50-99,English
96352,FALSE,-,-,-,Studio East Food+Drink,,,$$,Cajun Seafood,(902) 422-8096,6021 Cunard St,Halifax,NS,B3K 1E5,5-9,Unknown
,TRUE,5688 Almon St,-,-,Sushi Shige Japanese Restaurant,,,null,Japanese,(902) 422-0740,5688 Almon St,Halifax,NS,B3K 1T6,,
,TRUE,5537 Young St,-,-,Hamachi Kita,,,$$,Japanese,(902) 431-5543,5537 Young St,Halifax,NS,B3K 1Z7,,
96353,FALSE,-,-,-,Silver Dragon Restaurant,WONG,CHIU,$,Chinese,(902) 455-2800,2827 Robie St,Halifax,NS,B3K 4P3,1-4,Chinese
,TRUE,3559 Robie St,-,-,Loong 7 Chinese Restaurant,DONG,CECILIA,$$,Chinese,(902) 404-9677,3559 Robie St,Halifax,NS,B3K 4S7,5-9,Vietnamese
,TRUE,6184 Quinpool Rd,-,-,Bomber Chicken,,,null,Japanese,(),6184 Quinpool Rd,Halifax,NS,B3L 1A3,,
96354,FALSE,-,-,-,Truly Tasty,,,$$,Chinese,(902) 407-4047,6214 Quinpool Rd,Halifax,NS,B3L 1A3,5-9,Unknown
,TRUE,6253 Quinpool Rd,-,-,Shanxi Paomo Chinese Restaurant,,,null,Chinese,(902) 407-3888,6253 Quinpool Rd,Halifax,NS,B3L 1A4,,
96355,FALSE,-,-,-,Wasabi House,PENG,COOPER,$$,Japanese,(902) 429-3300,6403 Quinpool Rd,Halifax,NS,B3L 1A7,5-9,Chinese
96356,FALSE,-,-,-,Noodle Nami,,,null,Japanese,(902) 406-0203,6450 Quinpool Rd,Halifax,NS,B3L 1A8,5-9,Unknown
96357,FALSE,-,-,-,Look Ho Ho Restaurant,CHU,STELLA,$$,Chinese,(902) 455-5479,6420 Bayers Rd,Halifax,NS,B3L 2B1,10-19,Chinese
,TRUE,7001 Mumford Rd,-,-,Shanghai 360,,,null,Chinese,(902) 229-2791,7001 Mumford Rd,Halifax,NS,B3L 2H8,,
96358,FALSE,-,-,-,ManchuWOK,,,$,Chinese,(),6828 Cook Ave,Halifax,NS,B3L 2J8,,
96359,FALSE,-,-,-,Fresh Happy Healthy Sushi Restaurant,ZHANG,LEI,$$,Japanese,(902) 429-9858,75 Peakview Way Unit 106,Halifax,NS,B3M 0G2,5-9,Chinese
96360,FALSE,-,-,-,The Orient Chinese Cuisine,,,$$,Chinese,(902) 443-3288,227 Bedford Hwy,Halifax,NS,B3M 2J9,,
96361,FALSE,-,-,-,Best Choice Chinese Food Service,,,$$,Chinese,(902) 457-1818,28 Titus Street,Halifax,NS,B3M 2N4,1-4,Unknown
96362,FALSE,-,-,-,Sushi Nami Royale,,,$$,Japanese,(902) 457-3874,278 Lacewood Drive,Halifax,NS,B3M 3N8,,
96363,FALSE,-,-,-,Fong Sing Restaurant,DANG,DUC,$$,Chinese,(902) 443-2010,278 Lacewood Drive,Halifax,NS,B3M 3N8,,
96364,FALSE,-,-,-,Arirang Korean & Japanese Restaurant,,,$$,Japanese,(902) 405-4650,30 Farnham Gate Road,Halifax,NS,B3M 3W8,,
96365,FALSE,-,-,-,Canton Garden Restaurant,ZHANG,JING,$$,Chinese,(902) 406-7788,30 Farnham Gate Road,Halifax,NS,B3M 3W8,,
,TRUE,287 Lacewood Dr,-,-,Zen Chinese Cuisine,FUNG,PAULA,$$,Chinese,(902) 457-6868,287 Lacewood Dr,Halifax,NS,B3M 3Y7,10-19,Chinese
96366,FALSE,-,-,-,Sushi Jet,,,null,Chinese,(902) 443-7878,103-3400 Dutch Village Rd,Halifax,NS,B3N 0E7,,
,TRUE,3665 Dutch Village Rd,-,-,Fung Wah Restaurant,LI,SAM,$$,Chinese,(902) 455-3366,3665 Dutch Village Rd,Halifax,NS,B3N 2T1,5-9,Chinese
,TRUE,189 Herring Cove Rd,-,-,Golden Fortune Restaurant,,,$$,Chinese,(902) 454-2888,189 Herring Cove Rd,Halifax,NS,B3P 1K9,5-9,Unknown
,TRUE,324 Herring Cove Rd,-,-,Hop Sing Restaurant,TSE,YUET,$,Chinese,(902) 477-5671,324 Herring Cove Rd,Halifax,NS,B3R 1V4,10-19,Chinese
,TRUE,347 Herring Cove Rd,-,-,New Wing Wah,YU,JAIN,$$,Chinese,(902) 475-2828,347 Herring Cove Rd,Halifax,NS,B3R 1V5,5-9,Korean
96367,FALSE,-,-,-,Sushi Cove,,,null,Japanese,(902) 480-9999,355 Herring Cove Rd,Halifax,NS,B3R 1V9,,
96368,FALSE,-,-,-,Mizu,,,null,Japanese,(902) 876-6666,212 Chain Lake Dr Unit 5,Halifax,NS,B3S 1C5,,
96369,FALSE,-,-,-,Sheng's Chinese Restaurant,GUAN,YAO XHENG,null,Chinese,(902) 446-3838,6-362 Lacewood Dr,Halifax,NS,B3S 1M7,1-4,Chinese
