lead_channel_split,first_mel_month,total_mel,total_mql,total_sql,total_onboarded
Client Referral - Unknown,2024-07,1.1666666666666665,1.1666666666666665,1.1666666666666665,0
Client Referral - Unknown,2024-08,8.500000000000002,7,4,1.6666666666666665
Client Referral - Unknown,2024-09,1,1,1,0.5
Client Referral - Unknown,2024-11,0.5,0,0,0
Client Referral - Unknown,2024-12,1,0.5,0.5,0.5
Client Referral -Marketing,2024-02,0.8333333333333333,0.8333333333333333,0.8333333333333333,0
Client Referral -Marketing,2024-03,4.833333333333333,2.333333333333333,1.3333333333333333,0
Client Referral -Marketing,2024-04,1.5,1.5,1,0
Client Referral -Marketing,2024-05,1.3333333333333333,1.3333333333333333,0.8333333333333333,0
Client Referral -Marketing,2024-06,1.5,0.5,0.5,0.5
Client Referral -Marketing,2024-07,1.5,1.5,1,0
Client Referral -Marketing,2024-08,0.5,0,0,0
Client Referral -Marketing,2024-09,1,1,0,0
DM,2024-01,126.83333333333334,33.833333333333336,20,6.5
DM,2024-02,36.5,29.5,19.5,3
DM,2024-03,319.16666666666674,64.5,42,8.333333333333332
DM,2024-04,30.666666666666668,28.666666666666664,20.166666666666664,7.5
DM,2024-05,43.833333333333336,33.33333333333333,20.833333333333332,5.333333333333333
DM,2024-06,47.5,34.5,18.5,3.5
DM,2024-07,42.33333333333333,34.33333333333333,20.833333333333336,8.5
DM,2024-08,33.666666666666664,24.166666666666668,16.666666666666668,10.166666666666666
DM,2024-09,35.33333333333333,28.333333333333336,12,3.5
DM,2024-10,22,14,3.5,0.5
DM,2024-11,48.5,31.5,13,4
DM,2024-12,36.16666666666667,27.833333333333332,14.5,6.5
Display,2024-03,1,1,0,0
Display,2024-09,5.5,3.5,0,0
Display,2024-10,1,0,0,0
Display,2024-12,0.5,0,0,0
Douyin,2024-01,4.333333333333333,1.3333333333333333,1.3333333333333333,0
Douyin,2024-02,4.333333333333333,4.333333333333333,2.333333333333333,0
Douyin,2024-03,7.5,4,3,0
Douyin,2024-04,2.5,1.5,1.5,0.5
Douyin,2024-05,2.5,1.5,1.5,0.5
Douyin,2024-06,1,1,0,0
Douyin,2024-07,2,1,1,0
Douyin,2024-08,3,1,1,1
Douyin,2024-09,0.25,0.25,0,0
Douyin,2024-10,1,1,0,0
Douyin,2024-12,0.5,0,0,0
Email,2024-01,0.5,0,0,0
Email,2024-03,2,0,0,0
Email,2024-05,17.5,0,0,0
Email,2024-06,59.5,0.5,0,0
Email,2024-07,4,0,0,0
Email,2024-08,4,0,0,0
Email,2024-10,41,1.5,0.5,0
Email,2024-11,75,0,0,0
Email,2024-12,43,0,0,0
Enterprise,2024-01,2,0,0,0
Enterprise,2024-03,1,0,0,0
Enterprise,2024-10,0.5,0,0,0
Enterprise,2024-11,1,0,0,0
Facebook/Instagram,2024-10,1,0,0,0
Field Trip,2024-07,0.5,0.5,0,0
Field Trip,2024-10,0.5,0.5,0.5,0.5
Google,2024-01,15.833333333333332,11.833333333333334,3.8333333333333335,1
Google,2024-02,17,12,7,1
Google,2024-03,106.16666666666666,58.166666666666664,16.166666666666664,3.333333333333333
Google,2024-04,40.83333333333333,14,5,2
Google,2024-05,56.166666666666664,26.666666666666668,4.666666666666667,1.3333333333333333
Google,2024-06,75,52.5,12.5,3.5
Google,2024-07,45.5,24.5,9.5,5
Google,2024-08,70.66666666666667,33.666666666666664,17.666666666666668,10.166666666666666
Google,2024-09,64.58333333333333,32.916666666666664,14.333333333333332,5.5
Google,2024-10,53,33.5,3,1
Google,2024-11,41.5,26.5,6.5,3
Google,2024-12,51.5,11.5,4,1.5
Hiring Post,2024-01,1.3333333333333333,0.8333333333333333,0.5,0
Hiring Post,2024-02,2.5,1.5,1,1
Hiring Post,2024-03,442,22.5,13.5,0
Hiring Post,2024-04,3.333333333333333,2.333333333333333,1,0.5
Hiring Post,2024-05,5,0.5,0,0
Hiring Post,2024-06,5,1.5,1,0.5
Hiring Post,2024-07,2.833333333333333,0.8333333333333333,0.8333333333333333,0.5
Hiring Post,2024-08,1.5,1,1,0.5
Hiring Post,2024-09,2.333333333333333,0.8333333333333333,0.3333333333333333,0
Hiring Post,2024-10,1,0.5,0,0
Hiring Post,2024-11,0.5,0,0,0
Hiring Post,2024-12,0.5,0.5,0,0
Influencer,2024-01,1,0,0,0
Influencer,2024-02,5,1,1,0
Influencer,2024-03,2,0,0,0
Influencer,2024-04,0.5,0.5,0.5,0
Influencer,2024-05,2,0,0,0
Influencer,2024-07,1,0,0,0
Influencer,2024-08,28,2,1,1
Influencer,2024-09,13,0,0,0
Influencer,2024-10,4.5,0,0,0
Influencer,2024-12,1,1,0,0
Newspaper,2024-04,2,0,0,0
Organic - Direct,2024-01,4.5,2.5,2.5,0.5
Organic - Direct,2024-02,8,7,4,2
Organic - Direct,2024-03,16.5,5,4,0
Organic - Direct,2024-04,5,0,0,0
Organic - Direct,2024-05,3.5,0,0,0
Organic - Direct,2024-06,1.5,0.5,0,0
Organic - Direct,2024-07,4.5,1,0.5,0
Organic - Direct,2024-08,2.333333333333333,1,1,1
Organic - Direct,2024-09,0,0,0,0
Organic - Direct,2024-11,1,1,1.5,1.5
Organic - Direct,2024-12,0.5,0.5,0,0
Outdoor Ads,2024-03,1.5,0.5,0.5,0
Previous Clients,2024-03,1,1,1,0
Previous Clients,2024-04,1,1,1,1
Previous Clients,2024-08,0.5,0.5,0.5,0.5
Radio,2024-03,2,0,0,0
Radio,2024-04,1,0,0,0
Raw Data Upload,2024-04,2,1.5,0,0
Raw Data Upload,2024-05,11.5,0,0,0
Raw Data Upload,2024-06,34,0,0,0
Raw Data Upload,2024-07,2.5,0,0,0
Raw Data Upload,2024-08,1,0,0,0
Raw Data Upload,2024-09,0.5,0.5,0.5,0.5
Raw Data Upload,2024-10,5.5,0,0,0
Raw Data Upload,2024-11,12,0,0,0
Raw Data Upload,2024-12,8,0,0,0
Redbook,2024-01,14,1,1,1
Redbook,2024-02,3.333333333333333,0,0,0
Redbook,2024-03,3,1,1,0
Redbook,2024-04,10,1,1,1
Redbook,2024-05,11,5,5,5
Redbook,2024-06,12.5,4.5,2,2
Redbook,2024-07,18.5,5,2,0
Redbook,2024-08,16.833333333333336,8.833333333333332,2.8333333333333335,0.8333333333333333
Redbook,2024-09,9.5,7.5,3.5,1
Redbook,2024-10,5,4,4,1
Redbook,2024-11,10.5,3,0,0
Redbook,2024-12,17.5,3.5,0.5,0.5
Restaurant Journal,2024-03,1,0,0,0
Restaurant Journal,2024-10,0.5,0.5,0,0
SEO_Chinese,2024-01,12,10,3.5,0
SEO_Chinese,2024-02,14.5,8,5.5,2
SEO_Chinese,2024-03,32.166666666666664,19.5,14.5,7
SEO_Chinese,2024-04,20.833333333333336,9.5,5.5,1
SEO_Chinese,2024-05,34,23,7,2.5
SEO_Chinese,2024-06,42,31,7,4.5
SEO_Chinese,2024-07,12,4,2,0
SEO_Chinese,2024-08,25.833333333333332,3.3333333333333335,0.3333333333333333,0.3333333333333333
SEO_Chinese,2024-09,22.833333333333332,7,2,0
SEO_Chinese,2024-10,28,12.5,5,3
SEO_Chinese,2024-11,9,5.5,3,2.5
SEO_Chinese,2024-12,8,1,0,0
SEO_English,2024-02,1.8333333333333333,1,0,0
SEO_English,2024-03,9,3,0,0
SEO_English,2024-04,8,0,0,0
SEO_English,2024-05,5.5,0.5,0.5,0
SEO_English,2024-06,17,0,0,0
SEO_English,2024-07,13.5,1,0,0
SEO_English,2024-08,14.5,1,0,0
SEO_English,2024-09,21.5,3,2,0
SEO_English,2024-10,21,3,1,1
SEO_English,2024-11,40,8.5,0.5,0
SEO_English,2024-12,18.5,6.5,1.5,0.5
SMS,2024-01,28.333333333333332,21.333333333333332,12.5,5
SMS,2024-02,24.5,18.5,10.5,2
SMS,2024-03,790.8333333333333,56.166666666666664,40.166666666666664,11.833333333333332
SMS,2024-04,114.83333333333331,26.999999999999996,14.666666666666668,1
SMS,2024-05,121.16666666666666,27.166666666666668,17.833333333333332,6.333333333333333
SMS,2024-06,149.5,34,20,6
SMS,2024-07,52.16666666666667,22.166666666666664,10.666666666666668,1.5
SMS,2024-08,48.833333333333336,20,12.5,2
SMS,2024-09,46.25,20.083333333333336,8.333333333333334,2.5
SMS,2024-10,39.5,19.5,14,5
SMS,2024-11,49.5,32.5,14,5
SMS,2024-12,40.16666666666667,17.333333333333332,9.5,2.5
Telemarketer,2024-01,122,9,5,1.5
Telemarketer,2024-02,4,2.5,0.5,0.5
Telemarketer,2024-03,255.83333333333334,56.33333333333333,36.83333333333333,5.5
Telemarketer,2024-04,6.333333333333333,4.833333333333333,4,1
Telemarketer,2024-05,3.6666666666666665,2.6666666666666665,1.8333333333333333,0
Telemarketer,2024-06,10,3.5,2.5,1
Telemarketer,2024-07,4,2,0.5,0
Telemarketer,2024-08,4.999999999999999,2.6666666666666665,1.6666666666666665,0.8333333333333333
Telemarketer,2024-09,0.8333333333333333,0.8333333333333333,0.5,0
Telemarketer,2024-10,17,1,0.5,0
Telemarketer,2024-11,46.5,1.5,1,1
Telemarketer,2024-12,22.5,0,0,0
WeChat - Ads,2024-01,290,21,15.5,2
WeChat - Ads,2024-02,265.33333333333337,31.333333333333332,19.333333333333332,3
WeChat - Ads,2024-03,290,23,16,2
WeChat - Ads,2024-04,221.5,25,13,6.5
WeChat - Ads,2024-05,319.3333333333333,12.833333333333332,7,1
WeChat - Ads,2024-06,182.83333333333331,9.833333333333334,4.5,1.5
WeChat - Ads,2024-07,155,13.5,7.5,1
WeChat - Ads,2024-08,145.83333333333331,12.833333333333334,3.8333333333333335,1
WeChat - Ads,2024-09,101.5,8.5,5.5,2.5
WeChat - Ads,2024-10,158.5,11.5,4,1
WeChat - Ads,2024-11,270.5,13,3,1.5
WeChat - Ads,2024-12,140.33333333333334,8,4,2
WeChat - Blog,2024-01,20,4,3,0
WeChat - Blog,2024-02,6.5,2,2,0
WeChat - Blog,2024-03,13,2,2,1
WeChat - Blog,2024-04,16,4,3,1
WeChat - Blog,2024-05,13,2,1,1
WeChat - Blog,2024-06,15.5,1.5,0.5,0.5
WeChat - Blog,2024-07,13,3,3,2
WeChat - Blog,2024-08,8,1,1,1
WeChat - Blog,2024-09,8,1,1,1
WeChat - Blog,2024-10,3,0,0,0
WeChat - Blog,2024-11,9,2,0.5,0.5
WeChat - Blog,2024-12,6,2.5,1,0
WeChat - Other,2024-01,11,2,2,1
WeChat - Other,2024-02,20.5,2,2,1
WeChat - Other,2024-03,7,0,0,0
WeChat - Other,2024-04,0.5,0.5,0.5,0
WeChat - Other,2024-05,0.5,0.5,0.5,0
WeChat - Other,2024-06,1,0,0,0
WeChat - Other,2024-08,4.5,1.5,1.5,1.5
WeChat - Other,2024-09,5,1,1,0
WeChat - Other,2024-10,1,0,0,0
WeChat - Other,2024-11,3.5,2.5,1,0
WeChat - Other,2024-12,6,2,1,0
WeChat - Video,2024-01,1,0,0,0
WeChat - Video,2024-06,2,0,0,0
Youtube - Ads,2024-03,4,1,1,0
Youtube - Ads,2024-06,0.5,0.5,0.5,0
Youtube - Ads,2024-09,5.333333333333333,1,0,0
Youtube - Ads,2024-10,1,0,0,0
Youtube - Ads,2024-11,0.5,0,0,0
Youtube - Channel,2024-02,1.3333333333333333,0,0,0
Youtube - Channel,2024-03,2,0,0,0
Youtube - Channel,2024-04,2,0,0,0
Youtube - Channel,2024-06,2,0,0,0
Youtube - Channel,2024-07,2,0,0,0
Youtube - Channel,2024-08,1,0,0,0
Youtube - Channel,2024-10,1,0,0,0
Youtube - Channel,2024-12,3,0,0,0
,2024-02,4,0,0,0
,2024-03,1,0,0,0
