UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Q3'24,Q4'24
R81055,FT,0,0,0,0,0,"23,893","28,137","28,868","24,336","24,803","25,633","25,583","22,299"
R81057,FT,"29,732","23,211","22,809","24,054","27,802","21,998","24,265","22,305","34,898","21,067","23,082","21,723","20,742"
R81058,FT,"28,448","25,453","21,899","22,266","21,171","21,426","19,634","19,141","16,969","17,412","17,530","16,773","17,034"
R81061,FT,"9,102","9,647","6,593","5,857",0,0,0,0,"5,134",0,0,0,0
R81063,FT,"26,473","23,545","24,477","25,727","26,095","24,971","27,618","22,994","26,170","23,117","23,847","24,119","28,202"
R81065,FT,"29,506","31,873","30,776","46,560","40,576","46,517","44,768","47,564","49,175","40,464","42,162","43,296","41,847"
R81067,FT,"7,091","6,561","4,561","4,887","5,053","5,273","4,468","3,284",0,0,0,0,0
R81068,FT,"25,716","28,567","26,818","28,809","31,474","33,087","39,084","37,549","37,184","39,006","40,343","38,810","38,307"
R81072,FT,"15,021","18,713","16,573","16,128","14,269","19,111","18,443","16,498","15,168","17,078","15,003","16,213","15,927"
R81073,FT,"14,089","17,172","16,075","13,675","13,648","14,275","14,841","15,273","12,611","13,620","12,476","9,304","12,751"
R81075,FT,"15,928","8,600","7,101","8,780","10,225","8,732","7,667","10,141","17,040","10,186","9,344","8,425","10,231"
R81076,FT,"32,517","36,138","32,645","32,578","30,163","33,872","33,679","32,036","32,493","28,756","30,550","30,862","29,371"
R81081,FT,"29,980","21,714","20,715","27,625","33,315","20,521","22,131","19,549","21,272","15,570","18,303","17,322","19,751"
R81082,FT,"14,505","16,382","13,985","14,218","12,012","13,903",0,0,0,0,0,0,0
R81086,PT,"15,047","13,286","13,772","13,763","14,260","11,577","12,861","14,392","12,742",0,0,0,0
R81087,PT,"37,310","38,386","39,254","39,198","34,729","39,137","44,951","38,558","17,601","15,908","17,900","19,749","5,208"
R81088,FT,"33,116","33,119","35,816","33,674","39,542","36,265","41,668","36,444","38,374","41,032","45,599","45,784","40,545"
R81091,FT,"12,148","11,636","11,579","13,231","13,602","12,780","13,074","12,867","13,324","13,294",0,"11,398","11,568"
R81095,FT,"42,091","57,561","62,856","58,610","48,994","61,472","59,806","64,661","58,284","66,145","57,232","57,732","53,812"
R81096,FT,"45,916","54,767","52,855","48,448","38,353","43,491","40,950","40,359","33,471","36,912","34,670","30,780","30,775"
R81098,FT,"17,313","13,942","15,066","14,202","16,288","12,879","12,811","13,582","15,677","9,958","10,654","10,362","10,067"
R81099,PT,"10,720","5,177","4,869","3,632","9,865","4,570","2,400","4,031","5,812",0,0,0,0
R81101,FT,"14,996","14,394","14,165","14,121","14,236","13,373","13,138","14,085","12,817","13,024","11,341","11,437","12,064"
R81103,FT,"16,173","20,254","14,353","17,887","13,708","17,229","17,537","17,001","14,339","16,630","14,045","1,544","16,517"
R81107,FT,"30,542","23,986","21,689","23,083","27,960","23,236","22,947","24,114","36,410","26,109","24,612","24,069","25,010"
R81109,FT,"27,269","28,548","23,435","23,915","23,112","24,500","23,209","24,194","31,569","25,117","24,485","22,178","24,920"
R81112,FT,"32,224","28,396","21,873","24,509","26,806","24,176","23,632","28,139","23,519","22,921","23,818","24,287","27,232"
R81116,FT,"20,921","20,214","19,074","19,448","18,907","18,963","19,438","19,344","23,095","20,183","17,164","20,796","19,507"
R81117,FT,0,"1,288","4,742","3,767","3,221","3,737","4,219","2,374","3,085","4,172","3,306","3,061",648
R81118,FT,"16,381","7,629",0,0,0,"5,530","4,027",0,0,0,0,0,0
R81119,FT,"9,390","8,342","7,392","7,526","9,324","8,935","9,186","8,828","7,855","6,616","6,669","6,256",0
R81121,FT,"30,089","31,198","35,365","35,768","28,472","29,770","34,892","35,569","40,873","30,465","34,267","33,851","33,813"
R81122,FT,"8,288","8,071","7,658","10,593","9,567","9,234","9,456","10,208","10,610","2,291","1,453","1,971","1,608"
R81125,FT,"37,828","27,947","27,189","27,887","32,424","27,249","26,924","28,754","41,920","25,409","23,407",0,0
R81127,FT,"32,528","36,433","33,781","33,686","31,905","34,192","32,738","37,377","31,951","35,430","30,657","32,687","30,206"
R81128,PT,710,"8,548","12,295","13,651","25,267","11,289","4,243","10,761","7,659","8,508","11,833","12,580","11,602"
R81132,FT,"22,863","23,195","24,524","23,914","19,487","24,315","25,991","27,013","29,228","28,872","27,000","30,485","28,937"
R81133,FT,"26,638","29,855","30,500","31,319","13,082","15,665","13,824","16,015","14,100","21,337","22,427","27,578","24,471"
R81135,FT,"21,439","21,950","17,765","19,761","17,527","17,415","15,251","16,655","14,816","16,315","15,163","1,424","7,246"
R81136,FT,"21,371","16,967","15,537","16,670","14,320","12,355","13,231",0,0,0,0,0,0
R81139,FT,"8,999","8,029","7,287","6,624","9,990","7,611","8,379","5,898","9,539","5,421","5,740",0,0
R81151,FT,"26,775","24,903","27,224","26,732","25,680","23,396","23,256","22,681","22,736","23,670","24,982","26,780","25,852"
R81152,PT,"21,352","19,693","19,039","20,006","18,518","16,996","18,121","3,656","2,400",0,0,0,0
R81155,FT,"23,149","21,576","22,455","21,395","24,702","22,321","19,742","21,679","19,383","19,775","20,505","20,450","20,153"
R81157,FT,"15,923","10,285","11,005","11,205","11,356","9,034","9,674","9,399","11,224","8,430","8,629","7,976","8,247"
R81158,FT,"13,945","14,819","14,136","12,159","12,271","12,639","13,234","10,785","9,395","10,499","10,884","10,633","11,350"
R81159,FT,"6,130","6,171","4,914","6,334","5,236","4,878","4,899","5,298","4,883","4,890","4,295","7,173","6,906"
R81161,FT,"28,558","38,636","38,123","38,532","32,138","40,185","44,292","48,898","40,653","44,773","41,625","44,402","43,163"
R81162,FT,"22,238","19,251","19,549","16,930","17,946","16,488","15,103","13,478","12,031","11,246","9,659","10,274","7,273"
R81163,FT,"23,633","18,803","17,825","17,568","19,657","16,043","17,299","16,842","17,352",0,0,0,0
R81166,FT,"6,342","7,601","6,478","7,190","14,525","14,613","14,779","15,279","13,099","13,235","13,112","14,437","10,548"
R81167,FT,"42,514","50,609","36,986","38,754","32,058","38,531","36,223","33,881","34,798","37,818","33,731","33,113","29,992"
R81168,FT,"11,211","8,197","8,060","7,599","7,908","7,112","5,959","7,198","6,565","6,249","6,860","6,111","6,501"
R81169,FT,"23,835","24,678","23,618","21,272","16,956","23,561",0,0,0,0,0,0,0
R81171,FT,"26,868","29,207","33,261","25,408","18,815","23,119","27,697","20,548","16,949","19,549","19,911","18,084","20,839"
R81172,FT,773,"28,445","23,624","16,549","20,387","22,208","17,977","17,160","18,089","19,281","18,444","14,141","14,972"
R81177,FT,"26,856","23,502","24,479","22,487","24,918","22,356","22,944","23,409","25,013","20,469","20,446","19,543","15,865"
R81178,FT,0,"9,445","9,887",324,"8,693","8,794","10,048","10,255","8,959","10,104","15,918","15,922","13,801"
R81181,FT,"11,292","9,908","9,639","8,093","11,170","7,941",327,"10,961","4,171","5,888","16,072","12,877","10,969"
R81182,FT,"20,619","22,118","20,203","19,352","15,196","21,269","18,535","22,603","19,870","20,526","23,380","23,429","20,413"
R81183,FT,"44,176","41,961","47,014","42,780","41,333","30,774","34,147","30,138","31,030","23,377","24,716","25,846","26,377"
R81185,FT,"11,656","11,221","12,762","12,410","10,134","10,775",0,0,0,0,0,0,0
R81186,FT,"14,228","11,430","10,289","8,522","8,782","6,257","6,280","6,201","11,955","5,303","5,956","6,459","7,375"
R81191,FT,"10,618","12,526","12,760","11,354","9,328","12,415","12,050","11,088","10,127","12,990","12,696","12,881","12,030"
R81193,PT,"19,962","22,609","19,646","16,637","15,440","20,041","18,865","18,522","16,236","16,071","18,230","17,032","14,809"
R81195,FT,"16,931","15,602","17,264","16,697","15,691","14,305","14,606",0,"13,577","14,103","14,848","13,494","12,676"
R81199,FT,"32,958","29,176","25,257","24,656","31,062","26,579",0,0,0,0,0,0,0
R81201,FT,"21,498","18,322","17,930","17,700","14,836","12,450","12,580","12,486","17,170","9,467","9,416","8,614",648
R81202,FT,"13,807","11,981","13,163","12,010","10,779","10,495","9,436","8,511","10,280","12,235","12,268","12,563","11,633"
R81203,FT,"39,706","53,290","52,016","46,075","43,211","44,647","43,852","44,440","52,706","42,604","39,095","37,455","38,318"
R81205,FT,"45,113","40,943","41,870","42,644","42,496","42,502","39,461","38,641","42,573","38,051","36,542","35,744","40,333"
R81206,FT,"34,909","35,008","27,807","27,043","27,250","22,508","26,478","31,361","27,084","29,564","26,380","24,557","24,135"
R81207,FT,"19,503","25,305","18,466","19,001","15,549","22,650","23,674","22,228","20,273","23,016","21,418","19,431","18,805"
R81208,FT,"5,351","5,421","4,744","4,616","5,980","6,666","5,186","5,889","6,182","5,726","7,288","5,976","6,587"
R81211,FT,"14,550","9,944","8,973","10,006","9,342","8,675","9,107","9,147","14,747","9,640","9,792","10,918","12,327"
R81212,FT,"31,669","25,409","24,155","25,378","30,614","27,312","26,764","26,321","31,902","26,177","26,833","27,881","29,730"
R81213,FT,"18,775","15,278","15,947","16,012","17,011","15,219","14,365","14,661",0,0,0,0,0
R81219,FT,"27,273","25,562","32,426","26,378","29,339","29,447","23,626","32,127","30,687","28,959","25,622","26,319","26,793"
R81222,FT,"9,508","8,205","8,862","9,046","7,993","10,040",0,0,0,0,0,0,0
R81223,FT,"28,432","40,247","32,407","33,378","17,594","23,318","22,057","22,802","23,929","25,492","21,136","23,216","20,600"
R81225,FT,"25,255","28,816","26,752","27,431","26,162","30,648","27,854","27,331","26,988","30,147","24,933","24,274","24,286"
R81226,FT,"41,722","28,654","24,647","23,104","33,216","27,924","26,270","14,863","15,806","13,232","14,609","12,263","18,287"
R81227,FT,"16,810","13,962","17,236","16,370","13,485","12,725","12,456","14,601","20,489","15,844","19,299","15,774","17,096"
R81228,FT,"18,585","16,585","15,391","13,908","15,872","14,102","16,934","14,423","15,140","17,111","15,484","12,911","15,932"
R81229,FT,"35,452","31,267","31,022","31,890","32,396","31,586","32,327","30,445","27,045","28,644","27,897","31,152","25,640"
R81232,FT,"12,742","19,628","15,950","13,099","12,862","13,604","14,479","13,856","13,803","17,154","18,571","15,320","14,075"
R81233,FT,"33,220","41,855","37,449","38,101","32,810","40,093","37,948","34,103","43,316","36,068","33,939","32,388","31,633"
R81235,FT,"44,689","44,365","42,415","42,198","39,990","39,653","39,392","41,083","36,721","44,193","40,156","44,676","40,613"
R81236,FT,"23,369","19,742","20,485","17,642","18,155","18,630","18,554","17,509","14,678","15,638","14,885","9,982",0
R81237,FT,"16,075","11,898","11,595","12,668","14,755","13,085","12,518","12,739","13,670","12,588","11,358","10,447","12,247"
R81238,FT,"7,376","8,068","6,572","6,884","4,821","5,814","5,634","8,473","8,253","7,620","7,299","7,757","7,350"
R81239,FT,653,"24,033","25,263","22,088","20,145","19,950","14,936","15,951","23,811","15,014",0,0,0
R81251,FT,"14,193","12,801","10,988","11,236","13,253","12,520","11,088","11,383","9,903","11,656","12,659","11,989","12,384"
R81252,PT,"11,485","9,864","9,574","9,103","11,842","11,592","10,079","7,157","3,754","4,611","1,200","1,200","10,834"
R81255,FT,"17,404","15,222","15,331","15,111","14,068",0,0,"7,020","20,290","13,319","17,488","13,337","14,858"
R81256,FT,"23,975","19,410","23,167","20,080","16,046","18,188","17,132","20,217","20,860","16,331","20,764","18,741","18,284"
R81257,FT,"14,492","13,777","11,495","10,852","11,516","9,699","7,162","9,651","16,382","8,252","9,393","8,456","9,709"
R81259,FT,"10,486","8,768","8,571","10,402","9,357","8,905","9,238","20,683","17,646","16,913","18,509","16,859","14,935"
R81261,FT,"50,945","44,467","42,510","41,307","39,825","11,747","17,885","12,964","30,660","22,344","20,319","16,844","21,470"
R81262,FT,"24,321","24,774","25,240","23,229","18,396","19,828","19,402","18,774",0,0,0,0,0
R81263,FT,"21,084","18,519","19,338","17,935","18,467","16,110","17,881","18,931","15,089","14,978","14,536","15,887","15,922"
R81265,FT,"48,204","53,235","33,590","35,252","30,569","19,010","17,917","16,808","14,292","15,333","15,749","15,003","12,901"
R81266,FT,"23,808","24,691","23,518","27,013","23,760","26,030","24,932","26,112","23,995","26,013","27,967","29,458","25,102"
R81267,PT,"9,817","9,037","10,929","8,972","8,233","8,510","11,528","9,454","8,425","10,086","11,418","13,850","10,061"
R81269,FT,"58,203","52,777","46,000","46,125","45,709","48,431","44,998","39,883","46,703","42,213","40,245","45,349","41,153"
R81271,FT,"13,990","14,894","13,349","12,678","11,026","10,330","10,785","9,934","9,248","6,323","8,946","8,985",648
R81272,FT,"15,043","18,691","12,440","14,197","15,061","19,531","18,714","18,134","17,805","17,531","16,059","14,716","15,714"
R81273,FT,0,0,0,"15,669","16,862","12,851","12,837","15,153","17,738","13,519","13,013","5,774","1,008"
R81275,FT,"10,787","8,121","7,289","7,290","7,029","5,903","5,707","5,052","6,358","5,243","6,536","6,885","6,064"
R81277,FT,"26,963","21,476","21,117","19,041","18,088","16,274","18,202","17,669","16,229","14,649","17,695","16,939","16,714"
R81278,FT,"18,360","23,035","19,605","22,326","18,670","20,827","18,789","22,787","17,904","21,934","16,824","18,438","14,505"
R81279,PT,"39,332","37,181","36,322","23,725","35,784","33,409","31,450","35,581","32,576","37,342","37,787","1,044","38,790"
R81282,FT,"60,572","58,888","62,636","58,774","59,152","61,601","46,952",0,0,0,0,0,0
R81283,FT,"27,621","27,601","30,925","29,056","25,293","26,621","25,182","25,304","23,710","25,314","26,593","26,013","23,960"
R81285,FT,"52,957","55,247","61,593","66,340","56,668","69,215","64,847","69,053","62,236","61,154","64,797","60,604","56,164"
R81286,FT,"33,708","27,354","26,266","25,570","29,053","23,608","20,821","20,883","25,362","20,066","19,517","18,801","30,559"
R81287,FT,"30,467","37,136","34,887","36,688","32,422","35,928","37,711","37,231","35,346","32,377","32,882","31,565","29,644"
R81288,FT,"16,244","20,265","23,447","18,798","20,294","19,524","16,868","18,644","16,655","18,422","17,202","3,568",0
R81291,FT,"18,873","22,924","21,905","21,060","21,570","22,859","18,698","19,814","17,920","19,104","19,289","18,346","16,584"
R81292,FT,"25,931","25,003","28,467","28,822","23,508","25,794","25,579","24,940","24,150","22,086","25,070","24,798","21,964"
R81293,FT,"18,197","15,886","16,049","15,658","16,376","13,973","14,708","15,494","13,840","11,987","13,910","14,669","13,493"
R81295,FT,"8,396","6,740","7,434","7,311","6,342","5,998","7,220","8,238","7,372","6,563","7,460","7,034","9,367"
R81296,FT,"29,667","21,248","26,214","22,881","28,860","19,328","22,414","23,412","31,087","22,874","24,657","24,924","26,892"
R81297,FT,"9,405","9,496","7,875","9,803","8,880","11,718","12,625","12,971","12,591","15,384","12,724","11,273","12,344"
R81298,FT,"12,935","11,909","9,413","10,884","10,052","8,569",0,0,0,0,0,0,0
R81302,FT,"59,297","43,446","45,685","47,546","54,123","37,600","42,178","42,684","51,146","38,184","40,306","43,444","39,170"
R81303,FT,"19,424","13,926","19,707","21,494","22,005","19,543","21,194","23,309","20,183","20,888","24,069","23,337","20,657"
R81305,FT,"12,614","11,871","9,779","9,310","10,917","9,067","9,114","9,306","14,003","7,874","8,992","9,903","9,221"
R81306,FT,"15,038","12,676","10,436","11,922","11,735","11,772","11,991","11,684","12,952","11,243","11,264","10,878","11,070"
R81307,FT,"80,559","74,214","77,950","70,006","59,170","61,937","66,369","61,896","53,868","56,263","62,470","51,977","51,789"
R81308,FT,"31,195","22,586","20,340","20,461","21,679","19,200","18,885","19,152","23,136","18,300","18,591","18,051","23,034"
R81309,FT,"34,081","33,787","33,669","36,762","34,970","25,973","24,112","22,782","25,927","20,954","21,545","19,960","18,044"
R81311,PT,"15,581","29,057","8,091","10,410","11,682","18,968","7,620","12,352","18,473","11,081","11,060","11,130","9,520"
R81312,PT,0,0,"6,262","6,952","5,481","9,492","5,253","2,400","6,697","5,934","2,400","2,400","25,366"
R81315,PT,"5,732","6,324","6,695","3,124","6,799","7,784","7,436","7,019","8,281","7,996","7,257","6,466","8,081"
R81316,FT,"9,403","7,567","8,018","6,855","6,943","6,821","6,996","7,021","7,273","6,232","6,232","6,232","6,232"
R81317,FT,"25,616","17,907","17,295","8,727","11,111","10,211","6,743","6,943","8,190","6,533","6,551","6,410","6,700"
R81318,FT,"9,138","8,752","7,876","8,089","6,883","7,916","6,253","6,901","10,708","8,893","8,832","9,162","8,573"
R81321,PT,"13,285","34,514","31,479","18,835","30,714","37,063","36,368","33,410","25,815","26,508","14,320","27,022","31,073"
R81323,PT,"31,602","28,864","34,473","43,177","45,755","42,068","46,530","48,590","47,513","44,297","46,573","42,495","25,302"
R81325,PT,"22,517","25,849","17,739","8,481","19,939","22,617","16,690","17,083","16,925","21,269","20,348","15,713","17,302"
R81326,FT,"10,006","24,248","23,753","21,404","23,369","20,797","20,006","17,837","13,762","13,720","14,798","12,527","13,021"
R81327,FT,"8,805","10,519","7,842","6,252","4,775","4,458","14,924",0,"4,789","6,383","5,570","9,118","10,146"
R81328,FT,"8,809","13,853","11,247","10,008","8,495","11,050","9,391","11,870","9,178",0,0,0,0
R81329,FT,"19,995","14,130","16,016","13,546","15,577","12,078","14,449","14,030","12,674",0,0,0,0
R81331,FT,"27,973","19,766","22,026","20,765","22,123","19,102","18,444","19,718","18,088","16,160","19,435","17,803","12,883"
R81333,FT,"21,334","20,398","17,799","17,827","17,062","18,996","20,220","20,521","25,336","19,528","29,951","24,793","23,282"
R81335,PT,"14,373","14,828","14,783",648,"8,056","13,427","5,698","2,400","1,160",653,0,0,0
R81338,FT,"29,038","22,007","26,507","26,597","27,287","23,337","24,647","25,973","22,916","24,103","25,375","23,093","22,786"
R81339,PT,"17,002","12,678","9,850","8,329","8,681","7,693",0,"2,400",0,0,0,0,0
R81352,FT,"28,794","23,488","21,843","23,307","22,761","22,023","20,597","20,839","19,892","19,003","22,656","20,032","20,030"
R81353,FT,"32,157","28,474","29,662","35,221","32,844","32,385","38,265","40,307","38,456","38,853","40,984","42,341","37,727"
R81355,PT,"11,641","5,684","6,062","5,710","17,590","5,061","5,783","6,012","8,466","22,286","21,747","19,005","21,202"
R81356,FT,"30,172","23,706",610,648,400,"22,438","21,772","25,514","33,949","22,144","21,251","22,328","24,363"
R81357,FT,"25,256","24,081","21,065","23,126","26,218","27,360","24,099","22,488","22,770","23,118","18,476","19,468","22,106"
R81358,FT,"22,143","27,246","27,929","28,043","26,233","31,611","34,456","36,761","33,230","32,303","32,312","32,805","30,814"
R81359,PT,"11,088","6,222","5,978","6,985","7,236","5,215","6,200","16,245","8,580","7,251","9,278","7,391","8,188"
R81361,FT,"11,763","16,116","18,963","19,176","16,646","21,331","19,979","21,393","20,118","19,696","22,209","22,048","20,417"
R81362,PT,"14,019","15,190","7,924","14,748","13,819","14,299","15,674","16,100","14,181","14,916","15,893","15,198","12,927"
R81369,FT,"12,176","7,930","8,250","10,679","9,121","9,832","11,588","11,619","12,562","11,126","16,357","12,574","15,224"
R81371,FT,"41,963","36,559","39,292","38,100","32,235","40,024","35,541","32,305","37,645","35,798","35,317","32,897","31,895"
R81372,FT,"23,109","18,525","19,497","17,752","17,976","13,729","14,564","15,282","13,903","11,809","13,791","13,854","12,701"
R81373,FT,"25,661","32,420","40,884","36,411","31,298","39,841","45,184","40,954","35,277","38,783","38,263","36,156","20,168"
R81375,FT,"11,544","6,694","7,351","6,094","10,823","9,088","8,717","5,969","8,387","7,132",0,0,0
R81376,FT,"63,636","62,499","59,841","64,577","59,857","59,418","60,771","59,404","76,248","59,089","60,083","60,400","56,192"
R81378,FT,"20,796","19,767","20,066","18,850","20,005","21,007","19,497","19,028","20,442","18,643","17,483","19,125","20,645"
R81379,FT,"13,724","12,444","7,065","11,705","11,299","11,175","10,847","11,980","16,502","13,448","15,588","14,327","15,990"
R81381,FT,0,0,0,"13,437","12,254","11,120","10,553","12,927","11,537","10,770","9,935",648,"8,713"
R81382,FT,"12,816","13,858","13,110","11,622","10,985","12,610","10,868","10,905","9,033","10,296","10,254","10,890","10,901"
R81383,FT,"32,380","35,337","37,322","27,700","27,058","33,136","36,980","37,536","35,489","37,646","38,316","38,734","36,042"
R81385,PT,"13,717","13,846","8,039","10,513","11,158","10,481","7,653","2,400","8,681","2,400","2,400","8,701","7,703"
R81387,PT,"34,108","36,194","38,607","2,400","36,919","44,572","25,976","30,718","41,005","46,826","25,121","37,631","40,286"
R81388,FT,"27,770","28,268","32,175","27,233","24,274","27,052","28,940","29,316","26,931",0,653,648,648
R81389,FT,"7,903","6,798","9,043","9,507","11,411","9,548","9,606","9,062","8,814",0,0,0,0
R81391,FT,"31,765","38,259","37,172","36,816","31,108","40,655","39,953","44,279","36,830","39,125","43,063","44,016","44,840"
R81392,FT,"41,838","35,503","41,002","45,163","41,398","38,225","40,492","39,256","48,862","38,340","36,444","41,183","44,468"
R81393,FT,"82,406","101,816","98,965","89,135","88,068","104,455","97,459","95,021","115,111","97,622","88,892","84,746","82,096"
R81395,FT,"54,647","60,325","59,371","54,009","53,436","57,591","53,593","57,837","57,290","54,943","43,430","42,919","51,048"
R81396,FT,"51,546","48,575","49,058","49,044","40,114","41,858","43,095","43,173","38,598","41,709","41,583","41,902","35,940"
R81397,FT,"23,570","24,180","29,077","24,754","25,529","24,516","17,894","14,085","19,914","13,009","11,982",0,0
R81399,FT,"16,027","14,778","13,297","12,440","12,158","9,283","11,423","11,548","9,213","10,796","15,234","11,813","10,550"
R81501,FT,"37,406","33,802","32,383","33,921","33,653","38,400","34,619","36,417","35,480","36,699","38,259","39,806","32,823"
R81502,FT,"17,348","15,249","15,124","14,665","14,565","14,825","14,514","10,990","11,341","10,808","11,624",0,0
R81503,FT,"44,705","41,274","41,113","41,355","43,900","36,645","41,203","40,763","51,921","35,792","38,579","16,369","4,477"
R81505,FT,"26,494","27,676","30,337","29,220","26,104","29,796","28,272","30,088","27,916","28,935","29,161","30,514","25,714"
R81507,FT,"35,973","31,558","29,276","27,522","28,868","26,300","27,009","24,833","24,590","21,674","23,550","20,436",0
R81508,PT,"19,603","18,419","14,958","12,035","14,559","10,322","2,400","2,400","2,400","2,400",600,"2,391","1,296"
R81509,FT,"7,477","9,513","8,261","9,396","7,260","9,088","8,650","7,466","10,981","7,769","7,991","7,397","6,589"
R81511,PT,0,0,0,"16,445","13,273","7,533","7,019","8,905","9,710","11,533","18,844","29,455",648
R81512,PT,"18,498","18,824","15,571","14,769","19,106","20,533","17,136","19,195","17,320","26,378","19,331","19,770","17,549"
R81515,FT,"34,424","34,431","35,673","33,499","29,492","27,935","32,031","33,489","29,047","33,409","33,926","32,499","33,388"
R81516,FT,"22,336","20,927","21,413","18,437","20,875","19,175","19,405","17,544","23,098","18,766","19,449","21,905","19,111"
R81517,PT,"7,419","10,904","14,444","11,194","11,325","8,097","8,735","8,336","8,635","10,332","10,589","6,087","4,005"
R81519,FT,"20,599","16,774","16,148","16,528","15,191","14,962","15,251","16,247","13,755","13,486","15,910","15,512","17,144"
R81521,PT,"12,966","19,488","16,992","19,485","15,356","18,162",720,"19,733","17,009","20,043","18,521","15,760","14,494"
R81522,PT,"24,852","20,885","20,129","20,073","19,333","16,853","19,635","20,295","18,590","18,061","19,612","21,017","18,543"
R81523,FT,"77,135","58,985","44,596","43,519","46,858","44,006","43,071","48,349","46,351","42,756","44,604","39,510","58,781"
R81525,FT,"18,711","19,737","19,308","19,756","21,018","32,128","32,690","27,333","21,786","22,479","18,400","20,046","19,770"
R81526,FT,"36,307","31,664","32,821","33,369","31,535","32,741","34,687","38,345","34,956","37,347","39,552","40,046","41,364"
R81529,FT,"14,443","15,479","15,304","13,939","11,496","12,314","14,114","17,026",0,0,0,0,0
R81531,FT,"20,124","22,567","20,341","21,275","16,170","17,135","16,908","17,584","17,039","17,284","17,215","17,173","13,627"
R81532,FT,"18,907","19,380","20,349","19,499","14,895","16,998","23,540","20,712","22,293","24,324","24,066","17,400","18,764"
R81533,PT,"32,458","18,581","2,400","2,400","2,400",0,"2,400","6,248","13,612","10,724","13,164","11,127","9,578"
R81535,FT,"32,388","28,779","30,651","29,094","29,322","28,499","30,061","28,450","27,450","28,232","25,199","26,680","25,292"
R81536,FT,"14,272","15,046","15,211","26,937","24,418","24,619",0,"23,437","25,384","23,681","23,900","22,666","23,900"
R81537,FT,"46,303","28,350","29,869","28,810","40,588","29,261","32,002","32,687","35,028","29,156","34,589","32,536","33,274"
R81538,FT,"23,041","21,595","16,695","14,077","14,739",0,0,0,0,0,0,0,0
R81539,FT,"9,359","8,423","6,153","6,799","7,847","8,841",0,0,0,0,0,0,0
R81551,PT,"26,404","24,960","24,096","26,564","27,020","23,133","23,924","24,549","17,738","29,926","31,321","26,756","17,662"
R81552,FT,"39,116","32,115","32,019","31,657","29,163","27,306","26,807","29,302","48,990","28,707","29,227","28,877","30,611"
