Date,Extension Channel,Channel Collected,Campaign Sent,Campaign_by_Month,Campaign_Tags,Extension Number,Phone,Lead Status,Rejected Reason,Unqualified Reason,SDR,Owner Name,Restaurant Name,Restaurant Number,Cuisine Type,"Pickup/
Delivery",State,前台情况,SF Link
2024-02-07,DM,-,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kelvin,,NA,,中餐,Delivery,NY,"老板名字：谢老板娘
联系方式：(646) 247-9061 
回拨时间：9pm EST 之后
餐类型：中餐，外卖
电话订单：-
前台情况：自己接
送餐情况： 老板自己送，也有让ubereat,doordash送
客户来源： Inbound
促销活动： -
note: 简单介绍我们的服务。说了送餐需要搭配接电话的服务。老板娘说很久以前有咨询过，想要用。但是因为之前没太大的需求。如果目前能够帮他送餐，能够帮到餐馆。介绍了送餐的价值。老板娘说餐馆都是老板在处理，他只是帮忙询问。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005uB7eMAE/view
2024-02-06,DM,-SMS,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,Oklahoma,"老板名字：张老板
联系方式：9186299588
回拨时间：ASAP  Oklahoma
餐类型    ：美式中餐
电话订单：20单左右
前台情况：
送餐情况：第三方 - doordash grabhub ubereat
客户来源：inbound
促销活动：SMS
Notes (痛点等）：收到广告 想了解送餐怎么收费，简单介绍了需要接电话+送餐，老板想了解怎么收费",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKIRnEAO/view
2024-02-06,DM,-,DM,Febuary,NA,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,missed，CB twice CNA,NA
2024-02-06,DM,-,DM,Febuary,NA,,,Unqualified,NA,Duplicate,Sean,,NA,,NA,NA,NA,陈老板娘 昨天Inbound Qualified ，已经联系ailin跟进,NA
2024-02-06,DM,-,DM,Febuary,NA,,,Unqualified,NA,Current Client,Sean,,R86875,,NA,NA,NA,2月1号刚签进来 收到广告 有送电脑 问他能不能有,NA
2024-02-06,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,日餐店,Pickup,加州,"老板名字：Steven
联系方式：6262153860
回拨时间：ASAP
餐类型    ：日餐店  加州
电话订单：20-30单
前台情况：自己接 没有请人
送餐情况：第三方 doordash ubereat
客户来源：inbound
促销活动：DM- 按摩椅
Notes (痛点等）：收到广告 打进来咨询 简单介绍了接电话和DE服务 想了解怎么收费",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001zSPleEAG/view
2024-02-05,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,Delivery,Minnesota,"老板名字：陈老板娘
联系方式：6122278856
回拨时间：ASAP  Minnesota
餐类型    ： 美式中餐 30年老板
电话订单：pickup 20单+ Delivery 40单+
前台情况：自己接
送餐情况：有请师傅，第三方 - Beyondmenu ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板娘想了解我们怎么收费，目前电话是自己接但是年纪大了 。简单介绍了送餐服务 比较偏向用回自己的drive，老板娘想了解 客人取消单子/题刷卡方面的问题",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005lZHDMA2/view
2024-02-05,DM,DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Kiera,,NA,,buffet,Pickup,TX,"Inbound Qualified
老板名字：王老板娘
联系方式：6822694022
回拨时间：尽快 - 德州
餐类型    ： Buffet
电话订单：-
前台情况：自己和另一个人轮流
送餐情况：没送餐，有网络订单beyondmenu
客户来源：Inbound - DM
促销活动：MacBook + 试用 + 短信
Notes (痛点等）：德州Buffet店，目前都是来取，Ms王在前台接电话，她不在的时候有另一个人来接；老板娘想了解我们怎么收费，大概怎么接电话
SFDC链接：https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005lzgHMAQ/view",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005lzgHMAQ/view
2024-02-04,DM,-,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Eelin,,NA,,NA,NA,NA,call nack but busy mention no time and hang up,NA
2024-02-03,-,DM，WeChat - Ads,Campaign Mapping,Febuary,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,"奶茶店,炸鸡店",Delivery,Texas,"老板名字：卢老板
联系方式：9728147455 (Texas)
回拨时间：ASAP
餐类型：奶茶店,炸鸡店
电话订单：40-50单
前台情况：自己接
送餐情况：doordash,ubereat
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板收到广告和看到微信想了解我们的服务，两三家餐馆，大概讲解了怎么操作，老板咨询客人下单后客人的信息是否会记录在我们系统里面，还是能共享客人的信息？老板想到以后有客人信息以后可以发广告给客人。机器怎么安装？是怎么帮餐馆打广告？ 想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005eJsIMAU/view
2024-02-03,WeChat - Ads,DM,WeChat - Ads,Febuary,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,炸鸡店,NA,NY,"老板名字：陈老板
联系方式：(347) 935-2341 (NY)
回拨时间：ASAP
餐类型：炸鸡店
电话订单：-
前台情况：-
送餐情况：-
客户来源：Inbound
促销活动：-
Notes (痛点等）：收到广告想了解我们的服务和收费，餐馆3月多才开张。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005eMrpMAE/view
2024-02-03,DM,DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,VA,"老板名字：陈老板
联系方式：3476546665（VA)
回拨时间：ASAP
餐类型：中餐
电话订单：没有统计
前台情况：-
送餐情况：doordash
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：收到广告，大概了解怎么操作。有些客人比较喜欢付现金，咨询送餐能不能付现金？刚和第三方合作送餐。建议PT开始先， 想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKKbsEAG/view
2024-02-02,-,-DM,NA,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,utah,"老板名字：sherly
联系方式：3852589236
回拨时间：ASAP
餐类型    ：美式中餐 堂吃 utah
电话订单：不确定
前台情况：自己接 没有请人
送餐情况：第三方 - doordash
客户来源：inbound
促销活动：DM - 免费试用 ，苹果产品
Notes (痛点等）：以为我们是online平台  解释了我们是代接电话服务和送餐 ，解释后老板娘说只想要DE不要VP 已经解释需要绑定一起 简单介绍了2种DE的收费方式 ，感觉老板娘对我们服务没有很感兴趣 说不能带给他新客户 已经解释我们服务内容， 但是老板娘想了解接电话怎么收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005axd3MAA/view
2024-02-02,-,-DM,NA,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,Sushi,Pickup,FL,"老板名字：David
联系方式：4074319878
回拨时间：ASAP
餐类型    ：Sushi FL
电话订单：50单左右
前台情况：请人接
送餐情况：pickup，第三方 - doordash ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：简单介绍了我们服务，老板想了解我们接电话是怎么收费的",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005b5QtMAI/view
2024-02-01,Google,-DM,Google,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,铁板快餐 hibachi,NA,FL,"老板名字：林老板
联系方式：9175399460
回拨时间：ASAP  FL
餐类型    ：铁板快餐 hibachi (刚接手说以前这家店老板也用食客通)
电话订单：刚开门  不多
前台情况：请人接
送餐情况：第三方 -
客户来源：inbound
促销活动：DM - 免费试用
Notes (痛点等）：有请前台 但是现在新店生意不稳定 请人浪费钱，老板想了解如果加入食客通最快多久能上先线 ，promotion和机器是怎么给，老板有2家餐馆 另一家电话order比较多 如果接的好另一家也让我们接",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005WHdyMAG/view
2024-02-01,DM,-DM,DM,Febuary,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,日餐,Pickup,idoha,"老板名字：陈老板
联系方式：9172749091
回拨时间：ASAP 老板说先发短信给他在和他约时间
餐类型    ：日餐 idoha
电话订单：20+单
前台情况：自己接
送餐情况：没有请师傅送餐，第三方 - doordash uberaet
客户来源：inbound
促销活动：DM - 免费试用·
Notes (痛点等）：老板说一直收到我们DM 信箱都满了，打来询问我们是做什么的 简单介绍了接电话和DE，老板问怎么收费。老板说先发短信给他在和他约时间",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005WnIuMAK/view
2024-01-30,-,-DM,WeChat - Ads,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,外卖,Delivery,IA,"老板名字：金老板娘
联系方式：3192338833
回拨时间：ASAP
餐类型    ：外卖 IA
电话订单：30-40单 周末50-60单+
前台情况：-
送餐情况：有请师傅，第三方 - doordash ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板娘想了解接电话+送餐怎么收费 也简单介绍了。老板娘说看看我们送餐划不划算 因为目前自己请的送餐员需要发工资 也不太方便。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKIBbEAO/view
2024-01-29,-,-DM,DM,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐外卖,NA,Maryland,"老板名字：Jason
联系方式：2406018989
回拨时间：ASAP
餐类型    ：美式中餐外卖 Maryland
电话订单：50单以上
前台情况：有请人
送餐情况：
客户来源：inbound
促销活动：DM
Notes (痛点等）：老板想先了解我们费用 来做个考虑看看划不划算 如果划算就用我们服务不清人了",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005LNpyMAG/view
2024-01-29,-,-DM,DM,January,NA,,,Inbound Qualified,NA,NA,Eelin,,YOAN MING GARDEN,,中餐外卖,Delivery,NA,"老板名字：陈小姐
餐馆：YOAN MING GARDEN
回拨时间; 10PM
州：NY
联系方式：
-SHOP: (212) 426-9545
-MOBILE：6462514659
餐类型：中餐外卖
电话订单：70-80
前台情况：自己接
送餐情况： 来取+送餐 （自己送）
客户来源：INBOUND
促销活动：30 days free trial+ APPLE PRODUCT
NOTE：电话量多了，自己处理不来
SFDC LINK:  https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKFEcEAO/view",NA
2024-01-28,-,DM,Mkt_General_All_migration,January,NA,,,Inbound Qualified,NA,NA,Eelin,,CHING'S CHINESE KITCHEN,,中餐,Pickup,TX,"老板名字：林
餐馆：CHING'S CHINESE KITCHEN
回拨时间;  ASAP
州：TEXAS
联系方式：
-SHOP: (210) 681-1593
-MOBILE： (210) 367-4938
餐类型：中餐
电话订单：20-30
前台情况：自己接
送餐情况： 来取
客户来源：INBOUND
促销活动：30 days free trial
NOTE：老板看到广告， 想了解VP+DE
SFDC LINK:  https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKIXrEAO/view",NA
2024-01-27,-,DM,Campaign Mapping,January,NA,,,Unqualified,NA,Duplicate,Eelin,,SKY Dragon Restaurant,,中餐,NA,NA,customer call in request call now,NA
2024-01-27,-,DM,SMS,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,中餐外卖,NA,Nebraska,"老板名字：林老板
联系方式：9173464289
回拨时间：ASAP
餐类型    ：中餐外卖
电话订单：不清楚
前台情况：有请人 不稳定
送餐情况：第三方 - 没有
客户来源：inbound
促销活动：DM - 免费试用 机票 广告
Notes (痛点等）：老板想了解优惠情况，说前台不稳定 各种原因，想了解我们服务 介绍费用大概7% 具体需要看餐馆模式和菜单 待会联系老板",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000005ER3tMAG/view
2024-01-26,-,DM/ TMK,SMS,January,NA,,,Inbound Qualified,NA,NA,Eelin,,CHAN'S CHINESE FOOD,,中餐,Pickup,CA,老板要了解VP+DE价钱,"老板名字：陆老板 （粤语）
回拨时间; ASAP
州：CA
联系方式：(559) 457-9419
餐类型：中餐外卖
电话订单：超过50单
前台情况：自己接
送餐情况： 来取
客户来源：Inbound
促销活动：30 days free trial
NOTE：老板要了解VP+DE价钱
SFDC LINK: https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKEc4EAG/view"
2024-01-25,-,-DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,NA,"老板名字：陈老板娘
联系方式：3476128745
回拨时间：ASAP
餐类型    ：美式中餐 NY
电话订单：30单左右
前台情况：自己接
送餐情况：第三方 doordash ubereat
客户来源：inbound
促销活动：DM - 免费试用
Notes (痛点等）：老板娘想了解我们接电话和送餐怎么收费 如果划算的话都交给我们做",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000056AufMAE/view
2024-01-25,-,-DM,Mkt_WeChatBlogs_WeChat_General,January,NA,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,WeCom Qualified ， yaning 跟进中,NA
2024-01-25,-,-DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,Oishi,,中日餐,NA,Clarksville,"老板名字：林老板
联系方式：3122566428
回拨时间：ASAP
餐类型    ：中日餐
电话订单：不确定
前台情况：
送餐情况：第三方 doordash ubereat
客户来源：inbound
促销活动：DM
Notes (痛点等）：前台忙不过来 所以想让我们接电话 ，也想让我们打下广告 。想了解怎么收",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021Na90EAC/view
2024-01-25,-,-DM,Mkt_Email_Personal_Jan2024,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,海鲜餐,NA,Mississippi,"老板名字：曾老板娘
联系方式：6019884287
回拨时间：ASAP
餐类型    ：海鲜餐 Mississippi
电话订单：不确定 
前台情况：自己接
送餐情况：第三方 - doordash ubereat
客户来源：inbound
促销活动：DM - 免费试用
Notes (痛点等）：生意不稳定 有时候忙的电话接不过来 对PT比较感兴趣 老板娘想老板怎么收费如果划算会考虑用我们",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000056dAHMAY/view
2024-01-25,-,DM,Mkt_DM_Snowflake_2024JanV1,January,jan_brizo_us,,,Rejected,Is ICP but Interested in DE Only,NA,Kiera,,NA,,NA,NA,Toronto,收到传单想了解送餐，Toronto mall food court；告知没有加拿大送餐，说不合适了,NA
2024-01-24,-,-DM,Mkt_SEO_Internal_AllTraffic,January,NA,,,Inbound Qualified,NA,NA,Sean,,wing station,,炸鸡 和 hibachi,NA,NA,"老板名字：翁老板
联系方式：2129200587
回拨时间：ASAP
餐类型    ：炸鸡 和 hibachi
电话订单：100-200单 有2条线 1条线给Qmenu
前台情况：自己也有
送餐情况： 第三方平台 - uber doordash
客户来源：Inbound
促销活动：DM - 免费试用
Notes (痛点等）：老板以前联系我们好几次 说他的menu我们做不了，目前用着Qmenu 老板对Qmenu 不满意 说很多印度人接，想尝试我们服务 餐馆 2条线 打算1条给Qmenu 1条给食客通 做个尝试",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKNm5EAG/view
2024-01-24,-,-DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,铁板,NA,NA,"老板名字：陈老板娘
联系方式：5618098455
回拨时间：ASAP
餐类型    ：商场里面的  铁板
电话订单：没有电话order
前台情况：-
送餐情况：pickup ， 第三方 - ubereat doordash
客户来源：inbound
促销活动：DM - 免费试用 ，广告 ，礼蓝
Notes (痛点等）：老板娘说餐馆太忙 所以之前把店的电话cancel了，想了解接电话和送餐服务费用。如果送餐时间太久客人取消餐 怎么处理。有询问老板是否担心开通食客通后没电话单的问题 老板娘感觉不太担心 说之前是太忙 所以都不做电话order",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000020hwR1EAI/view
2024-01-24,-,-DM -,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,NEW GARDEN CHINESE RESTAURANT,,美式中餐外卖,Delivery,滨州,"老板名字：刘老板娘
联系方式：2152065869
回拨时间：ASAP
餐类型   ：美式中餐外卖 滨州
电话订单：20-30单
前台情况：早上老板娘和送餐师傅接，晚上儿子会过来帮忙接
送餐情况：有请师傅 ， 第三方 doordash ubereat
客户来源：inbound
促销活动：DM - 免费试用
Notes (痛点等）：老板娘想了解代接电话服务和送餐怎么收费，已经简单介绍怎么操作的。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKJVQEA4/view
2024-01-24,-,-DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,亚洲餐,NA,Carolina,"老板名字：Tommy 温
联系方式：8645176387   Tommyweng168@gmail.com
回拨时间：明天 下午2.30
餐类型    ：亚洲餐
电话订单：20-30单
前台情况：
送餐情况：第三方 - doordash ubereat
客户来源：inbound
促销活动：DM - 免费试用  ，机票
Notes (痛点等）：用着chinese menu代接电话服务合作7年 之前charge 3% 现在4%，想试试看我们服务 介绍了代接电话服务 6.99%-8+%。老板说先发资料给他email 明天 下午2.30联系他",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKCwnEAG/view
2024-01-24,-,-DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,中日餐,Pickup,Montana,"老板名字：Tina
联系方式：4067947749
回拨时间：ASAP Montana
餐类型    ：中日餐
电话订单： 不确定
前台情况：有请人接
送餐情况：没请人送餐，第三方 - doordash ubereat
客户来源：Inbound
促销活动：DM - 免费试用
Notes (痛点等）：简单介绍了操作 大概说了费率7%-8.+%，老板娘有多家餐馆 其中一家餐馆想试用我们服务",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000052aCfMAI/view
2024-01-23,-,-DM,Mkt_DM_Snowflake_2024JanV1,January,jan_brizo_us,,,Inbound Qualified,NA,NA,Sean,,NA,,日本餐,Pickup,Maryland,"老板名字：Andy
联系方式：2023613372
回拨时间：ASAP Maryland
餐类型    ：日本餐
电话订单：不确定
前台情况：老板自己接
送餐情况： ，第三方平台 - ubereat  doordash
客户来源：Inbound
促销活动：DM - 免费试用
Notes (痛点等）：老板想了解送餐服务 说很多客人打到餐馆要求送餐 自己请人不划算。已经解释送餐需绑定接电话 。等等打给老板解释费率和怎么操作",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000004yInmMAE/view
