UNIQUE_CODE,TENURE_IN_COMPLETE_MONTHS
R82902,27
R82917,0
R83391,6
R83722,20
R88712,18
R83189,4
R85109,21
R87616,0
R82027,11
R87125,4
R86802,2
R82057,0
R86305,0
R88691,55
R81115,0
R83132,26
R85373,3
R82102,1
R88619,0
R85978,21
R86507,0
R89199,1
R87582,4
R88578,
R82107,4
R86637,7
R85636,0
R86655,3
R85926,0
R85309,0
R85537,7
R81265,58
R85886,6
R86535,1
R87161,4
R82522,2
R89169,0
R88363,37
R82551,5
R86639,0
R83521,
R81353,54
R81661,18
R87201,
R86999,0
R82536,0
R86778,1
R82659,36
R82818,0
R86619,4
R82793,38
R86651,16
R81213,40
R88288,15
R87873,
R87223,3
R81298,31
R85507,0
R86926,0
R85256,5
R88369,21
R85718,21
R81782,6
R86138,1
R87511,0
R88315,12
R87162,0
R86733,12
R88713,19
R81239,44
R81276,18
R82605,36
R89222,0
R82358,33
R81377,0
R85556,7
R87023,13
R85186,0
R82626,5
R81125,54
R89051,5
R83721,
R82913,6
R87598,0
R87285,2
R85879,16
R87127,6
R85883,8
R86257,0
R83013,32
R87379,9
R87172,
R82872,23
R88867,18
R87298,8
R81328,38
R83322,27
R86562,10
R82697,17
R85522,4
R83657,0
R82066,35
R88583,28
R88821,75
R87239,0
R87863,0
R85566,24
R87528,1
R87696,6
R86721(old),
R83286,31
R86329,
R83065,3
R81083,10
R86597,0
R82699,0
R82312,0
R86785,1
R89076,1
R82067,6
R86101,20
R87305,12
R82777,20
R89226,0
R86956,0
R88296,
R87968,0
R86351,0
R81693,40
R81332,1
R88260,5
R83917,19
R81506,19
R88732,0
R86952,1
R87681,7
R82338,29
R88722,46
R83608,2
R85232,5
R86827,3
R81577,0
R86779,1
R88707,18
R81518,6
R86667,6
R86209,3
R85117,3
R83153,5
R81679,44
R88836,17
R85629,23
R87156,
R82321,28
R87392,11
R87576,5
R83026,7
R85277,0
R86893,15
R87631,2
R86559,11
R88621,2
R83736,4
R85025,15
R83813,4
R81006,
R87739,2
R81799,13
R85118,2
R86878,0
R89058,3
R86612,14
R82806,18
R88756,5
R85697,20
R86219,0
R87196,
R88865,9
R86922,0
R89083,3
R82906,37
R81797,0
R85059,4
R85178,21
R86921,1
R82561,34
R83275,26
R86332,18
R89008,0
R88232,50
R81838,0
R86111,0
R85065,12
R86365,
R81987,16
R85091,
R88305,16
R83829,2
R86819,9
R85817,7
R87399,4
R88121,50
R85226,23
R87792,0
R87656,0
R83076,26
R81040,
R86023,16
R88392,11
R87565,6
R81069,4
R82886,39
R86528,12
R89063,1
R85922,18
R82206,24
R81187,0
R82325,17
R89066,1
R82873,35
R82003,38
R87138,3
R81608,6
R82317,
R85779,0
R89163,
R81388,35
R88375,
R81271,48
R83197,2
R85961,1
R83976,30
R88198,42
R82978,7
R87159,12
R87123,6
R83201,19
R80010,
R88289,45
R81628,33
R87115,1
R87521,3
R87513,11
R81163,46
R88215,42
R85856,9
R81221,17
R89182,0
R86032,6
R87276,2
R87952,1
R87918,2
R82091,17
R85573,1
R85296,21
R89251,0
R87121,0
R88298,22
R86232,18
R87697,5
R87773,5
R86626,1
R86531,3
R87255,4
R87368,0
R85828,3
R88592,0
R88103,
R87732,0
R82208,11
R81785,9
R89262,1
R81066,0
R86273,13
R82017,0
R83225,33
R81762,33
R86192,16
R86908,4
R81893,20
R83023,7
R89283,0
R88358,94
R82579,0
R86027,11
R83755,16
R86758,1
R83568,0
R87768,0
R87006,12
R82578,0
R81832,40
R8XXX5,
R87707,1
R81253,1
R87233,4
R87539,3
R83901,0
R82068,34
R81062,4
R85319,6
R85887,5
R83567,23
R86809,11
R88582,6
R85191,
R87639,2
R83718,5
R81907,41
R86003,9
R85157,1
R88711,
R85103,0
R83358,23
R86752,7
R82962,28
R88378,3
R83216,28
R87256,1
R83758,22
R86962,0
R87397,0
R88992,
R89071,0
R87682,7
R82085,10
R86381,4
R86989,3
R87292,8
R83733,28
R88606,
R86067,0
R85378,13
R82908,12
R83108,29
R86355,14
R83971,0
R83668,0
R86961,0
R88936,35
R87111,3
R89261,0
R85595,9
R85099,4
R88676,
R85717,10
R83598,23
R86112,5
R83057,29
R87291,12
R87719,0
R85515,4
R83821,14
R83096,18
R86256,0
R85313,0
R88221,22
R81765,11
R85081,
R88717,0
R87289,0
R81602,21
R87869,0
R87665,8
R82021,25
R86885,0
R82892,27
R86382,13
R81789,12
R88918,66
R81385,47
R83896,10
R85586,12
R83933,21
R86675,2
R81813,42
R86907,
R82858,
R87326,0
R81023,67
R85572,22
R85873,7
R81222,33
R83502,23
R85611,24
R87699,0
R81003,5
R88376,3
R82893,17
R87667,
R86115,14
R88655,12
R86512,0
R82087,1
R81692,30
R88525,19
R82939,24
R86677,15
R81657,36
R83998,13
R83361,0
R82833,1
R87871,0
R81653,5
R81927,0
R87993,0
R87818,6
R83289,0
R83833,25
R86709,4
R87053,0
R82785,0
R86258,9
R86399,9
R85126,0
R86867,0
R87516,0
R81056,0
R87605,9
R87281,6
R85362,12
R83583,2
R87378,0
R85905,0
R86022,2
R85769,3
R81952,3
R85286,25
R88733,7
R81336,5
R81901,0
R85017,16
R82903,39
R81282,24
R85306,0
R83952,8
R86606,0
R87325,0
R83636,18
R87983,4
R88539,3
R87927,1
R88168,19
R81089,
R83863,0
R88506,
R82512,39
R81313,22
R87506,2
R87899,0
R81897,34
R87897,0
R81716,48
R86326,0
R83663,24
R88537,95
R85316,15
R87373,6
R81763,1
R83335,15
R88111,
R85511,8
R89003,4
R88827,13
R85105,15
R88595,63
R87996,0
R86031,3
R81689,47
R83001,16
R86363,0
R85633,23
R85389,0
R87838,0
R85793,0
R88109,
R85228,19
R88217,
R86996,9
R83209,11
R87275,11
R83008,8
R88928,64
R86981,
R88137,
R88555,0
R86127,19
R88792,5
R82388,0
R86676,0
R88758,0
R86558,12
R87327,0
R87039,13
R86811,0
R85561,0
R88585,
R85808,15
R86001,12
R86817,0
R88117,1
R86882,6
R83505,13
R88838,
R83776,19
R89216,0
R82823,2
R85323,7
R88331,6
R83738,6
R87877,31
R88206,98
R89035,3
R85179,8
R81513,21
R85695,3
R86701,0
R82663,23
R87089,0
R82973,14
R83838,27
R85932,0
R88301,0
R88397,14
R85938,0
R85763,
R82968,32
R81869,12
R82328,0
R8XXX9,
R86165,1
R8XXXX,
R87716,0
R85709,0
R89032,4
R82052,
R88308,1
R88783,56
R88276,85
R88367,62
R81195,63
R86309,21
R88855,40
R82106,6
R89101,
R85918,1
R83106,26
R82821,30
R83857,26
R82759,38
R86871,7
R83307,30
R89113,0
R88609,5
R81906,12
R87752,6
R87015,9
R88802,20
R87311,
R85599,13
R82713,25
R83239,2
R83306,0
R83036,21
R81607,30
R85803,23
R87797,0
R83107,
R81217,17
R88819,4
R85607,0
R87359,7
R89201,3
R86598,1
R83516,0
R85161,0
R87323,2
R85086,8
R88212,
R83369,21
R86287,12
R81757,42
R86799,4
R80888,5
R82569,29
R82069,17
R85618,6
R85255,1
R87261,0
R82863,30
R86812,0
R82672,36
R89258,0
R87819,4
R81197,0
R87777,
R87026,0
R83579,11
R81068,63
R85577,16
R86236,17
R87336,5
R85308,20
R86565,
R81931,0
R86888,0
R82355,8
R87191,0
R89098,0
R82103,6
R81738,19
R83757,7
R82333,1
R82708,36
R81922,44
R87005,0
R89116,1
R87076,12
R85756,1
R85729,2
R85062,3
R87919,3
R82851,1
R86203,1
R86786,0
R83381,13
R83628,4
R88739,
R88557,4
R88598,
R82758,36
R83982,5
R86666,11
R87651,9
R82819,6
R82909,31
R81839,33
R86658,12
R83756,1
R83593,19
R83327,32
R82521,39
R87935,0
R87518,10
R81192,0
R85657,10
R85116,27
R83711,3
R83692,0
R85972,3
R86288,0
R82316,2
R81005,14
R88381,6
R81883,4
R87158,9
R83825,0
R81609,
R81831,
R87078,10
R86837,15
R87771,4
R88228,43
R85297,
R86311,0
R87761,0
R85583,14
R83622,
R83037,0
R82761,29
R86385,0
R87607,0
R81032,4
R88975,2
R81102,14
R85787,3
R88696,64
R86856,2
R82931,4
R88133,
R83278,33
R87892,0
R85901,0
R82577,41
R85215,
R86591,1
R82865,13
R89139,0
R87107,0
R83075,30
R85XXXX,
R88716,6
R87799,0
R87865,0
R83251,1
R83929,12
R81086,50
R88239,103
R82728,2
R88991,4
R86193,0
R83823,26
R82627,0
R82075,0
R81216,25
R87905,0
R88881,14
R88983,32
R88372,0
R83988,5
R81288,47
R87117,4
R86108,0
R87391,0
R82682,28
R81583,47
R88306,0
R87505,2
R88565,12
R85006,23
R83187,27
R85053,0
R81851,15
R88661,80
R86321,16
R82875,26
R81138,0
R87976,1
R82609,7
R81619,6
R86759,0
R87816,8
R86371,0
R81637,17
R81372,51
R88933,57
R89085,0
R83091,25
R87068,7
R82855,31
R86625,0
R85136,17
R83573,8
R82557,
R81198,24
R81538,21
R86765,2
R87552,0
R85733(old),
R83562,24
R81989,7
R86307,14
R83565,
R82515,10
R87099,5
R87235,8
R88966,50
R88602,13
R89011,0
R86312,17
R85891,6
R85818,
R81667,0
R81351,1
R88292,41
R81038,0
R88307,
R83713,1
R87695,5
R88659,0
R88668,52
R86657,1
R85632,5
R85278,7
R85261,2
R81139,52
R86536,0
R86886,10
R83688,19
R82815,40
R86039,0
R88853,7
R82786,8
R85331,20
R87921,3
R88566,3
R88593,36
R83175,30
R81567,49
R81568,39
R85851,3
R87188,1
R82932,6
R83512,16
R87199,
R86669,
R88225,49
R81732,41
R85702,10
R81886,13
R85989,11
R85067,12
R81123,0
R85329,0
R86211,0
R87155,0
R87858,0
R85957,9
R86391,0
R86238,0
R81126,0
R85829,16
R80080,
R83271,2
R83206,31
R81153,19
R85165,
R82031,41
R87685,3
R88759,
R81258,7
R86367,12
R87632,0
R85587,2
R86358,1
R86601,7
R88152,33
R83957,3
R82357,17
R88897,56
R82735,5
R86679,0
R85712,0
R88675,1
R86229,14
R85031,0
R85582,10
R87317,6
R85008,
R86762,0
R88553,0
R85367,0
R83371,26
R89026,0
R85805,0
R81027,5
R85097,29
R86771,10
R87637,0
R82691,1
R85631,25
R86715,7
R83221,0
R86011,13
R85162,24
R86966,4
R87007,9
R81262,37
R83605,3
R81367,0
R85982,1
R88563,30
R85158,7
R83085,0
R86125,0
R85571,1
R83188,12
R83789,7
R88382,1
R85096,28
R83702,
R87711,0
R88795,71
R82792,39
R83152,1
R88875,6
R82798,10
R86561,16
R83231,6
R87372,3
R87895,0
R83267,18
R85175,2
R87338,3
R81773,7
R88788,3
R83753,1
R83619,
R81097,0
R87995,5
R87302,1
R88793,52
R85609,22
R86657(old),
R82721,0
R82812,0
R85997,10
R82573,22
R83265,31
R83165,1
R81973,8
R83365,0
R86065,
R83163,30
R82866,0
R86295,6
R85596,17
R85967,17
R86971,0
R85906,12
R87606,0
R85358,2
R88352,3
R86328,4
R88229,34
R83111,3
R85919,0
R87183,1
R87098,11
R85052,11
R83508,29
R89069,0
R86987,1
R88611,25
R87335,3
R82386,8
R86801,13
R81078,3
R81237,58
R81563,18
R87371,0
R86372,8
R88896,7
R85129,0
R87151,9
R85121,
R88601,55
R87525,0
R87619,1
R87795,0
R87833,1
R88771,6
R85322,20
R85026,26
R87072,13
R85XXX,
R82791,36
R88810,
R88718,45
R86227,3
R85202,1
R87295,0
R89188,0
R85527,0
R87668,0
R83507,
R85927,1
R88637,
R88575,
R85701,0
R85935,2
R86688,12
R882661,1
R81099,48
R81077,0
R86997,6
R87718,
R86678,0
R88167,18
R83806,26
R87202,9
R85878,20
R83875,5
R82677,
R83936,18
R83218,8
R8777X,
R88587,
R83732,32
R87515,0
R85862,0
R88958,28
R87523,11
R83063,13
R88558,
R87868,0
R87526,0
R88568,4
R86783,0
R83539,4
R86368,0
R89037,0
R85266,3
R88377,80
R86578,4
R88959,8
R86583,1
R87627,0
R87821,6
R88536,3
R82971,
R87687,0
R89029,0
R86615,0
R86831,0
R86322,7
R85112,0
R88262,10
R85568,22
R86176,9
R81231,5
R88136,
R85765,0
R81398,18
R87955,1
R86959,14
R88651,1
R83609,11
R81788,1
R82766,1
R87113,
R88869,0
R86731,1
R83992,18
R83058,31
R87059,11
R81106,12
R83137,15
R86681,
R87106,0
R88777,7
R83877,14
R85513,0
R85372,16
R85385,2
R87856,0
R87596,9
R85193,4
R82723,34
R81036,34
R81862,15
R81985,0
R83891,2
R86852,11
R86607,12
R85921,0
R83557,0
R86017,0
R88309,1
R88905,10
R88178,10
R81956,34
R86903,11
R82509,0
R83918,17
R83009,8
R81017,1
R82531,41
R87599,1
R82517,3
R81229,56
R88858,3
R86911,
R86523,0
R82736,12
R88976,41
R86063,7
R89138,0
R83902,
R85382,
R82722,36
R81582,0
R86726,0
R83795,25
R83879,3
R87018,8
R87186,3
R81386,0
R82555,19
R86993,0
R89235,0
R81966,1
R83866,1
R87362,1
R81339,27
R87666,1
R85508,18
R86506,12
R81905,34
R81152,44
R86973,1
R87925,0
R82055,37
R83055,35
R87286,0
R82527,
R87912,0
R86522,0
R81686,8
R85318,0
R82558,16
R83953,0
R87087,8
R85397,8
R86719,1
R83591,0
R81365,12
R89221,1
R83295,6
R87723,7
R82093,38
R82662,30
R86821,7
R88516,0
R85859,0
R83157,34
R87273,2
R88837,
R86132,14
R81855,4
R83893,2
R85716,19
R81731,6
R88383,1
R81699,28
R81769,23
R87108,0
R86231,
R89122,1
R87221,4
R82631,0
R82799,6
R87129,9
R81913,1
R85811,0
R82706,31
R82307,13
R85033,14
R85218,22
R81108,2
R81129,0
R86866,1
R83526,0
R87961,0
R86555,8
R87363,2
R81201,55
R86692,14
R85092,14
R86881,7
R81011,1
R87209,1
R83138,36
R83383,19
R88809,14
R87189,3
R83017,7
R87301,0
R86089,20
R88501,12
R82585,32
R88908,32
R88258,20
R82635,36
R87581,8
R88639,39
R85911,0
R88625,12
R87356,0
R88889,0
R86713,1
R81015,0
R87875,2
R83659,
R86062,3
R86383,9
R86072,3
R85383,8
R83961,2
R81199,27
R83095,28
R83578,0
R86685,0
R88359,0
R83223,19
R89218,0
R87763,6
R86117,17
R87571,0
R81708,44
R86728,4
R85352,0
R85752,2
R83351,20
R89002,0
R81555,40
R86019,19
R88126,
R82958,36
R85888,6
R81128,64
R88389,44
R88556,22
R86XXX,
R85363,12
R87803,0
R88211,79
R88616,0
R87313,0
R88521,
R87185,3
R82601,29
R85915,0
R86098,11
R86552,0
R82562,4
R85039,2
R82332,25
R81669,37
R86172,0
R89183,
R83355,35
R88185,3
R89062,1
R86723,8
R85028,19
R86516,17
R89268,0
R87997,0
R83303,1
R81877,41
R82202,0
R86967,4
R88207,38
R81162,63
R88572,
R86825,6
R86936,
R85089,5
R87933,2
R86387,7
R82783,3
R82929,25
R83637,10
R88591,0
R85912,
R87987,0
R81169,37
R83389,33
R85832,13
R81959,39
R83868,6
R86251,
R88986,15
R83676,0
R88665,20
R83073,0
R86995,2
R82012,0
R88522,55
R87757,2
R88988,6
R81675,1
R85711,4
R86699,15
R88859,25
R82632,8
R85332,2
R81185,33
R87097,
R88511,22
R88458,
R81093,0
R83569,0
R86721,10
R88673,21
R88129,67
R81071,3
R85392,0
R88886,7
R82739,2
R87766,4
R83235,0
R85171,4
R86379,2
R88517,76
R86007,8
R86511,4
R87153,5
R88295,8
R89303,
R81322,6
R85085,28
R88515,34
R86277,6
R86738,5
R87038,0
R89132,0
R86806,
R87692,3
R89229,0
R87297,5
R87963,0
R82963,7
R87998,3
R81329,36
R85653,0
R83003,11
R83392,23
R87829,3
R88815,3
R85908,20
R87002,11
R86773,7
R83553,0
R85995,19
R86181,15
R81752,8
R87618,0
R82651,5
R88113,50
R88876,7
R86579,14
R88902,65
R88357,1
R85163,0
R83219,0
R83809,3
R86103,19
R86263,
R88653,
R88526,33
R86198,3
R87932,2
R87XXX,
R83018,24
R86683,0
R85773,0
R81061,49
R85273,12
R83739,14
R87205,11
R83178,25
R83907,10
R88156,49
R83068,23
R86503,14
R85892,16
R81857,2
R88735,52
R87753,0
R82008,43
R81172,59
R85703,2
R81723,3
R83363,8
R82062,
R82567,33
R83005,19
R86519,5
R87661,0
R88122,42
R81301,
R85233,12
R83021,5
R81085,0
R88325,1
R86197,6
R86695,0
R86816,15
R86826,
R82856,1
R87507,0
R87982,0
R83905,4
R83279,22
R87236,0
R87067,3
R83793,12
R88286,46
R87522,9
R88336,27
R88597,43
R85619,0
R87375,0
R87135,8
R85722,2
R83703,1
R88396,
R85375,5
R85528,3
R82391,0
R88561,
R88261,8
R89086,3
R83695,0
R88297,
R88219,11
R87735,
R85665,0
R85928,3
R88256,100
R83779,0
R85809,21
R82538,11
R86577,0
R86166,8
R86662,6
R87208,0
R86208,8
R87551,3
R88615,
R81511,25
R85036,0
R83922,
R87608,5
R86059,13
R88866,69
R85898,13
R85236,0
R88785,34
R85335,1
R88973,
R82796,1
R81725,
R82752,31
R88285,2
R82755,8
R83337,0
R87807,0
R83729,13
R85998,9
R87203,0
R85518,7
R86271,0
R86613,17
R81528,2
R86917,10
R88706,18
R85731,3
R83839,13
R87176,9
R85206,0
R81908,32
R86593,0
R83079,
R81527,0
R83311,21
R89315,0
R81932,29
R86707,1
R87561,1
R87355,3
R86369,0
R88387,0
R86813,2
R86781,0
R86099,12
R86567,
R88693,26
R88626,37
R86392,4
R82986,
R81618,30
R85885,10
R89103,0
R81012,1
R83752,4
R87509,0
R81122,49
R85606,21
R85837,0
R83856,13
R88766,16
R83697,
R86608,7
R88361,38
R86016,0
R82657,1
R86702,0
R87683,0
R88171,7
R85529,0
R82359,0
R83681,6
R81025,2
R87058,3
R85656,4
R85208,0
R82751,25
R88579,35
R82803,38
R85281,21
R85269,0
R88909,2
R86902,12
R85821,4
R89118,0
R83897,2
R86388,0
R88658,76
R86661,16
R87839,0
R86983,2
R82602,32
R86909,2
R83888,3
R86618,0
R83182,20
R85115,0
R88669,1
R82861,33
R82596,6
R86233,15
R88872,11
R85035,3
R82707,18
R85579,5
R83531,4
R81603,13
R89352,0
R85155,28
R81059,7
R86356,13
R88622,5
R82576,
R81938,38
R83053,32
R88227,44
R87011,13
R83626,22
R86805,16
R87808,4
R86889,6
R87116,1
R81189,17
R83635,29
R88195,
R86919,0
R86121,1
R81368,17
R88937,9
R82065,15
R85111,14
R85659,24
R83396,10
R83069,17
R88599,15
R87217,0
R83588,2
R85353,0
R82381,39
R85616,
R85061,0
R86622,18
R85176,0
R81719,47
R87923,0
R85016,15
R86092,0
R87676,2
R86037,2
R88519,4
R86393,14
R87073,6
R88169,41
R81176,
R89185,0
R89305,
R85088,19
R86556,1
R86025,0
R85707,0
R86896,0
R87057,9
