Snowball Map,List Source,Restaurant Name,Address,City,State,Phone,Zipcode,First Name,Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
80450,Yelp Greendot (Q42022),23 ICHIBAN WOK & SUSHI,3055 ROUTE 23,OAK RIDGE,NJ,9735452700,07438-8926,SONNY,ZIBA,8,Y,NA,Japanese
80451,Yelp Greendot (Q42022),26 THAI SUSHI & BAR - BROOKHAVEN,705 TOWN BLVD NE STE Q330,BROOKHAVEN,GA,6789730226,30319-7204,NA,NA,NA,NA,NA,Japanese
80452,Yelp Greendot (Q42022),3 BROTHERS TERIYAKI,23722 WESTERN AVE,HARBOR CITY,CA,3103263843,90710-1321,TODD,SAKADA,7,Y,NA,Japanese
80453,Yelp Greendot (Q42022),3 LITTLE PIGS CHI,3220 W GRAND AVE,CHICAGO,IL,3128833326,60651-4180,NA,NA,NA,NA,NA,Chinese
80454,Yelp Greendot (Q42022),3 MONKEYS STREET BAR & KITCHEN,554 MA-28,HARWICH,MA,7744087210,2645,NA,NA,NA,NA,NA,Japanese
80455,Yelp Greendot (Q42022),3 PEAS IN A POD CAJUN RESTAURANT & SWEET SHOPPE,7246 GRAND PRAIRIE HWY,RAYNE,LA,3378737327,70578-7707,NA,NA,3,Y,NA,Cajun Seafood
80456,Yelp Greendot (Q42022),3 SISTERS RESTAURANT,10615 E SPRAGUE AVE,SPOKANE VALLEY,WA,5099282580,99206-3633,TAMMY,DAM,7,Y,NA,Chinese
80457,Yelp Greendot (Q42022),300 BOWL COFFEE SHOP,370 E WHITTIER BLVD,LA HABRA,CA,5626910230,90631-3854,NA,NA,NA,NA,NA,Chinese
80458,Yelp Greendot (Q42022),369 BBQ,61ST ST & 8TH AVE,BROOKLYN,NY,6465081858,11220,NA,NA,NA,NA,NA,Chinese
80459,Yelp Greendot (Q42022),37.2 DEGREE TEA & CURRY,3646 S NOGALES ST STE A,WEST COVINA,CA,6266677169,91792-4797,LINDA,LIU,2,Y,NA,Japanese
80460,Yelp Greendot (Q42022),399 SUSHI,5121 GREYSTONE DR,RENO,NV,7756869933,89523-2602,NA,NA,NA,NA,NA,Japanese
80461,Yelp Greendot (Q42022),3D SUSHI THAI LAO,17307 GULF BLVD STE A,NORTH REDINGTON BEACH,FL,7276850003,33708-1297,NA,NA,NA,NA,NA,Japanese
80462,Yelp Greendot (Q42022),405 HU TIEU,15454 BEACH BLVD,WESTMINSTER,CA,7148928587,92683-6210,NA,NA,NA,NA,NA,Chinese
80463,Yelp Greendot (Q42022),40N PHO & GRILLE,9978 SCRIPPS RANCH BLVD,SAN DIEGO,CA,8586958088,92131-1825,NA,NA,6,Y,NA,Chinese
80464,Yelp Greendot (Q42022),410 BANK STREET RESTAURANT,410 BANK ST,CAPE MAY,NJ,6098842127,08204-1404,STEPHEN,MILLER,75,Y,NA,Cajun Seafood
80465,Yelp Greendot (Q42022),45 DEGREE TEA,2775 SHOWPLACE DR STE 119,NAPERVILLE,IL,6304709649,60564-5051,NA,NA,NA,NA,NA,Japanese
80466,Yelp Greendot (Q42022),476 EATERY RESTAURANT,107 WEST BRIDGE,HOTCHKISS,CO,9708722354,81419,NA,NA,NA,NA,NA,Japanese
80467,Yelp Greendot (Q42022),4CORNERS BISTRO,1501 VETERANS MEMORIAL BLVD,KENNER,LA,5043056800,70062-5359,ASHOK,PATEL,10,Y,NA,Cajun Seafood
80468,Yelp Greendot (Q42022),5 FLAVOR CAFE,14740 NW CORNELL RD STE 160,PORTLAND,OR,9712288430,97229-7413,NA,NA,7,Y,NA,Chinese
80469,Yelp Greendot (Q42022),5 SPICED KITCHEN,6516 MORAGA AVE,PIEDMONT,CA,5108174889,94611-2820,NA,NA,NA,NA,NA,Chinese
80470,Yelp Greendot (Q42022),5 STAR CHINESE BUFFET,11095 EAST FWY,HOUSTON,TX,7136735555,77029-1930,NA,NA,NA,NA,NA,Chinese
80471,Yelp Greendot (Q42022),501 AT N+ŹN+ŹGÇÖS,"938 US 501, UNIT A",MYRTLE BEACH,SC,8432327222,29577,NA,NA,NA,NA,NA,Cajun Seafood
80472,Yelp Greendot (Q42022),509 BISTRO & PIZZA,"307 DEL PRADO BLVD N, UNIT 1 & 2",CAPE CORAL,FL,2395747492,33909-2225,RAUL,TELLEZ,3,Y,NA,Cajun Seafood
80473,Yelp Greendot (Q42022),52 EATERY & BAR,"2400 S I-35 FRONTAGE RD, STE 160",ROUND ROCK,TX,5124325084,78681,NA,NA,NA,NA,NA,Japanese
80474,Yelp Greendot (Q42022),52M TERIYAKI,13942 VALLEY VIEW AVE,LA MIRADA,CA,5623258609,90638-3503,HAELYEN,CHUNG,6,Y,NA,Japanese
80475,Yelp Greendot (Q42022),52ND SUSHI,5221 ROOSEVELT AVE,WOODSIDE,NY,7185079204,11377-4231,LEE,EUNHEUNG,3,Y,NA,Japanese
80476,Yelp Greendot (Q42022),6321 YUAN BAO,6321 8TH AVE,BROOKLYN,NY,7188361663,11220-4717,NA,NA,NA,NA,NA,Chinese
80477,Yelp Greendot (Q42022),68 CRAWFISH EXPRESS,11420 DAIRY ASHFORD RD STE 100,SUGAR LAND,TX,2813026989,77478-6215,HANI,KHAN,3,Y,NA,Cajun Seafood
80478,Yelp Greendot (Q42022),68 INDIAN BISTRO,3928 SEDGEBROOK ST,HIGH POINT,NC,3363065511,27265-8703,NA,NA,NA,NA,NA,Chinese
80479,Yelp Greendot (Q42022),6TH AVE NOODLE HOUSE,"17801 INTERNATIONAL BLVD, S GATE",SEATAC,WA,8773258777,98158-1202,NA,NA,NA,NA,NA,Japanese
80480,Yelp Greendot (Q42022),7 SPICE,2701 PEARLAND PKWY STE 160,PEARLAND,TX,3466457742,77581-5948,NA,NA,NA,NA,NA,Cajun Seafood
80481,Yelp Greendot (Q42022),7 STAR BUFFET CHINESE RESTAURANT,4017 COLUMBIA RD,AUGUSTA,GA,7066502300,30907-2221,NA,NA,NA,NA,NA,Chinese
80482,Yelp Greendot (Q42022),70S SAGA RAMEN&CURRY,204 S GLENDORA AVE,WEST COVINA,CA,6264306968,91790-3039,NA,NA,8,Y,NA,Japanese
80483,Yelp Greendot (Q42022),75 BBQ AND HOT POT BUFFET,8880 BELLAIRE BLVD STE C,HOUSTON,TX,8327429875,77036-4621,NA,NA,NA,NA,NA,Chinese
80484,Yelp Greendot (Q42022),777 HUNAN CUISINE,23736 HIGHWAY 59 STE 101,PORTER,TX,2813548288,77365-4666,WEIQING,JIN,8,Y,NA,Chinese
80485,Yelp Greendot (Q42022),77TH STREET SUSHI SHOP,1102 LEXINGTON AVE,NEW YORK,NY,3324568446,10075-0372,NA,NA,NA,NA,NA,Japanese
80486,Yelp Greendot (Q42022),7SPICE,5950 GULF FWY STE 300,HOUSTON,TX,8327707742,77023-5428,NA,NA,NA,NA,NA,Cajun Seafood
80487,Yelp Greendot (Q42022),7SPICE,10255 NORTH FWY,HOUSTON,TX,2814477742,77037-1257,NA,NA,NA,NA,NA,Cajun Seafood
80488,Yelp Greendot (Q42022),7SPICE,11013 FUQUA ST,HOUSTON,TX,7139437742,77089-2510,NA,NA,8,Y,NA,Cajun Seafood
80489,Yelp Greendot (Q42022),7SPICE,1701 FM 1960 RD W STE H,HOUSTON,TX,2818807742,77090-3213,NA,NA,NA,NA,NA,Cajun Seafood
80490,Yelp Greendot (Q42022),7SPICE,11011 SHADOW CREEK PKWY STE 113,PEARLAND,TX,2814127742,77584-7457,NA,NA,3,Y,NA,Cajun Seafood
80491,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,6449 WESTHEIMER RD,HOUSTON,TX,8324632922,77057-5105,NA,NA,NA,NA,NA,Cajun Seafood
80492,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,5502 FRY RD,KATY,TX,2818557742,77449-5795,NA,NA,2,N,NA,Cajun Seafood
80493,Yelp Greendot (Q42022),7SPICE CAJUN SEAFOOD,2240 TEXAS PKWY,MISSOURI CITY,TX,2814997742,77489-4208,HUNG,VAN,9,Y,NA,Cajun Seafood
80494,Yelp Greendot (Q42022),818 HEAT HOT POT & BBQ,7860 GLADES RD STE 130,BOCA RATON,FL,5614198187,33434-4175,NA,NA,NA,NA,NA,Chinese
80495,Yelp Greendot (Q42022),8282 FOOD,7707 S KYRENE RD STE 102,TEMPE,AZ,4806878211,85284-1496,NA,NA,NA,NA,NA,Japanese
80496,Yelp Greendot (Q42022),843 KOREAN BBQ & SUSHI HOUSE,6601 RIVERS AVE,NORTH CHARLESTON,SC,8437649578,29406-4810,DAVIS,HONG,8,Y,NA,Japanese
80497,Yelp Greendot (Q42022),85 CHINESE RESTAURANT,85 CHRYSTIE ST,NEW YORK,NY,2126800118,10002-5036,NA,NA,2,Y,NA,Chinese
80498,Yelp Greendot (Q42022),88 BISTRO,4821 LJ PKWY STE 79,SUGAR LAND,TX,3463042235,77479-6789,NA,NA,NA,NA,NA,Chinese
80499,Yelp Greendot (Q42022),88 CHINESE & SUSHI,5658 SEPULVEDA BLVD STE 101,VAN NUYS,CA,8189977118,91411-2927,BETTY,YOUNG,6,Y,NA,Chinese
80500,Yelp Greendot (Q42022),88 SUSHI,3103 LAWRENCEVILLE SUWANEE RD # A,SUWANEE,GA,6782889880,30024-2408,NA,NA,NA,NA,NA,Japanese
80501,Google API (Q42022),888 GREAT WALL,9464 BROWNSBORO RD,LOUISVILLE,KY,5024252811,40241-1118,KARRIN,LIN,4,Y,NA,Chinese
80502,Yelp Greendot (Q42022),888 JAPANESE BBQ,3550 S DECATUR BLVD,LAS VEGAS,NV,7024765033,89103-5802,NA,NA,NA,NA,NA,Japanese
80503,Yelp Greendot (Q42022),8IGHT TOPOKI POCHA & IZAKAYA,33320 PACIFIC HWY S STE 101,FEDERAL WAY,WA,2539441450,98003-6881,NA,NA,NA,NA,NA,Japanese
80504,Google API (Q42022),9 Dragon Noodle House,5271 HIGHLAND RD,BATON ROUGE,LA,2257669977,70808-6547,YU TONG,LIU,9,Y,NA,Chinese
80505,Yelp Greendot (Q42022),9 FACE SUSHI CAFE,3422 E ATLANTIC BLVD,POMPANO BEACH,FL,9545321119,33062-5701,ATHIT,THITISUPUDOM,6,Y,NA,Japanese
80506,Yelp Greendot (Q42022),9 SOUTH CHARGRILL,844 SOUTH ST,LINCOLN,NE,4024749997,68502-2148,CATHERINE,BALTA,11,Y,NA,Cajun Seafood
80507,Yelp Greendot (Q42022),90 KABOB,4897 BUFORD HWY STE 123,CHAMBLEE,GA,6783957719,30341-3670,WANG,CHENG,9,Y,NA,Chinese
80508,Yelp Greendot (Q42022),938 CRAWFISH,938 SAN PABLO AVE,ALBANY,CA,5105252722,94706-2010,ANDY,NEILSON,9,Y,NA,Cajun Seafood
80509,Yelp Greendot (Q42022),95 NOODLE POT BAR,8528 WESTMINSTER BLVD,WESTMINSTER,CA,7146225997,92683-4605,NA,NA,NA,NA,NA,Chinese
80510,Yelp Greendot (Q42022),969 NYC COFFEE,3761 80TH ST,JACKSON HEIGHTS,NY,6462037304,11372-9606,NA,NA,10,Y,NA,Japanese
80511,Google API (Q42022),98 ASIAN BISTRO INC,1800 N MAIN ST STE 106,HIGH POINT,NC,3368873388,27262-2166,TODD,SEN,9,Y,2014,Japanese
80512,Yelp Greendot (Q42022),99 KABOB,1100 S COLLEGE ST STE 101,AUBURN,AL,3343297300,36832-7200,NA,NA,7,Y,NA,Chinese
80513,Yelp Greendot (Q42022),99 SUSHI,99 N MAIN ST,FORT ATKINSON,WI,9203977717,53538-1874,NA,NA,NA,NA,NA,Japanese
80514,Yelp Greendot (Q42022),A & A SUSHI HOUSE,321 SMITHTOWN BYP,HAUPPAUGE,NY,6316568577,11788-2516,NA,NA,5,Y,NA,Japanese
80515,Yelp Greendot (Q42022),A & D EXPRESS CHINESE BUFFET,12844 US HIGHWAY 431,GUNTERSVILLE,AL,2564869396,35976-9309,NA,NA,7,Y,NA,Chinese
80516,Yelp Greendot (Q42022),A & J,333 FLATBUSH AVE STE 2,BROOKLYN,NY,3472916088,11217-2813,NA,NA,NA,NA,NA,Japanese
80517,Yelp Greendot (Q42022),A & J ICHIBAN,615 F ST,EUREKA,CA,7072735299,95501-1011,NA,NA,7,Y,NA,Japanese
80518,Yelp Greendot (Q42022),A & P ORIENTAL MARKET,1345 HEATHER ST,SHAKOPEE,MN,9524650022,55379-3520,NA,NA,NA,NA,NA,Chinese
80519,Yelp Greendot (Q42022),A & W BARBECUE SEAFOOD RESTAURANT,16906 SAN FERNANDO MISSION BLVD,GRANADA HILLS,CA,8183689757,91344-4249,JASON,HU,14,N,NA,Chinese
80520,Yelp Greendot (Q42022),A & W SEAFOOD RESTAURANT,7213 RESEDA BLVD,RESEDA,CA,8183420990,91335-3046,SIANG,AW,1,Y,NA,Chinese
80521,Google API (Q42022),A A JING,689 9TH AVE FRNT 1,NEW YORK,NY,2122450800,10036-3625,DAVID,LIU,19,N,NA,Chinese
80522,Google API (Q42022),A B CHINESE RESTAURANT,1121 PACIFIC BLVD SE,ALBANY,OR,5419286688,97321-3154,PETER,WONG,9,Y,1996,Chinese
80523,Yelp Greendot (Q42022),A BITE OF CHINA,15106 FREDERICK RD,ROCKVILLE,MD,3014178506,20850-1162,NA,NA,NA,NA,NA,Chinese
80524,Yelp Greendot (Q42022),A CUP OF SUSHI,"17951 SKY PARK CIR, UNIT F, SMART KITCHENS",IRVINE,CA,7146221212,92614-6323,NA,NA,NA,NA,NA,Japanese
80525,Yelp Greendot (Q42022),A GOLDEN DRAGON CHINESE RESTAURANT,1950 E FRONT ST,SELMA,CA,5598960170,93662-3501,SEAN,THOMAS,1,Y,NA,Chinese
80526,Yelp Greendot (Q42022),A HAPPY FAMILY,1342 BRUNSWICK AVE,TRENTON,NJ,6093921122,08638-3316,KOOM,CHEM,3,Y,NA,Chinese
80527,Yelp Greendot (Q42022),A LA DIABLA SUSHI,16141 ROSCOE BLVD,NORTH HILLS,CA,8189247006,91343-6226,NA,NA,NA,NA,NA,Japanese
80528,Yelp Greendot (Q42022),A LA MADRE,1210 8TH AVE W,PALMETTO,FL,9419998016,34221-3833,NA,NA,NA,NA,NA,Japanese
80529,Yelp Greendot (Q42022),A MIGHTY THAI & SUSHI,2490 HIGHWAY 101 N,SEASIDE,OR,5037397085,97138-4352,NA,NA,NA,NA,NA,Japanese
80530,Yelp Greendot (Q42022),A PLUS CRAB - LAKE ORION,4975 S BALDWIN RD,LAKE ORION,MI,2486224368,48359-2159,NA,NA,NA,NA,NA,Cajun Seafood
80531,Yelp Greendot (Q42022),A SUSHI EXPERIENCE BY RAY YAMAMOTO,4990 FREEPORT BLVD,SACRAMENTO,CA,9164242398,95822-2153,TED,OTO,17,Y,NA,Japanese
80532,Yelp Greendot (Q42022),A TASTE OF HEAVEN,340 SOUTH DR,NATCHITOCHES,LA,4698788705,71457-5053,NA,NA,NA,NA,NA,Cajun Seafood
80533,Yelp Greendot (Q42022),A TASTE OF LOUISIANA,1029 WESTGROVE DR,SAGINAW,TX,8174374182,76179-3443,NA,NA,NA,NA,NA,Cajun Seafood
80534,Yelp Greendot (Q42022),A TASTE OF NEW ORLEANS,6023 MAPLE ST,OMAHA,NE,4027091012,68104-4103,NA,NA,NA,NA,NA,Cajun Seafood
80535,Google API (Q42022),A Town Wings,720 E ROBINSON AVE,GROVETOWN,GA,7066914353,30813-2292,SHENG,CHEN,9,Y,2016,Chinese
80536,Yelp Greendot (Q42022),A-AKI SUSHI AND STEAKHOUSE,1400 SAND LAKE RD,ORLANDO,FL,4078889545,32809-7054,NA,NA,7,Y,NA,Chinese
80537,Yelp Greendot (Q42022),A-POU'S TASTE,963 GRAND ST,BROOKLYN,NY,7183883038,11211-2704,NA,NA,NA,NA,NA,Chinese
80538,Yelp Greendot (Q42022),A-TAN ASIAN BISTRO & SUSHI BAR,1528 E COMMON ST,NEW BRAUNFELS,TX,8306201888,78130-3337,TAN,ASIAN,7,Y,NA,Japanese
80539,Yelp Greendot (Q42022),A-TAN CHINESE RESTAURANT,3445 POPLAR AVE STE 17,MEMPHIS,TN,9014524477,38111-4667,CHIAN,WEN,10,Y,NA,Chinese
80540,Google API (Q42022),A-WOK RESTAURANT,3871 MEDINA RD,AKRON,OH,3306688998,44333-2469,XIAOLONG,ZHENG,4,Y,NA,Chinese
80541,Yelp Greendot (Q42022),A&A 818 BAKERY,922 42ND ST APT 3D,BROOKLYN,NY,7184898570,11219-1191,NA,NA,NA,NA,NA,Chinese
80542,Yelp Greendot (Q42022),A&C SUPERMARKET,3210 S WILMINGTON ST STE 131,RALEIGH,NC,9196610573,27603-3655,NA,NA,NA,NA,NA,Chinese
80543,Google API (Q42022),A&W Seafood Restaurant,7213 RESEDA BLVD,RESEDA,CA,NA,91335-3046,JANE,AW,19,N,NA,Chinese
80544,Google API (Q42022),A1 Asian Fusion,2071 ADAM CLAYTON POWELL JR BLVD FRNT 1,NEW YORK,NY,2128663888,10027-4968,XIN W,HUANG,19,N,2019,Chinese
80545,Google API (Q42022),A1 Japanese Steak House,110 LINCOLN HWY STE 15,FAIRLESS HLS,PA,2152691178,19030-1011,MICHAEL,LIU,9,N,NA,Chinese
80546,Yelp Greendot (Q42022),A6 CAJUN SEAFOOD,"2546 MS-145, UNIT F",SALTILLO,MS,6622693039,38866,NA,NA,NA,NA,NA,Cajun Seafood
80547,Google API (Q42022),A8 China,608 UNIVERSITY AVE # 1036,MADISON,WI,6082508888,53715-1036,DEFENG,YANG,4,Y,NA,Chinese
80548,Yelp Greendot (Q42022),AA SUSHI,9730 NE 119TH WAY,KIRKLAND,WA,4258217989,98034-8955,TERESA,LEE,9,Y,NA,Japanese
80549,Yelp Greendot (Q42022),AAA CRAWFISH AND SEAFOOD,1019 8TH ST,COLFAX,LA,3183925050,71417-1317,NA,NA,NA,NA,NA,Cajun Seafood
80550,Yelp Greendot (Q42022),AARU'S,1108 S MAGNOLIA DR,TALLAHASSEE,FL,8503500129,32301-4660,NA,NA,9,Y,NA,Chinese
80551,Yelp Greendot (Q42022),AB HAPPY PANDA CHINESE FAST FOOD,838 N HACIENDA BLVD,LA PUENTE,CA,6263306878,91744-2804,NA,NA,NA,NA,NA,Chinese
80552,Yelp Greendot (Q42022),ABBY'S CRAB SHACK,202 WALTON WAY STE 100,CEDAR PARK,TX,5123551830,78613-7046,ANH,LE,13,Y,NA,Cajun Seafood
80553,Yelp Greendot (Q42022),ABBY'S CRAB SHACK,9900 S IH 35 FRONTAGE RD,AUSTIN,TX,5125790105,78748,AHN,LE,3,N,NA,Cajun Seafood
80554,Yelp Greendot (Q42022),ABC ASIAN BISTRO & SUSHI BAR,4128 EL CAMINO AVE STE 4,SACRAMENTO,CA,9169719229,95821-6676,FENG,LI,2,Y,NA,Chinese
80555,Yelp Greendot (Q42022),ABC CAFE,10001 W 87TH ST,OVERLAND PARK,KS,9138590089,66212-4671,NA,NA,13,Y,NA,Chinese
80556,Yelp Greendot (Q42022),ABC EXPRESS,1822 W 7TH ST,LOS ANGELES,CA,2133534858,90057-4102,JUDY,TANG,4,Y,NA,Chinese
80557,Yelp Greendot (Q42022),ABC SEA FOOD CHINESE RESTAURANT,2420 E ARKANSAS LN STE 216,ARLINGTON,TX,8178618818,76014-1753,ALBERT,YEE,2,Y,NA,Chinese
80558,Yelp Greendot (Q42022),ABEARS CATERING SERVICES,7605 PARKER RD,HOUSTON,TX,8325428034,77016-3929,DENECIA,ABEAR,5,Y,NA,Cajun Seafood
80559,Yelp Greendot (Q42022),ABHI,2721 CAHABA RD,MOUNTAIN BRK,AL,2057831123,35223-2333,NA,NA,NA,NA,NA,Japanese
80560,Yelp Greendot (Q42022),ABI SUSHI,510 COURT ST,BROOKLYN,NY,7183578666,11231-4014,NA,NA,NA,NA,NA,Japanese
80561,Yelp Greendot (Q42022),ABIKO CURRY,108 BROAD AVE,PALISADES PARK,NJ,2019459114,07650-1439,DAEHEE,KANG,10,Y,NA,Japanese
80562,Yelp Greendot (Q42022),ABIKO CURRY,2 W 32ND ST FRNT 1,NEW YORK,NY,2126950888,10001-0197,NA,NA,7,Y,NA,Japanese
80563,Yelp Greendot (Q42022),ABIYAKI HIBACHI GRILL,831 E 760 N,LEHI,UT,8018158197,84043-1331,NA,NA,NA,NA,NA,Japanese
80564,Google API (Q42022),Ably Asian Cuisine,744 NOAH DR STE 101,JASPER,GA,7062531155,30143-8704,C K,PHANG,4,Y,NA,Chinese
80565,Yelp Greendot (Q42022),ABOUT BANGKOK RESTAURANT,6240 CORAL RIDGE DR STE 106,CORAL SPRINGS,FL,9547521780,33076-3390,JOHN,DZUNG,11,Y,NA,Japanese
80566,Yelp Greendot (Q42022),ABSOLUTE THAI-SUSHI,800 KENILWORTH DR STE 816,TOWSON,MD,4108819100,21204-2201,NA,NA,NA,NA,NA,Japanese
80567,Yelp Greendot (Q42022),ABSOLUTELY SUSHI,9929 DISCOVERY BLVD,MANASSAS,VA,7034202028,20109-4000,NA,NA,NA,NA,NA,Japanese
80568,Yelp Greendot (Q42022),ABUNDANCE CULINARY,1455 W 29TH ST,CLEVELAND,OH,2169128203,44113-2970,JEREMY,UMANSKY,8,Y,NA,Chinese
80569,Yelp Greendot (Q42022),ABURI PAYCE SUSHI,8285 ON THE MALL STE 217,BUENA PARK,CA,7148281260,90620-3213,NA,NA,7,Y,NA,Japanese
80570,Yelp Greendot (Q42022),ABURI SUSHI,3396 30TH ST,SAN DIEGO,CA,6198927210,92104-4535,ANAHI,RODRIGUEZ,7,Y,NA,Japanese
80571,Yelp Greendot (Q42022),ACADIAN COAST,PO BOX 1047,RICHMOND,TX,7134329651,77406-0027,NA,NA,NA,NA,NA,Cajun Seafood
80572,Yelp Greendot (Q42022),ACADIAN GRILLE SCRATCH KITCHEN,725 N 114TH ST,OMAHA,NE,4029330980,68154-1515,DAN,O'BRIEN,7,Y,NA,Cajun Seafood
80573,Yelp Greendot (Q42022),ACE SUSHI,"6000 J ST, UNIVERSITY ENTERPRISES",SACRAMENTO,CA,9162786376,95819,NA,NA,2,Y,NA,Japanese
80574,Yelp Greendot (Q42022),ACME OYSTER HOUSE,90 SEASCAPE DR,MIRAMAR BEACH,FL,8504607773,32550-3974,LUCIEN,GUNTER,60,Y,NA,Cajun Seafood
80575,Yelp Greendot (Q42022),ACME OYSTER HOUSE,216 E 24TH AVE,GULF SHORES,AL,2514241783,36542-3146,KAREN,BURKETT,100,N,NA,Cajun Seafood
80576,Yelp Greendot (Q42022),ACME OYSTER HOUSE,724 IBERVILLE ST,NEW ORLEANS,LA,5045225973,70130-2324,KEVIN,ARMANTROUT,9,Y,NA,Cajun Seafood
80577,Yelp Greendot (Q42022),ACME OYSTER HOUSE,3535 PERKINS RD STE 100,BATON ROUGE,LA,2259062372,70808-2290,EXCELLE,BUTLER,23,N,NA,Cajun Seafood
80578,Yelp Greendot (Q42022),ADDISON SUSHI 469,4995 ADDISON CIR,ADDISON,TX,9728031192,75001-3377,NA,NA,8,Y,NA,Japanese
