Snowball Map,Dupe (Y/N),Match Address,Match Phone,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),,,,,,,,
80101,FALSE,-,-,Canra Srilankan Plus,88 West Pender,Vancouver,V6B 6N9,BC,CAN,6045683545,7788233545,,,,,,,
80102,FALSE,-,-,Al Salam Bakery & Restaurant,10141 34 Ave NW,Edmonton,T6E 6J8,AB,CAN,7809440000,5879263351,,,,,,,
80103,FALSE,-,-,White Lotus,15 Worobetz Pl,Saskatoon,S7L 6R4,SK,CAN,3069741060,3063411387,6399161868,,,,,,
80104,FALSE,-,-,Happy Sushi,5632 Victoria Dr.,Vancouver,V5P 3W4,BC,CAN,6045683727,7788555108,6047732168,,,,,,
80105,FALSE,-,-,Luna Crepes & Cafe,329 March Rd,Ottawa,K2K 20,ON,CAN,6132545551,,,,,,,,
80106,FALSE,-,-,Daves Chicken & Seafood,2603 Eglinton Ave W,Toronto,M6M 1T3,ON,CAN,6473521125,,,,,,,,
80107,FALSE,-,-,Beijing Dumplings,66 Edward Street,Toronto,M5G 1C9,ON,CAN,6477487711,,,,,,,,
80108,FALSE,-,-,The Three Amigos,4035 106th St NW,Edmonton,T6J 2S3,AB,CAN,7804906394,7029327626,,,,,,,
80109,FALSE,-,-,Kim Kim Restaurant,1188 Kennedy Rd,Toronto,M1P 2L1,ON,CAN,4167578300,4167288632,,,,,,,
80110,FALSE,-,-,Madinah Grill,2680 Lawrence Ave E,Toronto,M1P 4Y4,ON,CAN,6473438598,6472986128,,,,,,,
80111,FALSE,-,-,Smilie’s Village Restaurant,981 Fir Street,Sherwood Park,T8A 4N5,AB,CAN,7804641200,7809208586,,,,,,,
80112,FALSE,-,-,Wok House,388 Saint Albert Trail,Saint Albert,T8N 5S8,AB,CAN,7804587755,7808607566,7808607569,7808637569,7807297566,6472429283,7808858098,7809375115,
,TRUE,10586 100 St NW,-,Asian Express Hotpot,10586 100 St NW,Edmonton,T5H 2R6,AB,CAN,7804218300,,,,,,,,
80113,FALSE,-,-,Spicy 6,1116 Robson St,Vancouver,V6E 1B2,BC,CAN,6043367999,7788552254,6479867273,,,,,,
80114,FALSE,-,-,Aji Sai Japanese Restaurant,32 Dundas St West,Belleville,K8P 1A3,ON,CAN,6139663939,,,,,,,,
80115,FALSE,-,-,Kabab & Tikah House,178 Carlton Street,Toronto,M5A 2K6,ON,CAN,4169648414,6477850666,,,,,,,
80116,FALSE,-,-,Ma La Chi Huo Chinese Cuisine,346 Spadina Ave,Toronto,M5T 2G2,ON,CAN,6479398388,6475002188,4169536708,,,,,,
80117,FALSE,-,-,Gateway Asian Grill,106 Main St,Blaine Lake,S0J 0J0,SK,CAN,3064972555,,,,,,,,
80118,FALSE,-,-,Hareg Cafe & Variety,587 Bank St,Ottawa,K1S 3T4,ON,CAN,6136952488,,,,,,,,
80119,FALSE,-,-,Let's Grill Sushi & Izakaya,10709 Jasper Avenue,Edmonton,T5J3N3 ,AB,CAN,7802642708,,,,,,,,
80120,FALSE,-,-,Ancom Chinese Restaurant,834 The Queensway,Etobicoke,M8Z 1N5,ON,CAN,4162512227,4162512228,6479643885,,,,,,
80121,FALSE,-,-,County General,936 Queen St W,Toronto,M6J 1G9,ON,CAN,4165314447,,,,,,,,
,TRUE,14 Nipigon Ave,-,Tanoshii Sushi,14 Nipigon Ave,Markham,L6C 0X7,ON,CAN,3213213213,3213213213,,,,,,,
80122,FALSE,-,-,Viva Mexico Restaurant Grill,20505 Fraser Hwy,Langley,V3A 4G3,BC,CAN,6045327708,,,,,,,,
80123,FALSE,-,-,Mr. Rice,630 St Clair Ave W,Toronto,M6C 1A9,ON,CAN,2152216490,9179126622,,,,,,,
80124,FALSE,-,-,Shawarma Station,129-2446 Bank Street,Ottawa,K1V 1A4,ON,CAN,6137372121,,,,,,,,
80125,FALSE,-,-,TJ's Cafe,180 King St S,Waterloo,N2J 1P8,ON,CAN,5197453960,,,,,,,,
,TRUE,13071 Yonge St,-,Georgy Porgy's,13071 Yonge St,Richmond Hill,L4E 1A5,ON,CAN,2892344477,,,,,,,,
80126,FALSE,-,-,Wing Machine,1158 Bloor Street W,Toronto,M6H 1N1,ON,CAN,4165361880,6478845224,,,,,,,
,TRUE,1285 Elgin Mills Rd E,-,Akimi Japanese Cuisine,1285 Elgin Mills Rd E,Richmond Hill,L4S 0B5,ON,CAN,9058830188,6479905026,,,,,,,
80127,FALSE,-,-,Kung Fu Chop Chop,16 Vogell Road,Richmond Hill,L4B 3K4,ON,CAN,6478001111,,,,,,,,
80128,FALSE,-,-,Le Casablanca,55 Byward Market Square,Ottawa,K1N 1K1,ON,CAN,6132442519,6138182718,8193282235,,,,,,
80129,FALSE,-,-,Babaz Shawarma,243 Wharncliffe Road North,London,N6H 2B9,ON,CAN,5192046703,,,,,,,,
80130,FALSE,-,-,Irie Bites Cafe,210 Dundas St,London,N6A 5J3,ON,CAN,5198584743,5198529332,,,,,,,
80131,FALSE,-,-,Bunty's Chester Fried Chicken,820 Ellice Ave,Winnipeg,R3G 0B9,MB,CAN,2044211113,2047776666,,,,,,,
80132,FALSE,-,-,Paramount Fine Foods,769 Southdale Rd E,London,N6E 3B9,ON,CAN,5196681800,9059213010,,,,,,,
80133,FALSE,-,-,Pho Xyclo Vietnamese Restaurant,6175 Dunn Street,Niagara Falls,L2G 2B4,ON,CAN,9053538472,2899693300,9053214238,,,,,,
80134,FALSE,-,-,Miki Sushi Express,222 Baseline Road,Sherwood Park,T8H 1S8,AB,CAN,7804676752,7807092031,,,,,,,
80135,FALSE,-,-,Gyutaro,521 Bloor Street W,Toronto,M5S 1Y4,ON,CAN,6473527200,6478864078,,,,,,,
,TRUE,456 Norfolk St S,-,J. C Sushi,456 Norfolk St S,Simcoe,N3Y 2X3,ON,CAN,5194266888,6475058372,6479886968,,,,,,
,TRUE,1991 E Hastings St,-,Volcano Sushi,1991 E Hastings St,Vancouver,V5L 1T2,BC,CAN,5865666666,,,,,,,,
80136,FALSE,-,-,Shanghai Restaurant,106 Humber College Blvd,Etobicoke,M9V4E4 ,ON,CAN,4082451342,,,,,,,,
,TRUE,217 Parliament St,-,Westown Chinese,217 Parliament St,Toronto,M5A 2Z4,ON,CAN,6473452225,4166171919,6475429956,4166174949,,,,,
80137,FALSE,-,-,Lucky Star,5527 Hastings St,Burnaby,V5B 1R2,BC,CAN,6042942773,5877070488,6042948498,,,,,,
80138,FALSE,-,-,Bubble Sushi,783 Northmount Dr NW,Calgary,T2L 0A1,AB,CAN,4032823613,4036061398,4039097288,,,,,,
80139,FALSE,-,-,Chang's Restaurant,383 Elgin St N,Cambridge,N1R 8C1,ON,CAN,5197401181,5197400047,5197213370,6478338000,,,,,
80140,FALSE,-,-,Sun Sun Restaurant,44 Macdonell St,Guelph,N1H 2Z3,ON,CAN,2075828888,2075826688,,,,,,,
80141,FALSE,-,-,Red Star Chinese Restaurant,3301 Gaetz Ave (50 Av),Red Deer,T4N 3Y2,AB,CAN,4033095566,4033188881,,,,,,,
,TRUE,35 Harvard Rd,-,Ray's Chinese,35 Harvard Rd,Guelph,N1G 3A2,ON,CAN,5198235197,6472338878,5195150109,4166698872,4043156887,6478900133,,,
,TRUE,1668 W Broadway,-,Bashu Sichuan,1668 W Broadway,Vancouver,V6J 1X6,BC,CAN,6047395888,7788583298,,,,,,,
80142,FALSE,-,-,Vietnamese Garden Restaurant,9-88 Howarth St,Red Deer,T4N 6V9,AB,CAN,5872731388,4035985898,,,,,,,
80143,FALSE,-,-,128 Asian Cuisine,115 Talbot St W,Aylmer,N5H 1J6,ON,CAN,5192666813,2267005188,,,,,,,
80144,FALSE,-,-,Musou Sushi,110 22470 Dewdney Trunk Road,Maple Ridge,V2X 5Z6,BC,CAN,6044774447,7788899113,7783788998,,,,,,
80145,FALSE,-,-,Don’s Restaurant,4809 Centre St NW,Calgary,T2E 2Z6,AB,CAN,4032772817,4038091966,,,,,,,
80146,FALSE,-,-,Ming Kitchen,1015 University Avenue W,Windsor,N9A 5S6,ON,CAN,5192540828,2263475848,5195677839,5199035581,5192540389,,,,
80147,FALSE,-,-,Family Garden,7 Assiniboine Drive,Saskatoon,S7K 1H1,SK,CAN,3069547788,3062419239,,,,,,,
80148,FALSE,-,-,Pacha,2095 Prince of Wales Drive,Richardson,S0G 4G0,SK,CAN,3065592838,,,,,,,,
80149,FALSE,-,-,Mongolian Indulgence,270 Baseline Road,Sherwood Park,T8H 1R4,AB,CAN,7804173638,7807099098,,,,,,,
80150,FALSE,-,-,Sushi Jade,992 University Ave West,Windsor,N9A 5S2,ON,CAN,5199920216,6473895588,6473889928,,,,,,
80151,FALSE,-,-,Maple Sushi,30 Disera Drive,Thornhill,L4J 0A7,ON,CAN,9057092238,6472948850,6479936966,6479927779,6478688299,,,,
80152,FALSE,-,-,Afghan Turkish Cuisine,422 Willingdon Ave,Burnaby,V5C 5G4,BC,CAN,6045634131,7788929451,,,,,,,
,TRUE,156 The Queensway,-,Wok Terminal,156 The Queensway,Etobicoke,M8Y 1J2,ON,CAN,4162550505,4165080989,,,,,,,
,TRUE,350 Ontario St,-,Big Tuna Asian Cuisine,350 Ontario St,St Catharines,L2R 5L8,ON,CAN,9056879888,6472919992,6477722726,,,,,,
80153,FALSE,-,-,Hot Wok,461 Guelph Line,Burlington,L7R 3L8,ON,CAN,2256878889,2256878288,,,,,,,
80154,FALSE,-,-,Sunrise Restaurant,125 Idylwyld Dr. N,Saskatoon,S7L 0Y6,SK,CAN,3069742064,,,,,,,,
,TRUE,5003 52 Ave,-,Twin Dragon Restaurant,5003 52 Ave,Beaumont,T4X 100000,AB,CAN,8162339116,,,,,,,,
80155,FALSE,-,-,Hirado Sushi Restaurant,1431 Commerical Dr,Vancouver,V5L 3X8,BC,CAN,6042559050,7787730911,,,,,,,
80156,FALSE,-,-,Hiro Japanese Restaurant,19537 Fraser Highway,Surrey,V3S 6K7,BC,CAN,9043638888,9047086623,9045148613,9045994656,9048818680,4088006662,9046875378,,
80157,FALSE,-,-,Phat Albert's Wok and Grill,911 Commissioners Road East,London,N5Z 3H9,ON,CAN,5196422262,,,,,,,,
80158,FALSE,-,-,Vietnam House Restaurant,2122 E Hastings St,Vancouver,V5L 1V2,BC,CAN,6042511268,6043021615,7789176594,7783028573,,,,,
80159,FALSE,-,-,Maple Sushi,2563 Major Mackenzie Drive W,Vaughan,L6A 1G5,ON,CAN,9057092238,6472948850,6479936966,6479927779,6478688299,,,,
80160,FALSE,-,-,Le Kim Chi Restaurant,420 Preston Street,Ottawa,K1S 4N2,ON,CAN,6132332433,,,,,,,,
,TRUE,3650 Dundas St,-,China Taste,3650 Dundas St,Burlington,L7M 4B8,ON,CAN,6302629580,6302629581,6309239585,,,,,,
80161,FALSE,-,-,Pan Flame,6510 48 Avenue,Camrose,T4V 3A3,AB,CAN,5873860055,4038721397,7789630778,2506824211,2508994326,7807818850,,,
80162,FALSE,-,-,Wings Up!,65 University Ave E,Waterloo,N2J 2V9,ON,CAN,5197255252,,,,,,,,
80163,FALSE,-,-,Saboroso Brazilian Steakhouse,2600 8th St E,Saskatoon,S7H 0V7,SK,CAN,3062494454,3062494450,,,,,,,
80164,FALSE,-,-,Caribbean Sizzler,133 Bank St,Ottawa,K1P 5N7,ON,CAN,6135697000,,,,,,,,
80165,FALSE,-,-,Slice and Co.,399 Elgin Street,Ottawa,K2P 1M9,ON,CAN,6136272345,,,,,,,,
,TRUE,3010 Arlington Ave,-,Izumi Restaurant,3010 Arlington Ave,Saskatoon,S7J 2J9,SK,CAN,3066529911,3062911002,,,,,,,
80166,FALSE,-,-,Mama's Hot Italian Sandwiches,797 York Street,London,N5W 6A8,ON,CAN,5196456262,,,,,,,,
80167,FALSE,-,-,Sunny & Rose‘s Bar and Grill,5114 Roblin Blvd,Winnipeg,R3R 0G9,MB,CAN,2044144055,,,,,,,,
,TRUE,462 Birchmount Rd,-,Panda Wok,462 Birchmount Rd,Scarborough,M1K 1N8,ON,CAN,4253742185,4252489786,,,,,,,
80168,FALSE,-,-,Original Barrio Fiesta,45 Overlea Blvd,Toronto,M4H 1C3,ON,CAN,6473465706,6475257908,6476075058,,,,,,
,TRUE,1765 Kenaston Blvd,-,Phoenix Square,1765 Kenaston Blvd,Winnipeg,R3Y 1V8,MB,CAN,2046153338,,,,,,,,
80169,FALSE,-,-,D & P Vietnamese Restaurant,860 Victoria Ave E,Regina,S4N 7A9,SK,CAN,3065223777,3062160675,,,,,,,
,TRUE,374 Richmond St,-,A-One Asian Buffet,374 Richmond St,London,N6A 3C7,ON,CAN,5194397888,,,,,,,,
80170,FALSE,-,-,Pita Lite,2325 Matheson Blvd E,Mississauga,L4W 5B6,ON,CAN,9052829500,6474281236,,,,,,,
80171,FALSE,-,-,Saltwater Restaurant & Bar,284 Duckworth St,St John s,A1C 1H3,NL,CAN,7097545670,,,,,,,,
80172,FALSE,-,-,Shawliz Restaurant,3180 St Johns St,Port Moody,V3H 2C7,BC,CAN,6045664222,,,,,,,,
80173,FALSE,-,-,Wimpy's Diner,586 Kerr Street,Oakville,L6K 30000,ON,CAN,9058426417,4164196198,,,,,,,
80174,FALSE,-,-,Ginza Ramen Sushi and Sake Bar Restaurant,280 Elgin Street,Ottawa,K2P 1M2,ON,CAN,6132332888,,,,,,,,
,TRUE,10412 63 Ave NW,-,Asian Express Hot Pot,10412 63 Ave NW,Edmonton,T6H 4J5,AB,CAN,7809883318,7807087160,7804218300,7807092742,,,,,
,TRUE,144 Thames St S,-,Sushi Eleven,144 Thames St S,Ingersoll,N5C 2T4,ON,CAN,5194850111,4167216788,6474620888,6479836933,,,,,
80175,FALSE,-,-,Asian Garden,2002 8 St E,Saskatoon,S7H 0T9,SK,CAN,6088509818,6082395699,,,,,,,
80176,FALSE,-,-,Burnaby Palace,3110 Boundary Rd,Burnaby,V5M 4A2,BC,CAN,6044371818,7785220021,,,,,,,
,TRUE,1564 George St,-,Silver Dragon,1564 George St,White Rock,V4B 4A3,BC,CAN,6045364848,7788993387,7789973387,6045363838,,,,,
,TRUE,2757 Spruce St,-,Great Wall,2757 Spruce St,Prince George,V2L 2S2,BC,CAN,3156997078,3156997215,6463315572,,,,,,
,TRUE,30 Farnham Gate Rd,-,Canton Garden,30 Farnham Gate Rd,Halifax,B3M 0H8,NS,CAN,9024067788,9024488528,9024231186,9024898388,9024888528,6478966773,9024438528,,
80177,FALSE,-,-,Jane Bond BBQ,4024 26 St SE,Calgary,T2B 2Y4,AB,CAN,4032777064,4034783365,,,,,,,
80178,FALSE,-,-,Wok N Roll,12730 82 St. NW,Edmonton,T5E 2T1,AB,CAN,6095673515,6095673466,6465771169,,,,,,
80179,FALSE,-,-,North Garden,552 Clarke Road,Coquitlam,V3J 3X5,BC,CAN,6044218863,,,,,,,,
80180,FALSE,-,-,Dragon Court,931 Oxford St East,London,N5Y 3K1,ON,CAN,7045960228,,,,,,,,
80181,FALSE,-,-,A1 Chinese,6188 Malden Rd,Windsor,N9H 1T1,ON,CAN,5197341388,2262468192,5199992022,,,,,,
80182,FALSE,-,-,Chinese Village,512 6 St SW,Calgary,T2P 1X3,AB,CAN,4032698880,,,,,,,,
80183,FALSE,-,-,Wok Stop,271A Morningside Ave,Scarborough,M1E 3G1,ON,CAN,4167921175,6479905788,,,,,,,
,TRUE,1702 Alexandra Ave,-,New Red Lantern Inn Chinese Restaurant,1702 Alexandra Ave,Saskatoon,S7K 3C5,SK,CAN,3066657335,3065805656,3063609994,,,,,,
,TRUE,24 Coburg St,-,Asia's Best Cuisine,24 Coburg St,Saint John,E2L 3J5,NB,CAN,5066931497,5067216188,5066529057,2368864816,,,,,
80184,FALSE,-,-,Zen 8 Grill,421 12 Ave SE,Calgary,T2G 1A5,AB,CAN,4032611888,4033831435,,,,,,,
80185,FALSE,-,-,Seoul Restaurant,5170 Duke Street,Halifax,B3J 1N7,NS,CAN,9024043414,,,,,,,,
80186,FALSE,-,-,Bombay Chaat and Dosa,2580 Shepard Ave,Mississauga,L5A 4K3,ON,CAN,9059496600,6478081837,,,,,,,
80187,FALSE,-,-,Salt & Pepper,13767 72 Avenue,Surrey,V3W 9Z1,BC,CAN,7785647705,7788836562,,,,,,,
80188,FALSE,-,-,Basa's Hot Dog World,1175A St Clair Ave W,Toronto,M6E 1B5,ON,CAN,6474990132,,,,,,,,
,TRUE,1717 Kenaston Blvd,-,Asoyama Sushi,1717 Kenaston Blvd,Winnipeg,R3Y 1V5,MB,CAN,2044874222,,,,,,,,
80189,FALSE,-,-,A+ Sushi,202 Bank St,Ottawa,K2P 2H6,ON,CAN,6132340888,6134046258,,,,,,,
80190,FALSE,-,-,Sushi KOKO,800 Dundas Street E,Mississauga,L4Y 2B6,ON,CAN,9056151115,,,,,,,,
,TRUE,755 Dundas St W,-,Bombay To Go,755 Dundas St W,Mississauga,L5C 3B6,ON,CAN,9052767787,,,,,,,,
80191,FALSE,-,-,Badass Jacks,9-527 Nelson Rd.,Saskatoon,S7S 1P4,SK,CAN,3069792525,,,,,,,,
80192,FALSE,-,-,Crazy Piano Persian Grill,320 Water St,Peterborough,K9H 7N9,ON,CAN,7059911625,7057610600,,,,,,,
80193,FALSE,-,-,Khana Khazana Restaurant,14343 Macleod Trail,Calgary,T2Y 1M7,AB,CAN,4032551666,4033996494,,,,,,,
80194,FALSE,-,-,Georgy Porgy‘s,1448 Lawrence Ave E,Toronto,M4A 2V6,ON,CAN,4162858980,4164508593,6473321784,,,,,,
80195,FALSE,-,-,Extreme Pita Catering,201 1 Ave S,Saskatoon,S7K 1J5,SK,CAN,3069544600,3068811021,,,,,,,
80196,FALSE,-,-,Aji Sai Japanese Restaurant,178 Ontario Street,Kingston,K7L 2Y7,ON,CAN,6139663939,,,,,,,,
80197,FALSE,-,-,I Like Sushi,5875 Rochdale Blvd,Regina,S4X 2P9,SK,CAN,3067898998,3065312328,6476066299,3065960520,3065800968,,,,
80198,FALSE,-,-,I Love Sushi,3622 Eastgate Dr.,Regina,S4Z 1A5,SK,CAN,3067898996,3065019708,3065526352,,,,,,
80199,FALSE,-,-,Spices of Punjab,320 Victoria Ave,Regina,S4N 0N7,SK,CAN,3065431000,,,,,,,,
80200,FALSE,-,-,Blue Orchid Chinese Resturant,11235 Jasper Ave,Edmonton,T5K 0L5,AB,CAN,7807611235,7807087160,7804218300,7806043863,,,,,
80201,FALSE,-,-,Kishu River Japanese Restaurant,3339 Kingsway St,Vancouver,V5R 2T3,BC,CAN,6044338857,,,,,,,,
80202,FALSE,-,-,Momo Sushi,375 Water Street,Vancouver,V6B 5C6,BC,CAN,6046837632,7788755224,6047262864,7786865760,7789800825,,,,
,TRUE,3978 Hastings St,-,Hastings Sushi,3978 Hastings St,Burnaby,V5C 2J1,BC,CAN,6044737900,,,,,,,,
80203,FALSE,-,-,Oak's Garden,128 Speers Rd.,Oakville,L6K 20000000,ON,CAN,9058456611,6478308822,,,,,,,
80204,FALSE,-,-,Dynasty Gourmet Asian Buffet,1700 Broad St,Regina,S4P 1Z4,SK,CAN,3065438866,,,,,,,,
80205,FALSE,-,-,Yen Fung Ding Dumpling Shoppe,628 Somerset St W,Ottawa,K1R 5K4,ON,CAN,6132330660,6138681298,,,,,,,
80206,FALSE,-,-,Miki Sushi Express,13508 Victoria Trail NW,Edmonton,T5A 5C9,AB,CAN,7804676752,7807092031,,,,,,,
80207,FALSE,-,-,Good Times Asian Bistro & Bar,122-270 Baseline Rd,Sherwood Park,T8H 1R4,AB,CAN,7804495462,,,,,,,,
80208,FALSE,-,-,Bangkok Fusion,1043 Devonshire Drive,Regina,S4X 4L2,SK,CAN,3065804544,,,,,,,,
,TRUE,81 Yorkville Ave,-,Koko Sharebar,81 Yorkville Ave,Toronto,M5R 1C1,ON,CAN,4168506135,,,,,,,,
,TRUE,60 Dundas St E,-,Pho Lam,60 Dundas St E,Mississauga,L5A 1W4,ON,CAN,9058968899,6474645710,9054573833,6475235710,,,,,
80209,FALSE,-,-,Mexico Lindo Express,2600 Birchmount Rd,Scarborough,M1T 2M5,ON,CAN,6477480679,,,,,,,,
80210,FALSE,-,-,Lily Gourmet Restaurant,1332 Huron St,London,N5V 200,ON,CAN,2266634775,6472484588,6479498087,6479288087,,,,,
,TRUE,11044 82 Ave NW,-,Mandarin Restaurant,11044 82 Ave NW,Edmonton,T6G 0T2,AB,CAN,7149625789,7149625789,9492323880,,,,,,
80211,FALSE,-,-,Tandoori Raj Restaurant,689 65 Ave E,Vancouver,V5X 2P7,BC,CAN,6043251301,6043273355,6043250040,,,,,,
80212,FALSE,-,-,Tandoor N Flame,4807 50 Ave,Red Deer,T4N 4A5,AB,CAN,4033477600,4033021033,4037552433,,,,,,
80213,FALSE,-,-,Kothu Rotti Restaurant,408 Dalhousie St,Ottawa,K1N 9J9,ON,CAN,6136807812,6478087193,6134001722,,,,,,
,TRUE,1298 Kingston Rd,-,1298 Sushi,1298 Kingston Rd,Pickering,L1V 1B7,ON,CAN,9058393988,6473399318,6478238488,,,,,,
80214,FALSE,-,-,Mojos Pizzeria & Donair,3011 26 Ave SW,Calgary,T3E 0M7,AB,CAN,4032495111,4036177816,,,,,,,
80215,FALSE,-,-,Taste of Yunnan,438 Dundas St W,Toronto,M5T 1G7,ON,CAN,6473500311,,,,,,,,
,TRUE,275 Bank St,-,Pho Bo Ba Truc,275 Bank St,Ottawa,K2P 2P1,ON,CAN,6132338717,,,,,,,,
80216,FALSE,-,-,First Choice Chinese,7080 Kingsway,Burnaby,V5E 100000,BC,CAN,6045210800,6048893365,6042157638,7789980203,6048891923,7789988796,6045001923,,
,TRUE,710 Watt St,-,Wing's Restaurant,710 Watt St,Winnipeg,R2K 2S7,MB,CAN,2046632633,,,,,,,,
80217,FALSE,-,-,Makisu Sushi,1517 Mayor Magrath Dr South,Lethbridge,T1K 2R4,AB,CAN,4033282525,5872202616,4033933313,6479808068,5672203136,,,,
80218,FALSE,-,-,Silver China,79 Elgin St N,Cambridge,N1R 5H4,ON,CAN,5196211311,9056175633,,,,,,,
80219,FALSE,-,-,TCJ Restaurant,64B Queen St E,Toronto,M5C 2T3,ON,CAN,4163689988,6473825888,6479280689,,,,,,
,TRUE,2365 Burrard St,-,TimKee Kitchen Cantoness Szechuan Cuisine,2365 Burrard St,Vancouver,V6J 3J2,BC,CAN,6047388628,6048173333,,,,,,,
80220,FALSE,-,-,Tianjin Chinese Restaurant,11-222 16 Ave NE,Calgary,T2E 1J8,AB,CAN,4032770908,5879686507,,,,,,,
,TRUE,1224 Davie St,-,Ho Ho Yummy Food,1224 Davie St,Vancouver,V6E 1N3,BC,CAN,6046889896,6047107289,6045663708,,,,,,
80221,FALSE,-,-,China Coast,9 Main Street West,Saint John,E2M 3M9,NB,CAN,5066351774,5066399368,,,,,,,
80222,FALSE,-,-,Sun Hong BBQ & Seafood,2037 Wyandotte St. W,Windsor,N9B 1J8,ON,CAN,5192557808,6475888725,5199921897,4167287669,,,,,
80223,FALSE,-,-,Bobby Chao's,34 Edgedale Dr. NW,Calgary,T3A 2R4,AB,CAN,4032077840,4036511188,4035474356,5873237880,4037502295,4038808939,,,
,TRUE,9120 82 Ave NW,-,Szechuan Mango (Chinese Szechuan Stir Fry),9120 82 Ave NW,Edmonton,T6C 0Z5,AB,CAN,7804337070,7809169818,7804331314,7807219898,7804737607,,,,
80224,FALSE,-,-,Thirsty Monk,21 Celina St,Oshawa,L1H 1A8,ON,CAN,9057283219,,,,,,,,
,TRUE,8 Washington St,-,Chef Lin,8 Washington St,Markham,L3P 2R2,ON,CAN,2895541128,6472424569,2895546868,,,,,,
80225,FALSE,-,-,WingsUp!,2399 Kingsway Drive,Kitchener,N2C 1A5,ON,CAN,5198930202,,,,,,,,
,TRUE,8380 Kennedy Rd,-,Spice House,8380 Kennedy Rd,Markham,L3R 0W4,ON,CAN,9053056661,6475456686,,,,,,,
80226,FALSE,-,-,"Fonkoosh Pita, Crepe & Grill",11 Pearl St,Mississauga,L5M 1X1,ON,CAN,9058129696,,,,,,,,
80227,FALSE,-,-,Neechie Pizzeria,3040 5th Ave,Regina,S4T 0L5,SK,CAN,3067750400,,,,,,,,
80228,FALSE,-,-,Bikaner Sweets and Bakery,121-7171 80 Ave NE,Calgary,T3J 0P6,AB,CAN,4035686666,4037025555,4037011645,5877036480,,,,,
,TRUE,7137 Argyll Rd NW,-,9 Grill Restaurant,7137 Argyll Rd NW,Edmonton,T6B 4A9,AB,CAN,7807053082,,,,,,,,
80229,FALSE,-,-,Green Tea Asian Cuisine,1009 Wonderland Rd S,London,N6K 3V1,ON,CAN,5196681617,,,,,,,,
80230,FALSE,-,-,Fat Tuna Japanese Bistro,11796 Fraser St,Maple Ridge,V2X 6C7,BC,CAN,6044791177,7789321070,6043536797,,,,,,
,TRUE,1801 Dundas St E,-,Food Village,1801 Dundas St E,Whitby,L1N 9G3,ON,CAN,9057431111,9057439237,6478584423,,,,,,
80231,FALSE,-,-,Caribbean Authentic Restaurant,6660 Kennedy Road,Mississauga,L5T 2M9,ON,CAN,9055650080,6472319314,,,,,,,
