Snowball_ID,Date,first_visit,page_view,session_start,scroll,video_complete,video_progress,video_start,user_engagement,form_start,click,AnyFormSubmit,Any_Form-Submit,Phone_Number_Click,referraliwatch,Company,Trade.Name,Company.Name,Executive.Title.Description,First.Name,Last.Name,Telephone.No.,Address,City,State,Zip,Employee.Size,Minority.Owned.Indicator,Minority.Code,Sales.Volume,LSDI_ETHNIC.CODE,Ethic.Code,Ethnic.Group,Small.Business.Indicator
64945,20230602,1,4,2,0,0,0,0,0,0,0,0,0,0,0,CHINA CAFE,,,,,,(510) 632-1212,8012 MACARTHUR BLVD,OAKLAND,CA,94605-3548,NA,,,NA,,Chinese,,
64945,20230602,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CHINA CAFE,,,,,,(510) 632-1212,8012 MACARTHUR BLVD,OAKLAND,CA,94605-3548,NA,,,NA,,Chinese,,
64945,20230601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CHINA CAFE,,,,,,(510) 632-1212,8012 MACARTHUR BLVD,OAKLAND,CA,94605-3548,NA,,,NA,,Chinese,,
64865,20230607,2,2,2,2,0,0,0,0,0,0,0,0,0,0,MR GREEN BUBBLE,,,,,,(510) 400-3145,1644 DECOTO RD,UNION CITY,CA,94587-3544,1,N,,29735,0,Chinese,,Y
64841,20230615,2,2,2,2,0,0,0,2,0,0,0,0,0,0,I-SHANGHAI DELIGHT,,,,,,(925) 718-5233,2416 SAN RAMON VALLEY BLVD STE 140,SAN RAMON,CA,94583-1675,NA,,,NA,,Chinese,,
64814,20230610,1,1,1,1,1,1,1,0,0,0,0,0,0,0,CHINESE BAKERY AND DELI,,,,,,(510) 708-8498,981 MANOR BLVD,SAN LEANDRO,CA,94579-1609,NA,,,NA,,Chinese,,
64689,20230601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,SUMO GRILL,,,,,,(925) 387-8171,1170 ARNOLD DR STE 106,MARTINEZ,CA,94553-6802,NA,,,NA,,Japanese,,
64689,20230601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,SUMO GRILL,,,,,,(925) 387-8171,1170 ARNOLD DR STE 106,MARTINEZ,CA,94553-6802,NA,,,NA,,Japanese,,
64585,20230601,2,2,2,2,0,0,0,0,0,0,0,0,0,0,PAPASAN ROLLS AND BOWLS,PAPASAN ROLLS AND BOWLS,,SECRETARY,JESSE,MOORES,(510) 795-8638,3353 WALNUT AVE,FREMONT,CA,94538-2217,6,N,,500000,T3,Japanese,W,Y
64570,20230622,0,0,2,0,0,0,0,2,0,1,0,0,1,0,KUNG FU DIM SUM,,,,,,(510) 894-1386,4370 THORNTON AVE,FREMONT,CA,94536-4828,7,N,,95967,0,Chinese,,Y
64570,20230621,1,1,1,0,0,0,0,0,0,1,0,0,1,0,KUNG FU DIM SUM,,,,,,(510) 894-1386,4370 THORNTON AVE,FREMONT,CA,94536-4828,7,N,,95967,0,Chinese,,Y
64570,20230614,2,2,2,2,0,0,0,2,0,0,0,0,0,0,KUNG FU DIM SUM,,,,,,(510) 894-1386,4370 THORNTON AVE,FREMONT,CA,94536-4828,7,N,,95967,0,Chinese,,Y
64570,20230613,1,1,1,0,0,0,0,1,1,0,1,1,0,0,KUNG FU DIM SUM,,,,,,(510) 894-1386,4370 THORNTON AVE,FREMONT,CA,94536-4828,7,N,,95967,0,Chinese,,Y
64548,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,KYOTO RAMEN,,,PRINCIPAL,VINH,TU,(510) 833-2788,3050 EL CERRITO PLZ,EL CERRITO,CA,94530-4011,7,N,Y,87243,RH,Japanese,O,Y
64497,20230607,1,1,1,0,0,0,0,1,1,0,1,1,0,0,YUMMY HOUSE,,,,,,(925) 679-4697,2300 SAND CREEK RD STE G1,BRENTWOOD,CA,94513-5651,NA,,,NA,,Japanese,,
64467,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,SUSHI & MORE,,,,,,(510) 263-8171,1245 PARK ST,ALAMEDA,CA,94501-5247,NA,,,NA,,Japanese,,
64452,20230702,2,2,2,0,0,0,0,0,0,0,0,0,0,0,SACHI SUSHI,,,OWNER,WAN,BHEN,(510) 769-8898,1707 LINCOLN AVE,ALAMEDA,CA,94501-2508,9,N,Y,167595,R3,Chinese,O,Y
64425,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,KINGKAT BAR & EATERY,,,,,,(650) 458-3838,33 W 25TH AVE,SAN MATEO,CA,94403-2236,NA,,,NA,,Asian Fusion,,
64400,20230601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,SHIHLIN TAIWAN STREET SNACKS,,,OWNER,PATRICIA,LEE,(650) 558-1988,142 E 3RD AVE,SAN MATEO,CA,94401-4013,2,N,,92393,T3,Chinese,W,Y
64181,20230602,1,1,2,1,1,1,1,0,0,0,0,0,0,0,RED A DIM SUM,,,PRINCIPAL,LAM,YU,(415) 668-8881,634 CLEMENT ST,SAN FRANCISCO,CA,94118-2207,7,N,Y,259904,R3,Chinese,O,Y
64146,20230605,2,2,2,2,0,0,0,0,0,0,0,0,0,0,KINGDOM OF DUMPLINGS,,,,PATTARAPORN,CALLORINA,(415) 566-6143,1713 TARAVAL ST,SAN FRANCISCO,CA,94116-2308,13,N,Y,264017,RF,Chinese,O,Y
64059,20230601,1,1,1,1,0,0,0,0,0,0,0,0,0,0,FUMI JAPANESE CURRY & RAMEN,,,,,,(415) 757-0901,3303 MISSION ST,SAN FRANCISCO,CA,94110-5008,9,N,,114001,0,Japanese,,Y
63822,20230601,2,2,2,2,0,0,0,2,0,0,0,0,0,0,I DUMPLING,,,,JIZHI,FU,(650) 568-9789,2660 BROADWAY ST,REDWOOD CITY,CA,94063-1533,8,N,Y,117376,R3,Chinese,O,Y
63806,20230618,1,1,1,0,0,0,0,0,0,0,0,0,0,0,UDON MUGIZO MOUNTAIN VIEW,,,,,,(650) 961-8880,180 CASTRO ST,MOUNTAIN VIEW,CA,94041-2801,7,N,,123925,0,Japanese,,Y
63806,20230614,1,1,1,0,0,0,0,0,0,0,0,0,0,0,UDON MUGIZO MOUNTAIN VIEW,,,,,,(650) 961-8880,180 CASTRO ST,MOUNTAIN VIEW,CA,94041-2801,7,N,,123925,0,Japanese,,Y
63568,20230624,1,1,1,1,0,0,0,1,0,0,0,0,0,1,MR SUSHI FRANCISCO,,,,,,(559) 362-3394,4250 E KINGS CANYON RD,FRESNO,CA,93702-3602,7,N,,87243,0,Japanese,,Y
63250,20230702,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SUSHIWAY,,,,,,(805) 247-0998,455 S A ST,OXNARD,CA,93030-5903,NA,,,NA,,Japanese,,
63250,20230701,2,2,2,0,0,0,0,0,0,0,0,0,0,0,SUSHIWAY,,,,,,(805) 247-0998,455 S A ST,OXNARD,CA,93030-5903,NA,,,NA,,Japanese,,
63247,20230615,1,1,1,0,0,0,0,0,0,0,0,0,0,0,LITTLE SAMA OJAI,,,,,,(805) 335-4175,345 E OJAI AVE STE 2,OJAI,CA,93023-2738,NA,,,NA,,Asian Fusion,,
62771,20230612,2,2,2,0,0,0,0,0,0,0,0,0,0,0,HAPPY OASIS,,,,,,(949) 264-6094,30451 AVENIDA DE LAS FLORES UNIT E,RANCHO SANTA MARGARITA,CA,92688-3953,NA,,,NA,,Japanese,,
62302,20230708,1,1,1,1,0,0,0,1,0,0,0,0,0,0,RED DRAGON EXPRESS,,,,,,(562) 521-2074,14920 PERRIS BLVD STE B5,MORENO VALLEY,CA,92553-7175,NA,,,NA,,Chinese,,
62145,20230601,1,1,1,1,0,0,0,1,0,0,0,0,0,1,WABA GRILL,,,,,,(909) 346-0516,1309 RENAISSANCE PKWY STE 810,RIALTO,CA,92376-2426,NA,,,NA,,Asian Fusion,,
61011,20230701,2,2,2,1,1,1,1,1,0,0,0,0,0,0,CHIOU HOUSE TéŚsŤŚ,,,,TI,HO,(626) 474-8788,18303 COLIMA RD STE B,ROWLAND HEIGHTS,CA,91748-2796,7,N,Y,197451,RH,Chinese,O,Y
60395,20230701,1,1,1,0,0,0,0,0,0,0,0,0,0,0,THE CRAWFISH,,,,,,(818) 367-5209,13213 GLADSTONE AVE,SYLMAR,CA,91342-3116,NA,,,NA,,Cajun Seafood,,
60315,20230601,2,2,2,0,0,0,0,0,0,0,0,0,0,0,THE FLAME BROILER,FLAME BROILER,,,RAMIN,SOLEMON,(818) 772-9888,10364 MASON AVE,CHATSWORTH,CA,91311-3305,28,N,,0,D1,Asian Fusion,I,N
60208,20230612,1,1,1,0,0,0,0,1,0,0,0,0,0,0,SUSHISTOP PASADENA,,,,SHUJI,KIMURA,(626) 405-1518,58 E COLORADO BLVD,PASADENA,CA,91105-1902,8,N,Y,156016,R7,Japanese,O,Y
60207,20230609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,MING'S TASTY CHINESE FOOD,,,PRINCIPAL,BAOHUA,SUN,(626) 395-9806,456 E ORANGE GROVE BLVD STE 110,PASADENA,CA,91104-5235,7,N,Y,157086,R3,Chinese,O,Y
60165,20230612,3,3,3,2,0,0,0,0,0,1,0,0,0,0,KIKU SUSHI,,,,DONG,LEE,(626) 357-9971,670 W HUNTINGTON DR,MONROVIA,CA,91016-3261,5,N,Y,120462,R3,Japanese,O,Y
59940,20230613,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ASIAN STAR BUFFET,,,,MIKE,CHEN,(562) 630-6788,8524 ALONDRA BLVD,PARAMOUNT,CA,90723-5202,11,N,Y,249244,R3,Chinese,O,Y
59651,20230619,0,1,1,0,0,0,0,0,0,0,0,0,0,0,LEE'S KITCHEN,,,,,,(310) 539-1838,2880 PACIFIC COAST HWY,TORRANCE,CA,90505-6702,8,N,,136563,0,Chinese,,Y
59651,20230613,1,1,1,0,0,0,0,0,0,0,0,0,0,0,LEE'S KITCHEN,,,,,,(310) 539-1838,2880 PACIFIC COAST HWY,TORRANCE,CA,90505-6702,8,N,,136563,0,Chinese,,Y
59604,20230626,1,1,1,0,0,0,0,0,0,0,0,0,0,0,UENO SUSHI,,,,,,(424) 488-2422,1406 W CARSON ST,TORRANCE,CA,90501-3920,NA,,,NA,,Japanese,,
59604,20230613,1,1,1,0,0,0,0,0,0,0,0,0,0,0,UENO SUSHI,,,,,,(424) 488-2422,1406 W CARSON ST,TORRANCE,CA,90501-3920,NA,,,NA,,Japanese,,
59199,20230602,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NEW HONG KONG CHINESE EXPRESS,,,,,,(323) 296-2828,3991 S WESTERN AVE,LOS ANGELES,CA,90062-1193,NA,,,NA,,Chinese,,
59022,20230602,2,2,2,0,0,0,0,0,0,0,0,0,0,0,MY VEGAN GOLD,,,,PANISSRA,NAKSOMPOP,(323) 522-6500,4319 W SUNSET BLVD,LOS ANGELES,CA,90029-2111,10,N,,186191,0,Asian Fusion,,Y
58839,20230621,1,1,1,0,0,0,0,0,0,0,0,0,0,0,UH-JANG,,,,,,,3700 W OLYMPIC BLVD,LOS ANGELES,CA,90019-2040,NA,,,NA,,,,
57939,20230608,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NARUTO MAMPUKU,,,,,,,505 CENTRAL AVE NW,ALBUQUERQUE,NM,87102-3107,NA,,,NA,,,,
57730,20230627,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"OHYA SUSHI, KOREAN KITCHEN & BAR",OHYA KOREAN KITCHEN & BAR,,MEMBER,CHRIS,LEE,(602) 298-0110,4920 W THUNDERBIRD RD STE 117,GLENDALE,AZ,85306-4907,18,N,,660000,T3,Japanese,W,Y
57513,20230911,1,1,1,1,0,0,0,1,0,0,0,0,0,0,KING'S CHEF,,,,,,(480) 833-9259,1863 N STAPLEY DR STE 102,MESA,AZ,85203-3009,5,N,,85762,0,Chinese,,Y
57510,20230620,1,1,1,1,1,1,1,0,0,0,0,0,0,0,SUSHI STOP UDON & GRILL,,,,MEI,MIYAGAWA,(480) 878-4509,2023 W GUADALUPE RD,MESA,AZ,85202-7371,8,N,Y,105564,R3,Japanese,O,Y
57496,20230625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,YU TIAN XIA HOT POT,,,,ZEBO,ZHAO,(480) 669-9878,1948 W BROADWAY RD STE 106,MESA,AZ,85202-1156,7,N,Y,95967,R3,Chinese,O,Y
57104,20230615,2,2,2,2,0,0,0,2,0,0,0,0,0,0,SO DELICIOUS JAPANESE WASABI,,,PRESIDENT,JIMMY,WU,(801) 825-6128,1780 W 5600 S,ROY,UT,84067-2955,7,N,Y,190569,R3,Japanese,O,Y
57073,20230603,0,0,1,0,0,0,0,1,0,0,0,0,0,0,TORO RAMEN,,,,,,(801) 996-3365,7194 S UNION PARK AVE STE A,MIDVALE,UT,84047-4168,NA,,,NA,,Japanese,,
57073,20230602,1,1,1,0,0,0,0,0,0,0,0,0,0,0,TORO RAMEN,,,,,,(801) 996-3365,7194 S UNION PARK AVE STE A,MIDVALE,UT,84047-4168,NA,,,NA,,Japanese,,
57025,20230617,1,1,1,1,0,0,0,1,1,0,1,1,0,0,KIM KOREAN HOUSE & SUSHI BAR,,,,,,(385) 393-8172,1625 S 1000 W STE 6,CLEARFIELD,UT,84015-8595,8,N,,105564,0,Japanese,,Y
56416,20230611,1,1,1,1,0,0,0,1,0,0,0,0,0,0,GYU-KAKU JAPANESE BBQ,,,,,,(720) 726-4068,1998 18TH ST,DENVER,CO,80202-6316,NA,,,NA,,Japanese,,
56249,20230615,1,1,1,0,0,0,0,0,0,0,0,0,0,0,BIRDS NEST,,,,HUA,LIN,(303) 341-7002,10605 E MISSISSIPPI AVE,AURORA,CO,80012-3002,9,N,Y,231125,R3,Chinese,O,Y
55552,20230609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,MORI JAPANESE GRILL,MCDONALDS,,,SPERO,DROULIAS,(956) 631-2590,2200 S 10TH ST,MCALLEN,TX,78503-5437,12,N,,0,D4,Japanese,M,N
55405,20230606,1,1,1,1,0,0,0,1,1,0,0,0,0,0,GINZA RAMEN POKE AND BOBA,,,,,,,"8771 SH 151, STE 106",SAN ANTONIO,TX,78245-1982,NA,,,NA,,,,
54514,20230624,1,1,1,0,0,0,0,1,1,0,1,1,0,0,JJ CHINA DINER,,,,BIN,LIN,(281) 354-4111,25639 HIGHWAY 59 N STE 101,KINGWOOD,TX,77339-1795,15,N,Y,316478,R3,Chinese,O,Y
54011,20230609,1,1,1,0,0,0,0,1,1,0,1,1,0,0,HUNAN CUISINE,,,,,,(713) 988-8866,9888 BELLAIRE BLVD STE 168,HOUSTON,TX,77036-3430,NA,,,NA,,Chinese,,
53219,20230602,2,3,3,0,0,0,0,2,0,0,0,0,0,0,ICHIRO SAPPORO RAMEN,,,,,,(469) 372-6424,2555 INWOOD RD STE 139,DALLAS,TX,75235-7436,NA,,,NA,,Japanese,,
53191,20230616,1,1,1,0,0,0,0,1,0,0,0,0,0,0,GOJI CAFE,,,,JESSE,HWONG,(972) 243-1888,2330 ROYAL LN STE 900,DALLAS,TX,75229-7833,8,N,Y,177678,R3,Asian Fusion,O,Y
52807,20230615,1,1,1,1,0,0,0,0,0,0,0,0,0,0,PEI WEI ASIAN KITCHEN,,,GENERAL MANAGER,NOE,VILLEGAS,(972) 373-8000,7600 N MACARTHUR BLVD STE 102,IRVING,TX,75063-7582,12,N,Y,0,T9,Chinese,Y,N
52458,20230608,1,2,1,1,0,1,1,1,0,0,0,0,0,0,"SURA,KOREAN AND JAPANESE CUISINE",,,,,,(918) 488-1887,6946 S LEWIS AVE,TULSA,OK,74136-3913,NA,,,NA,,Japanese,,
52458,20230608,1,1,1,1,0,1,1,1,0,0,0,0,0,0,"SURA,KOREAN AND JAPANESE CUISINE",,,,,,(918) 488-1887,6946 S LEWIS AVE,TULSA,OK,74136-3913,NA,,,NA,,Japanese,,
52180,20230629,2,2,2,0,0,0,0,0,0,0,0,0,0,0,HISSHO SUSHI & CRAFT BEER BAR,,,,,,(479) 372-6338,4208 S PLEASANT CROSSING BLVD,ROGERS,AR,72758-1345,NA,,,NA,,Japanese,,
52136,20230608,1,1,1,0,0,0,0,0,0,0,0,0,0,0,KENJI JAPANESE EXPRESS,,,,,,(870) 654-7719,301 EUREKA AVE,BERRYVILLE,AR,72616-3833,NA,,,NA,,Japanese,,
51758,20230604,1,1,1,0,0,0,0,0,0,0,0,0,0,0,THAI KITCHEN,,,,SAM,SANGUANIUANG,(225) 346-1230,4550 CONCORD AVE,BATON ROUGE,LA,70808-3121,1,N,,65786,0,Japanese,,Y
51542,20230601,1,1,1,0,0,0,0,0,0,0,0,0,0,0,VICTOR'S CAFETERIA,,,,VICTOR,HUCKABY,(337) 369-9924,109 W MAIN ST,NEW IBERIA,LA,70560-3732,10,N,,275000,T3,Cajun Seafood,W,Y
51465,20230602,1,1,1,0,0,0,0,0,0,0,0,0,0,0,IZUMI RAMEN,,,,,,(337) 210-5894,2201 KALISTE SALOOM RD STE 1B,LAFAYETTE,LA,70508-7225,NA,,,NA,,Japanese,,
50862,20230609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,CHINA GARDEN,,,,NAI,LIN,(402) 483-1288,2901 S 84TH ST STE 11,LINCOLN,NE,68506-4287,10,N,Y,213560,RH,Chinese,O,Y
50785,20230813,1,1,1,1,0,0,0,1,0,0,0,0,0,0,NINJA SUSHI & STEAK HOUSE,,,ADMINISTRATION,JUN,XU,(620) 287-8089,416 N MAIN ST,GARDEN CITY,KS,67846-5428,8,N,Y,136551,R3,Japanese,O,Y
50785,20230813,1,1,1,1,0,0,0,1,0,0,0,0,0,0,NINJA SUSHI & STEAK HOUSE,,,ADMINISTRATION,JUN,XU,(620) 287-8089,416 N MAIN ST,GARDEN CITY,KS,67846-5428,8,N,Y,136551,R3,Japanese,O,Y
50785,20230810,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NINJA SUSHI & STEAK HOUSE,,,ADMINISTRATION,JUN,XU,(620) 287-8089,416 N MAIN ST,GARDEN CITY,KS,67846-5428,8,N,Y,136551,R3,Japanese,O,Y
50600,20230601,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SAINT SUSHI AND SAKE,,,,,,(913) 839-7131,227 CHEROKEE ST,LEAVENWORTH,KS,66048-2818,NA,,,NA,,Japanese,,
49632,20230606,1,1,1,1,0,0,0,1,1,0,1,1,0,0,BOMBAY CHOPSTICKS BY INDIA HOUSE,,,,JAGMOHAN,JAYARA,(331) 226-2928,1568 W OGDEN AVE STE 148,NAPERVILLE,IL,60540-4090,20,N,Y,173530,C3,Chinese,A,Y
49632,20230606,1,1,1,1,0,0,0,1,1,0,1,1,0,0,BOMBAY CHOPSTICKS BY INDIA HOUSE,,,,JAGMOHAN,JAYARA,(331) 226-2928,1568 W OGDEN AVE STE 148,NAPERVILLE,IL,60540-4090,20,N,Y,173530,C3,Chinese,A,Y
49317,20230628,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MICHI RAMEN BAR,,,,,,(406) 926-1186,137 W FRONT ST,MISSOULA,MT,59802-4303,NA,,,NA,,Japanese,,
49317,20230615,0,2,2,0,0,0,0,0,0,0,0,0,0,0,MICHI RAMEN BAR,,,,,,(406) 926-1186,137 W FRONT ST,MISSOULA,MT,59802-4303,NA,,,NA,,Japanese,,
49317,20230614,1,1,1,1,0,0,0,0,0,0,0,0,0,0,MICHI RAMEN BAR,,,,,,(406) 926-1186,137 W FRONT ST,MISSOULA,MT,59802-4303,NA,,,NA,,Japanese,,
48366,20230610,1,1,1,1,0,0,0,0,0,0,0,0,0,0,FUJI JAPANESE STEAKHOUSE,,,,DAVID,CHANG,(515) 232-8383,1614 S KELLOGG AVE STE 101,AMES,IA,50010-8007,17,N,Y,395891,R3,Japanese,O,Y
48245,20230608,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NOLAROUX - CASUAL CAJUN EATERY,,,,,,(269) 487-9577,2809 NILES AVE,SAINT JOSEPH,MI,49085-2415,NA,,,NA,,Cajun Seafood,,
48167,20230605,1,1,1,1,0,0,0,1,0,0,0,0,0,0,POKE FRESH,,,,,,(517) 253-7585,551 E GRAND RIVER AVE,EAST LANSING,MI,48823-4404,2,N,,33688,0,Japanese,,Y
48167,20230605,1,1,1,1,0,0,0,1,0,0,0,0,0,0,POKE FRESH,,,,,,(517) 253-7585,551 E GRAND RIVER AVE,EAST LANSING,MI,48823-4404,2,N,,33688,0,Japanese,,Y
47571,20230609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,BENIHANA,BENIHANA,,,MINDA,VENDEMELIO,(317) 846-2495,8830 KEYSTONE XING,INDIANAPOLIS,IN,46240-2110,28,N,,0,0,Japanese,,N
47471,20230617,1,1,1,0,0,0,0,0,0,0,0,0,0,0,KOTO JAPANESE STEAKHOUSE,,,,,,(317) 776-5686,13398 TEGLER DR,NOBLESVILLE,IN,46060-4968,13,N,,274149,0,Japanese,,Y
47298,20230607,1,1,1,1,0,0,0,0,0,0,0,0,0,0,CRAFTY CRAB KENWOOD,,,,MEI,PAN,(513) 407-8500,7677 MONTGOMERY RD,CINCINNATI,OH,45236-4236,6,N,Y,95967,R3,Cajun Seafood,O,Y
47079,20230615,1,2,2,1,0,0,0,0,0,0,0,0,0,0,KING CRAB,,,,,,(330) 849-5131,1562 AKRON PENINSULA RD,AKRON,OH,44313-5105,NA,,,NA,,Cajun Seafood,,
47078,20230709,1,1,1,1,0,0,0,1,1,0,1,1,0,0,MAKI HOUSE,,,,,,(234) 312-9302,790 ARLINGTON RDG UNIT 227,AKRON,OH,44312-5863,NA,,,NA,,Japanese,,
46882,20230603,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CAJUN JOE'S,CAJUN JOES,,PRESIDENT,JOSEPH,ASHKAR,(216) 231-7922,11341 BUCKEYE RD,CLEVELAND,OH,44104-3823,4,N,,200000,D7,Cajun Seafood,J,Y
46809,20230613,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HIBACHI LEGEND,,,,,,(567) 315-8313,5833 DORR ST,TOLEDO,OH,43615-3469,NA,,,NA,,Japanese,,
46809,20230601,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HIBACHI LEGEND,,,,,,(567) 315-8313,5833 DORR ST,TOLEDO,OH,43615-3469,NA,,,NA,,Japanese,,
