Snowball_ID,Date,first_visit,page_view,scroll,session_start,user_engagement,Phone_Number_Click,click,video_complete,video_progress,video_start,referraliwatch,AnyFormSubmit,Any_Form-Submit,form_start,Restaurant.Name,Mailing.Address,City.Name,State,TELEPHONENUMBER,Zip.Code,Carrier.code,Mailing.address.mailability.score,ABI.Number,Contact.First.Name,Contact.Last.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Owner.Minority,Location.Employment.Size.Description,Location.Sales.Volume.Description,Small.Business.Entrepreneur.Indicator,Franchise.Specialty.Description1,True.Franchise.Indicator,Ethnic.Code.Desc,Group.Code.Desc
26777,20230823,1,2,0,2,0,0,0,0,0,0,0,0,0,0,Sushi kampai,10312 BLOOMINGDALE AVE STE 111,RIVERVIEW,FL,(813) 620-3717,33578-3603,R059,1C,733882830,ZHIDAN,LI,,,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
26724,20230615,1,1,1,3,1,0,0,0,0,0,0,0,0,0,Sushi House,901 SUNRISE AVE STE A2,ROSEVILLE,CA,(916) 772-4344,95661-4520,C024,1C,590770202,JOSH,GURBAZAR,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
26724,20230615,1,2,1,3,2,0,0,0,0,0,0,0,0,0,Sushi House,901 SUNRISE AVE STE A2,ROSEVILLE,CA,(916) 772-4344,95661-4520,C024,1C,590770202,JOSH,GURBAZAR,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
26015,20230823,1,1,1,1,1,0,0,0,0,0,0,0,0,0,SOYA CAFE,6251 AIRPORT RD,EL PASO,TX,(915) 779-3722,79925-2027,C079,1C,674164769,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
25613,20230616,1,1,1,1,0,0,0,0,0,0,0,0,0,0,SHUN XING,79 AUGUSTA AVE,GROTTOES,VA,(540) 249-1888,24441-2507,R004,1C,220563449,BENNY,CHENG,MR,M,OWNER,,10-19,"LESS THAN $500,000",N,,,Chinese,Far Eastern
25404,20230611,2,2,0,2,0,0,0,0,0,0,0,0,0,0,SHAWNS SUSHI,5612 NW EXPRESSWAY,WARR ACRES,OK,(405) 792-2211,73132-5231,C052,1C,404393470,ZUO,CHANG,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
25404,20230609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,SHAWNS SUSHI,5612 NW EXPRESSWAY,WARR ACRES,OK,(405) 792-2211,73132-5231,C052,1C,404393470,ZUO,CHANG,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
25308,20230609,1,1,0,1,0,0,0,0,0,0,0,0,0,0,SHANGHAI EXPRESS,900 N AUSTIN AVE STE 606,GEORGETOWN,TX,(512) 864-9392,78626-4356,C008,1C,207804915,LEO,PONCE,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Hispanic,Hispanic
24706,20230705,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Sakura Hibachi & Sushi,829 W BALTIMORE PIKE,WEST GROVE,PA,(610) 869-5588,19390-9188,R006,1C,438148416,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
24678,20230610,1,1,1,1,1,0,0,1,1,1,0,0,0,0,SAKURA ASIAN BISTRO,7039 FM 1464 RD STE 180,RICHMOND,TX,(866) 894-5397,77407-2001,R036,2D,718317093,SHAWN,YE,MR,M,MANAGER,,10-19,"LESS THAN $500,000",N,,,Chinese,Far Eastern
24663,20230614,1,1,1,1,1,0,0,0,0,0,1,0,0,0,Sakura,4901 N KICKAPOO AVE STE 1626,SHAWNEE,OK,(405) 273-7777,74804-1309,C032,1C,427061772,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
24616,20230606,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Sake Sushi & Grill,884 S RAND RD STE G,LAKE ZURICH,IL,(847) 550-4621,60047-3412,R017,1C,424173773,WINNIE,WANG,MS,F,MANAGER,,5-9,"LESS THAN $500,000",N,,,Chinese,Far Eastern
24038,20230601,1,1,0,1,0,0,0,0,0,0,0,0,0,0,RICE,20 SEYMOUR ST,MIDDLEBURY,VT,(802) 388-3883,05753-4459,C003,2D,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
23842,20230605,1,1,1,1,0,0,0,1,1,1,0,0,0,0,RED APPLE RESTAURANT,139 HATHAWAY RD,NEW BEDFORD,MA,(508) 990-1004,02746-1370,C005,2D,469627988,WEIQUING,ZHANG,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Chinese,Far Eastern
22130,20230715,2,2,2,2,2,0,0,0,0,0,0,0,0,0,ORIENTAL EXPRESS,5320 KENNETT ST,SHASTA LAKE,CA,(530) -27-9318,96019-9702,R002,1C,371677501,HIASHAN,CHEN,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
21957,20230609,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Olive Grille,15 E OLIVE ST,AURORA,MO,(417) 678-0909,65605-1648,C001,1C,401470882,YUNG,JOO,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
21533,20230613,1,1,0,1,0,0,0,0,1,1,0,0,0,0,Noodle Plus,245 MAIN ST STE 110,WHITE PLAINS,NY,(914) 948-4950,10601-2411,C017,2D,427227119,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
21424,20230606,1,2,2,2,0,0,0,0,0,0,0,0,0,0,NO. 1 CHINESE,156 MAIN ST,WADSWORTH,OH,(330) 334-6661,44281-1591,C008,2C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
21012,20230601,2,2,0,2,2,0,0,0,0,0,0,1,1,1,NEW PANDA RESTAURANT,2660 TIMBER DR,GARNER,NC,(919) 661-8393,27529-2571,C006,1C,980386924,LIN CHEI,JHUNG,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,Unknown,Uncoded (No Group)
20632,20230606,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NEW FIRST WOK INC,12917 JEFFERSON AVE STE S,NEWPORT NEWS,VA,(757) 872-6688,23608-1600,C034,1C,952164184,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
20613,20230621,0,2,0,2,0,0,0,0,0,0,0,0,0,0,NEW DYNASTY,2020 P ST NW,WASHINGTON,DC,(202) 296-6688,20036-6912,C034,3B,736277457,JIMMY,THOU,MR,M,OWNER,,5-9,"$500,000-1 MILLION",Y,,,"Khmer (Kampuchean, Cambodian)",Far Eastern
20613,20230605,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NEW DYNASTY,2020 P ST NW,WASHINGTON,DC,(202) 296-6688,20036-6912,C034,3B,736277457,JIMMY,THOU,MR,M,OWNER,,5-9,"$500,000-1 MILLION",Y,,,"Khmer (Kampuchean, Cambodian)",Far Eastern
20534,20230610,1,1,1,1,1,0,0,0,0,0,0,1,1,1,NEW CHINA TOWN (NEW OWNER),18344 NW 7TH AVE,MIAMI GARDENS,FL,(305) 651-5553,33169-4438,C012,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
20358,20230626,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NEW CHINA EXPRESS,2809 THORNDYKE AVE W # 2986,SEATTLE,WA,(206) 217-4725,98199-2986,C086,2D,423510066,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
19344,20230625,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Mings Noodles,1038 CLINTON AVE S,ROCHESTER,NY,(585) 244-0920,14620-2053,C030,1C,408386289,LARRY,WONG,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
18462,20230605,1,1,1,1,0,0,0,0,0,0,0,0,0,0,MAING WOK KITCHEN,35085 CENTER RIDGE RD,N RIDGEVILLE,OH,(440) 353-3515,44039-3081,C014,1C,639224187,MAY,DONG,MS,F,MANAGER,,1-4,"LESS THAN $500,000",N,,,Vietnamese,Far Eastern
18370,20230608,1,1,0,1,0,0,0,0,0,0,0,0,0,0,MAI THAI RESTAURANT,3839 LAKELAND AVE N,MINNEAPOLIS,MN,(763) 533-1877,55422-2216,C019,1C,850423997,LARRY,AUS,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Estonian,Eastern European
18255,20230622,0,2,0,0,0,0,0,0,0,0,0,0,0,0,M Vista,701 LADY ST STE C,COLUMBIA,SC,(803) 255-8878,29201-3077,C006,1C,691889364,MICHELLE,WANG,MS,F,OWNER,Asian,20-49,"LESS THAN $500,000",N,,,Chinese,Far Eastern
18178,20230613,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LUCKY WOK CHINESE FOOD,9165 JURUPA RD,RIVERSIDE,CA,(951) -68-0932,92509-3117,C037,1C,595902974,XIAN,JIN,MS,F,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
18016,20230601,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Lucky Garden,4361 N 8TH ST,PHILADELPHIA,PA,(215) 324-3522,19140-2214,C040,1C,811000231,CHOU,YONG SIE,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
18013,20230619,1,1,1,1,1,0,0,0,0,0,0,1,1,1,LUCKY GARDEN,143 LAFAYETTE AVE,STATEN ISLAND,NY,(718) 273-3202,10301-1249,C028,2C,993294891,EVAN,CHAU,MR,M,MANAGER,,1-4,"LESS THAN $500,000",N,,,Chinese,Far Eastern
17389,20230611,1,1,1,1,1,0,0,0,0,0,1,0,0,0,LIN'S CHINA DINER,21968 MARKET PLACE DR STE 600,NEW CANEY,TX,(281) 747-2300,77357-1819,R015,1C,722713357,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
17123,20230613,1,1,0,1,1,0,0,0,0,0,0,1,1,1,LEE'S CHINESE FOOD,7102 SW 117TH AVE,MIAMI,FL,(305) 271-4891,33183-2809,C087,1C,178276432,TONY,LEE,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,English,Western European
17041,20230614,1,1,0,1,1,0,0,0,0,0,0,1,1,1,LANGLEY EXPRESS CAFE,225 LANGLEY DR,LAWRENCEVILLE,GA,(770) 339-9193,30046-6907,C001,1C,989697891,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
16769,20230610,2,2,0,2,2,0,0,0,0,0,0,1,1,1,KUM FONG,1817 MOUNT HOLLY RD,BURLINGTON,NJ,(609) 386-5784,08016-4700,C010,2D,111901278,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
15985,20230603,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Kaya Asian Cuisine,1640 W MISSION BLVD,POMONA,CA,() -,91766-1200,C053,1C,653004580,WENDY,CHANG,MS,F,MANAGER,,1-4,"LESS THAN $500,000",N,,,Chinese,Far Eastern
15596,20230604,1,1,1,1,0,0,0,1,1,1,0,0,0,0,Joy Teriyaki,9915 NE HAZEL DELL AVE,VANCOUVER,WA,(360) 984-3634,98685-5278,C087,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
15367,20230609,1,1,0,1,1,0,0,0,0,0,0,1,1,1,JIN CHAN ZHANG RESTAURANT,2835 28TH ST,BOULDER,CO,(303) 449-7950,80301-1223,C002,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
15255,20230612,1,1,1,1,1,0,0,0,0,0,0,0,0,0,JASMINE EXPRESS,5546 CAMINO AL NORTE STE 1-5,N LAS VEGAS,NV,(702) 399-8525,89031-0805,C094,1C,547490177,CHRIS,HONG,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
15255,20230612,1,1,1,1,1,0,0,0,0,0,0,0,0,0,JASMINE EXPRESS,5546 CAMINO AL NORTE STE 1-5,N LAS VEGAS,NV,(702) 399-8525,89031-0805,C094,1C,547490177,CHRIS,HONG,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
15076,20230601,1,1,1,2,1,0,0,1,1,1,0,0,0,0,JADE GARDEN CHINESE RESTAURANT,3381 OLD CALIFORNIA WAY,NAPA,CA,(707) -22-2909,94558-3327,C042,1C,361135767,STEVEN,LEE,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,English,Western European
15060,20230614,1,1,1,1,0,0,0,1,1,1,0,0,0,0,JADE GARDEN,1650 LIMEKILN PIKE STE B25,DRESHER,PA,(215) 542-3890,19025-1126,C015,1C,698642402,BOBBY,HUANG,MR,M,PRESIDENT,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
14937,20230619,1,1,1,1,0,0,0,1,1,1,0,0,0,0,JACKY CHAN CHINESE & THAI FOOD,8544 BLUE DIAMOND RD STE 100,LAS VEGAS,NV,(702) 263-8898,89178-9211,H304,1C,690575311,,,,,,,5-9,"$500,000-1 MILLION",N,,,Unknown,Uncoded (No Group)
14859,20230603,2,2,2,2,1,0,0,0,0,0,1,0,0,0,IZUMI INC,701 S CAPITAL OF TEXAS HWY,W LAKE HILLS,TX,(512) 328-3333,78746-5243,C033,2D,421454250,JENNA,KIM,MS,F,OWNER,,10-19,"$500,000-1 MILLION",N,,,Korean,Far Eastern
14312,20230617,2,2,0,2,0,0,0,0,0,0,0,0,0,0,HUNAN PALACE CHINESE RESTAURANT,101 W CENTRAL TEXAS EXPY,HARKER HTS,TX,(254) 953-8282,76548-1704,C020,2D,571892959,LAWRENCE,CHAO,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
14268,20230630,2,2,0,2,2,0,0,0,0,0,0,1,1,1,HUNAN KING,3628 GENDER RD,CANAL WNCHSTR,OH,(614) 862-0883,43110-8679,R016,1C,236788667,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
13628,20230606,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Hong Kong Restaurant,345 E INDIAN TRL,AURORA,IL,(630) 859-9888,60505-1734,C083,1C,394310783,SHERRY,WEI,MS,F,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
13143,20230610,2,2,0,2,2,0,0,0,0,0,0,0,0,0,HOME TASTE,3106 DELAWARE AVE,BUFFALO,NY,(716) 322-0088,14217-2054,C027,1C,438065058,YAN,ZHANG,MS,F,OWNER,,,,Y,,,Chinese,Far Eastern
13115,20230922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HOK HENG,1716 CECIL B MOORE AVE,PHILADELPHIA,PA,(215) 769-8772,19121-3212,C011,1C,436527883,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12928,20230619,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Hibachis,721 MADISON SQ,MADISON,TN,(615) 868-1999,37115-4041,C014,1C,433583413,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12928,20230617,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Hibachis,721 MADISON SQ,MADISON,TN,(615) 868-1999,37115-4041,C014,1C,433583413,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12928,20230616,0,2,2,2,0,0,0,0,0,0,0,0,0,0,Hibachis,721 MADISON SQ,MADISON,TN,(615) 868-1999,37115-4041,C014,1C,433583413,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12928,20230615,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Hibachis,721 MADISON SQ,MADISON,TN,(615) 868-1999,37115-4041,C014,1C,433583413,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12928,20230610,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Hibachis,721 MADISON SQ,MADISON,TN,(615) 868-1999,37115-4041,C014,1C,433583413,,,,,,,5-9,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
12584,20230613,1,1,0,1,0,0,0,0,0,0,0,0,0,0,HAPPY PANDA,4430 WADE GREEN RD NW STE 190,KENNESAW,GA,(770) 426-9188,30144-6419,R018,1C,415128679,JACKIE,LIN,MR,M,MANAGER,,5-9,"LESS THAN $500,000",N,,,Chinese,Far Eastern
12080,20230711,1,1,1,1,1,0,0,0,0,0,0,0,0,0,GREEN TREE,14236 W NEWBERRY RD,NEWBERRY,FL,(352) 331-9920,32669-2765,R011,1C,592182521,DEMI,ZHENG,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
11767,20230601,0,1,0,1,0,0,0,0,0,0,0,0,0,0,GREAT WALL CHINESE RESTAURANT,1304 N COLUMBIA ST,MILLEDGEVILLE,GA,(478) 452-5200,31061-2307,C008,1C,416511228,CHANG,WANG,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Korean,Far Eastern
11301,20230610,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Got Dumplings,1395 W MAIN ST,CHARLOTTESVLE,VA,(434) 244-3040,22903-2825,C067,1C,707386715,,,,,,,10-19,"$500,000-1 MILLION",N,,,Unknown,Uncoded (No Group)
11301,20230610,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Got Dumplings,1395 W MAIN ST,CHARLOTTESVLE,VA,(434) 244-3040,22903-2825,C067,1C,707386715,,,,,,,10-19,"$500,000-1 MILLION",N,,,Unknown,Uncoded (No Group)
10718,20230610,2,2,1,2,0,0,0,1,1,1,0,0,0,0,GOLDEN DRAGON KITCHEN,1175 LIBERTY AVE,HILLSIDE,NJ,(908) 820-8777,07205-2135,C004,1C,315230862,,,,,,,1-4,"LESS THAN $500,000",N,,,Unknown,Uncoded (No Group)
10588,20230612,2,2,2,2,0,0,0,0,0,0,0,0,0,0,GOLDEN CITY III,207 25TH ST,VIRGINIA BCH,VA,(757) 422-3388,23451-3224,C042,1C,400778111,QUI Y,LI,,,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
10383,20230607,1,1,1,1,0,0,0,0,0,0,0,0,0,0,GOLDEN BOWL RESTAURANT,4925 SISK RD STE H,SALIDA,CA,(209) 543-1892,95368-9400,R004,1C,400591367,KIM,MA,MS,F,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
10331,20230612,1,1,1,1,0,0,0,0,0,0,0,0,0,0,GOLD BOWL RESTAURANT,4006 CARTER ST,VIDALIA,LA,(318) 336-8811,71373-3013,C002,1C,721043723,QIN,LIN,,,PRESIDENT,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
10165,20230606,1,1,0,1,0,0,0,0,0,0,0,0,0,0,GENJI JAPANESE STEAK HOUSE INC,3870 BAY RD,SAGINAW,MI,(989) 497-9900,48603-2435,C022,1C,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
9738,20230610,0,2,0,2,0,0,0,0,0,0,0,0,0,0,FU HUA CHINESE TAKE OUT,742 MUNSON AVE,TRAVERSE CITY,MI,(231) 933-4858,49686-3525,C021,1C,215276379,WENBING,WANG,MR,M,OWNER,Asian,10-19,"$500,000-1 MILLION",N,,,Chinese,Far Eastern
9738,20230604,1,1,1,1,1,0,0,0,0,0,0,1,1,1,FU HUA CHINESE TAKE OUT,742 MUNSON AVE,TRAVERSE CITY,MI,(231) 933-4858,49686-3525,C021,1C,215276379,WENBING,WANG,MR,M,OWNER,Asian,10-19,"$500,000-1 MILLION",N,,,Chinese,Far Eastern
9325,20230620,1,1,1,1,0,0,0,0,0,0,0,0,0,0,FIRST WOK OF GAINESVILLE,5168 SW 34TH ST,GAINESVILLE,FL,(352) 376-6693,32608-5009,C076,1C,628261836,RAYMOND,LIN,MR,M,OWNER,,1-4,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
8539,20230922,2,2,1,2,0,0,0,0,0,0,0,0,0,0,Dynasty Restaurant,77 W MAIN ST STE 7,HOPKINTON,MA,(508) 435-8088,01748-1663,R009,1C,499427276,ROSEY,LIANG,MS,F,OWNER,,5-9,"$500,000-1 MILLION",Y,,,Chinese,Far Eastern
8539,20230919,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Dynasty Restaurant,77 W MAIN ST STE 7,HOPKINTON,MA,(508) 435-8088,01748-1663,R009,1C,499427276,ROSEY,LIANG,MS,F,OWNER,,5-9,"$500,000-1 MILLION",Y,,,Chinese,Far Eastern
7996,20230602,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Dimsum Box,3648 S NOGALES ST,WEST COVINA,CA,() -,91792-4799,C089,2D,NA,,,,,,,,,,,,Unknown,Uncoded (No Group)
7396,20230617,1,1,1,1,0,0,0,0,0,0,0,0,0,0,CHOPSTICK EXPRESS,3946 4TH ST N,ST PETERSBURG,FL,(727) 526-8999,33703-6117,C080,1C,675783633,XIAO M,ZHENG,MS,F,OWNER,,5-9,"LESS THAN $500,000",Y,,,Chinese,Far Eastern
7072,20230629,1,1,1,1,0,0,0,0,0,0,0,0,0,0,CHINESE DELIGHT,4300 CLARCONA OCOEE RD STE 209,ORLANDO,FL,(407) 298-8873,32810-4113,C012,1C,991381369,XIAOLING,CHEN,,,VICE PRESIDENT,,5-9,"LESS THAN $500,000",N,,,Chinese,Far Eastern
