Snowball Map,Mapping Correction,Name,Business Type,Amenities,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,URL,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Vitality Score,Reputation Score,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions
62122,52664,Lee's Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; TV; Seating; High Chairs; Debit Cards; Dine-in; Takeout,8 7th Ave SE,Dauphin,MB,R7N 2E1,Canada,Ming,Lee,Proprietor,Owner,,,,,,(204) 638-0773,1,,24,78,Chinese,$$,,
62121,54177,TOKKi,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Delivery; Contactless Delivery; Debit Cards; Dine-in; Takeout,1163 Pinetree Way,Coquitlam,BC,V3B 8A9,Canada,,,,,,,tokkicanada.ca,,,(604) 552-0036,0,,48,70,Japanese,$$,Skip the Dishes; Uber Eats,
62120,54530,Lee Garden Seafood Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Bike Parking; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Takeout,6401 Kingsway,Burnaby,BC,V5E 1E1,Canada,,,,,,,leegarden-seafood.com,,,(604) 428-8885,0,,45,77,Chinese,$$,DI develop; DoorDash; Skip the Dishes; Uber Eats,DI develop
62119,49120,Japon Rolls,Restaurant,Wi-Fi; Online Ordering; Seating; Delivery; Curbside Pickup; High Chairs; Debit Cards; Dine-in; Takeout,148 Rue Notre-Dame,Repentigny,QC,J6A 2P4,Canada,,,,,,,japonrolls.ca,,,(450) 704-3666,0,,32,88,Japanese,,Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants
62118,49746,MA Chinese Cuisine,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,123 Geneva St,St Catharines,ON,L2R 4N3,Canada,,,,,wecare@windgroupinc.com,,machinesecuisine.com,,,(289) 362-2888,0,,67,90,Chinese,$$,QuickPOS Ordering; Skip the Dishes; Uber Eats; Wix Restaurants,QuickPOS Ordering; Wix Restaurants
62117,54721,Ke Ai De Xin Jiang Lovely Xinzhang,Restaurant,Contactless Delivery; Online Ordering; Debit Cards; Dine-in; Delivery; Takeout,4942 Joyce St,Vancouver,BC,V5R 4G6,Canada,,,,,,,,,,(604) 336-9628,0,,21,76,Chinese,,,
62116,52861,Lee's Family Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Seating; High Chairs; Debit Cards; Dine-in; Takeout,4731 50 Ave,Calmar,AB,T0C 2L2,Canada,,,,,leesfamilyrestaurant@hotmail.com,,,,,(780) 985-2221,0,leesfamilyrestaurant@hotmail.com,25,90,Chinese,$$,,
62115,50090,Sapporo Sushi,Restaurant,Wi-Fi; Online Ordering; TV; Reservations; Delivery; Debit Cards; Dine-in; Takeout,330 HWY-7 E,Richmond Hill,ON,L4B 3P8,Canada,,,,,,,http://www.sapporosushi.biz,,,(905) 882-7877,0,,60,82,Japanese,$$,DoorDash; Uber Eats,
62114,52324,Rainbow Kitchen,Restaurant,Groups; Wheelchair Accessible; Gift Cards; Reservations; Debit Cards; Dine-in; Delivery; Takeout,39 Armstrong St N,Temiskaming Shores,ON,P0J 1P0,Canada,George,Goldhoff,General Manager,Operations,,,http://www.rainbowkitchen.biz,,,(705) 647-7555,2,rainbowkitchen2014@gmail.com,44,82,Chinese,$$,,
62113,50092,Mikaku Udon Bar,Restaurant,Wi-Fi; Online Ordering; Seating; Reservations; Delivery; Debit Cards; Dine-in; Takeout,330 HWY-7,Richmond Hill,ON,L4B 3P8,Canada,,,,,,,,,,(905) 707-8787,0,,16,91,Japanese,,Skip the Dishes; Uber Eats,
62112,54213,Green Leaf Cafe,Restaurant,Groups; Wi-Fi; Table Service; Online Ordering; TV; Fresh Ingredients; Seating; Reservations; Delivery; Catering; Takeout,9604 Cameron St,Burnaby,BC,V3J 1M2,Canada,,,,,,,http://www.greenleafcafebc.ca,,,(604) 444-9802,0,,36,92,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,
62111,53420,Shoyu Sushi,Restaurant,Restroom; Online Ordering; Reservations; Delivery; Contactless Delivery; Curbside Pickup; Debit Cards; Dine-in; Takeout,10011 109 St NW,Edmonton,AB,T5J 3S8,Canada,,,,,,,,,,(587) 635-6688,0,,18,92,Japanese,$$,DoorDash; Uber Eats,
62110,,Canton Take Out Chinese Food,Restaurant,Groups; Catering; Debit Cards; Delivery; Takeout,424 HWY-8,Hamilton,ON,L8G 1G2,Canada,Ganesh,Ramnarine,Proprietor,Owner,,,cantonchinesefood.ca,,,(905) 664-6400,1,,83,83,Chinese,$,,
62109,53350,Elegant Court Restaurant,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Debit Cards; Dine-in; Delivery; Takeout,216 Manning Xing NW,Edmonton,AB,T5A 5A1,Canada,Kippy,Sie,Proprietor,Owner,,,elegantcourtrestaurant.com,,,(780) 472-8198,1,,39,80,Chinese,,,
62108,,Clareview Chinese Food Restaurant,Restaurant,Groups; Wheelchair Accessible; Seating; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,14013 Victoria Trl NW,Edmonton,AB,T5Y 2B6,Canada,,,,,,,,,,(780) 478-9108,0,,20,75,Chinese,$$,,
62107,55442,O Sushi Downtown Vancouver,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Delivery; Eco-friendly Tableware; Online Ordering; Fresh Ingredients; TV; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,742 Granville St,Vancouver,BC,V6Z 1E4,Canada,,,,,info.osushi@gmail.com,,osushi.nitrogendigital.com,,,(604) 559-8345,0,info.osushi@gmail.com,32,82,Japanese,$,Uber Eats,
62106,53192,Kung Fu Restaurant,Restaurant; Quick Service,Groups; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Delivery; Online Ordering; TV; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Takeout,19369 Sheriff King St SW,Calgary,AB,T2X 0T9,Canada,,,,,,,kungfurestaurant.ca,,,(403) 873-9399,0,,37,92,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,
62105,54006,Ginkgo,Restaurant,Wheelchair Accessible; Online Ordering; Seating; Delivery; Drive-Thru; Debit Cards; Dine-in; Takeout,9140 Young Rd,Chilliwack,BC,V2P 4R4,Canada,Long,Zhang,Proprietor,Owner,,,chilliwackginkgo.com,,,(604) 792-4343,1,,50,74,Chinese,$,DoorDash; Skip the Dishes,
62104,54212,Matsuzushi,Restaurant,Groups; Wheelchair Accessible; Parking; TV; Seating; Reservations; Catering; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,3130 St Johns St,Port Moody,BC,V3H 5E3,Canada,,,,,,,,,,(604) 949-0678,0,,18,85,Japanese,$$,,
62103,48046,Pink Sushi,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,720 Main St,Moncton,NB,E1C 1E4,Canada,Lauren,Kim,Principal,Owner,,,pinksushi.ca,,,(506) 389-3338,1,,33,88,Japanese,$$,Skip the Dishes,
62102,49597,Panda Express,Restaurant; Quick Service,Groups; Wheelchair Accessible; Online Ordering; Seating; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,223 Mill St,Essa,ON,L0M 1B2,Canada,Jian Wen,He,Proprietor,Owner,,,pandaexpressca.ca,,,(705) 424-9998,1,panda4249998@yahoo.ca,88,81,Chinese,$$,Menusifu,Menusifu
62101,52396,Cumberland Restaurant,Restaurant,Groups; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,45 Cumberland St S,Thunder Bay,ON,P7B 2T6,Canada,Johnny,Chien,President,General,,,,,,(807) 345-6612,1,cumberlandrestaurant@gmail.com,28,79,Chinese,$$,,
62100,,M. Poisson,Retail Store; Restaurant,Reservations; Delivery; Online Ordering; Fresh Ingredients; Takeout,90 Rue de la Gauchetière O,Montréal,QC,H2Z 1C1,Canada,,,,,,,https://www.mrfishquebec.com,,,(514) 866-0606,0,,32,96,Chinese,$,Uber Eats,
62099,,Nouilles de Lan Zhou - Noodle Shop,Restaurant,Table Service; Parking; Online Ordering; TV; Seating; Reservations; Curbside Pickup; QR Codes; Debit Cards; Dine-in; Delivery; Takeout,1006 Boulevard St-Laurent,Montréal,QC,H2Z 1J3,Canada,,,,,jackfang127@hotmail.com,,lanzhou.ca,,,(514) 800-2959,0,northyork@lanzhou.ca,63,90,Chinese,$,MailChimp; Mrsdigi; WooCommerce,Mrsdigi
62098,53913,Yuzu Bowl and Bistro,Restaurant,Wheelchair Accessible; Online Ordering; Delivery; Contactless Delivery; Curbside Pickup; Debit Cards; Dine-in; Takeout,1573 Ellis St,Kelowna,BC,V1Y 2A7,Canada,,,,,yuzukelowna@gmail.com,,yuzukelowna.com,,,(250) 762-8304,0,yuzukelowna@gmail.com,19,96,Japanese; Thai,,Codefusion; DI develop; DoorDash Storefront; Skip the Dishes; Uber Eats,Codefusion; DI develop; DoorDash Storefront
62097,53269,T. Pot China Bistro,Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Seating; Reservations; Bike Parking; Delivery; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,9650 Harvest Hills Blvd NE,Calgary,AB,T3K 0B3,Canada,,,,,,,,,,(403) 532-3982,0,,19,74,American; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,
62096,54601,Miss Fu In Cheng Du Fu Xiao Jie Zai Cheng Du BurnabyDian,Restaurant,Wi-Fi; Online Ordering; Reservations; Delivery; Contactless Delivery; Debit Cards; Dine-in; Takeout,5105 Kingsway,Burnaby,BC,V5H 2E6,Canada,,,,,,,missfuburnaby.com,,,(604) 558-3022,0,,34,80,Japanese; Chinese,$$,DoorDash; Google Analytics; PayPal; Uber Eats,
62095,54032,Kojan Sushi & Korean Food,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Delivery; Curbside Pickup; Parking; Online Ordering; TV; High Chairs; Catering; Debit Cards; Dine-in; Takeout,33640 S Fraser Way,Abbotsford,BC,V2S 2B9,Canada,Changkyu,O,,,,,kojansushi.com,,,(604) 776-1001,1,kojansushi2017@gmail.com,27,86,Korean; Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,
62094,55361,Meetrice Meng Zi Yuan,Restaurant,Delivery; Online Ordering; Takeout,8580 Alexandra Rd,Richmond,BC,V6X 4B3,Canada,,,,,,,,,,(604) 370-0981,0,,4,,Chinese,,DoorDash,
62093,51637,Dumpling House Restaurant,Restaurant; Quick Service,Groups; Cash-Only; Table Service; Parking; Online Ordering; TV; Seating; Bike Parking; Delivery; Fast Service; Dine-in; Takeout,328 Spadina Ave,Toronto,ON,M5T 2E7,Canada,Mark,Aho,Principal,Owner,,,,,,(416) 596-8898,1,,24,80,American; Chinese,$,DoorDash; Skip the Dishes; Uber Eats,
62092,52012,Mama Jean Kitchen,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,65 Water St N,Cambridge,ON,N1R 3B4,Canada,,,,,,,mamajeankitchen.com,,,(519) 621-0888,0,,54,92,Chinese,$$$,Uber Eats; Wix Restaurants,Wix Restaurants
62091,52053,Fried Skewer Station (Yi Wan Shui Zhu Rou Pian ),Restaurant,Delivery; Online Ordering; Takeout,203 Lester St,Waterloo,ON,N2L 0B5,Canada,,,,,,,,,,(226) 966-3655,0,,7,98,Chinese,,Uber Eats,
62090,53463,Golden Panda,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; Catering; High Chairs; Debit Cards; Takeout,2506 Guardian Rd NW,Edmonton,AB,T5T 1K8,Canada,,,,,,,goldenpandaedmonton.com,,,(780) 483-5988,0,,23,89,Chinese,$$,DI develop; DoorDash; Skip the Dishes; Uber Eats,DI develop
62089,48010,Hojo's Japanese Cuisine,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Seating; Bike Parking; Reservations; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,119 Kent St,Charlottetown,PE,C1A 1N3,Canada,Yuichi,Hojo,Owner,Owner,,,hojosjapanese.com,,,(902) 367-5272,1,info@hojosjapanese.com,64,91,Japanese,$$,,
62088,52866,Kumama Bistro and Canteen,Restaurant,Wheelchair Accessible; Table Service; Parking; Online Ordering; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,2 Cottonwood Creek Rd,Jasper,AB,T0E 1E0,Canada,,,,,,,kumama.ca,,,(780) 852-8847,0,info@kumama.ca,42,96,Japanese,$$$,Google Analytics; TouchBistro; TouchBistro Dine; TouchBistro Reservations; WooCommerce,TouchBistro
62087,52470,OH GOOD PATH,Restaurant,Delivery; Curbside Pickup; Online Ordering; Dine-in; Takeout,15 St Anne's Rd,Winnipeg,MB,R2M 2Y1,Canada,,,,,,,,,,(204) 930-0174,0,,18,95,Canadian; Japanese,,Skip the Dishes; Uber Eats,
62086,50160,Empire Chef,Restaurant,Groups; Wheelchair Accessible; Online Ordering; TV; Bike Parking; Reservations; Delivery; Dine-in; Outdoor Seating; Takeout,14800 Yonge St,Aurora,ON,L4G 1N3,Canada,L. I.,Dong,Director,General,,,http://www.empirechef.com,,,(905) 503-6888,1,,30,86,Chinese,$,DoorDash; Mrsdigi; Skip the Dishes; Uber Eats,Mrsdigi
62085,50332,YO! Sushi,Restaurant,Groups; Wi-Fi; Table Service; Online Ordering; Bike Parking; Delivery; Debit Cards; Takeout,325 Central Pkwy W,Mississauga,ON,L5B 3X9,Canada,,,,,,,,,,(905) 270-0101,0,,25,93,Japanese,$,DoorDash; Skip the Dishes; Uber Eats,
62084,52811,Spring Roll Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Bike Parking; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Takeout,516 33rd St W,Saskatoon,SK,S7L 0V8,Canada,,,,,,,springrollsaskatoon.com,,,(306) 933-2889,0,,57,90,Vietnamese; Chinese,$,Google Analytics; Skip the Dishes,
62083,55171,Mr. Steak Hong Kong Cafe,Restaurant,Delivery; Online Ordering; Takeout,12855 Clarke Pl,Richmond,BC,V6V 2H9,Canada,,,,,,,,,,(604) 537-0005,0,,4,,Chinese,,Uber Eats,
62082,50492,M&E House sushi+ramen,Restaurant; Mobile Food,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; High Chairs; Debit Cards; Takeout,1500 6th Line,Oakville,ON,L6H 2P2,Canada,,,,,,,http://mnehousesushiramen.business.site,,,(905) 844-9209,0,,27,92,Japanese,$$$$,Skip the Dishes; Uber Eats,
62081,53106,DL Eats,Restaurant,Wi-Fi; Table Service; Online Ordering; Delivery; Catering; Debit Cards; Dine-in; Takeout,536 16 Ave NW,Calgary,AB,T2M 0J4,Canada,,,,,dleats.info@gmail.com,,dleats.com,,,(587) 356-3897,0,dleats.info@gmail.com,29,88,Chinese,,Clover POS; Google Analytics; Skip the Dishes; Uber Eats,
62080,52711,Park Street Garden,Restaurant,Reservations; Online Ordering; Debit Cards; Delivery; Takeout,2407 Park St,Regina,SK,S4N 2H1,Canada,Qing,Ye,Proprietor,Owner,,,parkstreetgardentogo.com,,,(306) 347-2828,1,,60,84,Chinese,,,
62079,49748,Caribbean Eatery,Restaurant,Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,134 Lake St,St Catharines,ON,L2R 5Y1,Canada,,,,,,,caribbeaneatery.ca,,,(289) 362-3777,0,,44,77,Creole; Caribbean; Cajun,$,Facebook Pixel; Google Analytics; Skip the Dishes,
62078,54185,Hiro Sushi,Restaurant,Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Bike Parking; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Takeout,2540 Shaughnessy St,Port Coquitlam,BC,V3C 3G2,Canada,Hiro,Tanaka,President,General,,,hirosushitogo.com,,,(604) 552-3474,1,,67,59,Japanese,$$,Skip the Dishes,
62077,54432,Dragon's Chop Suey House,Restaurant,Groups; Wheelchair Accessible; Online Ordering; TV; Fresh Ingredients; Reservations; Debit Cards; Dine-in; Delivery; Takeout,16055 Fraser Hwy,Surrey,BC,V4N 0G2,Canada,Wilson,Chan,Proprietor,Owner,,,dragonschopsuey.com,2001,,(604) 501-6006,1,chef@dragonschopsuey.com,53,76,Chinese,$$,Google Analytics,
62076,50286,China Palace,Restaurant,Groups; Wheelchair Accessible; Online Ordering; TV; Seating; Reservations; Bike Parking; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,3530 Derry Rd E,Mississauga,ON,L4T 4E3,Canada,Liao,Chen,President,General,,,china-palace.ca,,,(905) 405-1118,1,,70,65,Chinese; Thai,$$,DoorDash; Facebook Pixel; Google Analytics; Skip the Dishes; Uber Eats,
62075,54606,Yishou Kitchen Yi Shou Mei Shi Chu Fang BBY,Restaurant,Delivery; Online Ordering; Takeout,5507 Kingsway,Burnaby,BC,V5H 2G3,Canada,,,,,,,,,,(604) 559-9888,0,,5,,Szechuan; Chinese,,Uber Eats,
62073,54710,Shun Jing Lou Seafood Restaurant Shun Jing Lou,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,5822 Victoria Dr,Vancouver,BC,V5P 3W9,Canada,,,,,,,shunjinglou.com,,,(604) 325-0783,0,,69,73,Cantonese; Chinese,$,DI develop,DI develop
62072,,Restaurant Fu Jia,Restaurant,Groups; Table Service; Parking; TV; Bike Parking; Reservations; Debit Cards; Dine-in; Takeout,937 Boulevard Décarie,Montréal,QC,H4L 3M3,Canada,,,,,,,,,,(438) 800-0300,0,,22,76,Chinese,$,,
62071,48572,Chez Chili,Restaurant,Groups; Table Service; Parking; Online Ordering; Seating; Reservations; Delivery; Debit Cards; Dine-in; Takeout,1050 Rue Clark,Montréal,QC,H2Z 1K2,Canada,,,,,,,chezchili.com,,,(514) 904-1767,0,,28,88,Chinese,$$,GlobalFood; Oracle GloriaFood; Uber Eats,GlobalFood; Oracle GloriaFood
62070,51958,Drupati's Roti & Doubles,Restaurant,Groups; Wheelchair Accessible; Online Ordering; TV; Seating; Reservations; Delivery; Contactless Delivery; Curbside Pickup; Fast Service; Catering; High Chairs; Dine-in; Outdoor Seating; Takeout,35 Woodbine Downs Blvd,Toronto,ON,M9W 6N5,Canada,,,,,drupaties@gmail.com,,http://drupatis.com,,,(416) 745-4189,0,drupaties@gmail.com,49,81,Indian; Caribbean; Chinese,$$,DoorDash; Facebook Pixel; Skip the Dishes; Uber Eats; WooCommerce,
62069,53633,Neko Sushi,Restaurant; Mobile Food,Groups; Wheelchair Accessible; Debit Cards; Dine-in; Delivery; Takeout,216 50 St,Edson,AB,T7E 1T5,Canada,,,,,,,,,,(780) 725-0303,0,,19,98,Korean; Japanese,$$,,
62068,49851,Dejun BBQ House (Jun Ji Shao La Dian ),Food Court; Restaurant,Cash-Only; Dine-in; Takeout,3636 Steeles Ave E,Markham,ON,L3R 1K9,Canada,,,,,,,,,,(647) 829-6232,0,,15,51,Chinese,,,
62067,52652,Hiro Sushi,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Takeout,50 Sage Creek Blvd,Winnipeg,MB,R3X 0J6,Canada,,,,,,,hirosushiwpg.ca,,,(204) 255-0007,0,,46,88,Japanese,$$,Uber Eats,
62066,52329,La Bienvenue Restaurant and Pub,Restaurant; Drinking Place,Groups; Wi-Fi; Wheelchair Accessible; Gift Cards; Table Service; Seating; Reservations; Curbside Pickup; Pet Friendly; Parking; Online Ordering; TV; Digital Payments; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Delivery; Takeout,198 Monk St,Chapleau,ON,P0M 1K0,Canada,,,,,bienvenuer200@gmail.com,,restaurantinchapleau.ca,,,(705) 860-0100,0,bienvenuer200@gmail.com,70,78,Chinese,$$$$,Facebook Pixel; Square; Weebly,Square
62064,49666,Hakka Passion,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; TV; Seating; Reservations; Delivery; Catering; Debit Cards; Dine-in; Takeout,314 Harwood Ave S,Ajax,ON,L1S 2J1,Canada,,,,,,,hakkapassion.ca,,,(905) 903-0660,0,,32,87,Indian; Chinese,$,Uber Eats,
62063,50335,Song's Kitchen,Restaurant,Groups; Online Ordering; TV; Bike Parking; Reservations; Delivery; Debit Cards; Dine-in; Takeout,1067 Dundas St W,Mississauga,ON,L5C 1C3,Canada,,,,,,,songskitchen.ca,,,(905) 848-0888,0,,44,83,Chinese,$,Uber Eats,
62062,51072,Petit Potato,Cafe; Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Bike Parking; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,10 Ravel Rd,Toronto,ON,M2H 1S8,Canada,,,,,petitpotatotoronto@gmail.com,,petitpotato.com,2016,,(416) 756-3311,0,petitpotatotoronto@gmail.com,57,79,Japanese,$$,Snappy; Uber Eats,Snappy
62061,53546,Shimiaodao Yunnan Rice Noodle Shi Miao Dao Yun Nan Guo Qiao Mi Xian,Restaurant,Reservations; Delivery; Contactless Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,8613 109 St NW,Edmonton,AB,T6G 1E7,Canada,,,,,,,10seconds.ca,,,(780) 756-8826,0,,25,91,Vietnamese; Chinese,,Google Analytics; Menusifu; Skip the Dishes; Uber Eats; WooCommerce,Menusifu
62060,,Restaurant Le Suki,Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Digital Payments; Seating; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,2951 Boulevard du Curé-Labelle,Prévost,QC,J0R 1T0,Canada,Simon,Leblanc,President,General,,,lesuki.com,,,(450) 335-2335,1,,67,87,Japanese,$$,DoorDash; GlobalFood; Oracle GloriaFood; WooCommerce,GlobalFood; Oracle GloriaFood
62059,,Marlin Bleu Resto Lounge,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Catering; Outdoor Seating; Takeout,900 Avenue Duluth E,Montréal,QC,H2L 1B6,Canada,,,,,info@marlinbleu.com,,https://www.marlinbleurestolounge.com,,,(514) 845-6557,0,,26,92,French; Creole; Cajun,$,Facebook Pixel; Skip the Dishes,
62058,48788,Sushi Bae,Restaurant,Groups; Online Ordering; TV; Reservations; Delivery; Catering; Debit Cards; Dine-in; Takeout,4910 Rue Wellington,Montréal,QC,H4G 1X6,Canada,,,,,,,thesushibae.com,,,(438) 387-3868,0,,28,90,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,
62057,55405,Tiny One,Cafe; Restaurant,Delivery; Wi-Fi; Online Ordering; Takeout,4151 Hazelbridge Way,Richmond,BC,V6X 4J7,Canada,,,,,,,,,,(604) 285-6199,0,,15,38,Chinese,$$,Uber Eats,
62056,55406,Night Owl Cafe,Cafe; Restaurant,Wi-Fi; Cash-Only; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; High Chairs; Dine-in; Takeout,8580 Cambie Rd,Richmond,BC,V6X 4J8,Canada,,,,,,,,,,(604) 276-0576,0,,18,94,Chinese,$$,DoorDash; Uber Eats,
