Snowball_ID,phone_number,Name,First_Name,Last_Name,Address,Zip_Code,City,State,Country
75215,(804) 693-3851,NO 1 RESTAURANT,,NO 1 RESTAURANT,7481 HARGETT BLVD,23061,GLOUCESTER,VA,USA
75216,(703) 897-0399,NEW CHINA CHINESE RESTAURANT,,NEW CHINA CHINESE RESTAURANT,14630 MINNIEVILLE RD,22193,WOODBRIDGE,VA,USA
75217,(770) 389-6999,Umi Japanese Steakhouse,,Umi Japanese Steakhouse,550 Eagles Landing Pkwy Ste 212,30281,Stockbridge,GA,USA
75218,(605) 745-4126,CHINA BUFFET,,CHINA BUFFET,333 N RIVER ST,57747,HOT SPRINGS,SD,USA
75219,(605) 665-5688,KING DRAGON CHINESE RESTAURANT,,KING DRAGON CHINESE RESTAURANT,401 MULBERRY ST,57078,YANKTON,SD,USA
75220,(508) 998-9999,Moon House Chinese Restaurant,,Moon House Chinese Restaurant,706 Ashley Blvd,2745,New Bedford,MA,USA
75221,(215) 875-9555,Yellowtail,,Yellowtail,1218 Pine St,19107,Philadelphia,PA,USA
75222,(215) 625-9188,Yummy Yummy,,Yummy Yummy,52 N 10th St,19107,Philadelphia,PA,USA
75223,(570) 883-0894,CHINA III,,CHINA III,49 BROAD ST #1,18640,PITTSTON,PA,USA
75224,(757) 424-6919,JACKIE CHEN  INC,,JACKIE CHEN  INC,4218 INDIAN RIVER RD,23325,CHESAPEAKE,VA,USA
75225,,4256970255-Kitty?-??,,Kitty?,5050 Washington 303,98311,Bremerton,WA,USA
75226,503-841-6646,5039089286,Jake,Wu,3113 Southeast Division Street,97202,Portland,OR,USA
75227,(804) 445-9991,ASIA CAFE,,ASIA CAFE,1619 TAPPAHANNOCK BLVD,22560,TAPPAHANNOCK,VA,USA
75228,,ad,a,z,411 High Ridge Rd,6905,Stamford,CT,USA
75229,,Quick Grill Japan,,xiaodong xia,1445 Richmond Avenue,10314,Staten Island,NY,USA
75230,,cHiNADRAGONkITCHEN,Po,Zhang,18VillgeAVeElmontLL,,,,USA
75231,,Unknow,,Zhou Kun,16490 East 14th Street,94578,San Leandro,CA,USA
75232,,Golden Star,?,?,1402 Derry St,17104,Harrisburg,PA,USA
75233,,Yamato,Yinghua,Ye,1362 Rombach Avenue,45177,Wilmington,OH,USA
75234,301-322-3131,Landover Carryout,,Angela,6506 Landover Road,20785,Landover,MD,USA
75235,,Unknown,Johnny,Ren,226 Lafayette Street,43140,London,OH,USA
75236,,China wok,Hong,Liang,641 West State Street,60134,Geneva,IL,USA
75237,(951) 373-9816,Lucky Tacoshi - ????  888.88,Calvin,Wang,10250 Santa Monica Blvd,90067,Los Angeles,CA,USA
75238,,SparX Fine Chinese Cuisine ???,Peter,Wang,1570 U.S. 9,12065,Clifton Park,NY,USA
75239,(607) 433-8888,CHINA 19,,CHINA 19,100 MAIN ST,13820,ONEONTA,NY,USA
75240,(662) 647-0073,Oriental Express,,Oriental Express,223 Main St,38921,Charleston,MS,USA
75241,(601) 346-6008,Takara Hibachi Express,,Takara Hibachi Express,108 Byram Drive,39272,Byram,MS,USA
75242,(904) 808-0703,Great Wall,,Great Wall,965 FL-16,32084,St. Augustine,FL,USA
75243,(386) 428-3788,Joy Luck Garden,,Joy Luck Garden,1918 FL-44,32168,New Smyrna Beach,FL,USA
75244,(317) 392-8889,CHINA WOK--Live Account,,CHINA WOK,1615 E MICHIGAN RD,46176,SHELBYVILLE,IN,USA
75245,(828) 787-1680,Asian House,,Asian House,151 Helens Barn Ave,28741,Highlands,NC,USA
75246,(212) 566-3841,Wo Hop Next Door,,Wo Hop Next Door,15 Mott St,10013,New York,NY,USA
75247,(212) 233-3888,Famous Sichuan,,Famous Sichuan,10 Pell St,10013,New York,NY,USA
75248,(863) 318-0226,BEIJING RESTAURANT,,BEIJING RESTAURANT,3005 CYPRESS GARDENS RD SE,33884,WINTER HAVEN,FL,USA
75249,,??Cheung Hing,,??Cheung Hing,6255 Geary Blvd,94121,San Francisco,CA,USA
75250,(360) 373-7989,Chinese Wok,,Chinese Wok,623 N Callow Ave,98312,Bremerton,WA,USA
75251,(206) 241-2679,Eat Time,,Eat Time,14400 Ambaum Blvd SW suite b,98166,Burien,WA,USA
75252,(206) 622-8801,New Star Seafood Restaurant,,New Star Seafood Restaurant,516 S Jackson St,98104,Seattle,WA,USA
75253,(228) 254-5099,Golden Lam,,Golden Lam,16590 MS-603,39556,KILN,MS,USA
75254,(662) 773-5671,TASTE OF CHINA,,TASTE OF CHINA,952 W MAIN ST,39339,LOUISVILLE,MS,USA
75255,(601) 469-2000,ZHENG GARDEN,,ZHENG GARDEN,985 MS-35,39074,FOREST,MS,USA
75256,(315) 769-8899,A1 KINGS BUFFET,,A1 KINGS BUFFET,94 GROVE ST,13662,MASSENA,NY,USA
75257,(860) 276-6868,UNCLE JACK THAI RESTAURANT LLC,,UNCLE JACK THAI RESTAURANT LLC,13 W MAIN ST,6479,PLANTSVILLE,CT,USA
75258,(212) 964-8365,HOP KEE,,HOP KEE,21 MOTT ST,10013,NEW YORK,NY,USA
75259,(765) 606-8070,YOSAKU EXPRESS,,YOSAKU EXPRESS,1106 MAIN ST,46016,ANDERSON,IN,USA
75260,(616) 452-8888,FAMILY WOK,,FAMILY WOK,3338 EASTERN AVE SE,49508,GRAND RAPIDS,MI,USA
75261,(718) 352-2266,King Wok,,???,2567 Francis Lewis Blvd,11358,Flushing,NY,USA
75262,(706) 353-3399,CHINA WOK,,CHINA WOK,2475 JEFFERSON RD,30607,ATHENS,GA,USA
75263,(336) 694-1061,GREAT WALL,,GREAT WALL,1973 North Carolina 86,27379,Yanceyville,NC,USA
75264,(318) 574-0011,Chopsticks,,Chopsticks,147 Hwy 55 S,71282,Tallulah,LA,USA
75265,(423) 343-7525,LITTLE PANDA RESTAURANT,,LITTLE PANDA RESTAURANT,5045 MEMORIAL BLVD,37664,KINGSPORT,TN,USA
75266,(951) 808-4545,Maki Yaki Express Ii,,Maki Yaki Express Ii,635 N Main St Ste B2,92878,Corona,CA,USA
75267,(205) 366-8551,ASUKA ASIAN CUISINE INC,,ASUKA ASIAN CUISINE INC,1100 SKYLAND BLVD E,35405,TUSCALOOSA,AL,USA
75268,(678) 366-9668,Volcano Asian Bistro,,Volcano Asian Bistro,5316 Windward Pkwy,30004,Alpharetta,GA,USA
75269,(912) 437-1222,CHINA 1,,CHINA 1,802 NORTH WAY,31305,DARIEN,GA,USA
75270,(617) 482-3332,Peach Farm,,Peach Farm,4 Tyler St,2111,Boston,MA,USA
75271,(615) 895-2220,Koji Express Japanese Grill - West,,Koji Express Japanese Grill - West,3284 FRANKLIN RD STE A,37128,MURFREESBORO,TN,USA
75272,(215) 855-6888,Hibachi Grill Buffet Llc,,Hibachi Grill Buffet Llc,675 Bethlehem Pike,18936,Montgomeryville,PA,USA
75273,(609) 886-0909,Chang's Chinese Restaurant,,Chang's Chinese Restaurant,1304 Route 47 Ste 22,8242,Rio Grande,NJ,USA
75274,(580) 338-7664,New Dragon Restaurant,,New Dragon Restaurant,626 E Highway 54,73942,Guymon,OK,USA
75275,(580) 762-9777,Sakura,,Sakura,3000 N 14th St,74601,Ponca City,OK,USA
75276,(512) 456-0770,WOKS IT 2 U,,WOKS IT 2 U,1101 North US Highway 183,78641,Leander,TX,USA
75277,(540) 450-8691,CHOP STICK CAFE LLC,,CHOP STICK CAFE LLC,207 N KENT ST,22601,WINCHESTER,VA,USA
75278,(901) 609-8680,MULAN ASIAN BISTRO EAST,,MULAN ASIAN BISTRO EAST,4698 SPOTTSWOOD AVE,38117,MEMPHIS,TN,USA
75279,(585) 434-7575,CALIFORNIA ROLLIN II EX INC,,CALIFORNIA ROLLIN II EX INC,695 PARK AVE,14607,ROCHESTER,NY,USA
75280,(347) 379-3062,GRANDMA SUM INCORPORATED,,GRANDMA SUM INCORPORATED,4024 COLLEGE POINT BLVD,11354,FLUSHING,NY,USA
75281,(520) 623-8891,Lins Grand Buffet,,Lins Grand Buffet,1068 E Tucson Marketplace Blvd,85713,Tucson,AZ,USA
75282,(419) 690-8000,CHINA ONE BUFFET,,CHINA ONE BUFFET,3040 NAVARRE AVE,43616,OREGON,OH,USA
75283,(570) 544-6135,HONG KONG RESTAURANT,,HONG KONG RESTAURANT,W MARKET ST,17954,MINERSVILLE,PA,USA
75284,(410) 325-1000,Asian Taste R88319 - New Owner,,?,5441 Belair Rd,21206,Baltimore,MD,USA
75285,(662) 751-8889,MING BUFFET SUSHI,,MING BUFFET SUSHI,756 E FIFTEENTH ST,39194,YAZOO CITY,MS,USA
75286,(425) 250-0900,Beijing O'Chef,,Beijing O'Chef,206 Main St,98033,Kirkland,WA,USA
75287,(910) 895-8889,Peking Wok,,Mr.?,1788 E Broad Ave,28379,Rockingham,NC,USA
75288,(718) 210-7369,698 Cafe,,698 Cafe,39-07 Prince St #1,11354,Queens,NY,USA
75289,(860) 437-7887,China House,,China House,30 New London Route 32,6375,Quaker Hill,CT,USA
75290,(973) 530-4389,Asian Express,,Mr.?,20 Hillside Avenue,7836,Mount Olive,NJ,USA
75291,,Tea house,,???,2425 University Avenue Southeast,55414,Minneapolis,MN,USA
75292,(928) 283-5807,CHINA STAR,,CHINA STAR,US-160,86045,TUBA CITY,AZ,USA
75293,(832) 387-1385,Famous Wok,,Famous Wok,3700 Mallory Ln,37067,Franklin,TN,USA
75294,(606) 693-4873,Chen's Asian Buffet Inc,,Chen's Asian Buffet Inc,100 Highway 15 S Ste 102,41339,Jackson,KY,USA
75295,(304) 768-8866,China King Buffet,,China King Buffet,50 River Walk Mall,25303,South Charleston,WV,USA
75296,(617) 338-7721,NEW GOLDEN GATE INC,,NEW GOLDEN GATE INC,66 BEACH ST,2111,BOSTON,MA,USA
75297,(810) 629-2511,MOY KONG EXPRESS--Client DO NOT CALL,,MOY KONG EXPRESS,911 N LEROY ST,48430,FENTON,MI,USA
75298,(212) 688-8808,Amaze Fusion & Lounge,,Amaze Fusion & Lounge,1066 1st Ave,10022,New York,NY,USA
75299,,MR CHEN,,MR CHEN,5905 MYRTLE AVE,11385,RIDGEWOOD,NY,USA
75300,(212) 736-4004,Golden City Chinese Restaurant,,Golden City Chinese Restaurant,423 9th Ave Frnt 3,10001,New York,NY,USA
75301,(954) 430-2737,9544302737-Ms. ?-??,,Ms. ?,2224 North Flamingo Road,33028,Pembroke Pines,FL,USA
75302,(703) 815-3186,HUNAN CAFE,,HUNAN CAFE,5641 STONE RD,20120,CENTREVILLE,VA,USA
75303,(413) 458-1896,6 House Pub,,6 House Pub,866 Cold Spring Rd Route 7,1267,Williamstown,MA,USA
75304,(617) 481-5383,Winsor Dim Sum Cafe & Bar,,Winsor Dim Sum Cafe & Bar,706 Hancock St,2170,Quincy,MA,USA
75305,(304) 263-6544,New Peking,,New Peking,139 S Queen St,25401,Martinsburg,WV,USA
75306,,Chinese Express,,Unknown,Saint James Avenue,,Goose Creek,??,USA
75307,(304) 845-5911,Happy Garden Chinese Buffet,,Happy Garden Chinese Buffet,1607 Wheeling Ave,26038,Glen Dale,WV,USA
75308,(850) 656-3311,NEW STARS,,Mr.?,777 CAPITAL CIR SW,32305,TALLAHASSEE,FL,USA
75309,(917) 908-0122,Sup Crab Flushing,,Unknown,135-15 37th Ave,11354,Flushing,NY,USA
75310,,Unknown,Yi Chung,Teng,17853 Santiago Blvd. #102,17853,Santiago,CA,USA
75311,(201) 963-0240,Garden State - 9179030677 - Amy Wang,Faxiang,Cao,287 Central Avenue,7307,Jersey City,NJ,USA
75312,,Emperor's palace (EAST),kitty,huang,5050 Washington 303,98311,Bremerton,WA,USA
75313,(626) 885-8333,6264642333 -Michael- ????? ??,,Michael,5122 Whittier Blvd,90022,East Los Angeles,CA,USA
75314,407) 286-1436,TAIWAN EXPRESS,,Christine,3601 Columbia Street,32805,Orlando,FL,USA
75315,,Enchanted Szechuan LLV,,Xuemei  Ye,120 Washington Street,6854,Norwalk,CT,USA
75316,,asianfy habachi,,Jian Huang,805 East Ohio Street,64735,Clinton,MO,USA
75317,(347) 429-6999,Zhang Liang Hot Pot,,Unknown,136-49 Roosevelt Ave,11354,Flushing,NY,USA
75318,(347) 506-0200,PanGu Dry Pot,,Unknown,135-05 Roosevelt Ave,11354,Flushing,NY,USA
75319,(240) 424-5662,Bao Bei,,Unknown,"11910 Parklawn Dr, Ste 0",20852,Rockville,MD,USA
75320,(954) 752-1620,China One,,Unknown,7820 W Sample Rd,33065,Margate,FL,USA
75321,(305) 441-1900,Yum Yum Chinese Restaurant,,Unknown,3104 Coral Way,33145,Coral Gables,FL,USA
75322,(305) 940-9398,Tien Hung Chinese Restaurant,,Unknown,15154 NE 6th Ave,33162,Miami,FL,USA
75323,(678) 670-8888,YH's BBQ & Crab,,Unknown,"2180 Pleasant Hill Rd, Ste B8",30096,Duluth,GA,USA
75324,(508) 671-9288,Eastern Pearl,,Unknown,290 Main St Webster,1570,Webster,MA,USA
75325,(617) 338-2218,Wing's Kitchen,,Unknown,23 Hudson St,2111,Boston,MA,USA
75326,(317) 295-9590,Wonder Wu,,Unknown,5612 Georgetown Rd,46254,Indianapolis,IN,USA
75327,(646) 870-0005,Zhongzhong Noodles - Roosevelt Island,,Unknown,568 Main St,10044,New York,NY,USA
75328,(941) 330-0022,Yokuji Asian Restaurant,,Unknown,1770 N Tamiami Trl,34234,Sarasota,FL,USA
75329,(843) 331-3882,Golden China Restaurant,,Golden China Restaurant,1867 SC-544,29526,Conway,SC,USA
75330,(646) 262-7787,LINS WOK  LLC,,LINS WOK  LLC,1880 US HIGHWAY 1,32955,ROCKLEDGE,FL,USA
75331,(813) 991-9242,HIBACHI JAPANESE EXPRESS,,HIBACHI JAPANESE EXPRESS,5315 VILLAGE MARKET,33544,WESLEY CHAPEL,FL,USA
75332,(252) 539-9966,China King,,China King,120 N Main St,27869,Rich Square,NC,USA
75333,(253) 548-2419,Ming Palace,,Ming Palace,8736 S Hosmer St,98444,Tacoma,WA,USA
75334,(253) 589-2100,Hunan Garden Restaurant,,Hunan Garden Restaurant,8623 Steilacoom Blvd SW,98498,Tacoma,WA,USA
75335,(352) 728-6669,Ichiban Chinese & Japanese Buffet,,Ichiban Chinese & Japanese Buffet,10301 US Highway 441,34788,Leesburg,FL,USA
75336,(509) 787-7200,Chinese Buffet,,Chinese Buffet,716 13th Ave SW,98848,Quincy,WA,USA
75337,(864) 463-1266,CHINA ONE,,CHINA ONE,5350 N MAIN ST,29330,COWPENS,SC,USA
75338,(843) 396-9161,CHINA ONE,,CHINA ONE,217 N JONES RD,29114,OLANTA,SC,USA
75339,(803) 815-1540,CHINA TASTE,,CHINA TASTE,1126 US-321 #1,29180,WINNSBORO,SC,USA
75340,(518) 627-0688,China One,,China One,4803 NY-30 #9,12010,Amsterdam,NY,USA
75341,(315) 866-9988,New Foo Chow BORUNDA ASIAN BUFFET,,New Foo Chow BORUNDA ASIAN BUFFET,213 S Main St,13350,Herkimer,NY,USA
75342,(323) 724-0714,CANTON CITY RESTAURANT,,Mr.?,121 N GARFIELD AVE,90640,MONTEBELLO,CA,USA
75343,(425) 643-1234,Frying Fish,,Frying Fish,1915 140th Ave NE #2347,98005,Bellevue,WA,USA
75344,(850) 857-8892,Pho Golden Palace Vietnamese Restaurant,,Pho Golden Palace Vietnamese Restaurant,7156 N DAVIS HWY,32504,PENSACOLA,FL,USA
75345,(941) 351-1688,YUMMY HOUSE SARASOTA  LLC,,YUMMY HOUSE SARASOTA  LLC,1737 S TAMIAMI TRL,34239,SARASOTA,FL,USA
75346,(860) 673-8888,Yume Japanese Restaurant,,Yume Japanese Restaurant,45 Main St,6032,Farmington,CT,USA
75347,(718) 278-7333,EASTERN,,EASTERN,21-5 BROADWAY,11106,ASTORIA,NY,USA
75348,(803) 584-5718,China Buffet,,China Buffet,399 Main St S,29810,Allendale,SC,USA
75349,(228) 2224647,FATSUMO,,FATSUMO,125 DAVIS AVE STE C,39571,PASS CHRISTIAN,MS,USA
75350,(864) 227-0100,Chong Wah Express,,Chong Wah Express,420 SC-72,29649,Greenwood,SC,USA
75351,(727) 381-0088,BIG APPLE BUFFET,,BIG APPLE BUFFET,1030 58TH ST N,33710,SAINT PETERSBURG,FL,USA
75352,(678) 376-3929,Hong Kong Restaurant,,HK Restaurant,1064 Old Peachtree Road Northwest,30043,Lawrenceville,GA,USA
75353,,Dao Sushi and Thai,,Dao Sushi and Thai,200 Burr Ridge Parkway,60527,Burr Ridge,IL,USA
75354,(212) 791-1817,TASTY HAND PULLED NOODLES INC,,TASTY HAND PULLED NOODLES INC,1 DOYERS ST FRNT 1,10013,NEW YORK,NY,USA
75355,(212) 334-0099,AMAZING 66 RESTAURANTS,,AMAZING 66 RESTAURANTS,66 MOTT ST,10013,NEW YORK,NY,USA
75356,(802) 479-1999,CHINA TOWN,,CHINA TOWN,306 N MAIN ST,5641,BARRE,VT,USA
75357,(502) 890-6938,Chen Garden,,Chen Garden,9543 US Hwy 42,40219,Louisville,KY,USA
75358,(410) 354-3908,Bamboo House,,Unknown,3426 Annapolis Rd,21230,Baltimore,MD,USA
75359,,Jude,,??,822 Central Avenue,60035,Highland Park,IL,USA
75360,,Unknown,?,?,102 Railway Lane,21740,Hagerstown,MD,USA
75361,(770) 639-0967,Soho Asian Restaurant,,???,634 Collins Hill Road,30046,Lawrenceville,GA,USA
