Snowball_ID,Name,Last_Name,First_Name,Gender,Contact_Title,Category,phone_number,Address,Street,City,State,Zip_Code,Sales_Volume,Employment_Size,Small_Business_Indicator,Vendor_Ethnicity_Description,Franchise,Country
67995,Kung Fu Chinese Restaurant,,,,,Chinese,(709) 738-8838,"['27 Airport Heights Drive', """"St. John's, NL A1A 4W8"""", 'Canada']",27 Airport Heights Dr,St. John's,NL,A1A 4W8,,,,,,Canada
67996,Golden Phoenix Buffet,YU,YONGTAO,M,OWNER,Chinese,(709) 579-0785,"['56A Kenmount Road', """"St John's, NL A1B 1W3"""", 'Canada']",56A Kenmount Rd,St. John's,NL,A1B 1W2,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
67997,Noodle Nami,,,,,Cajun Seafood,(709) 722-4141,"['8-10 Rowan Street', 'Suite L003', """"St. John's, NL A1B 2X1"""", 'Canada']","8-10 Rowan Street, Suite L003,",St. Johns,NL,A1B 2X1,,,,,,Canada
67998,Kenmount Restaurant,HONG,KEN,M,OWNER,Chinese,(709) 753-8385,"['75 Kenmount Road', """"St. John's, NL A1B 3P8"""", 'Canada']","75 Kenmount Road,",St. Johns,NL,A1B 3P8,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
67999,sun sushi,XIE,MING,,OWNER,Japanese,() ,"['193 Kenmount Road', """"St. John's, NL A1B 3P9"""", 'Canada']",193 Kenmount Rd,St. John's,NL,A1B 3P9,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68000,Wok Box,STEELE,JAMES,M,MANAGER,Cajun Seafood,(709) 726-3222,"['55 A-1 Kelsey Dr', """"St John's, NL A1B 5C8"""", 'Canada']","55 A-1 Kelsey Dr,",St Johns,NL,A1B 5C8,"LESS THAN $500,000",9-May,N,English,Y,Canada
68001,Bad Bones Ramen,,,,,Japanese,(709) 237-2200,"['178 Water St', """"St. John's, NL A1C 1A9"""", 'Canada']",178 Water St,St. John's,NL,A1C 1A9,,,,,,Canada
68002,Sushi Island,,,,,Japanese,(709) 753-2378,"['210 Water Street', """"Saint John's, NL A1C 1A9"""", 'Canada']",210 Water St,St. John's,NL,A1C 1A9,,,,,,Canada
68003,Hong Kong Restaurant,MEIKEM,YOK,M,OWNER,Chinese,(709) 753-8838,"['361 Water Street', """"St. John's, NL A1C 1C2"""", 'Canada']","361 Water Street,",St. Johns,NL,A1C 1C2,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68004,MAGIC WOK EATERY,LI,JERRY,M,OWNER,Chinese,(709) 753-6907,"['402 - 408 Water Street', """"St. John's, NL A1C 1C9"""", 'Canada']","402-408 Water Street,",St. Johns,NL,A1C 1C9,$1-2.5 MILLION,20-49,N,Chinese,,Canada
68005,Sun Sushi,SUN,CHANGYUN,F,OWNER,Japanese,(709) 726-8688,"['186 Duckworth Street', """"St. John's, NL A1C 1G5"""", 'Canada']",186 Duckworth St,St. John's,NL,A1C 1G5,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68006,Bamboo Garden,,,,,Chinese,(709) 726-7802,"['252 Duckworth St', """"St. John's, NL A1C 1G6"""", 'Canada']","252 Duckworth St,",St. Johns,NL,A1C 1G6,,,,,,Canada
68007,Basho Restaurant & Lounge,,,,,Japanese,(709) 576-4600,"['283 Duckworth Street', """"St. John's, NL A1C 1G9"""", 'Canada']",283 Duckworth St,St. John's,NL,A1C 1G9,,,,,,Canada
68008,Sushi Nami Royale,,,,,Japanese,(709) 722-1003,"['36 George Street', """"Saint John's, NL A1C 1M3"""", 'Canada']","36 George Street,",Saint Johns,NL,A1C 1M3,,,,,,Canada
68009,Monroe Take Out,OU,HAO,M,OWNER,Chinese,(709) 753-3450,"['84 Monroe Street', """"St. John's, NL A1C 1Y5"""", 'Canada']",84 Monroe St,St. John's,NL,A1C 1Y5,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68010,Loong Wah Restaurant,TA,QUYNH,F,OWNER,Chinese,(709) 726-4811,"['13 Lemarchant Road', """"St John's, NL A1C 2G4"""", 'Canada']",13 Lemarchant Rd,St. John's,NL,A1C 2G4,"LESS THAN $500,000",4-Jan,Y,Vietnamese,,Canada
68011,New City Restaurant,WEN,XINZHONG,M,OWNER,Chinese,(709) 738-1368,"['210 Pennywell Rd', """"St. John's, NL A1C 2L6"""", 'Canada']",210 Pennywell Rd,St. John's,NL,A1C 2L6,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68012,Mea Mei Wok Eatery,TAN,JIMMY,M,OWNER,Chinese,(709) 726-8424,"['12 Freshwater Road', """"Saint John's, NL A1C 2M9"""", 'Canada']",12 Freshwater Rd,St. John's,NL,A1C 2M9,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68013,Song Hee Take Out,MAN,SANWA,M,OWNER,Chinese,(709) 722-6868,"['209 Av Empire', """"St. John's, NL A1C 3H2"""", 'Canada']",209 av Empire,St. John's,NL,A1C 3H2,"LESS THAN $500,000",4-Jan,Y,Korean,,Canada
68014,SpiceX,,,,,Cajun Seafood,(709) 739-7474,"['31 Malta Street', """"St. John's, NL A1C 4T1"""", 'Canada']",31 Malta St,St. John's,NL,A1C 4T1,,,,,,Canada
68015,Kimchi & Sushi,,,,,Japanese,(709) 579-4382,"['140 Water Street', 'Suite 102', 'TD Building', """"St. John's, NL A1C 6C9"""", 'Canada']",140 Water St Suite 102 Td Building,St. John's,NL,A1C 6H6,"LESS THAN $500,000",9-May,N,Unknown,,Canada
68016,Jin Dragon,,,,,Chinese,(709) 579-3555,"['27 Blackmarsh Road', """"St. John's, NL A1E 1S2"""", 'Canada']",27 Blackmarsh Rd,St. John's,NL,A1E 1S2,,,,,,Canada
68017,City Light Restaurant,,,,,Chinese,(709) 747-8377,"['460 Topsail Rd', """"St John's, NL A1E 2C2"""", 'Canada']",460 Topsail Rd,St. John's,NL,A1E 2C2,"LESS THAN $500,000",9-May,N,Unknown,,Canada
68018,China Town Eatery,LEE,WAYNE,M,OWNER,Chinese,(709) 738-7388,"['127 Campbell Avenue', """"St. John's, NL A1E 2Z5"""", 'Canada']",127 Campbell Ave,St. John's,NL,A1E 2Z5,"LESS THAN $500,000",4-Jan,Y,English,,Canada
68019,Red Pepper Restaurant,CHIU,DAVID,M,OWNER,Cajun Seafood,(709) 754-7600,"['38 Hamlyn Road', """"St. John's, NL A1E 5X7"""", 'Canada']","38 Hamlyn Road,",St. Johns,NL,A1E 5X7,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68020,Dong Fong Restaurant,QI,XIA,F,OWNER,Chinese,(709) 368-2288,"['41 Bay Bulls Rd', """"St. John's, NL A1G 1A6"""", 'Canada']",41 Bay Bulls Rd,St. John's,NL,A1G 1A4,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68021,Lucky's,AU,SUE,F,MANAGER,Chinese,(709) 368-5169,"['949 Topsail Road', 'Mount Pearl, NL A1N 3K1', 'Canada']",949 Topsail Road,Mount Pearl,NL,A1N 3K1,"LESS THAN $500,000",9-May,N,Korean,,Canada
68022,Full House Restaurant,,,,,Chinese,(709) 364-8399,"['74 Old Placentia Road', 'Mount Pearl, NL A1N 5H6', 'Canada']",74 Old Placentia Road,Mount Pearl,NL,A1N 5H6,"LESS THAN $500,000",4-Jan,N,Unknown,,Canada
68023,East Ocean Restaurant,TAM,KITTY,F,OWNER,Chinese,(709) 256-7429,"['67 Elizabeth Drive', 'Gander, NL A1V 1J9', 'Canada']",67 Elizabeth Dr,Gander,NL,A1V 1J9,"LESS THAN $500,000",4-Jan,Y,"Khmer (Kampuchean, Cambodian)",,Canada
68024,M Share Restaurant,,,,,Chinese,(709) 834-8882,"['532 Conception Bay Highway', 'Conception Bay South, NL A1X 7M8', 'Canada']",532 Conception Bay Hwy,Conception Bay South,NL,A1X 7M8,,,,,,Canada
68025,Fong's Restaurant,FONG,ART,M,OWNER,Chinese,(709) 596-5010,"['143 Columbus Drive', 'Carbonear, NL A1Y 1A6', 'Canada']",143 Columbus Dr,Carbonear,NL,A1Y 1A6,$1-2.5 MILLION,20-49,N,Chinese,,Canada
68026,Tai Wan Restaurant,LI,JUANI,M,OWNER,Chinese,(709) 489-4222,"['15 High St', 'Grand Falls-Windsor, NL A2A 1C6', 'Canada']",15 High St,Grand Falls-Windsor,NL,A2A 1C5,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68027,Ji Wen Garden,LEE,MAYU,F,OWNER,Chinese,(709) 639-7003,"['82 West Street', 'Corner Brook, NL A2H 2Z3', 'Canada']",82 West St,Corner Brook,NL,A2H 2Z3,"LESS THAN $500,000",4-Jan,Y,English,,Canada
68028,Newfound Sushi,VINCENT,KEVIN,M,OWNER,Japanese,(709) 634-6666,"['117 Broadway', 'Corner Brook, NL A2H 4B4', 'Canada']",117 Broadway,Corner Brook,NL,A2H 4E3,"LESS THAN $500,000",9-May,Y,English,,Canada
68029,Sushi Lab,TAN,CHARLIE,M,OWNER,Japanese,(709) 944-4179,"['118 Humphrey Drive', 'Bruno Plaza', 'Labrador City, NL A2V 2J8', 'Canada']",118 Humphrey Rd Bruno Plaza,Labrador City,NL,A2V 2J8,$1-2.5 MILLION,20-49,N,Chinese,,Canada
68030,Uncle Li Chinese Restaurant,LI,TINA,F,OWNER,Chinese,(709) 466-1088,"['3 Coish Place', 'Clarenville, NL A5A 0C3', 'Canada']",3 Coish Pl,Clarenville,NL,A5A 0C3,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68031,Tai Hong Restaurant,WONG,CINDY,F,OWNER,Chinese,(709) 466-2929,"['2 Tilleys Road', 'Clarenville, NL A5A 1Z2', 'Canada']",2 Tilleys Rd,Clarenville,NL,A5A 1Z2,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68032,Bojo's Chinese Buffet,,,,,Chinese,(709) 635-1288,"['1 Chapel Hill Road', 'Deer Lake, NL A8A 1C2', 'Canada']",1 Chapel Hill Rd,Deer Lake,NL,A8A 1C2,,,,,,Canada
68033,Canton Restaurant,YU,RICHARD,M,OWNER,Chinese,(709) 635-8118,"['6 Commerce Street', 'Deer Lake, NL A8A 1E6', 'Canada']",6 Commerce St,Deer Lake,NL,A8A 1E6,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68034,Wong's Bras d'Or House Restaurant,,,,,Chinese,() ,"['466 Chebucto Street', 'Baddeck, NS B0E 1B0', 'Canada']",466 Chebucto Street,Baddeck,NS,B0E 1B0,,,,,,Canada
68035,Ongs Restaurant,THONG,RICHARD,M,OWNER,Chinese,(902) 889-3443,"['9101 Hwy 7', 'Head of Jeddore, NS B0J 1P0', 'Canada']",9101 Highway 7,Head Of Jeddore,NS,B0J 1P0,"LESS THAN $500,000",9-May,Y,Vietnamese,,Canada
68036,Gold House Restaurant,TANG,NANCY,F,OWNER,Chinese,(902) 798-2522,"['4190 Highway 1', 'Windsor, NS B0N 2T0', 'Canada']",4190 Highway 1,Windsor,NS,B0N 2T0,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68037,Baby Panda,,,,,Chinese,(902) 472-3866,"['467 King Street', 'Windsor, NS B0N 2T0', 'Canada']",467 King Street,Windsor,NS,B0N 2T0,,,,,,Canada
68038,Sushi Fang,,,,,Japanese,(902) 765-8886,"['1065 Central Avenue', 'Kingston, NS B0P 1N0', 'Canada']",1065 Central Avenue,Kingston,NS,B0P 1N0,,,,,,Canada
68039,China Village Restaurant,CHOW,KEN,,,Chinese,(902) 765-3888,"['1065 Central Avenue', 'Kingston, NS B0P 1N0', 'Canada']",1065 Central Avenue,Kingston,NS,B0P 1N0,,,,,,Canada
68040,Bao Phu Restaurant,,,,,Chinese,(902) 242-8899,"['463 Main Street', 'Kingston, NS B0P 1R0', 'Canada']",463 Main Street,Kingston,NS,B0P 1R0,"LESS THAN $500,000",9-May,N,Unknown,,Canada
68041,Garrison House,REDGRAVE,PATRICK,M,OWNER,Cajun Seafood,(902) 532-5750,"['350 Saint George Street', 'Annapolis Royal, NS B0S 1A0', 'Canada']",350 Saint George Street,Annapolis Royal,NS,B0S 1A0,$1-2.5 MILLION,19-Oct,N,English,,Canada
68042,House of Cheng,YIN,JING,M,OWNER,Chinese,(902) 825-3121,"['345 Main St', 'Middleton, NS B0S 1P0', 'Canada']",345 Main St,Middleton,NS,B0S 1P0,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68043,Golden Pond Restaurant,WONG,HARRY,M,OWNER,Chinese,(902) 354-5186,"['73 Henry Hensey Drive', 'Liverpool, NS B0T 1K0', 'Canada']",73 Henry Hensey Drive,Liverpool,NS,B0T 1K0,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68044,Luong's Restaurant,,,,,Chinese,(902) 875-1300,"['165 Water St', 'Shelburne, NS B0T 1W0', 'Canada']",165 Water St,Shelburne,NS,B0T 1W0,,,,,,Canada
68045,Soo Good Kitchen,,,,,Cajun Seafood,(902) 974-1164,"['111 Warwick St', 'Digby, NS B0V 1A0', 'Canada']",111 Warwick St,Digby,NS,B0V 1A0,,,,,,Canada
68046,House of Wong,TAN,MICHAEL,M,MANAGER,Chinese,(902) 245-4125,"['110 Water Street', 'Digby, NS B0V 1A0', 'Canada']",110 Water Street,Digby,NS,B0V 1A0,"LESS THAN $500,000",9-May,N,Chinese,,Canada
68047,Wok By The Bay,,,,,Chinese,(902) 245-6982,"['40-58 Water Street', 'Digby, NS B0V 1A0', 'Canada']",40-58 Water Street,Digby,NS,B0V 1A0,,,,,,Canada
68048,Super Bun,,,,,Chinese,(902) 567-0888,"[""""1028 King's Road"""", 'Sydney, NS B1P 1C7', 'Canada']","1028 Kings Road""""",Sydney,NS,B1P 1C7,,,,,,Canada
68049,Peking Restaurant,SZETO,MILLER,M,OWNER,Chinese,(902) 539-7775,"['355 Charlotte Street', 'Sydney, NS B1P 1E1', 'Canada']",355 Charlotte St,Sydney,NS,B1P 1E1,$1-2.5 MILLION,19-Oct,N,Chinese,,Canada
68050,Naru Japanese Cuisine,SUNG,H,M,OWNER,Japanese,(902) 270-8800,"['216 Bentinck Street', 'Sydney, NS B1P 1G8', 'Canada']",216 Bentinck St,Sydney,NS,B1P 1G8,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68051,Sakura All You Can Eat,,,,,Japanese,(902) 539-2476,"['100 Townsend St', 'Sydney, NS B1P 5E1', 'Canada']",100 Townsend St,Sydney,NS,B1P 5E1,,,,,,Canada
68052,Vailly's Dessert House,,,,,Chinese,(902) 537-1059,"['273 Townsend street', 'Sydney, NS B1P 5E7', 'Canada']",273 Townsend St,Sydney,NS,B1P 5E7,,,,,,Canada
68053,Fortune Star,ZHOU,CAN,M,OWNER,Chinese,(902) 562-8078,"['439 Prince Street', 'Sydney, NS B1P 5L3', 'Canada']",439 Prince St,Sydney,NS,B1P 5L3,"LESS THAN $500,000",4-Jan,Y,Vietnamese,,Canada
68054,Hong Fa Restaurant,CHEUNG,ALLAN,M,OWNER,Chinese,(902) 539-3877,"['462 Prince Street', 'Sydney, NS B1P 5L5', 'Canada']",462 Prince St,Sydney,NS,B1P 5L5,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68055,A Bite of Asia,,,,,Chinese,(902) 270-7777,"['76 - 80 Dorchester Street', 'Sydney, NS B1P 5Z1', 'Canada']",76-80 Dorchester St,Sydney,NS,B1P 5Z1,,,,,,Canada
68056,King Fortune Restaurant,WONG,JOHNNY,M,OWNER,Chinese,(902) 567-0709,"['1060 Kings Road', 'Sydney, NS B1S 1C7', 'Canada']",1060 Kings Rd,Sydney,NS,B1S 1C7,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68057,Canton Restaurant,CHAN,RAYMOND,M,OWNER,Chinese,(902) 794-4587,"['294 Commercial Street', 'North Sydney, NS B2A 1C1', 'Canada']",294 Commercial St,North Sydney,NS,B2A 1C1,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68058,Moonlight Restaurant,DIAO,GEORGE,M,OWNER,Chinese,(902) 863-3667,"['210 Main Street', 'Antigonish, NS B2G 2B9', 'Canada']",210 Main St,Antigonish,NS,B2G 2B9,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68059,Love Eat Asian Restaurant,,,,,Chinese,(902) 867-3531,"['232 Main Street', 'Antigonish, NS B2G 2C2', 'Canada']",232 Main St,Antigonish,NS,B2G 2C2,,,,,,Canada
68060,Little Asia,,,,,Chinese,(902) 872-2888,"['382 Main Street', 'Antigonish, NS B2G 2C6', 'Canada']",382 Main Street,Antigonish,NS,B2G 2C6,,,,,,Canada
68061,Joe Chows Restaurant,CHOW,JOE,M,OWNER,Chinese,(902) 752-4686,"['29 Westville Rd', 'New Glasgow, NS B2H 2J2', 'Canada']",29 Westville Rd,New Glasgow,NS,B2H 2J2,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68062,Mamatsu Fresh Asian Kitchen,,,,,Chinese,(902) 755-6601,"['205 Provost Street', 'New Glasgow, NS B2H 2R1', 'Canada']",205 Provost St,New Glasgow,NS,B2H 2R2,"LESS THAN $500,000",4-Jan,N,Unknown,,Canada
68063,Chow Family Restaurant,LAU,MARY,F,OWNER,Chinese,(902) 895-9256,"['344 Prince Street', 'Truro, NS B2N 1E2', 'Canada']",344 Prince St,Truro,NS,B2N 1E2,"$500,000-1 MILLION",19-Oct,N,German,,Canada
68064,China Rose Cafe,TAM,PETER,M,OWNER,Chinese,(902) 895-8588,"['870 Prince Street', 'Truro, NS B2N 1H4', 'Canada']",870 Prince St,Truro,NS,B2N 1H4,"LESS THAN $500,000",4-Jan,Y,"Khmer (Kampuchean, Cambodian)",,Canada
68065,Yoka Japanese & Thai,,,,,Japanese,(902) 893-9111,"['911 Prince Street', 'Unit1', 'Truro, NS B2N 1H6', 'Canada']",911 Prince St Unit 1,Truro,NS,B2N 1H6,,,,,,Canada
68066,Golden Wu Restaurant,ZHOU,THAO,F,OWNER,Chinese,(902) 895-0888,"['138 Arthur Street', 'Truro, NS B2N 1Y1', 'Canada']",138 Arthur St,Truro,NS,B2N 1Y1,"LESS THAN $500,000",4-Jan,Y,Vietnamese,,Canada
68067,Ho Ho Wok Restaurant,HUENG,JACK,M,OWNER,Chinese,(902) 893-4646,"['23 Inglis Place', 'Truro, NS B2N 4B5', 'Canada']",23 Inglis Pl,Truro,NS,B2N 4B5,"LESS THAN $500,000",9-May,Y,Unknown,,Canada
68068,King Lam Restaurant,CHEN,NEO,M,OWNER,Chinese,(902) 893-8785,"['39 Main Street', 'Truro, NS B2N 4G5', 'Canada']",39 Main St,Bible Hill,NS,B2N 4G5,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68069,Wung Express,HU,ALISON,F,OWNER,Chinese,(902) 895-2448,"['245 Robie Street', 'Unit D', 'Truro, NS B2N 5N6', 'Canada']",245 Robie St Unit D,Truro,NS,B2N 5N6,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68070,China Star Chinese Cuisine,,,,,Chinese,(902) 860-1118,"['1470 Fall River Road', 'Fall River, NS B2T 1J1', 'Canada']",1470 Road,Fall River,NS,B2T 1J1,,,,,,Canada
68071,Fong's Restaurant,FONG,FRED,M,OWNER,Chinese,(902) 435-3225,"['1241 Cole Harbour Road', 'Dartmouth, NS B2V 1N1', 'Canada']",1241 Cole Harbour Rd,Dartmouth,NS,B2V 1N1,$1-2.5 MILLION,20-49,N,Chinese,,Canada
68072,Tan's Family Restaurant,TAN,JEAN,F,OWNER,Chinese,(902) 462-8267,"['900 Cole Harbour Road', 'Dartmouth, NS B2V 2J5', 'Canada']",900 Cole Harbour Rd,Dartmouth,NS,B2V 2J5,"LESS THAN $500,000",9-May,Y,Chinese,,Canada
68073,Sushi101,,,,,Japanese,(902) 469-8888,"['912 Cole Harbour Road', 'Unit 13', 'Dartmouth, NS B2V 2A8', 'Canada']",912 Cole Harbour Rd Unit 13,Dartmouth,NS,B2V 2J5,,,,,,Canada
68074,Taste Garden,,,,,Chinese,(902) 463-3530,"['516 Pleasant Street', 'Dartmouth, NS B2W 1A4', 'Canada']",516 Pleasant St,Dartmouth,NS,B2W 1A4,,,,,,Canada
68075,Hk Wong's Palace Restaurant,SEWART,ERYN,F,MANAGER,Chinese,(902) 464-1717,"['644 Portland Street', 'Dartmouth, NS B2W 2M3', 'Canada']",644 Portland Street,Dartmouth,NS,B2W 2M3,"$500,000-1 MILLION",19-Oct,N,English,,Canada
68076,Mizu All You Can Eat,LIN,RYAN,M,MANAGER,Japanese,(902) 462-3333,"['644 Portland Street', 'Dartmouth, NS B2W 6C4', 'Canada']",644 Portland Street,Dartmouth,NS,B2W 6C4,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68077,New Panda Buffet,WONG,VINCENT,M,MANAGER,Chinese,(902) 405-8700,"['100 Main St', 'Dartmouth, NS B2X 1R5', 'Canada']",100 Main St,Dartmouth,NS,B2X 1R5,"LESS THAN $500,000",9-May,N,Chinese,,Canada
68078,Jukai Japanese & Thai,,,,,Japanese,(902) 405-5551,"['49 Kings Wharf Place', 'Unit 103-104', 'Dartmouth, NS B2Y 0C7', 'Canada']",49 Kings Wharf Pl Unit 103-104,Dartmouth,NS,B2Y 0C7,"LESS THAN $500,000",9-May,N,Unknown,,Canada
68079,Side Hustle,,,,,Cajun Seafood,(902) 469-5899,"['21 Portland Street', 'Dartmouth, NS B2Y 1H1', 'Canada']",21 Portland St,Dartmouth,NS,B2Y 1H1,,,,,,Canada
68080,May Garden,BONANG,ANNA,F,MANAGER,Chinese,(902) 469-2226,"['136 Portland Street', 'Dartmouth, NS B2Y 1J1', 'Canada']",136 Portland St,Dartmouth,NS,B2Y 1J1,"LESS THAN $500,000",9-May,N,Unknown,,Canada
68081,Biscuit Lips Lunch,HUNG,QUAN,M,OWNER,Chinese,(902) 466-9633,"['40 Alderney Drive', 'Dartmouth, NS B2Y 2N5', 'Canada']",40 Alderney Drive,Dartmouth,NS,B2Y 2N5,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68082,Fan's Restaurant,CHOI,TONG,M,OWNER,Chinese,(902) 469-9165,"['451 Windmill Road', 'Dartmouth, NS B3A 1J9', 'Canada']",451 Windmill Road,Dartmouth,NS,B3A 1J9,$1-2.5 MILLION,20-49,N,Chinese,,Canada
68083,Genji Sushi,,,,,Japanese,(902) 405-5550,"['184 Wyse Road', 'Dartmouth, NS B3A 1M9', 'Canada']",184 Wyse Rd,Dartmouth,NS,B3A 1M9,$1-2.5 MILLION,20-49,N,Unknown,,Canada
68084,Yum Yum,,,,,Chinese,(902) 463-1071,"['32 Albro Lake Road', 'Dartmouth, NS B3A 3X8', 'Canada']",32 Albro Lake Rd,Dartmouth,NS,B3A 3X8,,,,,,Canada
68085,Sukiyaki,,,,,Japanese,(902) 463-3530,"['21 Micmac Boulevard', 'Dartmouth, NS B3A 4N3', 'Canada']",21 Micmac Blvd,Dartmouth,NS,B3A 4N3,,,,,,Canada
68086,Wok Box,BEAUDRY,ARNY,M,OTHER,Cajun Seafood,(902) 406-1965,"['55 Gale Terrace', 'Dartmouth, NS B3B 0C5', 'Canada']",55 Gale Terr,Dartmouth,NS,B3B 0C5,"$500,000-1 MILLION",19-Oct,N,French,Y,Canada
68087,Sushi Nami Royale,LIU,CRYSTAL,F,MANAGER,Japanese,(902) 481-9081,"['149 Hector Gate', 'Dartmouth, NS B3B 0E5', 'Canada']",149 Hector Gate,Dartmouth,NS,B3B 0E5,"LESS THAN $500,000",4-Jan,N,Chinese,,Canada
68088,Modern Orchid,,,,,Cajun Seafood,(902) 480-8866,"['171 Hector Gate', 'Dartmouth, NS B3B 0E5', 'Canada']",171 Hector Gate,Dartmouth,NS,B3B 0E5,,,,,,Canada
68089,Fancy Chopsticks,,,,,Chinese,(902) 281-3330,"['324 STATION ROAD', 'Porters Lake, NS B3E 1J9', 'Canada']",324 Station Road,Porters Lake,NS,B3E 1J9,,,,,,Canada
68090,Bai Wei Grill Bar,WANG,HONG,F,OWNER,Chinese,(902) 405-7088,"['1075 Queen Street', 'South End, NS B3H 1M5', 'Canada']",1075 Queen Street,South End,NS,B3H 1M5,"LESS THAN $500,000",9-May,Y,Vietnamese,,Canada
68091,Jacky's Cafe,TANG,JACKY,M,OWNER,Chinese,(902) 446-4060,"['5991 Spring Garden Road', 'Halifax, NS B3H 1Y6', 'Canada']",5991 Spring Garden Road,Halifax,NS,B3H 1Y6,"LESS THAN $500,000",4-Jan,Y,Chinese,,Canada
68092,Jean's Chinese Restaurant,KONG,JEAN,F,MANAGER,Chinese,(902) 444-7776,"['5972 Spring Garden Road', 'Halifax, NS B3H 1Y7', 'Canada']",5972 Spring Garden Rd,Halifax,NS,B3H 1Y7,"$500,000-1 MILLION",19-Oct,N,Chinese,,Canada
68093,Noodle Sushi Tofu,,,,,Chinese,() ,"['1209 Marginal Road', 'Halifax, NS B3H 4P7', 'Canada']",1209 Marginal Rd,Halifax,NS,B3H 4P8,,,,,,Canada
68094,Cheelin Express,,,,,Chinese,(902) 489-6815,"['1209 Marginal Road', 'Halifax, NS B3H 4P7', 'Canada']",1209 Marginal Rd,Halifax,NS,B3H 4P8,,,,,,Canada
