OPPORTUNITY_ID,ACCOUNT_NAME,RESTAURANT_UNIQUE_CODE,STATUS,ONBOARDED_DATE,GMV_LEVEL_VOICE_PLATFORM,TOTAL_GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,TOTAL_GMV_ONLINE_USD,TOTAL_GMV_VOICE_PLATFORM_USD,TOTAL_ORDER_COUNT_ONLINE,TOTAL_ORDER_COUNT_VOICE_PLATFORM,TOTAL_MIN_MONTHLY_SALES_USD,LEAD_CREATED_DATE,STAGE_NAME,CLOSE_DATE,LIVE_DATE,CLOSED_WON_DATE,LEAD_SOURCE,BILLING_STATE,PROMOTIONS,LATEST_ACTIVATION_DATE,CUISINE_TYPE
006Uo00000JODHJIA5,Asia Kitchen R87651,R87651,active,2024-08-21,"level_3 ($10,000 to $29,999)",15457,0,78830,0,4145,10000,2024-08-05,Onboarded,2024-08-21,2024-08-21,2024-08-16,DM,DC,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;August'24 SQL Promo - $300 Gift Card,2024-08-20,advanced
006Uo000004p4nGIAQ,Chang Jiang R85728,R85728,active,,"level_3 ($10,000 to $29,999)",15686,0,252549,0,9630,10000,2023-12-27,Closed Lost,2024-02-16,,,DM,WI,,,chinese
006Uo000003gSV7IAM,LIAN HSING CHINESE R86692,R86692,active,2023-12-28,"level_low (< $10,000)",9980,0,112443,0,7796,0,2022-11-01,Onboarded,2023-12-23,2023-12-23,2023-12-15,Client Referral - Unknown;WeChat - Blog,PA,Printer Promotion;30 days Free Trial - VO,2023-12-23,chinese
006Uo00000CDt7pIAD,NEW BEIJING OF LIN INC R87197,R87197,active,2024-04-30,"level_2 ($30,000 to $49,999)",33735,0,274375,0,9403,0,2022-11-01,Onboarded,2024-04-30,2024-04-30,2024-04-24,Client Referral - Unknown,NY,Printer Promotion,2024-04-29,chinese
006Uo00000B47PaIAJ,Taste Of China R87133,R87133,active,2024-04-15,"level_3 ($10,000 to $29,999)",15490,0,124437,0,4094,10000,2024-04-03,Onboarded,2024-04-13,2024-04-13,2024-04-03,DM,IL,Printer Promotion;1 Year SMS - Free,2024-04-13,chinese
006Uo00000AS7K9IAL,New Moon R87093,R87093,active,2024-04-11,"level_1 ($50,000 to $99,999)",52883,0,437170,0,16371,15000,2024-03-23,Onboarded,2024-04-10,2024-04-10,2024-03-23,Client Referral - Unknown,CT,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;March24 SQL - Humidifier,2024-04-16,chinese
006Uo000005fQ7DIAU,CHINA TASTE R86931,R86931,active,2024-02-16,"level_1 ($50,000 to $99,999)",63156,0,616823,0,23549,10000,2022-11-01,Onboarded,2024-02-13,2024-02-13,2024-02-01,Client Referral - Unknown;Client Referral -Marketing,FL,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Flight Ticket - Jan 2024,2024-02-12,chinese
006Uo00000KMwzXIAT,Fortune Garden R87688,R87688,active,2024-09-01,"level_2 ($30,000 to $49,999)",33211,0,151664,0,4931,10000,2023-12-19,Onboarded,2024-09-01,2024-09-01,2024-08-26,DM,NY,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;August'24 SQL Promo - $200 Gift Card,2024-09-01,chinese
006Uo00000ClBHHIA3,Chang An Travelers Rest R87226,R87226,active,2024-05-16,"level_3 ($10,000 to $29,999)",23732,0,162956,0,5787,0,2022-11-01,Onboarded,2024-05-15,2024-05-15,2024-05-04,SMS;Client Referral - Unknown,SC,Printer Promotion,2024-05-14,chinese
006Uo00000OmNxOIAV,Panda Chinese Restaurant R87858,R87858,active,2024-11-02,"level_3 ($10,000 to $29,999)",27601,0,36801,0,935,10000,2024-10-28,Onboarded,2024-11-02,2024-11-02,2024-10-29,SEO_Chinese,MT,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-11-01,unknown
006Uo00000E0lOgIAJ,China Panda R87816,R87816,active,2024-10-16,"level_low (< $10,000)",6007,0,14217,0,481,10000,2022-11-01,Onboarded,2024-10-16,2024-10-16,2024-10-10,WeChat - Ads,GA,30 days Free Trial - VO;1 Year SMS - Free,2024-10-15,chinese
006Uo00000DSAxrIAH,Ji Li Chinese & Sushi R87608,R87608,active,2024-08-14,"level_low (< $10,000)",9725,0,46681,0,1668,10000,2024-05-14,Onboarded,2024-08-14,2024-08-14,2024-08-07,Google,NY,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;August'24 SQL Promo - $300 Gift Card,2024-08-13,advanced
006Uo000003nxbWIAQ,Pineapple Restaurant R87655,R87655,active,,"level_3 ($10,000 to $29,999)",29246,0,128680,0,3241,15000,2022-11-01,Closed Lost,2024-02-10,,,DM,NJ,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2024-08-22,chinese_japanese
006Uo0000053MCPIA2,China King R86776,R86776,active,2024-01-13,"level_3 ($10,000 to $29,999)",22947,0,170576,0,5737,0,2023-12-29,Onboarded,2024-01-11,2024-01-11,2023-12-30,DM,MI,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO,2024-01-10,chinese
006Uo00000TnKUjIAN,NEW GOLDEN FOUNTAIN R89036,R89036,active,2025-01-14,"level_2 ($30,000 to $49,999)",35456,0,7091,0,244,,2022-11-01,Onboarded,2025-01-14,2025-01-14,2025-01-09,Google,NY,Printer Promotion;30 days Free Trial - VO;January '25 - $88 Red Envelope SQL Promo,2025-01-14,chinese
006Uo000009XV20IAG,China One LLC R87063,R87063,active,2024-03-21,"level_2 ($30,000 to $49,999)",33592,0,293371,0,10518,10000,2022-11-01,Onboarded,2024-03-20,2024-03-20,2024-03-09,SEO_Chinese,WI,March24 SQL - Humidifier,2024-03-19,chinese
006Uo00000CIm5hIAD,Oriental Sakura R87202,R87202,active,2024-05-13,"level_low (< $10,000)",6576,0,38138,0,1427,0,,Onboarded,2024-05-10,2024-05-10,2024-04-26,DM,NJ,Printer Promotion;1 Year SMS - Free;April 2024 CW Promo - Cleaning Robot,2024-05-10,chinese_japanese
006Uo000002KtTqIAK,Charley's Philly steak R87653,R87653,active,,"level_low (< $10,000)",1013,0,642,0,60,10000,2022-11-23,Closed Lost,2023-12-22,,,DM;WeChat - Ads,OR,30 days Free Trial - VO;30 days Free Trial - DE,2024-08-25,advanced
006Uo000005PKANIA4,Peking Chinese R86938,R86938,active,2024-02-21,"level_2 ($30,000 to $49,999)",31636,0,356430,0,14013,10000,2022-11-01,Onboarded,2024-02-16,2024-02-16,2024-02-05,Client Referral - Unknown,MS,30 days Free Trial - VO;High GMV - the 12th Month Free;$1500 Statement Credit,2024-02-16,chinese_japanese
006Uo000002U3iMIAS,CHANG JIANG R88202,R88202,active,2023-12-21,"level_3 ($10,000 to $29,999)",14017,34974,1060583,1142,44928,10000,2023-03-23,Onboarded,2023-12-20,2023-12-20,2023-12-08,DM;WeChat - Ads,WI,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2023-12-19,unknown
006Uo000008g7JpIAI,China Restaurant R87012,R87012,active,2024-03-07,"level_3 ($10,000 to $29,999)",19032,0,170652,0,7383,10000,2024-02-22,Onboarded,2024-03-05,2024-03-05,2024-02-22,SMS,GA,30 days Free Trial - VO;1 Year SMS - Free,2024-03-04,chinese
006Uo000007BSwDIAW,BEST WOK R86972,R86972,active,2024-02-27,"level_low (< $10,000)",6756,0,23420,0,853,0,2024-01-29,Onboarded,2024-02-27,2024-02-27,2024-02-12,SMS;DM,PA,30 days Free Trial - VO;Feb 2024 CW - Macbook Air,2024-02-26,advanced
006Uo00000LMIH8IAP,Best Food In Town R87729,R87729,active,2024-09-19,"level_3 ($10,000 to $29,999)",18176,0,53922,0,1906,0,2022-11-01,Onboarded,2024-09-19,2024-09-19,2024-09-12,DM;Client Referral - Unknown,NJ,Printer Promotion;30 days Free Trial - VO;Sept'24 - $100 Giftcard,2025-01-13,chinese
006Uo0000048dbOIAQ,Seafood Legend R86716,R86716,active,2024-01-06,"level_low (< $10,000)",7720,0,98305,0,3848,0,2023-12-19,Onboarded,2024-01-02,2024-01-02,2023-12-19,DM;Client Referral - Unknown,MD,30 days Free Trial - VO;30 days Free Trial - DE,2024-01-02,advanced
006Uo000004u21eIAA,LIGHT STAR R86772,R86772,active,2024-01-13,"level_2 ($30,000 to $49,999)",32457,0,345124,0,15000,15000,2022-11-01,Onboarded,2024-01-11,2024-01-11,2023-12-29,DM,CT,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Flight Ticket - Jan 2024,2024-01-14,chinese
006Uo00000QTCTRIA5,Star Dragon R87933,R87933,active,2024-12-02,"level_3 ($10,000 to $29,999)",26135,0,38331,0,1208,15000,,Onboarded,2024-12-02,2024-12-02,2024-11-22,SEO_Chinese,MN,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Nov’24 - iPhone CW Promo,2024-12-02,chinese
006Uo00000Mw7u8IAB,Izu Sushi Japanese Restaurant R87802,R87802,active,2024-10-09,"level_2 ($30,000 to $49,999)",33213,0,97424,0,2210,10000,2024-09-30,Onboarded,2024-10-09,2024-10-09,2024-10-04,SMS,NJ,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Oct'24 - $200 SQL Red Envelope,2024-10-08,japanese
0068b00001TB1WqAAL,CHINA HOUSE R86223,R86223,active,2023-10-09,"level_2 ($30,000 to $49,999)",31175,0,401115,0,18643,10000,2022-11-01,Onboarded,2023-10-06,2023-10-06,2023-09-27,DM;Client Referral - Unknown;Telemarketer,FL,Printer Promotion;30 days Free Trial - VO,2023-10-05,chinese
006Uo000008nQXqIAM,Great Wall Noodles House R87152,R87152,active,2024-04-18,"level_low (< $10,000)",8275,0,53509,0,1585,0,2022-11-01,Onboarded,2024-04-18,2024-04-18,2024-04-08,Telemarketer,RI,1 Year SMS - Free,2024-12-17,chinese
006Uo00000QczhqIAB,TASTE OF ASIA R86788,R86788,active,,"level_3 ($10,000 to $29,999)",16547,0,169328,0,5241,15000,,Closed Won,2024-11-25,2024-12-02,2024-11-25,,TX,,2024-01-18,advanced
006Uo00000SAuMDIA1,Pho Lover R89003,R89003,active,2024-12-20,"level_low (< $10,000)",3953,0,3426,0,98,10000,2024-12-14,Onboarded,2024-12-20,2024-12-20,2024-12-16,Redbook;Client Referral - Marketing,IL,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Dec '24 - Apple Airpods SQL Promo,2024-12-19,advanced
0068b00001TfovrAAB,GREAT WALL II R86266,R86266,active,2023-10-30,"level_2 ($30,000 to $49,999)",31990,0,310303,0,11112,0,2022-11-01,Onboarded,2023-10-26,2023-10-26,2023-10-08,Email,NJ,Client Referral (Referrer $300);30 days Free Trial - VO,2023-10-25,chinese
0068b00001T2GYaAAN,Star Wok R86366,R86366,active,2023-11-09,"level_3 ($10,000 to $29,999)",22754,0,283669,0,11658,10000,2023-10-27,Onboarded,2023-11-07,2023-11-07,2023-10-28,WeChat - Ads,LA,Printer Promotion;30 days Free Trial - VO,2023-11-06,chinese
006Uo000003oquZIAQ,Lucky Yee R86698,R86698,active,2024-01-06,"level_3 ($10,000 to $29,999)",12191,0,154422,0,5968,10000,2022-11-01,Onboarded,2024-01-02,2024-01-02,2023-12-16,Previous Clients;WeChat - Ads,OH,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2024-01-02,chinese
006Uo0000019uV3IAI,GOLDEN CHINA RESTAURANT R86529,R86529,active,2023-11-28,"level_2 ($30,000 to $49,999)",43408,0,590354,0,18923,10000,2022-11-01,Onboarded,2023-11-25,2023-11-25,2023-11-15,DM,FL,Printer Promotion;30 days Free Trial - VO,2023-11-25,chinese
006Uo00000CexsIIAR,Original Wok R87216,R87216,active,2024-06-04,"level_3 ($10,000 to $29,999)",15790,0,121058,0,3641,10000,2024-04-30,Onboarded,2024-06-01,2024-06-01,2024-04-30,SMS,KY,30 days Free Trial - VO;1 Year SMS - Free,2024-05-31,advanced
0068b00001TgMwAAAV,MING HING R86301,R86301,active,2024-02-27,"level_3 ($10,000 to $29,999)",14246,0,167152,0,5488,10000,2022-11-01,Onboarded,2024-01-01,2024-01-01,2023-10-16,Client Referral - Unknown,PA,30 days Free Trial - VO,2023-12-31,chinese
006Uo00000IoCbVIAV,Yoomi Sushi R87589,R87589,active,2024-08-15,"level_low (< $10,000)",5053,0,21896,0,517,10000,2024-06-19,Onboarded,2024-08-15,2024-08-15,2024-08-01,Client Referral -Marketing;Redbook,ON,Printer Promotion;30 days Free Trial - VO;July' 24 - $666 Statement Credit,2024-08-14,japanese
006Uo00000QkkwvIAB,Golden Kitchen R87959,R87959,active,2024-12-06,"level_2 ($30,000 to $49,999)",30574,0,25479,0,773,0,2022-11-01,Onboarded,2024-12-06,2024-12-06,2024-11-27,DM,PA,Printer Promotion;30 days Free Trial - VO,2024-12-01,chinese
006Uo00000RZjIrIAL,Best Food In Town R87982,R87982,active,2024-12-13,"level_2 ($30,000 to $49,999)",31830,0,30769,0,1030,10000,2024-12-04,Onboarded,2024-12-13,2024-12-13,2024-12-08,DM,NJ,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-12-12,chinese
006Uo0000074bUoIAI,YAMATO STEAK HOUSE R86897,R86897,active,2024-02-16,"level_low (< $10,000)",8575,0,82894,0,2887,10000,2024-01-27,Onboarded,2024-02-13,2024-02-13,2024-01-27,DM;Client Referral - Unknown,OH,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Flight Ticket - Jan 2024,2024-02-12,japanese
006Uo000008Ut7LIAS,NO.1 GREAT WALL R88799,R88799,active,,"level_3 ($10,000 to $29,999)",20212,0,745151,0,37829,10000,2024-02-17,Discovery/Demo,2024-03-20,,,Organic - Direct,NY,30 days Free Trial - VO,,unknown
006Uo00000E4qGRIAZ,Great Wall R87275,R87275,active,2024-06-03,"level_3 ($10,000 to $29,999)",13820,0,87986,0,4514,10000,2024-05-24,Onboarded,2024-05-30,2024-05-30,2024-05-24,SMS,DE,Printer Promotion;1 Year SMS - Free;May 2024 Promo - 24in TV,2024-05-30,chinese
006Uo00000JpnlLIAR,Charley's Philly steak R87653,R87653,active,2024-08-31,"level_low (< $10,000)",1013,0,642,0,60,10000,2023-11-28,Onboarded,2024-08-31,2024-08-26,2024-08-16,WeChat - Ads,OR,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-08-25,advanced
006Uo0000010cUXIAY,CHINA WOK R86686,R86686,active,2024-01-02,"level_1 ($50,000 to $99,999)",59879,0,654675,0,23345,10000,2023-11-07,Onboarded,2024-01-01,2024-01-01,2023-12-14,DM,FL,Printer Promotion;30 days Free Trial - VO,2023-12-31,chinese
006Uo00000Aq1a9IAB,CHINA ONE R87122,R87122,active,2024-04-11,"level_2 ($30,000 to $49,999)",36661,0,299400,0,11018,10000,2024-03-30,Onboarded,2024-04-10,2024-04-10,2024-03-30,SEO_Chinese,FL,30 days Free Trial - VO;1 Year SMS - Free;March24 SQL - Humidifier,2024-05-15,chinese
006Uo00000LSvLsIAL,China Wok R87756,R87756,active,2024-09-29,"level_low (< $10,000)",8078,0,25849,0,971,10000,2022-11-01,Onboarded,2024-09-29,2024-09-29,2024-09-20,DM;WeChat - Ads,VA,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Sept'24 - $100 Giftcard,2024-09-28,chinese
0068b00001T1nOOAAZ,China City R86338,R86338,active,2023-11-01,"level_3 ($10,000 to $29,999)",12008,0,26017,0,916,0,2023-10-20,Onboarded,2023-10-31,2023-10-31,2023-10-23,SMS,MI,Printer Promotion;30 days Free Trial - VO,2023-11-26,chinese
006Uo0000017BuEIAU,NO.1 CHINA R86526,R86526,active,2023-11-29,"level_3 ($10,000 to $29,999)",20044,0,237185,0,8474,0,2022-11-01,Onboarded,2023-11-28,2023-11-28,2023-11-15,Client Referral - Unknown;Organic - Direct,NC,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO,2023-11-27,chinese
006Uo00000M8NZ3IAN,Crazy Stone R87761,R87761,active,2024-09-30,"level_3 ($10,000 to $29,999)",14308,0,954,0,16,10000,2022-11-01,Onboarded,2024-09-30,2024-09-30,2024-09-23,SMS,MA,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-10-02,japanese
006Uo00000PnJHdIAN,China One R87973,R87973,active,2024-12-13,"level_low (< $10,000)",6935,0,8322,0,263,10000,2024-11-12,Onboarded,2024-12-13,2024-12-13,2024-12-03,DM,FL,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-12-12,chinese
006Uo000001ab0aIAA,Chow N Joy R86677,R86677,active,2024-01-11,"level_3 ($10,000 to $29,999)",11862,0,80266,0,2401,0,2022-11-01,Onboarded,2024-01-05,2024-01-05,2023-12-13,DM;Client Referral - Unknown,MA,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-01-05,advanced
006Uo000006CawgIAC,Hibachi House R86836,R86836,active,2024-02-01,"level_2 ($30,000 to $49,999)",32582,0,370351,0,15974,10000,2022-11-01,Onboarded,2024-01-31,2024-01-31,2024-01-16,Client Referral - Unknown,NC,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;$1500 Statement Credit,2024-01-30,chinese
006Uo00000PhQdXIAV,Annie's R87903,R87903,active,2024-12-04,"level_low (< $10,000)",882,0,147,0,5,10000,2024-11-11,Onboarded,2024-12-04,2024-12-04,2024-11-14,SMS,IL,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Nov’24 - $950 Credit CW,2024-11-24,chinese_japanese
006Uo000009JsdqIAC,HONG KONG R87057,R87057,active,2024-03-21,"level_2 ($30,000 to $49,999)",38692,0,256655,0,10709,0,2022-11-01,Onboarded,2024-03-19,2024-03-19,2024-03-06,Field Trip,NJ,30 days Free Trial - VO;1 Year SMS - Free;March24 SQL - Humidifier,2024-03-18,chinese
006Uo00000B4JTyIAN,New Fun Ree R87137,R87137,active,2024-04-15,"level_3 ($10,000 to $29,999)",12468,0,99328,0,4326,10000,2022-11-01,Onboarded,2024-04-13,2024-04-13,2024-04-04,DM,AR,Printer Promotion;1 Year SMS - Free;April 2024 CW Promo - Cleaning Robot,2024-04-13,chinese
0068b00001TgMXjAAN,SPRING GARDEN R86286,R86286,active,2023-10-24,"level_1 ($50,000 to $99,999)",56890,0,735774,0,30803,10000,2022-11-01,Onboarded,2023-10-19,2023-10-19,2023-10-12,Douyin,NC,Printer Promotion;30 days Free Trial - VO,2023-10-18,chinese
006Uo00000JB3EAIA1,Panda Garden R87605,R87605,active,2024-08-10,"level_2 ($30,000 to $49,999)",37525,0,125085,0,3792,0,2022-11-01,Onboarded,2024-08-10,2024-08-10,2024-08-05,DM,IL,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;August'24 SQL Promo - $200 Gift Card,2024-08-10,chinese
006Uo00000ATVKPIA5,China King R87095,R87095,active,2024-04-03,"level_3 ($10,000 to $29,999)",10153,0,98484,0,4550,10000,2024-03-23,Onboarded,2024-04-02,2024-04-02,2024-03-23,SEO_Chinese,SC,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-04-01,chinese
006Uo00000D2nekIAB,Panda Pavillion R87722,R87722,active,,"level_2 ($30,000 to $49,999)",35241,0,126869,0,3585,0,2022-11-01,Closed Lost,2024-07-22,,,DM;Client Referral - Unknown,FL,Printer Promotion;1 Year SMS - Free,2024-09-13,chinese
006Uo00000Ls6NcIAJ,Handy Chinese Restaurant R87755,R87755,active,2024-09-24,"level_3 ($10,000 to $29,999)",28680,0,95599,0,3565,10000,2022-11-01,Onboarded,2024-09-24,2024-09-24,2024-09-18,Google,NC,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Sept'24 - $100 Giftcard,2024-09-23,chinese
006Uo00000BENuVIAX,Tangs Express R87139,R87139,active,2024-04-19,"level_low (< $10,000)",6334,0,19426,0,789,0,2024-04-06,Onboarded,2024-04-18,2024-04-18,2024-04-07,Client Referral - Unknown,TX,Printer Promotion,2024-04-18,chinese
006Uo00000BK8RJIA1,Brockton Panda R87227,R87227,active,2024-05-16,"level_3 ($10,000 to $29,999)",20009,0,142061,0,5495,10000,2022-11-01,Onboarded,2024-05-15,2024-05-15,2024-05-05,DM;Douyin,MA,Printer Promotion;1 Year SMS - Free;May 2024 Promo - 24in TV,2024-05-14,chinese
006Uo00000BSQyvIAH,YIN CAN COOK R87159,R87159,active,2024-04-21,"level_3 ($10,000 to $29,999)",24688,0,190101,0,6825,10000,2022-11-01,Onboarded,2024-04-20,2024-04-20,2024-04-10,Organic - Direct,FL,1 Year SMS - Free;April 2024 CW Promo - Cleaning Robot,2024-04-20,chinese
006Uo000008bkdbIAA,Panda Chinese & American Food R87351,R87351,active,,"level_3 ($10,000 to $29,999)",12539,0,73978,0,4692,10000,,Closed Lost,2024-05-06,,,DM,MD,30 days Free Trial - VO;30 days Free Trial - DE,2024-06-25,chinese
0068b00001TgbVKAAZ,CHINA CITY R86298,R86298,active,2023-10-26,"level_1 ($50,000 to $99,999)",53001,0,683707,0,20773,10000,2022-11-01,Onboarded,2023-10-25,2023-10-25,2023-10-15,SMS,LA,Printer Promotion;30 days Free Trial - VO,2023-10-24,chinese
006Uo00000AEmjmIAD,GOLDEN WOK R87085,R87085,active,2024-04-04,"level_3 ($10,000 to $29,999)",26938,0,220891,0,10888,10000,2024-03-19,Onboarded,2024-04-02,2024-04-02,2024-03-19,Google,AL,,2024-04-02,chinese
006Uo000005ESmNIAW,TASTE OF ASIA R86788,R86788,active,2024-01-22,"level_3 ($10,000 to $29,999)",16547,0,169328,0,5241,15000,2022-11-01,Onboarded,2024-01-19,2024-01-19,2024-01-03,DM,TX,Printer Promotion;30 days Free Trial - VO;$1500 Statement Credit,2024-01-18,advanced
006Uo00000888n0IAA,China King R86982,R86982,active,2024-03-04,"level_3 ($10,000 to $29,999)",26840,0,225457,0,7585,0,2024-02-13,Onboarded,2024-03-01,2024-03-01,2024-02-13,DM;Client Referral - Unknown,FL,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO,2024-02-29,chinese
006Uo00000NCO1KIAX,Golden Bay Asian Food R87829,R87829,active,2024-10-24,"level_2 ($30,000 to $49,999)",40856,0,91245,0,1961,15000,2022-11-01,Onboarded,2024-10-24,2024-10-25,2024-10-15,Telemarketer;WeChat - Ads,CA,30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2024-10-24,chinese
006Uo00000AMD47IAH,Mandarin Wok R87091,R87091,active,2024-04-01,"level_2 ($30,000 to $49,999)",36477,0,305188,0,8511,0,2024-03-21,Onboarded,2024-03-29,2024-03-29,2024-03-22,SMS;Client Referral - Unknown,TN,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free,2024-03-30,chinese
006Uo000000radoIAA,GREAT WOK R86699,R86699,active,2024-01-02,"level_low (< $10,000)",4572,0,56234,0,1589,10000,2023-11-10,Onboarded,2024-01-01,2024-01-01,2023-12-16,WeChat - Other,CA,Printer Promotion;30 days Free Trial - VO,2024-01-01,chinese
0068b00001TfdElAAJ,NEW CHINA R86622,R86622,active,2023-12-20,"level_3 ($10,000 to $29,999)",13173,0,130413,0,5733,10000,2022-11-01,Onboarded,2023-12-18,2023-12-18,2023-12-05,SMS;DM,AL,30 days Free Trial - VO,2024-07-07,chinese
006Uo000007APikIAG,The China Palace R86929,R86929,active,2024-02-21,"level_3 ($10,000 to $29,999)",12701,0,98225,0,2959,13000,2024-01-29,Onboarded,2024-02-16,2024-02-16,2024-01-31,DM,KS,30 days Free Trial - VO;1 Year SMS - Free;$1500 Statement Credit,2024-05-07,chinese
006Uo00000Op7hbIAB,CHINA SONG R87859,R87859,active,2024-11-03,"level_3 ($10,000 to $29,999)",22692,0,50678,0,1826,10000,2024-10-29,Onboarded,2024-11-03,2024-11-02,2024-10-29,WeChat - Ads,NE,Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Oct'24 - $200 SQL Red Envelope,2024-11-01,chinese
