Restaurants Unique Code,Restaurants GMV Level,Restaurants Phone number,Restaurants Status,Restaurants Address,Restaurants City,Restaurants Country,Restaurants Region,Restaurants State,Restaurants Zip Code,Restaurants Type of Cuisine,Restaurant churn risk scores Churn Risk Probablity,Restaurants Opearting Timezone,Restaurants Is Coupon Available,Restaurants Client Level,Restaurants Database Status,Restaurants Is Delivery Platform Service Enabled,Restaurants Is DE SMS Opted In,Restaurants Is GreenDot Enabled,Restaurants Is SMS Opted In,Restaurants Is SMS to Customer Enabled,Restaurants Is Wonders Pay Feature Enabled,Restaurants Promotions,Restaurants GMV Voice Platform Sales,Restaurants GMV Online Sales,Restaurants Number of Orders Voice Platform Sales,Restaurants Number of Orders Online Sales,Restaurants Number of Restaurants
R88805,"level_1 ($50,000 to $99,999)",4105218200,active,7408 Windsor Mill Rd.Ste E.,Windsor Mill,United States,Northeast,MD,21244,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3294676,357,136454,17,1
R88163,"level_2 ($30,000 to $49,999)",3026588898,active,1531 Maryland Ave,Wilmington,United States,Northeast,DE,19805,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3285721,0,174036,0,1
R88551,"level_2 ($30,000 to $49,999)",9732422020,active,14 Green St,Newark,United States,Northeast,NJ,07102,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3247328,0,178525,0,1
R88158,"level_2 ($30,000 to $49,999)",2153655889,active,2501 70th Street(Inside Elmwood Plaza),Philadelphia,United States,Northeast,PA,19142,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3163119,198731,177740,8603,1
R88852,"level_1 ($50,000 to $99,999)",7575457200,active,2544 Bainbridge Blvd,Chesapeake,United States,Southeast,VA,23324,unknown,0,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3155026,258757,143185,8274,1
R88213,"level_2 ($30,000 to $49,999)",9734581888,active,897 Main Ave,Passaic,United States,Northeast,NJ,07055,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3153453,0,159261,0,1
R88108,"level_1 ($50,000 to $99,999)",7189338765,active,64 W. Kingsbridge Rd,Bronx,United States,Northeast,NY,10468,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3111992,0,158518,0,1
R88752,"level_2 ($30,000 to $49,999)",2393520441,active,"15275 Collier Blvd.,",Naples,United States,Southeast,FL,34119,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3030624,0,117489,0,1
R88329,"level_2 ($30,000 to $49,999)",9736783907,active,404 Washington St,Orange,United States,Northeast,NJ,07050,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,3025023,1273,149784,48,1
R81376,"level_1 ($50,000 to $99,999)",4073219666,active,170 West Lake Mary Blvd,Sanford,United States,Southeast,FL,32773,unknown,0.01,ET,FALSE,level_1,open,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,3024199,0,138776,0,1
R88399,"level_2 ($30,000 to $49,999)",9197821102,active,2513 Fairview Rd,Raleigh,United States,Southeast,NC,27608,unknown,0.02,ET,FALSE,level_1,open,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,2985199,86,109984,22,1
R88887,"level_2 ($30,000 to $49,999)",9372522999,active,2731 E 3rd St,Dayton,United States,Midwest,OH,45403,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2972341,0,128440,0,1
R81019,"level_1 ($50,000 to $99,999)",5705589558,active,1732 N. Keyser Ave,Scranton,United States,Northeast,PA,18508,unknown,0.01,ET,TRUE,level_1,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2933422,219,118890,14,1
R88181,"level_3 ($10,000 to $29,999)",9083227876,active,429 Park Ave,Scotch Plains,United States,Northeast,NJ,07076,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2914195,105,113973,6,1
R88231,"level_3 ($10,000 to $29,999)",6105323053,active,1878 Delmar Dr,Folcroft,United States,Northeast,PA,19032,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2913699,103330,181175,3718,1
R88813,"level_2 ($30,000 to $49,999)",4102842288,active,7824 Wise Ave,Dundalk,United States,Northeast,MD,21222,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2891797,0,103497,0,1
R88638,"level_2 ($30,000 to $49,999)",3096866888,active,3311 N Sterling Ave,Peoria,United States,Midwest,IL,61604,unknown,0,CT,FALSE,level_2,open,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,2891692,0,136878,0,1
R88279,"level_3 ($10,000 to $29,999)",8434885252,active,2608 Main St. Suite#G,Conway,United States,Southeast,SC,29526,unknown,0.01,ET,FALSE,level_2,open,FALSE,NA,TRUE,NA,FALSE,FALSE,NA,2857907,21770,137495,810,1
R88912,"level_2 ($30,000 to $49,999)",9043875515,active,1204 Edgewood Avenue South,Jacksonville,United States,Southeast,FL,32205,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2823762,0,126480,0,1
R88312,"level_2 ($30,000 to $49,999)",3028750112,active,132 East Market St,Laurel,United States,Northeast,DE,19956,unknown,0.01,ET,TRUE,level_1,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2811893,0,171933,0,1
R88821,"level_2 ($30,000 to $49,999)",6108335851,active,1326 Macdade Blvd,Woodlyn,United States,Northeast,PA,19094,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2754059,0,130775,0,1
R88839,"level_2 ($30,000 to $49,999)",7184796413,active,102-11 Spring Field Blvd,Queens Village,United States,Northeast,NY,11429,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2745715,0,154418,0,1
R88216,"level_3 ($10,000 to $29,999)",3026581888,active,2116 N. Market St,Wilmington,United States,Northeast,DE,19802,unknown,0.02,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2733036,0,153658,0,1
R88613,"level_2 ($30,000 to $49,999)",2033671111,active,2061 Boston Ave,Bridgeport,United States,Northeast,CT,06610,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2719740,21616,135364,793,1
R82537,"level_1 ($50,000 to $99,999)",4078927711,active,1961 S Narcoossee Rd,St Cloud,United States,Southeast,FL,34771,chinese,0.04,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2710308,0,89470,0,1
R88878,"level_2 ($30,000 to $49,999)",9372566666,active,2236 Smithville Rd,Kettering,United States,Midwest,OH,45420,unknown,0.02,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2704076,16,124858,1,1
R88811,"level_2 ($30,000 to $49,999)",7183489331,active,1013 Sutter Ave,Brooklyn,United States,Northeast,NY,11208,unknown,0.01,ET,TRUE,level_1,open,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,None,2701990,0,140296,0,1
R88518,"level_2 ($30,000 to $49,999)",5168681298,active,90 Broadway,Freeport,United States,Northeast,NY,11520,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2677904,0,145061,0,1
R81655,"level_1 ($50,000 to $99,999)",4073483838,active,1028 Buenaventura Blvd,Kissimmee,United States,Southeast,FL,34743,unknown,0.03,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2677110,0,96417,0,1
R88395,"level_2 ($30,000 to $49,999)",7342823333,active,430 Eureka Rd,Wyandotte,United States,Midwest,MI,48192,unknown,0,ET,FALSE,level_2,open,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,None,2676798,0,127190,0,1
R81095,"level_1 ($50,000 to $99,999)",7328268891,active,226 Hall Avenue,Perth Amboy,United States,Northeast,NJ,08861,unknown,0.02,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2647550,0,133951,0,1
R88857,"level_2 ($30,000 to $49,999)",2514762828,active,2667 Spring Hill Ave,Mobile,United States,Southeast,AL,36607,unknown,0,CT,FALSE,level_2,open,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,2643540,84598,159434,3584,1
R88119,"level_3 ($10,000 to $29,999)",2033308686,active,1614 Barnum Ave,Bridgeport,United States,Northeast,CT,06610,unknown,0.01,ET,FALSE,level_1,open,TRUE,NA,FALSE,NA,FALSE,FALSE,None,2630283,46773,133045,1740,1
R88313,"level_3 ($10,000 to $29,999)",9015658820,active,4628 Winchester Rd,Memphis,United States,Southeast,TN,38118,unknown,0.07,CT,FALSE,level_1,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2627290,0,146535,0,1
R88211,"level_1 ($50,000 to $99,999)",0000000000,canceled,1042-1044 Bergen St,Newark,United States,Northeast,NJ,07112,unknown,0.21,ET,TRUE,level_1,closed,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2625103,0,117919,0,1
R81302,"level_1 ($50,000 to $99,999)",6312890002,active,743 Montauk Hwy,Patchogue,United States,Northeast,NY,11772,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2613920,0,96575,0,1
R88657,"level_2 ($30,000 to $49,999)",2037731799,active,376 Lombard St,New Haven,United States,Northeast,CT,06513,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2610865,0,124713,0,1
R88652,"level_2 ($30,000 to $49,999)",5182741516,active,148 4Th Street,Troy,United States,Northeast,NY,12180,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2606680,99152,100760,3123,1
R88699,"level_2 ($30,000 to $49,999)",2034688130,active,937 Foxon Road,East Haven,United States,Northeast,CT,06512,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2581378,399,111816,21,1
R88311,"level_3 ($10,000 to $29,999)",9736779887,active,179 Main St,Orange,United States,Northeast,NJ,07050,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2550120,422,139925,34,1
R88192,"level_3 ($10,000 to $29,999)",2169915944,active,3977 Warrensville Center Rd,Warrensville Heights,United States,Midwest,OH,44122,unknown,0,ET,FALSE,level_2,open,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,2534789,119502,145298,4836,1
R88302,"level_2 ($30,000 to $49,999)",9375352999,active,3221 N Main St,Dayton,United States,Midwest,OH,45405,unknown,0,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2507933,2519,124657,122,1
R81028,"level_1 ($50,000 to $99,999)",7186527931,active,3431 Boston Rd,Bronx,United States,Northeast,NY,10469,unknown,0.01,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2472973,0,118154,0,1
R88873,"level_2 ($30,000 to $49,999)",4103548888,active,3426 Annapolis RD,Baltimore,United States,Northeast,MD,21227,unknown,0,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2444069,0,96935,0,1
R88817,"level_2 ($30,000 to $49,999)",6093933103,active,539 Hamilton Ave,Trenton,United States,Northeast,NJ,08609,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2438300,5172,109912,190,1
R81285,"level_1 ($50,000 to $99,999)",7328261118,active,446 Amboy Ave,Perth Amboy,United States,Northeast,NJ,08861,unknown,0.04,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2437379,0,113966,0,1
R88362,"level_3 ($10,000 to $29,999)",6104972888,active,3219 Chichester Ave,Boothwyn,United States,Northeast,PA,19061,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2434612,0,102332,0,1
R88923,"level_2 ($30,000 to $49,999)",5852882888,active,343 Meigs St,Rochester,United States,Northeast,NY,14607,unknown,0,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2416759,514,102252,26,1
R88272,"level_1 ($50,000 to $99,999)",2122808880,active,1902 Adam Clayton Powell Jr Blvd,Manhattan,United States,Northeast,NY,10026,unknown,0.02,ET,TRUE,level_1,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2407983,0,130677,0,1
R88851,"level_2 ($30,000 to $49,999)",3042628188,active,203 Winchester Ave,Martinsburg,United States,Southeast,WV,25401,unknown,0,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2403569,237,89838,13,1
R81523,"level_1 ($50,000 to $99,999)",3363701111,active,2934 A Randleman Rd,Greensboro,United States,Southeast,NC,27406,unknown,0.01,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2373675,0,104132,0,1
R88906,"level_2 ($30,000 to $49,999)",6628431668,active,207 N Davis Ave,Cleveland,United States,Southeast,MS,38732,unknown,0.09,CT,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2372670,45002,157550,2036,1
R88656,"level_2 ($30,000 to $49,999)",9087222555,active,243 S. Main St,Manville,United States,Northeast,NJ,08835,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2364532,129472,89277,3693,1
R88559,"level_3 ($10,000 to $29,999)",8027732100,active,178 West St,Rutland,United States,Northeast,VT,05701,unknown,0.01,ET,TRUE,level_2,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2347248,418125,84968,11083,1
R88275,"level_3 ($10,000 to $29,999)",2163518888,active,7419 Memphis Ave,Brooklyn,United States,Midwest,OH,44144,unknown,0.02,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2343396,0,107837,0,1
R81695,"level_1 ($50,000 to $99,999)",5702238800,active,2610 Milford Rd,East Stroudsburg,United States,Northeast,PA,18301,unknown,0.02,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2314377,0,86613,0,1
R81205,"level_2 ($30,000 to $49,999)",7273209588,active,11204 Park Blvd,Seminole,United States,Southeast,FL,33772,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2311641,0,85334,0,1
R88326,"level_3 ($10,000 to $29,999)",9739251688,active,347 Market St,Paterson,United States,Northeast,NJ,07501,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2308741,0,133661,0,1
R88267,"level_3 ($10,000 to $29,999)",5163550568,active,1203 Jericho Tpke,New Hyde Park,United States,Northeast,NY,11040,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2303520,0,106611,0,1
R88537,"level_3 ($10,000 to $29,999)",2013338868,active,294 Martin Luther King Drive,Jersey City,United States,Northeast,NJ,07305,unknown,0.02,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2301941,0,130663,0,1
R88508,"level_1 ($50,000 to $99,999)",2159370499,active,7030 Grovers Ave,Philadelphia,United States,Northeast,PA,19142,unknown,0.04,ET,FALSE,level_1,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2296735,0,128278,0,1
R88729,"level_2 ($30,000 to $49,999)",8608261783,active,228 Allen St,New Britain,United States,Northeast,CT,06053,unknown,0.02,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2295480,302,83570,11,1
R88956,"level_2 ($30,000 to $49,999)",6123028888,active,1010 W Broadway,Minneapolis,United States,Midwest,MN,55411,unknown,0,CT,FALSE,level_2,open,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,2294181,0,103025,0,1
R88911,"level_2 ($30,000 to $49,999)",3527511133,active,8744 SE 165th Mulberry Lane,The Villages,United States,Southeast,FL,32162,unknown,0.01,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2289829,0,91946,0,1
R81026,"level_2 ($30,000 to $49,999)",6312329888,active,1062 Motor Parkway,Central Islip,United States,Northeast,NY,11722,unknown,0,ET,FALSE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2289263,0,93020,0,1
R88517,"level_3 ($10,000 to $29,999)",2812328858,canceled,1301 FM 2218 Rd #100,Richmond,United States,Southwest,TX,77469,unknown,0.02,CT,FALSE,level_2,closed,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2285988,27,92735,6,1
R88589,"level_1 ($50,000 to $99,999)",7187313188,active,120 E MT. Eden Ave,Bronx,United States,Northeast,NY,10452,unknown,0.01,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2283694,0,113839,0,1
R88571,"level_2 ($30,000 to $49,999)",3056910150,active,3405 East 4th Ave,Hialeah,United States,Southeast,FL,33013,unknown,0.01,ET,FALSE,level_2,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2283491,0,81369,0,1
R88257,"level_3 ($10,000 to $29,999)",7188306303,active,103-35 Queens Blvd,Forest Hills,United States,Northeast,NY,11375,unknown,0,ET,FALSE,level_2,open,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,2281122,91,106431,8,1
R88513,"level_3 ($10,000 to $29,999)",9104828998,active,3837 Ramsey St #128,Fayetteville,United States,Southeast,NC,28311,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2277316,14610,101823,557,1
R81916,"level_1 ($50,000 to $99,999)",8642342828,active,231 W Butler Rd,Mauldin,United States,Southeast,SC,29662,chinese,0.01,ET,FALSE,level_2,open,FALSE,NA,TRUE,NA,FALSE,FALSE,NA,2265769,0,102317,0,1
R88507,"level_3 ($10,000 to $29,999)",8438513092,active,1525C Old Trolley Road,Summerville,United States,Southeast,SC,29485,unknown,0,ET,FALSE,level_2,open,TRUE,NA,FALSE,NA,FALSE,TRUE,None,2262909,11255,93309,397,1
R88919,"level_2 ($30,000 to $49,999)",4104832000,active,5301 Belair Rd,Baltimore,United States,Northeast,MD,21206,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,2260789,256,100712,20,1
R88569,"level_3 ($10,000 to $29,999)",5408858558,active,240 N Central Ave. Suite 5,Staunton,United States,Southeast,VA,24401,unknown,0,ET,TRUE,level_2,open,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2246699,0,87090,0,1
R88353,"level_3 ($10,000 to $29,999)",2163321616,active,5391 Warrensville Center Rd,Maple Heights,United States,Midwest,OH,44137,unknown,0,ET,TRUE,level_2,open,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,2245241,0,127799,0,1
