"Lead ID","Lead Source","Lead Category","Lead Channel","Created By","Lead Owner","Mobile - Primary","Business Phone","First Name","Last Name","Company / Account","Menu Type","State/Province (text only)","Country (text only)","Latest Re-engaged Date","Latest Campaign","Created Date","WeChat External Id","Lead Status","Lead Stage","Unqualified Reason","Rejected Reason","Opportunity: Created Date","Opportunity ID","Opportunity: Account","Stage","Oppt Close Date","Restaurant ID"
"00QUo000004t0eg","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(613) 582-7282","","Beachburg Restaurant","Beachburg Restaurant","Chinese","ON","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV4","1/22/2024","","SDR Complete","Rejected","","No Interest to talk to sales","","","","","",""
"00QUo000004t6Lr","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(403) 289-8981","","Wami Ootoya","Wami Ootoya","Japanese","AB","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV4","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004tAvh","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(416) 863-3972","","Bowl and Snacks","Bowl and Snacks","Japanese","ON","Canada","1/22/2024","Mkt_DM_Snowflake_2024JanV4","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004t8CL","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(215) 568-1888","","Fuwa Teriyaki Grill","Fuwa Teriyaki Grill","Japanese","PA","United States","1/22/2024","Mkt_DM_Snowflake_2024JanV1","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004sxQd","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(516) 308-4405","","Aja Sushi Asian Fusion","Aja Sushi Asian Fusion","Chinese; Japanese","NY","United States","1/22/2024","Mkt_DM_Snowflake_2024JanV1","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004t3RC","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(213) 278-0198","","Taberu","Taberu","Japanese","CA","United States","1/22/2024","Mkt_DM_Snowflake_2024JanV1","1/22/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004szyj","Marketing Inbound","","DM","Carlito Academia","Unqualified Lead Queue","","(618) 274-4430","","Chop Suey King","Chop Suey King","Chinese","IL","United States","1/22/2024","Mkt_DM_Snowflake_2024JanV1","1/22/2024","","SDR Complete","Unqualified","Current Client","","","","","","",""
"00QUo000004lVcL","Marketing Inbound","Inbound","DM; GetSKT.com Desktop","JotForm Integration User","Unqualified Lead Queue","(778) 991-5215","","","Wang","傳統中餐 -大部分客人都是中國人.","Chinese","BC","Canada","1/19/2024","Mkt_SEO_Internal_AllTraffic","1/19/2024","","AE Assigned","Unqualified","Agent Language Limitation","","","","","","",""
"00QUo000004iMc1","Marketing Inbound","Inbound","DM","JotForm Integration User","Ailin Li","(646) 322-9385","(215) 745-0229","","江","New China","Chinese","PA","United States","1/19/2024","Mkt_DM_Snowflake_2024JanV1","1/19/2024","","Converted","","","","1/19/2024","006Uo000006XskX","New China","Proposal/Negotiation","1/23/2024",""
"00QUo000004eDlq","Marketing Inbound","Inbound","DM","Shaoxiang Chan","Yaning Wang","(917) 215-0202","","","温","Unknown","Chinese","AL","United States","","","1/18/2024","","Converted","","","","1/18/2024","006Uo000006SpFS","Unknown","Discovery/Demo","2/17/2024",""
"00QUo000004e3cn","Marketing Inbound","Inbound","DM","JotForm Integration User","Yaning Wang","(718) 808-5963","","","江","Unknown","Chinese","NY","United States","1/18/2024","Mkt_DM_Snowflake_2023ChristmasV1","1/18/2024","","Converted","","","","1/22/2024","006Uo000006gw8z","7183280737-Mr.江-送餐","Discovery/Demo","2/21/2024",""
"00QUo000004a5Og","Marketing Inbound","Inbound","DM; WeChat - Ads","JotForm Integration User","Sharon Du","(414) 534-4916","(262) 681-9888","","林","MAIN MOON","Chinese","WI","United States","1/17/2024","Mkt_DM_Snowflake_2024JanV1","1/17/2024","","Converted","Unqualified","Duplicate","","1/17/2024","006Uo000006MzuI","MAIN MOON R86857","Onboarded","1/24/2024","R86857"
"00QUo000004WAuq","Marketing Inbound","","DM","Kelvin Teh","Marketing Nurture Queue","","(306) 372-4890","","男老板","Golden Dragon","Chinese","SK","Canada","1/17/2024","Mkt_DM_Snowflake_2024JanCanada","1/15/2024","","SDR Complete","Rejected","","No Interest to talk to sales","","","","","",""
"00QUo000004Vik1","Marketing Inbound","Inbound","DM","Kelvin Teh","Ailin Li","(646) 301-8179","(610) 544-8555","","林","New Panda R86898","Chinese","PA","United States","","","1/15/2024","","Converted","","","","1/15/2024","006Uo000006CsPN","New Panda R86898","Closed Won","1/27/2024","R86898"
"00QUo000004VMrc","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(604) 599-0238","","Ming Shing Restaurant","Ming Shing Restaurant","Chinese","BC","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV5","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VJCB","Marketing Inbound","Outbound","DM","Carlito Academia","Leon Li","(905) 940-1088","(905) 940-1088","","陈老板","Kaiser's Wok","Chinese","ON","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV5","1/15/2024","","AE Assigned","","","","","","","","",""
"00QUo000004VS0v","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(905) 257-6882","","Spoon & Fork","Spoon & Fork","Japanese","ON","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VJH2","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(604) 582-6911","","King Do Seafood Restaurant","King Do Seafood Restaurant","Chinese","BC","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VJNS","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(705) 988-2833","","Panda Cuisine Place","Panda Cuisine Place","Chinese","ON","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VMrb","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(403) 272-8090","","Far East Foods","Far East Foods","Chinese","AB","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VOWp","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(780) 761-6699","","Joyfulness Xi Le Bu Gei Zhan","Joyfulness Xi Le Bu Gei Zhan","Chinese","AB","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Working","Wrong People","","","","","","","",""
"00QUo000004VI4p","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(604) 498-5066","","Kel-Fen's Kitchen Chinese Restaurant","Kel-Fen's Kitchen Chinese Restaurant","Chinese","BC","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VLUA","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(306) 752-4883","","New Regal Restaurant","New Regal Restaurant","Chinese","SK","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VJaM","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(905) 305-8258","","Yong He Yong He All Day Breakfast","Yong He Yong He All Day Breakfast","Chinese","ON","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VEcJ","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(306) 931-8898","","Go For Sushi Buffet","Go For Sushi Buffet","Chinese; Japanese; Thai","SK","Canada","1/15/2024","Mkt_DM_Snowflake_2024JanV4","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VQGr","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(501) 399-4511","","Unknown","WALK ONS SPORTS BISTREAUX - CONWAY","Cajun","AR","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV3","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VDt7","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(323) 682-8089","","Mama Musubi","Mama Musubi","Japanese","CA","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VA8s","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(661) 965-7111","","Big Flame Hibachi","Big Flame Hibachi","Japanese","CA","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V9BD","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(804) 464-8226","","Goatocado","Goatocado","Japanese","VA","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V91X","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(401) 780-0536","","Pho Saigon and Bar","Pho Saigon and Bar","Chinese","RI","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004VA8r","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(503) 782-6072","","Hamono Sushi","Hamono Sushi","Japanese","OR","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V9W9","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(571) 752-6480","","Capital Musubi","Capital Musubi","Japanese","VA","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V13y","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(425) 456-0010","","Seastar Restaurant & Raw Bar","Seastar Restaurant & Raw Bar","Japanese","WA","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V3Qj","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(859) 913-5611","","Proud Mary BBQ","Proud Mary BBQ","Cajun","KY","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V09X","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(314) 852-2803","","Shay's Creole Smokehouse","Shay's Creole Smokehouse","Cajun","MO","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004V1qL","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(308) 230-2114","","Ondori Ramen","Ondori Ramen","Japanese","NE","United States","1/15/2024","Mkt_DM_Snowflake_2024JanV1","1/15/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004TzAf","Marketing Inbound","","DM","JotForm Integration User","Unqualified Lead Queue","(917) 215-2020","(251) 575-9888","","Xueyueweng","Unknown","Chinese","AL","United States","1/14/2024","Mkt_DM_Snowflake_2024JanV1","1/14/2024","","SDR Complete","Unqualified","Not a Restaurant","","","","","","",""
"00QUo000004OvxJ","Marketing Inbound","Inbound","DM","Yannie Yap","Marketing Nurture Queue","(954) 278-5896","","","男老板","男老板","Cajun","","United States","1/15/2024","Mkt_DM_Snowflake_2024JanUS","1/12/2024","","SDR Assigned","","","","","","","","",""
"00QUo000004KZaP","Marketing Inbound","Inbound","DM","Yannie Yap","Marketing Nurture Queue","(503) 851-1804","","","Mr.Dey","Mr.Dey","Chinese","OR","United States","1/17/2024","Mkt_DM_Snowflake_2024JanUS","1/11/2024","","AE Assigned","Rejected","","Cannot contact lead","","","","","",""
"00QUo000004JbET","Marketing Inbound","Inbound","DM","Goh EeLin","Marketing Nurture Queue","(415) 370-2864","(510) 525-4800","","ESTHER","Elevation 66 Brewing Company","Subway","CA","United States","1/11/2024","Mkt_DM_Snowflake_2024JanUS","1/11/2024","","AE Assigned","Rejected","","No Interest to talk to sales","","","","","",""
"00QUo000004FUI3","Marketing Inbound","","DM","JotForm Integration User","Marketing Nurture Queue","(757) 652-6161","","","吴","Prince Noodle","Other","VA","United States","1/10/2024","Mkt_DM_Snowflake_2024JanV1","1/10/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo000004BtAA","Marketing Inbound","","DM","JotForm Integration User","Marketing Nurture Queue","(415) 860-6082","","","Vicky zhou","Unknown","Chinese","","United States","1/9/2024","Mkt_DM_Snowflake_2024JanV1","1/9/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000049LKg","Marketing Inbound","","DM","JotForm Integration User","Marketing Nurture Queue","(250) 321-2115","(250) 233-2188","","Cheng Lei","Unknown","Chinese","BC","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048kRc","Marketing Inbound","","DM","Carlito Academia","Unqualified Lead Queue","","(516) 918-9535","","Mizu","Mizu","Japanese","MS","United States","1/10/2024","Mkt_DM_Snowflake_2024JanUS","1/8/2024","","SDR Complete","Unqualified","Not a Restaurant","","","","","","",""
"00QUo0000048nnf","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(863) 683-1243","","FISH CITY GRILL","FISH CITY GRILL","Cajun","FL","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV3","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048teY","Marketing Inbound","","DM","Lornick Quinones","Marketing Nurture Queue","","(501) 760-4799","","Unknown","Alexa's Creperie","Chinese","AR","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048my4","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(864) 203-2827","","THE LOST CAJUN","THE LOST CAJUN","Cajun","SC","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV3","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048uqj","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(832) 856-1111","","CRAFTY CRAB","CRAFTY CRAB","Cajun","TX","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV3","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048qTo","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(250) 391-8599","","Kurry King Authentic Indian Feast","Kurry King Authentic Indian Feast","Chinese","BC","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048txt","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(250) 545-9929","","The Rice Box","The Rice Box","Chinese","BC","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048tTF","Marketing Inbound","","DM","Lornick Quinones","Unqualified Lead Queue","","(786) 524-1080","","Unknown","Dr. Limon Ceviche Bar","Japanese","FL","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Unqualified","Not a Restaurant","","","","","","",""
"00QUo0000048t1p","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(416) 412-2929","","Mughal Darbar","Mughal Darbar","Chinese","ON","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048gz8","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(506) 855-1700","","Blackpanda Express","Blackpanda Express","Chinese","NB","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048jgp","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(212) 577-1153","","Kamasu","Kamasu","Japanese","NY","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048nMG","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(204) 257-1650","","Miriwa Restaurant","Miriwa Restaurant","Chinese","MB","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048qVO","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(585) 948-6070","","Straight out the Boot","Straight out the Boot","Cajun","NY","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048sAb","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(604) 939-4004","","Sun Star Restaurant","Sun Star Restaurant","Chinese","BC","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Rejected","","No Interest to talk to sales","","","","","",""
"00QUo0000048rsr","Marketing Inbound","","DM","Lornick Quinones","Marketing Nurture Queue","","(864) 402-0456","","Unknown","Baby Sumo","Japanese","SC","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048rfx","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(905) 453-3313","","Biryanis and More","Biryanis and More","Chinese","ON","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048rRR","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(709) 634-6666","","Newfound Sushi","Newfound Sushi","Japanese","NL","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048rEX","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(780) 939-8889","","Golden Palace","Golden Palace","Chinese","AB","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048qjt","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(902) 864-2897","","Hong's Kitchen","Hong's Kitchen","Chinese","NS","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048khj","Marketing Inbound","","DM","Carlito Academia","Marketing Nurture Queue","","(619) 294-5770","","Bhojan Griha","Bhojan Griha","Chinese","CA","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048fuw","Marketing Inbound","","DM","Lornick Quinones","Marketing Nurture Queue","","(210) 538-5023","","Unknown","True Noodle and Pok'e","Chinese","TX","United States","1/8/2024","Mkt_DM_Snowflake_2024JanV1","1/8/2024","","SDR Complete","Dead","","","","","","","",""
"00QUo0000048q8n","Marketing Inbound","","DM","Janice Requina","Marketing Nurture Queue","","(416) 766-3293","","Yumi Japanese Restaurant","Yumi Japanese Restaurant","Japanese","ON","Canada","1/8/2024","Mkt_DM_Snowflake_2024JanV4","1/8/2024","","SDR Complete","Dead","","","","","","","",""
