Snowball.Map,Name,Contact.Last.Name,Contact.First.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Price,Reviews,Category,Phone.Number,FullAddress,Street,City,State,Zip,Location.Sales.Volume.Description,Location.Employment.Size.Description,Small.Business.Entrepreneur.Indicator,Vendor.Ethnicity.Description,infoUSA.ID,Franchise.Specialty.Description1,True.Franchise.Indicator
68009,Monroe Take Out,OU,HAO,MR,M,OWNER,$,10,Chinese,(709) 753-3450,"['84 Monroe Street', """"St. John's, NL A1C 1Y5"""", 'Canada']",84 Monroe St,St. John's,NL,A1C 1Y5,"LESS THAN $500,000",4-Jan,Y,Chinese,11771276,,
68010,Loong Wah Restaurant,TA,QUYNH,MS,F,OWNER,null,2,Chinese,(709) 726-4811,"['13 Lemarchant Road', """"St John's, NL A1C 2G4"""", 'Canada']",13 Lemarchant Rd,St. John's,NL,A1C 2G4,"LESS THAN $500,000",4-Jan,Y,Vietnamese,11762473,,
68011,New City Restaurant,WEN,XINZHONG,MR,M,OWNER,$,6,Chinese,(709) 738-1368,"['210 Pennywell Rd', """"St. John's, NL A1C 2L6"""", 'Canada']",210 Pennywell Rd,St. John's,NL,A1C 2L6,"LESS THAN $500,000",4-Jan,Y,Chinese,36428340,,
68012,Mea Mei Wok Eatery,TAN,JIMMY,MR,M,OWNER,$$,3,Chinese,(709) 726-8424,"['12 Freshwater Road', """"Saint John's, NL A1C 2M9"""", 'Canada']",12 Freshwater Rd,St. John's,NL,A1C 2M9,"LESS THAN $500,000",4-Jan,Y,Chinese,25321969,,
68013,Song Hee Take Out,MAN,SANWA,MR,M,OWNER,$$,7,Chinese,(709) 722-6868,"['209 Av Empire', """"St. John's, NL A1C 3H2"""", 'Canada']",209 av Empire,St. John's,NL,A1C 3H2,"LESS THAN $500,000",4-Jan,Y,Korean,22206635,,
68014,SpiceX,,,,,,null,1,Cajun Seafood,(709) 739-7474,"['31 Malta Street', """"St. John's, NL A1C 4T1"""", 'Canada']",31 Malta St,St. John's,NL,A1C 4T1,,,,,NA,,
68015,Kimchi & Sushi,,,,,,$$,7,Japanese,(709) 579-4382,"['140 Water Street', 'Suite 102', 'TD Building', """"St. John's, NL A1C 6C9"""", 'Canada']",140 Water St Suite 102 Td Building,St. John's,NL,A1C 6H6,"LESS THAN $500,000",9-May,N,Unknown,439616827,,
68016,Jin Dragon,,,,,,null,9,Chinese,(709) 579-3555,"['27 Blackmarsh Road', """"St. John's, NL A1E 1S2"""", 'Canada']",27 Blackmarsh Rd,St. John's,NL,A1E 1S2,,,,,NA,,
68017,City Light Restaurant,,,,,,$$,11,Chinese,(709) 747-8377,"['460 Topsail Rd', """"St John's, NL A1E 2C2"""", 'Canada']",460 Topsail Rd,St. John's,NL,A1E 2C2,"LESS THAN $500,000",9-May,N,Unknown,439616839,,
68018,China Town Eatery,LEE,WAYNE,MR,M,OWNER,$$,3,Chinese,(709) 738-7388,"['127 Campbell Avenue', """"St. John's, NL A1E 2Z5"""", 'Canada']",127 Campbell Ave,St. John's,NL,A1E 2Z5,"LESS THAN $500,000",4-Jan,Y,English,27175967,,
68019,Red Pepper Restaurant,CHIU,DAVID,MR,M,OWNER,null,1,Cajun Seafood,(709) 754-7600,"['38 Hamlyn Road', """"St. John's, NL A1E 5X7"""", 'Canada']","38 Hamlyn Road,",St. Johns,NL,A1E 5X7,"$500,000-1 MILLION",19-Oct,N,Chinese,37592987,,
68020,Dong Fong Restaurant,QI,XIA,MS,F,OWNER,null,3,Chinese,(709) 368-2288,"['41 Bay Bulls Rd', """"St. John's, NL A1G 1A6"""", 'Canada']",41 Bay Bulls Rd,St. John's,NL,A1G 1A4,"LESS THAN $500,000",4-Jan,Y,Chinese,28866531,,
68021,Lucky's,AU,SUE,MS,F,MANAGER,null,1,Chinese,(709) 368-5169,"['949 Topsail Road', 'Mount Pearl, NL A1N 3K1', 'Canada']",949 Topsail Road,Mount Pearl,NL,A1N 3K1,"LESS THAN $500,000",9-May,N,Korean,11762796,,
68022,Full House Restaurant,,,,,,null,5,Chinese,(709) 364-8399,"['74 Old Placentia Road', 'Mount Pearl, NL A1N 5H6', 'Canada']",74 Old Placentia Road,Mount Pearl,NL,A1N 5H6,"LESS THAN $500,000",4-Jan,N,Unknown,440664279,,
68023,East Ocean Restaurant,TAM,KITTY,MS,F,OWNER,null,2,Chinese,(709) 256-7429,"['67 Elizabeth Drive', 'Gander, NL A1V 1J9', 'Canada']",67 Elizabeth Dr,Gander,NL,A1V 1J9,"LESS THAN $500,000",4-Jan,Y,"Khmer (Kampuchean, Cambodian)",11712866,,
68024,M Share Restaurant,,,,,,null,2,Chinese,(709) 834-8882,"['532 Conception Bay Highway', 'Conception Bay South, NL A1X 7M8', 'Canada']",532 Conception Bay Hwy,Conception Bay South,NL,A1X 7M8,,,,,NA,,
68025,Fong's Restaurant,FONG,ART,MR,M,OWNER,null,3,Chinese,(709) 596-5010,"['143 Columbus Drive', 'Carbonear, NL A1Y 1A6', 'Canada']",143 Columbus Dr,Carbonear,NL,A1Y 1A6,$1-2.5 MILLION,20-49,N,Chinese,11726239,,
68026,Tai Wan Restaurant,LI,JUANI,MR,M,OWNER,$,3,Chinese,(709) 489-4222,"['15 High St', 'Grand Falls-Windsor, NL A2A 1C6', 'Canada']",15 High St,Grand Falls-Windsor,NL,A2A 1C5,"LESS THAN $500,000",9-May,Y,Chinese,11818663,,
68027,Ji Wen Garden,LEE,MAYU,MS,F,OWNER,$$,6,Chinese,(709) 639-7003,"['82 West Street', 'Corner Brook, NL A2H 2Z3', 'Canada']",82 West St,Corner Brook,NL,A2H 2Z3,"LESS THAN $500,000",4-Jan,Y,English,11751799,,
68028,Newfound Sushi,VINCENT,KEVIN,MR,M,OWNER,$$,18,Japanese,(709) 634-6666,"['117 Broadway', 'Corner Brook, NL A2H 4B4', 'Canada']",117 Broadway,Corner Brook,NL,A2H 4E3,"LESS THAN $500,000",9-May,Y,English,62765250,,
68029,Sushi Lab,TAN,CHARLIE,MR,M,OWNER,$$,1,Japanese,(709) 944-4179,"['118 Humphrey Drive', 'Bruno Plaza', 'Labrador City, NL A2V 2J8', 'Canada']",118 Humphrey Rd Bruno Plaza,Labrador City,NL,A2V 2J8,$1-2.5 MILLION,20-49,N,Chinese,47795000,,
68030,Uncle Li Chinese Restaurant,LI,TINA,MS,F,OWNER,null,4,Chinese,(709) 466-1088,"['3 Coish Place', 'Clarenville, NL A5A 0C3', 'Canada']",3 Coish Pl,Clarenville,NL,A5A 0C3,"LESS THAN $500,000",9-May,Y,Chinese,49954910,,
68031,Tai Hong Restaurant,WONG,CINDY,MS,F,OWNER,$$,2,Chinese,(709) 466-2929,"['2 Tilleys Road', 'Clarenville, NL A5A 1Z2', 'Canada']",2 Tilleys Rd,Clarenville,NL,A5A 1Z2,"LESS THAN $500,000",9-May,Y,Chinese,11818630,,
68032,Bojo's Chinese Buffet,,,,,,null,3,Chinese,(709) 635-1288,"['1 Chapel Hill Road', 'Deer Lake, NL A8A 1C2', 'Canada']",1 Chapel Hill Rd,Deer Lake,NL,A8A 1C2,,,,,NA,,
68033,Canton Restaurant,YU,RICHARD,MR,M,OWNER,null,2,Chinese,(709) 635-8118,"['6 Commerce Street', 'Deer Lake, NL A8A 1E6', 'Canada']",6 Commerce St,Deer Lake,NL,A8A 1E6,"LESS THAN $500,000",4-Jan,Y,Chinese,44889947,,
68034,Wong's Bras d'Or House Restaurant,,,,,,$$,4,Chinese,() ,"['466 Chebucto Street', 'Baddeck, NS B0E 1B0', 'Canada']",466 Chebucto Street,Baddeck,NS,B0E 1B0,,,,,NA,,
68035,Ongs Restaurant,THONG,RICHARD,MR,M,OWNER,null,2,Chinese,(902) 889-3443,"['9101 Hwy 7', 'Head of Jeddore, NS B0J 1P0', 'Canada']",9101 Highway 7,Head Of Jeddore,NS,B0J 1P0,"LESS THAN $500,000",9-May,Y,Vietnamese,21498381,,
68036,Gold House Restaurant,TANG,NANCY,MS,F,OWNER,null,5,Chinese,(902) 798-2522,"['4190 Highway 1', 'Windsor, NS B0N 2T0', 'Canada']",4190 Highway 1,Windsor,NS,B0N 2T0,"LESS THAN $500,000",9-May,Y,Chinese,31192230,,
68037,Baby Panda,,,,,,null,10,Chinese,(902) 472-3866,"['467 King Street', 'Windsor, NS B0N 2T0', 'Canada']",467 King Street,Windsor,NS,B0N 2T0,,,,,NA,,
68038,Sushi Fang,,,,,,$$,12,Japanese,(902) 765-8886,"['1065 Central Avenue', 'Kingston, NS B0P 1N0', 'Canada']",1065 Central Avenue,Kingston,NS,B0P 1N0,,,,,NA,,
68039,China Village Restaurant,CHOW,KEN,,,,$$,12,Chinese,(902) 765-3888,"['1065 Central Avenue', 'Kingston, NS B0P 1N0', 'Canada']",1065 Central Avenue,Kingston,NS,B0P 1N0,,,,,NA,,
68040,Bao Phu Restaurant,,,,,,null,1,Chinese,(902) 242-8899,"['463 Main Street', 'Kingston, NS B0P 1R0', 'Canada']",463 Main Street,Kingston,NS,B0P 1R0,"LESS THAN $500,000",9-May,N,Unknown,439759210,,
68041,Garrison House,REDGRAVE,PATRICK,MR,M,OWNER,$$,13,Cajun Seafood,(902) 532-5750,"['350 Saint George Street', 'Annapolis Royal, NS B0S 1A0', 'Canada']",350 Saint George Street,Annapolis Royal,NS,B0S 1A0,$1-2.5 MILLION,19-Oct,N,English,21484142,,
68042,House of Cheng,YIN,JING,MR,M,OWNER,$$,4,Chinese,(902) 825-3121,"['345 Main St', 'Middleton, NS B0S 1P0', 'Canada']",345 Main St,Middleton,NS,B0S 1P0,"LESS THAN $500,000",4-Jan,Y,Chinese,21505334,,
68043,Golden Pond Restaurant,WONG,HARRY,MR,M,OWNER,null,1,Chinese,(902) 354-5186,"['73 Henry Hensey Drive', 'Liverpool, NS B0T 1K0', 'Canada']",73 Henry Hensey Drive,Liverpool,NS,B0T 1K0,"LESS THAN $500,000",9-May,Y,Chinese,21488234,,
68044,Luong's Restaurant,,,,,,$$,4,Chinese,(902) 875-1300,"['165 Water St', 'Shelburne, NS B0T 1W0', 'Canada']",165 Water St,Shelburne,NS,B0T 1W0,,,,,NA,,
68045,Soo Good Kitchen,,,,,,null,1,Cajun Seafood,(902) 974-1164,"['111 Warwick St', 'Digby, NS B0V 1A0', 'Canada']",111 Warwick St,Digby,NS,B0V 1A0,,,,,NA,,
68046,House of Wong,TAN,MICHAEL,MR,M,MANAGER,$$,1,Chinese,(902) 245-4125,"['110 Water Street', 'Digby, NS B0V 1A0', 'Canada']",110 Water Street,Digby,NS,B0V 1A0,"LESS THAN $500,000",9-May,N,Chinese,21505441,,
68047,Wok By The Bay,,,,,,null,3,Chinese,(902) 245-6982,"['40-58 Water Street', 'Digby, NS B0V 1A0', 'Canada']",40-58 Water Street,Digby,NS,B0V 1A0,,,,,NA,,
68048,Super Bun,,,,,,null,1,Chinese,(902) 567-0888,"[""""1028 King's Road"""", 'Sydney, NS B1P 1C7', 'Canada']","1028 Kings Road""""",Sydney,NS,B1P 1C7,,,,,NA,,
68049,Peking Restaurant,SZETO,MILLER,MR,M,OWNER,$$,8,Chinese,(902) 539-7775,"['355 Charlotte Street', 'Sydney, NS B1P 1E1', 'Canada']",355 Charlotte St,Sydney,NS,B1P 1E1,$1-2.5 MILLION,19-Oct,N,Chinese,21486485,,
68050,Naru Japanese Cuisine,SUNG,H,MR,M,OWNER,$$,13,Japanese,(902) 270-8800,"['216 Bentinck Street', 'Sydney, NS B1P 1G8', 'Canada']",216 Bentinck St,Sydney,NS,B1P 1G8,"LESS THAN $500,000",9-May,Y,Chinese,440352883,,
68051,Sakura All You Can Eat,,,,,,null,4,Japanese,(902) 539-2476,"['100 Townsend St', 'Sydney, NS B1P 5E1', 'Canada']",100 Townsend St,Sydney,NS,B1P 5E1,,,,,NA,,
68052,Vailly's Dessert House,,,,,,null,3,Chinese,(902) 537-1059,"['273 Townsend street', 'Sydney, NS B1P 5E7', 'Canada']",273 Townsend St,Sydney,NS,B1P 5E7,,,,,NA,,
68053,Fortune Star,ZHOU,CAN,MR,M,OWNER,null,3,Chinese,(902) 562-8078,"['439 Prince Street', 'Sydney, NS B1P 5L3', 'Canada']",439 Prince St,Sydney,NS,B1P 5L3,"LESS THAN $500,000",4-Jan,Y,Vietnamese,57310831,,
68054,Hong Fa Restaurant,CHEUNG,ALLAN,MR,M,OWNER,$$,6,Chinese,(902) 539-3877,"['462 Prince Street', 'Sydney, NS B1P 5L5', 'Canada']",462 Prince St,Sydney,NS,B1P 5L5,"$500,000-1 MILLION",19-Oct,N,Chinese,32205742,,
68055,A Bite of Asia,,,,,,$$,15,Chinese,(902) 270-7777,"['76 - 80 Dorchester Street', 'Sydney, NS B1P 5Z1', 'Canada']",76-80 Dorchester St,Sydney,NS,B1P 5Z1,,,,,NA,,
68056,King Fortune Restaurant,WONG,JOHNNY,MR,M,OWNER,null,3,Chinese,(902) 567-0709,"['1060 Kings Road', 'Sydney, NS B1S 1C7', 'Canada']",1060 Kings Rd,Sydney,NS,B1S 1C7,"LESS THAN $500,000",9-May,Y,Chinese,50015502,,
68057,Canton Restaurant,CHAN,RAYMOND,MR,M,OWNER,null,1,Chinese,(902) 794-4587,"['294 Commercial Street', 'North Sydney, NS B2A 1C1', 'Canada']",294 Commercial St,North Sydney,NS,B2A 1C1,"$500,000-1 MILLION",19-Oct,N,Chinese,21426200,,
68058,Moonlight Restaurant,DIAO,GEORGE,MR,M,OWNER,null,5,Chinese,(902) 863-3667,"['210 Main Street', 'Antigonish, NS B2G 2B9', 'Canada']",210 Main St,Antigonish,NS,B2G 2B9,"$500,000-1 MILLION",19-Oct,N,Chinese,21558556,,
68059,Love Eat Asian Restaurant,,,,,,null,2,Chinese,(902) 867-3531,"['232 Main Street', 'Antigonish, NS B2G 2C2', 'Canada']",232 Main St,Antigonish,NS,B2G 2C2,,,,,NA,,
68060,Little Asia,,,,,,$,1,Chinese,(902) 872-2888,"['382 Main Street', 'Antigonish, NS B2G 2C6', 'Canada']",382 Main Street,Antigonish,NS,B2G 2C6,,,,,NA,,
68061,Joe Chows Restaurant,CHOW,JOE,MR,M,OWNER,$$,2,Chinese,(902) 752-4686,"['29 Westville Rd', 'New Glasgow, NS B2H 2J2', 'Canada']",29 Westville Rd,New Glasgow,NS,B2H 2J2,"LESS THAN $500,000",9-May,Y,Chinese,21517156,,
68062,Mamatsu Fresh Asian Kitchen,,,,,,$$,16,Chinese,(902) 755-6601,"['205 Provost Street', 'New Glasgow, NS B2H 2R1', 'Canada']",205 Provost St,New Glasgow,NS,B2H 2R2,"LESS THAN $500,000",4-Jan,N,Unknown,62377239,,
68063,Chow Family Restaurant,LAU,MARY,MS,F,OWNER,$$,18,Chinese,(902) 895-9256,"['344 Prince Street', 'Truro, NS B2N 1E2', 'Canada']",344 Prince St,Truro,NS,B2N 1E2,"$500,000-1 MILLION",19-Oct,N,German,21434444,,
68064,China Rose Cafe,TAM,PETER,MR,M,OWNER,$,3,Chinese,(902) 895-8588,"['870 Prince Street', 'Truro, NS B2N 1H4', 'Canada']",870 Prince St,Truro,NS,B2N 1H4,"LESS THAN $500,000",4-Jan,Y,"Khmer (Kampuchean, Cambodian)",21434063,,
68065,Yoka Japanese & Thai,,,,,,$$,16,Japanese,(902) 893-9111,"['911 Prince Street', 'Unit1', 'Truro, NS B2N 1H6', 'Canada']",911 Prince St Unit 1,Truro,NS,B2N 1H6,,,,,NA,,
68066,Golden Wu Restaurant,ZHOU,THAO,MS,F,OWNER,null,7,Chinese,(902) 895-0888,"['138 Arthur Street', 'Truro, NS B2N 1Y1', 'Canada']",138 Arthur St,Truro,NS,B2N 1Y1,"LESS THAN $500,000",4-Jan,Y,Vietnamese,439701321,,
68067,Ho Ho Wok Restaurant,HUENG,JACK,MR,M,OWNER,null,5,Chinese,(902) 893-4646,"['23 Inglis Place', 'Truro, NS B2N 4B5', 'Canada']",23 Inglis Pl,Truro,NS,B2N 4B5,"LESS THAN $500,000",9-May,Y,Unknown,21503347,,
68068,King Lam Restaurant,CHEN,NEO,MR,M,OWNER,null,6,Chinese,(902) 893-8785,"['39 Main Street', 'Truro, NS B2N 4G5', 'Canada']",39 Main St,Bible Hill,NS,B2N 4G5,"LESS THAN $500,000",9-May,Y,Chinese,21524111,,
68069,Wung Express,HU,ALISON,MS,F,OWNER,null,1,Chinese,(902) 895-2448,"['245 Robie Street', 'Unit D', 'Truro, NS B2N 5N6', 'Canada']",245 Robie St Unit D,Truro,NS,B2N 5N6,"LESS THAN $500,000",4-Jan,Y,Chinese,50878479,,
68070,China Star Chinese Cuisine,,,,,,null,3,Chinese,(902) 860-1118,"['1470 Fall River Road', 'Fall River, NS B2T 1J1', 'Canada']",1470 Road,Fall River,NS,B2T 1J1,,,,,NA,,
68072,Tan's Family Restaurant,TAN,JEAN,MS,F,OWNER,$$,17,Chinese,(902) 462-8267,"['900 Cole Harbour Road', 'Dartmouth, NS B2V 2J5', 'Canada']",900 Cole Harbour Rd,Dartmouth,NS,B2V 2J5,"LESS THAN $500,000",9-May,Y,Chinese,46899399,,
68073,Sushi101,,,,,,null,2,Japanese,(902) 469-8888,"['912 Cole Harbour Road', 'Unit 13', 'Dartmouth, NS B2V 2A8', 'Canada']",912 Cole Harbour Rd Unit 13,Dartmouth,NS,B2V 2J5,,,,,NA,,
68074,Taste Garden,,,,,,null,1,Chinese,(902) 463-3530,"['516 Pleasant Street', 'Dartmouth, NS B2W 1A4', 'Canada']",516 Pleasant St,Dartmouth,NS,B2W 1A4,,,,,NA,,
68075,Hk Wong's Palace Restaurant,SEWART,ERYN,MS,F,MANAGER,$$,42,Chinese,(902) 464-1717,"['644 Portland Street', 'Dartmouth, NS B2W 2M3', 'Canada']",644 Portland Street,Dartmouth,NS,B2W 2M3,"$500,000-1 MILLION",19-Oct,N,English,46899837,,
68076,Mizu All You Can Eat,LIN,RYAN,MR,M,MANAGER,$$,86,Japanese,(902) 462-3333,"['644 Portland Street', 'Dartmouth, NS B2W 6C4', 'Canada']",644 Portland Street,Dartmouth,NS,B2W 6C4,"$500,000-1 MILLION",19-Oct,N,Chinese,439889354,,
68077,New Panda Buffet,WONG,VINCENT,MR,M,MANAGER,$$,99,Chinese,(902) 405-8700,"['100 Main St', 'Dartmouth, NS B2X 1R5', 'Canada']",100 Main St,Dartmouth,NS,B2X 1R5,"LESS THAN $500,000",9-May,N,Chinese,62003462,,
68078,Jukai Japanese & Thai,,,,,,null,13,Japanese,(902) 405-5551,"['49 Kings Wharf Place', 'Unit 103-104', 'Dartmouth, NS B2Y 0C7', 'Canada']",49 Kings Wharf Pl Unit 103-104,Dartmouth,NS,B2Y 0C7,"LESS THAN $500,000",9-May,N,Unknown,738531996,,
68079,Side Hustle,,,,,,null,2,Cajun Seafood,(902) 469-5899,"['21 Portland Street', 'Dartmouth, NS B2Y 1H1', 'Canada']",21 Portland St,Dartmouth,NS,B2Y 1H1,,,,,NA,,
68080,May Garden,BONANG,ANNA,MS,F,MANAGER,$$,26,Chinese,(902) 469-2226,"['136 Portland Street', 'Dartmouth, NS B2Y 1J1', 'Canada']",136 Portland St,Dartmouth,NS,B2Y 1J1,"LESS THAN $500,000",9-May,N,Unknown,42975789,,
68081,Biscuit Lips Lunch,HUNG,QUAN,MR,M,OWNER,null,5,Chinese,(902) 466-9633,"['40 Alderney Drive', 'Dartmouth, NS B2Y 2N5', 'Canada']",40 Alderney Drive,Dartmouth,NS,B2Y 2N5,"LESS THAN $500,000",4-Jan,Y,Chinese,21407093,,
68082,Fan's Restaurant,CHOI,TONG,MR,M,OWNER,$$,77,Chinese,(902) 469-9165,"['451 Windmill Road', 'Dartmouth, NS B3A 1J9', 'Canada']",451 Windmill Road,Dartmouth,NS,B3A 1J9,$1-2.5 MILLION,20-49,N,Chinese,21434048,,
68083,Genji Sushi,,,,,,$$,109,Japanese,(902) 405-5550,"['184 Wyse Road', 'Dartmouth, NS B3A 1M9', 'Canada']",184 Wyse Rd,Dartmouth,NS,B3A 1M9,$1-2.5 MILLION,20-49,N,Unknown,734928931,,
68084,Yum Yum,,,,,,$,6,Chinese,(902) 463-1071,"['32 Albro Lake Road', 'Dartmouth, NS B3A 3X8', 'Canada']",32 Albro Lake Rd,Dartmouth,NS,B3A 3X8,,,,,NA,,
68085,Sukiyaki,,,,,,null,1,Japanese,(902) 463-3530,"['21 Micmac Boulevard', 'Dartmouth, NS B3A 4N3', 'Canada']",21 Micmac Blvd,Dartmouth,NS,B3A 4N3,,,,,NA,,
68086,Wok Box,BEAUDRY,ARNY,MR,M,OTHER,$$,46,Cajun Seafood,(902) 406-1965,"['55 Gale Terrace', 'Dartmouth, NS B3B 0C5', 'Canada']",55 Gale Terr,Dartmouth,NS,B3B 0C5,"$500,000-1 MILLION",19-Oct,N,French,56783913,,Y
68087,Sushi Nami Royale,LIU,CRYSTAL,MS,F,MANAGER,$$,42,Japanese,(902) 481-9081,"['149 Hector Gate', 'Dartmouth, NS B3B 0E5', 'Canada']",149 Hector Gate,Dartmouth,NS,B3B 0E5,"LESS THAN $500,000",4-Jan,N,Chinese,60382371,,
