EXTERNAL_USER_ID,MESSAGE_BODY,TIME_RECEIVED_EST
R81875,1,2024-08-29 15:10:51
R83616,1,2024-08-29 15:05:14
R85567,1,2024-08-29 15:03:14
R81158,1,2024-08-29 15:00:52
R81393,1,2024-08-29 15:01:57
R87169,1,2024-08-29 15:00:53
R82599,1,2024-08-29 15:00:42
R82066,1,2024-08-29 15:01:38
R86805,1,2024-08-29 15:01:15
R85366,1,2024-08-29 15:00:56
R81068,1,2024-08-29 15:02:24
R81393,1,2024-08-29 15:02:20
R86912,1,2024-08-29 15:01:20
R88355,1,2024-08-29 15:45:22
R88368,1,2024-08-29 15:02:52
R81297,1,2024-08-29 15:28:05
R85082,0,2024-08-30 17:48:42
