Snowball_ID,Date,page_view,scroll,user_engagement,first_visit,session_start,video_progress,video_start,video_complete,Restaurant.Name,Mailing.Address,City.Name,State,TELEPHONENUMBER,Zip.Code,Carrier.code,Mailing.address.mailability.score,ABI.Number,Contact.First.Name,Contact.Last.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Owner.Minority,Location.Employment.Size.Description,Location.Sales.Volume.Description,Small.Business.Entrepreneur.Indicator,Franchise.Specialty.Description1,True.Franchise.Indicator,Year.Established,Ethnic.Code,Ethnic.Code.Desc,Group.Code.Desc
450,20230611,1,0,0,1,1,0,0,0,AMY'S CHINESE KITCHEN,8577 GRAVENSTEIN HWY,COTATI,CA,(707) -79-9828,94931-4151,C008,1C,436221351,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
543,20230615,1,0,0,1,1,0,0,0,Ariyoshi Japanese Restaurant,4113 QUEENS BLVD,SUNNYSIDE,NY,(718) 937-3288,11104-2801,C004,1C,427390954,,,,,,,1-4,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
543,20230614,1,0,0,1,1,0,0,0,Ariyoshi Japanese Restaurant,4113 QUEENS BLVD,SUNNYSIDE,NY,(718) 937-3288,11104-2801,C004,1C,427390954,,,,,,,1-4,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
566,20230612,2,2,0,2,2,0,0,0,Asahi Japanese Restaurant,508 WESTCOTT ST,SYRACUSE,NY,(315) 424-8818,13210-2549,C026,1C,425972936,,,,,,,5-9,"LESS THAN $500,000",N,,,2012,,Unknown,Uncoded (No Group)
632,20230611,2,0,0,0,2,0,0,0,Asia Fusion Restaurant,3512 W DUBLIN GRANVILLE RD,COLUMBUS,OH,(614) 790-8860,43235-2799,C045,1C,720402621,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
632,20230610,2,0,0,2,2,0,0,0,Asia Fusion Restaurant,3512 W DUBLIN GRANVILLE RD,COLUMBUS,OH,(614) 790-8860,43235-2799,C045,1C,720402621,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
717,20230614,2,2,0,2,2,0,0,0,Asian Bistro,540 SHOEMAKER RD,KNG OF PRUSSA,PA,(484) 704-7484,19406-3522,C013,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
717,20230614,2,2,0,2,2,0,0,0,Asian Bistro,540 SHOEMAKER RD,KNG OF PRUSSA,PA,(484) 704-7484,19406-3522,C013,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
724,20230608,1,1,0,1,1,0,0,0,Asian Bistro Restaurant,1730 LABOUNTY DR STE 1,FERNDALE,WA,(360) 384-2818,98248-8959,R015,1C,378515050,,,,,,,5-9,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
764,20230615,1,1,0,1,1,1,1,1,Asian CafΘ Chinese & Sushi Grill,514 PINE ST,MONTICELLO,MN,(763) 272-1509,55362-8570,R009,1C,718635732,JOHN,DONG,MR,M,OWNER,,5-9,"LESS THAN $500,000",Y,,,2016,VN,Vietnamese,Far Eastern
770,20230615,1,1,1,1,1,0,0,0,Asian Chao,11110 MALL CIR,WALDORF,MD,(301) 645-7526,20603-1800,R004,2D,717061602,,,,,,,5-9,"LESS THAN $500,000",N,,Y,NA,,Unknown,Uncoded (No Group)
788,20230618,2,0,0,2,2,0,0,0,ASIAN COTTAGE,761 W MARKET ST,TROY,OH,(937) 875-2190,45373-3072,C017,1C,706783077,,,,,,,1-4,"LESS THAN $500,000",N,,,NA,,Unknown,Uncoded (No Group)
806,20230616,1,1,1,1,1,0,0,0,Asian Cuisine # 2,41921 W LARAMIE CT,RIVERTON,WY,(307) 856-1919,82501-3751,C001,1A,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
925,20230613,1,1,1,1,1,0,0,0,ASIAN GARDEN,1497 S ARLINGTON ST,AKRON,OH,(330) 773-7770,44306-3831,C040,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
925,20230613,1,1,1,1,1,0,0,0,ASIAN GARDEN,1497 S ARLINGTON ST,AKRON,OH,(330) 773-7770,44306-3831,C040,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
925,20230623,2,2,0,2,2,0,0,0,ASIAN GARDEN,1497 S ARLINGTON ST,AKRON,OH,(330) 773-7770,44306-3831,C040,1C,NA,,,,,,,,,,,,NA,,Unknown,Uncoded (No Group)
1113,20230612,2,0,2,2,2,0,0,0,Asian Street Eatery,1146 W EL CAMINO REAL,SUNNYVALE,CA,() -,94087-1025,C042,1C,742709300,SARAH,CHUNG,MS,F,OWNER,,1-4,"LESS THAN $500,000",Y,,,2019,CN,Chinese,Far Eastern
