Exclusion Check,Snowball Map,ID,Name,Business Type,Chain,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions,Cloud Point of Sale System
,61343,01727a29c8cb0ed1,Marigold Restaurant,Restaurant,,718 Osborne St,Winnipeg,MB,R3L 2C2,Canada,,,,,,,,,(204) 474-2401,0,,Chinese,$$,GoDaddy Sites,,
,61344,0d1ef6bb2e1b0def,Divine Dumplings (Hwy 7),Restaurant,,5460 HWY-7,Markham,ON,L3P 1B7,Canada,,,,,,,,,(905) 209-8666,0,,Chinese,$,Uber Eats,,
,61345,05eefacf1d2e6d76,Asia Fusion,Restaurant,,248 Wellington St,Welland,ON,L3B 1B5,Canada,,,,,asiafusion248@gmail.com,,,,(289) 820-9111,0,asiafusion248@gmail.com,Indian; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats; WooCommerce,,
,61346,08911a6ad823c141,Not Just Noodles,Restaurant,,570 Yonge St,Toronto,ON,M4Y 1Z3,Canada,,,,,,,,,(416) 960-8898,0,,Chinese,$,Ritual; Skip the Dishes,,
,61347,0c682a3945c62edf,Ju Sushi & Bar,Restaurant,,383 Dundas St E,Toronto,ON,M5A 2A6,Canada,,,,,,,,,(416) 594-0383,0,,Korean; Japanese,,Ritual; Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,61348,0aa3e725f76ad4a1,Tobe Teppanyaki Lounge,Restaurant,,901 64 Ave NE,Calgary,AB,T2E 7P4,Canada,,,,,,,,,(403) 730-8826,0,,Japanese; Chinese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Skip the Dishes; WooCommerce,GlobalFood; Oracle GloriaFood,
,61349,070806b53699faa1,Full Yuan Seafood Restaurant,Restaurant,,3833 Midland Ave,Toronto,ON,M1V 5L6,Canada,,,,,,,,,(416) 335-3676,0,,Chinese,$$,,,
,61350,0b0b79692c4e415b,Sushiwa,Restaurant,,5625 Promontory Rd,Chilliwack,BC,V2R 4M5,Canada,Carlos,Antoune,Proprietor,Owner,,,,,(604) 846-1113,1,,Japanese,$$,DoorDash; Skip the Dishes,,
,61351,0b24d5defa75dd56,SUSHI-Q,Restaurant,,5000 HWY-7,Markham,ON,L3R 4M9,Canada,,Bullock,Proprietor,Owner,,,,,(905) 305-8881,1,,Japanese,$$,Uber Eats,,
,61352,09d7a8ce0f0fdaa8,Oyshi Sushi,Restaurant; Quick Service,,12 Queens Quay W,Toronto,ON,M5J 2V7,Canada,Yun,Choi,Proprietor,Owner,,,,,(416) 216-0709,1,oyshisushitoronto@gmail.com,Japanese,$$,Ritual; Squarespace,,
,61353,0de38dbebc5a63e5,Fu Wah Express Chinese Food,Restaurant,,746 Goldstream Ave,Langford,BC,V9B 2X3,Canada,Chi-Kong,Sio,Proprietor,Owner,,,,,(250) 474-7693,1,,Chinese,$,,,
,61354,088f9a2c3bb5eea0,Golden Island Asian Cuisine,Restaurant,,975 Academy Way,Kelowna,BC,V1V 3C8,Canada,,,,,,,,,(778) 753-6628,0,,Chinese,$$,Skip the Dishes,,
,61355,028e57b85478c489,Sushi 7,Restaurant,,3488 Cambie St,Vancouver,BC,V5Z 2W8,Canada,,,,,,,,,(604) 709-8150,0,,Canadian; Japanese,$,DI develop; DoorDash; Skip the Dishes; Uber Eats,DI develop,
,61356,0dbfa5fda8b2be53,Arrowana Restaurant,Restaurant,,601 Pine Ave,Sparwood,BC,V0B 2G0,Canada,Jimmy,Johnston,Proprietor,Owner,,,,,(250) 425-0500,1,,Chinese,$$,,,
,61357,068b74443c30b451,WangDao Asian Bistro,Restaurant,,282 Loren Dr,Morden,MB,R6M 0G2,Canada,,,,,,,,,(204) 384-9264,0,,Chinese,$$,DI develop,DI develop,
,61358,038b54f8bae82464,Sushi Style,Restaurant,,80 Dundas St E,Toronto,ON,M5B 2P5,Canada,Chris,Bouziotas,President,General,,,,,(416) 599-7899,1,,Japanese,$$,DoorDash; Ritual; Skip the Dishes; Snappy; Uber Eats,Snappy,
,61359,03db2af29e7e78a0,Skyland Foodcourt,Restaurant,,3715 Lawrence Ave E,Toronto,ON,M1G 1P7,Canada,,,,,,,,,(647) 839-6516,0,,Japanese; Chinese,$,Skip the Dishes; Uber Eats,,
,61360,01e6c68834a2db68,Old Xian's Food,Restaurant,,4500 Kingsway,Burnaby,BC,V5H 2A9,Canada,,,,,oldxiansfood@gmail.com,,,,(604) 559-7156,0,oldxiansfood@gmail.com,Chinese,$$,DoorDash,,
,61361,04ef900ff94e8860,Chinafu Kitchen,Restaurant,,7700 Markham Rd,Markham,ON,L3S 4S1,Canada,,,,,,,,,(905) 201-0888,0,,Japanese,,,,
,61362,07efaadea664e3f3,Sun Star Chinese,Restaurant,,631 Lougheed Hwy,Coquitlam,BC,V3K 3S5,Canada,,,,,,,,,(604) 939-4004,0,,Chinese,$$,DoorDash; Uber Eats,,
,61363,0646ecc48b1a17ce,Hong Kong Restaurant,Restaurant,,345 Hamilton River Rd,Happy Valley-Goose Bay,NL,A0P 1C0,Canada,Yuk Lin,Mak,President and Member of the Board of Directors,Owner,,,,,(709) 896-2558,1,,Chinese,,,,
,61364,08e2cf8a7f547524,Ocean Garden Restaurant,Restaurant,,568 Fisgard St,Victoria,BC,V8W 1R4,Canada,Larry,Ng,Proprietor,Owner,,,,,(250) 360-2818,1,lara-james@hotmail.com,Chinese,$$,DoorDash; Google Analytics; Restaurant; Skip the Dishes; Uber Eats,,
,61365,01b208b36b1abeb4,Imperial Banquet,Restaurant,,233 Rutland Rd N,Kelowna,BC,V1X 3B1,Canada,Weilin,Kiang,President,General,,,,,(250) 765-1129,2,imperial-banquet@hotmail.com,Chinese,$$,Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,61366,0a15db33fe150902,HK Station,Restaurant; Mobile Food,,1510 Drew Rd,Mississauga,ON,L5S 1W7,Canada,,,,,,,2006,,(905) 766-1969,0,,Chinese,,,,
,61367,00794210a6538995,Little Saigon Vietnamese & Thai Restaurant,Restaurant,,66 Mall Rd,Hamilton,ON,L8V 5B9,Canada,Paul,Huynh,Principal,Owner,,,,,(905) 389-9826,1,littlesaigonhamilton@yahoo.ca,Japanese; Vietnamese; Thai,$,Skip the Dishes; Uber Eats,,
,61368,103fdf031d59a06d,Sushi and Oyster Bar,Restaurant,,6380 Fallsview Blvd,Niagara Falls,ON,L2G 7X5,Canada,,,,,,,,,(888) 325-5788,0,,Japanese,$$$,,,
,61369,09822eb4f8c4ab68,Kobe Japanese Steak House,Restaurant,,1042 Alberni St,Vancouver,BC,V6E 1A3,Canada,Patricia Bruser,Rogers,Secretary and Member of the Board of Directors,Finance,,,1968,,(604) 684-2451,2,info@koberestaurant.com,Japanese,$$$$,Buyatab; OpenTable; WooCommerce,,
,61370,0ff90524f10643e7,Loong 7 Chinese Restaurant,Restaurant,,3559 Robie St,Halifax,NS,B3K 4S7,Canada,L. I.,Shiqi,Proprietor,Owner,,,,,(902) 404-9677,1,,Chinese,$,DI develop; Uber Eats,DI develop,
,61371,0f14db7f8237aec6,Desi Tadka,Restaurant,,2006 Robertson Rd,Ottawa,ON,K2H 1A5,Canada,,,,,desitadkatiffin@gmail.com,,,,(613) 421-0331,0,desitadkatiffin@gmail.com,Indian; Chinese,$$,DoorDash; Skip the Dishes,,
,61372,0338a950ca7ea5f0,Tokyo Street Market,Restaurant,,922 Centre St N,Calgary,AB,T2E 2P7,Canada,Terry,K,Business Owner,Owner,,,2018,,(403) 452-3794,1,tokyojapanstreetmarket@gmail.com,Japanese,$,DoorDash; Helcim; Skip the Dishes; WooCommerce,,
,61373,14801018919448bf,Asian Buffet,Restaurant,,9125 Bonaventure Dr SE,Calgary,AB,T2J 0P9,Canada,Elle,Jiang,Proprietor,Owner,,,,,(403) 252-6888,1,info@asianbuffet328.com,Japanese; Chinese,$$,DoorDash; Skip the Dishes; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order,Square; Square Online Order,Square
,61374,0e07306a4a438d24,Minami Sushi Japanese Restaurant,Restaurant,,14785 Yonge St,Aurora,ON,L4G 1N1,Canada,,,,,,,2018,,(905) 503-6222,0,,Japanese,$$,Skip the Dishes; Uber Eats,,
,61375,119ca70b01718eeb,Jeon Ju Hyang,Restaurant,,8601 Warden Ave,Markham,ON,L3R 0B5,Canada,,,,,,,,,(905) 415-8777,0,,Korean; Japanese,,DI develop; Skip the Dishes; Uber Eats,DI develop,
,61376,089cb6922726df5b,Insadong,Restaurant,,4941 Dundas St W,Toronto,ON,M9A 1B6,Canada,,,,,,,,,(416) 746-0777,0,,Korean; Chinese,$$,Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,61377,0f83ecaa0576df59,Sushi Jo,Restaurant,,80 10th Ave,Campbell River,BC,V9W 4E3,Canada,,,,,,,,,(250) 914-5552,0,,Japanese,$$,,,
,61378,15009467d0a3e0d2,Grand Chinese Yaletown,Restaurant,,1233 Hamilton St,Vancouver,BC,V6B 6K3,Canada,,,,,info@grandchineserestaurant.com,,,,(604) 681-8288,0,info@grandchineseyaletown.ca,Chinese,$,Google Analytics; Ritual; Skip the Dishes; Uber Eats,,
,61379,1b1e0df15bf388a0,Sushi Howe,Restaurant,,738 Davie St,Vancouver,BC,V6Z 1B6,Canada,,,,,,,,,(604) 559-8082,0,,Japanese,$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,,
,61380,134db8183cd52ca0,Sam May BBQ,Restaurant,,8 Glen Watford Dr,Toronto,ON,M1S 2C1,Canada,,,,,,,,,(416) 321-2006,0,,Chinese,$,,,
,61381,112e0e224fd460ae,Nuri Village,Restaurant,,160 University Ave W,Waterloo,ON,N2L 3E9,Canada,,,,,,,,,(519) 885-3022,0,,Korean; Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61382,0de38dbebc5a63e5,Fu Wah Express Chinese Food,Restaurant,,746 Goldstream Ave,Langford,BC,V9B 2X3,Canada,Chi-Kong,Sio,Proprietor,Owner,,,,,(250) 474-7693,1,,Chinese,$,,,
,61383,088f9a2c3bb5eea0,Golden Island Asian Cuisine,Restaurant,,975 Academy Way,Kelowna,BC,V1V 3C8,Canada,,,,,,,,,(778) 753-6628,0,,Chinese,$$,Skip the Dishes,,
,61384,0dbfa5fda8b2be53,Arrowana Restaurant,Restaurant,,601 Pine Ave,Sparwood,BC,V0B 2G0,Canada,Jimmy,Johnston,Proprietor,Owner,,,,,(250) 425-0500,1,,Chinese,$$,,,
,61385,028e57b85478c489,Sushi 7,Restaurant,,3488 Cambie St,Vancouver,BC,V5Z 2W8,Canada,,,,,,,,,(604) 709-8150,0,,Canadian; Japanese,$,DI develop; DoorDash; Skip the Dishes; Uber Eats,DI develop,
,61386,1397d6f8facabcd6,The Biryaniwalla,Restaurant,,643 Bloor St W,Toronto,ON,M6G 1L1,Canada,,,,,biryaniwallatoronto@gmail.com,,,,(519) 991-0051,0,biryaniwallavancouver@gmail.com,Indian; Chinese,,Chownow; Facebook Pixel; Google Analytics; Lightspeed; Ritual; Skip the Dishes; TikMe; TouchBistro Dine; TouchBistro Reservations,Chownow; Lightspeed; TikMe,Lightspeed
,61387,13e1cec7b6111e6d,Funky Thai 2 Go,Restaurant,,3420 Rebecca St,Oakville,ON,L6L 6W2,Canada,,,,,,,,,(905) 465-1218,0,,Chinese; Thai,$,GlobalFood; Google Analytics; Oracle GloriaFood; Skip the Dishes; Uber Eats; Weebly,GlobalFood; Oracle GloriaFood,
,61388,09822eb4f8c4ab68,Kobe Japanese Steak House,Restaurant,,1042 Alberni St,Vancouver,BC,V6E 1A3,Canada,Patricia Bruser,Rogers,Secretary and Member of the Board of Directors,Finance,,,1968,,(604) 684-2451,2,info@koberestaurant.com,Japanese,$$$$,Buyatab; OpenTable; WooCommerce,,
,61389,112e0e224fd460ae,Nuri Village,Restaurant,,160 University Ave W,Waterloo,ON,N2L 3E9,Canada,,,,,,,,,(519) 885-3022,0,,Korean; Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61390,123afbeb49ed0e9f,Issmi Japanese Restaurant,Restaurant,,1984 Avenue Rd,Toronto,ON,M5M 4A4,Canada,Dong Joo,Kim,Proprietor,Owner,,,,,(416) 488-2500,1,,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61391,11817d1e845795ea,Oriental Delight,Restaurant; Quick Service,,155 Riverglen Dr,Georgina,ON,L4P 3M3,Canada,,,,,,,,,(905) 989-0077,0,,Chinese,$$,,,
,61392,16927ecbfbff8e91,Kami Strawberry Hill Japanese Restaurant,Restaurant,,12101 72 Ave,Surrey,BC,V3W 2M1,Canada,,,,,,,,,(604) 599-8858,0,,Japanese,$$,DoorDash; Google Analytics; Uber Eats; WooCommerce,,
,61393,177b71de64c960f6,Mandarin Garden,Restaurant,,31549 S Fraser Way,Abbotsford,BC,V2T 1T8,Canada,Raymond,Leong,Partner,Owner,,,,,(604) 855-9888,2,mandarin-garden@hotmail.com,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61394,161dc37d81cc660e,Richard's Apollo Restaurant,Restaurant,,102 Ellice St,Rocanville,SK,S0A 3L0,Canada,Richard,Loubert,Partner,Owner,,,2006,,(306) 645-2833,2,,Chinese,,,,
,61395,14c626bda4c0118a,Dumpling Restaurant,Restaurant,,4385 Sheppard Ave E,Toronto,ON,M1S 1T9,Canada,,,,,,,,,(416) 293-8321,0,,Korean; Chinese,$,,,
,61396,1a28d4a2aeb4d045,Y Sushi,Restaurant,,7341 Edmonds St,Burnaby,BC,V3N 1A7,Canada,,,,,,,,,(604) 553-3339,0,,Japanese,$,Google Analytics; PayPal; Skip the Dishes; Uber Eats,,
,61397,1febd4dd972f2a33,Cixi Wonton,Restaurant,,2004 W 4th Ave,Vancouver,BC,V6J 1M9,Canada,,,,,,,,,(604) 998-7790,0,,Chinese,$$,DoorDash; Uber Eats,,
,61398,24ae473d0bd68383,168 Gourmet Asian Fusion Restaurant,Restaurant,,20 Caribou St E,Moose Jaw,SK,S6H 7Y3,Canada,,,,,,,,,     ,0,,Chinese,,Skip the Dishes,,
,61399,19de7c6f30ad656a,Spicy Dragon,Restaurant,,1060 Kennedy Rd,Toronto,ON,M1P 2K7,Canada,,,,,,,,,(416) 751-8088,0,,Chinese,$,,,
,61400,1d762cdcd93f9280,China Wok,Restaurant,,94 Dundas St E,Hamilton,ON,L9H 0C2,Canada,,,,,,,,,(905) 690-8888,0,,Chinese,$,Google Analytics; Uber Eats,,
,61401,18155708810f04b6,SushiHub,Restaurant,,545 Keele St,Toronto,ON,M6N 3E4,Canada,,,,,,,,,     ,0,,Japanese,,Skip the Dishes,,
,61402,1670c6ac1a394c88,Fishing Sushi,Restaurant,,2201 Brant St,Burlington,ON,L7P 3N8,Canada,,,,,,,,,(905) 335-9265,0,,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61403,135b8f98b8b2d2b0,Wok In asian cuisine,Restaurant,,391 Lancaster Ave,Saint John,NB,E2M 2L3,Canada,Zhuobin,Z,Business Owner,Owner,,,,,(506) 214-3888,1,wokin2143888@gmail.com,Chinese,$$,DoorDash; Skip the Dishes; Squarespace; Tock,,
,61404,1a6b3cc7a1fedce0,Kazoku Ramen,Restaurant; Quick Service,,16518 100 Ave NW,Edmonton,AB,T5P 4Y2,Canada,,,,,kazokuramenedmonton@gmail.com,,,,(780) 483-0448,0,kazokuramenedmonton@gmail.com,Japanese,$$,Facebook Pixel,,
,61405,1b6d4353445b3168,Cheam Sushi,Restaurant,,7010 Pioneer Ave,Kent,BC,V0M 1A0,Canada,,,,,,,,,(604) 491-8804,0,,Japanese,$$,Google Analytics,,
,61406,1634c079df62b31e,Tasty Bbq,Restaurant,,7771 Westminster Hwy,Richmond,BC,V6X 1A4,Canada,,,,,tastybbq.beerbar@gmail.com,,,,(604) 370-8533,0,tastybbq.beerbar@gmail.com,Chinese,$$,DoorDash; Uber Eats; Wix Restaurants,Wix Restaurants,
,61407,236c8321ce013719,Rainbow Chinese Restaurant,Restaurant,,262 Island Hwy,View Royal,BC,V9B 1G5,Canada,,,,,vicrainbowrestaurant@hotmail.com,,2015,,(250) 590-5038,0,vicrainbowrestaurant@hotmail.com,Chinese,$$,GoDaddy Sites,,
,61408,150ff121864ba40a,Kami Teriyaki & Sushi,Restaurant,,26310 Fraser Hwy,Langley,BC,V4W 2Z7,Canada,Heesook,Kim,Principal,Owner,,,1999,,(604) 857-5264,1,,Japanese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Skip the Dishes,GlobalFood; Oracle GloriaFood,
,61409,1932b7e2e27fc263,Polar Bear Kitchen,Restaurant,,328 Centre St S,Calgary,AB,T2G 4X6,Canada,,,,,,,,,(403) 269-8399,0,,Chinese,,Google Analytics; Menusifu; Skip the Dishes; Uber Eats; WooCommerce,Menusifu,Menusifu
,61410,0e66a269687505d0,Sushi Box,Restaurant,,1528 McCallum Rd,Abbotsford,BC,V2S 8A3,Canada,,,,,,,,,(604) 744-5511,0,,Japanese,$$,Skip the Dishes,,
,61411,18a3e4338805b52c,Yan's Garden Chinese Restaurant,Restaurant,,9948 Lougheed Hwy,Burnaby,BC,V3J 1N3,Canada,,,,,,,,,(604) 421-8823,0,,American; Chinese,$,DoorDash; Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,61412,17dd00f93d7ed8bd,Yang Ming Buffet,Restaurant; Quick Service,,3414 118 Ave NW,Edmonton,AB,T5W 0Z4,Canada,,,,,info@yangmingbuffet.com,,2016,,(780) 752-7888,0,info@yangmingbuffet.com,Japanese; Chinese,$$,Facebook Pixel; Uber Eats,,
,61413,1740e9d4679a97f9,Yohachi Sushi,Restaurant,,171 Esplanade W,North Vancouver,BC,V7M 3J9,Canada,Takuya,Iwaki,Director,General,,,1996,,(604) 984-6886,2,,Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,,
,61414,11e09d04c52d1214,Patois,Restaurant; Drinking Place,,794 Dundas St W,Toronto,ON,M6J 1V1,Canada,,,,,,,,,(647) 350-8999,0,book@patoistoronto.com,Caribbean; Chinese,$$,Bookenda; DoorDash; Google Analytics; Skip the Dishes; Squarespace; Tock; TouchBistro Reservations; Uber Eats,,
,61415,133ccf690a19aa33,Beef Broccoli,Restaurant,,3041 Louie Dr,West Kelowna,BC,V4T 3E2,Canada,,,,,,,,,(250) 707-6832,0,,Chinese,,Uber Eats,,
,61416,16682f4cd6364cef,Gol's Lanzhou Noodle,Restaurant,,5505 Yonge St,Toronto,ON,M2N 5S3,Canada,,,,,,,,,(416) 221-9696,0,northyork@lanzhou.ca,Chinese,,MailChimp; Mrsdigi; Skip the Dishes; Uber Eats; WooCommerce,Mrsdigi,Mrsdigi
,61417,0a48406c298c4477,Genji Sushi,Restaurant,,184 Wyse Rd,Halifax,NS,B3A 1M9,Canada,Zhe,Shen,Principal,Owner,,,,,(902) 405-5550,1,info@genjisushi.ca,Japanese,$$,,,
,61418,193592a0209779ef,Island Mix West Indian Chinese Food (Vaughan),Restaurant,,3175 Rutherford Rd,Vaughan,ON,L4K 5Y6,Canada,,,,,,,,,(905) 761-6649,0,,Chinese,$,Uber Eats,,
,61419,1a6de86f668a3150,Jinzakaya,Restaurant,,75 King St S,Waterloo,ON,N2J 1P2,Canada,,,,,jinzakya@hotmail.com,,,,(519) 880-8188,0,kinkakuizakaya@hotmail.com,Japanese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61420,1247bdd905ddd835,The 90's Restaurant,Restaurant,,204 Main St,Oyen,AB,T0J 2J0,Canada,Long,Ly,Proprietor,Owner,,,,,(403) 664-2008,1,,Chinese,,,,
,61421,18823a5b528a584e,Winton Restaurant Chinese Food,Restaurant,,5268 Memorial Dr E,Calgary,AB,T2A 2R1,Canada,,,,,,,,,(403) 273-4363,0,,Vietnamese; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61422,12f02ec86a632178,James On Hastings,Restaurant,,2683 E Hastings St,Vancouver,BC,V5K 1Z5,Canada,,,,,,,,,(604) 255-3188,0,orders@jamesonhastings.ca,Chinese,$$,Bamboo HR; DoorDash; Facebook Pixel; Google Analytics; Shopify; Skip the Dishes; Uber Eats,Shopify,
,61423,133f956fe90d80ab,The Six Cheesecakes,Restaurant,,999 Upper Wentworth St,Hamilton,ON,L9A 4X5,Canada,,,,,,,,,     ,0,,Japanese,,Skip the Dishes,,
,61424,118e892b2143328b,Sushi Katsu,Restaurant,,1857 Lonsdale Ave,North Vancouver,BC,V7M 2J8,Canada,,,,,,,,,(604) 988-8832,0,,Korean; Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,,
,61425,1a2074432fa61631,Ng Fung Enterprises (1999) Ltd,Restaurant,,3779 Sexsmith Rd,Richmond,BC,V6X 3Z9,Canada,,,,,sales@ngfungfood.com,,,,(604) 207-1692,0,sales@ngfungfood.com,Chinese,,,,
,61426,2935ee8ba36a7c5f,Japanese Village Restaurant,Restaurant,,734 Broughton St,Victoria,BC,V8W 1E1,Canada,Sammy,Sogai,President and Member of the Board of Directors,Owner,,,,,(250) 382-5165,2,info@japanesevillage.bc.ca,Japanese,$$,Stripe; WooCommerce,,
,61427,255c0b82909bc9fb,New Moon Cafe,Restaurant,,214 Centre St,Assiniboia,SK,S0H 0B0,Canada,,,,,,,,,(306) 642-4866,0,,Chinese,$$$,,,
,61428,2ee00f95c18818f2,JoongWon,Restaurant,,1329 Robson St,Vancouver,BC,V6E 1C6,Canada,,,,,,,,,(778) 379-4222,0,,Korean; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,61429,26ec122988807aeb,China Moon Restaurant,Restaurant,,117 HWY-16,Burns Lake,BC,V0J,Canada,Sam,Lam,President and Member of the Board of Directors,Owner,,,,,(250) 692-7411,1,,Chinese,$$,,,
,61430,256021009fd2da20,Ruby Restaurant,Restaurant,,315 Montreal Rd,Cornwall,ON,K6H 1B6,Canada,,Sakinna,Business Owner,Owner,,,2013,,(613) 935-9998,1,,Chinese,$$,,,
,61431,250d2b213c3a58d4,Black Peppers Asian Street Fair,Restaurant,,1414 8 St SW,Calgary,AB,T2R 1J6,Canada,,,,,,,,,(403) 460-6303,0,,Japanese,$,Ecwid; Uber Eats; Wix Restaurants,Wix Restaurants,Ecwid
,61432,2827ef0a76e0cab9,Dagu Rice Noodle,Restaurant,,20 Gibson Dr,Markham,ON,L3R 0M7,Canada,,,,,daguricenoodle@gmail.com,,2017,,(905) 604-5082,0,daguricenoodle@gmail.com,Chinese,$$,DoorDash; Uber Eats; Yelp Reservation; Yelp Waitlist,,
,61433,1f27958f214c8466,Tai Hong Restaurant,Restaurant,,77 High St,Channel-Port aux Basques,NL,A0M 1C0,Canada,,,,,taihong.rest@hotmail.com,,,,(709) 695-3116,0,taihong.rest@hotmail.com,Chinese,$$,,,
,61434,3136e2d1357e22ec,Tenton,Restaurant,,1731 Marine Dr,West Vancouver,BC,V7V 1J5,Canada,,,,,,,,,(604) 912-0288,0,,Japanese,$,DoorDash; Skip the Dishes; Uber Eats,,
,61435,342320476fd306ab,Sushi Paradise,Restaurant,,210 Glendale Ave,St Catharines,ON,L2T 3Y6,Canada,,,,,,,,,(905) 688-9012,0,,Japanese,$$,DI develop; DoorDash; Skip the Dishes; Uber Eats,DI develop,
,61436,2e97acde932e18a5,Choice Of The Orient,Restaurant,,9555 Yonge St,Richmond Hill,ON,L4C 9M5,Canada,James,Wong,President,General,,,,,(905) 737-7373,1,,Chinese,$$,DoorDash; GlobalFood; Google Analytics; Oracle GloriaFood; Skip the Dishes; Uber Eats; Weebly,GlobalFood; Oracle GloriaFood,
,61437,2676930fac9118da,Kami Sushi & Teriyaki Co,Restaurant,,S Fraser Way,Abbotsford,BC,V2T 4M5,Canada,,,,,,,,,(604) 556-2368,0,,Japanese,$,Google Analytics,,
,61438,2240b61364ac0739,The Feasts,Restaurant,,6293 Quinpool Rd,Halifax,NS,B3L 1A4,Canada,,,,,,,,,(902) 932-7172,0,manager@thefeasts.ca,Indian; Chinese; Thai,$$$,Facebook Pixel; Otter; UEAT,Otter; UEAT,
,61439,2a31df8c74515c9c,Chicken For Lunch,Restaurant,,10060 Jasper Ave NW,Edmonton,AB,T5J 3R8,Canada,Amy,Quon,President,General,,,,,(780) 425-9614,1,,Chinese,$,,,
,61440,28d2d3313896986c,Hong Kong Restaurant,Restaurant,,5027 50 St,Barrhead,AB,T7N 1G5,Canada,,,,,debra.lei8@gmail.com,,,,(780) 674-2003,0,debra.lei8@gmail.com,Chinese,$$$,,,
