Snowball Map,Map Correction,Last Activity Date,Mobile - Primary,Business Phone,Company / Account,First Name,Last Name,Email,Street,Zip/Postal Code,City,State/Province,Country
63171,45857,2/21/2023,,(315) 445-8152,CHANTHASENSACK & SAYBANHA INC,,CHANTHASENSACK & SAYBANHA INC,,2724 ERIE BLVD E,13224,SYRACUSE,NY,USA
63170,45856,4/11/2023,,(845) 561-0088,CHOPSTICK ASIAN BISTRO,,CHOPSTICK ASIAN BISTRO,,377 WINDSOR HWY,12553,NEW WINDSOR,NY,USA
63169,46421,12/7/2022,(504) 236-9364,(504) 304-8820,Akira Sushi Hibachi,,Akira Sushi Hibachi,,3226 N Arnoult Rd,70002,Metairie,LA,USA
63168,45851,3/31/2023,(518) 588-6232,(518) 356-9900,Yummy Yummy Kitchen - 5185886232,,Yummy Yummy Kitchen,,2727 HAMBURG ST #3711,12303,SCHENECTADY,NY,USA
63167,46407,1/27/2023,,(217) 348-1169,Magic Wok,,Magic Wok,,558 W Lincoln Ave,61920,Charleston,IL,USA
63166,46405,3/17/2023,,(815) 673-1331,New China,,New China,,1 Northpoint Dr,61364,Streator,IL,USA
63165,45875,3/3/2023,,(717) 920-0900,NEW 2ND WOK,,NEW 2ND WOK,,106 N 2ND ST,17101,HARRISBURG,PA,USA
63164,46464,12/4/2022,(626) 863-5295,(303) 853-0680,YUM ASIAN FUSION CUISINE AND SUSHI,,Ms.何,,18220 E 104TH AVE,80022,COMMERCE CITY,CO,USA
63163,,1/23/2023,,,Dao Sushi and Thai,,Dao Sushi and Thai,,200 Burr Ridge Parkway,60527,Burr Ridge,IL,USA
63162,46041,2/19/2023,,(678) 376-3929,Hong Kong Restaurant,,HK Restaurant,,1064 Old Peachtree Road Northwest,30043,Lawrenceville,GA,USA
63161,46134,3/13/2023,,(972) 408-8574,ICHIYUMMY INC,,ICHIYUMMY INC,,3922 DEL PRADO BLVD S,33904,CAPE CORAL,FL,USA
63160,45781,4/6/2023,,(718) 518-8833,KING HOUSE,,KING HOUSE,,2381 WESTCHESTER AVE # A,10461,THE BRONX,NY,USA
63159,,2/9/2023,,(315) 889-5155,HUA MEI,,HUA MEI,,177 CAYUGA ST,13160,UNION SPRINGS,NY,USA
63158,,4/11/2023,,(607) 772-3388,GREAT WALL,,GREAT WALL,,1264 FRONT ST,13901,BINGHAMTON,NY,USA
63157,45838,2/22/2023,,(516) 292-6900,GOLDEN HOUSE CHINESE RESTAURANT,,GOLDEN HOUSE CHINESE RESTAURANT,,155 A Main ST,11550,HEMPSTEAD,NY,USA
63156,46118,3/8/2023,,(954) 961-0766,CHINA KITCHEN,,CHINA KITCHEN,,3001 JOHNSON ST,33021,HOLLYWOOD,FL,USA
63155,46006,2/23/2023,,(864) 582-2338,China Express,,China Express,,594 S Church St,29306,Spartanburg,SC,USA
63154,45900,12/12/2022,,(302) 698-4077,China Kitchen,,China Kitchen,,5504 S Dupont Hwy,19901,Dover,DE,USA
63153,45816,2/21/2023,,(718) 333-5336,DAVID'S HALAL CHINESE FOOD,,DAVID'S HALAL CHINESE FOOD,,7610 5TH AVE,11209,BROOKLYN,NY,USA
63152,46130,3/13/2023,,(813) 972-4308,TOP CHINA,,TOP CHINA,,13306 TELECOM DR,33637,TEMPLE TERRACE,FL,USA
63151,45832,4/11/2023,,(718) 848-5499,NEW GARDEN KITCHEN,,NEW GARDEN KITCHEN,,76-14 LIBERTY AVE,11417,OZONE PARK,NY,USA
63150,45837,4/11/2023,,(516) 292-2828,NEW FULTON CHINESE RESTAURANT,,NEW FULTON CHINESE RESTAURANT,,76 HEMPSTEAD TPKE,11552,WEST HEMPSTEAD,NY,USA
63149,45780,4/11/2023,,(718) 325-5564,NEW DRAGON STAR,,NEW DRAGON STAR,,4216 WHITE PLAINS RD,10466,THE BRONX,NY,USA
63148,46218,1/18/2023,,(228) 2224647,FATSUMO,,FATSUMO,,125 DAVIS AVE STE C,39571,PASS CHRISTIAN,MS,USA
63147,46207,1/19/2023,,(769) 216-2775,BANGKOK THAI CSINE - RCHLAND M,,BANGKOK THAI CSINE - RCHLAND M,,1055 HIGHWAY 49 S,39218,RICHLAND,MS,USA
63146,46217,1/23/2023,,(228) 385-2240,Pei Wei Asian Express,,Pei Wei Asian Express,,2600 Beach Blvd #15I,39531,Biloxi,MS,USA
63145,46214,1/20/2023,,(769) 242-2855,Ninja Express,,Ninja Express,,402 W Canal St,39466,Picayune,MS,USA
63144,46206,1/25/2023,,(601) 420-4848,Saigon Restaurant,,Saigon Restaurant,,2640 Lakeland Dr,39232,Flowood,MS,USA
63143,46205,1/25/2023,,(601) 981-0606,Bonsai Japanese Steak House,,Bonsai Japanese Steak House,,1925 Lakeland Dr,39216,Jackson,MS,USA
63142,46196,1/19/2023,,(662) 627-7888,Hibachi Buffet,,Hibachi Buffet,,707 S State St,38614,Clarksdale,MS,USA
63141,,3/7/2023,,(803) 815-8828,CHINESE BUFFET,,CHINESE BUFFET,,25 US-321 BYP,29180,WINNSBORO,SC,USA
63140,46008,2/28/2023,,(843) 641-0580,CHINA GOURMET TAKEOUT,,CHINA GOURMET TAKEOUT,,216 ST JAMES AVE E,29445,GOOSE CREEK,SC,USA
63139,46023,3/5/2023,,(803) 279-6888,Sabi Japanese,,Sabi Japanese,,332 E Martintown Rd,29841,North Augusta,SC,USA
63138,45815,4/6/2023,,(718) 384-0338,NEW HARDEE,,NEW HARDEE,,835 DEKALB AVE,11221,BROOKLYN,NY,USA
63137,45727,3/8/2023,,(203) 798-9262,CHINA KING CHINESE TAKE OUT,,CHINA KING CHINESE TAKE OUT,,1 DIVISION ST # C,6810,DANBURY,CT,USA
63136,46116,3/13/2023,,(321) 639-8299,CHINA GARDEN,,CHINA GARDEN,,801 DIXON BLVD # 1137,32922,COCOA,FL,USA
63135,45853,4/6/2023,,(845) 331-3520,ENG'S,,ENG'S,,726 BROADWAY,12401,KINGSTON,NY,USA
63134,45814,2/21/2023,,(718) 222-1719,CHINANTLA,,CHINANTLA,,657 MYRTLE AVE,11205,BROOKLYN,NY,USA
63133,,1/31/2023,,(315) 764-9607,CHINA DOLL,,CHINA DOLL,,1914 19 MAIN ST,13662,MASSENA,NY,USA
63132,45711,2/21/2023,,(860) 430-9500,Thai House Restaurant & Sushi Bar,,Thai House Restaurant & Sushi Bar,,875 Main St,6073,South Glastonbury,CT,USA
63131,45710,3/27/2023,,(860) 828-6630,Imperial Buffet,,Imperial Buffet,,273 Berlin Tpke,6037,Berlin,CT,USA
63130,46083,4/5/2023,,(904) 230-8203,HOT WOK,,HOT WOK,,445 STATE ROAD 13 STE 7,32259,SAINT JOHNS,FL,USA
63129,46100,1/26/2023,,(850) 857-8892,Pho Golden Palace Vietnamese Restaurant,,Pho Golden Palace Vietnamese Restaurant,,7156 N DAVIS HWY,32504,PENSACOLA,FL,USA
63128,45974,11/7/2022,,(919) 468-9958,Banana Leaf,,Banana Leaf,,1026 Ryan Rd,27511,Cary,NC,USA
63127,45969,4/13/2023,,(336) 621-6700,Chopstix,,Chopstix,,1320 Lees Chapel Rd Ste H,27455,Greensboro,NC,USA
63126,45968,4/5/2023,,(336) 235-2422,Apple China,,Apple China,,4925 W Market St,27407,Greensboro,NC,USA
63125,,3/22/2023,(646) 932-3448,(410) 313-8818,ZEN LLC,,Mr.王,,10039 BALTIMORE NATIONAL,21042,ELLICOTT CITY,MD,USA
63124,46099,1/27/2023,,(850) 429-2002,CHINA WOK,,CHINA WOK,,1517 W CERVANTES ST,32501,PENSACOLA,FL,USA
63123,46090,1/31/2023,,(850) 878-6668,NIHAO CHINESE RESTAURANT,,NIHAO CHINESE RESTAURANT,,6668 THOMASVILLE RD #17,32312,TALLAHASSEE,FL,USA
63122,46128,1/15/2023,(626) 623-2779,(813) 661-6888,LEE HOUSE,,Summer,,909 W BRANDON BLVD,33511,BRANDON,FL,USA
63121,,4/11/2023,,(860) 956-2686,MING MOON,,MING MOON,,1380 BERLIN TURNPIKE #3,6109,WETHERSFIELD,CT,USA
63120,45709,3/14/2023,,(860) 678-8880,GREEN TEA CHINESE RESTAURANT,,GREEN TEA CHINESE RESTAURANT,,1067 FARMINGTON AVE,6032,FARMINGTON,CT,USA
63119,,4/12/2023,,(518) 674-8126,Lee Sun Chinese Restaurant,,Lee Sun Chinese Restaurant,,43 Mall Way,12196,West Sand Lake,NY,USA
63118,46113,3/28/2023,(267) 886-3290,(407) 851-9933,Mikado Sushi,,Ms.Amy,,13586 Village Park Dr Ste 306,32837,Orlando,FL,USA
63117,45848,2/9/2023,,(516) 797-0696,MEET RICE,,MEET RICE,,738 N Broadway,11758,North Massapequa,NY,USA
63116,46005,2/28/2023,,(864) 681-0886,CHINA STAR,,CHINA STAR,,507 N HARPER ST A,29360,LAURENS,SC,USA
63115,46017,2/28/2023,,(864) 322-0405,CHINA RESTAURANT,,CHINA RESTAURANT,,2117 OLD SPARTANBURG RD,29650,GREER,SC,USA
63114,46001,2/28/2023,,(803) 787-1919,CHINA PALACE RESTAURANT,,CHINA PALACE RESTAURANT,,602 BELTLINE BLVD,29205,COLUMBIA,SC,USA
63113,45998,2/28/2023,,(803) 775-5941,CHINA PALACE,,CHINA PALACE,,459 BROAD ST,29150,SUMTER,SC,USA
63112,,2/27/2023,,(843) 454-1886,CHINA ONE,,CHINA ONE,,1240 BENNETTSVILLE SQ,29512,BENNETTSVILLE,SC,USA
63111,,4/5/2023,,(704) 521-1383,Dragon House,,Dragon House,,355 E Woodlawn Rd,28217,Charlotte,NC,USA
63110,46514,1/2/2023,,(509) 787-7200,Chinese Buffet,,Chinese Buffet,,716 13th Ave SW,98848,Quincy,WA,USA
63109,45914,11/4/2022,,(410) 728-3399,1 CHINESE CARRY OUT,,1 CHINESE CARRY OUT,,2416 PENNSYLVANIA AVE,21217,BALTIMORE,MD,USA
63108,45813,4/11/2023,,(718) 938-3937,NEW TASTE TO GO,,NEW TASTE TO GO,,2310 86TH ST,11214,BROOKLYN,NY,USA
63107,45836,4/12/2023,,(516) 292-3833,NEW SHING WONG KITCHEN,,NEW SHING WONG KITCHEN,,133 FULTON AVE,11550,HEMPSTEAD,NY,USA
63106,46138,3/22/2023,,(352) 728-6669,Ichiban Chinese & Japanese Buffet,,Ichiban Chinese & Japanese Buffet,,10301 US Highway 441,34788,Leesburg,FL,USA
63105,,3/8/2023,,(302) 655-4104,China House Express,,China House Express,,1404 Lancaster Ave,19805,Wilmington,DE,USA
63104,45896,3/8/2023,,(302) 276-1897,Asian House,,Asian House,,1222 Beaver Brook Plz,19720,New Castle,DE,USA
63103,45981,1/17/2023,,(252) 333-1115,New Star,,New Star,,679 S Hughes Blvd,27909,Elizabeth City,NC,USA
63102,,1/26/2023,,(386) 755-1133,HONG YIP RESTAURANT,,HONG YIP RESTAURANT,,905 SW MAIN BLVD # 110,32025,LAKE CITY,FL,USA
63101,46115,3/13/2023,,(646) 262-7787,LINS WOK LLC,,LINS WOK LLC,,1880 US HIGHWAY 1,32955,ROCKLEDGE,FL,USA
63100,46016,3/7/2023,,(864) 224-0404,Thai Spice Restaurant,,Thai Spice Restaurant,,414 E Greenville St,29621,Anderson,SC,USA
63099,,2/9/2023,,(516) 488-9293,NEW WIN,,NEW WIN,,188 JERICHO TURNPIKE,11001,FLORAL PARK,NY,USA
63098,46293,4/13/2023,,(513) 972-8016,Zundo Ramen & Donburi -Mason,,Unknown,,6663 Western Row Rd,45040,Mason,OH,USA
63097,46282,4/5/2023,,(216) 861-1919,Jade,,Unknown,,1055 Old River Rd,44113,Cleveland,OH,USA
63096,46281,4/13/2023,,(216) 230-2036,Wasabi Express,,Unknown,,15266 Sheldon Rd,44142,Brook Park,OH,USA
63095,45738,4/11/2023,,(201) 853-9936,Daegu Chicken,,Unknown,,"260 Bergen Turnpike, H Mart foodcourt",7661,Little Ferry,NJ,USA
63094,45737,4/11/2023,,(201) 431-9199,CZEN Restaurant Englewood,,Unknown,,36 N Van Brunt St,7631,Englewood,NJ,USA
63093,46462,4/12/2023,(917) 669-2503,(512) 667-9399,Xian Sushi and Noodles,,Mr陈,,"200 Springtown Way, Ste 138",78666,San Marcos,TX,USA
63092,45764,4/5/2023,,(212) 570-5202,Garden Court Cafe,,Unknown,,"725 Park Ave, Lobby of Asia Society Museum, The Asia Society",10021,New York,NY,USA
63091,45736,4/11/2023,,(201) 379-2020,Narruto Bowl,,Unknown,,461 Cedar Ln,7666,Teaneck,NJ,USA
63090,45825,4/9/2023,,(718) 737-7771,Yummy Yummy,,Unknown,,4724 Bell Blvd,11361,Bayside,NY,USA
63089,45852,4/11/2023,,(845) 679-7992,Yum Yum Noodle Bar - Woodstock,,Unknown,,4 Rock City Rd,12498,Woodstock,NY,USA
63088,46331,4/13/2023,,(317) 859-1888,Yokohama,,Unknown,,67 N Madison Ave,46142,Greenwood,IN,USA
63087,46334,4/11/2023,,(317) 586-8212,Yummy Bowl,,Unknown,,"8810 S Emerson Ave, Ste 150",46237,Indianapolis,IN,USA
63086,45747,4/5/2023,,(908) 996-6689,Bamboo House,,Unknown,,31 12th St,8825,Frenchtown,NJ,USA
63085,,4/11/2023,,(315) 777-8092,Yummy Kitchen,,Unknown,,29655 Maple St,13612,Black River,NY,USA
63084,45948,4/11/2023,,(276) 783-7288,Yummy Yummy,,Unknown,,232 E Main St,24354,Marion,VA,USA
63083,45942,4/12/2023,,(757) 963-2888,Yamachen's sushi,,Mr陈,,"750 Independence Blvd, Ste 4564",23455,Virginia Beach,VA,USA
63082,45939,4/13/2023,,(757) 819-7776,YamaChen's Sushi,,Unknown,,"1501 Cedar Rd, Ste 116",23322,Chesapeake,VA,USA
63081,45924,4/12/2023,,(703) 865-5558,YamaChen's Sushi,,Unknown,,"9650 Main St, Ste 41",22031,Fairfax,VA,USA
63080,45923,4/5/2023,,(703) 759-5040,Wild Ginger,,Unknown,,752 Walker Rd,22066,Great Falls,VA,USA
63079,45941,4/13/2023,,(757) 226-8558,YamaChen's Sushi,,Unknown,,"2704 N Mall Dr, Ste 101",23452,Virginia Beach,VA,USA
63078,46071,4/9/2023,,(912) 415-7090,Yummicup Noodle House,,Unknown,,207 S US Hwy 301,31546,Jesup,GA,USA
63077,46137,4/4/2023,,(407) 654-3800,Beijing & Tokyo,,Unknown,,"16112 Marsh Rd, Ste 413",34787,Winter Garden,FL,USA
63076,,3/29/2023,,(407) 931-2881,Lin Garden,,Unknown,,381-383 Cypress Pkwy Poinciana,34759,Poinciana,FL,USA
63075,,4/3/2023,,(321) 722-9288,Green Tea,,Unknown,,1831 Rd NE,32905,Palm Bay,FL,USA
63074,46112,3/28/2023,,(407) 988-3093,Danketsu,,Unknown,,11425 Lake Underhill Rd,32825,Orlando,FL,USA
63073,45871,3/29/2023,,(814) 636-5038,Kirin Court,,Unknown,,"5624 Peach St, Ste B-17",16509,Erie,PA,USA
63072,46111,3/29/2023,,(407) 678-8188,Mei's Kitchen,,Unknown,,10169 University Blvd,32817,Orlando,FL,USA
63071,46110,3/29/2023,,(407) 203-4496,Ms Tea's Bento,,Unknown,,"10376 East Colonial Dr, Ste 126",32817,Union Park,FL,USA
63070,,4/3/2023,,(407) 563-8777,Pei Wei Asian Kitchen,,Unknown,,3011 E Colonial Dr Orlando,32803,Orlando,FL,USA
63069,46107,4/3/2023,,(407) 622-0188,P.F. Chang's,,Unknown,,"436 N Orlando Ave, Winter Park",32789,Winter Park,FL,USA
63068,46106,3/29/2023,,(407) 790-4865,Sakura House Asian Cuisine,,Unknown,,"895 Fox Valley Dr, Ste 121",32779,Longwood,FL,USA
63067,,4/3/2023,,(407) 332-9838,Panda Hut Chinese Restaurant,,Unknown,,187 State Road 436 Casselberry,32730,Casselberry,FL,USA
63066,,4/3/2023,,(407) 834-0752,Pei Wei Asian Kitchen,,Unknown,,355 E Altamonte Dr Altamonte Springs,32701,Altamonte Springs,FL,USA
63065,,4/3/2023,,(904) 664-7888,Golden Dragon Restaurant,,Unknown,,510 Blvd,32569,Mary Esther,FL,USA
63064,46098,4/3/2023,,(850) 269-1806,P.F. Chang's,,Unknown,,"640 Grand Blvd, Sandestin",32550,Sandestin,FL,USA
63063,46097,4/3/2023,,(850) 492-8992,New Hong Kong Express,,Unknown,,12388 Sorrento Rd,32507,Pensacola,FL,USA
63062,46089,3/23/2023,,(850) 653-8888,Hong Kong Bistro,,Unknown,,238 Hwy 98,32320,Apalachicola,FL,USA
63061,45734,3/27/2023,,(732) 388-8001,Mr. Rice,,Unknown,,328 St Georges Ave,7065,Rahway,NJ,USA
63060,45907,4/4/2023,,(202) 388-8666,Danny's Sub Shop & Chinese Food,,Unknown,,3710 Minnesota Ave NE,20019,Washington,DC,USA
63059,45906,4/3/2023,,(202) 291-8323,Johnny's Carryout Chinese Restaurant,,Unknown,,501 Kennedy St NW,20011,Washington,DC,USA
63058,45905,4/3/2023,,(202) 722-0448,Chinese Hunan American Carry-Out,,Unknown,,3532 Georgia Ave NW,20010,Washington,DC,USA
63057,45904,4/3/2023,,(202) 342-8190,Hunan Express,,Unknown,,3222 M St NW,20007,Washington,DC,USA
63056,45721,4/6/2023,,(475) 441-7836,Junzi Kitchen,,Unknown,,21 Broadway,6511,New Haven,CT,USA
63055,45718,4/3/2023,,(203) 294-9995,Lee Gardens,,Unknown,,"950 Yale Ave, Ste 13",6492,Wallingford,CT,USA
63054,,4/3/2023,,(203) 799-8383,Panda Pavillion Chinese Take-Out,,Unknown,,57 Boston Post Rd Orange,6477,Orange,CT,USA
63053,45714,4/3/2023,,(860) 443-8808,Wok Express,,Unknown,,"850 Hartford Tpke, Ste F101",6385,Waterford,CT,USA
63052,45903,4/3/2023,,(202) 466-7790,Sichuan Pavilion,,Unknown,,1814 K St NW,20006,Washington,DC,USA
63051,45902,4/3/2023,,(202) 797-0098,Great Wall Szechuan House,,Unknown,,1527 14th St NW,20005,Washington,DC,USA
63050,45901,4/3/2023,,(202) 332-0518,Dandy's,,Unknown,,2008 9th St NW,20001,Washington,DC,USA
63049,45899,4/3/2023,,(302) 846-2857,New Peking Cheer,,Unknown,,"38627 Benro Dr, Unit 5",19940,Delmar,DE,USA
63048,45898,4/3/2023,,(302) 744-9445,Ming Tree,,Unknown,,1365 N Dupont Hwy,19901,Dover,DE,USA
63047,45897,4/4/2023,,(302) 777-7371,Lee's Chinese Restaurant,,Unknown,,"800 W 4th St, Ste 402",19801,Wilmington,DE,USA
63046,,4/3/2023,,(302) 779-0194,No 1 Chinese Restaurant,,Unknown,,610 Shopping Ctr,19711,Newark,DE,USA
63045,45895,4/3/2023,,(302) 456-1101,Golden Palace,,Unknown,,1450 Capitol Trl,19711,Newark,DE,USA
63044,,4/3/2023,,(302) 455-9001,King Garden,,Unknown,,2607 Kirkwood Hwy,19711,Newark,DE,USA
63043,,4/3/2023,,(302) 366-0900,CHEF TAN,,Unknown,,108 E Main St Newark,19711,Newark,DE,USA
63042,45713,4/3/2023,,(860) 889-5614,Golden Star Chinese Restaurant,,Unknown,,42 E Town St,6360,Norwich,CT,USA
63041,,4/3/2023,,(860) 535-1141,Tea Garden,,Unknown,,391 Norwich-westerly Rd,6359,North Stonington,CT,USA
63040,45708,4/6/2023,,(860) 657-3656,Char Koon,,Unknown,,882 Main St,6073,S Glastonbury,CT,USA
63039,,3/28/2023,,(215) 516-5827,Fu Hai Restaurant,,Unknown,,"2842 Saint Vincent St, Unit B2",19149,Philadelphia,PA,USA
63038,45888,3/30/2023,,(267) 519-2889,Nom Wah Philadelphia,,Unknown,,218 N 13th St,19107,Philadelphia,PA,USA
63037,46409,3/28/2023,,(618) 937-0709,Super Wok,,Unknown,,110 S Logan St,62896,West Frankfort,IL,USA
63036,45886,3/31/2023,,(267) 830-8888,Sharetea Fatty Panda,,Unknown,,501 Limekiln Pk,19002,Ambler,PA,USA
63035,46511,3/30/2023,(971) 331-4377,(503) 224-0721,Wok A Holic,,Unknown,,"700 SW 5th Ave, Pioneer Place",97204,Portland,OR,USA
63034,46397,4/4/2023,,(630) 369-8969,Sun Wong,,Unknown,,"2735 Hassert Blvd, Ste 143",60564,Naperville,IL,USA
63033,46392,4/4/2023,,(815) 895-4398,Happy Wok Chinese Restaurant,,Unknown,,1615 Dekalb Ave,60178,Sycamore,IL,USA
63032,,3/28/2023,,(908) 850-6062,Szechuan Royale,,Unknown,,"470 Schooleys Mountain Rd, Ste 3",7840,Hackettstown,NJ,USA
63031,46460,4/5/2023,,(210) 570-8825,Wok Inn,,Unknown,,22106 US Hwy 281 N,78258,San Antonio,TX,USA
63030,,3/28/2023,,(210) 545-7777,T Jin's China Diner,,Unknown,,"20835 US-281 N, Ste 502",78258,San Antonio,TX,USA
63029,46425,3/28/2023,,(405) 673-7338,Formosa Street Food & Bar,,Unknown,,427 NW 23rd St,73103,Oklahoma City,OK,USA
63028,46456,3/28/2023,,(979) 836-6831,Golden Imperial,,Unknown,,222 Hwy 290 W,77833,Brenham,TX,USA
63027,46455,3/24/2023,,(409) 985-5406,Ann's Kitchen,,Unknown,,2200 Bluebonnet Ave,77640,Port Arthur,TX,USA
63026,,4/2/2023,,(931) 648-3381,China Chef,,Unknown,,1604 Madison St Clarksville,37043,Clarksville,TN,USA
63025,46343,3/24/2023,,(765) 464-6999,Blaze Chinese BBQ,,Unknown,,"135 S Chauncey Ave, Ste 2F2",47906,West Lafayette,IN,USA
63024,46061,3/27/2023,,(706) 226-1663,Chef Lin,,Unknown,,"100 W Walnut Ave, Ste 146 Dalton",30720,Dalton,GA,USA
63023,45682,3/24/2023,,(617) 338-2218,Wing's Kitchen,,Unknown,,23 Hudson St,2111,Boston,MA,USA
63022,45676,3/23/2023,,(978) 374-1990,Tea Garden Restaurant,,Unknown,,904 Salem St,1834,Groveland,MA,USA
63021,,4/4/2023,,(706) 776-1378,Spring Garden,,Unknown,,148 Crossing Shopping Ctr,30531,Cornelia,GA,USA
63020,,3/27/2023,,(678) 860-2777,China Kitchen,,Unknown,,5385 New Peachtree Rd Chamblee,30341,Chamblee,GA,USA
63019,46510,3/31/2023,,(971) 245-5181,Brother's Wings & Bings,,Unknown,,"4708 NW Bethany Blvd, Ste E-7",97229,Portland,OR,USA
63018,46055,3/28/2023,,(678) 691-7766,Food Terminal - Sandy Springs,,Unknown,,6550 Aria Blvd,30328,Sandy Springs,GA,USA
63017,46054,3/24/2023,,(404) 351-5502,Bao Bun Hibachi,,Unknown,,"1715 Howell Mill Rd, Ste C15-A",30318,Atlanta,GA,USA
63016,,4/4/2023,,(770) 389-5795,Tea Pot Chinese Cafe,,Unknown,,6459 Highway 42,30303,Atlanta,GA,USA
63015,,3/24/2023,,(770) 807-0641,Yifan Central Kitchen,,Unknown,,"11455 Lakefield Dr, Ste 500",30097,Duluth,GA,USA
63014,46040,4/4/2023,,(678) 999-6824,SH Spicy Garden,,Unknown,,3875 Venture Dr A8,30096,Duluth,GA,USA
63013,,3/30/2023,,(803) 564-9737,No 1 Kitchen,,Unknown,,139 Main St,29164,Wagener,SC,USA
63012,45987,3/24/2023,,(704) 496-9026,Boiling Pot,,Unknown,,"7010 Smith Corners Blvd, Ste F",28269,Charlotte,NC,USA
63011,46489,3/28/2023,(917) 981-5937,(646) 945-5000,Dumpling Tea & Dim Sum,,Mr郑,,"66 E San Francisco St, Ste 10",87501,Santa Fe,NM,USA
63010,46466,3/31/2023,,(720) 542-9921,Yum Yum Spice,,Unknown,,2039 S University Blvd,80210,Denver,CO,USA
63009,46463,3/30/2023,,(720) 456-7745,KP Asian Cafe,,Unknown,,"12201 E Mississippi Ave, Ste 111",80012,Aurora,CO,USA
63008,46127,4/4/2023,,(656) 222-6610,Great Wall Chinese Restaurant,,Unknown,,603 N US Hwy 41,33570,Ruskin,FL,USA
