Exclusion Check,Snowball Map,ID,Name,Business Type,Chain,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions,Cloud Point of Sale System
,57427,063a0b1c08bca6c5,NoodleMan,Restaurant,,6336 Vedder Rd,Chilliwack,BC,V2R 1C8,Canada,,,,,6336vedder@gmail.com,,2019,,(604) 858-4999,0,6336vedder@gmail.com,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,57428,0379f2861d41c04f,Zhous Chinese Restaurant,Restaurant; Quick Service,,1930 Como Lake Ave,Coquitlam,BC,V3J 3R3,Canada,L. I. Min,Zhou,Proprietor,Owner,,,,,(604) 936-9958,1,,Chinese,$,Google Analytics; Skip the Dishes,,
,57429,07f2968c02a13dcb,Mr. Sushi Lynn Valley,Restaurant; Quick Service,,1250 Lynn Valley Rd,North Vancouver District,BC,V7J 2A3,Canada,Chan,Park,Proprietor,Owner,,,1992,,(604) 988-8657,2,mr.sushi.info@gmail.com,Japanese,$$,Codefusion; DoorDash; DoorDash Storefront; Google Analytics; Skip the Dishes; Uber Eats,Codefusion; DoorDash Storefront,
,57430,075e2f572f58e8a1,ORDA,Restaurant,,111 Trafalgar Rd,Oakville,ON,L6J 3G3,Canada,,,,,,,,,(905) 842-0000,0,,Chinese,,Ritual; Uber Eats,,
,57431,05f5231230ce9cfd,Gourmet Wok,Restaurant,,1689 Johnston St,Vancouver,BC,V6H 3R9,Canada,Lin,Wilson,Proprietor,Owner,,,,,(604) 568-1185,1,,Chinese,$,Uber Eats,,
,57432,0ba520158e9d3925,Hee Rae Deung,Restaurant,,435 North Rd,Coquitlam,BC,V3K 3V9,Canada,,,,,,,2011,,(604) 939-0649,0,,Chinese,$$,Google Analytics,,
,57433,02b3a8a42dd66e2c,Riz Sushi,Restaurant,,115 W 2nd Ave,Vancouver,BC,V5Y 1B8,Canada,,,,,,,,,(778) 388-0800,0,,Japanese,,Uber Eats; Wix Restaurants,Wix Restaurants,
,57434,087db0d5563fd80f,Hungs Garden,Restaurant,,1565 Regent Ave W,Winnipeg,MB,R2C 3B3,Canada,Quang,Lieu,President,General,,,,,(204) 668-7613,1,,Chinese,$$,,,
,57435,0aecd5c23bacfd9c,Planta,Restaurant,,1221 Bay St,Toronto,ON,M5R 3P5,Canada,David,Lee,Executive Chef,Back of the House,,,,,(647) 812-1221,3,hello@plantarestaurants.com,Japanese,$$,ADP Workforce Now; Bamboo HR; Bentobox; DoorDash; Facebook Pixel; Givex; Google Analytics; MailChimp; OpenTable; Resy; Ritual; SevenRooms; Silverware POS; Toast Email Marketing; Toast Gift Cards; Toast Loyalty; Toast Online Ordering; Toast Payroll and Team Management; Tripleseat; Uber Eats,Bentobox; Silverware POS; Toast Online Ordering,Silverware POS
,57436,0615958da49933c8,Tran's Palace Restaurant,Restaurant,,224 Pleasant St,Miramichi,NB,E1V 1Y5,Canada,Phuoc Edmond,Tran,President and Member of the Board of Directors,Owner,,,,,(506) 622-0653,2,,Vietnamese; Chinese,$$,,,
,57437,06f6349ec597f043,May Garden,Restaurant,,829 Sackville Dr,Halifax,NS,B4E 1S1,Canada,,,,,maygarden@bellaliant.com,,,,(902) 865-2226,0,,Canadian; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,57438,0049cb24b31a9379,Buta Ramen,Restaurant,,1595 Bedford Hwy,Halifax,NS,B4A 3Y4,Canada,,,,,,,,,(902) 832-7775,0,,Japanese,,Uber Eats,,
,57439,061a4f4b28d2a5a0,Mr Chinese,Restaurant,,615 Arthur St W,Thunder Bay,ON,P7E 5R6,Canada,,,,,khoa73pham@gmail.com,,,,(807) 577-8051,0,khoa73pham@gmail.com,Chinese,$$,Ordereze; Popmenu,Ordereze; Popmenu,
,57440,0c3c70c088bb6fa9,Honeymoon Dessert,Restaurant,,3828 HWY-7,Markham,ON,L3R 1L7,Canada,,,,,,,,,(905) 477-7688,0,,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,57441,0a7e582a20d4f329,Cafe de l'Orangerie,Restaurant,,1320 W 73rd Ave,Vancouver,BC,V6P 3E7,Canada,Yamato,Takahasi,General Manager,Operations,,,,,(604) 266-0066,1,,Japanese; Italian,$$,DoorDash; Facebook Pixel; Google Analytics; MailChimp; Opencart; Squarespace; Uber Eats,Opencart,
,57442,03dafafb83d9789d,SUSHI BAR,Restaurant,,486 Advance Blvd,Lakeshore,ON,N8N 0B8,Canada,,,,,,,2013,,(519) 727-8880,0,,Japanese,$$,Skip the Dishes; Wix Restaurants,Wix Restaurants,
,57443,053b3285c406f335,ZenQ,Restaurant,,7240 Woodbine Ave,Markham,ON,L3R 1A4,Canada,,,,,,,,,(905) 475-9367,0,,Taiwanese,$$,DoorDash; Uber Eats,,
,57444,02ca064bea1536f2,So Good Restaurant,Restaurant,,3333 8th Ave,Prince George,BC,V2M 1N1,Canada,Linda,McInnis,Principal,Owner,,,,,(250) 614-2388,1,sogoodrestaurant@gmail.com,Chinese,$$,TouchBistro Dine; TouchBistro Reservations; Wix Restaurants; YellowPages.ca,Wix Restaurants,
,57445,0b2b94780e4a159f,Teafun,Cafe; Restaurant,,3250 Schmon Pkwy,Thorold,ON,L2V 4Y6,Canada,,,,,,,2018,,(905) 685-8246,0,,Japanese; Chinese,$,DoorDash; Skip the Dishes; Uber Eats,,
,57446,0b55f2b18d948a97,Golden Pearl Restaurant,Restaurant,,333 Brooksbank Ave,North Vancouver,BC,V7J 3S8,Canada,Ken,Wong,President,General,,,,,(604) 986-3733,1,,Chinese,$$,,,
,57447,0b142e96eb4ce0ec,Asian Gourmet,Restaurant; Mobile Food,,10 Dundas St E,Toronto,ON,M5B 2G9,Canada,,,,,,,,,(416) 595-2888,0,,Chinese,$,DoorDash; Google Analytics; MailChimp; Opencart; Skip the Dishes; Squarespace; Uber Eats,Opencart,
,57448,0e999698e3fe6f67,Fortune Star Chinese Restaurant,Restaurant,,439 Prince St,Cape Breton,NS,B1P 5L3,Canada,Canxing,Hou,Proprietor,Owner,,,,,(902) 562-8078,1,,Chinese,$,,,
,57449,0c45649f1bab391b,Westown Chinese,Restaurant,,2710 Dundas St W,Toronto,ON,M6P 1Y2,Canada,,,,,,,,,(416) 766-6366,0,,Chinese,$,,,
,57450,09a8c5ecc867362c,Fook Hing,Restaurant,,499 Ray Lawson Blvd,Brampton,ON,L6Y 4E6,Canada,,,,,,,,,(905) 216-1588,0,,Indian; Chinese,$$,,,
,57451,0a923ea215e5cbe1,Umami Sushi,Restaurant,,3459 Bathurst St,Toronto,ON,M6A 2C5,Canada,Andrew,Novak,Business Owner,Owner,,,2002,,(416) 782-3375,2,info@umamisushi.ca,Japanese,$$,DataCandy; DoorDash; Givex; UEAT; Uber Eats,UEAT,
,57452,0f2eee059e42265f,ThaiGo,Restaurant,,4567 Lougheed Hwy,Burnaby,BC,V5C 3Z6,Canada,,,,,,,,,(604) 558-2777,0,,Chinese; Thai,$$,DoorDash; Skip the Dishes; Uber Eats,,
,57453,1091718fb4bbde37,Superior Seafood,Restaurant,,4540 No 3 Rd,Richmond,BC,V6X 2C2,Canada,,,,,,,,,(604) 889-7266,0,,Japanese,,Skip the Dishes,,
,57454,112f3ed211f9bdcc,Golden Palace,Restaurant,,380 Lyndoch St,St Clair,ON,N0N 1G0,Canada,Hebert,Wong,Proprietor,Owner,,,,,(519) 862-5111,1,,Chinese,$$,Google Analytics,,
,57455,0f34b6ffaf5b6dab,Three Kitchens Restaurant,Restaurant,,5280 Dundas St W,Toronto,ON,M9B 1A9,Canada,,,,,,,,,(416) 233-4227,0,,Japanese,,Skip the Dishes; Wix Restaurants,Wix Restaurants,
,57456,147fa32c4e1102b9,Bourbon St Grill,Restaurant,,6551 No 3 Rd,Richmond,BC,V6Y 2B6,Canada,,,,,,,,,(604) 270-8589,0,,Chinese,$,DoorDash,,
,57457,0d57b5d8fb9590fe,Ikoi Sushi,Restaurant,,450 E Columbia St,New Westminster,BC,V3L 3X5,Canada,,,,,,,2014,,(778) 397-8787,0,,Japanese,$$,,,
,57458,1104f03b97a1a86d,Wing's Fine Foods To Go,Restaurant,,464 Woodbine Blvd SW,Calgary,AB,T2W 5H7,Canada,Jon,Figliomeni,General Manager,Operations,,,1989,,(403) 251-7888,3,wingsfinefoodstogo@gmail.com,Chinese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Skip the Dishes; Uber Eats; WooCommerce,GlobalFood; Oracle GloriaFood,
,57459,0191178d9f22f72d,Golden Gate Restaurant,Restaurant,,172 King St W,Brockville,ON,K6V 3R5,Canada,,,,,,,,,(613) 342-0408,0,,Chinese,$$,,,
,57460,073e711a7c826dd9,Charcoal Kebab House,Restaurant,,3256 Lawrence Ave E,Toronto,ON,M1H 1A4,Canada,Avi,K,Business Owner,Owner,,,2012,,(647) 352-4550,1,info@charcoalkebabhouse.com,Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,,
,57461,0f905914e9f4b158,New China Restaurant,Restaurant,,22 Murphy Sq,Corner Brook,NL,A2H 1R4,Canada,Stephanie,Liang,Proprietor,Owner,,,,,(709) 388-0223,1,contact@newchinarestaurant.ca,Chinese,$,Squarespace,,
,57462,1740e9d4679a97f9,Yohachi Sushi,Restaurant,,171 Esplanade W,North Vancouver,BC,V7M 3J9,Canada,Takuya,Iwaki,Director,General,,,1996,,(604) 984-6886,2,,Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,,
,57463,1284b28a9b933836,K.W. BBQ Kitchen,Restaurant,,103 Queen St N,Hamilton,ON,L8R 2V5,Canada,Jason,Hall,Proprietor,Owner,,,,,(905) 577-6888,1,,Chinese,$,Skip the Dishes; Uber Eats,,
,57464,0537e373c694c7ac,Paul's Restaurant,Restaurant,,4621 Hastings St,Burnaby,BC,V5C 2K6,Canada,,,,,info@paulsburnaby.com,,,,(604) 298-6905,0,info@paulsburnaby.com,Chinese,$,EHungry; Google Analytics; Uber Eats,EHungry,
,57465,02b3a8a42dd66e2c,Riz Sushi,Restaurant,,115 W 2nd Ave,Vancouver,BC,V5Y 1B8,Canada,,,,,,,,,(778) 388-0800,0,,Japanese,,Uber Eats; Wix Restaurants,Wix Restaurants,
,57466,0646ecc48b1a17ce,Hong Kong Restaurant,Restaurant,,345 Hamilton River Rd,Happy Valley-Goose Bay,NL,A0P 1C0,Canada,Yuk Lin,Mak,President and Member of the Board of Directors,Owner,,,,,(709) 896-2558,1,,Chinese,,,,
,57467,05f5231230ce9cfd,Gourmet Wok,Restaurant,,1689 Johnston St,Vancouver,BC,V6H 3R9,Canada,Lin,Wilson,Proprietor,Owner,,,,,(604) 568-1185,1,,Chinese,$,Uber Eats,,
,57468,0d1ef6bb2e1b0def,Divine Dumplings (Hwy 7),Restaurant,,5460 HWY-7,Markham,ON,L3P 1B7,Canada,,,,,,,,,(905) 209-8666,0,,Chinese,$,Uber Eats,,
,57469,061a4f4b28d2a5a0,Mr Chinese,Restaurant,,615 Arthur St W,Thunder Bay,ON,P7E 5R6,Canada,,,,,khoa73pham@gmail.com,,,,(807) 577-8051,0,khoa73pham@gmail.com,Chinese,$$,Ordereze; Popmenu,Ordereze; Popmenu,
,57470,147fa32c4e1102b9,Bourbon St Grill,Restaurant,,6551 No 3 Rd,Richmond,BC,V6Y 2B6,Canada,,,,,,,,,(604) 270-8589,0,,Chinese,$,DoorDash,,
,57471,14801018919448bf,Asian Buffet,Restaurant,,9125 Bonaventure Dr SE,Calgary,AB,T2J 0P9,Canada,Elle,Jiang,Proprietor,Owner,,,,,(403) 252-6888,1,info@asianbuffet328.com,Japanese; Chinese,$$,DoorDash; Skip the Dishes; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order,Square; Square Online Order,Square
,57472,13c102900b3554e4,Chicken Avenue,Restaurant,,128 2 Ave SE,Calgary,AB,T2G 5J5,Canada,,,,,,,,,(403) 454-4514,0,,Chinese,$$,DoorDash; Skip the Dishes,,
,57473,146521629625633b,J F Chen Chinese Food,Restaurant,,995 Paisley Rd,Guelph,ON,N1K 1X6,Canada,Joe,Lee,Proprietor,Owner,,,,,(519) 822-8868,1,,Chinese,$$,WooCommerce,,
,57474,0e37f45c463e1639,Ginkgo Chinese Food,Restaurant,,7579 Vedder Rd,Chilliwack,BC,V2R 4E8,Canada,Jack,Zhang,Proprietor,Owner,,,,,(604) 858-4343,1,,Chinese,$,Skip the Dishes,,
,57475,10f0b8a72988e7b7,Blue Fin Sushi Bar,Restaurant,,4608 Lakelse Ave,Terrace,BC,V8G 1R1,Canada,Cindy,Palmer,Principal,Owner,,,,,(250) 638-0058,2,bluefins@telus.net,Japanese,$$,TouchBistro Dine; TouchBistro Reservations; Wix Restaurants,Wix Restaurants,
,57476,1eff5599c5340b54,Chans,Restaurant,,121 3rd Ave W,Melville,SK,S0A 2P0,Canada,Hua King,Chen,Proprietor,Owner,,,,,(306) 728-2329,1,,Chinese,$$,,,
,57477,18a55ceddcbae501,The Ramen Butcher,Restaurant,,223 E Georgia St,Vancouver,BC,V6A 1Z6,Canada,,,,,,,,,(604) 806-4646,0,,Japanese,$,CloudWaitress; Deliverect; DoorDash; Google Analytics; Skip the Dishes; Uber Eats,CloudWaitress; Deliverect,
,57478,1917dea43d7d4755,The Zen,Restaurant,,4091 Thickson Rd N,Whitby,ON,L1R 2X3,Canada,,,,,,,,,(905) 655-8188,0,,Chinese; Thai,$$,DoorDash; Skip the Dishes; Uber Eats,,
,57479,2399ab2002497048,Ko Ko Ramen,Restaurant,,469 Danforth Ave,Toronto,ON,M4K 1P1,Canada,,,,,,,,,(416) 916-4388,0,,Japanese,,Skip the Dishes; Uber Eats,,
,57480,177f6cca3b1cc0e5,Ming Wah Buffet,Restaurant; Quick Service,,6711 Tecumseh Rd E,Windsor,ON,N8T 3K7,Canada,,,,,mingwahbuffet@gmail.com,,,,(519) 948-6868,0,mingwahbuffet@gmail.com,Chinese,$$,DoorDash,,
,57481,177f80bae5184051,New Choice Restaurant,Restaurant,,324 HWY-7 E,Richmond Hill,ON,L4B 1A6,Canada,Ray,Cragel,Proprietor,Owner,,,,,(905) 886-2313,1,,Chinese,$$,,,
,57482,20fb27d6de16b794,Diao Si Teng Jiao Ma La Tang DIAOSI MALATANG,Restaurant,,9390 Woodbine Ave,Markham,ON,L6C 0M5,Canada,,,,,,,,,(647) 360-0998,0,,Chinese,$$,DoorDash; Uber Eats,,
,57483,183c57029f5c4e6c,My Chinese Dish,Restaurant,,3480 Fairview St,Burlington,ON,L7N 2R5,Canada,,,,,mychinesedish@gmail.com,,,,(905) 681-9820,0,mychinesedish@gmail.com,Chinese,$,DoorDash; Skip the Dishes; Uber Eats,,
,57484,20f64af39ac3b506,South Silk Road,Restaurant,,7260 Westminster Hwy,Richmond,BC,V6X 1A1,Canada,,,,,,,,,(778) 297-6000,0,,Chinese,$$,Ecwid; Skip the Dishes; TouchBistro Dine; TouchBistro Reservations; Uber Eats; Wix Restaurants,Wix Restaurants,Ecwid
,57485,15d0f50abd6ed984,Valendine,Restaurant,,1055 W Georgia St,Vancouver,BC,V6E 0B6,Canada,,,,,,,,,(604) 336-9765,0,,Chinese,,Qooway; Ritual; Uber Eats; Weebly,Qooway,
,57486,21196ca9a0223b83,Ming Asian Kitchen,Restaurant,,5220 4 St NE,Calgary,AB,T2K 5X4,Canada,,,,,,,,,(587) 619-3272,0,,Chinese; Thai,$$,Skip the Dishes; Uber Eats,,
,57487,16d16f95ebd708c5,Qualicum Sushi,Restaurant,,133 2nd Ave W,Qualicum Beach,BC,V9K 2R8,Canada,Johnson,Chen,Partner,Owner,,,,,(250) 752-5199,1,,Japanese,$$,Stripe; WooCommerce,,
,57488,130abb830d1e63d7,China China Palace,Restaurant,,1125 Bloor St,Mississauga,ON,L4Y 2N6,Canada,Jennifer,Huang,Proprietor,Owner,,,,,(905) 897-7888,1,,Chinese,$,DoorDash; Skip the Dishes; Uber Eats,,
,57489,0f479db247831ecf,Sushi & Thai,Restaurant,,117 Carry Dr SE,Medicine Hat,AB,T1B 3M6,Canada,,,,,,,,,(403) 487-2889,0,,Japanese; Thai,$$,Google Analytics; Skip the Dishes,,
,57490,136b4da7974377b7,Yoko Sushi,Restaurant,,1001 Austin Ave,Coquitlam,BC,V3K 3N9,Canada,Soon,Fong,Proprietor,Owner,,,,,(778) 355-8285,1,,Japanese,$$,GoDaddy Sites,,
,57491,11e2ad209211c7fc,Canton Chinese Food,Restaurant,,40 Elm St,Greater Sudbury,ON,P3C 1S8,Canada,Charles,Chiu,Proprietor,Owner,,,,,(705) 560-0592,1,,Chinese,$,,,
,57492,15e816fc02f04b4b,Ming Court Restaurant & Bar,Eatertainment; Restaurant,,236 Edmonton St,Winnipeg,MB,R3C 1R7,Canada,Tom,Yung,President and Member of the Board of Directors,Owner,,,1979,,(204) 949-1087,1,mingcourt7215@gmail.com,Chinese,$$,DoorDash; SinglePlatform; Skip the Dishes; Uber Eats; Wix Restaurants,Wix Restaurants,
,57493,1b46e05bb6d3a2f7,Tumi Dumpling House,Restaurant,,2904 Dundas St W,Toronto,ON,M6P 1Y8,Canada,,,,,,,,,(416) 532-8762,0,,Chinese,$,DoorDash; FoodBooking; Skip the Dishes; Uber Eats; Wix Restaurants,FoodBooking; Wix Restaurants,
,57494,18f0dc5818d7b9a1,Le Lai,Restaurant,,17 McCain St,Florenceville-Bristol,NB,E7L 3H5,Canada,Lenvan,Thanh,Proprietor,Owner,,,,,(506) 392-5397,1,,Chinese,$,,,
,57495,182f2d0b5fbf76ba,Genki Sushi Noodle,Restaurant,,13504 Tecumseh Rd,Tecumseh,ON,N8N 3N7,Canada,,,,,genkisushifinance@gmail.com,,,,(519) 979-8988,0,info@genkisushi.ca,Japanese; Chinese,$$,Clover POS; DoorDash; Google Analytics; Skip the Dishes; Uber Eats,,Clover POS
,57496,15009467d0a3e0d2,Grand Chinese Yaletown,Restaurant,,1233 Hamilton St,Vancouver,BC,V6B 6K3,Canada,,,,,info@grandchineserestaurant.com,,,,(604) 681-8288,0,info@grandchineseyaletown.ca,Chinese,$,Google Analytics; Ritual; Skip the Dishes; Uber Eats,,
,57497,17b5f720c7a82ba8,Pomegranate Restaurant,Restaurant,,7816 Wyandotte St E,Windsor,ON,N8S 1S9,Canada,Jack,E,Business Owner,Owner,,,1972,,(519) 945-2379,2,,Chinese,$$,Google Analytics; YellowPages.ca,,
,57498,10aa9dd0a1963577,Rollstar Sushi,Restaurant,,946 Yonge St,Toronto,ON,M4W 2J2,Canada,,,,,,,,,(416) 968-2019,0,,Canadian; Japanese,$$,DoorDash; Ritual; Skip the Dishes; Uber Eats,,
,57499,12c8e253a39c9c50,Mimi's Restaurant,Restaurant,,1624 Mayor Magrath Dr S,Lethbridge,AB,T1K 2R5,Canada,,,,,,,,,(403) 381-3366,0,,Chinese,$,,,
,57500,1e0f119861c2c955,Langham King Restaurant,Restaurant,,236 Main St E,Langham,SK,S0K 2L0,Canada,Ealnor,Luby,Proprietor,Owner,,,,,(306) 283-2868,1,,Chinese,,,,
,57501,0fe1fc223a222107,Ting's Kitchen,Restaurant,,701 Eagleson Rd,Ottawa,ON,K2M 2G1,Canada,,,,,,,,,(613) 592-7888,0,,Chinese; Thai,$,Facebook Pixel; Google Analytics; Menu.ca; Skip the Dishes; Uber Eats,Menu.ca,
,57502,10a3277736a48b9e,Golden Jade Restaurant,Restaurant,,820 Denison St,Markham,ON,L3R 3K5,Canada,,,,,,,,,(905) 947-8282,0,,Chinese,$$,Uber Eats,,
,57503,0febfb54db96b005,EJ Sushi,Restaurant,,368 Queen St E,Toronto,ON,M5A 1T1,Canada,Ej,King,President and Member of the Board of Directors,Owner,,,,,(416) 901-0222,1,,Japanese,$$,,,
,57504,13adba2906c12ee8,Peking House,Restaurant,,1850 Rose St,Regina,SK,S4P 3Y9,Canada,Steve Nguy,Quach,President and Member of the Board of Directors,Owner,,,,,(306) 757-3038,3,,Chinese,$$,Google Analytics; WooCommerce,,
,57505,0ee228221fa2bb21,Mean Bao,Restaurant,,165 Bathurst St,Toronto,ON,M5V 3C2,Canada,,,,,,,,,     ,0,,Chinese,,Skip the Dishes,,
,57506,1d1ac68bc19ec1cc,Silver Dragon,Restaurant,,109 Spray Ave,Banff,AB,T1L 1J9,Canada,,,,,,,1988,,(403) 762-3939,0,,Chinese,$$,Wix Restaurants; YellowPages.ca,Wix Restaurants,
,57507,10d625bb0072879c,Chobap Korean&Japanese Takeout,Restaurant,,1050 Paramount Dr,Hamilton,ON,L8J 1P8,Canada,,,,,,,,,(905) 560-2326,0,,Japanese,,Skip the Dishes; Uber Eats,,
,57508,1d1f68825f7ada48,Ta-Ke Sushi,Restaurant,,38 King St,Saint John,NB,E2L 1G3,Canada,Qiulei,Cai,General Manager,Operations,,,,,(506) 640-3773,1,,Japanese,$$,Shopify,Shopify,
,57509,2b2abddb30b9b57d,Indian Bay Leaf,Restaurant,,4890 Victoria Dr,Vancouver,BC,V5N 4P5,Canada,,,,,,,,,(604) 428-8700,0,,Indian; Chinese,$$,DI develop; DoorDash; Uber Eats,DI develop,
,57510,2dec3d8781b9d266,Han Korea & BBQ,Restaurant,,5885 Vedder Rd,Chilliwack,BC,V2R 1C3,Canada,,,,,,,,,     ,0,,Korean; Japanese; Chinese,,Skip the Dishes,,
,57511,2f78581530834b0a,Tangra Villa,Restaurant,,411 Manhattan Dr,Markham,ON,L3P 7P4,Canada,,,,,tvillarestaurant@hotmail.com,,,,(905) 604-6989,0,tvillarestaurant@hotmail.com,Chinese,$,DoorDash; Uber Eats,,
,57512,31ca6d94bb134549,Jukai Japanese & Thai,Restaurant,,49 Kings Wharf Pl,Halifax,NS,B2Y 0C7,Canada,,,,,,,,,(902) 405-5551,0,,Japanese,$$,Mrsdigi; Wix Restaurants,Mrsdigi; Wix Restaurants,Mrsdigi
,57513,2d5927dc0e7d6b35,Mr. Tian Restaurant,Restaurant,,75 Dalhousie St,Brantford,ON,N3T 2J1,Canada,,,,,,,,,(519) 753-9088,0,,Chinese,$,Uber Eats,,
,57514,2fa047f28ace7317,Dragon Rolls,Restaurant,,1105 Kingston Rd,Pickering,ON,L1V 1B5,Canada,Ricky,Lin,Proprietor,Owner,,,,,(905) 839-9888,1,,Japanese; Thai,$$,Skip the Dishes; Uber Eats,,
,57515,286df5019dff9706,China Village,Restaurant; Quick Service,,13124 66 St NW,Edmonton,AB,T5C 0B1,Canada,,,,,,,1980,,(780) 476-4727,0,,Chinese,$$,Google Analytics,,
,57516,22e7baf301556512,Togo Sushi,Restaurant; Quick Service,,3380 Shrum Ln,Vancouver,BC,V6S 0B9,Canada,Taetim,Ta,Proprietor,Owner,,,,,(604) 222-9288,1,,Japanese,$,Skip the Dishes,,
,57517,344c10af551a83b2,Hooters,Restaurant,,5100 Lakeview Rd,Boyle,AB,T0A 0M0,Canada,Doyoung,Kim,Proprietor,Owner,,,,,(780) 689-2622,1,,Chinese,$$,,,
,57518,3476a31e0f4ed235,Misato's Kitchen,Restaurant,,1607 Ellis St,Kelowna,BC,V1Y 2A8,Canada,Helen,Chan,Proprietor,Owner,,,,,(778) 478-2585,2,,Japanese,$$,Skip the Dishes; Uber Eats,,
,57519,33af5e3df6c1bad8,Di Bao Ming Yan NKS Banquet Hall,Restaurant,,8360 Kennedy Rd,Markham,ON,L3R 9W4,Canada,,,,,,,,,(905) 948-8668,0,,Chinese,$$,Google Analytics,,
,57520,30bd97f167a335b6,Ajiya Sushi,Restaurant,,1822 W 4th Ave,Vancouver,BC,V6J 1M3,Canada,William,Yao,President,General,,,,,(604) 737-3999,1,,American; Japanese,$,BC Restaurants; DoorDash; Skip the Dishes; Uber Eats,,
,57521,292f98f252e721c9,Ka Wor Yuen BBQ,Restaurant,,3290 Midland Ave,Toronto,ON,M1V 3Z9,Canada,,,,,kaworyuenbbq@hotmail.com,,,,(416) 335-4031,0,kaworyuenbbq@hotmail.com,Japanese; Chinese,$$,DoorDash,,
,57522,280820b2ae2cc416,Szechuan Fish Bu Er Suan Cai Yu | Jiang Gu Tou Fan,Restaurant,,24 Wellesley St W,Toronto,ON,M4Y 2X6,Canada,,,,,,,,,(416) 551-5529,0,,Chinese,$,Uber Eats,,
,57523,2495cba62399af02,Sushi Inn,Restaurant; Ice Cream Shop,,3772 W 10th Ave,Vancouver,BC,V6R 2G4,Canada,,,,,sushiinn3772@gmail.com,,2011,,(604) 739-3818,0,sushiinn3772@gmail.com,Canadian; Japanese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Skip the Dishes; Uber Eats,GlobalFood; Oracle GloriaFood,
