,,Total ARR,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,Comments,,,,
R81018,FT,"37,124","35,843","33,498","33,805","31,099","33,844","34,806","35,685","38,983","34,923","38,932","37,640","34,194","-3,446",-3%,,,"33,665","32,394","30,856","31,035","28,005","30,928","31,927","32,200","35,741","32,468","35,836","34,466","31,607",,"3,459","3,449","2,642","2,770","3,094","2,916","2,879","3,485","3,242","2,455","3,096","3,174","2,587",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81022,R81022
R81019,FT,"49,446","52,880","50,611","49,910","41,385","52,503","51,459","54,979","49,735","54,055","53,774","53,830","62,411","8,581",0%,,,"43,842","46,793","45,806","45,122","36,325","47,668","46,602","50,108","44,487","47,879","48,662","48,478","56,753",,"5,604","6,087","4,805","4,788","5,060","4,835","4,857","4,871","5,248","6,176","5,112","5,352","5,658",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81023,R81023
R81021,FT,0,"25,447","18,754","17,838","18,240","15,045","14,168","15,142","15,489","13,290","13,814","11,809","13,598","1,789",-15%,,,0,"25,447","18,754","17,838","18,240","15,045","14,168","15,142","15,489","13,290","13,814","11,809","13,598",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81026,R81026
R81022,FT,"32,432","22,493","24,707","20,566","27,764","24,663","31,033","30,163","25,778","27,752","31,764","32,927","29,414","-3,513",4%,,,"32,432","22,493","24,707","20,566","27,764","24,663","31,033","30,163","25,778","27,752","31,764","32,927","29,414",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81028,R81028
R81023,FT,"9,351","7,452","6,812","6,044","8,238","6,557","6,118","7,215","7,060","5,068","4,612","5,013","5,073",60,9%,,,"9,351","7,452","6,812","6,044","8,238","6,557","6,118","7,215","7,060","5,068","4,612","5,013","5,073",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81029,R81029
R81026,FT,"47,842","43,518","44,210","43,319","35,502","34,772","38,361","39,439","35,254","36,813","39,268","37,767","36,947",-820,-4%,,,"47,842","41,210","41,248","39,861","32,465","32,011","35,407","36,459","32,269","33,555","36,455","34,827","33,993",,0,"2,308","2,962","3,458","3,037","2,761","2,954","2,980","2,985","3,258","2,813","2,940","2,954",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81031,R81031
R81028,FT,"54,508","62,431","61,224","62,589","56,308","66,258","60,198","64,815","54,089","64,113","64,443","60,515","55,830","-4,685",-6%,,,"49,815","56,913","56,127","56,117","50,491","60,160","54,373","58,406","48,367","56,003","58,450","54,144","50,134",,"4,693","5,518","5,097","6,472","5,817","5,978","5,825","6,409","5,722","8,110","5,993","6,371","5,696",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81033,R81033
R81029,FT,"35,851","30,843","29,739","32,751","35,499","32,755","33,514","35,491","38,089","33,284","32,784","36,233","33,641","-2,592",11%,,,"35,851","30,843","29,739","32,751","35,499","32,755","33,514","35,491","38,089","33,284","32,784","36,233","33,641",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81035,R81035
R81031,FT,"22,685","33,895","38,137","25,611","22,149","28,790","36,333","28,555","23,826","30,835","33,308","27,948","23,701","-4,247",-16%,,,"20,172","30,283","33,883","22,746","19,413","25,955","32,886","25,467","21,222","26,990","29,730","24,254","20,502",,"2,513","3,612","4,254","2,865","2,736","2,835","3,447","3,088","2,604","3,845","3,578","3,694","3,199",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81037,R81037
R81033,FT,"26,305","38,655","39,554","44,906","42,782","57,308","66,774","61,990","52,728","62,376","57,634","61,720","60,786",-934,7%,,,"24,108","36,695","36,992","41,441","38,381","52,217","59,868","55,069","47,110","55,162","51,122","54,753","54,491",,"2,197","1,960","2,562","3,465","4,401","5,091","6,906","6,921","5,618","7,214","6,512","6,967","6,295",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81051,R81051
R81035,FT,"19,257","19,440","20,616","20,845","16,799","20,345","20,573","18,237","17,656","18,372","18,563","19,589","17,562","-2,027",6%,,,"19,257","19,440","20,616","20,845","16,799","20,345","20,573","18,237","17,656","18,372","18,563","19,589","17,562",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81052,R81052
R81037,FT,"36,247","30,043","32,940","30,128","31,129","31,030","30,542","29,640","26,236","29,874","31,299","29,967","29,955",-12,-4%,,,"36,247","30,043","32,940","30,128","31,129","31,030","30,542","29,640","26,236","29,874","31,299","29,967","29,955",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81053,R81053
R81051,FT,"24,055","23,968","22,720","20,110","21,283","21,353","20,212","24,462","21,117","23,499","26,679","18,523",0,"-18,523",-31%,,,"22,241","22,078","20,651","17,882","18,962","19,067","16,636","20,791","18,043","19,085","23,451","15,194",0,,"1,814","1,890","2,069","2,228","2,321","2,286","3,576","3,671","3,074","4,414","3,228","3,329",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Usage stopped in the first week of May 2024.  Client communicated a 2 month pause with a return in August.  Decision to reduce ARR since pause is longer than 2 months,R81055,R81055
R81052,FT,"26,217","39,666","37,780","36,941","30,103","37,077","37,240","38,312","34,576","38,386","38,915","38,057","34,998","-3,059",-2%,,,"26,217","39,666","37,780","36,941","30,103","37,077","37,240","38,312","34,576","38,386","38,915","38,057","34,998",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81057,R81057
R81053,FT,"66,539","70,493","54,895","55,803","57,647","58,068","53,690","56,881","55,083","57,543",653,648,648,0,-1%,,,"58,395","62,115","49,056","49,596","50,135","51,354","48,234","49,687","48,545","50,858",653,648,648,,"8,144","8,378","5,839","6,207","7,512","6,714","5,456","7,194","6,538","6,685",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81058,R81058
R81055,FT,0,0,0,0,0,"23,893","28,137","28,868","24,336","24,803","25,633","25,583","22,299","-3,284",0%,,,0,0,0,0,0,"23,893","28,137","28,868","24,336","24,803","25,633","25,583","22,299",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81061,R81061
R81057,FT,"29,732","23,211","22,809","24,054","27,802","21,998","24,265","22,305","34,898","21,067","23,082","21,723","20,742",-981,-6%,,,"29,732","23,211","22,809","24,054","27,802","21,998","24,265","22,305","34,898","21,067","23,082","21,723","20,742",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81063,R81063
R81058,FT,"28,448","25,453","21,899","22,266","21,171","21,426","19,634","19,141","16,969","17,412","17,530","16,773","17,034",261,-4%,,,"25,230","22,246","19,476","19,715","18,333","19,101","17,535","17,365","15,072","15,668","15,683","15,238","15,656",,"3,218","3,207","2,423","2,551","2,838","2,205","2,099","1,776","1,897","1,744","1,847","1,535","1,378",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81065,R81065
R81061,FT,"9,102","9,647","6,593","5,857",0,0,0,0,"5,134",0,0,0,0,0,,,,"7,056","7,793","5,295","4,820",0,0,0,0,"5,134",0,0,0,0,,"2,046","1,854","1,298","1,037",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81067,R81067
R81063,FT,"26,473","23,545","24,477","25,727","26,095","24,971","27,618","22,994","26,170","23,117","23,847","24,119","28,202","4,083",1%,,,"26,473","23,545","24,477","25,727","26,095","24,971","27,618","22,994","26,170","23,117","23,847","24,119","28,202",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81068,R81068
R81065,FT,"29,506","31,873","30,776","46,560","40,576","46,517","44,768","47,564","49,175","40,464","42,162","43,296","41,847","-1,449",3%,,,"29,506","31,873","30,776","46,560","40,576","46,517","44,768","47,564","49,175","40,464","42,162","43,296","41,847",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81072,R81072
R81067,FT,"7,091","6,561","4,561","4,887","5,053","5,273","4,468","3,284",0,0,0,0,0,0,,,,"7,091","6,561","4,561","4,887","5,053","5,273","4,468","3,284",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81073,R81073
R81068,FT,"25,716","28,567","26,818","28,809","31,474","33,087","39,084","37,549","37,184","39,006","40,343","38,810","38,307",-503,-4%,,,"22,721","25,024","23,540","25,159","27,158","29,328","32,397","33,416","32,142","34,513","36,051","34,553","34,560",,"2,995","3,543","3,278","3,650","4,316","3,759","6,687","4,133","5,042","4,493","4,292","4,257","3,747",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81075,R81075
R81072,FT,"15,021","18,713","16,573","16,128","14,269","19,111","18,443","16,498","15,168","17,078","15,003","16,213","15,927",-286,8%,,,"13,256","16,759","15,154","14,787","12,740","17,240","16,867","15,012","13,689","15,522","13,633","15,022","14,541",,"1,765","1,954","1,419","1,341","1,529","1,871","1,576","1,486","1,479","1,556","1,370","1,191","1,386",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81076,R81076
R81073,FT,"14,089","17,172","16,075","13,675","13,648","14,275","14,841","15,273","12,611","13,620","12,476","9,304","12,751","3,447",-25%,,,"14,089","14,474","13,535","11,213","10,404","11,605","12,102","11,924","9,782","10,735","9,969","7,492","11,108",,0,"2,698","2,540","2,462","3,244","2,670","2,739","3,349","2,829","2,885","2,507","1,812","1,643",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81081,R81081
R81075,FT,"15,928","8,600","7,101","8,780","10,225","8,732","7,667","10,141","17,040","10,186","9,344","8,425","10,231","1,806",-10%,,,"15,636","8,398","6,891","8,713","10,095","8,732","7,667","10,141","16,313","9,546","8,802","8,053","9,592",,292,202,210,67,130,0,0,0,515,514,390,276,613,,0,0,0,0,0,0,0,0,212,126,152,96,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81082,R81082
R81076,FT,"32,517","36,138","32,645","32,578","30,163","33,872","33,679","32,036","32,493","28,756","30,550","30,862","29,371","-1,491",1%,,,"32,517","36,138","32,645","32,578","30,163","33,752","33,679","32,036","32,493","28,756","30,550","30,862","29,371",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81086,R81086
R81081,FT,"29,980","21,714","20,715","27,625","33,315","20,521","22,131","19,549","21,272","15,570","18,303","17,322","19,751","2,429",-5%,,,"29,980","21,714","20,715","27,625","33,315","20,521","22,131","19,549","21,272","15,570","18,303","17,322","19,751",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81087,R81087
R81082,FT,"14,505","16,382","13,985","14,218","12,012","13,903",0,0,0,0,0,0,0,0,,,,"14,505","16,382","13,985","14,218","12,012","13,903",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81088,R81088
R81086,PT,"15,047","13,286","13,772","13,763","14,260","11,577","12,861","14,392","12,742",0,0,0,0,0,,,,"15,047","13,286","13,772","13,763","14,260","11,577","12,861","14,392","12,742",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81091,R81091
R81087,PT,"37,310","38,386","39,254","39,198","34,729","39,137","44,951","38,558","17,601","15,908","17,900","19,749","5,208","-14,541",10%,,,"37,310","38,386","39,254","39,198","34,729","39,137","44,951","38,558","17,601","15,908","17,900","19,749","5,208",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81095,R81095
R81088,FT,"33,116","33,119","35,816","33,674","39,542","36,265","41,668","36,444","38,374","41,032","45,599","45,784","40,545","-5,239",0%,,,"33,116","33,119","33,892","29,699","26,825","26,786","29,697","25,192","26,769","28,177","32,258","32,759","28,375",,0,0,"1,924","3,975","12,717","9,479","11,971","11,252","11,605","12,855","13,341","13,025","12,170",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81096,R81096
R81091,FT,"12,148","11,636","11,579","13,231","13,602","12,780","13,074","12,867","13,324","13,294",0,"11,398","11,568",170,,Aug'24 Reactivate,,"12,148","11,636","11,579","13,231","13,602","12,780","13,074","12,867","13,324","13,294",0,"11,398","11,568",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81098,R81098
R81095,FT,"42,091","57,561","62,856","58,610","48,994","61,472","59,806","64,661","58,284","66,145","57,232","57,732","53,812","-3,920",1%,,,"42,091","50,071","54,270","50,288","39,872","52,146","49,992","53,897","48,650","54,162","51,323","51,932","45,604",,0,"7,490","8,586","8,322","9,122","9,326","9,814","10,764","9,634","11,983","5,909","5,800","8,208",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81099,R81099
R81096,FT,"45,916","54,767","52,855","48,448","38,353","43,491","40,950","40,359","33,471","36,912","34,670","30,780","30,775",-5,-11%,,,"45,916","54,767","52,855","48,448","38,353","43,371","40,950","40,359","33,471","36,912","34,670","30,780","30,775",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81101,R81101
R81098,FT,"17,313","13,942","15,066","14,202","16,288","12,879","12,811","13,582","15,677","9,958","10,654","10,362","10,067",-295,-3%,,,"17,313","13,942","15,066","14,202","16,288","12,879","12,811","13,582","15,677","9,958","10,654","10,362","10,067",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81103,R81103
R81099,PT,"10,720","5,177","4,869","3,632","9,865","4,570","2,400","4,031","5,812",0,0,0,0,0,,,,"10,720","5,177","4,869","3,632","9,865","4,570","2,400","4,031","5,812",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81107,R81107
R81101,FT,"14,996","14,394","14,165","14,121","14,236","13,373","13,138","14,085","12,817","13,024","11,341","11,437","12,064",627,1%,,,"14,996","14,394","11,776","12,209","12,029","11,910","11,714","12,355","11,333","11,492","10,313","10,572","10,819",,0,0,"2,389","1,912","2,207","1,463","1,424","1,730","1,484","1,532","1,028",865,"1,245",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81109,R81109
R81103,FT,"16,173","20,254","14,353","17,887","13,708","17,229","17,537","17,001","14,339","16,630","14,045","1,543,863","16,517","-1,527,346",10892%,,,"16,173","20,254","14,353","17,887","13,708","17,229","17,537","17,001","14,339","16,630","14,045","1,543,863","16,517",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81112,R81112
R81107,FT,"30,542","23,986","21,689","23,083","27,960","23,236","22,947","24,114","36,410","26,109","24,612","24,069","25,010",941,-2%,,,"30,542","23,986","21,689","23,083","27,960","23,236","22,947","24,114","36,410","26,109","24,612","24,069","25,010",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81116,R81116
R81109,FT,"27,269","28,548","23,435","23,915","23,112","24,500","23,209","24,194","31,569","25,117","24,485","22,178","24,920","2,742",-9%,,,"27,269","28,548","23,435","23,915","23,112","24,500","23,209","24,194","31,569","25,117","24,485","22,178","24,920",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81117,R81117
R81112,FT,"32,224","28,396","21,873","24,509","26,806","24,176","23,632","28,139","23,519","22,921","23,818","24,287","27,232","2,945",2%,,,"32,224","28,396","21,873","24,509","26,806","24,176","23,632","28,139","23,519","22,921","23,818","24,287","27,232",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81118,R81118
R81116,FT,"20,921","20,214","19,074","19,448","18,907","18,963","19,438","19,344","23,095","20,183","17,164","20,796","19,507","-1,289",21%,,,"20,921","20,214","19,074","19,448","18,907","18,963","19,438","19,344","23,095","20,183","17,164","20,796","19,507",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81119,R81119
R81117,FT,0,"1,288","4,742","3,767","3,221","3,737","4,219","2,374","3,085","4,172","3,306","3,061",648,"-2,413",-7%,,,0,"1,288","4,742","3,767","3,221","3,737","4,219","2,374","3,085","4,172","3,306","3,061",648,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81121,R81121
R81118,FT,"16,381","7,629",0,0,0,"5,530","4,027",0,0,0,0,0,0,0,,,,"14,683","7,629",0,0,0,"5,530","4,027",0,0,0,0,0,0,,"1,698",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81122,R81122
R81119,FT,"9,390","8,342","7,392","7,526","9,324","8,935","9,186","8,828","7,855","6,616","6,669","6,256",0,"-6,256",-6%,,,"9,390","8,342","7,392","7,526","9,324","8,935","9,186","8,828","7,855","6,616","6,669","6,256",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Suspended VP services since March the first Date;Said will comeback in April but didn't come back, still using WP services",,R81125,R81125
R81121,FT,"30,089","31,198","35,365","35,768","28,472","29,770","34,892","35,569","40,873","30,465","34,267","33,851","33,813",-38,-1%,,,"30,089","29,132","32,547","32,857","26,143","27,738","32,389","33,118","38,594","28,196","31,784","31,409","31,044",,0,"2,066","2,818","2,911","2,329","2,032","2,503","2,451","2,279","2,269","2,483","2,442","2,769",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81127,R81127
R81122,FT,"8,288","8,071","7,658","10,593","9,567","9,234","9,456","10,208","10,610","2,291","1,453","1,971","1,608",-363,36%,,,"8,288","8,071","7,658","7,267","6,391","6,549","6,659","7,174","7,431",0,0,0,0,,0,0,0,"3,326","3,176","2,685","2,797","3,034","3,179","2,291","1,453","1,971","1,608",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81128,R81128
R81125,FT,"37,828","27,947","27,189","27,887","32,424","27,249","26,924","28,754","41,920","25,409","23,407",0,0,0,-100%,,,"37,828","27,947","27,189","27,887","32,424","27,129","26,924","28,754","41,920","25,409","23,407",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81132,R81132
R81127,FT,"32,528","36,433","33,781","33,686","31,905","34,192","32,738","37,377","31,951","35,430","30,657","32,687","30,206","-2,481",7%,,,"29,952","33,485","31,403","31,306","29,048","31,527","30,351","34,517","29,441","31,904","30,657","32,687","30,206",,"2,576","2,948","2,378","2,380","2,857","2,665","2,387","2,860","2,510","3,526",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81133,R81133
R81128,PT,710,"8,548","12,295","13,651","25,267","11,289","4,243","10,761","7,659","8,508","11,833","12,580","11,602",-978,6%,,,77,"8,548","12,295","13,651","25,267","11,289","4,243","10,761","7,659","8,508","11,833","12,580","11,602",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,632,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81135,R81135
