Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status
R81033,"52,484","633,096",8.29%,,R81021,0,0,"14,523",,R81075,389,,R81207,"1,382",,R86601,Reactivate
R81035,"19,759","247,292",7.99%,,R81022,0,0,"31,991",,R81088,"14,307",,R81211,214,,R86622,Reactivate
R81037,"30,844","441,253",6.99%,,R81023,0,0,"4,297",,R81095,"5,078",,R81232,"1,009",,R86652,Reactivate
R81051,"17,050","218,865",7.79%,,R81025,0,0,0,,R81101,879,,R81238,421,,R87015,Reactivate
R81052,"36,804","428,449",8.59%,,R81026,0,0,"38,886",,R81121,"1,970",,R81251,79,,R87181,Reactivate
R81053,0,0,7.59%,,R81027,0,0,0,,R81122,"2,195",,R81255,228,,R87038,New
R81055,"26,053","303,296",8.59%,,R81028,10,0,"57,524",,R81132,"1,139",,R81308,132,,R87302,New
R81057,"22,155","316,951",6.99%,,R81029,0,0,"35,814",,R81133,"1,935",,R81318,228,,R87376,New
R81058,"18,435","236,645",7.79%,,R81031,0,0,"32,410",,R81135,932,,R81333,491,,R87556,New
R81061,0,0,6.99%,,R81032,0,0,0,,R81161,"3,195",,R81379,243,,R87372,New
R81063,"22,388","320,292",6.99%,,R81033,0,0,"54,177",,R81166,"7,779",,R81509,10,,R87396,New
R81065,"42,450","607,302",6.99%,,R81035,0,0,"20,396",,R81167,"4,748",,R81585,"2,203",,R87501,New
R81067,0,0,6.99%,,R81036,0,0,0,,R81171,"2,623",,R81625,151,,R87515,New
R81068,"33,202","415,543",7.99%,,R81037,0,0,"31,839",,R81177,"2,754",,R81626,537,,R87516,New
R81072,"15,233","190,415",8.00%,,R81038,0,0,0,,R81178,829,,R81639,407,,R87532,New
R81073,"8,686","108,570",8.00%,,R81039,0,0,0,,R81183,"2,713",,R81673,"1,049",,R87557,New
R81075,"9,448","135,166",6.99%,,R81051,0,0,"17,600",,R81186,27,,R81679,110,,R87286,New
R81076,"31,492","399,138",7.89%,,R81052,0,0,"37,991",,R81188,"1,064",,R81683,179,,R87375,New
R81081,"17,736","253,734",6.99%,,R81053,54,0,648,,R81195,651,,R81687,"1,476",,R87381,New
R81082,0,0,7.89%,,R81055,0,0,"26,893",,R81201,211,,R81689,329,,R87386,New
R81086,0,0,7.59%,,R81056,0,0,0,,R81202,785,,R81715,887,,R87398,New
R81087,"14,373","189,363",7.59%,,R81057,0,0,"22,870",,R81203,"9,602",,R81716,405,,R87519,New
R81088,"35,091","444,756",7.89%,,R81058,10,0,"19,150",,R81207,"2,027",,R81726,550,,R87527,New
R81091,0,0,6.99%,,R81059,0,0,0,,R81211,16,,R81805,"1,502",,R87552,New
R81095,"49,672","606,501",8.19%,,R81061,0,0,0,,R81225,"3,833",,R81811,348,,R87369,New
R81096,"31,591","367,767",8.59%,,R81062,0,0,0,,R81226,87,,R81812,276,,R87393,New
R81098,"9,981","142,796",6.99%,,R81063,0,0,"23,110",,R81232,"1,450",,R81835,685,,R87382,New
R81099,0,0,6.99%,,R81065,0,0,"43,819",,R81238,754,,R81861,243,,R87523,New
R81101,"9,385","123,655",7.59%,,R81066,0,0,0,,R81251,182,,R81863,286,,R87318,New
R81103,"12,601","157,514",8.00%,,R81067,0,0,0,,R81255,610,,R81912,90,,R87368,New
R81107,"31,991","457,669",6.99%,,R81068,0,0,"34,273",,R81269,"2,840",,R81918,340,,R87378,New
R81109,"25,434","318,328",7.99%,,R81069,0,0,0,,R81278,"2,061",,R81963,"2,844",,R87383,New
R81112,"21,200","303,295",6.99%,,R81071,0,0,0,,R81285,"6,920",,R81969,24,,R87389,New
R81116,"22,741","325,338",6.99%,,R81072,0,0,"15,724",,R81286,93,,R81972,727,,R87397,New
R81117,"4,250","60,807",6.99%,,R81073,0,0,"8,966",,R81287,"3,163",,R82011,101,,R87505,New
R81118,0,0,6.99%,,R81075,0,0,"9,753",,R81288,"1,024",,R82022,644,,R87511,New
R81119,"6,135","87,768",6.99%,,R81076,10,0,"32,628",,R81297,937,,R82031,947,,R87513,New
R81121,"27,753","365,655",7.59%,,R81077,0,0,0,,R81308,428,,R82055,6,,R87525,New
R81122,0,0,8.00%,,R81078,0,0,0,,R81309,"1,586",,R82083,"1,139",,R87537,New
R81125,"22,952","328,357",6.99%,,R81081,0,0,"18,308",,R81315,954,,R82201,399,,R87332,New
R81127,"31,989","400,357",7.99%,,R81082,0,0,0,,R81318,"7,876",,R82335,"2,885",,R87388,New
R81128,0,0,6.99%,,R81083,0,0,0,,R81323,"13,772",,R82336,804,,R87399,New
R81132,"28,638","377,314",7.59%,,R81085,0,0,0,,R81333,"1,489",,R82352,248,,R87508,New
R81133,"19,652","228,783",8.59%,,R81086,0,0,0,,R81353,"6,275",,R82366,"1,076",,R86663,New
R81135,"14,961","187,007",8.00%,,R81087,200,0,"17,237",,R81357,354,,R82368,563,,R87528,New
R81136,0,0,7.59%,,R81088,0,0,"36,223",,R81358,"2,220",,R82377,548,,R87321,New
R81139,0,0,6.99%,,R81089,0,0,0,,R81371,"3,837",,R82385,751,,R87367,New
R81151,"26,507","379,216",6.99%,,R81091,0,0,0,,R81373,"3,745",,R82512,219,,R87371,New
R81152,0,0,6.99%,,R81092,0,0,0,,R81379,552,,R82561,"2,842",,R87391,New
R81155,"18,496","264,613",6.99%,,R81093,0,0,0,,R81383,"2,995",,R82566,279,,R87503,New
R81157,"7,968","113,996",6.99%,,R81095,0,0,"51,274",,R81392,"1,899",,R82619,474,,R87507,New
R81158,"12,217","174,785",6.99%,,R81096,10,0,"32,730",,R81393,"4,545",,R82695,878,,R87522,New
R81159,"4,292","61,399",6.99%,,R81097,0,0,0,,R81395,"1,795",,R82708,182,,R87535,New
R81161,"41,769","486,247",8.59%,,R81098,0,0,"10,303",,R81396,"4,129",,R82716,570,,R87551,New
R81162,"9,152","130,930",6.99%,,R81099,0,0,0,,R81501,"3,705",,R82727,658,,R87359,New
R81163,0,0,6.99%,,R81101,0,0,"9,688",,R81507,"3,766",,R82758,13,,R87365,New
R81166,"5,725","81,901",6.99%,,R81102,0,0,0,,R81509,339,,R82782,954,,R87373,New
R81167,"30,621","388,096",7.89%,,R81103,0,0,"13,007",,R81531,"2,855",,R82882,220,,R87377,New
R81168,"5,980","85,556",6.99%,,R81105,0,0,0,,R81535,"2,689",,R82889,250,,R87379,New
R81169,0,0,7.89%,,R81106,0,0,0,,R81555,"2,591",,R82927,553,,R87387,New
R81171,"19,632","258,659",7.59%,,R81107,0,0,"33,023",,R81586,"1,798",,R82977,270,,R87518,New
R81172,"16,870","241,344",6.99%,,R81108,0,0,0,,R81589,"4,406",,R82997,364,,R87521,New
R81177,"18,881","236,303",7.99%,,R81109,0,0,"26,254",,R81592,"2,220",,R83006,254,,R87531,New
R81178,"15,747","225,283",6.99%,,R81112,0,0,"21,884",,R81596,"1,571",,R83015,174,,R87385,New
R81181,"12,955","185,336",6.99%,,R81113,0,0,0,,R81612,"1,285",,R83027,46,,R87512,New
R81182,"29,820","426,603",6.99%,,R81115,0,0,0,,R81626,"1,267",,R83093,204,,R87539,New
R81183,"19,460","256,388",7.59%,,R81116,2,0,"23,499",,R81636,"3,458",,R83116,490,,R87529,New
R81185,0,0,7.99%,,R81117,0,0,"4,387",,R81639,802,,R83118,640,,R87566,New
R81186,"5,685","81,325",6.99%,,R81118,0,0,0,,R81651,"14,441",,R83131,562,,R87571,New
R81191,"12,190","174,386",6.99%,,R81119,0,0,"6,333",,R81665,"3,923",,R83139,365,,R87569,New
R81193,"13,429","170,201",7.89%,,R81121,0,0,"28,648",,R81668,"6,613",,R83183,533,,R87576,New
R81195,"14,235","177,943",8.00%,,R81122,0,0,0,,R81683,471,,R83187,339,,R87568,New
R81199,0,0,7.59%,,R81123,0,0,0,,R81689,"1,611",,R83193,410,,R87573,New
R81201,"7,999","99,991",8.00%,,R81125,0,0,"23,692",,R81707,"6,619",,R83199,303,,R87502,New
R81202,"12,365","176,900",6.99%,,R81126,0,0,0,,R81708,"1,394",,R83212,444,,R87538,New
R81203,"32,722","420,056",7.79%,,R81127,0,0,"33,021",,R81715,"2,392",,R83225,499,,R87363,New
R81205,"36,632","470,248",7.79%,,R81128,0,0,0,,R81716,"1,051",,R83227,563,,R86831,New
R81206,"24,248","346,891",6.99%,,R81129,0,0,0,,R81722,"4,686",,R83256,750,,R87878,New
R81207,"16,461","208,629",7.89%,,R81131,0,0,0,,R81728,"4,106",,R83262,"1,039",,R87567,New
R81208,"7,396","105,807",6.99%,,R81132,0,0,"29,562",,R81733,"2,706",,R83268,331,,R88256,Y
R81211,"8,541","122,186",6.99%,,R81133,0,0,"20,286",,R81739,"2,160",,R83275,179,,R88971,Y
R81212,"24,702","325,460",7.59%,,R81135,0,0,"15,444",,R81753,"3,772",,R83276,241,,R81139,Y
R81213,0,0,6.99%,,R81136,0,0,0,,R81757,"1,198",,R83282,105,,R81291,Y
R81219,"24,571","307,518",7.99%,,R81137,0,0,0,,R81768,"2,832",,R83312,"1,271",,R81293,Y
R81222,0,0,7.99%,,R81138,0,0,0,,R81776,665,,R83319,264,,R81381,Y
R81223,"23,608","274,831",8.59%,,R81139,0,0,0,,R81796,710,,R83333,254,,R81375,Y
R81225,"21,845","273,404",7.99%,,R81151,0,0,"27,362",,R81803,"2,431",,R83353,184,,R81581,Y
R81226,"12,929","184,958",6.99%,,R81152,0,0,0,,R81805,"3,595",,R83368,699,,R81662,Y
R81227,"17,334","219,696",7.89%,,R81153,0,0,0,,R81811,520,,R83371,11,,R81732,Y
R81228,"14,789","184,859",8.00%,,R81155,0,0,"19,093",,R81819,70,,R83376,82,,R81839,Y
R81229,"29,248","418,430",6.99%,,R81156,0,0,0,,R81823,"11,413",,R83395,"1,351",,R81908,Y
R81232,"13,058","163,227",8.00%,,R81157,10,0,"8,345",,R81825,"2,389",,R83508,189,,R81997,Y
R81233,"30,915","386,916",7.99%,,R81158,0,0,"12,611",,R81832,26,,R83509,139,,R82523,Y
R81235,"43,351","571,159",7.59%,,R81159,10,0,"4,550",,R81837,"2,239",,R83511,77,,R82601,Y
R81236,"15,453","195,853",7.89%,,R81161,10,0,"43,236",,R81861,794,,R83523,179,,R82682,Y
R81237,"10,417","149,031",6.99%,,R81162,0,0,"9,447",,R81863,618,,R83532,235,,R82761,Y
R81238,"6,927","99,097",6.99%,,R81163,0,0,0,,R81865,"1,112",,R83559,47,,R82895,Y
R81239,0,0,8.00%,,R81165,0,0,0,,R81866,"2,345",,R83575,221,,R82875,Y
R81251,"10,444","149,406",6.99%,,R81166,0,0,"5,910",,R81876,"3,086",,R83582,110,,R83013,Y
R81252,"2,794","39,978",6.99%,,R81167,10,0,"31,729",,R81877,"12,126",,R83586,398,,R83022,Y
R81255,"9,373","134,085",6.99%,,R81168,0,0,"6,173",,R81888,"8,493",,R83655,701,,R83086,Y
R81256,"21,070","277,597",7.59%,,R81169,0,0,0,,R81892,"2,165",,R83656,654,,R83127,Y
R81257,"8,745","125,108",6.99%,,R81171,0,0,"20,265",,R81899,"8,453",,R83667,201,,R83279,Y
R81259,"18,314","262,007",6.99%,,R81172,10,0,"17,534",,R81909,"1,467",,R83677,367,,R83388,Y
R81261,"19,737","260,040",7.59%,,R81175,0,0,0,,R81928,"4,236",,R83689,686,,R83369,Y
R81262,0,0,8.00%,,R81176,0,0,0,,R81935,"1,006",,R83706,168,,R83662,Y
R81263,"15,118","199,178",7.59%,,R81177,0,0,"19,490",,R81936,"2,190",,R83791,697,,R83693,Y
R81265,"15,096","193,787",7.79%,,R81178,0,0,"16,255",,R81951,"2,631",,R83873,161,,R83688,Y
R81266,"27,168","388,666",6.99%,,R81181,0,0,"13,373",,R81959,"1,937",,R83882,441,,R83853,Y
R81267,"8,442","120,767",6.99%,,R81182,32,0,"31,166",,R81962,"15,522",,R83906,176,,R83936,Y
R81269,"38,164","477,643",7.99%,,R81183,0,0,"20,088",,R81963,"4,879",,R83927,57,,R83918,Y
R81271,"8,071","100,890",8.00%,,R81185,0,0,0,,R81965,"2,190",,R83967,"1,044",,R83935,Y
R81272,"15,311","219,042",6.99%,,R81186,0,0,"5,868",,R81969,63,,R83995,139,,R85087,Y
R81273,"13,865","198,359",6.99%,,R81187,0,0,0,,R81971,811,,R85017,202,,R85069,Y
R81275,"6,021","86,131",6.99%,,R81188,0,0,"10,863",,R81972,"1,728",,R85019,337,,R85016,Y
R81277,"18,356","262,599",6.99%,,R81189,0,0,0,,R81978,"3,198",,R85021,65,,R85316,Y
R81278,"15,497","193,950",7.99%,,R81191,0,0,"12,583",,R82009,"1,195",,R85057,532,,R85378,Y
R81279,"37,871","541,793",6.99%,,R81192,0,0,0,,R82011,582,,R85066,168,,R85766,Y
R81282,0,0,8.19%,,R81193,200,0,"16,262",,R82015,"1,577",,R85078,265,,R85815,Y
R81283,"26,425","378,041",6.99%,,R81195,10,0,"14,814",,R82029,"1,082",,R85168,300,,R85899,Y
R81285,"57,266","666,663",8.59%,,R81197,0,0,0,,R82031,"1,725",,R85169,623,,R85963,Y
R81286,"18,836","269,475",6.99%,,R81198,0,0,0,,R82053,"1,596",,R85172,804,,R85998,Y
R81287,"34,026","436,790",7.79%,,R81199,0,0,0,,R82056,"2,400",,R85182,98,,R86003,Y
R81288,"13,556","169,454",8.00%,,R81201,0,0,"8,257",,R82076,"1,841",,R85199,990,,R86176,Y
R81291,0,0,6.99%,,R81202,0,0,"12,764",,R82081,"2,589",,R85207,311,,R85873,Y
R81292,"22,311","259,730",8.59%,,R81203,0,0,"33,778",,R82083,"1,753",,R85212,756,,R86208,Y
R81293,0,0,6.99%,,R81205,0,0,"37,814",,R82109,"4,571",,R85216,104,,R86322,Y
R81295,"6,906","90,985",7.59%,,R81206,0,0,"25,030",,R82201,991,,R85263,190,,R86295,Y
R81296,"23,642","338,227",6.99%,,R81207,0,0,"16,992",,R82209,"4,214",,R85286,110,,R86397,Y
R81297,"11,524","151,826",7.59%,,R81208,21,0,"7,887",,R82306,"7,508",,R85289,212,,R86587,Y
R81298,0,0,6.99%,,R81209,0,0,0,,R82329,"3,907",,R85292,161,,R86799,Y
R81302,"43,351","620,183",6.99%,,R81211,0,0,"8,817",,R82336,"1,900",,R85311,"1,015",,R86967,Y
R81303,"23,207","305,762",7.59%,,R81212,10,0,"25,619",,R82365,560,,R85317,951,,R86986,Y
R81305,"8,890","127,180",6.99%,,R81213,0,0,0,,R82366,"8,178",,R85356,245,,R87119,Y
R81306,"10,152","126,900",8.00%,,R81216,0,0,0,,R82368,"1,369",,R85365,44,,R87116,Y
R81307,"55,828","735,546",7.59%,,R81217,0,0,0,,R82377,854,,R85371,611,,R87115,Y
R81308,"16,999","243,191",6.99%,,R81219,0,0,"25,364",,R82379,"2,300",,R85391,"1,796",,R87183,Y
R81309,"23,550","310,279",7.59%,,R81221,0,0,0,,R82385,959,,R85557,"1,169",,R87182,Y
R81311,0,0,8.19%,,R81222,0,0,0,,R82393,"3,936",,R85558,171,,R87205,Y
R81312,"6,142","87,871",6.99%,,R81223,0,0,"24,370",,R82395,"2,222",,R85576,420,,R87208,Y
R81315,"3,890","51,249",7.59%,,R81225,0,0,"22,550",,R82506,"1,332",,R85601,703,,R87236,Y
R81316,"8,271","118,327",6.99%,,R81226,0,0,"13,346",,R82511,"2,510",,R85605,103,,R87251,Y
R81317,"7,579","108,429",6.99%,,R81227,0,0,"17,893",,R82512,886,,R85609,36,,R87238,Y
R81318,"7,474","106,927",6.99%,,R81228,0,0,"15,266",,R82518,"1,719",,R85639,558,,R87261,Y
R81321,"22,218","292,733",7.59%,,R81229,0,0,"30,191",,R82533,"2,923",,R85658,453,,R87128,Y
R81323,"26,264","346,034",7.59%,,R81231,0,0,0,,R82539,"3,258",,R85666,730,,R87316,Y
R81325,"13,190","165,087",7.99%,,R81232,0,0,"13,479",,R82561,"2,358",,R85668,128,,R87325,Y
R81326,"12,732","182,150",6.99%,,R81233,0,0,"31,912",,R82566,756,,R85678,566,,R87326,Y
R81327,"5,514","78,879",6.99%,,R81235,0,0,"44,749",,R82573,"3,786",,R85699,423,,R86501,Y
R81328,0,0,8.00%,,R81236,0,0,"15,951",,R82586,"2,158",,R85708,"1,233",,R87289,Y
R81329,0,0,6.99%,,R81237,0,0,"10,753",,R82591,"9,816",,R85716,852,,R87288,Y
R81331,"15,765","225,540",6.99%,,R81238,0,0,"7,150",,R82598,"1,326",,R85723,244,,R81311,In Month
R81333,"22,994","328,962",6.99%,,R81239,0,0,0,,R82603,"4,998",,R85775,183,,R81832,In Month
R81335,0,0,7.59%,,R81251,0,0,"10,781",,R82615,"4,888",,R85785,20,,R82061,In Month
R81338,"24,019","343,624",6.99%,,R81252,100,0,"4,084",,R82619,878,,R85807,"3,345",,R82567,In Month
R81339,0,0,8.59%,,R81253,0,0,0,,R82638,"7,396",,R85925,639,,R82821,In Month
R81352,"24,537","307,098",7.99%,,R81255,0,0,"9,675",,R82653,"10,789",,R85929,413,,R82886,In Month
R81353,"33,568","442,263",7.59%,,R81256,10,0,"21,870",,R82661,"4,743",,R85931,41,,R82891,In Month
R81355,"13,425","192,057",6.99%,,R81257,0,0,"9,027",,R82662,203,,R85956,207,,R82902,In Month
R81356,"22,737","291,870",7.79%,,R81258,0,0,0,,R82673,832,,R85962,5,,R82916,In Month
R81357,"20,957","299,820",6.99%,,R81259,0,0,"18,905",,R82681,"11,983",,R85965,218,,R82926,In Month
R81358,"29,344","341,604",8.59%,,R81261,10,0,"20,494",,R82688,"1,320",,R85976,188,,R82985,In Month
R81359,"11,183","130,189",8.59%,,R81262,0,0,0,,R82693,554,,R86005,23,,R83236,In Month
R81361,"22,253","259,053",8.59%,,R81263,0,0,"15,606",,R82695,"1,931",,R86127,424,,R83287,In Month
R81362,"10,915","143,807",7.59%,,R81265,0,0,"15,583",,R82708,"1,074",,R86131,"1,064",,R83567,In Month
R81369,"12,450","178,112",6.99%,,R81266,0,0,"28,044",,R82716,"1,259",,R86166,5,,R83831,In Month
R81371,"32,170","423,850",7.59%,,R81267,200,0,"11,114",,R82719,"5,837",,R86168,"1,851",,R83932,In Month
R81372,"13,036","186,488",6.99%,,R81268,0,0,0,,R82752,57,,R86175,721,,R83997,In Month
R81373,"34,284","399,119",8.59%,,R81269,0,0,"39,395",,R82762,"10,581",,R86181,139,,R85006,In Month
R81375,0,0,6.99%,,R81271,0,0,"8,331",,R82765,"2,405",,R86205,721,,R85396,In Month
R81376,"58,038","830,305",6.99%,,R81272,0,0,"15,805",,R82771,"3,921",,R86212,284,,R85586,In Month
R81378,"19,115","273,464",6.99%,,R81273,0,0,"14,312",,R82772,"2,891",,R86228,522,,R85596,In Month
R81379,"13,613","194,756",6.99%,,R81275,0,0,"6,215",,R82776,"3,229",,R86229,168,,R85615,In Month
R81381,0,0,6.99%,,R81276,0,0,0,,R82782,"3,329",,R86266,"1,270",,R85761,In Month
R81382,"10,716","153,300",6.99%,,R81277,0,0,"18,948",,R82788,"5,297",,R86267,297,,R85792,In Month
R81383,"38,616","449,546",8.59%,,R81278,0,0,"15,997",,R82801,"2,757",,R86268,252,,R85861,In Month
R81385,"4,915","70,318",6.99%,,R81279,200,0,"41,493",,R82805,"3,808",,R86276,163,,R85865,In Month
R81387,"22,849","326,883",6.99%,,R81282,0,0,0,,R82808,"2,206",,R86298,223,,R85876,In Month
R81388,0,0,7.59%,,R81283,0,0,"27,277",,R82809,692,,R86301,212,,R85885,In Month
R81389,0,0,6.99%,,R81285,0,0,"59,113",,R82826,"1,000",,R86308,287,,R85997,In Month
R81391,"44,783","521,344",8.59%,,R81286,0,0,"19,444",,R82831,"6,543",,R86312,670,,R86023,In Month
R81392,"36,372","479,207",7.59%,,R81287,0,8,"35,124",,R82832,725,,R86331,736,,R86117,In Month
R81393,"83,350","1,098,152",7.59%,,R81288,0,0,"13,993",,R82859,"2,000",,R86332,11,,R86132,In Month
R81395,"40,369","546,271",7.39%,,R81291,54,0,648,,R82881,"4,736",,R86335,586,,R86259,In Month
R81396,"34,405","430,604",7.99%,,R81292,0,0,"23,031",,R82889,427,,R86352,857,,R86262,In Month
R81397,"10,450","160,771",6.50%,,R81293,54,0,648,,R82906,"4,602",,R86353,534,,R86735,In Month
R81399,"11,606","166,040",6.99%,,R81295,0,0,"7,129",,R82927,"1,424",,R86355,90,,R86752,In Month
R81501,"33,468","440,952",7.59%,,R81296,0,0,"24,405",,R82956,"3,247",,R86376,670,,R86972,In Month
R81502,41,584,6.99%,,R81297,0,0,"11,896",,R82962,"2,540",,R86377,443,,R87058,In Month
R81503,"12,929","170,338",7.59%,,R81298,0,0,0,,R82969,524,,R86383,74,,R87139,In Month
R81505,"33,955","485,762",6.99%,,R81299,0,0,0,,R82997,716,,R86387,28,,R88386,In Month
R81507,"19,403","242,836",7.99%,,R81302,10,0,"44,869",,R83002,"1,838",,R86398,76,,R88813,In Month
R81508,0,0,7.59%,,R81303,0,0,"23,956",,R83027,149,,R86399,34,,R87188,In Month
R81509,"9,704","138,827",6.99%,,R81305,10,0,"9,297",,R83067,"1,595",,R86508,125,,R87223,In Month
R81511,"5,034","63,001",7.99%,,R81306,0,0,"10,479",,R83093,678,,R86509,122,,R87295,In Month
R81512,"20,617","294,945",6.99%,,R81307,0,0,"57,629",,R83102,"2,716",,R86527,679,,R87312,In Month
R81515,"32,915","433,669",7.59%,,R81308,0,0,"17,547",,R83116,"1,216",,R86528,860,,R87327,In Month
R81516,"17,116","244,867",6.99%,,R81309,0,0,"24,310",,R83118,"1,360",,R86539,45,,R81502,In Month
R81517,"4,102","58,678",6.99%,,R81311,144,0,"1,728",,R83139,"3,377",,R86553,431,,R85787,In Month
R81519,"13,793","197,325",6.99%,,R81312,200,0,"8,740",,R83162,"4,149",,R86558,360,,R86257,In Month
R81521,"7,002","100,175",6.99%,,R81313,0,0,0,,R83168,"4,593",,R86563,883,,R86619,In Month
R81522,"14,089","201,556",6.99%,,R81315,200,0,"6,415",,R83171,"1,908",,R86569,502,,R83021,In Month
R81523,"44,275","633,409",6.99%,,R81316,28,0,"8,874",,R83183,907,,R86571,71,,R87203,In Month
R81525,"19,980","285,841",6.99%,,R81317,0,0,"7,823",,R83187,795,,R86573,630,,R83358,In Month
R81526,"38,806","482,061",8.05%,,R81318,0,0,"7,715",,R83191,"2,672",,R86579,"1,167",,R82929,In Month
R81529,0,0,7.59%,,R81319,0,0,0,,R83193,691,,R86585,146,,R83163,In Month
R81531,"15,962","210,298",7.59%,,R81321,200,0,"25,335",,R83198,"9,273",,R86588,85,,R87209,In Month
R81532,"21,315","248,133",8.59%,,R81322,0,0,0,,R83199,912,,R86592,148,,R87301,In Month
R81533,"8,162","107,537",7.59%,,R81323,200,0,"29,511",,R83212,412,,R86595,710,,R87273,In Month
R81535,"24,129","317,899",7.59%,,R81325,200,0,"16,015",,R83213,"2,395",,R86616,20,,R87189,In Month
R81536,"22,332","294,230",7.59%,,R81326,0,0,"13,143",,R83217,"1,765",,R86629,158,,R86225,In Month
R81537,"33,483","479,008",6.99%,,R81327,0,0,"5,692",,R83226,640,,R86637,43,,R85017,In Month
R81538,0,0,7.59%,,R81328,0,0,0,,R83227,"1,059",,R86638,582,,R85102,In Month
R81539,0,0,7.59%,,R81329,0,0,0,,R83237,"2,159",,R86658,51,,R85923,In Month
R81551,"31,419","449,491",6.99%,,R81331,10,0,"16,394",,R83262,"2,055",,R86661,186,,R87235,Downgrade
R81552,"28,318","373,103",7.59%,,R81332,0,0,0,,R83269,"4,397",,R86662,120,,R87099,Lower Usage
R81555,"30,171","397,510",7.59%,,R81333,0,0,"23,736",,R83275,392,,R86666,48,,R86667,In Month
R81556,"12,528","179,225",6.99%,,R81335,0,0,0,,R83276,935,,R86682,135,,R81575,Reactivate
R81557,"6,172","81,322",7.59%,,R81336,0,0,0,,R83279,"4,388",,R86687,110,,R86332,Usage Lower
R81558,"10,470","149,780",6.99%,,R81338,0,0,"24,794",,R83281,892,,R86689,774,,R88817,Usage Lower
R81559,"18,278","240,810",7.59%,,R81339,0,0,0,,R83286,"2,381",,R86691,340,,R87291,Usage Lower
R81561,"25,697","367,628",6.99%,,R81351,0,0,0,,R83301,"2,967",,R86696,260,,R83707,Usage Lower
R81562,"35,662","469,852",7.59%,,R81352,0,0,"25,329",,R83318,"1,772",,R86697,345,,R83885,Usage Lower
R81565,"17,432","212,844",8.19%,,R81353,0,0,"34,651",,R83319,561,,R86698,126,,R83808,Usage Lower
R81566,"13,245","189,492",6.99%,,R81355,200,8,"16,258",,R83327,"3,394",,R86716,121,,R87176,Usage Lower
R81567,"7,933","113,497",6.99%,,R81356,0,0,"23,470",,R83329,"4,847",,R86721,10,,R82678,Usage Lower
R81568,"10,682","152,825",6.99%,,R81357,0,0,"21,633",,R83333,635,,R86751,"1,201",,R86739,Usage Lower
R81569,"28,083","401,759",6.99%,,R81358,0,0,"30,291",,R83339,"2,099",,R86761,295,,R83508,Usage Lower
R81573,"15,294","201,499",7.59%,,R81359,210,0,"14,064",,R83357,920,,R86769,72,,R87362,Usage Higher
R81575,"20,071","264,445",7.59%,,R81361,0,0,"22,971",,R83367,"1,930",,R86771,158,,R87362,Usage Higher
R81578,"10,513","150,399",6.99%,,R81362,200,0,"13,667",,R83368,"1,559",,R86777,255,,R88313,Usage Higher
R81579,"11,554","180,816",6.39%,,R81363,0,0,0,,R83376,267,,R86791,30,,R88108,Usage Higher
R81581,0,0,6.99%,,R81365,0,0,0,,R83378,"4,486",,R86797,21,,R82356,Usage Higher
R81583,"11,987","171,481",6.99%,,R81366,0,0,0,,R83393,"4,208",,R86798,212,,R87357,Usage Higher
