UID,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,,ID,WP ARR,,ID,DE ARR
R81171,"16,900","222,663",7.59%,,R81107,0,0,"26,109",,R81586,"2,667",,R83118,505
R81172,"19,161","274,120",6.99%,,R81108,0,0,0,,R81589,"4,884",,R83131,394
R81177,"16,347","204,598",7.99%,,R81109,0,0,"25,117",,R81592,"2,465",,R83139,357
R81178,"10,104","144,548",6.99%,,R81112,0,0,"22,921",,R81596,"2,300",,R83183,452
R81181,"5,888","84,237",6.99%,,R81113,0,0,0,,R81612,"1,167",,R83187,163
R81182,"20,526","293,646",6.99%,,R81115,0,0,0,,R81626,"1,455",,R83193,255
R81183,"19,697","259,512",7.59%,,R81116,0,0,"20,183",,R81636,"3,427",,R83199,228
R81185,0,0,7.99%,,R81117,0,0,"4,172",,R81639,745,,R83212,317
R81186,"5,303","75,868",6.99%,,R81118,0,0,0,,R81651,"15,453",,R83256,636
R81191,"12,990","185,833",6.99%,,R81119,0,0,"6,616",,R81665,"5,144",,R83262,635
R81193,"13,671","173,270",7.89%,,R81121,0,0,"28,196",,R81668,"7,910",,R83268,294
R81195,"12,549","156,862",8.00%,,R81122,0,0,0,,R81683,537,,R83275,168
R81199,0,0,7.59%,,R81123,0,0,0,,R81689,"1,994",,R83276,102
R81201,"9,248","115,603",8.00%,,R81125,10,0,"25,409",,R81707,"5,995",,R83282,29
R81202,"11,337","162,183",6.99%,,R81126,0,0,0,,R81708,"1,922",,R83319,227
R81203,"32,578","418,197",7.79%,,R81127,0,0,"31,904",,R81715,"2,253",,R83333,203
R81205,"38,051","488,461",7.79%,,R81128,200,0,"8,508",,R81716,"1,355",,R83353,161
R81206,"29,564","422,951",6.99%,,R81129,0,0,0,,R81722,"5,026",,R83368,562
R81207,"19,515","247,340",7.89%,,R81131,0,0,0,,R81728,"4,841",,R83376,36
R81208,"5,726","81,920",6.99%,,R81132,0,0,"26,741",,R81733,"2,913",,R83395,1165
R81211,"9,478","135,588",6.99%,,R81133,0,0,"18,669",,R81739,"2,765",,R83508,160
R81212,"26,057","343,301",7.59%,,R81135,0,0,"14,611",,R81753,"3,893",,R83511,70
R81213,0,0,6.99%,,R81136,0,0,0,,R81757,"1,313",,R83523,102
R81219,"25,700","321,655",7.99%,,R81137,0,0,0,,R81762,116,,R83532,209
R81222,0,0,7.99%,,R81138,0,0,0,,R81768,"2,375",,R83559,58
R81223,"25,492","296,763",8.59%,,R81139,10,0,"5,421",,R81776,597,,R83575,88
R81225,"25,196","315,341",7.99%,,R81151,0,0,"23,424",,R81796,18,,R83582,125
R81226,"12,990","185,837",6.99%,,R81152,0,0,0,,R81803,"2,485",,R83586,389
R81227,"15,844","200,805",7.89%,,R81153,0,0,0,,R81805,"3,027",,R83656,609
R81228,"15,884","198,803",7.99%,,R81155,0,0,"19,775",,R81811,282,,R83667,248
R81229,"28,644","409,788",6.99%,,R81156,0,0,0,,R81819,"1,077",,R83677,339
R81232,"14,834","181,126",8.19%,,R81157,10,0,"8,430",,R81823,"13,457",,R83689,637
R81233,"36,068","451,413",7.99%,,R81158,0,0,"10,499",,R81825,"2,693",,R83706,133
R81235,"44,193","582,258",7.59%,,R81159,10,0,"4,890",,R81832,"2,224",,R83815,578
R81236,"15,638","198,195",7.89%,,R81161,10,0,"41,412",,R81837,"2,758",,R83871,48
R81237,"12,588","180,089",6.99%,,R81162,0,0,"11,246",,R81861,539,,R83873,368
R81238,"6,480","92,703",6.99%,,R81163,10,0,120,,R81863,710,,R83882,404
R81239,"13,564","178,706",7.59%,,R81165,0,0,0,,R81865,"1,327",,R83906,158
R81251,"11,107","158,902",6.99%,,R81166,0,0,"6,004",,R81866,"2,475",,R83927,24
R81252,"3,411","48,804",6.99%,,R81167,10,0,"32,424",,R81876,"3,349",,R83936,121
R81255,"12,276","175,629",6.99%,,R81168,0,0,"6,205",,R81877,"13,288",,R83967,659
R81256,"16,211","213,590",7.59%,,R81169,0,0,0,,R81888,"10,140",,R83976,1274
R81257,"8,252","118,048",6.99%,,R81171,0,0,"16,900",,R81892,"2,341",,R83995,151
R81259,"16,913","241,962",6.99%,,R81172,10,0,"19,281",,R81899,"10,318",,R85017,974
R81261,"22,224","292,810",7.59%,,R81175,0,0,0,,R81909,"2,016",,R85025,51
R81262,0,0,8.00%,,R81176,0,0,0,,R81928,"5,040",,R85057,359
R81263,"14,978","197,343",7.59%,,R81177,0,0,"16,347",,R81932,879,,R85066,145
R81265,"15,333","196,835",7.79%,,R81178,0,0,"10,104",,R81935,"1,185",,R85073,52
R81266,"26,013","372,139",6.99%,,R81181,0,0,"5,888",,R81936,"2,223",,R85078,195
R81267,"7,686","109,961",6.99%,,R81182,0,0,"20,526",,R81951,"3,482",,R85085,116
R81269,"39,338","492,337",7.99%,,R81183,0,0,"19,697",,R81959,"1,904",,R85168,196
R81271,"6,323","79,043",8.00%,,R81185,0,0,0,,R81962,"17,036",,R85169,353
R81272,"17,531","250,799",6.99%,,R81186,0,0,"5,303",,R81963,"6,109",,R85172,582
R81273,"13,519","193,400",6.99%,,R81187,0,0,0,,R81965,"2,154",,R85182,147
R81275,"5,243","75,012",6.99%,,R81188,0,0,0,,R81969,125,,R85199,581
R81277,"14,649","209,577",6.99%,,R81189,0,0,0,,R81971,"1,266",,R85207,238
R81278,"18,803","235,336",7.99%,,R81191,0,0,"12,990",,R81978,"2,772",,R85212,720
R81279,"34,942","499,880",6.99%,,R81192,0,0,0,,R81988,28,,R85216,26
R81282,0,0,8.19%,,R81193,200,0,"16,071",,R81999,26,,R85217,6
R81283,"25,314","362,144",6.99%,,R81195,10,0,"12,669",,R82009,"2,466",,R85263,126
R81285,"54,452","633,903",8.59%,,R81197,0,0,0,,R82011,35,,R85289,278
R81286,"19,941","285,283",6.99%,,R81198,0,0,0,,R82015,"1,427",,R85292,213
R81287,"29,369","377,011",7.79%,,R81199,0,0,0,,R82029,667,,R85302,741
R81288,"16,982","223,745",7.59%,,R81201,0,0,"9,248",,R82031,753,,R85311,1130
R81291,"19,104","273,312",6.99%,,R81202,0,0,"11,337",,R82053,"3,363",,R85356,70
R81292,"22,086","257,118",8.59%,,R81203,0,0,"32,578",,R82056,"2,393",,R85365,39
R81293,"11,987","171,493",6.99%,,R81205,0,0,"38,051",,R82076,"2,196",,R85371,614
R81295,"6,563","86,464",7.59%,,R81206,0,0,"29,564",,R82081,"3,644",,R85391,1491
R81296,"22,874","327,240",6.99%,,R81207,0,0,"19,515",,R82083,"2,442",,R85557,1100
R81297,"12,388","163,220",7.59%,,R81208,0,0,"5,726",,R82088,"6,910",,R85558,101
R81298,0,0,6.99%,,R81209,0,0,0,,R82105,"8,304",,R85562,3
R81302,"38,064","544,550",6.99%,,R81211,0,0,"9,478",,R82109,"5,711",,R85572,3
R81303,"20,888","275,199",7.59%,,R81212,10,0,"26,177",,R82201,832,,R85576,221
R81305,"7,754","110,936",6.99%,,R81213,0,0,0,,R82209,"4,488",,R85595,24
R81306,"11,243","140,532",8.00%,,R81216,0,0,0,,R82306,"7,468",,R85605,131
R81307,"56,263","741,281",7.59%,,R81217,0,0,0,,R82329,"3,808",,R85609,36
R81308,"17,916","256,306",6.99%,,R81219,0,0,"25,700",,R82336,"2,243",,R85658,278
R81309,"19,286","254,100",7.59%,,R81221,0,0,0,,R82363,"1,352",,R85666,570
R81311,"11,081","138,516",8.00%,,R81222,0,0,0,,R82365,693,,R85668,81
R81312,"3,534","50,555",6.99%,,R81223,0,0,"25,492",,R82366,"9,630",,R85678,453
R81315,"4,775","62,909",7.59%,,R81225,0,0,"25,196",,R82368,"1,436",,R85708,907
R81316,"6,232","89,160",6.99%,,R81226,0,0,"12,990",,R82379,"3,723",,R85716,1016
R81317,"6,533","93,465",6.99%,,R81227,0,0,"15,844",,R82385,"2,016",,R85723,183
R81318,"7,740","110,733",6.99%,,R81228,0,0,"15,884",,R82387,82,,R85766,113
R81321,"24,108","317,632",7.59%,,R81229,0,0,"28,644",,R82393,"3,590",,R85775,106
R81323,"28,185","371,344",7.59%,,R81231,0,0,0,,R82395,"2,160",,R85785,37
R81325,"18,869","236,154",7.99%,,R81232,0,0,"14,834",,R82506,"1,012",,R85925,485
R81326,"13,720","196,284",6.99%,,R81233,0,0,"36,068",,R82511,"2,299",,R85931,446
R81327,"6,383","91,312",6.99%,,R81235,0,0,"44,193",,R82512,336,,R85956,166
R81328,0,0,8.00%,,R81236,0,0,"15,638",,R82518,"2,486",,R85962,6
R81329,0,0,6.99%,,R81237,0,0,"12,588",,R82533,"3,044",,R85965,125
R81331,"16,040","229,472",6.99%,,R81238,0,0,"6,480",,R82539,705,,R85976,138
R81333,"19,528","279,376",6.99%,,R81239,0,0,"13,564",,R82566,641,,R86087,563
R81335,0,0,7.59%,,R81251,0,0,"11,107",,R82573,"4,444",,R86127,378
R81338,"24,103","344,820",6.99%,,R81252,100,0,"4,611",,R82586,"2,157",,R86131,832
R81339,0,0,8.59%,,R81253,0,0,0,,R82591,"9,340",,R86166,4
R81352,"19,003","237,829",7.99%,,R81255,0,0,"12,276",,R82592,170,,R86175,887
R81353,"33,220","437,685",7.59%,,R81256,10,0,"16,331",,R82598,"1,751",,R86178,7
R81355,"19,795","283,184",6.99%,,R81257,0,0,"8,252",,R82603,"5,007",,R86181,87
R81356,"22,144","284,258",7.79%,,R81258,0,0,0,,R82615,"5,965",,R86205,366
R81357,"22,582","323,060",6.99%,,R81259,0,0,"16,913",,R82619,713,,R86208,68
R81358,"29,927","348,399",8.59%,,R81261,10,0,"22,344",,R82638,"8,513",,R86212,289
R81359,"4,851","56,471",8.59%,,R81262,0,0,0,,R82653,"11,528",,R86228,447
R81361,"19,696","229,292",8.59%,,R81263,0,0,"14,978",,R82661,"5,182",,R86229,188
R81362,"12,516","164,901",7.59%,,R81265,0,0,"15,333",,R82662,"1,712",,R86266,421
R81369,"11,126","159,174",6.99%,,R81266,0,0,"26,013",,R82673,"1,161",,R86267,337
R81371,"31,461","414,500",7.59%,,R81267,200,0,"10,086",,R82681,"11,853",,R86268,169
R81372,"11,689","167,221",6.99%,,R81268,0,0,0,,R82688,"1,444",,R86277,198
R81373,"34,636","403,213",8.59%,,R81269,0,0,"39,338",,R82693,754,,R86298,210
R81375,"6,810","97,421",6.99%,,R81271,0,0,"6,323",,R82695,"1,828",,R86301,56
R81376,"59,089","845,333",6.99%,,R81272,0,0,"17,531",,R82708,152,,R86308,344
R81378,"18,643","266,704",6.99%,,R81273,0,0,"13,519",,R82716,"2,201",,R86312,641
R81379,"12,548","179,520",6.99%,,R81275,0,0,"5,243",,R82719,"4,234",,R86328,122
R81381,"10,770","154,076",6.99%,,R81276,0,0,0,,R82727,"1,685",,R86332,7
R81382,"10,296","147,303",6.99%,,R81277,0,0,"14,649",,R82752,31,,R86335,521
R81383,"34,570","402,443",8.59%,,R81278,0,0,"18,803",,R82758,143,,R86352,766
R81385,0,0,6.99%,,R81279,200,0,"37,342",,R82762,"11,279",,R86353,365
R81387,"44,426","635,572",6.99%,,R81282,0,0,0,,R82765,"2,398",,R86355,107
R81388,0,0,7.59%,,R81283,0,0,"25,314",,R82771,"4,286",,R86376,550
R81389,0,0,6.99%,,R81285,0,0,"54,452",,R82772,"2,961",,R86377,205
R81391,"39,125","455,470",8.59%,,R81286,0,0,"19,941",,R82776,"3,824",,R86387,4
R81392,"36,122","475,917",7.59%,,R81287,0,7.61,"29,369",,R82782,"5,442",,R86392,43
R81393,"89,806","1,183,217",7.59%,,R81288,0,0,"16,982",,R82788,"6,356",,R86398,46
R81395,"42,513","575,273",7.39%,,R81291,0,0,"19,104",,R82801,"2,653",,R86399,63
R81396,"37,414","468,263",7.99%,,R81292,0,0,"22,086",,R82805,"5,024",,R86508,59
R81397,"13,009","200,131",6.50%,,R81293,0,0,"11,987",,R82808,"2,739",,R86509,72
R81399,"10,796","154,450",6.99%,,R81295,0,0,"6,563",,R82809,832,,R86511,14
R81501,"32,310","425,694",7.59%,,R81296,0,0,"22,874",,R82826,"1,325",,R86519,70
R81502,"10,808","154,621",6.99%,,R81297,0,0,"12,388",,R82831,"10,721",,R86527,388
R81503,"35,792","471,568",7.59%,,R81298,0,0,0,,R82832,"1,031",,R86539,12
R81505,"28,935","413,954",6.99%,,R81299,0,0,0,,R82859,"2,118",,R86553,364
R81507,"18,217","228,002",7.99%,,R81302,10,0,"38,184",,R82881,"5,265",,R86558,211
R81508,0,0,7.59%,,R81303,0,0,"20,888",,R82889,530,,R86563,675
R81509,"7,551","108,019",6.99%,,R81305,10,0,"7,874",,R82906,"3,613",,R86569,388
R81511,"9,133","114,302",7.99%,,R81306,0,0,"11,243",,R82927,"1,542",,R86571,28
R81512,"26,378","377,367",6.99%,,R81307,0,0,"56,263",,R82956,"2,985",,R86573,533
R81515,"33,409","440,168",7.59%,,R81308,0,0,"17,916",,R82962,"2,298",,R86579,1086
R81516,"18,766","268,476",6.99%,,R81309,0,0,"19,286",,R82969,871,,R86585,104
R81517,"10,332","147,806",6.99%,,R81311,0,0,"11,081",,R82997,911,,R86587,26
R81519,"13,486","192,926",6.99%,,R81312,200,0,"5,934",,R83002,"2,401",,R86588,107
R81521,"17,643","252,406",6.99%,,R81313,0,0,0,,R83027,143,,R86592,86
R81522,"15,661","224,052",6.99%,,R81315,200,0,"7,175",,R83028,13,,R86595,922
R81523,"42,756","611,669",6.99%,,R81316,0,0,"6,232",,R83036,37,,R86616,2
R81525,"22,479","321,590",6.99%,,R81317,0,0,"6,533",,R83067,"2,165",,R86629,49
R81526,"37,347","463,939",8.05%,,R81318,0,0,"7,740",,R83078,543,,R86637,30
R81529,0,0,7.59%,,R81319,0,0,0,,R83093,686,,R86638,313
R81531,"14,591","192,244",7.59%,,R81321,200,0,"26,508",,R83102,"3,089",,R86655,16
R81532,"24,324","283,163",8.59%,,R81322,0,0,0,,R83116,"1,609",,R86657,4
R81533,"8,324","109,666",7.59%,,R81323,200,0,"30,585",,R83118,"1,932",,R86658,34
R81535,"25,070","330,304",7.59%,,R81325,200,0,"21,269",,R83139,"3,832",,R86661,204
R81536,"23,681","312,008",7.59%,,R81326,0,0,"13,720",,R83162,"4,985",,R86662,150
R81537,"29,156","417,114",6.99%,,R81327,0,0,"6,383",,R83168,"4,777",,R86665,6
R81538,0,0,7.59%,,R81328,0,0,0,,R83171,"2,011",,R86666,33
R81539,0,0,7.59%,,R81329,0,0,0,,R83183,844,,R86668,29
R81551,"29,926","428,123",6.99%,,R81331,10,0,"16,160",,R83187,605,,R86682,100
R81552,"28,707","378,218",7.59%,,R81332,0,0,0,,R83191,"2,627",,R86687,47
R81555,"33,451","440,729",7.59%,,R81333,0,0,"19,528",,R83193,788,,R86689,1090
R81556,"12,895","184,472",6.99%,,R81335,54.44,0,653,,R83198,"10,207",,R86691,310
R81557,"16,164","212,958",7.59%,,R81336,0,0,0,,R83212,555,,R86696,93
R81558,"10,792","154,396",6.99%,,R81338,0,0,"24,103",,R83213,"2,393",,R86698,91
R81559,"17,254","227,323",7.59%,,R81339,0,0,0,,R83217,"1,571",,R86716,126
R81561,"24,052","344,094",6.99%,,R81351,0,0,0,,R83223,66,,R86721,6
R81562,"42,463","559,455",7.59%,,R81352,0,0,"19,003",,R83226,504,,R86731,7
R81565,0,0,7.59%,,R81353,0,0,"33,220",,R83237,"2,325",,R86751,861
R81566,"14,377","205,677",6.99%,,R81355,200,7.61,"22,195",,R83262,"1,768",,R86761,202
R81567,"8,563","122,498",6.99%,,R81356,0,0,"22,144",,R83269,"4,554",,R86765,558
R81568,"10,269","146,916",6.99%,,R81357,0,0,"22,582",,R83275,530,,R86769,66
R81569,"26,561","379,980",6.99%,,R81358,0,0,"29,927",,R83276,574,,R86771,199
R81573,"19,399","255,581",7.59%,,R81359,200,0,"7,251",,R83279,"3,550",,R86777,169
R81575,"39,973","526,648",7.59%,,R81361,0,0,"19,696",,R83281,"1,155",,R86791,25
R81578,"9,375","134,118",6.99%,,R81362,200,0,"14,916",,R83286,"1,185",,R86797,8
R81579,"12,158","190,269",6.39%,,R81363,0,0,0,,R83293,"10,910",,R86798,43
R81581,"20,633","295,182",6.99%,,R81365,0,0,0,,R83301,"3,199",,R86799,83
R81583,"13,618","194,816",6.99%,,R81366,0,0,0,,R83318,"1,736",,R86802,4
R81585,"25,230","315,771",7.99%,,R81367,0,0,0,,R83319,695,,R86819,221
R81586,"17,173","226,256",7.59%,,R81368,0,0,0,,R83327,"3,963",,R86821,66
R81587,"20,816","274,256",7.59%,,R81369,0,0,"11,126",,R83329,"6,589",,R86822,303
R81588,"7,155","102,367",6.99%,,R81371,0,0,"31,461",,R83333,608,,R86825,7
R81589,"40,549","534,241",7.59%,,R81372,10,0,"11,809",,R83339,"2,282",,R86832,232
R81591,"11,660","166,809",6.99%,,R81373,0,0,"34,636",,R83351,"1,151",,R86833,9
R81592,"25,870","340,843",7.59%,,R81375,0,0,"6,810",,R83353,619,,R86838,535
R81593,"56,823","748,652",7.59%,,R81376,0,0,"59,089",,R83357,"1,023",,R86839,936
R81596,"13,520","178,127",7.59%,,R81377,0,0,0,,R83367,"2,756",,R86859,22
R81597,"30,768","440,175",6.99%,,R81378,0,0,"18,643",,R83368,"1,776",,R86861,1649
R81598,"34,418","453,462",7.59%,,R81379,0,0,"12,548",,R83376,221,,R86863,200
R81599,"35,359","505,855",6.99%,,R81381,0,0,"10,770",,R83377,8,,R86865,11
R81601,"47,346","551,177",8.59%,,R81382,0,0,"10,296",,R83378,"3,843",,R86868,213
R81602,0,0,8.59%,,R81383,0,0,"34,570",,R83393,"4,652",,R86871,79
R81605,"27,554","363,034",7.59%,,R81385,200,0,"2,400",,R83395,"2,766",,R86875,693
R81606,"28,019","400,839",6.99%,,R81386,0,0,0,,R83506,"2,033",,R86876,244
R81607,0,0,6.99%,,R81387,200,0,"46,826",,R83508,"6,465",,R86877,804
R81611,"17,450","229,912",7.59%,,R81388,0,0,0,,R83511,246,,R86878,23
R81612,"15,994","210,729",7.59%,,R81389,0,0,0,,R83519,"4,509",,R86879,302
R81615,"32,098","459,204",6.99%,,R81391,0,0,"39,125",,R83532,"2,549",,R86883,105
R81616,"16,259","232,598",6.99%,,R81392,0,0,"36,122",,R83533,"2,136",,R86891,113
R81617,"23,930","342,350",6.99%,,R81393,10,0,"89,926",,R83538,935,,R86892,54
R81618,0,0,8.00%,,R81395,0,0,"42,513",,R83551,"6,065",,R86895,134
R81621,"25,107","330,784",7.59%,,R81396,0,0,"37,414",,R83561,557,,R86902,46
R81622,"21,180","246,568",8.59%,,R81397,0,0,"13,009",,R83562,"2,560",,R86905,26
R81623,"25,330","362,377",6.99%,,R81398,0,0,0,,R83566,999,,R86906,184
R81625,"14,947","213,838",6.99%,,R81399,0,0,"10,796",,R83572,"1,233",,R86912,32
R81626,"9,806","122,580",8.00%,,R81501,0,0,"32,310",,R83575,387,,R86915,1028
R81627,"21,692","310,325",6.99%,,R81502,0,0,"10,808",,R83576,"2,350",,R86916,97
R81628,0,0,6.99%,,R81503,0,0,"35,792",,R83582,317,,R86921,37
R81629,"23,274","332,963",6.99%,,R81505,0,0,"28,935",,R83585,410,,R86926,40
R81631,0,0,6.99%,,R81506,0,0,0,,R83586,"1,087",,R86928,124
R81632,"2,822","35,273",8.00%,,R81507,0,0,"18,217",,R83593,24,,R86933,175
R81633,"25,509","336,085",7.59%,,R81508,200,0,"2,400",,R83596,695,,R86938,36
R81635,"24,890","356,086",6.99%,,R81509,0,0,"7,551",,R83598,783,,R86939,617
R81636,"44,804","590,303",7.59%,,R81511,200,0,"11,533",,R83599,"6,746",,R86951,185
R81638,"31,548","367,260",8.59%,,R81512,0,0,"26,378",,R83616,"9,137",,R86963,32
R81639,"11,935","170,747",6.99%,,R81513,0,0,0,,R83656,"2,237",,R86966,127
R81651,"31,823","398,284",7.99%,,R81515,0,0,"33,409",,R83662,54,,R86971,5
R81652,"15,366","219,832",6.99%,,R81516,0,0,"18,766",,R83667,144,,R86977,170
R81655,"58,254","767,506",7.59%,,R81517,0,0,"10,332",,R83677,690,,R86979,18
R81656,"25,675","367,316",6.99%,,R81518,0,0,0,,R83682,"6,328",,R86989,362
R81657,"12,047","172,350",6.99%,,R81519,0,0,"13,486",,R83689,"2,525",,R86991,39
R81658,"9,485","124,966",7.59%,,R81521,200,0,"20,043",,R83706,531,,R87001,74
R81659,"26,710","334,293",7.99%,,R81522,200,0,"18,061",,R83731,"5,992",,R87012,243
R81662,"20,781","273,799",7.59%,,R81523,0,0,"42,756",,R83737,"2,702",,R87013,569
