UID,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,,ID,WP ARR,,ID,DE ARR
R81051,"23,451","301,036",7.79%,,R81025,0,0,0,,R81101,"1,028",,R81238,327
R81052,"38,915","453,023",8.59%,,R81026,0,0,"36,455",,R81121,"2,483",,R81251,172
R81053,0,0,7.59%,,R81027,0,0,0,,R81122,"1,453",,R81255,343
R81055,"25,633","298,409",8.59%,,R81028,10,0,"58,450",,R81132,"1,390",,R81308,166
R81057,"23,082","330,211",6.99%,,R81029,0,0,"32,784",,R81133,"1,543",,R81318,288
R81058,"15,563","199,780",7.79%,,R81031,0,0,"29,730",,R81135,942,,R81333,365
R81061,0,0,6.99%,,R81032,0,0,0,,R81161,"3,650",,R81375,59
R81063,"23,847","341,165",6.99%,,R81033,0,0,"51,122",,R81166,"7,143",,R81379,317
R81065,"42,162","603,179",6.99%,,R81035,0,0,"18,563",,R81167,"4,359",,R81509,46
R81067,0,0,6.99%,,R81036,0,0,0,,R81171,"2,247",,R81585,"1,414"
R81068,"36,051","451,204",7.99%,,R81037,0,0,"31,299",,R81177,"2,501",,R81625,240
R81072,"13,633","170,414",8.00%,,R81038,0,0,0,,R81178,609,,R81626,748
R81073,"9,969","124,613",8.00%,,R81039,0,0,0,,R81183,"3,230",,R81639,404
R81075,"8,802","125,922",6.99%,,R81051,0,0,"23,451",,R81186,93,,R81673,"1,045"
R81076,"30,430","385,675",7.89%,,R81052,0,0,"38,915",,R81188,651,,R81683,240
R81081,"18,303","261,843",6.99%,,R81053,54,0,653,,R81195,"1,144",,R81687,"1,625"
R81082,0,0,7.89%,,R81055,0,0,"25,633",,R81201,256,,R81715,"1,176"
R81086,0,0,7.59%,,R81056,0,0,0,,R81202,576,,R81716,350
R81087,"15,500","204,212",7.59%,,R81057,0,0,"23,082",,R81203,"9,966",,R81726,"1,015"
R81088,"32,258","408,850",7.89%,,R81058,10,0,"15,683",,R81207,"1,870",,R81805,"1,249"
R81091,0,0,6.99%,,R81059,0,0,0,,R81219,"2,619",,R81811,422
R81095,"51,323","626,650",8.19%,,R81061,0,0,0,,R81225,"3,438",,R81812,250
R81096,"34,550","402,207",8.59%,,R81062,0,0,0,,R81226,146,,R81835,877
R81098,"10,654","152,416",6.99%,,R81063,0,0,"23,847",,R81228,"1,148",,R81861,185
R81099,0,0,6.99%,,R81065,0,0,"42,162",,R81232,"1,633",,R81863,412
R81101,"10,313","135,875",7.59%,,R81066,0,0,0,,R81238,654,,R81912,116
R81103,"14,045","175,566",8.00%,,R81067,0,0,0,,R81251,456,,R81918,419
R81107,"24,612","352,110",6.99%,,R81068,0,0,"36,051",,R81255,779,,R81963,"3,268"
R81109,"24,485","306,442",7.99%,,R81069,0,0,0,,R81269,"2,599",,R81969,42
R81112,"23,818","340,751",6.99%,,R81071,0,0,0,,R81278,"2,025",,R81972,"1,176"
R81116,"16,620","237,775",6.99%,,R81072,0,0,"13,633",,R81285,"7,058",,R82011,70
R81117,"3,306","47,297",6.99%,,R81073,0,0,"9,969",,R81286,112,,R82022,"1,118"
R81118,0,0,6.99%,,R81075,0,0,"8,802",,R81287,"2,589",,R82031,960
R81119,"6,669","95,406",6.99%,,R81076,10,0,"30,550",,R81288,"1,160",,R82055,31
R81121,"31,784","418,755",7.59%,,R81077,0,0,0,,R81297,793,,R82083,"1,770"
R81122,0,0,8.00%,,R81078,0,0,0,,R81308,356,,R82201,464
R81125,"23,287","333,143",6.99%,,R81081,0,0,"18,303",,R81309,"1,488",,R82335,"3,867"
R81127,"30,657","383,698",7.99%,,R81082,0,0,0,,R81315,603,,R82336,982
R81128,"9,433","134,944",6.99%,,R81083,0,0,0,,R81318,688,,R82352,376
R81132,"25,136","331,178",7.59%,,R81085,0,0,0,,R81323,"16,272",,R82366,"1,876"
R81133,"20,078","233,741",8.59%,,R81086,0,0,0,,R81333,317,,R82368,612
R81135,"13,095","163,685",8.00%,,R81087,200,0,"17,900",,R81353,"6,191",,R82377,612
R81136,0,0,7.59%,,R81088,0,0,"32,258",,R81357,199,,R82385,"1,062"
R81139,"5,620","80,403",6.99%,,R81089,0,0,0,,R81358,"1,955",,R82512,212
R81151,"24,516","350,737",6.99%,,R81091,0,0,0,,R81371,"3,693",,R82561,"3,263"
R81152,0,0,6.99%,,R81092,0,0,0,,R81373,"3,974",,R82566,262
R81155,"20,505","293,355",6.99%,,R81093,0,0,0,,R81379,696,,R82619,570
R81157,"8,509","121,734",6.99%,,R81095,0,0,"51,323",,R81383,"2,526",,R82695,"1,039"
R81158,"10,884","155,707",6.99%,,R81096,10,0,"34,670",,R81392,"1,793",,R82708,104
R81159,"4,175","59,732",6.99%,,R81097,0,0,0,,R81393,"5,367",,R82716,636
R81161,"37,855","440,685",8.59%,,R81098,0,0,"10,654",,R81395,"1,681",,R82727,969
R81162,"9,659","138,188",6.99%,,R81099,0,0,0,,R81396,"4,506",,R82758,26
R81163,0,0,6.99%,,R81101,0,0,"10,313",,R81501,"3,909",,R82782,"1,059"
R81166,"5,969","85,390",6.99%,,R81102,0,0,0,,R81507,"3,843",,R82882,329
R81167,"29,252","370,745",7.89%,,R81103,0,0,"14,045",,R81509,90,,R82889,208
R81168,"6,860","98,140",6.99%,,R81105,0,0,0,,R81531,"2,537",,R82977,227
R81169,0,0,7.89%,,R81106,0,0,0,,R81535,"2,281",,R82997,335
R81171,"17,664","232,730",7.59%,,R81107,0,0,"24,612",,R81555,"2,658",,R83006,320
R81172,"18,324","262,139",6.99%,,R81108,0,0,0,,R81586,"1,895",,R83015,230
R81177,"16,119","201,739",7.99%,,R81109,0,0,"24,485",,R81589,"3,854",,R83027,75
R81178,"14,356","205,372",6.99%,,R81112,0,0,"23,818",,R81592,"1,938",,R83093,169
R81181,"16,072","229,934",6.99%,,R81113,0,0,0,,R81596,"1,529",,R83116,694
R81182,"23,010","329,180",6.99%,,R81115,0,0,0,,R81612,"1,080",,R83118,705
R81183,"21,486","283,082",7.59%,,R81116,45,0,"17,164",,R81626,"1,133",,R83131,667
R81185,0,0,7.99%,,R81117,0,0,"3,306",,R81636,"2,752",,R83139,462
R81186,"5,785","82,764",6.99%,,R81118,0,0,0,,R81639,818,,R83183,677
R81191,"12,696","181,636",6.99%,,R81119,0,0,"6,669",,R81651,"14,733",,R83187,343
R81193,"15,830","200,629",7.89%,,R81121,0,0,"31,784",,R81665,"4,089",,R83193,501
R81195,"13,181","164,767",8.00%,,R81122,0,0,0,,R81668,"6,515",,R83199,397
R81199,0,0,7.59%,,R81123,0,0,0,,R81683,553,,R83212,504
R81201,"9,080","113,504",8.00%,,R81125,10,0,"23,407",,R81689,"2,264",,R83225,307
R81202,"11,445","163,730",6.99%,,R81126,0,0,0,,R81707,"5,997",,R83227,720
R81203,"29,129","373,923",7.79%,,R81127,0,0,"30,657",,R81708,"1,457",,R83256,885
R81205,"36,542","469,088",7.79%,,R81128,200,0,"11,833",,R81715,"2,577",,R83262,954
R81206,"26,380","377,392",6.99%,,R81129,0,0,0,,R81716,799,,R83268,282
R81207,"17,882","226,645",7.89%,,R81131,0,0,0,,R81722,"4,233",,R83275,179
R81208,"7,288","104,258",6.99%,,R81132,0,0,"25,136",,R81728,"4,126",,R83276,265
R81211,"9,527","136,292",6.99%,,R81133,0,0,"20,078",,R81733,"2,275",,R83282,112
R81212,"26,713","351,950",7.59%,,R81135,0,0,"13,095",,R81739,"2,279",,R83312,817
R81213,0,0,6.99%,,R81136,0,0,0,,R81753,"3,760",,R83319,405
R81219,"23,003","287,898",7.99%,,R81137,0,0,0,,R81757,"1,492",,R83333,286
R81222,0,0,7.99%,,R81138,0,0,0,,R81768,"2,420",,R83353,232
R81223,"21,136","246,051",8.59%,,R81139,10,0,"5,740",,R81776,271,,R83368,885
R81225,"21,495","269,022",7.99%,,R81151,0,0,"24,516",,R81796,265,,R83376,130
R81226,"14,463","206,914",6.99%,,R81152,0,0,0,,R81803,"2,388",,R83395,"1,820"
R81227,"19,299","244,595",7.89%,,R81153,0,0,0,,R81805,"2,876",,R83508,214
R81228,"14,336","179,199",8.00%,,R81155,0,0,"20,505",,R81811,562,,R83509,142
R81229,"27,897","399,102",6.99%,,R81156,0,0,0,,R81819,132,,R83511,114
R81232,"15,267","186,413",8.19%,,R81157,10,0,"8,629",,R81823,"11,971",,R83523,116
R81233,"33,939","424,769",7.99%,,R81158,0,0,"10,884",,R81825,"2,304",,R83532,294
R81235,"40,156","529,066",7.59%,,R81159,10,0,"4,295",,R81832,74,,R83559,69
R81236,"14,885","188,655",7.89%,,R81161,10,0,"37,975",,R81837,"2,282",,R83575,134
R81237,"11,358","162,496",6.99%,,R81162,0,0,"9,659",,R81861,602,,R83582,256
R81238,"6,318","90,393",6.99%,,R81163,0,0,0,,R81863,723,,R83586,427
R81239,0,0,8.00%,,R81165,0,0,0,,R81865,"1,234",,R83655,"1,198"
R81251,"12,031","172,120",6.99%,,R81166,0,0,"5,969",,R81866,"2,276",,R83656,783
R81252,0,0,6.99%,,R81167,10,0,"29,372",,R81876,"3,294",,R83667,227
R81255,"16,366","234,138",6.99%,,R81168,0,0,"6,860",,R81877,"10,708",,R83677,598
R81256,"20,644","271,989",7.59%,,R81169,0,0,0,,R81888,"7,964",,R83689,860
R81257,"9,393","134,378",6.99%,,R81171,0,0,"17,664",,R81892,952,,R83706,199
R81259,"18,509","264,787",6.99%,,R81172,10,0,"18,444",,R81899,"8,886",,R83791,744
R81261,"20,199","266,126",7.59%,,R81175,0,0,0,,R81909,"2,372",,R83873,184
R81262,0,0,8.00%,,R81176,0,0,0,,R81928,"3,976",,R83882,622
R81263,"14,536","191,509",7.59%,,R81177,0,0,"16,119",,R81935,"1,001",,R83906,238
R81265,"15,749","202,165",7.79%,,R81178,0,0,"14,356",,R81936,"2,344",,R83927,11
R81266,"27,967","400,094",6.99%,,R81181,0,0,"16,072",,R81951,"3,337",,R83936,146
R81267,"9,018","129,016",6.99%,,R81182,31,0,"23,380",,R81959,"1,744",,R83967,"1,179"
R81269,"37,646","471,166",7.99%,,R81183,0,0,"21,486",,R81962,"15,575",,R83995,175
R81271,"8,946","111,820",8.00%,,R81185,0,0,0,,R81963,"4,338",,R85016,284
R81272,"16,059","229,748",6.99%,,R81186,0,0,"5,785",,R81965,"1,961",,R85017,"1,613"
R81273,"13,013","186,166",6.99%,,R81187,0,0,0,,R81969,135,,R85019,171
R81275,"6,536","93,512",6.99%,,R81188,0,0,"17,150",,R81971,928,,R85021,113
R81277,"17,695","253,151",6.99%,,R81189,0,0,0,,R81972,"2,225",,R85057,660
R81278,"14,799","185,218",7.99%,,R81191,0,0,"12,696",,R81978,"3,266",,R85066,79
R81279,"35,387","506,245",6.99%,,R81192,0,0,0,,R82009,"1,611",,R85078,381
R81282,0,0,8.19%,,R81193,200,0,"18,230",,R82011,333,,R85168,364
R81283,"26,593","380,444",6.99%,,R81195,10,0,"13,301",,R82015,"1,516",,R85169,556
R81285,"57,739","672,167",8.59%,,R81197,0,0,0,,R82029,"1,040",,R85172,993
R81286,"19,405","277,610",6.99%,,R81198,0,0,0,,R82031,"1,362",,R85182,180
R81287,"30,202","387,698",7.79%,,R81199,0,0,0,,R82053,"2,095",,R85199,"1,097"
R81288,"16,042","211,353",7.59%,,R81201,0,0,"9,080",,R82056,"2,463",,R85207,426
R81291,"19,115","273,469",6.99%,,R81202,0,0,"11,445",,R82076,"1,903",,R85212,"1,001"
R81292,"25,070","291,856",8.59%,,R81203,0,0,"29,129",,R82081,"3,253",,R85216,75
R81293,"13,910","198,997",6.99%,,R81205,0,0,"36,542",,R82083,"2,012",,R85263,233
R81295,"7,460","98,284",7.59%,,R81206,0,0,"26,380",,R82088,"7,345",,R85286,44
R81296,"24,657","352,752",6.99%,,R81207,0,0,"17,882",,R82105,"8,221",,R85289,327
R81297,"11,931","157,191",7.59%,,R81208,0,0,"7,288",,R82109,"4,820",,R85292,183
R81298,0,0,6.99%,,R81209,0,0,0,,R82201,"1,226",,R85302,739
R81302,"40,186","574,913",6.99%,,R81211,0,0,"9,527",,R82209,"3,470",,R85311,"1,758"
R81303,"24,069","317,115",7.59%,,R81212,10,0,"26,833",,R82306,"7,423",,R85317,"1,082"
R81305,"8,872","126,928",6.99%,,R81213,0,0,0,,R82329,"3,656",,R85356,361
R81306,"11,264","140,794",8.00%,,R81216,0,0,0,,R82336,"1,863",,R85365,123
R81307,"62,470","823,055",7.59%,,R81217,0,0,0,,R82363,558,,R85371,483
R81308,"18,069","258,500",6.99%,,R81219,0,0,"23,003",,R82365,906,,R85391,"2,006"
R81309,"20,057","264,256",7.59%,,R81221,0,0,0,,R82366,"9,562",,R85557,"1,640"
R81311,"8,660","105,744",8.19%,,R81222,0,0,0,,R82368,"1,099",,R85558,128
R81312,0,0,6.99%,,R81223,0,0,"21,136",,R82377,628,,R85572,6
R81315,"4,254","56,048",7.59%,,R81225,0,0,"21,495",,R82379,"3,251",,R85576,394
R81316,0,0,6.99%,,R81226,0,0,"14,463",,R82385,"1,653",,R85605,132
R81317,"6,551","93,716",6.99%,,R81227,0,0,"19,299",,R82393,"3,817",,R85609,23
R81318,"7,856","112,386",6.99%,,R81228,0,0,"14,336",,R82395,"2,216",,R85658,688
R81321,"11,920","157,047",7.59%,,R81229,0,0,"27,897",,R82506,"1,246",,R85666,754
R81323,"27,901","367,607",7.59%,,R81231,0,0,0,,R82511,"2,230",,R85668,89
R81325,"17,948","224,625",7.99%,,R81232,0,0,"15,267",,R82512,693,,R85678,706
R81326,"14,798","211,709",6.99%,,R81233,0,0,"33,939",,R82518,"1,745",,R85699,358
R81327,"5,570","79,680",6.99%,,R81235,0,0,"40,156",,R82533,"2,712",,R85708,"1,409"
R81328,0,0,8.00%,,R81236,0,0,"14,885",,R82539,"3,249",,R85716,"1,517"
R81329,0,0,6.99%,,R81237,0,0,"11,358",,R82561,"1,934",,R85723,230
R81331,"19,315","276,328",6.99%,,R81238,0,0,"6,318",,R82566,579,,R85766,93
R81333,"29,269","418,729",6.99%,,R81239,0,0,0,,R82573,"3,742",,R85771,6
R81335,0,0,7.59%,,R81251,0,0,"12,031",,R82586,"2,301",,R85775,183
R81338,"25,375","363,013",6.99%,,R81252,100,0,"1,200",,R82591,"8,691",,R85785,54
R81339,0,0,8.59%,,R81253,0,0,0,,R82598,"1,394",,R85807,"2,479"
R81352,"22,656","283,558",7.99%,,R81255,0,0,"16,366",,R82603,"4,683",,R85925,842
R81353,"34,793","458,406",7.59%,,R81256,10,0,"20,764",,R82615,"4,695",,R85929,744
R81355,"19,256","275,472",6.99%,,R81257,0,0,"9,393",,R82619,721,,R85956,260
R81356,"21,251","272,804",7.79%,,R81258,0,0,0,,R82638,"7,615",,R85962,11
R81357,"18,277","261,476",6.99%,,R81259,0,0,"18,509",,R82653,"10,773",,R85965,294
R81358,"30,357","353,396",8.59%,,R81261,10,0,"20,319",,R82661,"5,090",,R85976,205
R81359,"6,878","80,066",8.59%,,R81262,0,0,0,,R82662,108,,R86087,136
R81361,"22,209","258,548",8.59%,,R81263,0,0,"14,536",,R82673,910,,R86127,465
R81362,"13,493","177,773",7.59%,,R81265,0,0,"15,749",,R82681,"10,512",,R86131,"1,446"
R81369,"16,357","234,003",6.99%,,R81266,0,0,"27,967",,R82688,"1,346",,R86166,10
R81371,"31,624","416,652",7.59%,,R81267,200,0,"11,418",,R82693,504,,R86168,"2,264"
R81372,"13,671","195,584",6.99%,,R81268,0,0,0,,R82695,"1,953",,R86175,"1,190"
R81373,"34,289","399,170",8.59%,,R81269,0,0,"37,646",,R82708,236,,R86178,26
R81375,688,"9,843",6.99%,,R81271,0,0,"8,946",,R82716,"1,189",,R86181,105
R81376,"60,083","859,550",6.99%,,R81272,0,0,"16,059",,R82719,"5,341",,R86205,676
R81378,"17,483","250,109",6.99%,,R81273,0,0,"13,013",,R82727,"1,838",,R86212,335
R81379,"14,575","208,519",6.99%,,R81275,0,0,"6,536",,R82752,36,,R86228,735
R81381,"9,935","142,132",6.99%,,R81276,0,0,0,,R82758,67,,R86229,255
R81382,"10,254","146,700",6.99%,,R81277,0,0,"17,695",,R82762,"11,091",,R86266,"1,004"
R81383,"35,790","416,644",8.59%,,R81278,0,0,"14,799",,R82765,"2,230",,R86267,521
R81385,0,0,6.99%,,R81279,200,0,"37,787",,R82771,"4,903",,R86268,284
R81387,"22,721","325,050",6.99%,,R81282,0,0,0,,R82772,"2,979",,R86298,255
R81388,0,0,7.59%,,R81283,0,0,"26,593",,R82776,"3,576",,R86301,89
R81389,0,0,6.99%,,R81285,0,0,"57,739",,R82782,"3,710",,R86308,464
R81391,"43,063","501,321",8.59%,,R81286,0,0,"19,405",,R82788,"5,057",,R86312,845
R81392,"34,651","456,532",7.59%,,R81287,0,8,"30,202",,R82801,"2,770",,R86331,"1,463"
R81393,"83,405","1,098,881",7.59%,,R81288,0,0,"16,042",,R82805,"3,868",,R86335,829
R81395,"41,749","564,937",7.39%,,R81291,15,0,"19,289",,R82808,"2,221",,R86352,894
R81396,"37,077","464,038",7.99%,,R81292,0,0,"25,070",,R82809,639,,R86353,952
R81397,"11,982","184,342",6.50%,,R81293,0,0,"13,910",,R82826,"1,051",,R86355,115
R81399,"15,234","217,943",6.99%,,R81295,0,0,"7,460",,R82831,"11,447",,R86376,893
R81501,"34,350","452,570",7.59%,,R81296,0,0,"24,657",,R82832,948,,R86377,804
R81502,"11,624","166,301",6.99%,,R81297,0,0,"11,931",,R82859,"1,813",,R86383,94
R81503,"38,579","508,291",7.59%,,R81298,0,0,0,,R82881,"4,221",,R86387,153
R81505,"29,161","417,184",6.99%,,R81299,0,0,0,,R82889,387,,R86398,76
R81507,"19,707","246,642",7.99%,,R81302,10,0,"40,306",,R82906,"4,561",,R86399,81
R81508,0,0,7.59%,,R81303,0,0,"24,069",,R82927,"1,244",,R86508,191
R81509,"7,855","112,378",6.99%,,R81305,10,0,"8,992",,R82956,"2,851",,R86509,77
R81511,"16,444","205,808",7.99%,,R81306,0,0,"11,264",,R82962,"2,032",,R86527,645
R81512,"19,331","276,555",6.99%,,R81307,0,0,"62,470",,R82969,621,,R86528,"1,549"
R81515,"33,926","446,985",7.59%,,R81308,0,0,"18,069",,R82997,634,,R86539,55
R81516,"19,449","278,234",6.99%,,R81309,0,0,"20,057",,R83002,"1,722",,R86553,480
R81517,"10,589","151,495",6.99%,,R81311,200,0,"11,060",,R83027,234,,R86558,393
R81519,"15,910","227,612",6.99%,,R81312,200,0,"2,400",,R83067,"1,744",,R86563,"1,255"
R81521,"16,121","230,626",6.99%,,R81313,0,0,0,,R83093,470,,R86569,788
R81522,"17,212","246,242",6.99%,,R81315,200,0,"6,654",,R83102,"2,976",,R86571,27
R81523,"44,604","638,117",6.99%,,R81316,51,0,610,,R83116,"1,407",,R86573,697
R81525,"18,400","263,229",6.99%,,R81317,0,0,"6,551",,R83118,"1,296",,R86579,"1,440"
R81526,"39,552","491,334",8.05%,,R81318,0,0,"7,856",,R83139,"3,246",,R86585,170
R81529,0,0,7.59%,,R81319,0,0,0,,R83162,"4,327",,R86588,102
R81531,"14,678","193,384",7.59%,,R81321,200,0,"14,320",,R83168,"4,257",,R86592,118
R81532,"24,066","280,158",8.59%,,R81322,0,0,0,,R83171,"1,737",,R86595,883
R81533,"10,764","141,817",7.59%,,R81323,200,0,"30,301",,R83183,878,,R86616,33
R81535,"22,798","300,365",7.59%,,R81325,200,0,"20,348",,R83187,688,,R86629,219
R81536,"23,900","314,887",7.59%,,R81326,0,0,"14,798",,R83191,"2,736",,R86637,51
R81537,"34,589","494,833",6.99%,,R81327,0,0,"5,570",,R83193,904,,R86638,569
R81538,0,0,7.59%,,R81328,0,0,0,,R83198,"9,859",,R86658,66
R81539,0,0,7.59%,,R81329,0,0,0,,R83199,519,,R86661,217
R81551,"31,321","448,087",6.99%,,R81331,10,0,"19,435",,R83212,478,,R86662,159
R81552,"29,227","385,078",7.59%,,R81332,0,0,0,,R83213,"2,736",,R86666,29
R81555,"32,665","430,365",7.59%,,R81333,0,0,"29,269",,R83217,"1,746",,R86682,69
R81556,"10,309","147,482",6.99%,,R81335,0,0,0,,R83226,565,,R86687,75
R81557,"2,324","30,615",7.59%,,R81336,0,0,0,,R83227,840,,R86689,907
R81558,"12,926","184,920",6.99%,,R81338,0,0,"25,375",,R83237,"1,768",,R86691,425
R81559,"16,628","219,081",7.59%,,R81339,0,0,0,,R83262,"1,515",,R86696,234
R81561,"26,337","376,784",6.99%,,R81351,0,0,0,,R83269,"3,904",,R86697,188
R81562,"37,629","495,767",7.59%,,R81352,0,0,"22,656",,R83275,349,,R86698,137
R81565,"18,003","219,817",8.19%,,R81353,0,0,"34,793",,R83276,974,,R86716,95
R81566,"15,399","220,299",6.99%,,R81355,200,8,"21,656",,R83279,7,,R86721,28
R81567,"8,179","117,007",6.99%,,R81356,0,0,"21,251",,R83281,"1,117",,R86751,"1,445"
R81568,"15,910","227,610",6.99%,,R81357,0,0,"18,277",,R83286,"1,375",,R86761,289
R81569,"25,814","369,306",6.99%,,R81358,0,0,"30,357",,R83301,"2,344",,R86769,94
R81573,"17,654","232,601",7.59%,,R81359,200,0,"9,278",,R83318,"1,793",,R86771,317
R81575,"39,288","517,629",7.59%,,R81361,0,0,"22,209",,R83319,594,,R86777,275
R81578,"10,440","149,354",6.99%,,R81362,200,0,"15,893",,R83327,"3,644",,R86791,29
R81579,"10,913","170,785",6.39%,,R81363,0,0,0,,R83329,"4,356",,R86797,11
R81581,0,0,6.99%,,R81365,0,0,0,,R83333,525,,R86798,218
R81583,"12,446","178,053",6.99%,,R81366,0,0,0,,R83339,"2,193",,R86799,75
R81585,"26,421","330,673",7.99%,,R81367,0,0,0,,R83353,891,,R86819,132
R81586,"18,833","248,123",7.59%,,R81368,0,0,0,,R83357,565,,R86821,152
R81587,"20,180","265,874",7.59%,,R81369,0,0,"16,357",,R83367,"2,134",,R86822,587
R81588,"9,718","139,027",6.99%,,R81371,0,0,"31,624",,R83368,"1,728",,R86825,6
R81589,"37,797","497,986",7.59%,,R81372,10,0,"13,791",,R83376,430,,R86832,207
R81591,"13,108","187,523",6.99%,,R81373,0,0,"34,289",,R83378,"3,659",,R86837,186
R81592,"23,009","303,144",7.59%,,R81375,49,0,"1,276",,R83393,"3,564",,R86838,801
R81593,"57,365","755,803",7.59%,,R81376,0,0,"60,083",,R83395,"2,720",,R86839,"1,436"
R81596,"10,826","142,630",7.59%,,R81377,0,0,0,,R83506,"2,733",,R86852,114
R81597,"28,848","412,704",6.99%,,R81378,0,0,"17,483",,R83508,"6,440",,R86859,102
R81598,"31,356","413,123",7.59%,,R81379,0,0,"14,575",,R83511,255,,R86861,"2,401"
R81599,"34,837","498,384",6.99%,,R81381,0,0,"9,935",,R83519,"4,463",,R86863,89
R81601,"49,089","571,465",8.59%,,R81382,0,0,"10,254",,R83532,"1,762",,R86865,39
R81602,0,0,8.59%,,R81383,0,0,"35,790",,R83533,"1,834",,R86868,96
R81605,"25,042","329,929",7.59%,,R81385,200,0,"2,400",,R83538,302,,R86871,53
R81606,"31,569","451,632",6.99%,,R81386,0,0,0,,R83551,"5,406",,R86875,922
R81607,0,0,6.99%,,R81387,200,0,"25,121",,R83561,440,,R86876,33
R81611,"20,748","273,357",7.59%,,R81388,54,0,653,,R83562,"1,447",,R86877,"1,259"
R81612,"9,538","125,664",7.59%,,R81389,0,0,0,,R83566,"1,175",,R86879,562
R81615,"33,585","480,467",6.99%,,R81391,0,0,"43,063",,R83572,"1,130",,R86883,74
R81616,"16,806","240,434",6.99%,,R81392,0,0,"34,651",,R83575,189,,R86891,232
R81617,"23,571","337,211",6.99%,,R81393,10,0,"83,525",,R83576,"2,147",,R86895,221
R81618,0,0,8.00%,,R81395,0,0,"41,749",,R83582,626,,R86902,87
R81621,"25,257","332,764",7.59%,,R81396,0,0,"37,077",,R83586,"1,262",,R86905,75
R81622,"19,417","226,038",8.59%,,R81397,0,0,"11,982",,R83596,631,,R86906,85
R81623,"26,328","376,658",6.99%,,R81398,0,0,0,,R83598,503,,R86912,38
R81625,"12,399","177,385",6.99%,,R81399,0,0,"15,234",,R83599,"6,658",,R86915,"1,072"
R81626,"17,271","215,885",8.00%,,R81501,0,0,"34,350",,R83616,"8,406",,R86916,186
R81627,"21,758","311,276",6.99%,,R81502,0,0,"11,624",,R83656,"1,970",,R86928,"2,473"
R81628,0,0,6.99%,,R81503,0,0,"38,579",,R83662,15,,R86933,460
R81629,"23,966","342,857",6.99%,,R81505,0,0,"29,161",,R83677,841,,R86939,867
R81631,0,0,6.99%,,R81506,0,0,0,,R83682,"4,637",,R86951,312
R81632,"2,111","26,389",8.00%,,R81507,0,0,"19,707",,R83689,"2,207",,R86963,53
R81633,"19,741","260,086",7.59%,,R81508,50,0,600,,R83706,481,,R86966,383
R81635,"26,860","384,258",6.99%,,R81509,0,0,"7,855",,R83731,"4,994",,R86967,9
R81636,"45,438","598,661",7.59%,,R81511,200,0,"18,844",,R83737,"1,055",,R86977,297
R81638,"31,416","365,732",8.59%,,R81512,0,0,"19,331",,R83762,9,,R86979,25
R81639,"11,916","170,476",6.99%,,R81513,0,0,0,,R83772,"2,358",,R86989,546
R81651,"33,093","414,180",7.99%,,R81515,0,0,"33,926",,R83775,"4,927",,R86997,193
R81652,"14,343","205,195",6.99%,,R81516,0,0,"19,449",,R83791,668,,R87001,166
R81655,"56,421","743,365",7.59%,,R81517,0,0,"10,589",,R83803,"1,785",,R87012,379
R81656,"28,513","407,918",6.99%,,R81518,0,0,0,,R83808,"10,648",,R87013,"1,292"
R81657,0,0,6.99%,,R81519,0,0,"15,910",,R83835,"3,204",,R87017,560
R81658,"8,695","114,561",7.59%,,R81521,200,0,"18,521",,R83869,"2,899",,R87021,"2,165"
