Snowball Map,ID,Name,Business Type,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range
41982,1040ef9d9014d4a1,Ramen Yutaka,Restaurant,84 First Commerce Dr,Aurora,ON,L4G 0H5,Canada,,,,,,(905) 841-3868,,Japanese,$$
41983,1073ffdf1be10f64,Fu Ji Fuji noodle house,Restaurant,3443 Wolfedale Rd,Mississauga,ON,L5C 1V8,Canada,,,,,,(905) 277-0001,,Chinese; Taiwanese,$
41984,1371caf47d51381e,Zen Kitchen,Restaurant,6461 Mississauga Rd,Mississauga,ON,L5N 1A6,Canada,,,,,,(905) 812-1234,,Chinese,
41985,03173051ec159edb,Tasty Fusion,Restaurant,6102 48 Ave,Camrose,AB,T4V 0K5,Canada,,,,,,(780) 673-3286,,Japanese; Thai,$$$
41986,02f7d3ecb4b1e77a,CHUN FUN HOW (Rmd),Hotel/Resort; Restaurant,4751 Garden City Rd,Richmond,BC,V6X 3M7,Canada,,,,,,(604) 285-6922,,Chinese,
41987,02366ec37496c9a2,KLN Cafe | 免運費套餐 (MK),Cafe; Restaurant,8360 Kennedy Rd,Markham,ON,L3R 9W4,Canada,,,,,,(905) 948-1389,,American; Chinese,
41988,04c114b31ec3985e,Toto Sushi,Restaurant,1455 Gerrard St E,Toronto,ON,M4L 1Z9,Canada,,,,,,(416) 546-4231,,Japanese,
41989,01c409507b0887ce,Sushi Gurume,Restaurant,1350 56 St,Delta,BC,V4L 2A4,Canada,,,info@sushigurume.com,,,(604) 948-9018,info@sushigurume.com,Japanese,
41990,041f3139ab442bd3,Hakka Spice,Restaurant,3105 Winston Churchill Blvd,Mississauga,ON,L5L 5S3,Canada,,,,,,(905) 606-2086,,Indian; Chinese,$$
41991,03eb689427ee997f,Sushi U,Restaurant,5901 Broadway,Burnaby,BC,V5B 2Y1,Canada,,,,,2016,(604) 291-0080,,Japanese,$$
41992,0caee06b4f5444da,Gong Kee BBQ Noodle House,Restaurant,4527 8 Ave SE,Calgary,AB,T2A 0A7,Canada,,,,,,(403) 235-1993,,Vietnamese; Chinese,$
41993,0efd5d898891785e,Wok This Way,Restaurant,4028 50 St NW,Edmonton,AB,T6L 5N3,Canada,,,wokthiswayrestaurant@gmail.com,,,(780) 577-0039,wokthiswayrestaurant@gmail.com,Chinese,$$
41994,0d4a78c91a1f2bd1,mizu sushi co.,Hotel/Resort; Restaurant,1507 Powell St,Vancouver,BC,V5L 5C3,Canada,,,eat@mizusushi.co,,,(514) 827-5837,,Japanese,$$$
41995,0e27b71bd72f5ab5,Samurai Bowl Whistler,Hotel/Resort; Restaurant,2011 Innsbruck Dr,Whistler,BC,V8E 0N3,Canada,,,,,,(604) 935-0055,,Japanese,$
41996,1017a62626b199d1,Mr. Congee Chinese Cuisine,Restaurant,2900 Warden Ave,Toronto,ON,M1W 2S8,Canada,,,,,,(416) 551-3223,,Vietnamese; Chinese; Thai,$$
41997,0fbb01558a84cf2c,Juicy Dumpling,Restaurant,2150 Yonge St,Toronto,ON,M4S 2A8,Canada,,,,,,(416) 489-2068,,Chinese,$
41998,0ef328f2d22cda2a,Diamond Sushi,Restaurant,516 Bryne Dr,Barrie,ON,L4N 9P6,Canada,Ben,J,,,2008,(705) 739-0888,diamondsushi8@gmail.com,Japanese,$$
41999,0c607a82e68f6447,Hong Kong West,Restaurant,1807 Fort St,Victoria,BC,V8R 1J6,Canada,,,,,,(250) 598-1352,,Chinese,$$
42000,0b3ed8519ca5564c,Arigato Sushi Valleyview,Restaurant,1821 Trans Canada Hwy E,Kamloops,BC,V2C 3Z7,Canada,,,,,,(250) 372-9244,,Japanese,$$
42001,0833eb67852a752c,Tai Yan Palace,Restaurant,11925 Tecumseh Rd,Tecumseh,ON,N8N 1L8,Canada,,,keithwindsor@gmail.com,,,(519) 735-8810,keithwindsor@gmail.com,Chinese,$
42002,070806b53699faa1,Full Yuan Seafood Restaurant,Restaurant,3833 Midland Ave,Toronto,ON,M1V 5L6,Canada,,,,,,(416) 335-3676,,Chinese,$$
42003,13c102900b3554e4,Chicken Avenue,Restaurant,128 2 Ave SE,Calgary,AB,T2G 5J5,Canada,,,,,,(403) 454-4514,ca.chickenavenue@gmail.com,Chinese,$$
42004,102c5a9bbb72a336,Zen Gardens,Restaurant,6980 Maritz Dr,Mississauga,ON,L5W 1Z3,Canada,,,zengardens.vegetarian@gmail.com,,,(905) 564-2660,zengardens.vegetarian@gmail.com,Japanese; Chinese; Thai,$$
42005,13703327ba609c8c,Chili Island,Restaurant,4600 130 Ave SE,Calgary,AB,T2Z 0C2,Canada,,,,,,(403) 726-0733,,Chinese; Thai,$$
42006,01bd1a8d563c9c2c,Dragon City Restaurant,Restaurant,328 Esplanade Ave,Ladysmith,BC,V9G 1A1,Canada,,,,,,(250) 245-8689,,Chinese,$$
42007,034f5af9d69e821f,Bojo's Restaurant,Restaurant,117 Main St,Springdale,NL,A0J 1T0,Canada,,,,,,(709) 673-3733,,Chinese,$$
42008,15b0fef3ef5eb494,Yuwa Japanese Cuisine,Restaurant,2775 W 16th Ave,Vancouver,BC,V6K 3C3,Canada,Masahiro,Omori,,,,(604) 731-9378,yuwajapanese@gmail.com,Japanese,$$$
42009,0a923ea215e5cbe1,Umami Sushi,Restaurant,3459 Bathurst St,Toronto,ON,M6A 2C5,Canada,Andrew,Novak,,,2002,(416) 782-3375,info@umamisushi.ca,Japanese,$$
42010,0a48406c298c4477,Genji Sushi,Restaurant,184 Wyse Rd,Halifax,NS,B3A 1M9,Canada,,,,,,(902) 405-5550,info@genjisushi.ca,Japanese,$$
42011,0aa1e57f455b9690,Anabolic Eats,Bakery; Restaurant,145 Elinor Ave,Toronto,ON,M1R 3H5,Canada,,,,,,(416) 999-2226,,Japanese; Italian; Spanish,$$
42012,0a205e90071a5e4e,You Don Ya,Hotel/Resort; Restaurant,108 Dundas St W,Toronto,ON,M5G 1C3,Canada,A.,Yonge Kim,,,2018,(647) 748-9399,,Japanese,$$
42013,18844162ca4b5c18,Kiyo Sushi,Restaurant,11590 Cambie Rd,Richmond,BC,V6X 3Z5,Canada,,,,,,(604) 214-1388,kiyosushi.ca@gmail.com,Japanese,$$
42014,18c97889e7469d41,Ko Chicken + Ramen,Restaurant,3207 Preston Ave S,Saskatoon,SK,S7T 1C9,Canada,,,ko.ramenbar@gmail.com,,,(306) 979-8866,ko.ramenbar@gmail.com,Japanese,$$
42015,1ce8b1f17e9994b3,Swatow Restaurant,Restaurant,309 Spadina Ave,Toronto,ON,M5T 2E6,Canada,,,,,,(416) 977-0601,,Chinese,$
42016,22d6d7dd04593f64,Blue Diamond Restaurant,Restaurant,384 Silin Forest Rd,Wood Buffalo,AB,T9H 4A3,Canada,,,,,,(780) 791-1800,,American; Chinese,$$
42017,23bd1211b261f7f5,Le Hoa Oriental Restaurant,Hotel/Resort; Restaurant,216 Scott St,Fort Frances,ON,P9A 1G7,Canada,,,,,,(807) 274-3722,,Chinese,$$
42018,233aac4b3f894961,E & W Restaurant,Hotel/Resort; Restaurant,1011 2 St N,Three Hills,AB,T0M 2A0,Canada,,,,,,(403) 443-2388,,Chinese,$
42019,237b2718b06a726a,Noodle Me,Restaurant,2422 Bloor St W,Toronto,ON,M6S 1P9,Canada,,,,,,(416) 766-3773,,Chinese,$
42020,1e35a6bc926d60dc,Shanghai City Restaurant,Restaurant,2000 Island Hwy N,Nanaimo,BC,V9S 5W3,Canada,,,contact@shcrestaurant.com,,,(250) 756-9368,,Chinese; Thai,$
42021,1e0f119861c2c955,Langham King Restaurant,Restaurant,236 Main St E,Langham,SK,S0K 2L0,Canada,,,,,,(306) 283-2868,,Chinese,
42022,2094bf44783cb3e7,Golden Capital,Restaurant,1139 Baxter Rd,Ottawa,ON,K2C 3R4,Canada,,,,,,(613) 596-1266,,Chinese,$
42023,208bce64bd7d5a1c,Miga Korean & Japanese BBQ Retaurant,Restaurant,2382 Dundas St W,Mississauga,ON,L5K 1R7,Canada,,,rim8200@gmail.com,,,(905) 822-9200,rim8200@gmail.com,Japanese,$$
42024,1cabb5e3b7e17fa9,Singapore Express (Richmond Centre),Restaurant,6551 Number 3 Road,Richmond,BC,V6Y 2B6,Canada,,,,,,(604) 370-0550,,Singaporean; Chinese,
42025,1de195e8a78049ea,Green Leaf Sushi l Burnaby,Restaurant,9604 Cameron St,Burnaby,BC,V3J 1M2,Canada,,,,,,(604) 444-9802,,Japanese,$$
42026,21c83d5093579508,Hokkaido Ramen Santouka,Restaurant,2057 Yonge St,Toronto,ON,M4S 2A2,Canada,,,,,,(647) 351-1163,,Chinese,$$
42027,22b118b73ef9e278,China Kitchen,Restaurant,1020 Sherwood Dr,Strathcona County,AB,T8A 2G4,Canada,,,,,,(780) 449-3307,,Chinese,$
42028,264c502a77f16026,Odine Japanese & Thai Fusion,Restaurant,269 Kingston Rd E,Ajax,ON,L1Z 0K5,Canada,Fausta,Leung,,,,(905) 686-6888,info@odine.ca,Korean; Japanese; Vietnamese; Thai,$$
42029,257d8e281ddea6c4,Karaage Mukai,Restaurant,547 Danforth Ave,Toronto,ON,M4K 1P7,Canada,,,,,,(647) 351-9981,,Japanese,
42030,21782d07f8ea25a9,Tidbit Restaurant,Hotel/Resort; Restaurant,74 Main St S,Carman,MB,R0G 0J0,Canada,,,,,,(204) 745-6448,,Chinese,$
42031,20b83a222195e64a,The Spice Route,Restaurant,15 Gateway Blvd,Brampton,ON,L6T 0H4,Canada,,,,,,(905) 789-8884,,Indian; Chinese,$
42032,25268264420d9c6f,Gol's Lanzhou Noodle,Restaurant,2795 Pembina Hwy,Winnipeg,MB,R3T 2H5,Canada,,,,,,(204) 261-0030,,Chinese,$$
42033,249afe1f452154ee,Good Buddy,Restaurant; Quick Service,2059 111 St NW,Edmonton,AB,T6J 4V9,Canada,,,goodbuddysouthedmonton@gmail.com,,,(780) 432-6050,goodbuddysouthedmonton@gmail.com,Chinese,$$
42034,23da39be1e66ec35,Sushi Date,Restaurant,18 King St E,Caledon,ON,L7E 1E8,Canada,,,,,,(905) 857-8989,,Japanese,$$
42035,23d8b75f70974be4,Shanghai Dumpling King,Restaurant,3490 Kingsway,Vancouver,BC,V5R 5L7,Canada,,,,,,(604) 428-8638,,Chinese,$
42036,2495cba62399af02,Sushi Inn,Restaurant; Ice Cream Shop,3772 W 10th Ave,Vancouver,BC,V6R 2G4,Canada,,,sushiinn3772@gmail.com,,2011,(604) 739-3818,sushiinn3772@gmail.com,Canadian; Japanese,$$
42037,1924c0b512f2b214,Nami,Hotel/Resort; Restaurant,55 Adelaide St E,Toronto,ON,M5C 1K6,Canada,,,,,1984,(416) 362-7373,namirestauranttock@gmail.com,Japanese,$$$
42038,1b7d943450d080bd,Ann's Donburi Chang An Xiao Fan Tang,Restaurant,37 Sheppard Ave E,Toronto,ON,M2N 2Z8,Canada,,,,,,(647) 326-0113,,Chinese,$
42039,17ca513e7f297f14,Chinese Halal Restaurant,Restaurant,101 Ravel Rd,Toronto,ON,M2H 1T1,Canada,,,,,2010,(416) 498-9800,,American; Chinese,$$
42040,1a6de86f668a3150,Jinzakaya,Restaurant,75 King St S,Waterloo,ON,N2J 1P2,Canada,,,jinzakya@hotmail.com,,,(519) 880-8188,kinkakuizakaya@hotmail.com,Japanese,$$
42041,1b243a9f13547e95,Timmy Kitchen,Restaurant; Drinking Place,3791 Bayview St,Richmond,BC,V7E 3B6,Canada,,,,,,(604) 275-1112,,Chinese,$$$
42042,1b6d0c488d8b21c6,Don's Dining,Restaurant,9840 97 Ave,Grande Prairie,AB,T8V 7K2,Canada,,,donsdining@gmail.com,,,(780) 513-2888,donsdining@gmail.com,Chinese,$
42043,16904cd31379741f,Monsieur Wong's,Restaurant,3515 50 Ave,Red Deer,AB,T4N 3Y5,Canada,,,,,,(403) 347-5320,,American; Chinese,$$
42044,15d5b44e92090855,China Town Eatery,Restaurant,127 Campbell Ave,St John's,NL,A1E 2Z5,Canada,,,,,,(709) 738-7388,,Chinese,$$
42045,2c140ca12857f0c3,Sang Yuan Online Market Inc.,Restaurant,13900 Bridgeport Rd,Richmond,BC,V6V 1V3,Canada,,,,,,(604) 273-8111,,Japanese; Chinese,$
42046,280eef6c3ede9b9d,The Meat Up,Restaurant,3850 No 3 Rd,Richmond,BC,V6X 2C1,Canada,,,,,,(604) 370-4870,,Chinese,
42047,28861ce58064abf7,Tung Hing Bakery (MISS),Bakery; Restaurant,888 Dundas St E,Mississauga,ON,L4Y 2B8,Canada,,,,,,(905) 270-1288,,Chinese,
42048,270d09990b3eaa01,YUBU,Hotel/Resort; Restaurant,199 College St,Toronto,ON,M5T 1P9,Canada,,,,,,(416) 838-9056,,Korean; Japanese,
42049,284273600636390a,AKA-ONI See You Home,Restaurant,633 Silver Star Blvd,Toronto,ON,M1V 5N1,Canada,,,,,,(647) 523-0750,,Japanese,
42050,261d4a10ecfec77d,Mi'hito Sushi Laboratory,Restaurant,55 Avenue Rd,Toronto,ON,M5R 3L2,Canada,,,,,,(416) 922-0845,emily@mihito.ca,Japanese,$
42051,2bc9aac97539c8dc,clay pot Asian food kitchen,Hotel/Resort; Restaurant,2122 Crowchild Trl NW,Calgary,AB,T2M 3Y7,Canada,,,claypotricecalgary@gmail.com,,,(403) 452-9855,claypotricecalgary@gmail.com,Chinese,
42052,2c1a4954b644310f,Panda Chinese Restaurant,Restaurant,3512 Roblin Blvd,Winnipeg,MB,R3R 0C9,Canada,,,,,,(204) 889-7123,,Chinese,$$$
42053,2cd4f618cc88c8f3,Marathon Donuts,Restaurant,3300 Midland Ave,Toronto,ON,M1V 4A1,Canada,,,,,,(416) 299-9511,,Chinese,$
42054,2b76ceef9a35bdab,Asia Palace,Restaurant,1941 Pembina Hwy,Winnipeg,MB,R3T 2G7,Canada,,,asiapalacepembina@gmail.com,,,(204) 275-2238,asiapalacepembina@gmail.com,Vietnamese; Chinese; Thai,$$
42055,2bc210b94957ca18,Ona Noodle Indonesian & Asian Cuisine,Restaurant,797 Gerrard St E,Toronto,ON,M4M 1Y5,Canada,,,,,,(647) 643-3560,,Chinese,
42056,2b7cbf153f50ae27,Akasaka Japanese Restaurant,Restaurant,280 W Beaver Creek Rd,Richmond Hill,ON,L4B 3Z1,Canada,A.,Akasaka Richmond Hill,,,,(905) 764-9291,akasakahwy7@gmail.com,Japanese,$$
42057,1824edf75a44f9f9,Asakusa,Restaurant,150 University Ave W,Waterloo,ON,N2L 3E4,Canada,,,,,,(519) 580-6666,,Japanese,$$
42058,1c1b31d6805ca774,Creole Sensations,Hotel/Resort; Restaurant,165 Montreal Rd,Ottawa,ON,K1L 6E4,Canada,,,,,,(613) 745-8900,,Creole; Haitian; Caribbean; Cajun,$$
42059,1bdbbac42f528b41,Sushi Heaven,Restaurant,457 E Columbia St,New Westminster,BC,V3L 3X6,Canada,,,,,,(604) 549-5010,,Japanese,$
42060,1c30b8a378838d2c,Fortune Express,Hotel/Resort; Restaurant,505 Burrard St,Vancouver,BC,V7X 1E5,Canada,,,,,,(604) 683-2288,,Cantonese; Chinese,$
42061,1f892622f4a1323e,Fudo Japanese Restaurant,Restaurant,777 Royal Oak Dr,Saanich,BC,V8X 4V1,Canada,,,,,,(778) 265-3328,,Japanese,$$
42062,2861acd032056cd2,Saku (Sushi & Taco),Hotel/Resort; Restaurant,478 Queen St W,Toronto,ON,M5V 2B2,Canada,Suyeon,C,,,2006,(416) 368-7258,sakutoronto@hotmail.com,Japanese,$$
42063,286df5019dff9706,China Village,Restaurant; Quick Service,13124 66 St NW,Edmonton,AB,T5C 0B1,Canada,,,,,1980,(780) 476-4727,,Chinese,$$
42064,2aa4490c7b473f99,Ki-Isu Japanese Restaurant,Restaurant,1275 Pacific Blvd,Vancouver,BC,V6Z 2R6,Canada,,,,,,(604) 899-0366,,Japanese,$$
42065,296fb3e9868696d7,Hong Kong Restaurant,Restaurant,5414 46 Ave,Taber,AB,T1G 2A9,Canada,,,,,,(403) 223-1328,,Chinese,$$
42066,2d5927dc0e7d6b35,Mr. Tian Restaurant,Hotel/Resort; Restaurant,75 Dalhousie St,Brantford,ON,N3T 2J1,Canada,,,,,,(519) 753-9088,,Chinese,$
42067,47a623167f3fd728,Kuma Japanese Restaurant,Restaurant,3446 Dunbar St,Vancouver,BC,V6S 2C2,Canada,,,,,,(604) 739-0170,,Japanese,$$
42068,4097c3415b597cf0,Red Bud Restaurant,Restaurant,8360 Granville Ave,Richmond,BC,V6Y 1P3,Canada,,,,,,(604) 285-2822,,Chinese,$$
42069,40cf558d97879e2a,Momo Sushi,Hotel/Resort; Restaurant,377 Bernard Ave,Kelowna,BC,V1Y 6N6,Canada,,,kelowna9191@hotmail.com,,,(250) 763-1030,kelowna9191@hotmail.com,Japanese,$$
42070,41840d3a839b475c,New China Garden,Restaurant,200 County Court Blvd,Brampton,ON,L6W 4K7,Canada,,,,,,(905) 796-7988,,Chinese,$$
42071,418c294e695ea396,China Clipper Restaurant,Restaurant,46 Riverside Dr,Kapuskasing,ON,P5N 1A8,Canada,,,,,,(705) 335-5353,,Chinese,$$
42072,49c6c34193e2138b,Mabu Generation,Restaurant,3235 HWY-7,Markham,ON,L3R 3P3,Canada,,,,,2016,(905) 604-8358,,Korean; Japanese; Chinese; Thai,$$
42073,444594de79f4274c,Hem's Hakka Restaurant,Restaurant,4195 King St E,Kitchener,ON,N2P 0C1,Canada,,,,,,(519) 650-0666,,Chinese,$
42074,4669172526867ddd,Futaba,Hotel/Resort; Restaurant,759 Yates St,Victoria,BC,V8W 0E2,Canada,,,,,,(250) 590-6239,,Japanese,
42075,4874ea8cec24ca67,Mott 32,Hotel/Resort; Restaurant,1161 W Georgia St,Vancouver,BC,V6E 0C6,Canada,,,reservations@mott32.com,,,(604) 861-0032,reservations@mott32.com,Chinese,$$$$
42076,45b435d18e7ca275,Kai Japanese Restaurant,Restaurant,863 Village Dr,Port Coquitlam,BC,V3B 0G9,Canada,,,,,,(604) 554-0282,,Japanese,$$
42077,459e05c8aa5bf636,Big Rock Inn,Restaurant,101 Elizabeth St,Okotoks,AB,T1S 1A5,Canada,,,,,,(403) 938-6611,,Chinese,$$
42078,45b15a1775fef987,Little Asia,Hotel/Resort; Restaurant,Main St,Antigonish,NS,B2G 2C6,Canada,,,,,2016,(902) 872-2888,,Chinese; Thai,$
42079,4609fde241b75118,The Original Shanghai Chop House,Restaurant,610 3 Ave S,Lethbridge,AB,T1J 0H5,Canada,,,mikemacdonald@shanghaichophouse.com,,,(403) 327-3552,mikemacdonald@shanghaichophouse.com,Chinese,$$$
42080,4a5d93790cb64032,TORO,Hotel/Resort; Restaurant,708 View St,Victoria,BC,V8W 1J8,Canada,,,,,,(250) 381-8868,torobarbar@gmail.com,Korean; Filipino; Japanese; Vietnamese; Chinese; Thai,$$$
42081,358abde51bdca391,Dumpling Chef,Hotel/Resort; Restaurant,5640 Spring Garden Rd,Halifax,NS,B3J 3M7,Canada,,,,,,(902) 407-5725,,Chinese,
42082,35f6c0ab8b4f6974,Fishman Lobster Clubhouse Restaurant,Restaurant; Golf/Country Club,680 Silver Star Blvd,Toronto,ON,M1V 5N1,Canada,,,ray99x@gmail.com,,,(416) 321-0250,ray99x@gmail.com,Chinese,$$$$
42083,38d4a9de4b360063,GOGO CHICKEN,Restaurant,3616 52 Ave NW,Calgary,AB,T2L 1V9,Canada,,,,,,(403) 282-2217,,Korean; Japanese,
42084,3a377c52b757d00b,Diana Restaurant,Hotel/Resort; Restaurant,388 Centre St,Drumheller,AB,T0J 0Y4,Canada,,,,,,(403) 823-3030,,Chinese,$$
42085,39f2e185a872feb0,Hello Nori,Hotel/Resort; Restaurant; Drinking Place,1165 Robson St,Vancouver,BC,V6E 1B5,Canada,,,info@hellonori.com,,,(604) 564-9595,info@hellonori.com,Japanese,$$
42086,390d2fd614a716fe,Sweethoney Dessert,Restaurant,5358 Grimmer St,Burnaby,BC,V5H 2H2,Canada,,,info@sweethoneydessert.com,,,(604) 559-8599,info@sweethoneydessert.com,Chinese,
42087,38d95f27852ea54d,Momo Euro Asian Cuisine,Restaurant,12913 97 St NW,Edmonton,AB,T5E 4C2,Canada,,,,,,(587) 520-7979,,Vietnamese; Chinese,
42088,379cc08b8b77e124,Goen Sushi,Restaurant,Brew St,Port Moody,BC,V3H 0E4,Canada,,,,,,(778) 355-7879,,Japanese,$$
42089,3791b54616443754,Dan Dan Noodle,Restaurant,836 Denman St,Vancouver,BC,V6G 2L8,Canada,,,,,,(604) 559-0266,,Chinese,$$
42090,33b5b0f8a9bec438,China Garden,Restaurant,33 Young St,New Tecumseth,ON,L9R 1B5,Canada,,,,,,(705) 435-5300,,Chinese,$
42091,2aa1c81254436f45,Bistro Peekaboo,Restaurant,1297 56 St,Delta,BC,V4L 2A6,Canada,,,,,,(604) 943-7079,,Japanese,$$
42092,2e53620aa95ba91c,Nozomi,Restaurant,3415 Bathurst St,Toronto,ON,M6A 2C1,Canada,,,,,,(647) 676-4841,info@nozomi.ca,Japanese,$$
42093,36b3d68e1ba7abc6,Wok House,Restaurant,238 King St W,Prescott,ON,K0E 1T0,Canada,,,,,,(613) 925-2532,,Chinese,$$
42094,357959f403357e81,Projects Sushi,Restaurant,9275 Markham Rd,Markham,ON,L3P 3J3,Canada,,,,,,(905) 201-6492,,Japanese,$
42095,367ae8f19df3ccde,Simply sushi bar,Restaurant,3309 W Broadway,Vancouver,BC,V6R 2B1,Canada,,,info@vancouverpos.com,,,(604) 739-7181,info@vancouverpos.com,Japanese,$
42096,36ce8a51c4bf752b,Phoenix Restaurant,Restaurant,1 Raymerville Dr,Markham,ON,L3P 5J5,Canada,,Body=Your%20name%3a%0a%0aphone%20number%3a%0a%0ayour%20question%3a,customerservice@phoenix-restaurant.ca?subject=note%20to%20your%20facebook%20page%20phoenix%20restaurant%20%e9%87%91%e9%b3%b3%e9%a4%90%e5%bb%b3&body=your%20name%3a%0a%0aphone%20number%3a%0a%0ayour%20question%3a,,,(905) 471-6536,,Chinese,$$
42097,36e0ac67e6cb7e3b,Shi Yan Lan Zhou Niu Rou Mian Lanzhou Beef Noodles,Restaurant,3217 W Broadway,Vancouver,BC,V6K 2H5,Canada,,,,,,(604) 558-3217,,Japanese; Chinese,$
42098,2f069e747675d888,Happy Lamb Hot Pot,Restaurant,2543 Warden Ave,Toronto,ON,M1W 2H5,Canada,,,,,,(416) 916-9866,,Chinese,$$
42099,2f4ff9396cca697c,Rose Garden Chinese Cuisine,Restaurant; Quick Service; Golf/Country Club,492 University Ave W,Windsor,ON,N9A 5P8,Canada,,,info@windsoreats.com,,,(519) 252-3762,rosegarden@live.ca,Chinese,$$
42100,31128e834a32dcd3,Good Buddy Restaurant,Restaurant,9499 137 Ave NW,Edmonton,AB,T5E 5R8,Canada,,,info@goodbuddygroup.com,,2002,(780) 406-3838,,Chinese,$$
42101,33aa49a1ddf96390,Bourbon St Grill,Restaurant,260 Yonge St,Toronto,ON,M5B 2L9,Canada,,,,,,(416) 977-6688,,Chinese,$
42102,338a165493698a5a,Shizen Japanese Restaurant,Restaurant,1706 Government St,Victoria,BC,V8W 1Z5,Canada,,,,,,(250) 381-8228,,Japanese,$$
42103,2de32cfbf9782a1c,Asian Wok,Restaurant,1319 Commissioners Rd E,London,ON,N6M 0B8,Canada,Tay,Thai,,,,(519) 686-8882,,Chinese,$
42104,2dc4564531315fb5,Yum Yum Village,Restaurant,4812 49 Ave,St Paul,AB,T0A 3A3,Canada,,,,,,(780) 942-2350,,Chinese,
42105,421a93beefaf73d9,Fusia Asian Kitchen,Hotel/Resort; Restaurant,595 Bay St,Toronto,ON,M5G 2C2,Canada,,,,,,(416) 585-9888,,Chinese,$
42106,4043e1ec65c56dc2,Ryo Japanese Food,Restaurant,88 E Pender St,Vancouver,BC,V6A 3X3,Canada,,,,,,(604) 818-1099,,Japanese,
42107,4459f7463283a758,Yummy Ramen,Food Court; Hotel/Resort; Restaurant,4300 Steeles Ave E,Markham,ON,L3R 0Y5,Canada,,,,,,(416) 817-2666,,Japanese; Chinese,$$
42108,445fd168d5b165d8,Sake Sushi,Hotel/Resort; Restaurant,1648 Peninsula Rd,Ucluelet,BC,V0R 3A0,Canada,,,sakesushiukee@gmail.com,,,(250) 726-2323,sakesushiukee@gmail.com,Japanese,$$
42109,43d3b60447f6b313,Old Iron Hotpot | 20% OFF (SC),Restaurant,1883 McNicoll Ave,Toronto,ON,M1V 5M3,Canada,,,,,,(416) 332-6688,,Chinese,
42110,424c99e2f61637dc,Neptune Seafood Restaurant,Bakery; Restaurant,Ackroyd Rd,Richmond,BC,V6X 3K1,Canada,,,,,,(604) 207-9888,,Chinese,
42111,42401d6d9d1d248e,Wo's Chinese Restaurant,Restaurant,8166 Main St,Vancouver,BC,V5X 3L6,Canada,,,,,,(604) 323-8093,,Chinese,$
42112,4c3b226a8e1440f6,Dragon Garden Restaurant,Restaurant,20151 Fraser Hwy,Langley,BC,V3A 4E4,Canada,,,,,,(604) 533-3289,,Chinese,$$
