,Unnamed: 0,Page location,Date,Category,Airfryer_Type,ID,visit_again,form_submission,Snowball Map,Brizo ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
19,23,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=24920,2023/11/13,DM1_envelope,airfryer2,24920,False,False,24920,28ca34243a75f7e4,Lucky Bernie's,"Mon 11am-10pm, Tue Closed, Wed-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun Noon-10pm",13 Nippersink Rd,Fox Lake,IL,60020,United States,,,,,,,,,8476295600.0,0.0,,Chinese,
20,24,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25046,2023/11/14,DM1_envelope,airfryer2,25046,False,True,25046,766a1fce9b866374,Taste of China,"Mon Closed, Tue-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun 11am-9:30pm",6 E 2nd St,Pana,IL,62557,United States,June Yaun,Lin,Owner,Owner,,,1990.0,,2175625599.0,3.0,,Chinese,$
21,26,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=25856,2023/11/12,DM1_envelope,airfryer2,25856,True,True,25856,33e3d75be7d8cf3d,China Saute,"Mon Closed, Tue-Sun 11am-9:30pm",9252 Albemarle Rd,Charlotte,NC,28227,United States,,,,,,,,,7045630788.0,0.0,,Chinese,$
22,27,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=28773,2023/11/10,DM1_envelope,airfryer2,28773,False,False,28773,d2ed89edc498d786,Hibachi Grill & Supreme Buffet,"Mon-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun 11am-10pm",690 Oak Tree Ave,South Plainfield,NJ,7080,United States,,,,,,,2011.0,,9087536019.0,0.0,,Chinese,$$
23,28,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=29547,2023/11/15,DM1_envelope,airfryer2,29547,False,False,29547,8ade8bf843b8d25f,Tokyo Express,"Mon Closed, Tue-Sat 11am-9:30pm, Sun 11am-8pm",10013 Fremont Pike,Perrysburg,OH,43551,United States,,,,,,,,,4198722828.0,0.0,,Japanese,$$
24,30,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30541,2023/11/14,DM1_envelope,airfryer2,30541,True,True,30541,a7399ce6ead53fa3,Banzai Teppan Yaki,"Mon-Wed 11am-9pm, Thu-Sat 11am-10pm, Sun Closed",2856 S 5600 W,West Valley City,UT,84120,United States,Phoebe,Ly,President,General,,,,,8019695219.0,1.0,,Japanese,$
25,31,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30632,2023/11/17,DM1_envelope,airfryer2,30632,False,False,30632,b970662635a4db69,King Food Chen,Daily 11am-10:30pm,489 Amsterdam Ave,New York,NY,10024,United States,Yu,Chen,Chief Executive Officer,General,,,,,2127871888.0,1.0,,Chinese,$
26,32,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=30736,2023/11/10,DM1_envelope,airfryer2,30736,False,False,30736,cbcd3321b874e57a,Thai Orchid,"Mon-Fri 11am-9pm, Sat Noon-9pm, Sun Closed",1155 Saint Matthews Rd,Orangeburg,SC,29115,United States,,,,,,,,,8039375103.0,0.0,,Japanese; Thai,$$
27,34,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=31039,2023/11/16,DM1_envelope,airfryer2,31039,True,True,31039,32942f358974372d,Sushi Wen,"Mon-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun 11am-10pm",856 Castleton Ave,Staten Island,NY,10310,United States,L. I. Wen,Huang,Business Owner,Owner,,,2019.0,,7188168279.0,1.0,coco118974@gmail.com,Japanese,$$
28,35,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33337,2023/11/13,DM1_envelope,airfryer2,33337,False,False,33337,ea2fe051fd00fc02,Great Wall Buffet,Daily 11am-9pm,3333 Telephone Rd,Houston,TX,77023,United States,,,,,,,2005.0,,7139286588.0,0.0,,Chinese,$
29,36,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=33803,2023/11/16,DM1_envelope,airfryer2,33803,False,False,33803,2f3080bf18d22d72,Nan Sing Gardens,"Mon Closed, Tue-Sun Noon-9pm",678 S Main St,Myrtle Creek,OR,97457,United States,Qi Guang,Huang,President,General,,,,,5418637678.0,1.0,,Chinese,$$
30,37,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=35180,2023/11/16,DM1_envelope,airfryer2,35180,False,False,35180,623a35c234b1fef9,Canton City Restaurant,"Mon-Sat 11:30am-9pm, Sun Closed",1175 US-40,Vernal,UT,84078,United States,Harold,Jones,Principal,Owner,,,2005.0,,4357893338.0,2.0,,Chinese,$$
31,38,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=36794,2023/11/03,DM1_envelope,airfryer2,36794,False,False,36794,12128522f690fb32,China Buffet,"Mon-Sat 11am-9pm, Sun Noon-9pm",210 Hollidaysburg Plz,Duncansville,PA,16635,United States,Chun,Kwok,,,,,1999.0,,8146959005.0,1.0,,Chinese,$
32,39,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=37250,2023/11/17,DM1_envelope,airfryer2,37250,False,False,37250,dfcb943c46f4f0c2,A Sushi,"Mon Closed, Tue-Sat 11:30am-9pm, Sun 11am-9pm",71-44 Austin St,Forest Hills,NY,11375,United States,,,,,,,,,7182686010.0,0.0,,Japanese,$$
33,40,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38185,2023/11/15,DM1_envelope,airfryer2,38185,False,True,38185,d0aa1423e5dee2cf,Golden Moon,"Mon Closed, Tue-Sat 11am-2:30pm 4:30pm-9pm, Sun 11am-2:30pm",1410 S Main St,Weatherford,TX,76086,United States,Nat,Soontornvat,Owner,Owner,,,1984.0,,8175941692.0,1.0,info@visitgoldenmoon.com,Chinese; Thai,$$
34,41,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38483,2023/11/23,DM1_envelope,airfryer2,38483,False,True,38483,0e309327dfc29652,Mun Yuen Chinese Restaurant,"Mon-Sat 11am-10pm, Sun Noon-10pm",43 E State St,Mt Morris,NY,14510,United States,,,,,,,,,5856582460.0,0.0,,Chinese,$
35,42,https://getskt.com/airfryer2/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=38885,2023/11/09,DM1_envelope,airfryer2,38885,False,False,38885,79eaf2c4f0a6c8e9,Chen's Diner Inc,,558 Beach 25th St,Far Rockaway,NY,11691,United States,,,,,,,,,7184712999.0,0.0,,Chinese,
36,43,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39798,2023/11/08,DM1_trifold,airfryer3,39798,False,False,39798,8f1e22db8b582bef,New Happy Garden,Daily 4pm-1am,2228 S 7th St,Philadelphia,PA,19148,United States,,,,,,,2010.0,,2155518888.0,0.0,,Chinese,
37,44,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=39884,2023/11/06,DM1_trifold,airfryer3,39884,False,False,39884,91033ff64d1d114c,Grand Buffet,"Mon-Thu 11am-9pm, Fri-Sat 11am-9:30pm, Sun 11am-9pm",6612 Clinton Hwy,Knoxville,TN,37912,United States,,,,,,,,,8655129377.0,0.0,,Chinese,$$
38,45,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41391,2023/11/09,DM1_trifold,airfryer3,41391,False,False,41391,62e9cba4a10001bb,Silver Rice,Daily 4:30pm-9:30pm,575 Flatbush Ave,Brooklyn,NY,11225,United States,,,,,,,2016.0,,3477899875.0,0.0,,Japanese,$$
39,46,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41685,2023/11/10,DM1_trifold,airfryer3,41685,False,False,41685,a149a0c2e8091a92,Chili & Spicy Restaurant,,135-53 Northern Blvd,Flushing,NY,11354,United States,,,,,,,,,9297889582.0,0.0,,Chinese; Taiwanese,
40,47,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=41762,2023/11/08,DM1_trifold,airfryer3,41762,False,False,41762,8809f48003089ec9,Wicked,"Mon Noon-8pm, Tue Closed, Wed-Thu Noon-8pm, Fri-Sat Noon-8:30pm, Sun Noon-7pm",101 4th St,Hood River,OR,97031,United States,,,,,,,2000.0,,5414362787.0,0.0,,Japanese,$$
41,48,https://getskt.com/airfryer3/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=42414,2023/11/08,DM1_trifold,airfryer3,42414,False,False,42414,32656e4cd8289900,Umi Sushi & Grill,"Mon-Fri 5pm-7pm, Sat-Sun Closed",915 Road To Six Flags St E,Arlington,TX,76011,United States,,,,,itsara9889@hotmail.com,,,,8174592779.0,0.0,itsara9889@hotmail.com,Japanese,$$
42,50,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43238,2023/11/08,DM1_envelope,airfryer4,43238,False,False,43238,5aafdacc761309e3,Redeye Grill,,890 7th Ave,New York,NY,10027,United States,,,,,,,,,2125419000.0,0.0,,American; Japanese,$$$
43,51,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43367,2023/11/10,DM1_envelope,airfryer4,43367,False,False,43367,7de0460c2d3e1a62,Izumi Japanese Restaurant,"Mon-Thu 11am-9:30pm, Fri-Sat 11am-10pm, Sun Noon-9:30pm",840 Boardman Poland Rd,Youngstown,OH,44512,United States,,,,,qianyunc92@gmail.com,,,,3307588882.0,0.0,qianyunc92@gmail.com,Japanese,$$
44,52,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43897,2023/11/09,DM1_envelope,airfryer4,43897,False,False,43897,fb242b5c9b3e2e7d,Lotus Dynasty,"Mon Closed, Tue-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun Noon-10pm",338 Union Ave,Holbrook,NY,11741,United States,,,,,,,,,6319813660.0,0.0,,Chinese,$
45,54,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=43911,2023/11/16,DM1_envelope,airfryer4,43911,True,False,43911,ecf9146394200a88,Carrie Chinese,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun Closed",1313 Pamplico Hwy,Florence,SC,29505,United States,Carrie,Zhang,Principal,Owner,,,2006.0,,8436793338.0,1.0,,Chinese,$
46,55,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44380,2023/11/18,DM1_envelope,airfryer4,44380,False,False,44380,d617b0e709898751,Teriyaki Japan,"Mon-Sat 10am-8pm, Sun 11am-6pm",625 Black Lake Blvd SW,Olympia,WA,98502,United States,,,,,,,,,3607051176.0,0.0,,Japanese,$
47,56,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44508,2023/11/08,DM1_envelope,airfryer4,44508,False,False,44508,7703f60ebbf70872,Wabi Sabi,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",29 Bollingbrook St,Petersburg,VA,23803,United States,Regan,Sprenkle,Principal,Owner,,,,,8045045069.0,2.0,wabisabi708@gmail.com,Japanese,$$
48,57,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44512,2023/11/15,DM1_envelope,airfryer4,44512,False,False,44512,7a9bb01e97100171,Teriyaki Kitchen,"Mon-Sat 10am-9pm, Sun Closed",101 S 38th St,Tacoma,WA,98418,United States,Namsong,Kim,Principal,Owner,,,2004.0,,2534735900.0,2.0,,Japanese,$
49,58,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44544,2023/11/14,DM1_envelope,airfryer4,44544,False,False,44544,922bc8451ebd93ec,Pho Box,"Mon-Sat 10am-8:30pm, Sun Closed",364 Renton Center Way SW,Renton,WA,98057,United States,,,,,,,,,4252917465.0,0.0,,Korean; Japanese; Vietnamese,$$
50,59,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44550,2023/11/15,DM1_envelope,airfryer4,44550,False,False,44550,b42fb73937c08f69,tsunami,,Fair Lakes Blvd,Centreville,VA,20120,United States,,,,,,,,,7034498404.0,0.0,,Japanese,$$
51,60,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=44682,2023/11/06,DM1_envelope,airfryer4,44682,False,False,44682,33741958c06b87f3,Ichiban Japanese Steakhouse,,303 S Federal Blvd,Riverton,WY,82501,United States,Julius,F,Business Owner,Owner,,,,,3074630520.0,1.0,,Japanese,$$
52,61,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45598,2023/11/09,DM1_envelope,airfryer4,45598,False,False,45598,a7a79064bf639aaa,Okinawa,"Mon-Thu 11am-3pm 4:30pm-9pm, Fri-Sat 11am-9:30pm, Sun Noon-9pm",571 Adams Dr,Winchester,VA,22601,United States,Anna,Chen,Business Owner,Owner,,,2013.0,,5405420300.0,1.0,,Japanese,$$
53,62,https://getskt.com/airfryer4/?utm_source=NovemberMailer&utm_medium=DirectMail&utm_campaign=AirFryer&utm_id=45648,2023/11/21,DM1_envelope,airfryer4,45648,False,False,45648,e63214045f002ea1,Goldie's Shoreline,,15030 Aurora Ave N,Shoreline,WA,98133,United States,Thao,Victorino,Server,Front of the House,,,,,2064408754.0,1.0,,Chinese,$$
92,111,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=00490,2023/11/22,DM2_postcard,airfryer6,00490,False,False,00490,6e10c481c9951209,Sapporo Restaurant,"Mon-Wed 4:30pm-9pm, Thu-Fri 11:30am-2pm 4:30pm-9pm, Sat 4:30pm-9pm, Sun Closed",22507 Main St,Hayward,CA,94541,United States,Peun,Yoo,Owner,Owner,,,,,5107271568.0,1.0,sapporohayward@gmail.com,Japanese,$$
93,112,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=01304,2023/11/21,DM2_postcard,airfryer6,01304,False,False,01304,41b4f155c8f2a26a,Amazing Thai,,7860 Gate Pkwy,Jacksonville,FL,32256,United States,,,,,,,,,9045038057.0,0.0,,Japanese; Thai,$$
94,113,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=02586,2023/11/24,DM2_postcard,airfryer6,02586,False,False,02586,ca4d46f63317c828,Meshuga 4 Sushi,"Mon-Thu 11am-8pm, Fri 10am-2pm, Sat Closed, Sun Noon-8pm",8948 W Pico Blvd,Los Angeles,CA,90035,United States,Yankee,Bloch,Business Professional,,,,,,3102715050.0,2.0,,Japanese,$$
95,114,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=02834,2023/11/21,DM2_postcard,airfryer6,02834,False,False,02834,f8cee748fe46086c,Asian Bistro,,3421 Ridge Rd,Buford,GA,30519,United States,,,,,,,,,6787140381.0,0.0,,Japanese,
96,115,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04341,2023/11/16,DM2_postcard,airfryer6,04341,False,False,04341,62fbe9daceb9f0b1,Joy Sushi,"Mon Closed, Tue-Sat 4:30pm-6:30pm, Sun Closed",7600 Park Meadows Dr,Lone Tree,CO,80124,United States,Myung,Lee,,,,,2017.0,,3037923772.0,1.0,,Japanese,$$
97,116,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04559,2023/11/26,DM2_postcard,airfryer6,04559,False,False,04559,c0521ed643915204,Gokumi Ramen & Yakitori,"Mon-Thu 5pm-11:30pm, Fri 5pm-Midnight, Sat 11am-2:30pm 5pm-Midnight, Sun 11am-2:30pm 5pm-11:30pm",2 Hutton Centre Dr,Santa Ana,CA,92707,United States,,,,,,,,,7146174540.0,0.0,,Japanese,$$
98,117,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=04697,2023/11/27,DM2_postcard,airfryer6,04697,False,False,04697,b61e19dbd6c7efe6,Kufuya Japanese Restaurant,"Mon 5pm-9pm, Tue Closed, Wed-Thu 5pm-9pm, Fri-Sat 5pm-10pm, Sun 5pm-9pm",7001 Geary Blvd,San Francisco,CA,94121,United States,Jacky,Huang,Owner,Owner,,,2004.0,,4156688699.0,2.0,,Japanese,$$
99,118,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=05130,2023/11/24,DM2_postcard,airfryer6,05130,False,False,05130,4991ceccff5e93ff,Sushi Sogo,"Mon-Fri 11:30am-10pm, Sat 12:30pm-10pm, Sun 12:30pm-8:30pm",10000 Stirling Rd,Hollywood,FL,33024,United States,Patty,Eng,Owner,Owner,,,2000.0,,9544415611.0,1.0,sushisogorestaurant@gmail.com,Japanese,$$
100,119,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=06208,2023/11/30,DM2_postcard,airfryer6,06208,False,False,06208,68b727e4d8137cc8,EMW China Bistro Express,"Mon Closed, Tue-Sun 10:30am-9pm",1093 E Champlain Dr,Fresno,CA,93720,United States,,,,,,,2010.0,,5594348399.0,0.0,,Chinese,$
101,120,https://getskt.com/airfryer6-drop2/?utm_source=Brizo&utm_medium=DirectMail&utm_campaign=Air%20Fryer&utm_id=06592,2023/11/28,DM2_postcard,airfryer6,06592,False,False,06592,d9955390275cae92,Hunan Dragon III,"Mon Closed, Tue-Sat 11am-2am, Sun Noon-2am",1248 Clairmont Rd,Decatur,GA,30030,United States,Hsiu L.,Hsu,President,General,,,2016.0,,4042480082.0,2.0,hunandragondecatur@gmail.com,Chinese,$
