,Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
36,89012,Hareg Cafe & Variety,587 Bank St,Ottawa,K1S 3T4,ON,CAN,6136952488.0,,,,,,,,
37,89013,Let's Grill Sushi & Izakaya,10709 Jasper Avenue,Edmonton,T5J3N3 ,AB,CAN,7802642708.0,,,,,,,,
38,89014,Ancom Chinese Restaurant,834 The Queensway,Etobicoke,M8Z 1N5,ON,CAN,4162512227.0,4162512228.0,6479643885.0,,,,,,
39,89015,County General,936 Queen St W,Toronto,M6J 1G9,ON,CAN,4165314447.0,,,,,,,,
40,89016,Tanoshii Sushi,14 Nipigon Ave,Markham,L6C 0X7,ON,CAN,3213213213.0,3213213213.0,,,,,,,
41,89017,Viva Mexico Restaurant Grill,20505 Fraser Hwy,Langley,V3A 4G3,BC,CAN,6045327708.0,,,,,,,,
42,89018,Mr. Rice,630 St Clair Ave W,Toronto,M6C 1A9,ON,CAN,2152216490.0,9179126622.0,,,,,,,
43,89019,Shawarma Station,129-2446 Bank Street,Ottawa,K1V 1A4,ON,CAN,6137372121.0,,,,,,,,
44,89020,TJ's Cafe,180 King St S,Waterloo,N2J 1P8,ON,CAN,5197453960.0,,,,,,,,
45,89021,Georgy Porgy's,13071 Yonge St,Richmond Hill,L4E 1A5,ON,CAN,2892344477.0,,,,,,,,
46,89022,Wing Machine,1158 Bloor Street W,Toronto,M6H 1N1,ON,CAN,4165361880.0,6478845224.0,,,,,,,
47,89023,Akimi Japanese Cuisine,1285 Elgin Mills Rd E,Richmond Hill,L4S 0B5,ON,CAN,9058830188.0,6479905026.0,,,,,,,
48,89024,Kung Fu Chop Chop,16 Vogell Road,Richmond Hill,L4B 3K4,ON,CAN,6478001111.0,,,,,,,,
49,89025,Le Casablanca,55 Byward Market Square,Ottawa,K1N 1K1,ON,CAN,6132442519.0,6138182718.0,8193282235.0,,,,,,
50,89026,Babaz Shawarma,243 Wharncliffe Road North,London,N6H 2B9,ON,CAN,5192046703.0,,,,,,,,
51,89027,Irie Bites Cafe,210 Dundas St,London,N6A 5J3,ON,CAN,5198584743.0,5198529332.0,,,,,,,
52,89028,Bunty's Chester Fried Chicken,820 Ellice Ave,Winnipeg,R3G 0B9,MB,CAN,2044211113.0,2047776666.0,,,,,,,
53,89029,Paramount Fine Foods,769 Southdale Rd E,London,N6E 3B9,ON,CAN,5196681800.0,9059213010.0,,,,,,,
54,89030,Pho Xyclo Vietnamese Restaurant,6175 Dunn Street,Niagara Falls,L2G 2B4,ON,CAN,9053538472.0,2899693300.0,9053214238.0,,,,,,
55,89031,Miki Sushi Express,222 Baseline Road,Sherwood Park,T8H 1S8,AB,CAN,7804676752.0,7807092031.0,,,,,,,
56,89032,Gyutaro,521 Bloor Street W,Toronto,M5S 1Y4,ON,CAN,6473527200.0,6478864078.0,,,,,,,
57,89033,J. C Sushi,456 Norfolk St S,Simcoe,N3Y 2X3,ON,CAN,5194266888.0,6475058372.0,6479886968.0,,,,,,
58,89034,Volcano Sushi,1991 E Hastings St,Vancouver,V5L 1T2,BC,CAN,5865666666.0,,,,,,,,
59,89035,Shanghai Restaurant,106 Humber College Blvd,Etobicoke,M9V4E4 ,ON,CAN,4082451342.0,,,,,,,,
60,89036,Westown Chinese,217 Parliament St,Toronto,M5A 2Z4,ON,CAN,6473452225.0,4166171919.0,6475429956.0,4166174949.0,,,,,
61,89037,Lucky Star,5527 Hastings St,Burnaby,V5B 1R2,BC,CAN,6042942773.0,5877070488.0,6042948498.0,,,,,,
62,89038,Bubble Sushi,783 Northmount Dr NW,Calgary,T2L 0A1,AB,CAN,4032823613.0,4036061398.0,4039097288.0,,,,,,
63,89039,Chang's Restaurant,383 Elgin St N,Cambridge,N1R 8C1,ON,CAN,5197401181.0,5197400047.0,5197213370.0,6478338000.0,,,,,
64,89040,Sun Sun Restaurant,44 Macdonell St,Guelph,N1H 2Z3,ON,CAN,2075828888.0,2075826688.0,,,,,,,
65,89041,Red Star Chinese Restaurant,3301 Gaetz Ave (50 Av),Red Deer,T4N 3Y2,AB,CAN,4033095566.0,4033188881.0,,,,,,,
66,89042,Ray's Chinese,35 Harvard Rd,Guelph,N1G 3A2,ON,CAN,5198235197.0,6472338878.0,5195150109.0,4166698872.0,4043156887.0,6478900133.0,,,
67,89043,Bashu Sichuan,1668 W Broadway,Vancouver,V6J 1X6,BC,CAN,6047395888.0,7788583298.0,,,,,,,
68,89044,Vietnamese Garden Restaurant,9-88 Howarth St,Red Deer,T4N 6V9,AB,CAN,5872731388.0,4035985898.0,,,,,,,
69,89045,128 Asian Cuisine,115 Talbot St W,Aylmer,N5H 1J6,ON,CAN,5192666813.0,2267005188.0,,,,,,,
70,89046,Musou Sushi,110 22470 Dewdney Trunk Road,Maple Ridge,V2X 5Z6,BC,CAN,6044774447.0,7788899113.0,7783788998.0,,,,,,
71,89047,Don’s Restaurant,4809 Centre St NW,Calgary,T2E 2Z6,AB,CAN,4032772817.0,4038091966.0,,,,,,,
72,89048,Ming Kitchen,1015 University Avenue W,Windsor,N9A 5S6,ON,CAN,5192540828.0,2263475848.0,5195677839.0,5199035581.0,5192540389.0,,,,
73,89049,Family Garden,7 Assiniboine Drive,Saskatoon,S7K 1H1,SK,CAN,3069547788.0,3062419239.0,,,,,,,
74,89050,Pacha,2095 Prince of Wales Drive,Richardson,S0G 4G0,SK,CAN,3065592838.0,,,,,,,,
75,89051,Mongolian Indulgence,270 Baseline Road,Sherwood Park,T8H 1R4,AB,CAN,7804173638.0,7807099098.0,,,,,,,
76,89052,Sushi Jade,992 University Ave West,Windsor,N9A 5S2,ON,CAN,5199920216.0,6473895588.0,6473889928.0,,,,,,
77,89053,Maple Sushi,30 Disera Drive,Thornhill,L4J 0A7,ON,CAN,9057092238.0,6472948850.0,6479936966.0,6479927779.0,6478688299.0,,,,
78,89054,Afghan Turkish Cuisine,422 Willingdon Ave,Burnaby,V5C 5G4,BC,CAN,6045634131.0,7788929451.0,,,,,,,
79,89055,Wok Terminal,156 The Queensway,Etobicoke,M8Y 1J2,ON,CAN,4162550505.0,4165080989.0,,,,,,,
80,89056,Big Tuna Asian Cuisine,350 Ontario St,St Catharines,L2R 5L8,ON,CAN,9056879888.0,6472919992.0,6477722726.0,,,,,,
81,89057,Hot Wok,461 Guelph Line,Burlington,L7R 3L8,ON,CAN,2256878889.0,2256878288.0,,,,,,,
82,89058,Sunrise Restaurant,125 Idylwyld Dr. N,Saskatoon,S7L 0Y6,SK,CAN,3069742064.0,,,,,,,,
83,89059,Twin Dragon Restaurant,5003 52 Ave,Beaumont,T4X 100000,AB,CAN,8162339116.0,,,,,,,,
84,89060,Hirado Sushi Restaurant,1431 Commerical Dr,Vancouver,V5L 3X8,BC,CAN,6042559050.0,7787730911.0,,,,,,,
85,89061,Hiro Japanese Restaurant,19537 Fraser Highway,Surrey,V3S 6K7,BC,CAN,9043638888.0,9047086623.0,9045148613.0,9045994656.0,9048818680.0,4088006662.0,9046875378.0,,
86,89062,Phat Albert's Wok and Grill,911 Commissioners Road East,London,N5Z 3H9,ON,CAN,5196422262.0,,,,,,,,
87,89063,Vietnam House Restaurant,2122 E Hastings St,Vancouver,V5L 1V2,BC,CAN,6042511268.0,6043021615.0,7789176594.0,7783028573.0,,,,,
88,89064,Maple Sushi,2563 Major Mackenzie Drive W,Vaughan,L6A 1G5,ON,CAN,9057092238.0,6472948850.0,6479936966.0,6479927779.0,6478688299.0,,,,
89,89065,Le Kim Chi Restaurant,420 Preston Street,Ottawa,K1S 4N2,ON,CAN,6132332433.0,,,,,,,,
90,89066,China Taste,3650 Dundas St,Burlington,L7M 4B8,ON,CAN,6302629580.0,6302629581.0,6309239585.0,,,,,,
91,89067,Pan Flame,6510 48 Avenue,Camrose,T4V 3A3,AB,CAN,5873860055.0,4038721397.0,7789630778.0,2506824211.0,2508994326.0,7807818850.0,,,
92,89068,Wings Up!,65 University Ave E,Waterloo,N2J 2V9,ON,CAN,5197255252.0,,,,,,,,
93,89069,Saboroso Brazilian Steakhouse,2600 8th St E,Saskatoon,S7H 0V7,SK,CAN,3062494454.0,3062494450.0,,,,,,,
94,89070,Caribbean Sizzler,133 Bank St,Ottawa,K1P 5N7,ON,CAN,6135697000.0,,,,,,,,
95,89071,Slice and Co.,399 Elgin Street,Ottawa,K2P 1M9,ON,CAN,6136272345.0,,,,,,,,
96,89072,Izumi Restaurant,3010 Arlington Ave,Saskatoon,S7J 2J9,SK,CAN,3066529911.0,3062911002.0,,,,,,,
97,89073,Mama's Hot Italian Sandwiches,797 York Street,London,N5W 6A8,ON,CAN,5196456262.0,,,,,,,,
98,89074,Sunny & Rose‘s Bar and Grill,5114 Roblin Blvd,Winnipeg,R3R 0G9,MB,CAN,2044144055.0,,,,,,,,
99,89075,Panda Wok,462 Birchmount Rd,Scarborough,M1K 1N8,ON,CAN,4253742185.0,4252489786.0,,,,,,,
100,89076,Original Barrio Fiesta,45 Overlea Blvd,Toronto,M4H 1C3,ON,CAN,6473465706.0,6475257908.0,6476075058.0,,,,,,
101,89077,Phoenix Square,1765 Kenaston Blvd,Winnipeg,R3Y 1V8,MB,CAN,2046153338.0,,,,,,,,
102,89078,D & P Vietnamese Restaurant,860 Victoria Ave E,Regina,S4N 7A9,SK,CAN,3065223777.0,3062160675.0,,,,,,,
103,89079,A-One Asian Buffet,374 Richmond St,London,N6A 3C7,ON,CAN,5194397888.0,,,,,,,,
104,89080,Pita Lite,2325 Matheson Blvd E,Mississauga,L4W 5B6,ON,CAN,9052829500.0,6474281236.0,,,,,,,
105,89081,Saltwater Restaurant & Bar,284 Duckworth St,St John s,A1C 1H3,NL,CAN,7097545670.0,,,,,,,,
106,89082,Shawliz Restaurant,3180 St Johns St,Port Moody,V3H 2C7,BC,CAN,6045664222.0,,,,,,,,
107,89083,Wimpy's Diner,586 Kerr Street,Oakville,L6K 30000,ON,CAN,9058426417.0,4164196198.0,,,,,,,
108,89084,Ginza Ramen Sushi and Sake Bar Restaurant,280 Elgin Street,Ottawa,K2P 1M2,ON,CAN,6132332888.0,,,,,,,,
109,89085,Asian Express Hot Pot,10412 63 Ave NW,Edmonton,T6H 4J5,AB,CAN,7809883318.0,7807087160.0,7804218300.0,7807092742.0,,,,,
110,89086,Sushi Eleven,144 Thames St S,Ingersoll,N5C 2T4,ON,CAN,5194850111.0,4167216788.0,6474620888.0,6479836933.0,,,,,
111,89087,Asian Garden,2002 8 St E,Saskatoon,S7H 0T9,SK,CAN,6088509818.0,6082395699.0,,,,,,,
112,89088,Burnaby Palace,3110 Boundary Rd,Burnaby,V5M 4A2,BC,CAN,6044371818.0,7785220021.0,,,,,,,
113,89089,Silver Dragon,1564 George St,White Rock,V4B 4A3,BC,CAN,6045364848.0,7788993387.0,7789973387.0,6045363838.0,,,,,
114,89090,Great Wall,2757 Spruce St,Prince George,V2L 2S2,BC,CAN,3156997078.0,3156997215.0,6463315572.0,,,,,,
115,89091,Canton Garden,30 Farnham Gate Rd,Halifax,B3M 0H8,NS,CAN,9024067788.0,9024488528.0,9024231186.0,9024898388.0,9024888528.0,6478966773.0,9024438528.0,,
116,89092,Jane Bond BBQ,4024 26 St SE,Calgary,T2B 2Y4,AB,CAN,4032777064.0,4034783365.0,,,,,,,
117,89093,Wok N Roll,12730 82 St. NW,Edmonton,T5E 2T1,AB,CAN,6095673515.0,6095673466.0,6465771169.0,,,,,,
118,89094,North Garden,552 Clarke Road,Coquitlam,V3J 3X5,BC,CAN,6044218863.0,,,,,,,,
119,89095,Dragon Court,931 Oxford St East,London,N5Y 3K1,ON,CAN,7045960228.0,,,,,,,,
120,89096,A1 Chinese,6188 Malden Rd,Windsor,N9H 1T1,ON,CAN,5197341388.0,2262468192.0,5199992022.0,,,,,,
121,89097,Chinese Village,512 6 St SW,Calgary,T2P 1X3,AB,CAN,4032698880.0,,,,,,,,
122,89098,Wok Stop,271A Morningside Ave,Scarborough,M1E 3G1,ON,CAN,4167921175.0,6479905788.0,,,,,,,
123,89099,New Red Lantern Inn Chinese Restaurant,1702 Alexandra Ave,Saskatoon,S7K 3C5,SK,CAN,3066657335.0,3065805656.0,3063609994.0,,,,,,
124,89100,Asia's Best Cuisine,24 Coburg St,Saint John,E2L 3J5,NB,CAN,5066931497.0,5067216188.0,5066529057.0,2368864816.0,,,,,
125,89101,Zen 8 Grill,421 12 Ave SE,Calgary,T2G 1A5,AB,CAN,4032611888.0,4033831435.0,,,,,,,
126,89102,Seoul Restaurant,5170 Duke Street,Halifax,B3J 1N7,NS,CAN,9024043414.0,,,,,,,,
127,89103,Bombay Chaat and Dosa,2580 Shepard Ave,Mississauga,L5A 4K3,ON,CAN,9059496600.0,6478081837.0,,,,,,,
128,89104,Salt & Pepper,13767 72 Avenue,Surrey,V3W 9Z1,BC,CAN,7785647705.0,7788836562.0,,,,,,,
129,89105,Basa's Hot Dog World,1175A St Clair Ave W,Toronto,M6E 1B5,ON,CAN,6474990132.0,,,,,,,,
130,89106,Asoyama Sushi,1717 Kenaston Blvd,Winnipeg,R3Y 1V5,MB,CAN,2044874222.0,,,,,,,,
131,89107,A+ Sushi,202 Bank St,Ottawa,K2P 2H6,ON,CAN,6132340888.0,6134046258.0,,,,,,,
132,89108,Sushi KOKO,800 Dundas Street E,Mississauga,L4Y 2B6,ON,CAN,9056151115.0,,,,,,,,
133,89109,Bombay To Go,755 Dundas St W,Mississauga,L5C 3B6,ON,CAN,9052767787.0,,,,,,,,
134,89110,Badass Jacks,9-527 Nelson Rd.,Saskatoon,S7S 1P4,SK,CAN,3069792525.0,,,,,,,,
135,89111,Crazy Piano Persian Grill,320 Water St,Peterborough,K9H 7N9,ON,CAN,7059911625.0,7057610600.0,,,,,,,
136,89112,Khana Khazana Restaurant,14343 Macleod Trail,Calgary,T2Y 1M7,AB,CAN,4032551666.0,4033996494.0,,,,,,,
137,89113,Georgy Porgy‘s,1448 Lawrence Ave E,Toronto,M4A 2V6,ON,CAN,4162858980.0,4164508593.0,6473321784.0,,,,,,
138,89114,Extreme Pita Catering,201 1 Ave S,Saskatoon,S7K 1J5,SK,CAN,3069544600.0,3068811021.0,,,,,,,
139,89115,Aji Sai Japanese Restaurant,178 Ontario Street,Kingston,K7L 2Y7,ON,CAN,6139663939.0,,,,,,,,
140,89116,I Like Sushi,5875 Rochdale Blvd,Regina,S4X 2P9,SK,CAN,3067898998.0,3065312328.0,6476066299.0,3065960520.0,3065800968.0,,,,
141,89117,I Love Sushi,3622 Eastgate Dr.,Regina,S4Z 1A5,SK,CAN,3067898996.0,3065019708.0,3065526352.0,,,,,,
142,89118,Spices of Punjab,320 Victoria Ave,Regina,S4N 0N7,SK,CAN,3065431000.0,,,,,,,,
143,89119,Blue Orchid Chinese Resturant,11235 Jasper Ave,Edmonton,T5K 0L5,AB,CAN,7807611235.0,7807087160.0,7804218300.0,7806043863.0,,,,,
144,89120,Kishu River Japanese Restaurant,3339 Kingsway St,Vancouver,V5R 2T3,BC,CAN,6044338857.0,,,,,,,,
145,89121,Momo Sushi,375 Water Street,Vancouver,V6B 5C6,BC,CAN,6046837632.0,7788755224.0,6047262864.0,7786865760.0,7789800825.0,,,,
146,89122,Hastings Sushi,3978 Hastings St,Burnaby,V5C 2J1,BC,CAN,6044737900.0,,,,,,,,
147,89123,Oak's Garden,128 Speers Rd.,Oakville,L6K 20000000,ON,CAN,9058456611.0,6478308822.0,,,,,,,
148,89124,Dynasty Gourmet Asian Buffet,1700 Broad St,Regina,S4P 1Z4,SK,CAN,3065438866.0,,,,,,,,
149,89125,Yen Fung Ding Dumpling Shoppe,628 Somerset St W,Ottawa,K1R 5K4,ON,CAN,6132330660.0,6138681298.0,,,,,,,
150,89126,Miki Sushi Express,13508 Victoria Trail NW,Edmonton,T5A 5C9,AB,CAN,7804676752.0,7807092031.0,,,,,,,
151,89127,Good Times Asian Bistro & Bar,122-270 Baseline Rd,Sherwood Park,T8H 1R4,AB,CAN,7804495462.0,,,,,,,,
152,89128,Bangkok Fusion,1043 Devonshire Drive,Regina,S4X 4L2,SK,CAN,3065804544.0,,,,,,,,
153,89129,Koko Sharebar,81 Yorkville Ave,Toronto,M5R 1C1,ON,CAN,4168506135.0,,,,,,,,
154,89130,Pho Lam,60 Dundas St E,Mississauga,L5A 1W4,ON,CAN,9058968899.0,6474645710.0,9054573833.0,6475235710.0,,,,,
155,89131,Mexico Lindo Express,2600 Birchmount Rd,Scarborough,M1T 2M5,ON,CAN,6477480679.0,,,,,,,,
156,89132,Lily Gourmet Restaurant,1332 Huron St,London,N5V 200,ON,CAN,2266634775.0,6472484588.0,6479498087.0,6479288087.0,,,,,
157,89133,Mandarin Restaurant,11044 82 Ave NW,Edmonton,T6G 0T2,AB,CAN,7149625789.0,7149625789.0,9492323880.0,,,,,,
158,89134,Tandoori Raj Restaurant,689 65 Ave E,Vancouver,V5X 2P7,BC,CAN,6043251301.0,6043273355.0,6043250040.0,,,,,,
159,89135,Tandoor N Flame,4807 50 Ave,Red Deer,T4N 4A5,AB,CAN,4033477600.0,4033021033.0,4037552433.0,,,,,,
160,89136,Kothu Rotti Restaurant,408 Dalhousie St,Ottawa,K1N 9J9,ON,CAN,6136807812.0,6478087193.0,6134001722.0,,,,,,
161,89137,1298 Sushi,1298 Kingston Rd,Pickering,L1V 1B7,ON,CAN,9058393988.0,6473399318.0,6478238488.0,,,,,,
162,89138,Mojos Pizzeria & Donair,3011 26 Ave SW,Calgary,T3E 0M7,AB,CAN,4032495111.0,4036177816.0,,,,,,,
163,89139,Taste of Yunnan,438 Dundas St W,Toronto,M5T 1G7,ON,CAN,6473500311.0,,,,,,,,
164,89140,Pho Bo Ba Truc,275 Bank St,Ottawa,K2P 2P1,ON,CAN,6132338717.0,,,,,,,,
165,89141,First Choice Chinese,7080 Kingsway,Burnaby,V5E 100000,BC,CAN,6045210800.0,6048893365.0,6042157638.0,7789980203.0,6048891923.0,7789988796.0,6045001923.0,,
166,89142,Wing's Restaurant,710 Watt St,Winnipeg,R2K 2S7,MB,CAN,2046632633.0,,,,,,,,
167,89143,Makisu Sushi,1517 Mayor Magrath Dr South,Lethbridge,T1K 2R4,AB,CAN,4033282525.0,5872202616.0,4033933313.0,6479808068.0,5672203136.0,,,,
168,89144,Silver China,79 Elgin St N,Cambridge,N1R 5H4,ON,CAN,5196211311.0,9056175633.0,,,,,,,
169,89145,TCJ Restaurant,64B Queen St E,Toronto,M5C 2T3,ON,CAN,4163689988.0,6473825888.0,6479280689.0,,,,,,
170,89146,TimKee Kitchen Cantoness Szechuan Cuisine,2365 Burrard St,Vancouver,V6J 3J2,BC,CAN,6047388628.0,6048173333.0,,,,,,,
171,89147,Tianjin Chinese Restaurant,11-222 16 Ave NE,Calgary,T2E 1J8,AB,CAN,4032770908.0,5879686507.0,,,,,,,
172,89148,Ho Ho Yummy Food,1224 Davie St,Vancouver,V6E 1N3,BC,CAN,6046889896.0,6047107289.0,6045663708.0,,,,,,
173,89149,China Coast,9 Main Street West,Saint John,E2M 3M9,NB,CAN,5066351774.0,5066399368.0,,,,,,,
174,89150,Sun Hong BBQ & Seafood,2037 Wyandotte St. W,Windsor,N9B 1J8,ON,CAN,5192557808.0,6475888725.0,5199921897.0,4167287669.0,,,,,
175,89151,Bobby Chao's,34 Edgedale Dr. NW,Calgary,T3A 2R4,AB,CAN,4032077840.0,4036511188.0,4035474356.0,5873237880.0,4037502295.0,4038808939.0,,,
176,89152,Szechuan Mango (Chinese Szechuan Stir Fry),9120 82 Ave NW,Edmonton,T6C 0Z5,AB,CAN,7804337070.0,7809169818.0,7804331314.0,7807219898.0,7804737607.0,,,,
177,89153,Thirsty Monk,21 Celina St,Oshawa,L1H 1A8,ON,CAN,9057283219.0,,,,,,,,
178,89154,Chef Lin,8 Washington St,Markham,L3P 2R2,ON,CAN,2895541128.0,6472424569.0,2895546868.0,,,,,,
179,89155,WingsUp!,2399 Kingsway Drive,Kitchener,N2C 1A5,ON,CAN,5198930202.0,,,,,,,,
180,89156,Spice House,8380 Kennedy Rd,Markham,L3R 0W4,ON,CAN,9053056661.0,6475456686.0,,,,,,,
181,89157,"Fonkoosh Pita, Crepe & Grill",11 Pearl St,Mississauga,L5M 1X1,ON,CAN,9058129696.0,,,,,,,,
182,89158,Neechie Pizzeria,3040 5th Ave,Regina,S4T 0L5,SK,CAN,3067750400.0,,,,,,,,
183,89159,Bikaner Sweets and Bakery,121-7171 80 Ave NE,Calgary,T3J 0P6,AB,CAN,4035686666.0,4037025555.0,4037011645.0,5877036480.0,,,,,
184,89160,9 Grill Restaurant,7137 Argyll Rd NW,Edmonton,T6B 4A9,AB,CAN,7807053082.0,,,,,,,,
185,89161,Green Tea Asian Cuisine,1009 Wonderland Rd S,London,N6K 3V1,ON,CAN,5196681617.0,,,,,,,,
186,89162,Fat Tuna Japanese Bistro,11796 Fraser St,Maple Ridge,V2X 6C7,BC,CAN,6044791177.0,7789321070.0,6043536797.0,,,,,,
187,89163,Food Village,1801 Dundas St E,Whitby,L1N 9G3,ON,CAN,9057431111.0,9057439237.0,6478584423.0,,,,,,
188,89164,Caribbean Authentic Restaurant,6660 Kennedy Road,Mississauga,L5T 2M9,ON,CAN,9055650080.0,6472319314.0,,,,,,,
189,89165,Big Daddy's,446 Davis Drive,Newmarket,L3Y 2P2,ON,CAN,9058980001.0,4164507101.0,6479172959.0,6472995442.0,,,,,
190,89166,Everyday Sushi,4572 W 10th Ave,Vancouver,V6R 2J1,BC,CAN,6042289266.0,6047249088.0,,,,,,,
191,89167,Les Grillades,85 Holland Ave,Ottawa,K1Y 0Y1,ON,CAN,6137923224.0,6138523912.0,,,,,,,
192,89168,Miyakoi Sushi,130-132 Main St W,North Bay,P1B 2T5,ON,CAN,7054723528.0,6473026366.0,,,,,,,
193,89169,Bai Du,138 Baseline Rd,Nepean,K2C 3G1,ON,CAN,6132258889.0,6138530880.0,,,,,,,
194,89170,Masa Sushi,9200 Weston Rd,Vaughan,L4H 3J3,ON,CAN,9055538886.0,4162199018.0,9055536663.0,,,,,,
195,89171,Original Barrio Fiesta,2215 Steeles Avenue,North York,M3J 3N2,ON,CAN,6473465706.0,6475257908.0,6476075058.0,,,,,,
196,89172,Pho Plus,1881 Steeles Ave W,Toronto,M3H 0A1,ON,CAN,4166618882.0,6479498105.0,6479207525.0,,,,,,
197,89173,Pete's Open Kitchen Restaurant,508 Queen St E,Toronto,M5A 1V2,ON,CAN,4163630948.0,,,,,,,,
