Date,Page location,Sessions,ID,List Version,Snowball Map,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,All Phone (Print Shop),Address Check,Name + City Check,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,visit_again
2023-10-03,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44964,1,44964,List - B,44964.0,Minato Sushi,1001 W Broadway,Vancouver,BC,V6H 4B1,Canada,,,,,,,,,(604) 732-6554,-,-,-,0.0,info@minatosushi.ca,Japanese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Ritual; Skip the Dishes; Uber Eats; Yelp Reservation; Yelp Waitlist,False
2023-10-04,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03531,1,03531,List - A,3531.0,Akhi Sushi - Southern Market 100 South Queen Street,100 S Queen St,Lancaster,PA,17603,United States,,,,,,,,,(717) 341-8178,-,-,-,0.0,,Japanese,,Toast Marketplace,False
2023-10-04,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=05869,1,05869,List - A,5869.0,Joy Garden,241 E Main St,Galesburg,IL,61401,United States,Sencheng,Chen,Owner,Owner,,,1996.0,,(309) 343-1850,-,-,-,2.0,,Chinese,$,,False
2023-10-04,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=07193,1,07193,List - A,7193.0,Noodle Topia,30120 John R Rd,Madison Heights,MI,48071,United States,,,,,,,,,(248) 591-4092,-,-,-,0.0,,Chinese,$$,Chinese Menu Online; DoorDash; Google Analytics; Grubhub; MailChimp; Opencart; Squarespace; Uber Eats,False
2023-10-04,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=19707,1,19707,List - B,19707.0,I Love Teriyaki,2310 Sunrise Blvd,Rancho Cordova,CA,95670,United States,Candice,Ham,Owner,Owner,,,1997.0,,(916) 852-6060,-,-,-,1.0,,Japanese,$,Facebook Pixel; GlobalFood; Google Analytics; Oracle GloriaFood; Weebly,False
2023-10-04,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=27475,1,27475,List - B,27475.0,New King Wok,2025 Adam Clayton Powell Jr Blvd,New York,NY,10027,United States,Chen Zeng,Guan,Principal,Owner,,,2009.0,,(212) 222-2868,-,-,-,1.0,,Chinese,$,,False
2023-10-04,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28198,1,28198,List - B,28198.0,Ohana Poke Shop,2931 7th Ave,Marion,IA,52302,United States,,,,,,,,,(319) 200-5667,-,-,-,0.0,,Hawaiian; Japanese,$$,Bentobox; Uber Eats,False
2023-10-04,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=29698,1,29698,List - B,29698.0,Hong Kong Chinese Restaurant,2600 S Irby St,Florence,SC,29505,United States,Qing,Qui,Principal,Owner,,,2007.0,,(843) 667-8888,-,-,-,1.0,,Chinese,$$,Uber Eats,False
2023-10-04,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=34605,2,34605,List - B,34605.0,Yamato Japanese Steakhouse,211 S Lewis Ave,Philadelphia,MS,39350,United States,,,,,,,,,(601) 568-5151,-,-,-,0.0,,Japanese,$$,DoorDash; Menufy,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=21319,4,21319,List - B,21319.0,Katana Sushi,13825 Village Place Dr,Midlothian,VA,23114,United States,Song,S,Business Owner,Owner,,,2014.0,,(804) 893-4787,-,-,-,1.0,katana13825@gmail.com,Japanese,$$,,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=21319&gtm_debug=1696453964664,1,21319,List - B,21319.0,Katana Sushi,13825 Village Place Dr,Midlothian,VA,23114,United States,Song,S,Business Owner,Owner,,,2014.0,,(804) 893-4787,-,-,-,1.0,katana13825@gmail.com,Japanese,$$,,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=24285,1,24285,List - B,24285.0,Yummy Hibachi and Sushi,1370 Ribaut Rd,Port Royal,SC,29935,United States,,,,,,,,,(843) 379-1080,-,-,-,0.0,,Japanese,$$,Ez Order Now,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28709,1,28709,List - B,28709.0,Crawdaddy's on Greenfield,9427 W Greenfield Ave,West Allis,WI,53214,United States,John,Vukelic,President,General,,,2018.0,,(414) 778-2228,-,-,-,2.0,workatcrawdaddys@gmail.com,Southern; Cajun,$$,Apple App Store; BringMeThat; Chownow; Culinary Agents; DoorDash; Google Analytics; Grubhub; SpotHopper; Spothopper Job Listing; Spothopper Menus; Spothopper Reservations; Spothopper Text Messages; Uber Eats,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30075,2,30075,List - B,30075.0,Sushi Ring,11419 19th Ave SE,Everett,WA,98208,United States,Francis,Kishimoto,Manager,General,,,2005.0,,(425) 385-2702,-,-,-,1.0,,Japanese,$$,BringMeThat; Grubhub; Uber Eats; WooCommerce,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30966,3,30966,List - B,30966.0,Sakurajapan sushi&grill,123 Liberty Way,Fruitland,MD,21826,United States,,,,,,,,,(646) 229-5086,-,-,-,0.0,,Japanese,$,BringMeThat; Uber Eats,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30966&gtm_debug=1696453632273,1,30966,List - B,30966.0,Sakurajapan sushi&grill,123 Liberty Way,Fruitland,MD,21826,United States,,,,,,,,,(646) 229-5086,-,-,-,0.0,,Japanese,$,BringMeThat; Uber Eats,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30966&gtm_debug=1696453729442,1,30966,List - B,30966.0,Sakurajapan sushi&grill,123 Liberty Way,Fruitland,MD,21826,United States,,,,,,,,,(646) 229-5086,-,-,-,0.0,,Japanese,$,BringMeThat; Uber Eats,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30966&gtm_debug=1696453909750,1,30966,List - B,30966.0,Sakurajapan sushi&grill,123 Liberty Way,Fruitland,MD,21826,United States,,,,,,,,,(646) 229-5086,-,-,-,0.0,,Japanese,$,BringMeThat; Uber Eats,True
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42624,3,42624,List - B,42624.0,Di Bao Ming Yan NKS Banquet Hall,8360 Kennedy Rd,Markham,ON,L3R 9W4,Canada,,,,,,,,,(905) 948-8668,-,-,-,0.0,,Chinese,$$,Facebook Pixel; Google Analytics,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43611,1,43611,List - B,43611.0,Pokito,420 Queen St W,Toronto,ON,M5V 2A7,Canada,Bryan,S,Business Owner,Owner,bryan@pokito.ca,,2016.0,,(416) 792-8808,-,-,-,2.0,bryan@pokito.ca,Japanese,$$,DoorDash; Ritual; Skip the Dishes; Snappy; TapMango; Uber Eats; Wix Restaurants,False
2023-10-04,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44244,1,44244,List - B,44244.0,Arashi Sushi,15 Royal Vista Pl NW,Calgary,AB,T3R 0P3,Canada,,,,,,,,,(403) 455-2166,-,-,-,0.0,,Japanese,$$,,False
2023-10-05,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03387,1,03387,List - A,3387.0,China Moon,11290 W Florissant Ave,Florissant,MO,63033,United States,Gng,Lin,Principal,Owner,,,1992.0,,(314) 837-1688,"3148371688, 3148087768","3148371688, 3148087768",-,1.0,,Chinese,$,BringMeThat; DoorDash; Uber Eats,True
2023-10-05,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03891,1,03891,List - A,3891.0,Dotombori,1526 Miner St,Des Plaines,IL,60016,United States,Dae,Yoo,Owner,Owner,,,2009.0,,(847) 699-8477,-,-,-,1.0,,Japanese,$$,BringMeThat; Culinary Agents,False
2023-10-05,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03941,1,03941,List - A,3941.0,Nom Nom Noodle,1006 E Lincoln St,Bloomington,IL,61701,United States,,,,,nomnomnoodle309@gmail.com,,,,(309) 585-2402,-,-,-,0.0,nomnomnoodle309@gmail.com,Japanese,,Wix Restaurants,True
2023-10-05,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=23711,2,23711,List - B,23711.0,Snack Shack,618 Upper Falls Blvd,Rochester,NY,14605,United States,,,,,,,,,(585) 685-8008,-,-,-,0.0,,American; Cajun,$$,Grubhub,False
2023-10-05,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=27480,1,27480,List - B,27480.0,Hungry Sumo habachi house,609 James Agee St,Knoxville,TN,37916,United States,,,,,,,,,(646) 287-0871,-,-,-,0.0,,Japanese,,Uber Eats,False
2023-10-05,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=33761,1,33761,List - B,33761.0,China Wok,883 E Grand Ave,Carbondale,IL,62901,United States,Hua,Ghang,Owner,Owner,,,2006.0,,(618) 351-5900,-,-,-,1.0,info@chinawok-il.com,Chinese,$,Apple App Store; Chinese Menu Online; Google Analytics; Grubhub; MailChimp; Opencart; SinglePlatform; Squarespace; Yelp Reservation; Yelp Waitlist,True
2023-10-05,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=35942,1,35942,List - B,35942.0,Grab Protein Bowl Express (720 W Highland Ave),720 W Highland Ave,Phoenix,AZ,85013,United States,,,,,,,,,(480) 658-7966,"8777021259, 9703013537","8777021259, 9703013537",-,0.0,,American; Japanese,$$,Uber Eats,True
2023-10-06,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=19919,1,19919,List - B,19919.0,Chinatown,25542 Barton Rd,Loma Linda,CA,92354,United States,Eddie,Lor,Owner,Owner,,,2000.0,,(909) 799-6633,-,-,-,1.0,,Chinese,$,,False
2023-10-06,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28007,1,28007,List - B,28007.0,New Dragon,1170 Collier Rd NW,Atlanta,GA,30318,United States,Jin,Yan,Principal,Owner,,,2002.0,,(404) 350-8733,-,-,-,1.0,,Chinese,$$,Apple App Store; BringMeThat; Chownow; Delivery.com; DoorDash; EatStreet; Grubhub; Uber Eats,False
2023-10-06,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=38923,1,38923,List - B,38923.0,Poy's Kitchen,240 Spring St,Newton,NJ,7860,United States,,,,,,,,,(973) 821-5028,-,-,-,0.0,,Chinese; Thai,$$,DoorDash; Wix Restaurants,False
2023-10-06,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44912,2,44912,List - B,44912.0,Hong Hing Company,685 Ellice Ave,Winnipeg,MB,R3G 0A8,Canada,,,,,,,,,(204) 774-2574,-,-,-,0.0,,Chinese,$,,False
2023-10-06,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=00000,1,00000,,,,,,,,,,,,,,,,,,,,,,,,,,True
2023-10-07,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=11523,1,11523,List - A,11523.0,Laureles Chinese restaurant,1910 SW 1st St,Miami,FL,33135,United States,,,,,,,,,(305) 643-0099,-,-,-,0.0,,Chinese,$$,Grubhub,False
2023-10-07,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=17488,1,17488,List - A,17488.0,Asian Cuisine Express,3823 W 31st St,Chicago,IL,60623,United States,,,,,,,,,(773) 847-4883,-,-,-,0.0,,Chinese,$,BringMeThat,False
2023-10-07,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=23898,1,23898,List - B,23898.0,Posh Sushi Express,7019 W Village Blvd,Laredo,TX,78041,United States,Carlos,Villarreal,,,,,2007.0,,(956) 753-7674,-,-,-,1.0,,Japanese,$$,Google Analytics; SinglePlatform; Yelp Reservation; Yelp Waitlist; Zuppler,False
2023-10-07,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=32624,1,32624,List - B,32624.0,Kai Thai Restaurant,2470 N Columbia St,Milledgeville,GA,31061,United States,,,,,mine_na90@hotmail.com,,,,(478) 454-1237,-,-,-,0.0,mine_na90@hotmail.com,Japanese; Thai,$$,Smile Dining; Smile pos,False
2023-10-08,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=03838,2,03838,List - A,3838.0,Tamarind,2185 South Rd,Poughkeepsie,NY,12601,United States,,,,,,,,,(845) 632-2230,-,-,-,0.0,tamarindny@gmail.com,Indian; Chinese,$$,Clover POS; DoorDash; Google Analytics; Grubhub; Toast Email Marketing; Toast Loyalty; Toast Marketplace; Toast Payroll and Team Management; Uber Eats; Yelp Reservation,False
2023-10-08,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=20883,1,20883,List - B,20883.0,Prime Wok Express,6506 Lonetree Blvd,Rocklin,CA,95765,United States,Kim,Chang,Owner,Owner,,,,,(916) 788-1688,-,-,-,1.0,,Chinese,$,DoorDash; Grubhub; Uber Eats,False
2023-10-08,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=29156,1,29156,List - B,29156.0,Cholula's Hibachi Grill,1038 E Main St,Mesa,AZ,85203,United States,,,,,info@cholulashibachigrill.com,,,,(480) 454-4729,-,-,-,0.0,info@cholulashibachigrill.com,Japanese,$$,Facebook Pixel; Google Analytics; Grubhub; The NAI; Toast Email Marketing; Toast Gift Cards; Toast Loyalty; Toast Marketplace; Toast Online Ordering; Toast Payroll and Team Management; Uber Eats; Yelp Reservation; Yelp Waitlist; YourAdChoices,True
2023-10-09,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=39699,1,39699,List - A,39699.0,A+ Sushi,631 Corydon Ave,Winnipeg,MB,R3M 0W3,Canada,,,,,,,,,(204) 452-3656,-,-,-,0.0,,Japanese,$$,DI develop; Skip the Dishes; Uber Eats,True
2023-10-10,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=16167,1,16167,List - A,16167.0,"Sanshimai (4765 Hodges Blvd #3,)",4765 Hodges Blvd,Jacksonville,FL,32224,United States,,,,,,,,,(904) 992-4999,"9049924999, 6463799867","9049924999, 6463799867",-,0.0,,Japanese,$,Uber Eats,False
2023-10-10,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42414,1,42414,List - A,42414.0,The Clouds Vietnamese Cuisine,6940 Victoria Dr,Vancouver,BC,V5P 3Y8,Canada,,,,,,,,,(604) 321-7777,-,-,-,0.0,,Korean; Japanese; Vietnamese; Chinese; Thai,$,Skip the Dishes; Squarespace; Uber Eats,False
2023-10-10,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42454,1,42454,List - B,42454.0,Golden Chinese Food Restaurant,23 King St W,Ingersoll,ON,N5C 2J2,Canada,,,,,,,,,(519) 485-3801,-,-,-,0.0,,Chinese,$,,False
2023-10-10,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43355,1,43355,List - B,43355.0,Hockey Sushi,1465 Merivale Rd,Ottawa,ON,K2E 5N9,Canada,,,,,,,,,(613) 421-2221,-,-,-,0.0,,Japanese,$,Apple App Store; Google Analytics; Skip the Dishes; Uber Eats; WooCommerce,False
2023-10-10,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43975,1,43975,List - B,43975.0,Hatsuki Sushi,424 Tranquille Rd,Kamloops,BC,V2B 3G8,Canada,,,,,hatsukikamloops@gmail.com,,,,(250) 376-8815,-,-,-,0.0,hatsukikamloops@gmail.com,Korean; Japanese,$$,Skip the Dishes; Wix Restaurants,False
2023-10-10,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=45003,1,45003,List - B,45003.0,Hakka Chinese Kitchen,25 Base Line Rd W,London,ON,N6J 1V1,Canada,,,,,customerservice@hakkachinesekitchen.com,,,,(226) 663-4440,-,-,-,0.0,customerservice@hakkachinesekitchen.com,Indian; Chinese,$,GlobalFood; GoDaddy Sites; Oracle GloriaFood; Skip the Dishes; Uber Eats,False
2023-10-11,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=40965,1,40965,List - A,40965.0,Chuan Yue,8329 Oak St,Vancouver,BC,V6P 4A9,Canada,,,,,,,,,(604) 336-6238,-,-,-,0.0,,Chinese,,DI develop; Uber Eats,False
2023-10-11,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=41564,1,41564,List - A,41564.0,Shang Palace Hakka Cuisine,18 Rambler Dr,Brampton,ON,L6W 1E2,Canada,,,,,,,,,(905) 453-8889,-,-,-,0.0,,Chinese,,DoorDash; Skip the Dishes; Uber Eats,False
2023-10-11,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43009,1,43009,List - B,43009.0,Eden Bento Cafe,450 Lansdowne St,Kamloops,BC,V2C 1Y3,Canada,,,,,,,,,(778) 471-7072,-,-,-,0.0,,Korean; Japanese,$$,Skip the Dishes; Uber Eats,False
2023-10-11,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43256,2,43256,List - B,43256.0,Kung Pao Wok,501 1 Ave S,Lethbridge,AB,T1J 4L9,Canada,,,,,,,,,(587) 425-0746,-,-,-,0.0,,Chinese,$,Skip the Dishes; Uber Eats,False
2023-10-11,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44897,2,44897,List - B,44897.0,Hojo's Sushi Burrito,6 Prince St,Charlottetown,PE,C1A 4P5,Canada,,,,,info@hojosjapanese.com,,,,(902) 620-8668,-,-,-,0.0,info@hojosjapanese.com,Japanese,,,False
2023-10-12,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42331,1,42331,List - A,42331.0,Usagi Sushi,1984 Bloor St W,Toronto,ON,M6P 3K9,Canada,,,,,,,,,(416) 769-2264,-,-,-,0.0,,Japanese,,Uber Eats,True
2023-10-12,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=35522,1,35522,List - B,35522.0,Bottle Rocket,180 Walker St SW,Atlanta,GA,30313,United States,,,,,,,,,(404) 574-5680,-,-,-,0.0,,Japanese,$$,Eventbrite; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order; Squarespace; Uber Eats,False
2023-10-12,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42967,1,42967,List - B,42967.0,Hansik,1067 Ontario St,Stratford,ON,N5A 6W6,Canada,,,,,,,,,(867) 336-4477,-,-,-,0.0,,Korean; Japanese,,Skip the Dishes,False
2023-10-12,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44854,1,44854,List - B,44854.0,Momo Magic,117 Dundas St,London,ON,N6A 1E8,Canada,,,,,,,,,(519) 932-0459,-,-,-,0.0,,American; Japanese; Chinese,,Skip the Dishes,False
