fill_info,State,Contact_Title,Year_Established,Employee_Size,Category,Country
Didn't Fill,BC,OWNER,NA,4,Chinese,Canada
Didn't Fill,ND,MANAGER,NA,4,NA,USA
Didn't Fill,IN,OWNER,NA,4,NA,USA
Didn't Fill,OH,MANAGER,NA,4,NA,USA
Didn't Fill,TX,MANAGER,NA,4,NA,USA
Didn't Fill,NY,NA,NA,4,NA,USA
Didn't Fill,MO,NA,NA,4,NA,USA
Didn't Fill,LA,NA,NA,4,NA,USA
Didn't Fill,IN,NA,NA,4,NA,USA
Didn't Fill,NJ,NA,NA,4,NA,USA
Didn't Fill,PA,NA,NA,4,NA,USA
Filled,GA,NA,NA,4,NA,USA
Didn't Fill,VA,NA,NA,4,NA,USA
Filled,NC,OWNER,NA,4,NA,USA
Didn't Fill,CA,MANAGER,NA,4,NA,USA
Didn't Fill,NY,NA,NA,4,NA,USA
Didn't Fill,TN,MANAGER,NA,4,Japanese,USA
Didn't Fill,OH,PRESIDENT,NA,4,Cajun Seafood,USA
Didn't Fill,CA,NA,NA,4,Chinese,USA
Didn't Fill,GA,OWNER,NA,4,NA,USA
Didn't Fill,TX,OWNER,NA,4,NA,USA
Filled,FL,OWNER,NA,4,NA,USA
Didn't Fill,NY,OWNER,NA,4,NA,USA
Didn't Fill,FL,OWNER,NA,4,NA,USA
Didn't Fill,CA,MANAGER,NA,4,NA,USA
Didn't Fill,NY,OWNER,NA,4,NA,USA
Didn't Fill,CA,PARTNER,NA,4,NA,USA
Didn't Fill,VA,OWNER,NA,4,NA,USA
Didn't Fill,IN,OWNER,NA,4,NA,USA
Didn't Fill,FL,OWNER,NA,4,NA,USA
Didn't Fill,FL,OWNER,NA,4,NA,USA
Didn't Fill,NV,OWNER,NA,4,NA,USA
Filled,NY,MANAGER,NA,4,NA,USA
Didn't Fill,PA,OWNER,NA,4,NA,USA
Didn't Fill,MO,OWNER,NA,4,NA,USA
Didn't Fill,MA,MANAGER,NA,4,NA,USA
Didn't Fill,OK,OWNER,NA,4,NA,USA
Didn't Fill,OK,OWNER,NA,4,NA,USA
Didn't Fill,MI,OWNER,NA,4,NA,USA
Didn't Fill,NY,OWNER,NA,4,NA,USA
Didn't Fill,MI,OWNER,NA,4,NA,USA
Didn't Fill,AZ,NA,NA,5,Chinese,USA
Didn't Fill,MA,NA,NA,5,Chinese,USA
Didn't Fill,MA,NA,NA,5,Chinese,USA
Didn't Fill,MA,NA,NA,5,Chinese,USA
Didn't Fill,CA,NA,NA,5,Japanese,USA
Didn't Fill,NY,PRESIDENT,NA,5,Chinese,USA
Didn't Fill,OH,NA,NA,6,Cajun Seafood,USA
Didn't Fill,SC,NA,NA,6,Japanese,USA
Didn't Fill,TN,NA,NA,6,Chinese,USA
Filled,FL,NA,NA,6,Cajun Seafood,USA
Didn't Fill,CA,PRESIDENT,NA,6,Chinese,USA
Didn't Fill,CA,SECRETARY,NA,6,Japanese,USA
Didn't Fill,NY,NA,NA,7,Cajun Seafood,USA
Didn't Fill,NY,NA,NA,7,Cajun Seafood,USA
Didn't Fill,VA,NA,NA,7,Japanese,USA
Didn't Fill,CA,NA,NA,7,Japanese,USA
Didn't Fill,CA,PRINCIPAL,NA,7,Japanese,USA
Filled,CA,NA,NA,7,Japanese,USA
Didn't Fill,OR,NA,NA,7,Japanese,USA
Didn't Fill,NJ,NA,NA,7,Japanese,USA
Didn't Fill,AZ,NA,NA,7,Chinese,USA
Filled,CA,NA,NA,7,Chinese,USA
Filled,CA,NA,NA,7,Chinese,USA
Filled,CA,NA,NA,7,Chinese,USA
Filled,CA,NA,NA,7,Chinese,USA
Didn't Fill,CA,NA,NA,7,Japanese,USA
Didn't Fill,CA,NA,NA,7,Japanese,USA
Didn't Fill,MS,NA,NA,7,Cajun Seafood,USA
Didn't Fill,NY,NA,NA,7,Japanese,USA
Didn't Fill,NY,NA,NA,7,Chinese,USA
Didn't Fill,CA,PRINCIPAL,NA,7,Chinese,USA
Didn't Fill,VA,NA,NA,7,Japanese,USA
Didn't Fill,UT,PRESIDENT,NA,7,Japanese,USA
Didn't Fill,WA,NA,NA,7,Japanese,USA
Didn't Fill,CA,NA,NA,7,Chinese,USA
Didn't Fill,CA,PRINCIPAL,NA,7,Chinese,USA
Didn't Fill,MA,PRINCIPAL,NA,8,Japanese,USA
Filled,UT,NA,NA,8,Japanese,USA
Didn't Fill,AZ,NA,NA,8,Japanese,USA
Didn't Fill,CA,NA,NA,8,Chinese,USA
Didn't Fill,KS,ADMINISTRATION,NA,8,Japanese,USA
Didn't Fill,KS,ADMINISTRATION,NA,8,Japanese,USA
Didn't Fill,CA,NA,NA,8,Chinese,USA
Didn't Fill,CA,NA,NA,8,Chinese,USA
Didn't Fill,CA,NA,NA,8,Japanese,USA
Didn't Fill,MA,PRINCIPAL,NA,8,Japanese,USA
Didn't Fill,MA,PRINCIPAL,NA,8,Japanese,USA
Didn't Fill,MA,PRINCIPAL,NA,8,Japanese,USA
Didn't Fill,TX,NA,NA,8,Asian Fusion,USA
Didn't Fill,GA,NA,NA,8,Chinese,USA
Didn't Fill,ON,OWNER,NA,9,Chinese,Canada
Didn't Fill,ON,NA,NA,9,Japanese,Canada
Filled,AB,NA,NA,9,Chinese,Canada
Filled,AB,NA,NA,9,Chinese,Canada
Filled,AB,NA,NA,9,Chinese,Canada
Didn't Fill,BC,NA,NA,9,Japanese,Canada
Didn't Fill,BC,NA,NA,9,Japanese,Canada
Didn't Fill,BC,OWNER,NA,9,Japanese,Canada
Didn't Fill,BC,MANAGER,NA,9,Chinese,Canada
Didn't Fill,BC,MANAGER,NA,9,Chinese,Canada
Didn't Fill,BC,MANAGER,NA,9,Chinese,Canada
Didn't Fill,ON,OWNER,NA,9,Chinese,Canada
Didn't Fill,ON,OWNER,NA,9,Chinese,Canada
Didn't Fill,ON,OWNER,NA,9,Chinese,Canada
Didn't Fill,ON,OWNER,NA,9,Chinese,Canada
Didn't Fill,SK,OWNER,NA,9,Chinese,Canada
Didn't Fill,NY,NA,NA,9,NA,USA
Didn't Fill,FL,NA,NA,9,NA,USA
Didn't Fill,TN,NA,NA,9,NA,USA
Didn't Fill,TN,NA,NA,9,NA,USA
Didn't Fill,TN,NA,NA,9,NA,USA
Didn't Fill,TN,NA,NA,9,NA,USA
Didn't Fill,TN,NA,NA,9,NA,USA
Didn't Fill,WA,NA,NA,9,NA,USA
Didn't Fill,OK,NA,NA,9,NA,USA
Didn't Fill,PA,NA,NA,9,NA,USA
Didn't Fill,TX,NA,NA,9,NA,USA
Didn't Fill,FL,NA,NA,9,NA,USA
Didn't Fill,FL,NA,NA,9,Chinese,USA
Didn't Fill,CA,NA,NA,9,Japanese,USA
Didn't Fill,CA,OWNER,NA,9,Chinese,USA
Didn't Fill,SC,NA,NA,9,Japanese,USA
Didn't Fill,CA,CHIEF_EXECUTIVE_OFFICER,NA,9,Japanese,USA
Didn't Fill,AL,MANAGING_PARTNER,NA,9,Cajun Seafood,USA
Didn't Fill,CA,PRINCIPAL,NA,9,Japanese,USA
Didn't Fill,OH,MANAGING_MEMBER,NA,9,Cajun Seafood,USA
Didn't Fill,CO,NA,NA,9,Chinese,USA
Didn't Fill,VA,MANAGER,NA,9,NA,USA
Didn't Fill,VA,MANAGER,NA,9,NA,USA
Didn't Fill,CO,OWNER,NA,9,NA,USA
Didn't Fill,FL,VICE PRESIDENT,NA,9,NA,USA
Didn't Fill,FL,PRESIDENT,NA,9,NA,USA
Didn't Fill,FL,VICE PRESIDENT,NA,9,NA,USA
Didn't Fill,FL,OWNER,NA,9,NA,USA
Didn't Fill,LA,PRESIDENT,NA,9,NA,USA
Didn't Fill,CA,OWNER,NA,9,NA,USA
Didn't Fill,VA,OWNER,NA,9,NA,USA
Didn't Fill,GA,MANAGER,NA,9,NA,USA
Didn't Fill,IL,OWNER,NA,9,NA,USA
Didn't Fill,TX,OWNER,NA,9,NA,USA
Didn't Fill,PA,PRESIDENT,NA,9,NA,USA
Didn't Fill,CA,OWNER,NA,9,NA,USA
Didn't Fill,CA,OWNER,NA,9,NA,USA
Didn't Fill,FL,MANAGER,NA,9,NA,USA
Didn't Fill,VA,NA,NA,10,Chinese,USA
Didn't Fill,OR,NA,NA,10,Japanese,USA
Didn't Fill,OR,NA,NA,10,Japanese,USA
Didn't Fill,CA,NA,NA,10,Asian Fusion,USA
Didn't Fill,NJ,OWNER,NA,10,Chinese,USA
Didn't Fill,NE,NA,NA,10,Chinese,USA
Didn't Fill,NJ,PRINCIPAL,NA,10,Chinese,USA
Didn't Fill,LA,NA,NA,10,Cajun Seafood,USA
Didn't Fill,SC,NA,NA,11,Japanese,USA
Didn't Fill,CA,NA,NA,11,Chinese,USA
Didn't Fill,WV,NA,NA,11,Japanese,USA
Didn't Fill,FL,NA,NA,11,Chinese,USA
Didn't Fill,TX,GENERAL_MANAGER,NA,12,Chinese,USA
Didn't Fill,TX,NA,NA,12,Japanese,USA
Didn't Fill,NJ,PRESIDENT,NA,12,Japanese,USA
Didn't Fill,FL,NA,NA,12,Japanese,USA
Didn't Fill,NC,NA,NA,13,Japanese,USA
Didn't Fill,CA,NA,NA,13,Chinese,USA
Didn't Fill,IN,NA,NA,13,Japanese,USA
Filled,TX,NA,NA,15,Chinese,USA
Didn't Fill,IA,NA,NA,17,Japanese,USA
Didn't Fill,PA,NA,NA,18,Chinese,USA
Didn't Fill,AZ,MEMBER,NA,18,Japanese,USA
Didn't Fill,BC,NA,NA,19,Chinese,Canada
Didn't Fill,ON,OWNER,NA,19,Chinese,Canada
Didn't Fill,BC,OWNER,NA,19,Chinese,Canada
Didn't Fill,VA,NA,NA,19,NA,USA
Didn't Fill,MI,OWNER,NA,19,NA,USA
Didn't Fill,MI,OWNER,NA,19,NA,USA
Didn't Fill,NE,OWNER,NA,19,NA,USA
Didn't Fill,VA,OWNER,NA,19,NA,USA
Didn't Fill,TX,MANAGER,NA,19,NA,USA
Filled,IL,NA,NA,20,Chinese,USA
Didn't Fill,IN,NA,NA,28,Japanese,USA
Didn't Fill,CA,NA,NA,28,Asian Fusion,USA
Didn't Fill,MA,NA,NA,33,Japanese,USA
Didn't Fill,PA,NA,NA,35,Japanese,USA
Didn't Fill,NS,OWNER,NA,49,Chinese,Canada
Didn't Fill,BC,OWNER,NA,49,Chinese,Canada
Didn't Fill,MA,OWNER,NA,49,NA,USA
Didn't Fill,MA,OWNER,NA,49,NA,USA
Didn't Fill,ON,NA,NA,99,Chinese,Canada
Didn't Fill,MN,FINANCE EXEC,NA,49,NA,USA
Didn't Fill,SC,OWNER,NA,49,NA,USA
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Filled,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Japanese,Canada
Filled,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Japanese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,ON,NA,NA,NA,Chinese,Canada
Didn't Fill,MB,NA,NA,NA,Chinese,Canada
Didn't Fill,AB,NA,NA,NA,Chinese,Canada
Didn't Fill,AB,NA,NA,NA,Cajun Seafood,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Chinese,Canada
Didn't Fill,AB,NA,NA,NA,Chinese,Canada
Didn't Fill,AB,NA,NA,NA,Cajun Seafood,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,AB,NA,NA,NA,Japanese,Canada
Didn't Fill,BC,NA,NA,NA,Chinese,Canada
Didn't Fill,BC,NA,NA,NA,Chinese,Canada
Didn't Fill,BC,NA,NA,NA,Japanese,Canada
Didn't Fill,BC,NA,NA,NA,Japanese,Canada
Didn't Fill,BC,NA,NA,NA,Japanese,Canada
Didn't Fill,BC,NA,NA,NA,Chinese,Canada
Filled,BC,NA,NA,NA,Chinese,Canada
Didn't Fill,BC,NA,NA,NA,Japanese,Canada
Didn't Fill,CA,NA,NA,NA,NA,USA
Didn't Fill,MI,NA,NA,NA,NA,USA
Filled,CO,NA,NA,NA,NA,USA
Didn't Fill,WA,NA,NA,NA,NA,USA
Filled,FL,NA,NA,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,VT,NA,NA,NA,NA,USA
Didn't Fill,CO,NA,NA,NA,NA,USA
Didn't Fill,VA,NA,NA,NA,NA,USA
Didn't Fill,VA,NA,NA,NA,NA,USA
Didn't Fill,FL,NA,NA,NA,NA,USA
Didn't Fill,CA,NA,NA,NA,NA,USA
Didn't Fill,MA,NA,NA,NA,Cajun Seafood,USA
Filled,ME,NA,NA,NA,Chinese,USA
Didn't Fill,CT,NA,NA,NA,Asian Fusion,USA
Didn't Fill,NJ,NA,NA,NA,Asian Fusion,USA
Didn't Fill,NJ,NA,NA,NA,Asian Fusion,USA
Didn't Fill,NJ,NA,NA,NA,Chinese,USA
Filled,NY,NA,NA,NA,Chinese,USA
Didn't Fill,PA,NA,NA,NA,NA,USA
Didn't Fill,PA,NA,NA,NA,Japanese,USA
Didn't Fill,PA,NA,NA,NA,Japanese,USA
Didn't Fill,PA,NA,NA,NA,Japanese,USA
Didn't Fill,PA,NA,NA,NA,Japanese,USA
Didn't Fill,PA,NA,NA,NA,Japanese,USA
Didn't Fill,DE,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,MD,NA,NA,NA,NA,USA
Didn't Fill,MD,NA,NA,NA,Asian Fusion,USA
Didn't Fill,MD,NA,NA,NA,NA,USA
Didn't Fill,VA,NA,NA,NA,Asian Fusion,USA
Didn't Fill,NC,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,NC,NA,NA,NA,Japanese,USA
Didn't Fill,GA,NA,NA,NA,Japanese,USA
Didn't Fill,GA,NA,NA,NA,Japanese,USA
Didn't Fill,GA,NA,NA,NA,Japanese,USA
Didn't Fill,FL,NA,NA,NA,Japanese,USA
Didn't Fill,FL,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,FL,NA,NA,NA,Chinese,USA
Didn't Fill,FL,NA,NA,NA,Japanese,USA
Didn't Fill,FL,NA,NA,NA,Japanese,USA
Didn't Fill,OH,NA,NA,NA,Japanese,USA
Didn't Fill,OH,NA,NA,NA,Japanese,USA
Filled,OH,NA,NA,NA,Japanese,USA
Didn't Fill,OH,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,MI,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,MT,NA,NA,NA,Japanese,USA
Didn't Fill,MT,NA,NA,NA,Japanese,USA
Didn't Fill,MT,NA,NA,NA,Japanese,USA
Didn't Fill,KS,NA,NA,NA,Japanese,USA
Didn't Fill,LA,NA,NA,NA,Japanese,USA
Didn't Fill,AR,NA,NA,NA,Japanese,USA
Didn't Fill,AR,NA,NA,NA,Japanese,USA
Didn't Fill,OK,NA,NA,NA,Japanese,USA
Didn't Fill,TX,NA,NA,NA,Japanese,USA
Filled,TX,NA,NA,NA,Chinese,USA
Didn't Fill,TX,NA,NA,NA,NA,USA
Didn't Fill,CO,NA,NA,NA,Japanese,USA
Didn't Fill,UT,NA,NA,NA,Japanese,USA
Didn't Fill,UT,NA,NA,NA,Japanese,USA
Didn't Fill,NM,NA,NA,NA,NA,USA
Didn't Fill,CA,NA,NA,NA,NA,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,CA,NA,NA,NA,Asian Fusion,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Asian Fusion,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Asian Fusion,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Filled,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Chinese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,CA,NA,NA,NA,Japanese,USA
Didn't Fill,OR,NA,NA,NA,Japanese,USA
Didn't Fill,OR,NA,NA,NA,Cajun Seafood,USA
Didn't Fill,OR,NA,NA,NA,Japanese,USA
Didn't Fill,OR,NA,NA,NA,Japanese,USA
Didn't Fill,NA,NA,NA,NA,NA,USA
Didn't Fill,NY,OWNER,NA,NA,NA,USA
Didn't Fill,NJ,NA,NA,NA,NA,USA
Didn't Fill,DC,NA,NA,NA,NA,USA
Didn't Fill,NY,NA,NA,NA,NA,USA
Didn't Fill,NY,NA,NA,NA,NA,USA
Didn't Fill,FL,NA,NA,NA,NA,USA
Didn't Fill,FL,NA,NA,NA,NA,USA
Didn't Fill,MI,OWNER,2007,NA,NA,USA
Didn't Fill,TX,NA,NA,NA,NA,USA
Didn't Fill,CA,NA,NA,NA,NA,USA
Didn't Fill,CA,NA,NA,NA,NA,USA
Didn't Fill,NY,NA,NA,NA,NA,USA
Didn't Fill,NY,NA,NA,NA,NA,USA
Didn't Fill,NY,NA,2012,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,PA,NA,NA,NA,NA,USA
Didn't Fill,WA,NA,NA,NA,NA,USA
Didn't Fill,MN,OWNER,2016,NA,NA,USA
Didn't Fill,MD,NA,NA,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,WY,NA,NA,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,OH,NA,NA,NA,NA,USA
Didn't Fill,CA,OWNER,2019,NA,NA,USA
Filled,QC,,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Japanese,Canada
Didn't Fill,AB,General,NA,NA,Chinese,Canada
Didn't Fill,BC,,NA,NA,Indian; Chinese,Canada
Didn't Fill,MB,Owner,NA,NA,Chinese,Canada
Didn't Fill,QC,Owner,NA,NA,Japanese,Canada
Didn't Fill,NS,Finance,1985,NA,Cantonese; Chinese,Canada
Didn't Fill,AB,,NA,NA,Korean; Japanese; Chinese,Canada
Didn't Fill,QC,,NA,NA,Japanese,Canada
Didn't Fill,QC,,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,QC,,NA,NA,Japanese; Vietnamese; Thai,Canada
Didn't Fill,ON,,NA,NA,Korean; Japanese,Canada
Didn't Fill,ON,Owner,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Indian; Chinese,Canada
Didn't Fill,NS,,NA,NA,Mexican; Chinese,Canada
Didn't Fill,QC,Owner,NA,NA,Japanese; Chinese,Canada
Didn't Fill,AB,Owner,NA,NA,Chinese,Canada
Didn't Fill,QC,General,NA,NA,Chinese,Canada
Didn't Fill,MB,Owner,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,BC,,NA,NA,Chinese,Canada
Didn't Fill,QC,,NA,NA,Chinese,Canada
Didn't Fill,AB,,NA,NA,Japanese; Vietnamese; Chinese; Thai,Canada
Didn't Fill,SK,,NA,NA,Chinese,Canada
Didn't Fill,ON,Owner,NA,NA,Indian; Chinese; Thai,Canada
Didn't Fill,BC,,2017,NA,Chinese,Canada
Didn't Fill,QC,,NA,NA,American; Chinese,Canada
Didn't Fill,ON,,NA,NA,Japanese,Canada
Didn't Fill,MB,,NA,NA,Chinese,Canada
Didn't Fill,QC,General,NA,NA,Chinese,Canada
Didn't Fill,QC,,NA,NA,Hawaiian; Japanese,Canada
Didn't Fill,AB,General,NA,NA,Chinese,Canada
Didn't Fill,BC,General,NA,NA,Chinese,Canada
Didn't Fill,ON,Owner,2014,NA,Japanese,Canada
Didn't Fill,ON,General,NA,NA,Chinese,Canada
Didn't Fill,QC,General,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Korean; Japanese,Canada
Didn't Fill,QC,,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,NB,,2017,NA,Korean; Japanese,Canada
Didn't Fill,ON,General,NA,NA,Chinese; Thai,Canada
Filled,SK,General,1985,NA,Chinese,Canada
Didn't Fill,BC,Owner,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Japanese,Canada
Didn't Fill,QC,,NA,NA,Canadian; American; Vietnamese; Chinese,Canada
Didn't Fill,QC,,NA,NA,Chinese,Canada
Didn't Fill,BC,,NA,NA,Chinese,Canada
Didn't Fill,QC,,NA,NA,Chinese; Thai,Canada
Didn't Fill,QC,Owner,1991,NA,Chinese,Canada
Didn't Fill,NS,Owner,NA,NA,Japanese,Canada
Didn't Fill,ON,Owner,NA,NA,Japanese,Canada
Didn't Fill,AB,,NA,NA,Chinese,Canada
Didn't Fill,BC,,NA,NA,Chinese,Canada
Didn't Fill,NL,Owner,NA,NA,Chinese,Canada
Didn't Fill,NB,,NA,NA,Korean; Japanese,Canada
Didn't Fill,NB,,NA,NA,Korean; Vietnamese; Chinese; Thai,Canada
Didn't Fill,QC,Back of the House,2015,NA,Japanese,Canada
Didn't Fill,QC,,NA,NA,Japanese,Canada
Didn't Fill,QC,,NA,NA,Japanese,Canada
Didn't Fill,QC,Owner,2017,NA,French; Japanese,Canada
Didn't Fill,QC,General,2016,NA,Japanese,Canada
Didn't Fill,QC,,NA,NA,Japanese; Indonesian,Canada
Didn't Fill,ON,,NA,NA,Japanese; Chinese,Canada
Didn't Fill,ON,Owner,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,Owner,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Indian; American; Chinese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Korean; Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Filled,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,,NA,NA,Korean; Japanese; Chinese,Canada
Didn't Fill,ON,Owner,2014,NA,Japanese,Canada
Didn't Fill,ON,,NA,NA,Chinese,Canada
Didn't Fill,ON,,1999,NA,Chinese,Canada
Didn't Fill,ON,General,NA,NA,Chinese,Canada
Didn't Fill,MB,,NA,NA,Japanese,Canada
Didn't Fill,MB,,NA,NA,Korean; Japanese,Canada
Didn't Fill,SK,,NA,NA,Chinese,Canada
Didn't Fill,SK,,NA,NA,Japanese,Canada
Didn't Fill,SK,,NA,NA,Canadian; Chinese,Canada
Didn't Fill,SK,,NA,NA,Vietnamese; Chinese,Canada
Didn't Fill,AB,Owner,NA,NA,Chinese,Canada
Didn't Fill,AB,Owner,NA,NA,Vietnamese; Chinese,Canada
Didn't Fill,AB,,NA,NA,Japanese,Canada
Didn't Fill,AB,,2018,NA,Indian; Chinese,Canada
Didn't Fill,BC,,NA,NA,Japanese,Canada
Didn't Fill,BC,,NA,NA,Japanese,Canada
Didn't Fill,BC,,NA,NA,Japanese,Canada
Didn't Fill,BC,,NA,NA,Chinese,Canada
Didn't Fill,BC,,2016,NA,Indian; Chinese,Canada
Didn't Fill,BC,Owner,NA,NA,Chinese,Canada
Filled,BC,Owner,NA,NA,Chinese,Canada
Didn't Fill,BC,,NA,NA,Japanese,Canada
Didn't Fill,AL,,NA,NA,Chinese,USA
Didn't Fill,AL,,NA,NA,Japanese,USA
Didn't Fill,AR,,NA,NA,Japanese,USA
