Snowball Map,ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
48,0e6a90a48cddfffd,Sushi North,"Mon Closed, Tue-Thu 11am-1:45pm 4pm-8:45pm, Fri 11am-1:45pm 4pm-9:30pm, Sat Noon-1:45pm 4am-9pm, Sun 4pm-8:30pm",12010 Melody Dr,Westminster,CO,80234,United States,Tim,McMorris,Marketing Advertising Music,Sales & Marketing,,,2013,,(303) 452-0202,2,,Japanese,$$
71,2cec1b83c3b8a82b,Chubby Noodle,"Mon-Fri Closed, Sat 10am-2pm, Sun 11am-2pm",570 Columbus Ave,San Francisco,CA,94133,United States,Dominique,Rodriguez,.,,,,,,(415) 296-9600,1,info@chubbynoodle.com,Japanese; Chinese,$$
85,3262000f445c8e82,Thai Bay,"Mon-Sat 11:30am-10pm, Sun 4pm-9pm",1300 E Bay Dr,Largo,FL,33771,United States,Cath,Augusto,Owner,Owner,,,1996,,(727) 584-5522,2,thaibaynsushi@hotmail.com,Japanese; Thai,$$
98,262d5a2eb55956e6,Sansei Japanese Restaurant,"Mon Closed, Tue-Fri 11am-1:55pm 4pm-6:55pm, Sat-Sun Closed",1135 E Manning Ave,Reedley,CA,93654,United States,Ampie,Sonsavanh,Owner,Owner,,,1987,,(559) 643-9001,2,sansei.management@gmail.com,Japanese,$$
104,25891b0bd5c6e3c8,Le DeSales,"Mon 4pm-10pm, Tue-Fri 4pm-8pm, Sat-Sun Closed",1725 Desales St NW,Washington,DC,20036,United States,Geoff,Bosworth,General Manager,Operations,,,,,(202) 318-4066,3,billy@ledesales.com,French; Japanese,$$
106,26cb0a9c09afd4c8,Sake O,"Mon Closed, Tue-Sun 11:30am-2:30pm 4pm-9pm",505 Healdsburg Ave,Healdsburg,CA,95448,United States,Gary,Chu,Principal,Owner,,,2003,,(707) 433-2669,1,,Japanese,$$
109,294246600247872c,C I Chu's Mongolian BBQ,"Mon-Tue Closed, Wed-Thu Noon-8pm, Fri-Sat Noon-9pm, Sun Noon-8pm",4540 E Broadway Blvd,Tucson,AZ,85711,United States,Calvin,Chu,Software Development Manager,Sales & Marketing,cichu@comcast.net,,2004,,(520) 881-4798,1,cichu@comcast.net,Mongolian,$$
114,2a267e312230bd58,Kiyoshi's Sushi,"Mon Closed, Tue-Thu 5:30pm-9pm, Fri-Sat 5:30pm-9:30pm, Sun Closed",6550 Gateway Ave,Sarasota,FL,34231,United States,Kiyoshi,Noro,Manager,General,,,,,(941) 924-3781,2,adam@srqsoft.com,Japanese,$$
119,277dca9ee427a58a,Sumo Sushi,"Mon Closed, Tue-Thu 11:30am-10pm, Fri-Sat 11:30am-11pm, Sun Noon-10pm",2726 Park St,Jacksonville,FL,32205,United States,Zeng,Lau,Executive Assistant,,,,2008,,(904) 388-8838,3,,Japanese,$$
123,284131682846cadd,Higo Sushi,"Mon-Fri 11:30am-2pm 5pm-9pm, Sat 11:30am-9pm, Sun 3:30pm-9pm",1451 W Whittier Blvd,La Habra,CA,90631,United States,Hiroshi,Noguchi,Owner,Owner,,,1978,,(562) 691-8662,1,sushihigo@yahoo.com,Japanese; Peruvian,$$
126,26f7266d5ccae9ec,Izakaya Mai,Daily 6pm-Midnight,212 2nd Ave,San Mateo,CA,94401,United States,Masaru,Saito,,,,,2006,,(650) 347-2511,1,,Japanese,$$
135,119f5d1cef91ed18,Nagoya Sushi,"Mon Closed, Tue-Thu Noon-3pm 4:30am-9:30pm, Fri-Sat Noon-3pm 4:30am-10pm, Sun Noon-3pm 4:30am-9:30pm",7600 Dr Phillips Blvd,Orlando,FL,32819,United States,Carla,Pintar,Branch Manager,Operations,,,,,(407) 248-8558,2,nagoyainc@gmail.com,Japanese,$$
139,17a66c6d484b7827,Sushi Confidential,"Mon-Thu 4pm-6pm 9am-10pm, Fri-Sat 4pm-6pm 10am-11:30pm, Sun 4pm-6pm 9am-10pm",247 E Campbell Ave,Campbell,CA,95008,United States,,Randy,Founder And Chief Executive Officer,Owner,randy@sushiconfidential.com,,2012,,(408) 596-5554,2,randy@sushiconfidential.com,Japanese,$$
141,197f2bb88b657936,Mike's Cafe,"Mon-Sat 11am-9pm, Sun Noon-8pm",5501 Asher Ave,Little Rock,AR,72204,United States,Don,Booker,Bartender Manager,Front of the House,,,2012,,(501) 562-1515,5,,Vietnamese; Chinese,$
145,100f4cbe2385158a,Domo Cafe,"Mon-Fri 11am-9pm, Sat-Sun Noon-9pm",1823 Hurlburt Rd,Fort Walton Beach,FL,32547,United States,Jayden,Lee,Principal,Owner,,,,,(850) 374-8799,1,,Japanese,$$
146,1993494c4a6f2aff,Nanami Sushi,"Mon-Sat 11:45am-9pm, Sun Noon-7pm",263 N Sanderson Ave,Hemet,CA,92545,United States,Manuel,Gutierrez-Gomez,Owner,Owner,,,,,(951) 484-3117,1,,Japanese,$$
156,0680dac4058d16c9,Orient Chef,"Mon-Thu 11am-10pm, Fri-Sat 11am-10:30pm, Sun Noon-10pm",17155 Miramar Pkwy,Miramar,FL,33027,United States,Jack,Chung,Manager,General,,,2004,,(954) 538-0992,1,info@orientchefmiramarfl.com,Japanese; Chinese,$
166,0545a7d67bd8e0f6,Chiba Japanese,Daily 11am-9pm,10435 San Diego Mission Rd,San Diego,CA,92108,United States,Toan,Tran,Owner,Owner,,,1998,,(619) 584-1836,2,,Japanese,$$
168,0906c5cb83e15a1e,Paradise Sushi,"Mon-Thu 11:30am-9pm, Fri-Sat 11:30am-9:30pm, Sun 1pm-9pm",20 E Washington St,Petaluma,CA,94952,United States,Bert,Bleke,Principal,Owner,,,2011,,(707) 781-9695,1,hibachi@paradisesushi.net,Japanese,$$
181,00e171693dee5086,Amausaan Uji Matcha,"Mon-Fri 1:30pm-9pm, Sat-Sun 1pm-9pm",1950 Shattuck Ave,Berkeley,CA,94704,United States,Isabella,Estrada,Barista,,,,,,(510) 705-1226,1,amausaan102@gmail.com,Japanese,$
183,00df17f33a278a7d,Sakura Teppanyaki and Sushi,"Mon-Thu 11:15am-8:30pm, Fri 11:15am-9:30pm, Sat Noon-9:30pm, Sun Noon-8:30pm",744 Laurel St,San Carlos,CA,94070,United States,Rose,Tran,Owner,Owner,,,,,(831) 295-1349,1,sakurateppanyakiandsushi@gmail.com,Japanese,$$
184,01a868135196e5b6,Otori Japanese Cuisine,,68100 Ramon Rd,Cathedral City,CA,92234,United States,Jihye,Park,Administrator,Owner,,,2013,,(760) 699-5486,1,,Japanese,$$
192,04425fb267c285f8,Teriyaki Kitchen,"Mon Closed, Tue-Fri 11am-8:30pm, Sat-Sun 11:30am-8:30pm",2028 W Guadalupe Rd,Mesa,AZ,85202,United States,Fang,Fong,Owner,Owner,,,1995,,(480) 491-8888,1,,Japanese,$
208,1fd737cb2de48b4c,Stinky's Fish Camp,"Mon-Tue 11am-7pm, Wed Closed, Thu-Sun 11am-7pm",5960 W CR-30A,Santa Rosa Beach,FL,32459,United States,James,Richard,President,General,,,2007,,(850) 267-3053,5,brandon@stinkysfishcamp.com,American; Creole; Cajun,$$
211,21406f6f014e3e5d,Tokyo Love Japanese Restaurant,Daily 5pm-10pm,12565 Harbor Blvd,Garden Grove,CA,92840,United States,Joe,Lee,Owner,Owner,,,1999,,(714) 534-4751,2,,Japanese,$$
214,2190fb80c41f32be,Teriyaki House,"Mon-Sat 11am-8pm, Sun Closed",1415 W Arrow Hwy,San Dimas,CA,91773,United States,Jin,Hyun,Administrator,Owner,,,2017,,(909) 599-6999,1,,Japanese,$
218,1e3b098d8622a593,Carrollton Kobe Japanese Restaurant,"Mon 4:30pm-9:30pm, Tue Closed, Wed-Thu 4:30pm-9:30pm, Fri-Sat 4:30pm-10:30pm, Sun 11:30am-9:30pm",519 Bankhead Hwy,Carrollton,GA,30117,United States,Ho,Rhee,Owner,Owner,,,2005,,(770) 834-1700,1,kobe.restaurant.carrollton@gmail.com,Japanese,$$
240,580cff1d4092c123,Hungry Horse Drive-In,"Mon-Fri 10:30am-8pm, Sat 10:30am-7pm, Sun Closed",454 W Willow St,Long Beach,CA,90806,United States,Paula,Ear,Owner,Owner,,,1987,,(562) 426-7232,1,,Japanese,$
241,5b09e71f94369852,Sachiko Sushi,"Mon-Thu 11am-8pm, Fri 11am-9pm, Sat Noon-8pm, Sun Closed",3210 E Valencia Rd,Tucson,AZ,85706,United States,Tom,Ishi,Owner,Owner,,,2011,,(520) 741-1000,1,,Japanese,$
244,5bfc041036df9c2e,Midori Japanese Cuisine,"Mon-Fri 11am-8pm, Sat 11am-7:30pm, Sun Closed",3440 Sonoma Blvd,Vallejo,CA,94590,United States,Johnny,Fung,Principal,Owner,,,2005,,(707) 552-6288,2,,Japanese,$
246,612280419304b87e,Sushi Omakase,"Mon-Fri 11am-8:30pm, Sat-Sun 11am-2:45pm 4pm-8:30pm",6905 Camino Arroyo,Gilroy,CA,95020,United States,Sean,Kattner,Owner,Owner,sean@sushiomakase.com,,2010,,(408) 846-7874,3,sean@sushiomakase.com,Japanese,$$
248,617586e4105cef87,Wako Donkasu,"Mon-Sat 11am-9pm, Sun Closed",3377 Wilshire Blvd,Los Angeles,CA,90010,United States,Chin,Kim,President,General,,,2001,,(213) 381-9256,2,,Korean; Japanese,$$
250,603c44bfe885fb60,Kotori Japanese Food,"Mon-Fri 11am-9pm, Sat Noon-9pm, Sun Closed",300 E Cole Blvd,Calexico,CA,92231,United States,Jose,Contreras,President,General,,,,,(760) 768-8540,1,,Japanese,$$
263,39d5e793fe1f8b20,Buddha's Favorite,"Mon-Wed 5pm-9pm, Thu 5pm-10pm, Fri 5pm-10:30pm, Sat Noon-3pm 5am-10:30pm, Sun Noon-3pm 5am-9pm",634 Lido Park Dr,Newport Beach,CA,92663,United States,Masaki,Yoshaitsuka,Owner,Owner,,,2000,,(949) 723-4203,2,nicole@buddhasfavorite.com,Japanese,$$
270,3807f353ed2b1ce3,Maketto,"Mon Closed, Tue-Sat 9am-10pm, Sun Closed",1351 H St NE,Washington,DC,20002,United States,Will,Sharp,Member,Owner,,,,,(202) 838-9972,4,maketto1351@gmail.com,Cambodian; Taiwanese,$$
272,381490ae157497e5,Yamatani Japanese Restaurant,"Mon Closed, Tue-Sat 4:30pm-9pm, Sun Closed",635 N Main St,Bishop,CA,93514,United States,Robert,Tani,Owner,Owner,,,,,(760) 872-4801,1,,Japanese,$$
277,40785bea8ed9cc03,Sushi Tomi,"Mon 11:30am-1:30pm 5pm-8pm, Tue Closed, Wed-Thu 11:30am-1:30pm 5pm-8pm, Fri-Sat 11:30am-1:30pm 5pm-8:30pm, Sun 11:30am-1:30pm 5pm-8pm",607 W Dana St,Mountain View,CA,94041,United States,Takao,Kitamura,Owner,Owner,,,1998,,(650) 968-3227,1,,Japanese,$$
279,3ef503dfd51c46d8,Hasu Teriyaki & Sushi,"Mon 11am-8:30pm, Tue Closed, Wed-Sun 11am-8:30pm",25075 Blue Ravine Rd,Folsom,CA,95630,United States,Enktsatseg,Mueller,Owner,Owner,,,2013,,(916) 983-7777,1,,Japanese,$
286,4224f39145d403d2,Dragon's Den Cafe,,7858 Genoa Rd,Texarkana,AR,71854,United States,Kim,Greening,Owner,Owner,,,2019,,(870) 216-1309,1,,Southern; Creole; Cajun,
293,504f18c51139d02e,Sakana Japanese Sushi & Steak (Vista),"Mon-Tue 11am-10pm, Wed Closed, Thu-Sat 11am-10pm, Sun Noon-9pm",925 S Vista Ave,Boise,ID,83705,United States,Yong,Mei,President,General,,,,,(208) 367-1688,1,,Japanese,
308,4c1d41377e88d3aa,Oto-Oto Izakaya Japonaise,Daily 5pm-6:30pm,929 W Huntington Dr,Monrovia,CA,91016,United States,Akira,Murakawa,Principal,Owner,,,2011,,(626) 359-3000,3,,Japanese,$$
309,4dbb33136443929d,Yuki Hana Sushi,"Mon 3pm-8pm, Tue Noon-8pm, Wed 3pm-8pm, Thu Noon-8pm, Fri Noon-9pm, Sat 3pm-9pm, Sun Noon-8pm",920 C St,Hayward,CA,94541,United States,Jeanette,Lee,Principal,Owner,,,2012,,(510) 889-8432,1,,Japanese,$
314,44f1cfc329d12f9d,Momosan Wynwood,"Mon-Tue Closed, Wed-Fri 5pm-7pm, Sat-Sun Closed",415 NW 26th St,Miami,FL,33127,United States,Daniel,Mallett,Executive Chef,Back of the House,,,,,(305) 851-8450,3,info@momosanwynwood.com,Japanese,$$
319,4869bb3f119b6600,New Jumbo Seafood Restaurant,Daily 11am-2:30pm 4:30pm-9:30pm,1532 Noriega St,San Francisco,CA,94122,United States,Ken,Leung,Manager,General,ken.leung@jumboseafoodrestaurant.net,,,,(415) 681-1800,1,ken.leung@jumboseafoodrestaurant.net,Cantonese; Chinese,$$
326,44b3b7ce4ca95afd,Little Sichuan Restaurant,Daily 10:30am-3pm 4:30am-8:30pm,35233 Newark Blvd,Newark,CA,94560,United States,Bill,Mai,Branch Manager,Operations,,,,,(510) 742-8777,1,,Szechuan; Chinese,$$
346,39c8fa4917868751,Fuji Sushi Japanese Cuisine,"Mon Closed, Tue-Thu 11:30am-2pm 4pm-9:30pm, Fri 11:30am-2pm 4pm-10:30pm, Sat 4pm-10:30pm, Sun 4pm-9:30pm",1449 Lee Rd,Winter Park,FL,32789,United States,Shila,Bhuiyan,Principal,Owner,,,1998,,(407) 645-1299,3,fujiwinterpark@gmail.com,Japanese,$$
351,3cea5497a73972c5,Big Sky Sushi,,536 W Bonita Ave,San Dimas,CA,91773,United States,Angy,Choy,Owner,Owner,,,2007,,(909) 599-7833,1,,Japanese,$$
353,39e41c7a551ac51c,Inari Sushi Fusion,"Mon-Thu Noon-10pm, Fri-Sat Noon-11pm, Sun Noon-10pm",15672 SW 72nd St,Miami,FL,33193,United States,Lazaro,Borroto,Principal,Owner,,,2016,,(786) 391-2099,2,inarisushi@hotmail.com,Japanese,$$
358,4200ec338a8e95ca,Blufin Sushi & Izakaya,"Mon-Fri 11am-9:30pm, Sat-Sun 4:30pm-9:30pm",7033 N Cedar Ave,Fresno,CA,93720,United States,Jimmy,Gunara,Executive Chef,Back of the House,,,,,(559) 412-4919,1,contact@blufin-sushi.com,Japanese,$$
359,41fb1014c5cbb4cf,Ke-uH,"Mon-Thu Noon-3:30pm 5am-10pm, Fri Noon-10:30pm, Sat 12:30pm-10:30pm, Sun 12:30pm-9:30pm",2278 Weston Rd,Weston,FL,33326,United States,Richert,Velasquez,Bar Manager,General,,,,,(954) 900-2278,1,keuhrestaurant@gmail.com,Japanese,$$
361,436f352281559426,Sakura House,"Mon-Sat 11am-2:30pm, Sun Closed",1255 19th St,Denver,CO,80202,United States,Gary,Yamashita,Chief Executive Officer,General,,,,,(303) 292-2323,1,,Japanese,$$
366,3e0d0021b2ab6bec,KYOJIN Sushi,"Mon-Tue Closed, Wed 5pm-11pm, Thu 5pm-Midnight, Fri-Sat 5pm-2am, Sun 5pm-11pm",3315 Cadys Aly NW,Washington,DC,20007,United States,Saran,Kannasute,Executive Chef,Back of the House,,,,,(202) 629-2131,1,info@yumehospitalitygroup.com,Japanese,
367,3ded2db36f446c35,Umigame Japanese Kitchen,"Mon-Thu 11:30am-9pm, Fri-Sat 11:30am-9:30pm, Sun 11:30am-9pm",13608 Ventura Blvd,Sherman Oaks,CA,91423,United States,Jilian,Diebler,Server,Front of the House,,,,,(818) 650-8041,1,umigame.oaks@gmail.com,Japanese,$$
369,445d32aa716490de,Sushi Yusho,"Mon-Fri 11am-2pm 5pm-9pm, Sat 5pm-9:30pm, Sun Closed",2365 Michael Dr,Newbury Park,CA,91320,United States,Judy,Kuge,Business Owner,Owner,,,2002,,(805) 375-2269,2,,Japanese,$$
371,40fb2dcfca9e72e1,Tsurukame Sushi on Garfield,"Mon-Tue Closed, Wed-Sun Noon-7pm",2409 S Garfield Ave,Monterey Park,CA,91754,United States,Keia,Teshima,Principal,Owner,,,,,(323) 490-7054,1,,Japanese,$
372,3a9112a3183ffe25,K-ZO,"Mon 11:30am-2pm 5pm-9pm, Tue 11am-2pm 5pm-9pm, Wed-Thu 11:30am-2pm 5pm-9pm, Fri 11:30am-2pm 5pm-9:30pm, Sat 5pm-9:30pm, Sun 5pm-9pm",9240 Culver Blvd,Culver City,CA,90232,United States,Keizo,Ishiba,Business Owner,Owner,,,2006,,(310) 202-8890,1,frontdesk@k-zo.com,Japanese,$$
373,5db986031997695a,King's Teriyaki Grill,,1205 E Yorba Linda Blvd,Placentia,CA,92870,United States,Kirk,Lee,Manager,General,,,1981,,(714) 993-5572,1,kingsteriyakigrill@gmail.com,Japanese,$
375,5d4d304710311fe4,Wayo Sushi Restaurant,Daily Noon-8pm,1407 Van Ness Ave,San Francisco,CA,94109,United States,Mamoru,Ogawa,Principal,Owner,,,1989,,(415) 561-9598,1,,Japanese,$$
376,5d38db003730abcb,Koryo Sushi,"Mon-Thu 5pm-1:30am, Fri-Sat 5pm-2:30am, Sun 5pm-1:30am",4390 Telegraph Ave,Oakland,CA,94609,United States,Susan,Chae,Principal,Owner,,,2006,,(510) 594-0661,2,,Japanese,$$
382,64795dfa2738b2e7,Rajun Cajun,,355 New Park Ave,Hartford,CT,6106,United States,Thomas,Armstrong,,,,,1990,,(860) 231-7159,1,,Creole; Cajun,$$
385,646bc5685395e1ac,Kim Loi Banh Bao,Daily 8am-7pm,1716 Tully Rd,San Jose,CA,95122,United States,Si,Dram,Owner,Owner,,,2001,,(408) 531-1344,1,contact@kimloibanhbao.com,Vietnamese; Chinese,$
386,64f987c2991517c4,Sora Sushi,"Mon-Thu 11am-2pm 4pm-9pm, Fri 11am-9pm, Sat-Sun Noon-9pm",3187 Zinfandel Dr,Rancho Cordova,CA,95670,United States,,Dylan,Business Owner,Owner,,,,,(916) 662-7958,1,,Japanese,$
388,61544ff44e345109,Happi House Famous Teriyaki,"Mon-Fri 10am-10pm, Sat-Sun 10am-11pm",695 N 5th St,San Jose,CA,95112,United States,Vicky,Montero,Manager,General,,,,,(408) 295-5554,2,tabellco@gmail.com,Japanese,$
392,639ce662c4695ba2,Hong Kong Chinese Restaurant,,1420 S Caraway Rd,Jonesboro,AR,72401,United States,Michael,Chao,Owner,Owner,,,,,(870) 933-8827,1,,Szechuan; Cantonese; Chinese,$$
398,51eea263856f2fd0,Teriyaki Junction,"Mon-Fri 11am-8pm, Sat-Sun Closed",1216 Broadway,Placerville,CA,95667,United States,Brian,Chow,Owner,Owner,,,1995,,(530) 295-1413,2,eikona@naver.com,Japanese,$
407,551df6895f4f285f,Yen Sushi & Sake Bar,"Mon-Thu 11am-9:30pm, Fri 11am-10pm, Sat Noon-10pm, Sun Noon-9:30pm",17037 N 43rd Ave,Glendale,AZ,85308,United States,Kyungmi,Ko,Principal,Owner,,,2008,,(602) 978-9022,1,yensushiandsakebar@gmail.com,Japanese,$$
409,54595fe980d5aa5a,Sushi Teri Lompoc,"Mon Closed, Tue-Thu 11:30am-2pm 5pm-9pm, Fri 11:30am-2pm 5pm-10pm, Sat 5pm-10pm, Sun 5pm-8:30pm",213 W Ocean Ave,Lompoc,CA,93436,United States,Leroy,Reprogle,Owner,Owner,,,2007,,(805) 740-0123,1,,Japanese,$$
416,5b86bb2e69b50295,Kiku Japanese Grill,"Mon Closed, Tue-Sun 11am-8pm",888 New Los Angeles Ave,Moorpark,CA,93021,United States,Woon,Riu,President,General,,,2010,,(805) 523-2655,1,kikujapanesegrill@gmail.com,Japanese,$$
418,5e2b16e88218e03e,Winter Park Fish Company,"Mon-Thu 4pm-9pm, Fri-Sat 11am-9pm, Sun Closed",761 Orange Ave,Winter Park,FL,32789,United States,Paul,Conway,Principal,Owner,,,,,(321) 972-5393,2,ceo@gtbstore.com,Creole; Cajun,$$
428,7545d0baa8f57bd9,Sakana Sushi & Grill,"Mon-Wed 5pm-8:30pm, Thu Noon-2pm 5am-8:30pm, Fri Noon-2pm 5am-9pm, Sat 5pm-9pm, Sun Closed",6989 N Hayden Rd,Scottsdale,AZ,85250,United States,Nobu,Sawai,Branch Manager,Operations,,,1993,,(480) 609-3850,2,,Japanese,$$
432,69ce69b240fd50f4,Kahuna Tiki Tu,"Mon-Thu 4pm-10pm, Fri-Sat 4pm-11pm, Sun 4pm-9pm",12600 Riverside Dr,Valley Village,CA,91607,United States,Mackenzie,Smith,Bartender & Server,Front of the House,,,,,(818) 452-9600,1,kahunatiki14@gmail.com,Japanese,$$
433,69d9ec551f417b1d,Taka Sushi,"Mon-Thu 5pm-9pm, Fri-Sat 5pm-9:30pm, Sun Closed",4600 Roswell Rd NE,Sandy Springs,GA,30342,United States,,Taka,Business Owner,Owner,,,2002,,(404) 851-1500,2,sushiandpassion@gmail.com,Japanese,$$
439,77bbfa7fc4326d99,Maru Sushi Bar,"Mon-Thu Noon-9pm, Fri-Sat Noon-9:30pm, Sun Noon-9pm",21515 Devonshire St,Los Angeles,CA,91311,United States,Andy,Jeoung,Owner,Owner,,,,,(818) 280-6168,1,,Japanese,$$
441,76c524620ddbc3f3,Hama Sushi,"Mon-Sat 4pm-9:30pm, Sun Closed",213 Windward Ave,Venice,CA,90291,United States,Hoonae,Chaing,Owner,Owner,,,1979,,(310) 396-8783,7,hamasecretgarden@gmail.com,Japanese,$$
443,7736c48f026adc99,Mikato Japanese Steak House and Sushi Bar,"Mon Closed, Tue-Thu 4pm-10pm, Fri-Sun 4pm-11pm",3800 Gulf Shores Pkwy,Gulf Shores,AL,36542,United States,John,Pak,Member,Owner,,,1983,,(251) 968-2525,1,,Japanese,$$
454,7ed187b83d194bd7,Japanese Restaurant Honda,"Mon Closed, Tue-Fri 11:30am-1:30pm 5pm-8:30pm, Sat 5pm-8:30pm, Sun 5pm-8pm",3629 Pacific Coast Hwy,Torrance,CA,90505,United States,George,Ishihara,President,General,,,1980,,(310) 373-8272,3,,Japanese,$$
455,7ef0fbb86d9ceb64,Asuka,"Mon Closed, Tue-Sat 6pm-10pm, Sun Closed",1553 Westwood Blvd,Los Angeles,CA,90024,United States,Kenkichi,Yamamoto,Business Owner,Owner,,,2016,,(424) 832-7284,2,eatasuka@gmail.com,Japanese,$$$
473,6acb11ac0242230d,Mori Sushi,"Mon-Tue 6pm-10pm, Wed Closed, Thu-Sat 6pm-10pm, Sun Closed",11500 W Pico Blvd,Los Angeles,CA,90064,United States,Nao,Baba,Owner,Owner,,,2001,,(310) 479-3939,2,,Japanese,$$$$
481,697a189c8d4a842d,Lucky Cafe,"Mon-Fri 11am-8pm, Sat-Sun Closed",306 Harold G Clarke Pkwy,Forsyth,GA,31029,United States,G.,Harley,Principal,Owner,,,2008,,(478) 992-8989,2,,Japanese,$
487,67b5318908fd135f,Oh My Sushi,"Mon 4:30pm-9pm, Tue-Sat 11:30am-2:30pm 4:30pm-9pm, Sun Closed",28985 Golden Lantern,Laguna Niguel,CA,92677,United States,Bokyu,Jung,Principal,Owner,,,2015,,(949) 495-9100,1,ohmy28985@gmail.com,Japanese,$$
490,6e10c481c9951209,Sapporo Restaurant,"Mon-Wed 4:30pm-9pm, Thu-Fri 11:30am-2pm 4:30pm-9pm, Sat 4:30pm-9pm, Sun Closed",22507 Main St,Hayward,CA,94541,United States,Peun,Yoo,Owner,Owner,,,,,(510) 727-1568,1,sapporohayward@gmail.com,Japanese,$$
492,6cf6e6664ecff040,Meiji Seimen,"Mon-Thu 5:30pm-7pm, Fri-Sun Closed",1113 Baker St,Costa Mesa,CA,92626,United States,Trevor,Ralston,Food Runner,Front of the House,,,2013,,(714) 545-5175,1,meijinoodle.cm@gmail.com,Japanese,$$
494,6d2fd5c0b100396e,Matsu Sushi,,33 Jesup Rd,Westport,CT,6880,United States,Pauline,Lee,Manager,General,,,2002,,(203) 341-9662,2,,Japanese,$
506,8b8d784a02bde460,Marina Poke House,Daily 11am-7:30pm,266 Reservation Rd,Marina,CA,93933,United States,Tyler,Tran,Owner,Owner,,,,,(831) 384-7898,1,,Japanese,$$
511,892686fd3cb8d715,Nana Sushi Thai,"Mon-Fri 11:30am-2:30pm 5pm-10pm, Sat-Sun 5pm-10pm",6512 N State Road 7,Coconut Creek,FL,33073,United States,N.,Choonhawanitwatana,Principal,Owner,,,2010,,(954) 725-5400,1,nanasushithai@gmail.com,Japanese,$$
518,88bb5fd789120850,Sushi Bistro,"Mon-Thu 11am-9pm, Fri-Sat 11am-9:30pm, Sun Closed",18 SE Broadway St,Ocala,FL,34471,United States,Silvia,Gonzalez,President,General,,,2009,,(352) 401-7650,1,info@sushibistrofl.com,Japanese,$$
