Date,Phone,State.x,Cuisine Type,SF Link,Price Range,State.y,Cuisines
2023-12-15,5866753988,,,https://wondersco.lightning.force.com/lightning/r/Account/001Uo000000esrJIAQ/view,,,
2023-12-15,6467751666,PA,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKJKCEA4/view,,,
2023-12-15,6462840032,FL,美式中餐外卖,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002l85qMAA/view,,,
2023-12-15,3468120495,California,Hawaiian BBQ,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002l85qMAA/view,,,
2023-12-15,3218880800,FL,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKDQHEA4/view,,,
2023-12-15,9176917178,Maryland,夏威夷餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002lS4ZMAU/view,,,
2023-12-15,6463389761,NY,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002lWOJMA2/view,,,
2023-12-17,2524701339,,,,,,
2023-12-17,9293395389,,,,,,
2023-12-17,9293395389,NY,中餐,,,,
2023-12-17,9173256695,Michigan,中餐,,,,
2023-12-18,2524701339,,,,,,
2023-12-18,6266898897,,中餐,,,,
2023-12-19,8602061706,Connecticut,日餐,,$$,CT,Japanese
2023-12-19,8326071375,,,,,,
2023-12-19,9175629071,FL,手抓,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002uqkMMAQ/view,,,
2023-12-19,6465781905,Maryland,中餐+手抓海鲜,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000002vURfMAM/view,,,
2023-12-20,6787088727,,,,,,
2023-12-20,2672306015,PA,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKJTlEAO/view,,,
2023-12-20,9178225988,,中餐,,,,
2023-12-20,6096649210,NJ,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000000gR3pMAE/view,,,
2023-12-20,6467175984,,,,,,
2023-12-21,6812228166,,,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOhUEAW/view,,,
2023-12-21,2073075326,Maine,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033H2bMAE/view,,,
2023-12-21,9172922375,,,https://wondersco.lightning.force.com/lightning/r/Contact/003Uo000001BaVqIAK/view,,,
2023-12-21,7575029433,West Virginia,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033OaLMAU/view,,,
2023-12-21,7575029433,West Virginia,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033OaLMAU/view,,,
2023-12-21,6462690619,,,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17TFAAZ/view,,,
2023-12-21,3309409901,OH,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b000021NaDvEAK/view,,,
2023-12-21,4178258030,MO,中餐+wings,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo00000341FAMAY/view,,,
2023-12-22,5017666698,AR,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo00000383lQMAQ/view,,,
2023-12-23,3479511078,,,https://wondersco.lightning.force.com/lightning/r/Account/001Uo000001WOwHIAW/view,,,
2023-12-23,3124519920,,,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17IEAAZ/view,,,
2023-12-23,4076720099,FL,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKDQJEA4/view,$,FL,Chinese
2023-12-23,3032820111,DM,日餐,,$$,CO,Japanese
2023-12-26,9319986666,TN,日餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003LmcbMAC/view,,,
2023-12-26,2675866913,,,,,,
2023-12-26,6467057809,,日餐,,,,
2023-12-26,9178150286,,,,,,
2023-12-27,9172569628,,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001zSQnBEAW/view,,,
2023-12-27,3127745288,,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003PoKrMAK/view,,,
2023-12-27,7186666972,New Jersey,中餐外卖,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000000xcm1MAA/view,,,
2023-12-27,9178382198,,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKPAZEA4/view,,,
2023-12-27,6085152450,,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003QFUkMAO/view,,,
2023-12-28,9179153246,New Hampshire,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003TcjKMAS/view,,,
2023-12-28,5867011317,Michigan,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Tt94MAC/view,,,
2023-12-28,8582310935,,,,,,
2023-12-28,6465781905,,,,,,
2023-12-28,2254806733,CT,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKEejEAG/view,,,
2023-12-28,2047307119,,,,,,
2023-12-28,9294989588,ohaiyo,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKKglEAG/view,,,
2023-12-28,6469222723,,,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17QOAAZ/view,,,
2023-12-28,6469222723,,,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17QOAAZ/view,,,
2023-12-28,2486359236,MI,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003UkWjMAK/view,,,
2023-12-28,9044390757,,,,,,
2023-12-29,9173024579,,中餐,,,,
2023-12-29,2284937263,,,,,,
2023-12-29,9175433062,ohaiyo,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WZLtMAO/view,,,
2023-12-29,4038915576,,,,,,
2023-12-29,2502519793,,,,,,
2023-12-29,8133369988,FL,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WFF9MAO/view,,,
2023-12-29,5174144551,Michigan,中餐外卖,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Wn3tMAC/view,,,
2023-12-29,2365088531,加拿大,美式中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Y6R4MAK/view,,,
2023-12-29,9173300261,康州,美式中餐,,,,
2023-12-30,3302425966,Ohio,中餐 buffet店,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKKFrEAO/view,,,
2023-12-30,3302425966,,,,,,
2023-12-30,9178878689,,,,,,
2023-12-30,9178878689,,,,,,
2023-12-30,6827041980,,,,,,
2023-12-30,6517762522,,,,$,MN,Chinese
2023-12-30,3063840844,,,,,,
2023-12-30,5109746991,,,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003gOtsMAE/view,,,
2023-12-31,6827041980,,,,,,
2024-01-01,9178422580,,,,,,
2024-01-02,9173758796,NY,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKPJpEAO/view,,,
2024-01-02,4437226918,Maryland,中餐,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003k7rBMAQ/view,,,
