Snowball Map,Restaurant Name,Address,City,Zipcode,State,Phone,List
100,Kingdom of Dumpling,1713 Taraval St,San Francisco,94116,CA,4155666143,Brizo
102,QingShu Malatang,46551 Mission Blvd,Fremont,94539,CA,5105734141,Brizo
104,Ming Dynasty,1211 Broadway,Sacramento,95818,CA,9164912233,Brizo
106,Tibby's New Orleans Kitchen,2203 Aloma Ave,Winter Park,32792,FL,4076725753,Brizo
108,Mugi Ramen and Poke,122 Tracker Dr,Colorado Springs,80921,CO,7193745978,Brizo
110,XG Restaurant,18481 Colima Rd,Rowland Heights,91748,CA,6268398288,Brizo
112,Akita Sushi,5353 Almaden Expy,San Jose,95118,CA,4087580460,Brizo
114,Wah Lan,989 S Main St,Belle Glade,33430,FL,5619929696,Brizo
116,The Foshan Kitchen (1821 Parental Home Rd Unit 7),1821 Parental Home Rd,Jacksonville,32216,FL,9142171965,Brizo
118,Its Sushi - Roseville,5030 Foothills Blvd,Roseville,95747,CA,8554777894,Brizo
120,Oriental Garden Restaurant,2895 S Bascom Ave,San Jose,95008,CA,4083716595,Brizo
122,Chinatown Express,10036 Hawthorne Blvd,Inglewood,90304,CA,3106771945,Brizo
124,Xiang Yuan Xiao Long Bao,1668 E 14th St,San Leandro,94577,CA,5103516698,Brizo
126,Chai Waii Chinese Food,9225 Carlton Hills Blvd,Santee,92071,CA,6195968898,Brizo
128,Dim Sum House,2631 Broadway,Sacramento,95818,CA,9164566688,Brizo
130,TGI's Sushi,100 W Hamilton Ave,Campbell,95008,CA,4088710123,Brizo
132,Poke Fusion Bowl/J-Petal Poke,2124 SW 34th St,Gainesville,32608,FL,3527926070,Brizo
134,Sushi & Bowls,7298 Lagae Rd,Castle Pines,80108,CO,3032847166,Brizo
136,Lucky Dragon,301 Ryder Ln,Casselberry,32707,FL,3212957232,Brizo
138,Chef Cho,6180 Jarvis Ave,Newark,94560,CA,4087618610,Brizo
140,Hong Kong,822 E Center St,Wallingford,6492,CT,2032849883,Brizo
142,Stick & Steam,350 Adrian Rd,Millbrae,94030,CA,6502399240,Brizo
144,Sushi One,3820 W 10th St,Greeley,80634,CO,9703517400,Brizo
146,Szechuwan Garden,484 Los Angeles Ave,Moorpark,93021,CA,8055171930,Brizo
148,Fin Japanese Restaurant,1241 Post Rd,Fairfield,6824,CT,2032556788,Brizo
150,Zone kitchenXiang Piao Piao Chou Dou Fu -Zhong Qing Ma La Tang,130 El Camino Real,San Bruno,94066,CA,4155797160,Brizo
152,Lotus Garden,4007 Euclid Ave,San Diego,92105,CA,6192831888,Brizo
154,Sumo Sushi,1520 N Mountain Ave,Ontario,91762,CA,9093911234,Brizo
156,Full Moon Restaurant,928 E Ojai Ave,Ojai,93023,CA,8057074704,Brizo
158,Maguro Sushi and Ramen,3855 W Ray Rd,Chandler,85226,AZ,4807926790,Brizo
160,Panda Wok,4468 Holt Blvd,Montclair,91763,CA,9093995288,Brizo
162,BROTH,11221 183rd St,Cerritos,90703,CA,5624028828,Brizo
164,Sawtelle Teriyaki,11419 Santa Monica Blvd,Los Angeles,90025,CA,4243461433,Brizo
166,Chef P's,22 N Jackson Ave,San Jose,95116,CA,4087294373,Brizo
168,New China,321 West Rd,Ocoee,34761,FL,4076542888,Brizo
170,Tsunami's Teriyaki Grill,3405 W Vine St,Kissimmee,34741,FL,4075189566,Brizo
172,Baitong Thai and Sushi Bar,2026 N Flamingo Rd,Pembroke Pines,33028,FL,9544982459,Brizo
174,Sushi Tsujita,2006 Sawtelle Blvd,Los Angeles,90025,CA,3102311177,Brizo
176,Blue Elephant Thai Esann & Sushi,8384 SW 40th St,Miami,33155,FL,7865345355,Brizo
178,Fusion Buffet,6835 US-129,Live Oak,32060,FL,3863621118,Brizo
180,New South Hot Dog & Sushi,5830 University Dr NW,Huntsville,35806,AL,2567835499,Brizo
182,Wong's Chinese Cuisine,10540 W Indian School Rd,Phoenix,85037,AZ,6238774123,Brizo
184,joyee dumpling house,12334 Poway Rd,Poway,92064,CA,8584861483,Brizo
186,Toshi,12847 Vanowen St,North Hollywood,91605,CA,8189822746,Brizo
188,Shang Hai,364 Gulf Breeze Pkwy,Gulf Breeze,32561,FL,8509326882,Brizo
190,Great China,864 N Nova Rd,Daytona Beach,32117,FL,3862553318,Brizo
192,ixlb DimSum Eats,10905 Lindbrook Dr,Los Angeles,90024,CA,3108248215,Brizo
194,Nori Japan,14500 W Colfax Ave,Lakewood,80401,CO,9564968988,Brizo
196,Teppan Edo,1780 Avenue of the Stars,Orlando,32830,FL,4079395277,Brizo
198,Red Dragon Express,5130 W Baseline Rd,Laveen,85339,AZ,6022377862,Brizo
200,Sushiya Express,955 Embarcadero del Mar,Goleta,93117,CA,8059618272,Brizo
202,RA Sushi,17877 Gale Ave,Industry,91748,CA,6265321600,Brizo
204,Asian City,8490 S Power Rd,Gilbert,85297,AZ,4806389828,Brizo
206,Origami Sushi,2353 E 12th St,Oakland,94601,CA,2066048697,Brizo
208,Gyu-Taro (4015 E Bell Rd STE 132),4015 E Bell Rd,Phoenix,85032,AZ,6029929688,Brizo
210,Imperial Delight,290 Market Pl,San Ramon,94583,CA,9258672888,Brizo
212,Yan's Kitchen,57 Columbus Ave,San Francisco,94111,CA,4159898820,Brizo
214,Singtong Thai Food & Sushi Bar,4651 Babcock St NE,Palm Bay,32905,FL,3213455029,Brizo
216,O-iza,190 El Camino,Fresno,93720,CA,NA,Brizo
218,Hong Kong,14114 US Highway 19,Hudson,34667,FL,7278623131,Brizo
220,Sun Wah,7150 Leetsdale Dr,Denver,80224,CO,3033226668,Brizo
222,Dumpling Story,2114 Fillmore St,San Francisco,94115,CA,4158293664,Brizo
224,Great Dragon Chinese Cuisine,4360 AZ-95,Fort Mohave,86426,AZ,9287636885,Brizo
226,Shiba Ramen,5959 Shellmound St,Emeryville,94608,CA,5109858309,Brizo
228,Take Maru Sushi,4076 Grass Valley Hwy,Auburn,95602,CA,5308858889,Brizo
230,Seabutter,180 Promenade Way,Thousand Oaks,91362,CA,8052216096,Brizo
232,Mr San Sushi,467 N Canon Dr,Beverly Hills,90210,CA,4243038125,Brizo
234,Omakase Asian Cuisine,13149 US-301 S,Riverview,33578,FL,8137410755,Brizo
236,China Taste,9218 N Rodney Parham Rd,Little Rock,72227,AR,5012278800,Brizo
238,Mingie's Chinese Restaurant,760 NW 183rd St,Miami Gardens,33169,FL,3056525186,Brizo
240,Jin Shabu,2055 N Dobson Rd,Chandler,85224,AZ,6023962988,Brizo
242,China II,5228 W State Road 46,Sanford,32771,FL,4076888998,Brizo
244,Pikes Poke,9290 Highland Ridge Hts,Colorado Springs,80920,CO,7198965563,Brizo
246,Okumura Restaurant,17302 Ventura Blvd,Encino,91316,CA,8189869712,Brizo
248,Holi Indian Cuisine,280 Eglin Pkwy NE,Fort Walton Beach,32547,FL,8503626077,Brizo
250,Sunshine HK Cafe,66 E 21st Ave,San Mateo,94403,CA,6505904821,Brizo
252,South Garden Chinese Restaurant,10855 SW 72nd St,Miami,33173,FL,3052749099,Brizo
254,Maui Poki,10350 Pines Blvd,Pembroke Pines,33026,FL,7547997195,Brizo
256,Sushi Ko,1819 Larkspur Landing Cir,Larkspur,94939,CA,4154618400,Brizo
258,Z & Y Restaurant,655 Jackson St,San Francisco,94133,CA,4159818988,Brizo
260,Fuji,1883 E Main St,Torrington,6790,CT,8604829308,Brizo
262,Red Corner Asian Bistro,780 Lakewood Rd,Waterbury,6704,CT,2037538889,Brizo
264,YinTang Spicy Hot Pot,4690 Convoy St,San Diego,92111,CA,8589337058,Brizo
266,Thai Bird,2585 W Olympic Blvd,Los Angeles,90006,CA,8186966712,Brizo
268,M & S Kitchen,6336 Shattuck Ave,Oakland,94609,CA,5105941888,Brizo
270,East Pass Seafood & Oyster House,56 Harbor Blvd,Destin,32541,FL,8504243507,Brizo
272,Sushi N Go,12359 Imperial Hwy,Norwalk,90650,CA,3106138919,Brizo
274,Takara Japanese Restaurant,3740 Overseas Hwy,Marathon,33050,FL,3057430505,Brizo
276,Mei-Don Chinese Cuisine,6576 Oakmont Dr,Santa Rosa,95409,CA,7075219239,Brizo
278,Hibachi Ko,1447 4th St,Santa Monica,90401,CA,3102601423,Brizo
280,Hana Japanese Steakhouse and Sushi Lounge,30 Hancock Bridge Pkwy W,Cape Coral,33991,FL,2395731228,Brizo
282,Sakura Japanese Buffet,870 SW Federal Hwy,Stuart,34994,FL,7726786643,Brizo
284,Lima Vegan Nikkei (955 Alton Rd),955 Alton Rd,Miami Beach,33139,FL,NA,Brizo
286,Tokyo House,30043 Haun Rd,Menifee,92584,CA,9516796388,Brizo
288,China Express,1325 E 4th St,Ontario,91764,CA,9093911984,Brizo
290,Hibachi-San,Old Pacific Hwy,Camp Pendleton Marine Corps Base,92055,CA,7604300308,Brizo
292,Chai Lan,3951 Irvine Blvd,Irvine,92602,CA,7143891119,Brizo
294,Los Hibachi,1221 S Gilbert Rd,Mesa,85204,AZ,6232778083,Brizo
296,Vege Paradise,250 W Valley Blvd,San Gabriel,91776,CA,6262805998,Brizo
298,Hooked on Poke,2653 Gateway Rd,Carlsbad,92009,CA,7605852226,Brizo
300,Sushi King,1241 N State Road 7,Royal Palm Beach,33411,FL,5617926882,Brizo
302,East Gourmet,13750 W Colonial Dr,Winter Garden,34787,FL,4076143840,Brizo
304,Hibachi House,929 Collins Ave,Miami Beach,33139,FL,3057638780,Brizo
306,China Buffet,1703 W Dewitt Henry Dr,Beebe,72012,AR,5018822882,Brizo
308,Maxwell Chicken Rice,7931 Valley View St,La Palma,90623,CA,7147358190,Brizo
310,Hibachi Ko,4921 E Ray Rd,Phoenix,85044,AZ,4809401111,Brizo
312,Ramen boyz,16711 Hawthorne Blvd,Lawndale,90260,CA,8334356463,Brizo
314,Wan Fu China Bistro,30642 Santa Margarita Pkwy,Rancho Santa Margarita,92688,CA,9495898028,Brizo
316,Lotus + Cleaver,143 NW 23rd St,Miami,33127,FL,3059344649,Brizo
318,Yeung's Lotus Express,11401 NW 12th St,Miami,33172,FL,3057160883,Brizo
320,YZ HOTPOT BBQ,937 E Broadway Rd,Tempe,85282,AZ,4805888886,Brizo
322,China King,295 N Indian Canyon Dr,Palm Springs,92262,CA,7603227638,Brizo
324,China99,1467 S Belcher Rd,Clearwater,33764,FL,7275312633,Brizo
326,Hong Kong Restaurant,4100 Dyer St,Union City,94587,CA,5104871033,Brizo
328,China Fusion,4225 Oceanside Blvd,Oceanside,92056,CA,7607268888,Brizo
330,Fuego Hibachi,3750 Main St,Riverside,92501,CA,9515253242,Brizo
332,Chinese Kitchen Chinese Fast Food,11873 Hawthorne Blvd,Hawthorne,90250,CA,NA,Brizo
334,Cho Tram Chim,10221 Westminster Ave,Garden Grove,92843,CA,7149513194,Brizo
336,Northern Cafe,6282 Hollywood Blvd,Los Angeles,90028,CA,3234991059,Brizo
338,Mei Wei,2900 Standiford Ave,Modesto,95350,CA,2095792288,Brizo
340,Sushi Burrito,801 N Federal Hwy,Hallandale,33009,FL,9546285340,Brizo
342,Chef Hunan,4661 Mission St,San Francisco,94112,CA,4153335588,Brizo
344,Shibuya,4774 Park Granada,Calabasas,91302,CA,8182251560,Brizo
346,Chinese To Go,45689 Highway 27,Davenport,33897,FL,8634248885,Brizo
348,King Harbor Seafood Restaurant,13018 Harbor Blvd,Garden Grove,92843,CA,7146369103,Brizo
350,Crepeing Ramen,72840 CA-111,Palm Desert,92260,CA,7606361787,Brizo
352,Astoria DC,1521 17th St NW,Washington,20036,DC,2027540065,Brizo
354,New Orleans kitchen cafe,32402 Corte Las Cruces,Temecula,92592,CA,NA,Brizo
356,Kitaro Sushi,2525 E Foothill Blvd,Pasadena,91107,CA,8184552788,Brizo
358,Plant Bae,175 Lee St,Montgomery,36104,AL,3346762961,Brizo
360,King Wok Chinese Take Out,11043 Crystal Springs Rd,Jacksonville,32221,FL,9047838848,Brizo
362,E Sushi & Grill,6428 N US Highway 41,Apollo Beach,33572,FL,8132139369,Brizo
364,Kiso Sushi,11780 E Dr Martin Luther King Jr Blvd,Seffner,33584,FL,8136758886,Brizo
366,Kaiba Japanese Restaurant (1263 Foothill Boulevard La Verne),1263 Foothill Blvd,La Verne,91750,CA,9095961111,Brizo
368,Asiatic Street Food & Noodle Bar,1600 E 8th Ave,Tampa,33605,FL,8132845317,Brizo
370,Poke Paradise,455 Saratoga Ave,San Jose,95129,CA,4083201930,Brizo
372,Sushi Thai Salida,123 W 1st St,Salida,81201,CO,7195395408,Brizo
374,Oishi Poke,11025 International Dr,Orlando,32821,FL,4078035387,Brizo
376,Fujiyama Japanese Sushi & Hibachi,8011 Merrill Rd,Jacksonville,32277,FL,9045599193,Brizo
378,Pepper Asian Bistro,2831 E Colfax Ave,Denver,80206,CO,3033888377,Brizo
380,Frannie Express,390 W Tennyson Rd,Hayward,94544,CA,5103976263,Brizo
382,China Boy,815 6th St NW,Washington,20001,DC,2023711661,Brizo
384,New Wok Restaurant,228 S Main St,Newtown,6470,CT,2032703738,Brizo
386,China Town Chinese Restaurant,1546 Ohio Ave S,Live Oak,32064,FL,3863621488,Brizo
388,King Kong Chinese Restaurant,3421 MacArthur Blvd,Oakland,94602,CA,5105306288,Brizo
390,China Kitchen,2318 W 28th Ave,Pine Bluff,71603,AR,8708506733,Brizo
392,Chef Xiu,855 W El Camino Real,Mountain View,94040,CA,6509888820,Brizo
394,Eddie's Chinese Take Out,1524 3rd St SW,Winter Haven,33880,FL,8632913996,Brizo
396,China Chef,821 W Main St,Immokalee,34142,FL,2398674192,Brizo
398,Hong Kong Bistro,13500 Beach Blvd,Jacksonville,32224,FL,9046191717,Brizo
400,Tai Won Chinese Restaurant,2125 Americana Blvd,Orlando,32839,FL,4078265122,Brizo
402,Wakatobi Japanese Grill,35201 Newark Blvd,Newark,94560,CA,5108942763,Brizo
404,Wok 'N' Bowl,1 Legoland Dr,Carlsbad,92008,CA,7609185346,Brizo
406,Carmel Sushi (Zip Fusion),11130 E Ocean Air Dr,San Diego,92130,CA,8587553130,Brizo
408,Hong Kong House Restaurant,2138 Mitchell Rd,Ceres,95307,CA,2095386888,Brizo
410,Hop Bo Chinese Restaurant,4461 Hoffner Ave,Orlando,32812,FL,4074476888,Brizo
412,House of China,18463 N US Highway 41,Lutz,33549,FL,8139495800,Brizo
414,Mayflower,428 Barber Ln,Milpitas,95035,CA,4089222700,Brizo
416,Si Jie Special Noodle,402 Barber Ln,Milpitas,95035,CA,5103249928,Brizo
418,Sasuke Ramen,7705 Wadsworth Blvd,Arvada,80003,CO,7206967831,Brizo
420,Bamboo Wok,2432 Sand Mine Rd,Davenport,33897,FL,8634208890,Brizo
422,Red Shallot,9032 NW 25th St,Miami,33172,FL,3054772513,Brizo
424,Poke Ramen Asian Soul Kitchen,1908 S University Dr,Davie,33324,FL,9547664628,Brizo
426,Suanlafen Noodles,662 Barber Ln,Milpitas,95035,CA,4158191271,Brizo
428,McGuire's Sushi,35 Harbor Blvd,Destin,32541,FL,8506507655,Brizo
430,Uminoya Ramen,5420 Philadelphia St,Chino,91710,CA,9095173614,Brizo
432,Juicy Snow Crab & Lobster - Sherman Oaks,14834 Burbank Blvd,Los Angeles,91411,CA,8182903781,Brizo
434,A-One Wok,1031 S Santa Fe Ave,Vista,92083,CA,7605363898,Brizo
436,Mizu Japanese Steakhouse,750 Colonial Promenade Pkwy,Alabaster,35007,AL,2056218388,Brizo
438,China Wal,7123 N US Highway 441,Ocala,34475,FL,3523693926,Brizo
440,Szechuan Mandarin,5855 Mission Gorge Rd,San Diego,92120,CA,6192804600,Brizo
442,Fuji Sushi,13740 Beach Blvd,Jacksonville,32224,FL,9049928998,Brizo
444,Mlem Mlem Crab,5125 Candlewood St,Lakewood,90712,CA,5622195716,Brizo
446,Obento,6334 103rd St,Jacksonville,32210,FL,9046727771,Brizo
448,BELLY FISH,901 S Federal Hwy,Hallandale,33009,FL,9545895637,Brizo
450,The Chinese Restaurant,12963 SW 112th St,Miami,33186,FL,3053871113,Brizo
452,China King,7563 Osceola Polk Line Rd,Davenport,33896,FL,4073971211,Brizo
454,Gourmet Wok,358 W El Norte Pkwy,Escondido,92026,CA,7604808243,Brizo
456,Driftwood Palm Harbor,1114 Florida Ave,Palm Harbor,34683,FL,7274004100,Brizo
458,New Star Chinese,1200 Boston Post Rd,Guilford,6437,CT,2036895653,Brizo
460,King Palace,5829 Stockton Blvd,Sacramento,95824,CA,9164568888,Brizo
462,Yuzu Japanese Izakaya,960 6th St,Norco,92860,CA,9514795744,Brizo
464,Tsukiyomi Sushi Bar & Grill,317 W Central Ave,Winter Haven,33880,FL,8632932395,Brizo
466,Zhangliang Spicy Hotpot (Rowland Heights),1380 Fullerton Rd,Rowland Heights,91748,CA,6263463122,Brizo
468,Leo's Kitchen,7441 Foothills Blvd,Roseville,95747,CA,9167881998,Brizo
470,China Wok,4891 Golden Gate Pkwy,Naples,34116,FL,2393546788,Brizo
472,Canton Kitchen,402 W Manchester Blvd,Inglewood,90301,CA,3106716645,Brizo
474,Starlight Sushi,15928 Ventura Blvd,Encino,91436,CA,8188051150,Brizo
476,Lone Tree Drive In Chinese,8383 Lone Tree Way,Brentwood,94513,CA,9256344629,Brizo
478,Ramen Hub & Sushi - Long Beach,3900 Atlantic Ave,Long Beach,90807,CA,5626764175,Brizo
480,Gold Dumpling,565 CT-12,Groton,6340,CT,8604496768,Brizo
482,Rice and Spice Thai Sushi Bistro,Yamato Rd,Boca Raton,33498,FL,5617178049,Brizo
484,Keiko Grill,3650 W Martin Luther King Jr Blvd,Los Angeles,90008,CA,3232900097,Brizo
486,Hao Bao Dumplings Stockton Blvd Store,6821 Stockton Blvd,Sacramento,95823,CA,9166616581,Brizo
488,Season's Takeout,585 W Nees Ave,Fresno,93711,CA,5595156115,Brizo
490,SANKAI Japanese Cuisine,3940 S Bristol St,Santa Ana,92704,CA,7142417115,Brizo
492,China Valley,10110 N Oracle Rd,Oro Valley,85737,AZ,5203542097,Brizo
494,Minh Ky Restaurant,4644 El Cajon Blvd,San Diego,92115,CA,6192834180,Brizo
496,Fish Day,33592 Alvarado Niles Rd,Union City,94587,CA,5104291252,Brizo
498,Monterey Bay Aquarium,886 Cannery Row,Monterey,93940,CA,8316484800,Brizo
500,Khmer Town Chinese Food and BBQ,1569 E Anaheim St,Long Beach,90813,CA,3237496330,Brizo
502,Piglet & Co,2170 Mission St,San Francisco,94110,CA,4156609889,Brizo
504,Johnny's Carryout,3445 14th St NW,Washington,20010,DC,2026671761,Brizo
506,Jackey Cafe,611 H St NW,Washington,20001,DC,2024081288,Brizo
508,Lilac House,2480 Black Rock Tpke,Fairfield,6825,CT,2033746868,Brizo
510,Tommy's Wok,Mission St,Carmel-by-the-Sea,93921,CA,8316248518,Brizo
512,Super Hot,15317 Amberly Dr,Tampa,33647,FL,8132527896,Brizo
514,South Beach Lean Sushi Bar and Lounge,1435 Alton Rd,Miami Beach,33139,FL,7869095326,Brizo
516,Kowloon Restaurant,1331 US-65,Lake Village,71653,AR,8702653511,Brizo
518,Chinese Express,642 Northridge Shopping Ctr,Salinas,93906,CA,8314431989,Brizo
520,Saltalk Neighbor Kitchens,3334 Victor Ct,Santa Clara,95054,CA,4086852000,Brizo
522,Sichuan Tasty Restaurant,1829 Clement St,San Francisco,94121,CA,4157026096,Brizo
524,Jade Palace Restaurant,36601 Newark Blvd,Newark,94560,CA,5107925456,Brizo
526,The Frying Pan,158 N 1st St,Dixon,95620,CA,7076784228,Brizo
528,Sushi Eyaki,5040 Wilshire Blvd,Los Angeles,90036,CA,3239302636,Brizo
530,Gumbo's Cajun Cuisine,6946 Blacksmith Way,Lake Worth Beach,33467,FL,2672420807,Brizo
532,Fontana Sushi,701 E 6th Ave,Denver,80203,CO,3038612555,Brizo
534,East Sea,1100 S College St,Auburn,36832,AL,3343295500,Brizo
536,Cheng's Chinese Restaurant,4050 Wedgewood Ln,The Villages,32162,FL,3523919678,Brizo
538,Golden Horse Restaurant,1060 Hyde St,San Francisco,94109,CA,4154418889,Brizo
540,C & M Bistro,388 9th St,Oakland,94607,CA,5103383776,Brizo
542,Momi Ramen,5 SW 11th St,Miami,33130,FL,7863912392,Brizo
544,Katsu Ramen,1930 S Havana St,Aurora,80014,CO,3037512222,Brizo
546,Orange Teriyaki,6583 Atlantic Ave,Long Beach,90805,CA,5629800115,Brizo
548,G Sushi,8951 Knott Ave,Buena Park,90620,CA,7144849111,Brizo
550,Flavors of India,9272 Miramar Rd,San Diego,92126,CA,8585270045,Brizo
552,Fuji Japanese Restaurant,1883 E Main St,Torrington,6790,CT,8604829308,Brizo
554,Happy Garden,605 Main St,Chester,96020,CA,5302582395,Brizo
556,Fortune Star,8502 N Armenia Ave,Tampa,33604,FL,8139306331,Brizo
558,Haru Ramen,5975 N Academy Blvd,Colorado Springs,80918,CO,7195938249,Brizo
560,Taste of Original,4940 Freeport Blvd,Sacramento,95822,CA,9169429032,Brizo
562,Corner Cafe,3614 5th Ave,San Diego,92103,CA,6195429942,Brizo
564,Panda House,2700 Post St,Jacksonville,32205,FL,9043885203,Brizo
566,Hong Kong Tokyo,411 Barnum Ave Cutoff,Stratford,6614,CT,2033789211,Brizo
568,Kampo Garden Chinese Food,117 Greenbank Rd,Wilmington,19808,DE,3026334565,Brizo
570,TORISHO,730 Long Beach Blvd,Long Beach,90813,CA,5623361389,Brizo
572,Sisi's Hong Kong Cafe,17850 Hesperian Blvd,San Lorenzo,94580,CA,5102782568,Brizo
574,Hi Poke,1135 Missouri Ave N,Largo,33770,FL,7272186791,Brizo
576,Tappi Sushi & Grill,3709 Avocado Blvd,La Mesa,91941,CA,6196705422,Brizo
578,Tsing Tao Restaurant,12372 San Pablo Ave,Richmond,94805,CA,5102151283,Brizo
580,Spicy Way,42 Dixon Rd,Milpitas,95035,CA,4089569051,Brizo
582,Tofu King,5394 Walnut Ave,Irvine,92604,CA,9496540486,Brizo
584,Paik's Noodle,1520 Kiely Blvd,Santa Clara,95051,CA,4082440410,Brizo
586,Banzai Japanese Steakhouse,27533 Jefferson Ave,Temecula,92590,CA,9516931927,Brizo
588,Sushi Bay,9837 SW 184th St,Palmetto Bay,33157,FL,3059645823,Brizo
590,Zen Garden,127 Main St,Hebron,6248,CT,8602289600,Brizo
592,Moon Star Chinese Restaurant,20 Main St,Windsor Locks,6096,CT,8606276448,Brizo
594,HK Garden,1145 Pitt School Rd,Dixon,95620,CA,7076783638,Brizo
596,Chop Teriyaki,8137 Sierra Ave,Fontana,92335,CA,9093208350,Brizo
598,China House,344 Franklin Ave,Hartford,6114,CT,8602961393,Brizo
600,Mika Sushi,691 S Main St,Orange,92868,CA,7148355240,Brizo
602,Blue Fish Japanese Restaurant,2261 Honolulu Ave,Montrose,91020,CA,8182489700,Brizo
604,Ra-Ra-Ramen (9619 N Hayden Rd #106),9619 N Hayden Rd,Scottsdale,85258,AZ,4803996811,Brizo
606,Les Sisters #2,20450 Nordhoff St,Los Angeles,91311,CA,8188129732,Brizo
608,Golden Garden,17253 Main St,Hesperia,92345,CA,7609481668,Brizo
610,Hong Kong Fast Food,900 Market St,Oakland,94607,CA,5108323477,Brizo
612,Teriyaki House Grill,15544 La Mirada Blvd,La Mirada,90638,CA,7147358878,Brizo
614,8 Immortals Restaurant,1433 Taraval St,San Francisco,94116,CA,4157315515,Brizo
