flow,types,mql,sql,cw,list_source,Lead ID,Lead Source,Lead Category,Lead Channel,Created By,Lead Owner,Mobile - Primary,Business Phone,First Name,Last Name,Company / Account,Menu Type,State/Province (text only),Country (text only),Latest Re-engaged Date,Latest Campaign,Created Date,WeChat External Id,Lead Status,Lead Stage,Unqualified Reason,Rejected Reason,Opportunity: Created Date,Opportunity ID,Opportunity: Account,Stage,Oppt Close Date,Restaurant ID,Contact ID,Account ID,Campaign Name
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004t8CL,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,2155681888,NA,Fuwa Teriyaki Grill,Fuwa Teriyaki Grill,Japanese,PA,United States,1/22/2024,Mkt_DM_Snowflake_2024JanV1,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004sxQd,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,5163084405,NA,Aja Sushi Asian Fusion,Aja Sushi Asian Fusion,Chinese; Japanese,NY,United States,1/22/2024,Mkt_DM_Snowflake_2024JanV1,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004t3RC,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,2132780198,NA,Taberu,Taberu,Japanese,CA,United States,1/22/2024,Mkt_DM_Snowflake_2024JanV1,1/22/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004szyj,Marketing Inbound,NA,DM,Carlito Academia,Unqualified Lead Queue,NA,6182744430,NA,Chop Suey King,Chop Suey King,Chinese,IL,United States,1/22/2024,Mkt_DM_Snowflake_2024JanV1,1/22/2024,NA,SDR Complete,Unqualified,Current Client,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,TRUE,TRUE,FALSE,Brizo_US,00QUo000004iMc1,Marketing Inbound,Inbound,DM,JotForm Integration User,Ailin Li,6463229385,2157450229,NA,江,New China,Chinese,PA,United States,1/19/2024,Mkt_DM_Snowflake_2024JanV1,1/19/2024,NA,Converted,NA,NA,NA,1/19/2024,006Uo000006XskX,New China,Proposal/Negotiation,1/23/2024,NA,003Uo000003EHSH,001Uo000003JqKX,Mkt_DM_Snowflake_2024JanV1
webflow,jotform,TRUE,TRUE,TRUE,Brizo_US,00QUo000004a5Og,Marketing Inbound,Inbound,DM; WeChat - Ads,JotForm Integration User,Sharon Du,4145344916,2626819888,NA,林,MAIN MOON,Chinese,WI,United States,1/17/2024,Mkt_DM_Snowflake_2024JanV1,1/17/2024,NA,Converted,Unqualified,Duplicate,NA,1/17/2024,006Uo000006MzuI,MAIN MOON R86857,Onboarded,1/24/2024,R86857,0038b00003CvgYa,0018b00002XJzpD,Mkt_DM_Snowflake_2024JanV1
inbound call,inbound call,FALSE,FALSE,FALSE,CAN,00QUo000004WAuq,Marketing Inbound,NA,DM,Kelvin Teh,Marketing Nurture Queue,NA,3063724890,NA,男老板,Golden Dragon,Chinese,SK,Canada,1/17/2024,Mkt_DM_Snowflake_2024JanCanada,1/15/2024,NA,SDR Complete,Rejected,NA,No Interest to talk to sales,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Oldlist_CAN,00QUo000004VMrc,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6045990238,NA,Ming Shing Restaurant,Ming Shing Restaurant,Chinese,BC,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV5,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,TRUE,FALSE,FALSE,Oldlist_CAN,00QUo000004VJCB,Marketing Inbound,Outbound,DM,Carlito Academia,Leon Li,9059401088,9059401088,NA,陈老板,Kaiser's Wok,Chinese,ON,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV5,1/15/2024,NA,AE Assigned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VS0v,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,9052576882,NA,Spoon & Fork,Spoon & Fork,Japanese,ON,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VJH2,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6045826911,NA,King Do Seafood Restaurant,King Do Seafood Restaurant,Chinese,BC,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VJNS,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,7059882833,NA,Panda Cuisine Place,Panda Cuisine Place,Chinese,ON,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VMrb,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,4032728090,NA,Far East Foods,Far East Foods,Chinese,AB,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VOWp,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,7807616699,NA,Joyfulness Xi Le Bu Gei Zhan,Joyfulness Xi Le Bu Gei Zhan,Chinese,AB,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Working,Wrong People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VI4p,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6044985066,NA,Kel-Fen's Kitchen Chinese Restaurant,Kel-Fen's Kitchen Chinese Restaurant,Chinese,BC,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VLUA,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,3067524883,NA,New Regal Restaurant,New Regal Restaurant,Chinese,SK,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VJaM,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,9053058258,NA,Yong He Yong He All Day Breakfast,Yong He Yong He All Day Breakfast,Chinese,ON,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_CAN,00QUo000004VEcJ,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,3069318898,NA,Go For Sushi Buffet,Go For Sushi Buffet,Chinese; Japanese; Thai,SK,Canada,1/15/2024,Mkt_DM_Snowflake_2024JanV4,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Print_Shop_US,00QUo000004VQGr,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,5013994511,NA,Unknown,WALK ONS SPORTS BISTREAUX - CONWAY,Cajun,AR,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV3,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004VDt7,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,3236828089,NA,Mama Musubi,Mama Musubi,Japanese,CA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004VA8s,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,6619657111,NA,Big Flame Hibachi,Big Flame Hibachi,Japanese,CA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V9BD,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,8044648226,NA,Goatocado,Goatocado,Japanese,VA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V91X,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,4017800536,NA,Pho Saigon and Bar,Pho Saigon and Bar,Chinese,RI,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004VA8r,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,5037826072,NA,Hamono Sushi,Hamono Sushi,Japanese,OR,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V9W9,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,5717526480,NA,Capital Musubi,Capital Musubi,Japanese,VA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V13y,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,4254560010,NA,Seastar Restaurant & Raw Bar,Seastar Restaurant & Raw Bar,Japanese,WA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V3Qj,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,8599135611,NA,Proud Mary BBQ,Proud Mary BBQ,Cajun,KY,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V09X,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,3148522803,NA,Shay's Creole Smokehouse,Shay's Creole Smokehouse,Cajun,MO,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo000004V1qL,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,3082302114,NA,Ondori Ramen,Ondori Ramen,Japanese,NE,United States,1/15/2024,Mkt_DM_Snowflake_2024JanV1,1/15/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,FALSE,FALSE,FALSE,Brizo_US,00QUo000004TzAf,Marketing Inbound,NA,DM,JotForm Integration User,Unqualified Lead Queue,9172152020,2515759888,NA,Xueyueweng,Unknown,Chinese,AL,United States,1/14/2024,Mkt_DM_Snowflake_2024JanV1,1/14/2024,NA,SDR Complete,Unqualified,Not a Restaurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Old_List_US,00QUo000004OvxJ,Marketing Inbound,Inbound,DM,Yannie Yap,Marketing Nurture Queue,9542785896,NA,NA,男老板,男老板,Cajun,NA,United States,1/15/2024,Mkt_DM_Snowflake_2024JanUS,1/12/2024,NA,SDR Assigned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,TRUE,FALSE,FALSE,Brizo_US,00QUo000004KZaP,Marketing Inbound,Inbound,DM,Yannie Yap,Marketing Nurture Queue,5038511804,NA,NA,Mr.Dey,Mr.Dey,Chinese,OR,United States,1/17/2024,Mkt_DM_Snowflake_2024JanUS,1/11/2024,NA,AE Assigned,Rejected,NA,Cannot contact lead,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,TRUE,FALSE,FALSE,Brizo_US,00QUo000004JbET,Marketing Inbound,Inbound,DM,Goh EeLin,Marketing Nurture Queue,4153702864,5105254800,NA,ESTHER,Elevation 66 Brewing Company,Subway,CA,United States,1/11/2024,Mkt_DM_Snowflake_2024JanUS,1/11/2024,NA,AE Assigned,Rejected,NA,No Interest to talk to sales,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,TRUE,FALSE,FALSE,Brizo_US,00QUo000004FUI3,Marketing Inbound,NA,DM,JotForm Integration User,Marketing Nurture Queue,7576526161,NA,NA,吴,Prince Noodle,Other,VA,United States,1/10/2024,Mkt_DM_Snowflake_2024JanV1,1/10/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,FALSE,FALSE,FALSE,Brizo_US,00QUo000004BtAA,Marketing Inbound,NA,DM,JotForm Integration User,Marketing Nurture Queue,4158606082,NA,NA,Vicky zhou,Unknown,Chinese,NA,United States,1/9/2024,Mkt_DM_Snowflake_2024JanV1,1/9/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,jotform,TRUE,FALSE,FALSE,Brizo_CAN,00QUo0000049LKg,Marketing Inbound,NA,DM,JotForm Integration User,Marketing Nurture Queue,2503212115,2502332188,NA,Cheng Lei,Unknown,Chinese,BC,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Print_Shop_US,00QUo0000048kRc,Marketing Inbound,NA,DM,Carlito Academia,Unqualified Lead Queue,NA,5169189535,NA,Mizu,Mizu,Japanese,MS,United States,1/10/2024,Mkt_DM_Snowflake_2024JanUS,1/8/2024,NA,SDR Complete,Unqualified,Not a Restaurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Print_Shop_US,00QUo0000048nnf,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,8636831243,NA,FISH CITY GRILL,FISH CITY GRILL,Cajun,FL,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV3,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_US,00QUo0000048teY,Marketing Inbound,NA,DM,Lornick Quinones,Marketing Nurture Queue,NA,5017604799,NA,Unknown,Alexa's Creperie,Chinese,AR,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV1,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Print_Shop_US,00QUo0000048my4,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,8642032827,NA,THE LOST CAJUN,THE LOST CAJUN,Cajun,SC,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV3,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Print_Shop_US,00QUo0000048uqj,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,8328561111,NA,CRAFTY CRAB,CRAFTY CRAB,Cajun,TX,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV3,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048qTo,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,2503918599,NA,Kurry King Authentic Indian Feast,Kurry King Authentic Indian Feast,Chinese,BC,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048txt,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,2505459929,NA,The Rice Box,The Rice Box,Chinese,BC,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_US,00QUo0000048tTF,Marketing Inbound,NA,DM,Lornick Quinones,Unqualified Lead Queue,NA,7865241080,NA,Unknown,Dr. Limon Ceviche Bar,Japanese,FL,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV1,1/8/2024,NA,SDR Complete,Unqualified,Not a Restaurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048t1p,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,4164122929,NA,Mughal Darbar,Mughal Darbar,Chinese,ON,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048gz8,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,5068551700,NA,Blackpanda Express,Blackpanda Express,Chinese,NB,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo0000048jgp,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,2125771153,NA,Kamasu,Kamasu,Japanese,NY,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV1,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048nMG,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,2042571650,NA,Miriwa Restaurant,Miriwa Restaurant,Chinese,MB,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
webflow,qr scan,FALSE,FALSE,FALSE,Brizo_US,00QUo0000048qVO,Marketing Inbound,NA,DM,Carlito Academia,Marketing Nurture Queue,NA,5859486070,NA,Straight out the Boot,Straight out the Boot,Cajun,NY,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV1,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048sAb,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,6049394004,NA,Sun Star Restaurant,Sun Star Restaurant,Chinese,BC,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Rejected,NA,No Interest to talk to sales,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_US,00QUo0000048rsr,Marketing Inbound,NA,DM,Lornick Quinones,Marketing Nurture Queue,NA,8644020456,NA,Unknown,Baby Sumo,Japanese,SC,United States,1/8/2024,Mkt_DM_Snowflake_2024JanV1,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048rfx,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,9054533313,NA,Biryanis and More,Biryanis and More,Chinese,ON,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048rRR,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,7096346666,NA,Newfound Sushi,Newfound Sushi,Japanese,NL,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inbound call,inbound call,FALSE,FALSE,FALSE,Brizo_CAN,00QUo0000048rEX,Marketing Inbound,NA,DM,Janice Requina,Marketing Nurture Queue,NA,7809398889,NA,Golden Palace,Golden Palace,Chinese,AB,Canada,1/8/2024,Mkt_DM_Snowflake_2024JanV4,1/8/2024,NA,SDR Complete,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
