snowball_map,Date,Page location,Sessions,Restaurant Name,Address,City,State,Country,Zipcode,Cuisine Type,Phone,list_source
16159,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=16159,1,Wok's Deli,11575 Rosecrans Ave,Norwalk,CA,United States,90650,Chinese,5625844135,Brizo_US
16502,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=16502,1,Big Fish House,2109 Clement St,San Francisco,CA,United States,94121,Japanese,4159339388,Brizo_US
16505,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=16505,1,Artisan Express,3995 NW 25th St,Miami,FL,United States,33142,Japanese; Chinese,7865872625,Brizo_US
01703,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=1703,1,Sekushi,100 Indian Rocks Rd N,Belleair Bluffs,FL,United States,33770,Japanese,7276484653,Brizo_US
17162,2024-01-07,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17162,1,Grandma's Dumpling,431 Front St,Santa Cruz,CA,United States,95060,Chinese,8314548140,Brizo_US
17326,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17326,1,Uniboil,132 E St,Davis,CA,United States,95616,Chinese,5307586188,Brizo_US
17574,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17574,1,Mono Mono 2,9719 W Coal Mine Ave,Littleton,CO,United States,80123,Chinese,,Brizo_US
17667,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17667,2,Thai Nigiri,209 N 1st Ave,Sandpoint,ID,United States,83864,Japanese,2082652587,Brizo_US
17760,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=17760,2,Sakura Sushi & Grill,3505 Stockton Hill Rd,Kingman,AZ,United States,86409,Japanese,9286818298,Brizo_US
01785,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=1785,1,Chinatown Express,2450 Saviers Rd,Oxnard,CA,United States,93033,Chinese,8052401633,Brizo_US
18533,2024-01-16,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=18533,1,Taberu,806 E 3rd St,Los Angeles,CA,United States,90013,Japanese,2132780198,Brizo_US
18816,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=18816,1,Sugoi Sushi,890 Oak Valley Pkwy,Beaumont,CA,United States,92223,Japanese,9518451711,Brizo_US
19142,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=19142,1,Uroko Cafe,5895 Katella Ave,Cypress,CA,United States,90630,Japanese,6574651300,Brizo_US
19805,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=19805,2,City Buffet,2102 Caldwell Blvd,Nampa,ID,United States,83651,Chinese,2084669099,Brizo_US
19873,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=19873,1,Sea Empress Seafood Restaurant,1636 W Redondo Beach Blvd,Gardena,CA,United States,90247,Chinese,3105386868,Brizo_US
20667,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=20667,1,Young King,3100 W Olympic Blvd,Los Angeles,CA,United States,90006,Chinese,2134876154,Brizo_US
21173,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21173,2,Tabu Shabu Restaurant,333 E 17th St,Costa Mesa,CA,United States,92627,Japanese,9496422660,Brizo_US
21216,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21216,1,Sushi Enya,124 E Colorado Blvd,Pasadena,CA,United States,91105,Japanese,6269953014,Brizo_US
21449,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21449,1,Happy Bee Kitchen,17901 Pioneer Blvd,Artesia,CA,United States,90701,Chinese,5624028816,Brizo_US
21456,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21456,1,Kotsu Ramen & Gyoza,9346 Corbin Ave,Northridge,CA,United States,91324,Japanese,7472065190,Brizo_US
21515,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21515,1,juicy seafood,580 W Bypass,Andalusia,AL,United States,36420,Japanese; Chinese; Thai,3342305902,Brizo_US
02171,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=2171,1,Szechuan Bistro,1101 W Huntington Dr,Arcadia,CA,United States,91007,Chinese,6263077716,Brizo_US
21720,2024-01-07,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=21720,1,CHINA III,1386 US-22,Lebanon,NJ,United States,8833,Chinese,9084371388,Brizo_US
00222,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=222,1,Inari Sushi Fusion,15672 SW 72nd St,Miami,FL,United States,33193,Japanese,7863912099,Brizo_US
23752,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=23752,1,Ondori Ramen,114 S Chestnut St,Kimball,NE,United States,69145,Japanese,3082302114,Brizo_US
02417,2024-01-11,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=2417,1,Rising Sun,100 W Illinois Hwy,New Lenox,IL,United States,60451,Chinese,8154626688,Brizo_US
24498,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=24498,1,Fire Wok,442 Fayetteville St,Raleigh,NC,United States,27601,Chinese,9198218089,Brizo_US
24909,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=24909,1,Asahi Sushi,506 Livingston St,Norwood,NJ,United States,7648,Japanese,2017847405,Brizo_US
24989,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=24989,1,HIbachi Grill & Sushi Buffet,5837 W Saginaw Hwy,Lansing,MI,United States,48917,Chinese,5178869999,Brizo_US
25697,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=25697,1,Hibachi Express,203 Eastside Dr,Newton,MS,United States,39345,Japanese,6016830099,Brizo_US
00257,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=257,1,Hooked on Poke,2653 Gateway Rd,Carlsbad,CA,United States,92009,Japanese,7605852226,Brizo_US
25821,2024-01-21,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=25821,1,Buddakan,75 9th Ave,New York,NY,United States,10011,Japanese; Chinese,2129892245,Brizo_US
26390,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=26390,1,Kaya Restaurant,3925 Sedgebrook St,High Point,NC,United States,27265,Korean; Japanese,3368410669,Brizo_US
26491,2024-01-14,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=26491,1,Shay's Creole Smokehouse,912 S Main St,St Charles,MO,United States,63301,Cajun,3148522803,Brizo_US
27334,2024-01-28,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=27334,1,China Palace,910 S Main St,Ottawa,KS,United States,66067,Chinese,7852426818,Brizo_US
27580,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=27580,1,Saku,936 Park Ave,Hoboken,NJ,United States,7030,Japanese,2019423956,Brizo_US
27884,2024-01-17,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=27884,1,A Taste of Louisiana,5955 N 27th St,Lincoln,NE,United States,68521,American; Cajun,3372523163,Brizo_US
00292,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=292,1,Nori Japan,14500 W Colfax Ave,Lakewood,CO,United States,80401,Japanese,9564968988,Brizo_US
29227,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=29227,1,Sushi House,972 Teaneck Rd,Teaneck,NJ,United States,7666,Japanese,2015307866,Brizo_US
02963,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=2963,1,Miyabi Jr,4351 Washington Rd,Evans,GA,United States,30809,Japanese,7064326227,Brizo_US
30042,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=30042,1,Great Wall,227 NC-111,Goldsboro,NC,United States,27534,Chinese,9197518600,Brizo_US
31010,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31010,1,West Lake Gourmet Chinese Restaurant,15 College Hwy,Southampton,MA,United States,1073,Chinese,4135275207,Brizo_US
03135,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=3135,1,Bhojan Griha,2367 San Diego Ave,San Diego,CA,United States,92110,Indian; Chinese,6192945770,Brizo_US
31452,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31452,1,Chicken's Kitchen,629 Derbigny St,Gretna,LA,United States,70053,American; Creole; Cajun,5042442536,Brizo_US
31459,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31459,1,Tamashi,6400 Holly Ave NE,Albuquerque,NM,United States,87113,Japanese,5057172457,Brizo_US
31631,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31631,1,Blackbirds' Grille,553 Old Montauk Hwy,Sayville,NY,United States,11782,Creole; Cajun,6315634144,Brizo_US
31740,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31740,1,Bacchus On The Beach,111 W Scenic Dr,Pass Christian,MS,United States,39571,Creole; Cajun; Italian,2282224852,Brizo_US
31819,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=31819,2,Mayfel's,22 College St,Asheville,NC,United States,28801,Cajun,8282528840,Brizo_US
32049,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=32049,1,China Star,6109 Rock Quarry Rd,Raleigh,NC,United States,27610,Chinese,9199774678,Brizo_US
03273,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=3273,1,Sushi Kyu,389 M St,Crescent City,CA,United States,95531,Japanese,7074658932,Brizo_US
32986,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=32986,1,Nai Restaurant,302 Main St,Buffalo,NY,United States,14202,Japanese,7168560508,Brizo_US
33752,2024-01-17,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=33752,1,Aja Sushi Asian Fusion,2464 Jerusalem Ave,Bellmore,NY,United States,11710,Japanese; Chinese,5163084405,Brizo_US
33770,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=33770,1,Great Wall Chinese Restaurant,7008 Pines Rd,Shreveport,LA,United States,71129,Chinese,3186866602,Brizo_US
35663,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=35663,1,Straight out the Boot,7062 Lewiston Rd,Oakfield,NY,United States,14125,American; Creole; Cajun,5859486070,Brizo_US
35691,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=35691,1,Teriyaki Boy,9055 S Eastern Ave,Las Vegas,NV,United States,89123,Japanese,7022601148,Brizo_US
35825,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=35825,1,Buba Noodle Bar,36 Lowell St,Manchester,NH,United States,3101,Japanese,6039357864,Brizo_US
36783,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=36783,1,Kamasu,20 Hudson Yards,New York,NY,United States,10001,Japanese,2125771153,Brizo_US
36837,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=36837,1,Shikora Express,2133 Rockford St,Mt Airy,NC,United States,27030,Japanese,3367895522,Brizo_US
36983,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=36983,1,China Garden,704 W Corbett Ave,Swansboro,NC,United States,28584,Chinese,9103268080,Brizo_US
03721,2024-01-07,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=3721,1,China Star,5728 N Orange Blossom Trl,Orlando,FL,United States,32810,Chinese,4072530388,Brizo_US
37834,2024-01-12,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=37834,1,China Noodles,203 N McCarran Blvd,Sparks,NV,United States,89431,Chinese,7753588866,Brizo_US
37899,2024-01-10,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=37899,1,Sushi Katsuei,210 7th Ave,Brooklyn,NY,United States,11215,Japanese,7187885338,Brizo_US
38795,2024-01-11,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=38795,1,osaka sushi steakhouse,1903 Park Ave,Muscatine,IA,United States,52761,Japanese,5632638286,Brizo_US
38992,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=38992,1,Proud Mary BBQ,9079 Old Richmond Rd,Lexington,KY,United States,40515,American; Creole; Cajun,8599135611,Brizo_US
39462,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=39462,1,Fins & Grill Llc,2631 McIngvale Rd,Hernando,MS,United States,38632,Japanese,6624292774,Brizo_US
39603,2024-01-11,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=39603,1,National's Cafe,444 E William St,Carson City,NV,United States,89701,Japanese,7758417377,Brizo_US
04046,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=4046,2,Charlie Hong Kong,1141 Soquel Ave,Santa Cruz,CA,United States,95062,Chinese; Thai,8314265664,Brizo_US
40891,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=40891,1,China Buffet,2327 E Andrew Johnson Hwy,Greeneville,TN,United States,37745,Chinese,4236368838,Brizo_US
04099,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=4099,1,Sushi a La Carte,555 Arthur Godfrey Rd,Miami Beach,FL,United States,33140,Japanese,7864066244,Brizo_US
40999,2024-01-10,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=40999,1,Hibachi Grill,3642 Savannah Hwy,Johns Island,SC,United States,29455,Japanese,8435564822,Brizo_US
41012,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41012,1,Demae Japanese Restaurant,82 W Center St,Provo,UT,United States,84601,Japanese,8013740306,Brizo_US
41336,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41336,1,Little Panda,1035 N Judge Ely Blvd,Abilene,TX,United States,79601,Chinese,3256709393,Brizo_US
41680,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41680,1,Miah's Kitchen,2022 148th Ave NE,Redmond,WA,United States,98052,Chinese,4256446090,Brizo_US
41716,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41716,1,Golden Dim Sum,9968 Bellaire Blvd,Houston,TX,United States,77036,Chinese,2814958818,Brizo_US
41817,2024-01-04,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41817,1,Akhi Sushi - Southern Market 100 South Queen Street,100 S Queen St,Lancaster,PA,United States,17603,Japanese,7173418178,Brizo_US
41859,2024-01-05,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41859,1,MoMo's Sushi & More,215 Trade St,Greer,SC,United States,29651,Japanese,8642019743,Brizo_US
41869,2024-01-07,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=41869,1,Krispy Rice,3301 Street Rd,Bensalem,PA,United States,19020,Japanese,,Brizo_US
42261,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42261,1,Happy Teriyaki & Wok,3101 Olympic Hwy N,Shelton,WA,United States,98584,Japanese,3604321000,Brizo_US
42465,2024-01-15,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42465,2,Fuwa Teriyaki Grill,1625 Chestnut St,Philadelphia,PA,United States,19103,Japanese,2155681888,Brizo_US
42666,2024-01-10,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42666,1,Sushi Mazi,2126 SE Division St,Portland,OR,United States,97202,Japanese,5034328651,Brizo_US
42876,2024-01-17,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42876,1,Young Cafe,667 156th Ave SE,Bellevue,WA,United States,98007,Chinese; Taiwanese,4255909058,Brizo_US
42949,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=42949,1,Seastar Restaurant & Raw Bar,205 108th Ave NE,Bellevue,WA,United States,98004,American; Japanese,4254560010,Brizo_US
43865,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=43865,1,New King Mao,210 Needmore Rd,Clarksville,TN,United States,37040,Chinese,9316488881,Brizo_US
44153,2024-01-18,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=44153,1,New China,5815 Rising Sun Ave,Philadelphia,PA,United States,19120,Chinese,2157450229,Brizo_US
45242,2024-01-13,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=45242,1,Tin Tin Chinese,487 Johnson St,Wilkes-Barre,PA,United States,18702,Chinese,5708232882,Brizo_US
45304,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=45304,1,Shiny Wok,3526 Lakeview Pkwy,Rowlett,TX,United States,75088,Chinese,4692980382,Brizo_US
45376,2024-01-02,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=45376,1,Golden Chopsticks,329 N York St,Wheeling,WV,United States,26003,Chinese,3042322888,Brizo_US
45852,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=45852,1,Dragon of Riverside,181 Willett Ave,Riverside,RI,United States,2915,Japanese; Chinese,4016428624,Brizo_US
46813,2024-01-09,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=46813,1,Ma's Chinese & American Cuisine,212 E Pine St,Central Point,OR,United States,97502,Chinese,5416647700,Brizo_US
04708,2024-01-01,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=4708,1,Motomaki,14650 W Colfax Ave,Lakewood,CO,United States,80401,Japanese,7202629400,Brizo_US
47260,2024-01-08,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47260,1,Xi'an Noodles,5259 University Way NE,Seattle,WA,United States,98105,Chinese,2065228888,Brizo_US
47441,2024-01-03,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47441,2,Tanpopo Ramen,605 Newmarket Dr N,Newport News,VA,United States,23605,Japanese,7578266200,Brizo_US
47603,2024-01-07,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47603,1,Nori Japan,388 Southpark Cir,Colonial Heights,VA,United States,23834,Japanese,8045201393,Brizo_US
47664,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47664,1,Golden China,4854 Longhill Rd,Williamsburg,VA,United States,23188,Chinese,7572298888,Brizo_US
47953,2024-01-10,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=47953,1,Prince Noodle,4520 Princess Anne Rd,Virginia Beach,VA,United States,23462,Chinese,7573302300,Brizo_US
48103,2024-01-30,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=48103,1,Kura Sushi,8230 SE Harrison St,Portland,OR,United States,97216,Japanese,9712717193,Brizo_US
48319,2024-01-06,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=48319,1,Fuji Sushi & Hibachi,2801 W 41st St,Sioux Falls,SD,United States,57105,Japanese,6052751388,Brizo_US
