Snowball Map,State Group,datediff_queue_entered_date,datediff_rejected_date,datediff_created_date,Queue Enter Date,Rejected Time,Dead Date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Created By,Unqualified Reason,Lead Stage
61404,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,TOP OF CHINA,TOP OF CHINA,18728 NORTH POINTE DR,21742,MD,,(301) 733-8808,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61405,Group B,107,106,584,2024-02-20,2024-02-20T18:48:00Z,,2022-10-31T04:00:00Z,CHINA BUFFET,CHINA BUFFET,714 W CAMERON AVE,76567,TX,,(512) 446-7888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61406,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,ASIAN TASTE,ASIAN TASTE,577 JOHNSVILLE RD STE 2,21784,MD,,(410) 552-3980,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61407,Group B,174,173,584,2023-12-15,2023-12-15T20:41:00Z,,2022-10-31T04:00:00Z,CHINA CAFE,CHINA CAFE,905 LINDA DR,75638,TX,,(903) 645-4142,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61408,Group B,161,160,584,2023-12-28,2023-12-28T19:34:00Z,,2022-10-31T04:00:00Z,GRACES MANDARIN  LLC,GRACES MANDARIN  LLC,188 WATERFRONT ST,20745,MD,,(301) 839-3788,Marketing Nurture Queue,,SDR Complete,Contact info incorrect,Apps Associates,,Rejected
61409,Group B,122,121,584,2024-02-05,2024-02-05T16:11:00Z,,2022-10-31T04:00:00Z,TOP ONE,TOP ONE,731 E JERICHO TURNPIKE SPACE 9,11746,NY,,(631) 549-1323,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61410,Group B,107,106,584,2024-02-20,2024-02-20T19:19:00Z,,2022-10-31T04:00:00Z,CHINA CITY RESTAURANT,CHINA CITY RESTAURANT,1433 S BELTLINE RD,75149,TX,,(972) 288-8887,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61411,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,GOURMET ASIAN BISTRO,GOURMET ASIAN BISTRO,7224 MUNCASTER MILL RD,20855,MD,,(240) 683-8888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61412,Group B,154,153,584,2024-01-04,2024-01-04T20:22:00Z,,2022-10-31T04:00:00Z,WAH LUCK KITCHEN,WAH LUCK KITCHEN,930 HEMPSTEAD TURNPIKE,11010,NY,,(516) 328-8561,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61413,Group B,98,97,584,2024-02-29,2024-02-29T19:54:00Z,,2022-10-31T04:00:00Z,CHINA CITY RESTAURANT,CHINA CITY RESTAURANT,6022 BROADWAY BLVD,75043,TX,,(972) 303-0373,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61414,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,YAMA SUSHI BAR,YAMA SUSHI BAR,6714 RITCHIE HWY STE A1,21061,MD,,(410) 760-5938,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61415,Group B,231,230,584,2023-10-19,2023-10-20T01:11:00Z,,2022-10-31T04:00:00Z,CHINA COAST,CHINA COAST,1008 TEXAS BLVD N,78596,TX,,(956) 973-0780,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61416,Group B,182,181,584,2023-12-07,2023-12-07T17:11:00Z,,2022-10-31T04:00:00Z,CHINA DELIGHT RESTAURANT,CHINA DELIGHT RESTAURANT,1108 N LOOP 336 W,77301,TX,,(936) 756-8686,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61417,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,SAKURA JAPAN RESTURANT,SAKURA JAPAN RESTURANT,811 S SALISBURY BLVD,21801,MD,,(410) 219-5988,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61418,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,MAINLAND II INC,MAINLAND II INC,7073 MARTIN LUTHER KNG JR,20785,MD,,(301) 772-0408,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61419,Group B,112,111,584,2024-02-15,2024-02-15T21:15:00Z,,2022-10-31T04:00:00Z,CHINA FLAG,CHINA FLAG,1453 N SAGINAW BLVD #135,76179,TX,,(817) 847-5888,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61420,Group B,98,97,584,2024-02-29,2024-02-29T17:38:00Z,,2022-10-31T04:00:00Z,WIN HING,WIN HING,5507 NESCONSET HWY #9,11766,NY,,(631) 331-0333,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61421,Group B,107,106,584,2024-02-20,2024-02-20T19:50:00Z,,2022-10-31T04:00:00Z,CHINA GARDEN RESTAURANT,CHINA GARDEN RESTAURANT,1602 LEELAND ST,77003,TX,,(713) 652-0745,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61422,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,SAKURA HIBACHI & SUSHI EX LLC,SAKURA HIBACHI & SUSHI EX LLC,10562 CAMPUS WAY S,20774,MD,,(240) 719-3595,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61423,Group B,147,146,584,2024-01-11,2024-01-12T03:06:00Z,,2022-10-31T04:00:00Z,CHINA HOUSE,CHINA HOUSE,8797 S GESSNER DR,77074,TX,,(713) 779-6848,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61424,Group B,135,134,584,2024-01-23,2024-01-23T18:25:00Z,,2022-10-31T04:00:00Z,BRIDGETON CHINA EXPRESS,BRIDGETON CHINA EXPRESS,12308 NATURAL BRIDGE RD,63044,MO,,(314) 291-4222,Marketing Nurture Queue,,SDR Complete,Is ICP but Interested in DE Only,Apps Associates,,Rejected
61425,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,SARKU JAPAN,SARKU JAPAN - Duplicate Do Not Call,11201 NEW HAMPSHIRE AVE,20904,MD,,(301) 592-0012,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61426,Group B,226,225,584,2023-10-24,2023-10-24T20:04:00Z,,2022-10-31T04:00:00Z,WING WAH,WING WAH,98-12 METROPOLITAN AVE,11375,NY,,(718) 261-5154,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61427,Group B,148,147,584,2024-01-10,2024-01-10T20:13:00Z,,2022-10-31T04:00:00Z,WING WAH,WING WAH,117-20 ROCKAWAY BLVD,11420,NY,,(718) 843-3137,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61428,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,ASIAN TASTE 1 CORPORATION,ASIAN TASTE 1 CORPORATION,11626 REISTERSTOWN RD,21136,MD,,(410) 833-7188,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61429,Group B,92,91,584,2024-03-06,2024-03-06T19:35:00Z,,2022-10-31T04:00:00Z,WOK TOV,KAPAO By Wok Tov,594 CENTRAL AVE,11516,NY,,(516) 295-3843,Marketing Nurture Queue,,SDR Complete,Not a decision maker,Apps Associates,,Rejected
61430,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,YUMMY HOUSE,YUMMY HOUSE,5706 RITCHIE HWY,21225,MD,,(410) 636-0660,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61431,Group B,218,217,584,2023-11-01,2023-11-01T15:59:00Z,,2022-10-31T04:00:00Z,WOK'S ??,WOK'S ??,100 RANO BLVD,13850,NY,,(607) 238-7955,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61432,Group B,237,236,584,2023-10-13,2023-10-13T15:39:00Z,,2022-10-31T04:00:00Z,CHINA HOUSE,CHINA HOUSE,10020 W FLORISSANT AVE,63136,MO,,(314) 388-9787,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61433,Group B,225,224,584,2023-10-25,2023-10-25T15:48:00Z,,2022-10-31T04:00:00Z,UMI SAKE,UMI SAKE,9726 YORK RD,21030,MD,,(410) 667-6585,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61434,Group B,140,139,584,2024-01-18,2024-01-18T23:43:00Z,,2022-10-31T04:00:00Z,CHINA KING,CHINA KING,1205 E 32 HWY,65560,MO,,(573) 729-8882,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61435,Group B,230,229,584,2023-10-20,2023-10-20T18:38:00Z,,2022-10-31T04:00:00Z,CHINA STAR,CHINA STAR,1009 E CENTRAL AVE,76442,TX,,(325) 356-9899,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61436,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,MIKU SUSHI INC,MIKU SUSHI INC,584 CRANBROOK RD,21030,MD,,(410) 667-6000,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61437,Group B,176,175,584,2023-12-13,2023-12-14T01:51:00Z,,2022-10-31T04:00:00Z,XING WANG,XING WANG,110 W MAIN ST # 1,14482,NY,,(585) 768-2521,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61438,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,INDOCHINE EXPRESS  INC,INDOCHINE EXPRESS  INC,15416 NEW HAMPSHIRE AVE,20905,MD,,(301) 384-1679,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61439,Group B,212,211,584,2023-11-07,2023-11-07T20:01:00Z,,2022-10-31T04:00:00Z,XING XING,XING XING,9712 ROCKAWAY BEACH BLVD,11693,NY,,(718) 474-8038,Marketing Nurture Queue,,SDR Complete,Not a decision maker,Apps Associates,,Rejected
61440,Group B,107,106,584,2024-02-20,2024-02-20T19:51:00Z,,2022-10-31T04:00:00Z,CHINA STAR CHINESE RESTAURANT,CHINA STAR CHINESE RESTAURANT,1647 BABCOCK RD,78229,TX,,(210) 342-2288,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61441,Group B,107,106,584,2024-02-20,2024-02-20T20:01:00Z,,2022-10-31T04:00:00Z,CHINA SUN RESTAURANT,CHINA SUN RESTAURANT,1500 W UNIVERSITY DR # A,75069,TX,,(972) 562-7041,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61442,Group B,101,100,584,2024-02-26,2024-02-26T19:21:00Z,,2022-10-31T04:00:00Z,YAN,YAN,97 E MAIN ST,11730,NY,,(631) 277-5666,Marketing Nurture Queue,,AE Assigned,No Interest to talk to sales,Apps Associates,,Rejected
61443,Group B,118,117,584,2024-02-09,2024-02-09T17:25:00Z,,2022-10-31T04:00:00Z,CHINA TOWN CHINESE RESTAURANT,CHINA TOWN CHINESE RESTAURANT,735 HILL COUNTRY DR,78028,TX,,(830) 896-6688,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61444,Group B,94,93,584,2024-03-04,2024-03-05T02:47:00Z,,2022-10-31T04:00:00Z,CHINA WOK,CHINA WOK,642 S COMMERCIAL ST,64701,MO,(816) 884-5888,(816) 884-5888,Marketing Nurture Queue,,AE Assigned,No Interest to talk to sales,Apps Associates,,Rejected
61445,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,SAWATDEE,SAWATDEE,21525 GREAT MILLS RD,20653,MD,,(240) 237-8358,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61446,Group B,182,181,584,2023-12-07,2023-12-07T23:15:00Z,,2022-10-31T04:00:00Z,CHINESE CHEF INN,CHINESE CHEF INN,108 CORTNEY LN # A,65633,MO,,(417) 723-0266,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61447,Group B,150,149,584,2024-01-08,2024-01-08T20:16:00Z,,2022-10-31T04:00:00Z,YUMMY,YUMMY,1195 FLATBUSH AVE,11226,NY,,(718) 826-0138,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61448,Group B,100,99,584,2024-02-27,2024-02-27T20:15:00Z,,2022-10-31T04:00:00Z,FERGUSON CHOP SUEY,FERGUSON CHOP SUEY,63 N FLORISSANT RD,63135,MO,,(314) 521-8300,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61449,Group B,153,152,584,2024-01-05,2024-01-05T18:24:00Z,,2022-10-31T04:00:00Z,GOLDEN CHINA BUFFET,GOLDEN CHINA BUFFET,1150 SPUR DR,65706,MO,,(417) 468-1646,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61450,Group B,209,208,584,2023-11-10,2023-11-10T20:16:00Z,,2022-10-31T04:00:00Z,ZHU'S KITCHEN,ZHU'S KITCHEN,971 E 167TH ST,10459,NY,,(718) 542-3921,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61451,Group B,167,166,584,2023-12-22,2023-12-22T17:40:00Z,,2022-10-31T04:00:00Z,GREAT RIVER,GREAT RIVER,1124 N DOUGLASS ST,63863,MO,,(573) 276-6106,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61452,Group B,178,177,584,2023-12-11,2023-12-11T23:52:00Z,,2022-10-31T04:00:00Z,CHINESE WOK,CHINESE WOK,1129 GRAND AVE,77518,TX,,(281) 339-3222,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61453,Group B,226,225,584,2023-10-24,2023-10-25T01:53:00Z,,2022-10-31T04:00:00Z,Sushi Palax,Sushi Palax,18016 MAUGANS AVE,21740,MD,,(301) 393-8885,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61454,Group B,108,107,584,2024-02-19,2024-02-19T19:45:00Z,,2022-10-31T04:00:00Z,CHINA STAR,CHINA STAR,84-36 164TH ST,11432,NY,,(718) 725-0995,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61455,Group B,201,200,584,2023-11-18,2023-11-18T23:10:00Z,,2022-10-31T04:00:00Z,D & B CHINESE DOUBLE,D & B CHINESE DOUBLE,74 WESTERVELT AVE,10301,NY,,(718) 442-7526,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61456,Group B,99,98,584,2024-02-28,2024-02-28T20:33:00Z,,2022-10-31T04:00:00Z,HUNAN KITCHEN,HUNAN KITCHEN,6162 HOWDERSHELL RD,63042,MO,,(314) 731-3209,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61457,Group B,174,173,584,2023-12-15,2023-12-15T22:03:00Z,,2022-10-31T04:00:00Z,HUNAN RESTAURANT,HUNAN RESTAURANT,1101 N JESSE JAMES RD,64024,MO,,(816) 630-5588,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61458,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,TOKYO SEAFOOD BUFFET HIBACHI,TOKYO SEAFOOD BUFFET HIBACHI,6901 SECURITY BLVD,21244,MD,,(410) 277-8822,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61459,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,EAST MOON SHIPLEYS  LLC,EAST MOON SHIPLEYS  LLC,5725 RICHARDS VALLEY RD,21043,MD,,(410) 313-8318,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61460,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,HOT POT CHINESE RESTAURANT INC,HOT POT CHINESE RESTAURANT INC,29255 THREE NOTCH RD,20659,MD,,(301) 884-8188,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61461,Group B,113,112,584,2024-02-14,2024-02-14T22:05:00Z,,2022-10-31T04:00:00Z,LUCKY CHINA,LUCKY CHINA,7114 MEXICO RD,63376,MO,,(636) 397-3888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61462,Group B,92,91,584,2024-03-06,2024-03-06T16:03:00Z,,2022-10-31T04:00:00Z,Asian Taste,Asian Taste,625 East Emory Road,37849,TN,(917) 858-9995,(865) 339-4141,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61463,Group B,133,132,584,2024-01-25,2024-01-25T17:12:00Z,,2022-10-31T04:00:00Z,NEW CHINA BUFFET,NEW CHINA BUFFET,12190 ST CHARLES ROCK RD,63044,MO,,(314) 344-0411,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61464,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,LAO MA SPICEY,LAO MA SPICEY,110 ODENDHAL AVE,20877,MD,,(240) 261-4882,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61465,Group B,154,153,584,2024-01-04,2024-01-04T19:18:00Z,,2022-10-31T04:00:00Z,ORIENTAL HUT,ORIENTAL HUT,924 N MAIN ST,65711,MO,,(417) 926-3100,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61466,Group B,230,229,584,2023-10-20,2023-10-20T19:31:00Z,,2022-10-31T04:00:00Z,Fulin's Asian Cuisine,Fulin's Asian Cuisine,1009 Crossings Blvd,37174,TN,,(931) 489-9188,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61467,Group B,156,155,584,2024-01-02,2024-01-02T20:13:00Z,,2022-10-31T04:00:00Z,PANDA CAFE,PANDA CAFE,927 NE WOODS CHAPEL RD,64064,MO,,(816) 524-5577,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61468,Group B,225,224,584,2023-10-25,2023-10-25T15:36:00Z,,2022-10-31T04:00:00Z,Teriyaki Madness,Teriyaki Madness,1006 Glenbrook Way Ste 110,37075,TN,,(615) 264-7090,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61469,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,BROADWAY CARRY-OUT CHINESE FOODS,BROADWAY CARRY-OUT CHINESE FOODS,946 N BROADWAY,21205,MD,,(410) 534-6346,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61470,Group B,239,238,584,2023-10-11,2023-10-11T16:46:00Z,,2022-10-31T04:00:00Z,Panda East,Panda East,103 N Pleasant St,1002,MA,,(413) 256-8923,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61471,Group B,226,225,584,2023-10-24,2023-10-24T21:12:00Z,,2022-10-31T04:00:00Z,GOLDEN BOWL,GOLDEN BOWL,832 LARGO CENTER DR,20774,MD,,(301) 499-2888,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61472,Group B,176,175,584,2023-12-13,2023-12-14T03:07:00Z,,2022-10-31T04:00:00Z,Ta Krai Thai Cuisine,Ta Krai Thai Cuisine,11 S College St,37398,TN,,(931) 327-2100,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61473,Group B,228,227,584,2023-10-22,2023-10-22T20:15:00Z,,2022-10-31T04:00:00Z,Hibachi Express,Hibachi Express,#100 3194 7401 E Brainerd Rd,37421,TN,,(423) 508-8033,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61474,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,GOOD LUCK CARRYOUT,GOOD LUCK CARRYOUT,6236 OXON HILL RD C,20745,MD,,(301) 839-1688,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61475,Group B,93,92,584,2024-03-05,2024-03-05T20:38:00Z,,2022-10-31T04:00:00Z,The Roots Vietnamese Restaurant,The Roots Vietnamese Restaurant,600 N State of Franklin Rd,37604,TN,,(423) 328-0823,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61476,Group B,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,Ginjo Restaurant,Ginjo Restaurant,889 Main St,2081,MA,,(508) 660-2888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61477,Group B,91,90,584,2024-03-07,2024-03-07T16:55:00Z,,2022-10-31T04:00:00Z,Lavender,Lavender,519 Boston Post Rd,1776,MA,,(978) 579-9988,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
61478,Group B,146,145,584,2024-01-12,2024-01-12T20:26:00Z,,2022-10-31T04:00:00Z,Quan's Kitchen,Quan's Kitchen,871 Washington St,2339,MA,,(781) 826-8868,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61479,Group B,146,145,584,2024-01-12,2024-01-12T20:24:00Z,,2022-10-31T04:00:00Z,Red Ginger,Red Ginger,117 Great Rd,1775,MA,,(978) 897-9998,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
61480,Group B,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,KING'S CARRY OUT,KING'S CARRY OUT,1736 W NORTH AVE,21217,MD,,(410) 523-8139,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
