Snowball Map,State Group,datediff_queue_entered_date,datediff_rejected_date,datediff_created_date,Queue Enter Date,Rejected Time,Dead Date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Created By,Unqualified Reason,Lead Stage
51769,Group A,106,105,584,2024-02-21,2024-02-21T20:55:00Z,,2022-10-31T04:00:00Z,NO 1 CHINESE RESTAURANT,NO 1 CHINESE RESTAURANT,152 DEANNA DR,46356,IN,,(219) 696-8836,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51770,Group A,101,100,584,2024-02-26,2024-02-27T02:13:00Z,,2022-10-31T04:00:00Z,BEIJING CHINESE RESTAURANT,BEIJING CHINESE RESTAURANT,6214 US-6,46368,IN,,(219) 764-3288,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51771,Group A,101,100,584,2024-02-26,2024-02-27T02:15:00Z,,2022-10-31T04:00:00Z,JADE GARDEN,JADE GARDEN,6222 CENTRAL AVE,46368,IN,,(219) 762-2388,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51772,Group A,155,154,584,2024-01-03,2024-01-03T17:56:00Z,,2022-10-31T04:00:00Z,CHINA WOK,CHINA WOK,9270 WICKER AVE # D,46373,IN,,(219) 558-8968,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51773,Group A,92,91,584,2024-03-06,2024-03-06T20:30:00Z,,2022-10-31T04:00:00Z,Golden Lotus Restaurant,Golden Lotus Restaurant,511 Congress St,4101,ME,,(207) 747-5322,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51774,Group A,149,148,584,2024-01-09,2024-01-09T20:05:00Z,,2022-10-31T04:00:00Z,CHINA HOUSE,CHINA HOUSE,120 LINCOLNWAY,46383,IN,,(219) 462-5788,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51775,Group A,182,181,584,2023-12-07,2023-12-07T20:27:00Z,,2022-10-31T04:00:00Z,BOBA,BOBA,97 Lisbon St,4240,ME,,(207) 689-3105,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51776,Group A,148,147,584,2024-01-10,2024-01-10T16:23:00Z,,2022-10-31T04:00:00Z,Camden Island,Camden Island,87 Elm St Suite 104A,4843,ME,,(207) 230-8678,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51777,Group A,129,128,584,2024-01-29,2024-01-29T20:06:00Z,,2022-10-31T04:00:00Z,Kwong Lee,Kwong Lee,125 Central St,4967,ME,,(207) 487-2888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51778,Group A,99,98,584,2024-02-28,2024-02-28T23:49:00Z,,2022-10-31T04:00:00Z,CHINA HOUSE,CHINA HOUSE,602 ROOSEVELT RD B,46574,IN,,(574) 586-2314,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51779,Group A,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,Baker's Way,Baker's Way,89 Townsend Ave,4538,ME,,(207) 633-1119,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51780,Group A,174,173,584,2023-12-15,2023-12-15T22:17:00Z,,2022-10-31T04:00:00Z,China Buffet,China Buffet,925 S 13TH ST,46733,IN,,(260) 724-7407,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51781,Group A,146,145,584,2024-01-12,2024-01-12T20:39:00Z,,2022-10-31T04:00:00Z,MEKHONG THAI PORTLAND,MEKHONG THAI PORTLAND,865 FOREST AVE,4103,ME,,(207) 773-8424,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51782,Group A,107,106,584,2024-02-20,2024-02-20T16:06:00Z,,2022-10-31T04:00:00Z,MING'S GARDEN,MING'S GARDEN,1540 WHITE BEAR AVE,55106,MN,,(651) 776-2011,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51783,Group A,175,174,584,2023-12-14,2023-12-14T20:05:00Z,,2022-10-31T04:00:00Z,CHEF PENG CHINESE RESTAURANT,CHEF PENG CHINESE RESTAURANT,115 W KING ST,46738,IN,,(260) 553-4068,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51784,Group A,104,103,584,2024-02-23,2024-02-23T17:20:00Z,,2022-10-31T04:00:00Z,NO 1 CHINA,NO 1 CHINA,726 MARTIN AVE #110,55309,MN,,(763) 263-2800,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51785,Group A,174,173,584,2023-12-15,2023-12-15T23:25:00Z,,2022-10-31T04:00:00Z,CHINESE BUFFET,CHINESE BUFFET,909 COMMERCE DR S,46767,IN,,(260) 894-7778,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51786,Group A,176,175,584,2023-12-13,2023-12-14T01:50:00Z,,2022-10-31T04:00:00Z,CHINA WOK,CHINA WOK,1130 DEHNER DR,46777,IN,,(260) 622-6613,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51787,Group A,93,92,584,2024-03-05,2024-03-05T21:07:00Z,,2022-10-31T04:00:00Z,CHINA PALACE RESTAURANT,CHINA PALACE RESTAURANT,5810 BLUFFTON RD,46809,IN,(260) 747-0370,(260) 747-0370,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51788,Group A,107,106,584,2024-02-20,2024-02-20T21:51:00Z,,2022-10-31T04:00:00Z,PEKING RESTAURANT,PEKING RESTAURANT,6512 E STATE BLVD,46815,IN,,(260) 493-8383,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51789,Group A,105,104,584,2024-02-22,2024-02-22T18:40:00Z,,2022-10-31T04:00:00Z,Mr.彭,CHINA ONE,6714 AMY WAY DR,46933,IN,(917) 771-3563,(765) 998-6688,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51790,Group A,153,152,584,2024-01-05,2024-01-05T20:48:00Z,,2022-10-31T04:00:00Z,Wengs Kitchen,Wengs Kitchen,115 Elm St,55024,MN,,(651) 463-8880,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51791,Group A,140,139,584,2024-01-18,2024-01-19T03:03:00Z,,2022-10-31T04:00:00Z,HAPPY DRAGON,HAPPY DRAGON,876 W EADS PKWY,47025,IN,,(812) 539-2289,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51792,Group A,134,133,584,2024-01-24,2024-01-24T20:06:00Z,,2022-10-31T04:00:00Z,Wong's Kitchen,Wong's Kitchen,125 Silver Lake Rd NW,55112,MN,,(651) 636-2272,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51793,Group A,228,227,584,2023-10-22,2023-10-22T20:33:00Z,,2022-10-31T04:00:00Z,HONG DRAGON,HONG DRAGON,1014 S ADAMS ST,47042,IN,,(812) 689-3088,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51794,Group A,177,176,584,2023-12-12,2023-12-13T01:25:00Z,,2022-10-31T04:00:00Z,House Of Wong,House Of Wong,1163 Larpenteur Ave W,55113,MN,,(651) 488-6687,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51795,Group A,118,117,584,2024-02-09,2024-02-09T16:42:00Z,,2022-10-31T04:00:00Z,CHINA CAFE,CHINA CAFE,728 HIGHLANDER POINT DR #9442,47119,IN,,(812) 923-8877,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51796,Group A,105,104,584,2024-02-22,2024-02-22T18:04:00Z,,2022-10-31T04:00:00Z,Sakana,Sakana,740 Cleveland Ave S,55116,MN,,(651) 699-7777,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51797,Group A,105,104,584,2024-02-22,2024-02-22T16:56:00Z,,2022-10-31T04:00:00Z,CHINA KITCHEN,CHINA KITCHEN,833 S TILLOTSON AVE,47304,IN,,(765) 282-9199,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51798,Group A,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,88 Wok,88 Wok,2238 Bunker Lake Blvd NW,55304,MN,,(763) 862-6058,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51799,Group A,128,127,584,2024-01-30,2024-01-30T20:52:00Z,,2022-10-31T04:00:00Z,Tokyo Grill,Tokyo Grill,1190 Highway 7 W,55350,MN,,(320) 587-8880,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51800,Group A,242,241,584,2023-10-08,2023-10-08T21:33:00Z,,2022-10-31T04:00:00Z,LIN'S WOK,LIN'S WOK,1044 SAGAMORE PKWY W # D,47906,IN,,(765) 463-6401,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51801,Group A,254,253,584,2023-09-26,2023-09-26T19:39:00Z,,2022-10-31T04:00:00Z,PEKING CHINESE RESTAURANT,PEKING CHINESE RESTAURANT,3613 S 18TH ST,47909,IN,,(765) 474-7878,Marketing Nurture Queue,,AE Assigned,No Interest to talk to sales,Apps Associates,,Rejected
51802,Group A,92,91,584,2024-03-06,2024-03-06T18:50:00Z,,2022-10-31T04:00:00Z,CHINA BUFFET,CHINA BUFFET,505 3RD ST,47932,IN,,(765) 793-2182,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51803,Group A,142,141,584,2024-01-16,2024-01-16T21:13:00Z,,2022-10-31T04:00:00Z,Mark Pi's,Mark Pi's,11860 Allisonville Rd,46038,IN,,(317) 842-0884,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51804,Group A,153,152,584,2024-01-05,2024-01-05T18:57:00Z,,2022-10-31T04:00:00Z,Wild Ginger,Wild Ginger,8235 E 116th St Ste 250,46038,IN,,(317) 842-9888,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51805,Group A,106,105,584,2024-02-21,2024-02-21T20:20:00Z,,2022-10-31T04:00:00Z,Happy Kitchen,Happy Kitchen,69 Boone Vlg,46077,IN,,(317) 733-0900,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51806,Group A,107,106,584,2024-02-20,2024-02-20T21:56:00Z,,2022-10-31T04:00:00Z,HONG KONG EXPRESS,HONG KONG EXPRESS,671 E UNIVERSITY DR,90746,CA,,(310) 719-8832,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51807,Group A,155,154,584,2024-01-03,2024-01-03T18:22:00Z,,2022-10-31T04:00:00Z,HONG KONG EXPRESS,HONG KONG EXPRESS,930 W ORANGETHORPE AVE,92832,CA,,(714) 525-7288,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51808,Group A,228,227,584,2023-10-22,2023-10-22T20:47:00Z,,2022-10-31T04:00:00Z,HONG KONG GARDEN II,HONG KONG GARDEN II,1012 E LAKE AVE,95076,CA,,(831) 724-1188,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51809,Group A,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,HONG KONG HOUSE,HONG KONG HOUSE,8887 FOLSOM BLVD # 1,95826,CA,,(916) 361-3388,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51810,Group A,148,147,584,2024-01-10,2024-01-10T22:11:00Z,,2022-10-31T04:00:00Z,IMPERIAL GOURMET CHINESE,IMPERIAL GOURMET CHINESE,930 N MAIN ST K,93514,CA,,(760) 872-1144,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51811,Group A,137,136,584,2024-01-21,2024-01-22T02:20:00Z,,2022-10-31T04:00:00Z,J L KITCHEN,J L KITCHEN,1076 DAVIS ST,94577,CA,,(510) 562-6212,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51812,Group A,137,136,584,2024-01-21,2024-01-22T02:38:00Z,,2022-10-31T04:00:00Z,KING EGGROLL,KING EGGROLL,8610 SAN YSIDRO AVE,95020,CA,,(408) 846-8897,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51813,Group A,99,98,584,2024-02-28,2024-02-28T22:07:00Z,,2022-10-31T04:00:00Z,KOWLOON KITCHEN,KOWLOON KITCHEN,651 SHAW AVE,93612,CA,,(559) 299-2942,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51814,Group A,258,257,584,2023-09-22,2023-09-22T20:14:00Z,,2022-10-31T04:00:00Z,Red Pepper Chinese Restaurant,Red Pepper Chinese Restaurant,821 Iowa St,66044,KS,,(785) 832-1288,Marketing Nurture Queue,,AE Assigned,Cannot contact lead,Apps Associates,,Rejected
51815,Group A,161,160,584,2023-12-28,2023-12-28T19:59:00Z,,2022-10-31T04:00:00Z,LAM'S KITCHEN,LAM'S KITCHEN,89 E BLITHEDALE AVE,94941,CA,,(415) 383-6368,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51816,Group A,144,143,584,2024-01-14,2024-01-14T23:26:00Z,,2022-10-31T04:00:00Z,LEE'S GARDEN,LEE'S GARDEN,107 SAN PABLO TOWNE CENTER,94806,CA,,(510) 307-4338,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51817,Group A,104,103,584,2024-02-23,2024-02-23T21:19:00Z,,2022-10-31T04:00:00Z,Jade Garden,Jade Garden,1410 Kasold Dr a13,66049,KS,,(785) 843-8650,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51818,Group A,148,147,584,2024-01-10,2024-01-10T21:14:00Z,,2022-10-31T04:00:00Z,Red Fortune Chinese Restaurant,Red Fortune Chinese Restaurant,117 Oak St,66012,KS,,(913) 441-1988,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51819,Group A,93,92,584,2024-03-05,2024-03-05T21:27:00Z,,2022-10-31T04:00:00Z,Grand Wok,Grand Wok,15810 Shawnee Mission Pkwy,66217,KS,,(913) 268-8668,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51820,Group A,105,104,584,2024-02-22,2024-02-22T20:46:00Z,,2022-10-31T04:00:00Z,Chen's Kitchen,Chen's Kitchen,7166 Renner Rd,66217,KS,,(913) 268-1668,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51821,Group A,154,153,584,2024-01-04,2024-01-04T19:02:00Z,,2022-10-31T04:00:00Z,SAENG THAI HOUSE RESTAURANT,SAENG THAI HOUSE RESTAURANT,921 CONGRESS ST,4102,ME,,(207) 780-0900,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51822,Group A,140,139,584,2024-01-18,2024-01-18T19:09:00Z,,2022-10-31T04:00:00Z,ASIA EATERY,ASIA EATERY,121 MAIN ST,4281,ME,,(207) 739-2840,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51823,Group A,181,180,584,2023-12-08,2023-12-08T16:48:00Z,,2022-10-31T04:00:00Z,MOON HING,MOON HING,1073 W MAIN ST,4426,ME,,(207) 564-8440,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51824,Group A,112,111,584,2024-02-15,2024-02-15T17:28:00Z,,2022-10-31T04:00:00Z,Hunan House Restaurant,Hunan House Restaurant,721 Minot Ave,4210,ME,,(207) 784-5011,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51825,Group A,231,230,584,2023-10-19,2023-10-19T19:01:00Z,,2022-10-31T04:00:00Z,Asian Star,Asian Star,1009 W Cherokee St,74467,OK,,(918) 485-0040,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51826,Group A,99,98,584,2024-02-28,2024-02-28T17:08:00Z,,2022-10-31T04:00:00Z,Ding asian fusion sushi bar,Ding asian fusion sushi bar,6400 NW 39th Expy,73008,OK,,(405) 603-8858,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51827,Group A,107,106,584,2024-02-20,2024-02-20T20:26:00Z,,2022-10-31T04:00:00Z,Hunan Wok,Hunan Wok,6812 Northwest Expy,73132,OK,,(405) 722-8996,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51828,Group A,148,147,584,2024-01-10,2024-01-10T21:39:00Z,,2022-10-31T04:00:00Z,China Delight,China Delight,11802 S May Ave STE B,73170,OK,,(405) 691-3888,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51829,Group A,226,225,584,2023-10-24,2023-10-24T20:08:00Z,,2022-10-31T04:00:00Z,Taste of China,Taste of China,1001 E 1001 US-54,73942,OK,,(580) 468-3993,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51830,Group A,149,148,584,2024-01-09,2024-01-09T20:54:00Z,,2022-10-31T04:00:00Z,100°C Grill & Hot Pot,100°C Grill & Hot Pot,1931 S Yale Ave,74112,OK,,(918) 292-8819,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51831,Group A,113,112,584,2024-02-14,2024-02-15T00:15:00Z,,2022-10-31T04:00:00Z,ROKA BAR ASIAN FLAVORS,ROKA BAR ASIAN FLAVORS,1616 S UTICA AVE,74104,OK,,(918) 382-7777,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51832,Group A,225,224,584,2023-10-25,2023-10-25T15:25:00Z,,2022-10-31T04:00:00Z,Tokyo Sushi,Tokyo Sushi,9750 Schreiber Ter N,55445,MN,,(763) 703-4937,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51833,Group A,112,111,584,2024-02-15,2024-02-15T17:31:00Z,,2022-10-31T04:00:00Z,LAI THAI,LAI THAI,7419 NW 23RD ST,73008,OK,,(405) 495-4758,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51834,Group A,107,106,584,2024-02-20,2024-02-20T15:54:00Z,,2022-10-31T04:00:00Z,New China,New China,1560 125th Ave NE,55449,MN,,(763) 755-3181,Marketing Nurture Queue,,SDR Complete,Cannot contact lead,Apps Associates,,Rejected
51835,Group A,154,153,584,2024-01-04,2024-01-04T19:06:00Z,,2022-10-31T04:00:00Z,SAKURA,SAKURA,928 W SHAWNEE ST,74401,OK,,(918) 537-2088,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51836,Group A,91,90,584,2024-03-07,2024-03-07T20:24:00Z,,2022-10-31T04:00:00Z,LAI LAI,LAI LAI,5109 S MAY AVE,73119,OK,,(405) 688-8686,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
51837,Group A,140,139,584,2024-01-18,2024-01-18T18:52:00Z,,2022-10-31T04:00:00Z,BAMBOO GARDEN INC.,BAMBOO GARDEN INC.,8210 S ELM PL,74011,OK,,(918) 451-8898,Marketing Nurture Queue,,SDR Complete,No Interest to talk to sales,Apps Associates,,Rejected
