State Group,datediff_rejected_date,datediff_created_date,Create Date,Last Name,Company / Account,Street,Zip/Postal Code,State/Province (text only),Mobile - Primary,Business Phone,Lead Owner,Assigned SDR,Lead Status,Rejected Reason,Rejected Time,Created By,Unqualified Reason,Lead Stage
Group B,,584,2022-10-31T04:00:00Z,Bamboo garden Chinese restaurant,Bamboo garden Chinese restaurant,463 S Davy Crockett Pkwy,37813,TN,,(423) 581-0055,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Hibachi Jr.,Hibachi Jr.,11321 Lebanon Rd,37122,TN,,(615) 622-5115,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Ginger Thai Bistro,Ginger Thai Bistro,536 N Thompson Ln Suite A,37129,TN,,(615) 624-8881,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHIN LEE CHINESE RESTAURANT,CHIN LEE CHINESE RESTAURANT,1331 LAMBERTON DR,20902,MD,,(301) 649-5466,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Yummy Yum Thai Restaurant,Yummy Yum Thai Restaurant,3411 Memorial Blvd,37129,TN,,(615) 956-6112,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,V N NOODLE HOUSE  INC,V N NOODLE HOUSE  INC,2299 JOHNS HOPKINS RD,21054,MD,,(410) 721-6619,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Rock n' Roll Sushi - Murfreesboro,Rock n' Roll Sushi - Murfreesboro,3053 Medical Center Pkwy Suite D,37129,TN,,(629) 201-5959,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,TEARIFFIC CAFE,TEARIFFIC INC,22599 MacArthur Blvd,20619,MD,,(301) 866-9688,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Ozeki Grill and Thai Kitchen,Ozeki Grill and Thai Kitchen,7340 Nolensville Rd Suite 105,37135,TN,,(615) 776-5522,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SAKURA SUSHI,SAKURA SUSHI,3755 OLD COURT RD STE F,21208,MD,,(410) 580-1155,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Simply Thai,Simply Thai,3418 Old Hickory Blvd A2,37138,TN,,(615) 847-7776,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Cheung,Siu's Asian Bistro,12271 TECH RD,20904,MD,,(301) 680-8830,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Firecracker Hot Chicken,Firecracker Hot Chicken,14833 Lebanon Rd,37138,TN,,(615) 288-2665,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Mai House Asian Cuisine,Mai House Asian Cuisine,1057 Madison St,37160,TN,,(931) 492-4740,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Yummy Yummy Teriyaki Express,Yummy Yummy Teriyaki Express,4409 R Chapman Hwy,37920,TN,,(865) 573-3188,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sitane Market & Deli,Sitane Market & Deli,1068 Courier Pl # 101,37167,TN,,(615) 459-2475,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Yummy Poki,Yummy Poki,901 Rock Springs Rd,37167,TN,,(615) 625-3805,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Hawkers Asian Street Food,Hawkers Asian Street Food,626A Main St,37206,TN,,(615) 600-4762,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA CHEF ENTERPRISES,CHINA CHEF ENTERPRISES,5925 MARTIN LUTHER KING,20743,MD,,(301) 333-1182,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Kountry Thai Restaurant,Kountry Thai Restaurant,804 McMinnville Hwy,37190,TN,,(615) 563-4050,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Aiyara Thai and Sushi Restaurant,Aiyara Thai and Sushi Restaurant,2535 8th Ave S #105,37204,TN,,(615) 942-6208,Marketing Nurture Queue,Sean Chan,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Thai Kitchen,Thai Kitchen,738 Thompson Ln,37204,TN,,(615) 385-9854,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Kien Giang Restaurant,Kien Giang Restaurant,5825 Charlotte Pike,37209,TN,,(615) 353-1250,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Maki of Japan,Maki of Japan,433 Opry Mills Dr,37214,TN,,(615) 800-3944,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Vinh-Long,Vinh-Long,1061 Murfreesboro Pike,37217,TN,,(615) 399-7582,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,EAST MOON ASIAN BISTRO,EAST MOON ASIAN BISTRO,7400 RITCHIE HWY STE A,21061,MD,,(410) 768-6688,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SILVER FOUNTAIN INC,SILVER FOUNTAIN INC,13533 CONNECTICUT AVE,20906,MD,,(301) 460-1200,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Golden Buffet,Golden Buffet,929 W College St,38478,TN,,(931) 424-1088,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,HOUSE OF KOBE INC,HOUSE OF KOBE INC,757 DUAL HWY,21740,MD,,(301) 797-6979,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Drafts & Watercrafts,Drafts & Watercrafts,91 Slip-A Way,37398,TN,,(931) 201-5516,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SKY KITCHEN,SKY KITCHEN,9805 MAIN ST STE 207,20872,MD,,(301) 253-0707,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Hunan Chinese Restaurant,Hunan Chinese Restaurant,745 W Elk Ave,37643,TN,,(423) 542-6112,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Red Ginger Buffet,Red Ginger Buffet,1018 Over Mountain Dr,37643,TN,,(423) 543-6288,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Stir Fry Cafe,Stir Fry Cafe,125 Broad St,37660,TN,,(423) 343-9424,Marketing Nurture Queue,Joe Yee Wong,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,620 State Restaurant | Sushi + Asian + American + Cocktail Bar | Bristol,620 State Restaurant | Sushi + Asian + American + Cocktail Bar | Bristol,620 State Street,37620,TN,,(423) 652-0314,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Monsoon Thai & Exotic Foods,Monsoon Thai & Exotic Foods,10630 Hwy 67 W,37640,TN,,(423) 768-3327,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Thai Cuisine,Thai Cuisine,622 Condry Ln,37803,TN,,(865) 336-1000,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sora Sushi & Steak House,Sora Sushi & Steak House,902 N Charles G Seivers Blvd,37716,TN,,(865) 269-5037,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA JADE,CHINA JADE,16805 CRABBS BRANCH WAY,20855,MD,,(301) 963-1570,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Asian River,Asian River,6714 Central Ave Pike ste b,37912,TN,,(865) 444-5800,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,DING HOW INN,DING HOW INN,12236 TULLAMORE RD,21093,MD,,(410) 628-0888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Wok'N'Roll,Wok'N'Roll,1167 Oak Ridge Turnpike,37830,TN,,(865) 481-8300,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,鄭,Eastern Carryout - Mr. 鄭 @9178131790 -Mon off,11489 BERRY RD,20603,MD,(917) 813-1790,(301) 705-8809,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Thai Basil,Thai Basil,530 Winfield Dunn Pkwy,37862,TN,,(865) 453-9339,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Hibachi Grill & Supreme Buffet,Hibachi Grill & Supreme Buffet,9645 Kingston Pike,37922,TN,,(865) 357-3555,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Akita Express Japanese Grill,Akita Express Japanese Grill,3100 E Morris Blvd,37813,TN,,(423) 586-5888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Itako Hibachi Japanese Grill,Itako Hibachi Japanese Grill,3411 W Andrew Johnson Hwy,37814,TN,,(423) 353-4563,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Chaiyo Thai & Sushi Bar,Chaiyo Thai & Sushi Bar,601 James Agee St,37916,TN,,(865) 249-8081,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Philippine Connection Carry Out Food,Philippine Connection Carry Out Food,3225 E Magnolia Ave,37914,TN,,(865) 522-5276,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Nama Sushi Bar - Bearden,Nama Sushi Bar - Bearden,5130 Kingston Pike,37919,TN,,(865) 588-9811,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Viet Taste Restaurant,Viet Taste Restaurant,215 N Peters Rd,37923,TN,,(865) 249-8424,Marketing Nurture Queue,Xue Ni Chu,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Red Sun Buffet,Red Sun Buffet,2769 Wolf Creek Pkwy #105,38133,TN,,(901) 384-9080,Marketing Nurture Queue,Jimmy Min Kong,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,KIM WAH RESTAURANT,KIM WAH RESTAURANT,116 N TOLLGATE RD,21014,MD,,(410) 838-9636,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Pacific Fusion,Pacific Fusion,1140 N Germantown Pkwy,38016,TN,,(901) 755-8955,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,PEKING CHINESE RESTAURANT,PEKING CHINESE RESTAURANT,3609 BROADWAY BLVD,64111,MO,,(816) 531-2272,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Oriental Noodle,Noodle Bar,4816 Navy Rd,38053,TN,,(901) 872-1171,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,PEKING GARDEN CHINESE RESTAURANT,PEKING GARDEN CHINESE RESTAURANT,417 W COLER ST,64850,MO,,(417) 451-5312,Marketing Nurture Queue,Sandra Kan,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sakura Garden Japanese Restaurant,Sakura Garden Japanese Restaurant,11680 TN-3,38004,TN,,(901) 837-8800,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,PEKING PALACE RESTAURANT,PEKING PALACE RESTAURANT,535 E CLEVELAND AVE,65708,MO,,(417) 235-3737,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,RICE HOUSE,RICE HOUSE,625 S KIMBROUGH AVE,65806,MO,,(417) 865-2700,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SHOWOK CHINESE CARRY-OUT,SHOWOK CHINESE CARRY-OUT - Permanently closed,10204 MANCHESTER RD,63122,MO,,(314) 822-8988,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SUN RESTAURANT,SUN RESTAURANT,7218 N HANLEY RD,63042,MO,,(314) 521-0662,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,SUNRISE CHINESE RESTAURANT,SUNRISE CHINESE RESTAURANT,3506 WASHINGTON AVE,63103,MO,,(314) 652-2876,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,WEST END WOK,WEST END WOK,4577 LACLEDE AVE,63108,MO,,(314) 361-2233,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,WEST LAKE CHINESE RESTAURANT,WEST LAKE CHINESE RESTAURANT,101 US-169,64089,MO,,(816) 532-4166,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,WING LEE CHINESE RESTAURANT,WING LEE CHINESE RESTAURANT,910 N ATHERTON RD,64056,MO,,(816) 257-0922,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,YANGTZE CHINESE RESTAURANT,YANGTZE CHINESE RESTAURANT,104 W FRANKLIN ST,65560,MO,,(573) 729-5995,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,YUM YUM BOWL,YUM YUM BOWL,706 BATTLEFIELD RD #4808,65807,MO,,(417) 882-3644,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,ASIAN GARDEN,ASIAN GARDEN,1509 N PHILADELPHIA AVE,21842,MD,,(410) 289-7423,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHEF KING,CHEF KING,29 W MAIN ST,50158,IA,,(641) 752-8282,Marketing Nurture Queue,Ee Lin Goh,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA KING,CHINA KING,66 MO-162,63873,MO,,(573) 379-9888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHEF WONG CHINESE RESTAURANT,CHEF WONG CHINESE RESTAURANT,3305 1ST AVE SE,52402,IA,,(319) 366-6655,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA WOK,CHINA WOK,1526 MO-84,63830,MO,,(573) 333-1888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA CAFE,CHINA CAFE,71 E JEFFERSON ST,50273,IA,,(515) 462-2888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Happy Wok,Happy Wok,3916 Vogel Rd,63010,MO,,(636) 287-9399,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA DRAGON,CHINA DRAGON,2351 SUNSET DR #103,50211,IA,,(515) 953-1600,Marketing Nurture Queue,Bryan Sim,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,YO Sushi,YO Sushi,15583 Manchester Rd,63011,MO,,(636) 527-6684,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Wasabi Sushi Bar,Wasabi Sushi Bar,1066 Town and Country Crossing Dr,63017,MO,,(636) 230-7400,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,153 Sushi,153 Sushi,84 Clarkson Wilson Ctr,63017,MO,,(636) 530-1392,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,BEIJING DELIGHT,BEIJING DELIGHT,8646 FLOWER AVE,20912,MD,,(301) 608-3844,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Rice House Ii,Rice House Ii,2725 N Highway 67,63033,MO,,(314) 921-0711,Marketing Nurture Queue,Kelvin Teh,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA JADE,CHINA JADE,5002 EP TRUE PKWY,50265,IA,,(515) 222-1422,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Chin's Wok,Chin's Wok,70A Grandview Pl,63033,MO,,(314) 830-2479,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Fuji Sushi,Fuji Sushi,1127 Main St,63052,MO,,(636) 464-8889,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA KITCHEN,CHINA KITCHEN,111 S VINE ST,52175,IA,,(563) 422-5279,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA PLACE RESTAURANT,CHINA PLACE RESTAURANT,2414 UNIVERSITY AVE,50311,IA,,(515) 633-9393,Marketing Nurture Queue,Joe Yee Wong,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,BEIJING PALACE RESTAURANT,BEIJING PALACE RESTAURANT,841 S MAIN ST,21074,MD,,(410) 374-2328,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHINA VILLAGE,CHINA VILLAGE,628 NILE KINNICK DR S # C,50003,IA,,(515) 993-3383,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Sushi Ai,Sushi Ai,910 Olive St,63101,MO,,(314) 588-7888,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHUONG GARDEN,CHUONG GARDEN,528 2ND ST,50595,IA,,(515) 832-6288,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Jefferson Chop Suey,Jefferson Chop Suey,1622 S Jefferson Ave,63104,MO,,(314) 773-1688,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHUONG GARDEN CHINESE RESTAURANT,CHUONG GARDEN CHINESE RESTAURANT,105 1ST ST E,50644,IA,,(319) 334-9018,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Lucky Inn,Lucky Inn,3018 Dr Martin Luther King Dr,63106,MO,,(314) 371-0449,Marketing Nurture Queue,Raymond Chong,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,CHUONG GARDEN RESTAURANT,CHUONG GARDEN RESTAURANT,903 W TOWNLINE ST,50801,IA,,(641) 782-5260,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Wing Hing Chop Suey,Wing Hing Chop Suey,3900 Natural Bridge Ave,63107,MO,,(314) 533-3772,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
Group B,,584,2022-10-31T04:00:00Z,Canton House Chop Suey,Canton House Chop Suey,4100 N Grand Blvd,63107,MO,,(314) 531-0005,Marketing Nurture Queue,,SDR Complete,,,Apps Associates,,Dead
