,,,,,,,,,,,,,,TOTAL Y,TOTAL N,
EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Need Update,State,Updated Address,Business Phone,Mobile Phone,166,3075,3241
R85105,*CHINA GARDEN*,670 S. College Avenue,IN,2198665005,2193156777,12198665005,suspended,N,,,, ,,,,
R85102,CHINA ONE,1208 S. Main St.,MI,5178362159,9172383065,(517) 836-2159,open,N,,,, ,,,,
R85107,^ASIAN CAFE^,1303 N. East,MD,3016620888,3019195387,(301) 662-0888,open,N,,,, ,,,,
R100000,*^ASIAN CAFE^*,1303 N. East,MD,0,,,reject,N,,,, ,,,,
R85106,DRAGON HOUSE,1808 Washington Blvd.,OH,7404231224,9173619773,(740) 423-1224,open,N,,,, ,,,,
R85101,^ASIAN EXPRESS^,1356 N Church St,NC,3366397231,3366398293,(336) 639-7231,open,N,,,, ,,,,
R85099,^BEST TASTE^,1001 Mineral Spring Ave.,RI,4017253333,4017437213,(401) 725-3333,open,N,,,, ,,,,
R85098,^EMPEROR'S PALACE^,5050 WA-303,WA,3604792732,4256970255,13603778822,open,N,,,, ,,,,
R85098,^EMPEROR'S PALACE^,5050 WA-303,WA,3604792732,4256970255,(360) 479-2732,open,N,,,, ,,,,
R85097,^KAR RESTAURANT^,439 Bushwick Ave.,NY,9293376600,3472428953,(929) 337-6600,open,N,,,, ,,,,
R85096,^CHINA TASTE^,2130 Greencrest Blvd,TX,9727225088,6465087328,(972) 722-5088,open,N,,,, ,,,,
R85095,CHINA ONE,381 Main St.,CT,2034678808,4752613008,(203) 467-8808,open,N,,,, ,,,,
R85093,CHINA TASTE,135 Quartermaster Ct,IN,8122845580,9173306659,(812) 284-5580,open,N,,,, ,,,,
R85092,^CHINA KING^,1301 Cottman Ave.,PA,2157223800,2156670849,(215) 722-3800,open,N,,,, ,,,,
R85077,*^CHOP SUEY KING^*,800 St Louis Ave,IL,6182744430,3146163878,(618) 274-6818,suspended,N,,,, ,,,,
917.985.8867-9,*Sales (RICKY)*,3030 Northern Blvd,NY,9179858867,,,test,N,,,, ,,,,
917.985.8867-8,*Sales (ZIQI)*,3030 Northern Blvd,NY,9179858867,,,test,N,,,, ,,,,
RXXXX11,XXXDUMMY RESTAURANTXXX,1550 Jamison Dr,MS,0,6622133858,,template,N,,,, ,,,,
R85089,^TOKYO SUSHI & HIBACHI^,7550 Mission Hills Dr,FL,2393000961,7185520856,(239) 300-0961,closed,N,,,, ,,,,
R85088,NEW HUNAN WOK,5566 Fort Caroline Rd,FL,9047451212,8039913196,(904) 745-1212,open,N,,,, ,,,,
R85087,^JF CHEN^,2475 Appleby Line,ON,9053198887,6476758887,(905) 319-8180,open,N,,,, ,,,,
R13387,Cafe Mo to,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R11731,Donnalyn's Resto,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12914,Labyrinth,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R85086,^RICE COOKER^,1211 West Oak St,IN,3177331137,9295882699,(317) 733-1137,open,N,,,, ,,,,
R85085,SHANGHAI RIVER,945 Boardman Canfield Rd,OH,3307581698,9175208017,(330) 758-1698,open,N,,,, ,,,,
R85091,*^BROTHER RESTAURANT^*,1550 Jameson Dr,MS,6623072748,6622133858,(622) 307-2748,new,N,,,, ,,,,
R85083,*CHINA GARDEN*,1650-6 San Pablo Rd. S,FL,9049999853,8135768688,(904) 999-9853,open,Y,,,1650 San Pablo Rd S,(904) 221-1766,,,,
R85081,*CHINA KING*,104 E. Beidler Rd.,PA,6102654180,8455181549,(610) 265-4180,reject,Y,,,104 E Beidler Rd,(610) 265-4160,,,,
R85082,KING HOUSE,300N Maple St,WI,7152735899,6512027337,(715) 273-5899,open,N,,,, ,,,,
R85079,HOUSE OF TANG,102 Sea Island Parkway,SC,8435247999,8436025888,(843) 524-7999,open,N,,,, ,,,,
R85078,CHINA CAFE,165 Blackford Way #A,FL,9047977377,9178628629,(904) 797-7377,open,N,,,, ,,,,
R85075,WELCOME 68,68 E Stewart St,NC,9109800603,9178688232,(910) 980-0603,open,N,,,, ,,,,
R85076,HAPPY DRAGON,3388 Jerome Ave.,NY,7182313388,6462888876,(718) 231-3388,open,N,,,, ,,,,
R85073,GOLDEN CHINA,12170 S. Waco Ave,OK,9182982988,9186064722,(918) 298-2988,open,N,,,, ,,,,
R85071,L&T KITCHEN,600 Tuckahoe Road,NY,9143376555,7182905882,(917) 497-0958,open,Y,,,600 Tuckahoe Rd,(914) 337-8999,,,,
R85069,CHINA WOK,9502 Chamberlayne Rd.,VA,8045598888,8046384166,(804) 559-8888,open,N,,,, ,,,,
R85068,^CHINA KING^,"319E Macon Street,",NC,2522570747,9176133192,(252) 257-0747,open,N,,,, ,,,,
R85067,*RUBY1 CHINESE RESTAURANT*,7140 Ridge Ave,PA,2154823800,2674677955,(215) 482-3800,open,N,,,, ,,,,
R85066,*CHINA KING*,1709 Missouri Blvd,MO,5736163789,3475065980,(573) 659-2332,open,N,,,, ,,,,
R85021,^FIERY CRAB METAIRIE^,3330 Veterans Memorial Blvd,LA,5047660900,5043815467,504-766-0900,open,N,,,, ,,,,
R85019,^FIERY CRAB NEW ORLEANS^,925 Common St,LA,5048419823,6463310239,504-841-9823,open,N,,,, ,,,,
R85018,^FIERY CRAB KENNER^,3900 Williams Blvd,LA,5043323900,5043323092,504-332-3900,open,N,,,, ,,,,
R85065,CHINA BISTRO,10968 E. U.S. Hwy 36,IN,3172730898,3177931501,(317) 273-0898,open,N,,,, ,,,,
R85063,^GOLDEN DRAGON^,7 S 6th St,PA,7176331898,9172256365,(717) 632-0229,open,N,,,, ,,,,
R85061,*^ASIA KITCHEN^*,3523 W. Artesia Blvd,CA,3105161260,3103671008,(310) 367-1008,suspended,N,,,, ,,,,
R85062,*HONG KONG*,3806 Dell Range Blvd.,WY,3077787171,3477916263,(307) 778-7171,new,N,,,, ,,,,
R85058,FAMILY GARDEN,4256 Eastland Sq. Dr.,OH,6148688522,6143777338,(614) 868-8522,open,N,,,, ,,,,
R85057,MAYFLOWER,4427 Wisconsin Ave. N W.,DC,2022448858,3012227379,(202) 244-8858,open,N,,,, ,,,,
R85059,^CHINA MAXIM^,241 Market Street,MA,6177835458,6176062978,(617) 783-5458,suspended,N,,,, ,,,,
R85056,SZECHUAN GARDEN,660 E Pittsburgh St,PA,7248345844,6462036195,(724) 834-5844,open,N,,,, ,,,,
R85055,^TOKYO HOUSE ONE^,1957 Peace Haven Rd,NC,3367740068,2623098788,(336) 774-0067,open,Y,,,1957 N Peace Haven Rd,(336) 774-0067,,,,
R85052,^CRAB LOBSTER^,927 S,IL,2173306170,3097508984,(217) 330-6171,open,N,,,, ,,,,
R85053,*^ASIAN HOUSE^*,652 East Broadway Blvd,TN,8654753336,8655662983,(865) 475-3336,suspended,N,,,, ,,,,
R85051,ASIAN WOK,1520 NE 205th Terrace,FL,3056512544,9548548155,(305) 651-2544,open,N,,,, ,,,,
R85039,^NEW NO. 1 CHINA^,6376 Coventry Way,MD,3018772618,2405579525,(240) 557-9525,suspended,N,,,, ,,,,
R85038,^GOOD CITY CHINESE RESTAURANT^,128 Spalding Village,GA,7702276961,7707570360,(770) 227-6961,open,N,,,, ,,,,
R85037,BEI JING CHEF,17 North Ave,NY,8456351888,9175768385,(845) 635-1168,open,N,,,, ,,,,
R85036,*RUBY KITCHEN*,209 Clifton Ave,NJ,7323679999,9173706261,(732) 364-6670,suspended,N,,,, ,,,,
R85035,^NEW HONG KONG^,14 Tremont Street,MA,6177833236,6178663644,(617) 783-3236,open,N,,,, ,,,,
R85033,KING WOK,7405 Sunset Lake Rd,NC,9195776852,9173990608,919-577-6852,new,N,,,, ,,,,
R85032,^PEKING HOUSE^,1441 G University Dr.,NC,3365849990,6463096986,(336) 584-9990,new,N,,,, ,,,,
R83935,*CHINA A GO GO CHARLESTON*,11710 W Charleston Blvd,NV,7028808818,7028858188,(702) 880-8818,open,N,,,, ,,,,
R85031,*^SZECHUAN CHINESE RESTAURANT^*,1140 N Pacific Hwy,OR,5419429338,5417880644,(541) 942-9338,reject,N,,,, ,,,,
R85029,NEW CENTURY,254 Main St,NY,6077290156,9178477878,(607) 729-0156,open,N,,,, ,,,,
R85028,GOLDEN CHOPSTICKS,1110A North Collins,TX,8172746320,4159397903,(817) 274-6320,open,N,,,, ,,,,
R85027,CHINA 1,3000 Moncrief Rd,FL,9043553777,9045819996,(904) 355-3777,open,N,,,, ,,,,
R14261,Black Swan,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R85012,CHINA KING,590 E Diamond Ave,IN,8124231896,8122298540,(812) 423-1896,new,N,,,, ,,,,
R85026,^CHENGS CHINESE^,10962 W. Colonial Drive,FL,4078778282,4078778282,(407) 877-8282,open,N,,,, ,,,,
R85025,^FENG LEE^,1626 Main Street,ME,2073684838,8572054794,(207) 368-4838,open,N,,,, ,,,,
R85023,U LIKE,5025 S. Cedar St.,MI,5178828588,3472598972,(517) 882-8588,open,N,,,, ,,,,
R85022,HAPPY WOK,226 Lafayette St,OH,7408520748,7188019193,(740) 852-0748,open,N,,,, ,,,,
R85015,KING'S TASTE,84-06 Astoria Blvd,NY,7184269068,6464105377,(718) 426-9068,open,N,,,, ,,,,
R85008,*HK NOODLES*,901 SE Washington Ave,MN,6123799472,3129122975,(612) 379-9472,new,N,,,, ,,,,
R85009,^GOOD TASTE^,42 Central St,MA,9783568881,9172506839,(978) 356-8881,open,N,,,, ,,,,
R85013,NEW LUCKY CHINA,4038 Butler Hill Rd,MO,3144876161,3016840033,(314) 487-6161,open,N,,,, ,,,,
R85007,^KYU RAMEN^,1278 Town Centre Dr,MN,9526001032,3129122975,(952) 600-1032,open,N,,,, ,,,,
R85011,TASTY TOKYO^,30825 Mirada Blvd,FL,3526689788,3216631023,(352) 668-9788,open,N,,,, ,,,,
R85006,*PANDA RESTAURANT*,112 Fox Hunt Dr,DE,3028321688,6465123552,(302) 832-1688,open,N,,,, ,,,,
R85005,^YUMMI YUMMI^,112-J Village Road,NC,9103710077,6469123214,(910) 371-0077,open,N,,,, ,,,,
R85003,*CHINA SISTER*,9310 US Highway 192 W.,FL,8632048077,3219486989,(863) 204-8077,new,N,,,, ,,,,
R85002,LEE'S KITCHEN,806 Burke Avenue,NY,7182312003,9178336553,(718) 231-2003,open,N,,,, ,,,,
R14143,Novigrad,Testing,AL,1111111111,,,reject,N,,,, ,,,,
R13925,Butter,3030 Northern Blvd,AK,1111111111,,,reject,N,,,, ,,,,
R85001,CHINA RESTAURANT,4369 Hwy 24,SC,8642258818,3476733782,(864) 225-8818,open,N,,,, ,,,,
R83999,NEW CANTON INN,19333 Dix Rd,MI,3139284220,2482527188,(313) 928-4220,open,N,,,, ,,,,
R00001,*^XXXMAKOTOXXX^*,1224 Saint Georges Ave,NJ,7326363999,,,test,N,,,, ,,,,
R83996,^SHANGHAI^,1 Landmark Ln,CT,8609274809,2034827265,(860) 927-4809,new,N,,,, ,,,,
R83998,^SAKURA RAMEN^,407 N. York St,OK,9185372098,9296669009,(918) 537-2098,suspended,N,,,, ,,,,
R83997,^VIP EXPRESS^,"116 W. Meadowview Rd.,",NC,3362720700,3366816368,(336) 272-0700,open,N,,,, ,,,,
R83995,*PENG'S ASIAN CUISINE*,2508 S Semoran Blvd,FL,4078237799,4073343391,(407) 823-7799,open,N,,,, ,,,,
R83993,CHINA WOK,1727 N. Germantown Parkway,TN,9017521028,9177690958,(901) 752-1029,open,N,,,, ,,,,
R98882353809,Inbound	Youtube,3030 Northern Blvd,NY,8882353809,,,open,N,,,, ,,,,
R98888569583,Inbound	General DM,3030 Northern Blvd,NY,8888569583,,,open,N,,,, ,,,,
R98888988389,Inbound	Website etc,3030 Northern Blvd,NY,8888988389,,,open,N,,,, ,,,,
9172852220,Inbound	Main Number,3030 Northern Blvd,NY,9172852220,,,open,N,,,, ,,,,
R98888968962,Inbound	General SMS Campaign,3030 Northern Blvd,NY,8888968962,,,open,N,,,, ,,,,
R98882353807,Inbound	World Journal,3030 Northern Blvd,NY,8882353807,,,open,N,,,, ,,,,
R98882353805,Inbound	Douyin,3030 Northern Blvd,NY,8882353805,,,open,N,,,, ,,,,
R98882353802,Inbound	Canada DM,3030 Northern Blvd,NY,8882353802,,,open,N,,,, ,,,,
R98882353722,Inbound	ä¸­é¤é€šè®¯ 2022 onward,3030 Northern Blvd,NY,8882353722,,,open,N,,,, ,,,,
R98882353718,Inbound	Marketing SMS Campaign,3030 Northern Blvd,NY,8882353718,,,open,N,,,, ,,,,
R98882353686,Inbound	Wechat (NYæƒ…å ±ç«™),3030 Northern Blvd,NY,8882353686,,,open,N,,,, ,,,,
R98882353685,Inbound	Wechat (General),3030 Northern Blvd,NY,8882353685,,,open,N,,,, ,,,,
R98882353680,Inbound	Wechat (General),3030 Northern Blvd,NY,8882353680,,,open,N,,,, ,,,,
R98882353619,Inbound Wechat (US 168),3030 Northern Blvd,NY,8882353619,,,open,N,,,, ,,,,
R83992,EVER GREEN,1104 Spirit Lake Road,FL,8632944993,8633260464,(863) 294-4993,open,N,,,, ,,,,
R83987,CHOPSTICKS HOUSE,2 Bloomfield Ave.,NJ,9737438282,9293926552,(973) 743-8282,open,N,,,, ,,,,
R83991,^BLANEY'S WINGS & GRILL^,7358 Parklane Rd,SC,8038346882,6463713997,(803) 834-6882,open,N,,,, ,,,,
R83985,*GOLDEN HOUSE*,700 Southbridge Street,MA,5087530888,6462623023,(508) 753-0888,open,N,,,, ,,,,
R83989,*LONG RIVER*,117 Bridgton Rd,ME,2079351118,6463883297,(207) 935-1118,open,N,,,, ,,,,
R83988,*^KOROKE ASIAN CUISINE^*,3901 45th St.,IN,2199228822,3317011634,(219) 922-8822,open,N,,,, ,,,,
R83986,^BEI JING HOUSE^,1506 Genesee St.,NY,3157973388,3154042088,(315) 797-3388,open,N,,,, ,,,,
R83983,*CHINA CHEF*,2159 Everglades Lane,FL,3525715258,9178655580,(352) 571-5258,open,N,,,, ,,,,
R83982,*LUCKY EXPRESS*,1906 Clint Moore Rd,FL,5619989366,,(561) 998-9366,open,N,,,, ,,,,
R83981,HUNAN K,60-14 Queens Boulevard,NY,7187798177,6464207113,(718) 779-8177,reject,N,,,, ,,,,
R83979,^DYNASTY RESTAURANT^,24 Signal Street,NH,6033321000,6468860909,(603) 332-1000,open,N,,,, ,,,,
R83978,^CHINA TASTE^,1223 Washington Ave,ME,2078781388,2078388713,(207) 878-1388,open,N,,,, ,,,,
R83977,CHINA GARDEN,4200 South East St,IN,3177818677,3175094379,(317) 781-8677,open,N,,,, ,,,,
R83976,*EASTERN*,69 John Fitch Blvd,CT,8602822999,3479096666,(860) 282-2999,open,N,,,, ,,,,
R83975,NO.1 CHINESE RESTAURANT,216 N. Main Street,MI,9896923333,9172883073,(989) 692-3333,open,N,,,, ,,,,
R83966,GROW GREEN,608 Turnersburg Hwy,NC,7048769950,7048777470,(704) 876-9950,open,N,,,, ,,,,
R83973,CHINA EXPRESS II,2522 Santa Barbara Blvd,FL,2395739988,2392239255,(239) 573-9988,open,N,,,, ,,,,
R83972,LUCKY STAR,1378 Springfield Ave,NJ,9733717710,6467023199,9733717710-,open,N,,,, ,,,,
R83971,*CHIN CHIN*,837 Highway 400 S,GA,7062162017,6789796788,(706) 216-2017,suspended,N,,,, ,,,,
R83969,^BIG L CHOP SUEY^,8949 Natural Bridge,MO,3144286266,3142558080,(314) 428-6266,open,N,,,, ,,,,
R83968,^LITTLE CHINA^,521 Yopp Rd,NC,9102384973,9173626731,(910) 238-4973,open,N,,,, ,,,,
R83967,*CHINA 1*,17076 Richmond Hwy,VA,7032218884,2029079188,(703) 221-8884,open,N,,,, ,,,,
R83965,^LOBSTER KING^,3903 N Gloster St,MS,6625842981,9018488883,Ã¯Â¼Âˆ662Ã¯Â¼Â‰584-2981,open,N,,,, ,,,,
R83962,*HAPPY STAR*,1301 Old Euclid Ctr,VA,2764668700,9176568825,Ã¯Â¼Âˆ276Ã¯Â¼Â‰466-8700,open,N,,,, ,,,,
R83963,*CHINA STAR*,3251 Hollywood Blvd,FL,9549662588,9549662588,(654) 966-2588,open,N,,,, ,,,,
R83961,^WING EXPRESS^,503 Highland Ave,GA,7067386888,9175498622,(706) 738-6888,reject,N,,,, ,,,,
R83959,*CJ WOK*,741 Burmont Road,PA,6102596010,,,open,N,,,, ,,,,
R83958,GOLDEN DRAGON,458 Central Ave.,NJ,9736783339,6462759937,,open,N,,,, ,,,,
R62626,Experiment 626 Restaurant,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R83957,*LAO PEKING*,1020 South Sterling Avenue,MO,8164613564,9132336211,(816) 461-3564,suspended,N,,,, ,,,,
R83956,ORIENTAL EXPRESS,1229 E Ireland Rd,IN,5742915588,6466517700,(574) 291-5588,open,N,,,, ,,,,
R83955,^CHICKI'S WINGS^,1927 Broad River Rd,SC,8036616808,2392491871,(803) 661-6808,open,N,,,, ,,,,
R83953,*^HIBACHI AT TOWERS^*,2035 SW Colonial Ave,VA,5403438168,5405855628,(540) 343-8168,reject,N,,,, ,,,,
R83952,*TSING TAO*,5765 S. Packard Ave,WI,4147445560,9179295735,(414) 744-5560,new,N,,,, ,,,,
R83951,MIN'S CHINESE,353 Lexington Avenue,NY,5854588810,9173499881,(585) 458-8810,open,N,,,, ,,,,
R83936,PANDA CHINESE RESTAURANT,4024 Lawrenceville Hwy,GA,7707179296,9042402044,(770) 717-9295,open,N,,,, ,,,,
R83938,*HUNAN VILLAGE*,453 Main St,VA,8043331688,4435276636,(804) 333-1688,open,N,,,, ,,,,
R83932,*CHINA A GO GO CHEYENNE*,10450 W. Cheyenne Ave,NV,7026846666,7028858188,,open,N,,,, ,,,,
R83937,HONG KONG,"514-520 Stuyvesant Ave.,",NJ,9733730668,7185014203,(973) 373-0668,open,N,,,, ,,,,
R83933,CHINA KING,9859  Lake Worth Rd,FL,5619678688,9176576653,(561) 967-8688,open,N,,,, ,,,,
R83931,SAGAS,3109 Lawson Blvd.,NY,5165362888,3479339388,(516) 536-2888,open,N,,,, ,,,,
R83926,*CHINA STAR*,1240 Columbia Center,IL,6182818888,9172877558,(618) 281-8888,open,N,,,, ,,,,
R83929,CHINA HOUSE,1856 E South Lake Dr,SC,8039965115,7156107171,(803) 996-5115,open,N,,,, ,,,,
R83927,*^PEONY ASIAN BISTRO^*,3515 Witherspoon Blvd,NC,9194198800,6462035266,(919) 419-8800,open,N,,,, ,,,,
R11188,Singularity,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R13470,Euphoria,3030 Northern Blvd,ON,1111111111,,,reject,N,,,, ,,,,
R13460,Spring Day,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R13447,Tranquility,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R83925,^NEW GARDEN^,887 North Main St.,MA,5086751688,6463879018,(508) 675-1688,open,N,,,, ,,,,
R83922,*SING MEE KITCHEN*,1752 Merrick Ave,NY,5166233430,6465153967,(516) 623-3430,new,N,,,, ,,,,
R83921,^PEKING TOKYO^,3 Henderson St.,NY,3157365588,,(315) 736-5588,open,N,,,, ,,,,
R83918,CHINA GARDEN,299 S Mountain Ave #C,AZ,9283333222,6263413799,(928) 333-3222,open,N,,,, ,,,,
R83917,CHOPSTICK EXPRESS,939 E. Guadalupe Rd,AZ,4808316685,6025131890,(480) 831-6685,open,N,,,, ,,,,
R83916,WING SING KITCHEN,"1004 Main Street, Route 52",NY,8458966888,6469451666,(845) 896-6888,open,N,,,, ,,,,
R83915,^NO. 1^,4480 Broadway 192nd Street,NY,2123042913,,(212) 304-2913,open,Y,,,4480 Broadway,(212) 304-1360,,,,
R83913,PANDA KING,149-11 41st Ave.,NY,7183219292,9178555031,(718) 321-9292,open,Y,,,149-11 41st Ave,(929) 329-0628,,,,
R83912,^A HIBACHI^,3301 S. Crater Rd.,VA,8047328818,3479937593,(804) 732-8818,open,N,,,, ,,,,
R83911,NEW CHINA HOUSE,27615 US Highway 27,FL,3527873384,3529896158,Ã¯Â¼Âˆ352Ã¯Â¼Â‰ 787-3384,open,N,,,, ,,,,
R83909,CHINA WOK,9340 SW 56 Street,FL,3055966288,3053239681,(305) 596-6288,open,N,,,, ,,,,
R83908,WOK & ROLL,3033 Monument,FL,9046464200,9173657881,(904) 646-4200,suspended,N,,,, ,,,,
R83906,^CHINA DRAGON STAR^,331 #B 4 Killian Rd,SC,8037353323,9173628287,Ã¯Â¼Âˆ803Ã¯Â¼Â‰735-8601,open,N,,,, ,,,,
R83905,CHINA 1,373 North Willowbrook Rd,MI,5172799088,5176176298,(517) 279-9088,reject,N,,,, ,,,,
R83903,^CHINA STAR^,1163 Wheaton St,GA,9122324328,9178269995,(912) 232-4328,open,N,,,, ,,,,
R83902,*^ICHIBAN WINGS & HIBACHI^*,1770 Highway 1 South,MS,6627025015,9172576208,(662) 702-5015,reject,N,,,, ,,,,
R83901,^MING,13500 W. Airport Blvd.,TX,2819720066,,(281) 972-0066,suspended,N,,,, ,,,,
R83899,^SICHUAN COTTAGE^,8 S. Main Street,NJ,7325778146,6462885112,,open,N,,,, ,,,,
R83898,CHINA ONE,1841 Pulaski Highway,DE,3028369110,9173717601,(302) 836-9110,open,N,,,, ,,,,
80001,*^TRAINING 2,9340 SW 56 St,FL,3055966288,3053239681,,new,N,,,, ,,,,
R83897,*HONG KONG*,418 Pelham Rd,NY,9145767979,4072429600,(914) 576-7979,reject,N,,,, ,,,,
R83896,GREAT WALL RESTAURANT,1455 Bird Ave,CA,4082871688,4088333330,(408) 287-1688,open,N,,,, ,,,,
R83895,^LUCKY PALACE^,8630 W. Overland Rd,ID,2083762828,2088304921,(208) 376-2828,open,N,,,, ,,,,
R83893,GOLDEN DRAGON,244 N. Erie St.,PA,7246621913,3472376881,(724) 662-1913,reject,N,,,, ,,,,
R83892,^ZOU CHINESE & THAI^,252 Merrick Rd,NY,5168373728,9174235566,(516) 837-3728,open,N,,,, ,,,,
R83891,PANDA,193A Atlantic Ave,NY,5162232277,5168166737,(516) 223-2277,reject,N,,,, ,,,,
R83889,SHANGHAI CHINESE RESTAURANT,1930 West Main St,PA,6105390108,9176013848,(610) 539-0108,new,N,,,, ,,,,
R83888,^THAI BASIL^,"2703 N. Dirksen Pkwy.,",IL,2175257777,9172540047,217-525-7777,suspended,N,,,, ,,,,
R83907,^KAEDE HIBACHI^,3235 SW Port St Lucie Blvd,FL,7728773729,7722519207,(772) 877-3729,open,N,,,, ,,,,
R83887,CHINA CITY'S,14630 Palm Beach Blvd.,FL,2396936688,2392977722,(239) 693-6688,open,N,,,, ,,,,
R83886,^HIBACHI EXPRESS^,220 -11 Linden Blvd,NY,3475484224,3472588966,(347) 548-4224,open,N,,,, ,,,,
R83885,GREAT WALL,226 N River Ave,MI,6163552728,9176571689,(616) 355-2728,open,N,,,, ,,,,
R83883,TOP'S CHINA,68 South Airport Dr.,VA,8043282271,9172258370,,open,N,,,, ,,,,
R83881,*GREAT WALL*,4433 13 St,FL,4079578882,4074333609,(407) 957-8882,suspended,N,,,, ,,,,
R83882,YANG'S KITCHEN,3691 Ladson Rd,SC,8438212288,8435681177,,open,N,,,, ,,,,
R83879,*LUU'S ASIAN CUISINE*,1104 Francis Street,CO,7206000579,,(720) 600-0579,suspended,N,,,, ,,,,
R83676,^PEKING GROTON^,565 Route 12,CT,8604496768,8605745564,,reject,N,,,, ,,,,
R83878,EASTERN CHINESE,118 Crossover Rd,NC,9102982387,3179081564,(910) 298-2387,open,N,,,, ,,,,
R221115,*HUI PRACTICE*,3030 Northern Blvd,GA,9178191188,,,new,N,,,, ,,,,
R20221115,Ai Shan Practice,3030 Northern Blvd,NY,9172852221,,,new,N,,,, ,,,,
R15875,Solitude,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R11926,Serenity,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R13159,The Zen Garden,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12312,Master Siomai,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12126,Miguel's Garden Kitchen Cafe,test,AL,1111111111,,,reject,N,,,, ,,,,
R11894,Wok and Talk,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12127,Cafe by Riza,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R13294,Josephine's,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R13149,Cafe Agusta,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12637,Four Seasons,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R12542,Four Seasons,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R1234,Dan ROS,3030 Northern Blvd,NY,1111111111,,,reject,N,,,, ,,,,
R83877,^WING ON^,2320 S Scatterfield Rd,IN,7656449100,7653748622,(765) 644-9100,open,N,,,, ,,,,
R83876,CHINA GARDEN,"2743 W 5th St.,",NC,9103700470,6463393810,(910) 370-0470,open,N,,,, ,,,,
R83875,CHINA ONE,111 E Main St.,WV,3048429898,3046293620,(304) 842-9898,suspended,N,,,, ,,,,
R83873,HUNAN HOUSE,382 Summit Avenue,NJ,2018769908,2016161775,(201) 876-9908,open,N,,,, ,,,,
R83872,MAIN MOON,4850 Larson Beach Road,WI,6088389188,6083337205,(608) 838-9188,new,N,,,, ,,,,
R83871,^CHINA GRILL^,6433 Raleigh St,FL,4075229896,4078682328,(407) 522-9896,open,N,,,, ,,,,
R83868,^FORTUNE COOKIE^,4456 Commercial Dr.,NY,3157380088,9296556888,(315) 738-0088,open,N,,,, ,,,,
R83782,^FIERY CRAB LAKE CHARLES^,339 W Prien Lake Rd,LA,3375646500,3375082003,,open,N,,,, ,,,,
R83867,JADE DRAGON,2037 1st Ave.,NY,2125346399,9173610786,,open,N,,,, ,,,,
R83866,*BEST TASTE ASIAN*,378 S Branch Rd,NJ,9083696988,9175191584,(908) 369-6988,suspended,N,,,, ,,,,
R83865,NEW KING WOK,1902 W. Court Street,WI,6087584085,6083222103,(608) 758-4085,open,N,,,, ,,,,
R83859,GOLDEN GARDEN,317 Central Ave,NJ,9736737909,,,open,N,,,, ,,,,
R83863,*SUPER GOLDEN CHOPSTICKS*,77 Pearls St,NY,2128250314,9175628585,(212) 825-0314,reject,N,,,, ,,,,
R83862,GREAT WALL,322 Main St,WI,6087845777,6087381001,(608) 784-8777,open,N,,,, ,,,,
R83861,*HAPPY WOK*,1910 Park Lake Dr,TX,2542246936,9173309769,(254) 224-6936,open,N,,,, ,,,,
R83857,*^CHINA FORTUNE^*,60 Patrick Henry Way,WV,3047253477,9176808089,(304) 725-8868,open,N,,,, ,,,,
R83858,CHINATOWN KITCHEN,W 186 N9519 Bancroft Drive,WI,2622558188,9176690108,(262) 255-8188,open,N,,,, ,,,,
R83856,*CHINA EXPRESS*,28 Eastern Point Road,CT,8604458889,9179824235,(860) 445-8889,suspended,N,,,, ,,,,
R83855,*JOY LUCK*,570 Peoples Plaza,DE,3028342409,3022500089,(302) 834-2409,open,N,,,, ,,,,
R83853,^CATHAY HOUSE^,825 Wooded Acres Dr,TX,2547761072,4057122633,(254) 776-1072,open,N,,,, ,,,,
R83852,BAMBOO WOK,8595 Collier Blvd,FL,2394179988,6462496711,(239) 417-9988,suspended,N,,,, ,,,,
R83851,CHINA WOK,1618 Sheridan St,FL,9546137678,9545056158,(954) 613-7678,open,N,,,, ,,,,
R83839,CHINA HOUSE,1018 N Hwy 47,MO,6364565998,9299208896,(636) 456-5998,open,N,,,, ,,,,
