fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,New_Category
Didn't Fill,CA,NA,NA,8,USA,Chinese
Didn't Fill,KS,ADMINISTRATION,NA,8,USA,Japanese
Didn't Fill,KS,ADMINISTRATION,NA,8,USA,Japanese
Didn't Fill,CA,NA,NA,8,USA,Chinese
Didn't Fill,CA,NA,NA,8,USA,Chinese
Didn't Fill,CA,NA,NA,8,USA,Japanese
Didn't Fill,MA,PRINCIPAL,NA,8,USA,Japanese
Didn't Fill,MA,PRINCIPAL,NA,8,USA,Japanese
Didn't Fill,MA,PRINCIPAL,NA,8,USA,Japanese
Didn't Fill,TX,NA,NA,8,USA,Asian_Fusion
Didn't Fill,GA,NA,NA,8,USA,Chinese
Didn't Fill,ON,OWNER,NA,9,Canada,Chinese
Didn't Fill,ON,NA,NA,9,Canada,Japanese
Filled,AB,NA,NA,9,Canada,Chinese
Filled,AB,NA,NA,9,Canada,Chinese
Filled,AB,NA,NA,9,Canada,Chinese
Didn't Fill,BC,NA,NA,9,Canada,Japanese
Didn't Fill,BC,NA,NA,9,Canada,Japanese
Didn't Fill,BC,OWNER,NA,9,Canada,Japanese
Didn't Fill,BC,MANAGER,NA,9,Canada,Chinese
Didn't Fill,BC,MANAGER,NA,9,Canada,Chinese
Didn't Fill,BC,MANAGER,NA,9,Canada,Chinese
Didn't Fill,ON,OWNER,NA,9,Canada,Chinese
Didn't Fill,ON,OWNER,NA,9,Canada,Chinese
Didn't Fill,ON,OWNER,NA,9,Canada,Chinese
Didn't Fill,ON,OWNER,NA,9,Canada,Chinese
Didn't Fill,SK,OWNER,NA,9,Canada,Chinese
Didn't Fill,NY,NA,NA,9,USA,NA
Didn't Fill,FL,NA,NA,9,USA,NA
Didn't Fill,TN,NA,NA,9,USA,NA
Didn't Fill,TN,NA,NA,9,USA,NA
Didn't Fill,TN,NA,NA,9,USA,NA
Didn't Fill,TN,NA,NA,9,USA,NA
Didn't Fill,TN,NA,NA,9,USA,NA
Didn't Fill,WA,NA,NA,9,USA,NA
Didn't Fill,OK,NA,NA,9,USA,NA
Didn't Fill,PA,NA,NA,9,USA,NA
Didn't Fill,TX,NA,NA,9,USA,NA
Didn't Fill,FL,NA,NA,9,USA,NA
Didn't Fill,FL,NA,NA,9,USA,Chinese
Didn't Fill,CA,NA,NA,9,USA,Japanese
Didn't Fill,CA,OWNER,NA,9,USA,Chinese
Didn't Fill,SC,NA,NA,9,USA,Japanese
Didn't Fill,CA,CHIEF_EXECUTIVE_OFFICER,NA,9,USA,Japanese
Didn't Fill,AL,MANAGING_PARTNER,NA,9,USA,Cajun_Seafood
Didn't Fill,CA,PRINCIPAL,NA,9,USA,Japanese
Didn't Fill,OH,MANAGING_MEMBER,NA,9,USA,Cajun_Seafood
Didn't Fill,CO,NA,NA,9,USA,Chinese
Didn't Fill,VA,MANAGER,NA,9,USA,NA
Didn't Fill,VA,MANAGER,NA,9,USA,NA
Didn't Fill,CO,OWNER,NA,9,USA,NA
Didn't Fill,FL,VICE PRESIDENT,NA,9,USA,NA
Didn't Fill,FL,PRESIDENT,NA,9,USA,NA
Didn't Fill,FL,VICE PRESIDENT,NA,9,USA,NA
Didn't Fill,FL,OWNER,NA,9,USA,NA
Didn't Fill,LA,PRESIDENT,NA,9,USA,NA
Didn't Fill,CA,OWNER,NA,9,USA,NA
Didn't Fill,VA,OWNER,NA,9,USA,NA
Didn't Fill,GA,MANAGER,NA,9,USA,NA
Didn't Fill,IL,OWNER,NA,9,USA,NA
Didn't Fill,TX,OWNER,NA,9,USA,NA
Didn't Fill,PA,PRESIDENT,NA,9,USA,NA
Didn't Fill,CA,OWNER,NA,9,USA,NA
Didn't Fill,CA,OWNER,NA,9,USA,NA
Didn't Fill,FL,MANAGER,NA,9,USA,NA
Didn't Fill,VA,NA,NA,10,USA,Chinese
Didn't Fill,OR,NA,NA,10,USA,Japanese
Didn't Fill,OR,NA,NA,10,USA,Japanese
Didn't Fill,CA,NA,NA,10,USA,Asian_Fusion
Didn't Fill,NJ,OWNER,NA,10,USA,Chinese
Didn't Fill,NE,NA,NA,10,USA,Chinese
Didn't Fill,NJ,PRINCIPAL,NA,10,USA,Chinese
Didn't Fill,LA,NA,NA,10,USA,Cajun_Seafood
Didn't Fill,SC,NA,NA,11,USA,Japanese
Didn't Fill,CA,NA,NA,11,USA,Chinese
Didn't Fill,WV,NA,NA,11,USA,Japanese
Didn't Fill,FL,NA,NA,11,USA,Chinese
Didn't Fill,TX,GENERAL_MANAGER,NA,12,USA,Chinese
Didn't Fill,TX,NA,NA,12,USA,Japanese
Didn't Fill,NJ,PRESIDENT,NA,12,USA,Japanese
Didn't Fill,FL,NA,NA,12,USA,Japanese
Didn't Fill,NC,NA,NA,13,USA,Japanese
Didn't Fill,CA,NA,NA,13,USA,Chinese
Didn't Fill,IN,NA,NA,13,USA,Japanese
Filled,TX,NA,NA,15,USA,Chinese
Didn't Fill,IA,NA,NA,17,USA,Japanese
Didn't Fill,PA,NA,NA,18,USA,Chinese
Didn't Fill,AZ,MEMBER,NA,18,USA,Japanese
Didn't Fill,BC,NA,NA,19,Canada,Chinese
Didn't Fill,ON,OWNER,NA,19,Canada,Chinese
Didn't Fill,BC,OWNER,NA,19,Canada,Chinese
Didn't Fill,VA,NA,NA,19,USA,NA
Didn't Fill,MI,OWNER,NA,19,USA,NA
Didn't Fill,MI,OWNER,NA,19,USA,NA
Didn't Fill,NE,OWNER,NA,19,USA,NA
Didn't Fill,VA,OWNER,NA,19,USA,NA
Didn't Fill,TX,MANAGER,NA,19,USA,NA
Filled,IL,NA,NA,20,USA,Chinese
Didn't Fill,IN,NA,NA,28,USA,Japanese
Didn't Fill,CA,NA,NA,28,USA,Asian_Fusion
Didn't Fill,MA,NA,NA,33,USA,Japanese
Didn't Fill,PA,NA,NA,35,USA,Japanese
Didn't Fill,NS,OWNER,NA,49,Canada,Chinese
Didn't Fill,BC,OWNER,NA,49,Canada,Chinese
Didn't Fill,MA,OWNER,NA,49,USA,NA
Didn't Fill,MA,OWNER,NA,49,USA,NA
Didn't Fill,ON,NA,NA,99,Canada,Chinese
Didn't Fill,MN,FINANCE EXEC,NA,49,USA,NA
Didn't Fill,SC,OWNER,NA,49,USA,NA
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Filled,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Japanese
Filled,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Japanese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,ON,NA,NA,NA,Canada,Chinese
Didn't Fill,MB,NA,NA,NA,Canada,Chinese
Didn't Fill,AB,NA,NA,NA,Canada,Chinese
Didn't Fill,AB,NA,NA,NA,Canada,Cajun Seafood
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Chinese
Didn't Fill,AB,NA,NA,NA,Canada,Chinese
Didn't Fill,AB,NA,NA,NA,Canada,Cajun Seafood
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,AB,NA,NA,NA,Canada,Japanese
Didn't Fill,BC,NA,NA,NA,Canada,Chinese
Didn't Fill,BC,NA,NA,NA,Canada,Chinese
Didn't Fill,BC,NA,NA,NA,Canada,Japanese
Didn't Fill,BC,NA,NA,NA,Canada,Japanese
Didn't Fill,BC,NA,NA,NA,Canada,Japanese
Didn't Fill,BC,NA,NA,NA,Canada,Chinese
Filled,BC,NA,NA,NA,Canada,Chinese
Didn't Fill,BC,NA,NA,NA,Canada,Japanese
Didn't Fill,CA,NA,NA,NA,USA,NA
Didn't Fill,MI,NA,NA,NA,USA,NA
Filled,CO,NA,NA,NA,USA,NA
Didn't Fill,WA,NA,NA,NA,USA,NA
Filled,FL,NA,NA,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,VT,NA,NA,NA,USA,NA
Didn't Fill,CO,NA,NA,NA,USA,NA
Didn't Fill,VA,NA,NA,NA,USA,NA
Didn't Fill,VA,NA,NA,NA,USA,NA
Didn't Fill,FL,NA,NA,NA,USA,NA
Didn't Fill,CA,NA,NA,NA,USA,NA
Didn't Fill,MA,NA,NA,NA,USA,Cajun_Seafood
Filled,ME,NA,NA,NA,USA,Chinese
Didn't Fill,CT,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,NJ,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,NJ,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,NJ,NA,NA,NA,USA,Chinese
Filled,NY,NA,NA,NA,USA,Chinese
Didn't Fill,PA,NA,NA,NA,USA,NA
Didn't Fill,PA,NA,NA,NA,USA,Japanese
Didn't Fill,PA,NA,NA,NA,USA,Japanese
Didn't Fill,PA,NA,NA,NA,USA,Japanese
Didn't Fill,PA,NA,NA,NA,USA,Japanese
Didn't Fill,PA,NA,NA,NA,USA,Japanese
Didn't Fill,DE,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,MD,NA,NA,NA,USA,NA
Didn't Fill,MD,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,MD,NA,NA,NA,USA,NA
Didn't Fill,VA,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,NC,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,NC,NA,NA,NA,USA,Japanese
Didn't Fill,GA,NA,NA,NA,USA,Japanese
Didn't Fill,GA,NA,NA,NA,USA,Japanese
Didn't Fill,GA,NA,NA,NA,USA,Japanese
Didn't Fill,FL,NA,NA,NA,USA,Japanese
Didn't Fill,FL,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,FL,NA,NA,NA,USA,Chinese
Didn't Fill,FL,NA,NA,NA,USA,Japanese
Didn't Fill,FL,NA,NA,NA,USA,Japanese
Didn't Fill,OH,NA,NA,NA,USA,Japanese
Didn't Fill,OH,NA,NA,NA,USA,Japanese
Filled,OH,NA,NA,NA,USA,Japanese
Didn't Fill,OH,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,MI,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,MT,NA,NA,NA,USA,Japanese
Didn't Fill,MT,NA,NA,NA,USA,Japanese
Didn't Fill,MT,NA,NA,NA,USA,Japanese
Didn't Fill,KS,NA,NA,NA,USA,Japanese
Didn't Fill,LA,NA,NA,NA,USA,Japanese
Didn't Fill,AR,NA,NA,NA,USA,Japanese
Didn't Fill,AR,NA,NA,NA,USA,Japanese
Didn't Fill,OK,NA,NA,NA,USA,Japanese
Didn't Fill,TX,NA,NA,NA,USA,Japanese
Filled,TX,NA,NA,NA,USA,Chinese
Didn't Fill,TX,NA,NA,NA,USA,NA
Didn't Fill,CO,NA,NA,NA,USA,Japanese
Didn't Fill,UT,NA,NA,NA,USA,Japanese
Didn't Fill,UT,NA,NA,NA,USA,Japanese
Didn't Fill,NM,NA,NA,NA,USA,NA
Didn't Fill,CA,NA,NA,NA,USA,NA
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,CA,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Asian_Fusion
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Filled,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Chinese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,CA,NA,NA,NA,USA,Japanese
Didn't Fill,OR,NA,NA,NA,USA,Japanese
Didn't Fill,OR,NA,NA,NA,USA,Cajun_Seafood
Didn't Fill,OR,NA,NA,NA,USA,Japanese
Didn't Fill,OR,NA,NA,NA,USA,Japanese
Didn't Fill,NA,NA,NA,NA,USA,NA
Didn't Fill,NY,OWNER,NA,NA,USA,NA
Didn't Fill,NJ,NA,NA,NA,USA,NA
Didn't Fill,DC,NA,NA,NA,USA,NA
Didn't Fill,NY,NA,NA,NA,USA,NA
Didn't Fill,NY,NA,NA,NA,USA,NA
Didn't Fill,FL,NA,NA,NA,USA,NA
Didn't Fill,FL,NA,NA,NA,USA,NA
Didn't Fill,MI,OWNER,2007,NA,USA,NA
Didn't Fill,TX,NA,NA,NA,USA,NA
Didn't Fill,CA,NA,NA,NA,USA,NA
Didn't Fill,CA,NA,NA,NA,USA,NA
Didn't Fill,NY,NA,NA,NA,USA,NA
Didn't Fill,NY,NA,NA,NA,USA,NA
Didn't Fill,NY,NA,2012,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,PA,NA,NA,NA,USA,NA
Didn't Fill,WA,NA,NA,NA,USA,NA
Didn't Fill,MN,OWNER,2016,NA,USA,NA
Didn't Fill,MD,NA,NA,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,WY,NA,NA,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,OH,NA,NA,NA,USA,NA
Didn't Fill,CA,OWNER,2019,NA,USA,NA
Filled,QC,,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Japanese
Didn't Fill,AB,General,NA,NA,Canada,Chinese
Didn't Fill,BC,,NA,NA,Canada,Asian Fusion
Didn't Fill,MB,Owner,NA,NA,Canada,Chinese
Didn't Fill,QC,Owner,NA,NA,Canada,Japanese
Didn't Fill,NS,Finance,1985,NA,Canada,Asian Fusion
Didn't Fill,AB,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,,NA,NA,Canada,Japanese
Didn't Fill,QC,,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,Owner,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,NS,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,Owner,NA,NA,Canada,Asian Fusion
Didn't Fill,AB,Owner,NA,NA,Canada,Chinese
Didn't Fill,QC,General,NA,NA,Canada,Chinese
Didn't Fill,MB,Owner,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,BC,,NA,NA,Canada,Chinese
Didn't Fill,QC,,NA,NA,Canada,Chinese
Didn't Fill,AB,,NA,NA,Canada,Asian Fusion
Didn't Fill,SK,,NA,NA,Canada,Chinese
Didn't Fill,ON,Owner,NA,NA,Canada,Asian Fusion
Didn't Fill,BC,,2017,NA,Canada,Chinese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,,NA,NA,Canada,Japanese
Didn't Fill,MB,,NA,NA,Canada,Chinese
Didn't Fill,QC,General,NA,NA,Canada,Chinese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,AB,General,NA,NA,Canada,Chinese
Didn't Fill,BC,General,NA,NA,Canada,Chinese
Didn't Fill,ON,Owner,2014,NA,Canada,Japanese
Didn't Fill,ON,General,NA,NA,Canada,Chinese
Didn't Fill,QC,General,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,NB,,2017,NA,Canada,Asian Fusion
Didn't Fill,ON,General,NA,NA,Canada,Asian Fusion
Filled,SK,General,1985,NA,Canada,Chinese
Didn't Fill,BC,Owner,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Japanese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,,NA,NA,Canada,Chinese
Didn't Fill,BC,,NA,NA,Canada,Chinese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,Owner,1991,NA,Canada,Chinese
Didn't Fill,NS,Owner,NA,NA,Canada,Japanese
Didn't Fill,ON,Owner,NA,NA,Canada,Japanese
Didn't Fill,AB,,NA,NA,Canada,Chinese
Didn't Fill,BC,,NA,NA,Canada,Chinese
Didn't Fill,NL,Owner,NA,NA,Canada,Chinese
Didn't Fill,NB,,NA,NA,Canada,Asian Fusion
Didn't Fill,NB,,NA,NA,Canada,Asian Fusion
Didn't Fill,QC,Back of the House,2015,NA,Canada,Japanese
Didn't Fill,QC,,NA,NA,Canada,Japanese
Didn't Fill,QC,,NA,NA,Canada,Japanese
Didn't Fill,QC,Owner,2017,NA,Canada,Asian Fusion
Didn't Fill,QC,General,2016,NA,Canada,Japanese
Didn't Fill,QC,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,Owner,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,Owner,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,,NA,NA,Canada,Chinese
Filled,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,,NA,NA,Canada,Asian Fusion
Didn't Fill,ON,Owner,2014,NA,Canada,Japanese
Didn't Fill,ON,,NA,NA,Canada,Chinese
Didn't Fill,ON,,1999,NA,Canada,Chinese
Didn't Fill,ON,General,NA,NA,Canada,Chinese
Didn't Fill,MB,,NA,NA,Canada,Japanese
Didn't Fill,MB,,NA,NA,Canada,Asian Fusion
Didn't Fill,SK,,NA,NA,Canada,Chinese
Didn't Fill,SK,,NA,NA,Canada,Japanese
Didn't Fill,SK,,NA,NA,Canada,Asian Fusion
Didn't Fill,SK,,NA,NA,Canada,Asian Fusion
Didn't Fill,AB,Owner,NA,NA,Canada,Chinese
Didn't Fill,AB,Owner,NA,NA,Canada,Asian Fusion
Didn't Fill,AB,,NA,NA,Canada,Japanese
Didn't Fill,AB,,2018,NA,Canada,Asian Fusion
Didn't Fill,BC,,NA,NA,Canada,Japanese
Didn't Fill,BC,,NA,NA,Canada,Japanese
Didn't Fill,BC,,NA,NA,Canada,Japanese
Didn't Fill,BC,,NA,NA,Canada,Chinese
Didn't Fill,BC,,2016,NA,Canada,Asian Fusion
Didn't Fill,BC,Owner,NA,NA,Canada,Chinese
Filled,BC,Owner,NA,NA,Canada,Chinese
Didn't Fill,BC,,NA,NA,Canada,Japanese
Didn't Fill,AL,,NA,NA,United States,Chinese
Didn't Fill,AL,,NA,NA,United States,Japanese
Didn't Fill,AR,,NA,NA,United States,Japanese
Didn't Fill,CA,,2006,NA,United States,Chinese
Didn't Fill,CA,,NA,NA,United States,Japanese
Filled,CA,,NA,NA,United States,Japanese
